Circonscriptions,Population_totale_1921,Canadiens_francais_1921,Population_totale_1931,Canadiens_francais_1931,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_independant_ministeriel,Autres_independant_opposition,Autres_ouvrier_opposition,Autres_ouvrier
Sherbrooke,31356,21216,37386,26842,8274,5914,22,5892,2360,2743,3149,,,,,,
Soulanges,10065,9266,9099,8590,2478,1993,29,1964,485,1203,761,,,,,,
Stanstead,23380,14230,25118,16622,5876,3508,58,3450,2368,2088,1362,,,,,,
Témiscamingue,11183,9776,20609,14923,4476,2704,30,2674,1772,1580,1094,,,,,,
Témiscouata,44310,43470,50294,49536,10100,5536,83,5453,4564,4434,1019,,,,,,
Terrebonne,33908,31136,38611,35772,7987,5027,78,4949,2960,3682,1267,,,,,,
Trois-Rivières,23248,21898,36649,34334,7153,5170,52,5118,1983,2496,2622,,,,,,
Vaudreuil,11555,9946,12015,10422,2957,2113,5,2108,844,1419,689,,,,,,
Verchères,12719,12331,12603,12050,2978,2382,50,2332,596,1469,863,,,,,,
Verdun,25001,9509,60745,23277,17724,8878,66,8812,8846,4127,4685,,,,,,
Westmount,32724,7282,115408,27225,18004,6426,48,6378,11578,2137,4241,,,,,,
Wolfe,18181,17182,16911,16096,3918,,,,,Élu sans opposition,,,,,,,
Yamaska,18056,17787,16820,16521,4059,3310,15,3295,749,1933,1362,,,,,,
