Circonscriptions,Population_totale_1891,Canadiens_francais_1891,Population_totale_1901,Canadiens_francais_1901,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants
Montréal-No. 4 (Saint-Laurent),17884,4386,21889,5401,4422,2390,53,2337,2032,1539,798,,,
Montréal-No. 5 (Saint-Georges),44626,11267,47653,14597,9179,,,,,Élu sans opposition,,,,
Montréal-No. 6 (Sainte-Anne),24685,6712,23368,7439,8216,,,,,Élu sans opposition,,,,
Napierville,10101,9671,8576,8161,2105,,,,,Élu sans opposition,,,,
Nicolet,28735,28374,26590,26121,6189,4711,20,4691,1478,2325,2366,,,
Ottawa,63560,42285,75731,54599,14406,,,,,Élu sans opposition,,,,
Pontiac,22084,6663,25722,9397,5393,3445,42,3403,1948,1970,1433,,,
Portneuf,25813,24102,27159,25669,5553,,,,,Élu sans opposition,,,,
Québec-Centre,12936,9577,20366,15297,3595,,,,,Élu sans opposition,,,,
Québec-Comté,19503,16373,22101,18710,4161,,,,,Élu sans opposition,,,,
Québec-Est,17511,16473,18894,17331,3977,3041,31,3010,936,1828,,1182,,
Québec-Ouest,13954,7421,9149,4911,2209,,,,,Élu sans opposition,,,,
Richelieu,21354,21098,18576,18189,4515,2948,38,2910,1567,1526,1145,,239,
Richmond,16329,8644,17821,10812,4559,3098,42,3056,1461,1561,1495,,,
Rimouski,18809,18686,19701,19303,2968,,,,,Élu sans opposition,,,,
Rouville,16012,15644,15990,15458,3434,2491,6,2485,943,1248,1237,,,
Saint-Hyacinthe,21433,21169,21543,21302,5009,,,,,Élu sans opposition,,,,
Saint-Jean,12282,10234,9863,8957,2769,1773,117,1656,996,832,,,,824
Saint-Maurice,12267,12087,15428,14962,3443,2699,13,2686,744,1436,1250,,,
Saint-Sauveur,18689,17802,20431,19477,2909,,,,,Élu sans opposition,,,,
Shefford,23263,17888,23628,18086,5743,,,,,Élu sans opposition,,,,
Sherbrooke,16088,8672,18426,10645,4458,3263,30,3233,1195,1662,1571,,,
Soulanges,9608,8909,9928,9269,2446,1738,13,1725,708,1151,574,,,
Stanstead,18067,6933,18998,8744,5062,3316,22,3294,1746,1791,1503,,,
Témiscouata,25698,25189,29185,28320,5064,,,,,Élu sans opposition,,,,
Terrebonne,23128,21770,26816,25424,5502,4114,,4114,1388,2067,2047,,,
Trois-Rivières,8834,8373,10739,10219,1623,,,,,Élu sans opposition,,,,
Vaudreuil,10792,9539,10445,9352,2848,1945,14,1931,903,1038,893,,,
Verchères,12257,12176,11539,11343,2666,,,,,Élu sans opposition,,,,
Wolfe,15018,13424,16316,14885,3667,2493,17,2476,1174,1230,1246,,,
Yamaska,16058,15712,16204,15767,4335,,,,,Élu sans opposition,,,,
