Circonscriptions,Population_totale_1881,Canadiens_francais_1881,Population_totale_1891,Canadiens_francais_1891,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_nationaliste_01,Autres_nationaliste_02,Autres_ouvrier
Joliette,21988,21057,22921,22330,3771,2788,39,2749,983,1414,1335,,,,,
Kamouraska,22181,21988,20454,20411,3064,2446,33,2413,618,1238,1175,,,,,
Laprairie,11436,9682,10900,8974,1599,1366,16,1350,233,,688,,,662,,
L'Assomption,15282,14862,13674,13327,2665,2090,21,2069,575,1107,962,,,,,
Laval,9462,9269,9436,9173,1577,1332,16,1316,245,,696,,,620,,
Lévis,27980,25972,25995,24848,4965,3690,55,3635,1275,1878,1757,,,,,
L'Islet,14917,14824,13823,13805,2351,1617,30,1587,734,796,791,,,,,
Lotbinière,20857,18498,20688,19128,3382,2511,56,2455,871,1345,1110,,,,,
Maskinongé,17493,17085,17829,17755,2566,1879,32,1847,687,,905,,102,840,,
Mégantic,19056,12960,22233,16631,5746,2881,23,2858,2865,1339,1519,,,,,
Missisquoi,17784,8009,18549,9337,4299,2920,39,2881,1379,1388,1493,,,,,
Montcalm,12966,11337,12131,11023,2696,2019,44,1975,677,,1189,,,786,,
Montmagny,15268,15222,14726,14695,2331,1568,46,1522,763,850,672,,,,,
Montmorency,12322,11967,12309,12085,1892,1615,18,1597,277,767,830,,,,,
Montréal-Centre,4635,3098,5119,3829,7780,4742,244,4498,3038,1894,1178,,,,,1426
Montréal-Est,67506,54002,92063,74580,13497,8462,108,8354,5035,3056,2870,,,,,2428
Montréal-Ouest,68606,21584,85513,21581,9257,5020,226,4794,4237,1854,1981,,,,,959
Napierville,10511,9859,10101,9671,1974,1503,30,1473,471,789,684,,,,,
Nicolet,26611,25868,28735,28374,4813,3510,24,3486,1303,937,1066,,1483,,,
Ottawa,49432,30433,63560,42285,7721,4409,86,4323,3312,1983,2340,,,,,
Pontiac,19939,5054,22084,6663,3706,2050,39,2011,1656,,1579,,,432,,
Portneuf,25175,23103,25813,24102,4000,2747,34,2713,1253,1425,1288,,,,,
Québec-Centre,17898,11803,12936,9577,2391,1579,35,1544,812,942,602,,,,,
Québec-Comté,20278,16110,19503,16373,3100,2549,53,2496,551,,1344,,1152,,,
Québec-Est,31900,28794,36200,34275,4216,,,,,Élu sans opposition,,,,,,
Québec-Ouest,12648,5847,13954,7421,1859,1384,50,1334,475,671,663,,,,,
Richelieu,20218,19689,21354,21098,3476,2307,38,2269,1169,1151,1118,,,,,
Richmond-Wolfe,26339,15198,31347,22068,5566,3632,58,3574,1934,1696,1878,,,,,
Rimouski,33791,32032,33430,32825,4854,3479,82,3397,1375,1729,1668,,,,,
Rouville,18547,17885,16012,15644,3113,2270,23,2247,843,1165,1082,,,,,
Saint-Hyacinthe,20631,20328,21433,21169,4629,2447,39,2408,2182,1458,950,,,,,
Saint-Jean,12265,9811,12282,10234,2248,1525,37,1488,723,888,600,,,,,
Saint-Maurice,12986,12591,12267,12087,2082,1612,13,1599,470,,909,,690,,,
Shefford,23233,16494,23263,17888,4929,3224,40,3184,1705,1629,1555,,,,,
Sherbrooke,12221,5828,16088,8672,2092,,,,,,Élu sans opposition,,,,,
Soulanges,10220,9344,9608,8909,1856,1373,11,1362,483,,676,,,,686,
Stanstead,15556,4749,18067,6933,3804,2480,28,2452,1324,1167,1285,,,,,
Témiscouata,25484,24687,25698,25189,3695,2569,40,2529,1126,,1391,,,1138,,
Terrebonne,21892,20429,23128,21770,3901,2804,21,2783,1097,1231,1552,,,,,
Trois-Rivières,9296,8537,8834,8373,1208,991,19,972,217,493,479,,,,,
Vaudreuil,11485,10089,10792,9539,2373,1370,22,1348,1003,176,678,,494,,,
Verchères,12449,12376,12257,12176,2279,1753,25,1728,526,877,,851,,,,
Yamaska,17091,16568,16058,15712,3538,2685,50,2635,853,1458,1177,,,,,
