Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletin_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autre_liberal_ouvrier,Autres_ouvrier_01,Autres_ouvrier_02,Autres_LD
Saint-Louis,30821,13522,30821,13522,4163,,,,,Élu sans opposition,,,,,,,
Saint-Maurice,21712,20941,27597,26213,6513,4375,51,4324,2138,2608,,1716,,,,,
Saint-Sauveur,22756,22487,22756,22487,6414,3968,57,3911,2446,2083,,,,,1828,,
Sainte-Anne,21676,6539,21676,6539,5679,,,,,Élu sans opposition,,,,,,,
Sainte-Marie,54910,45941,54910,45941,11305,6008,72,5936,5297,3367,,,,,2569,,
Shefford,23976,19214,25734,21965,5961,4339,30,4309,1622,2718,1591,,,,,,
Sherbrooke,23211,13947,31356,21216,7411,,,,,Élu sans opposition,,,,,,,
Soulanges,9400,8949,10065,9266,2203,1815,12,1803,388,998,201,604,,,,,
Stanstead,20765,10655,23380,14230,5576,,,,,Élu sans opposition,,,,,,,
Témiscamingue,8523,6817,26204,22501,5021,2780,163,2617,2241,1536,1081,,,,,,
Témiscouata,36430,35628,44310,43470,8604,,,,,Élu sans opposition,,,,,,,
Terrebonne,29018,26715,33908,31136,6712,,,,,Élu sans opposition,,,,,,,
Trois-Rivières,14441,13836,23248,21898,4300,,,,,Élu sans opposition,,,,,,,
Vaudreuil,11039,9861,11555,9946,2664,,,,,Élu sans opposition,,,,,,,
Verchères,12004,11698,12719,12331,2971,,,,,Élu sans opposition,,,,,,,
Westmount,27763,7810,32724,7282,11439,,,,,,Élu sans opposition,,,,,,
Wolfe,18209,16976,18181,17182,3940,,,,,Élu sans opposition,,,,,,,
Yamaska,19511,19059,18056,17787,4338,,,,,Élu sans opposition,,,,,,,
