point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,OD_concentration,OD_pourc,MES,phos_total,azote_total,cot,Ag,Al,As,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Sn,Tl,U,V,Zn,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"BOU-2.1","Ruisseau Bouchard","Dorval","Rue Orly","Aval du ponceau de la rue Orly, 100m au nord de l'ave Guthrie.","R","R","BOU-2.1   Rue Orly",2013-04-24T10:04:22,,"          7.3",1333,7.8,"<",10,"         10.48","         89.00",8.4,29,270,12.27,0.1,150,0.36,57,0.1,93000,0.1,0.63,0.86,2.2,740,5300,22000,100,3,160000,2.6,0.58,0.5,0.5,1,0.2,1.5,0.94,11,0,0,0,0,1,2,"45.4523992742","-73.7310770289",286726.063,5034744.76999999
"AAO-0.0","Rivière à l'Orme","Pierrefonds-Roxboro","Embouchure de la rivière","Pierrefonds, boul. Gouin O, 40m au nord de la rue de l'Anse à l'Orme, exutoire au lac des Deux Montagnes.","R","R","AAO-0.0   Embouchure de la rivière",2013-05-01T11:40:48,,"         13.2",1115,7.6,"=",72,"          9.02","         87.00",1.6,15,20,3.62,0.1,49,0.3,94,0.1,98000,0.1,0.13,0.6,1.5,200,3400,37000,25,3.9,81000,1.9,0.2,0.5,0.5,1,0.2,1.8,0.45,3.4,0,0,0,0,1,2,"45.4502113278","-73.9370663453",270613.07,5034568.57
"BER-1.2","Ruisseau Bertrand","Pierrefonds-Roxboro","Boul. Pitfield","Pierrefonds, PN Bois-de-Liesse, en amont du ponceau principal de la piste cyclable.","R","R","BER-1.2   Boul. Pitfield",2013-05-07T10:48:28,,"         13.2",1885,7.4,"=",45,"          7.37","         81.30",2.9,15,20,3.46,0.1,6.5,0.41,95,0.1,170000,0.1,0.41,0.75,1.5,680,3500,33000,160,1.7,170000,1.6,0.2,0.5,0.5,1,0.2,0.84,0.2,6.6,0,0,0,0,1,2,"45.504964513","-73.7620128147",284325.434,5040593.75999999
"BER-3.3","Ruisseau Bertrand","Dorval","Boul. St-Régis","Voie de service de l'A. 40 ouest, 400m à l'est de la rue Sunnybrook","R","R","BER-3.3   Boul. St-Régis",2013-05-07T12:25:13,,"         10.9",2376,7.5,"=",370,"          9.92","         90.60",3.4,16,120,2.42,0.1,18,0.21,96,0.1,150000,0.1,0.19,0.47,3.5,1200,4700,38000,100,1.5,270000,1.3,0.2,0.5,0.5,1,0.2,0.59,0.33,4.9,0,0,0,0,1,2,"45.4899301463","-73.769125548",283764.024,5038924.82
"AAO-3.3P6","Rivière à l'Orme","Kirkland","Rue Timberlea-Trail","Kirkland, 60m au sud de l'intersection des rues de l'Anse à l'Orme et de Timberley trail, derrière le dépôt à neige.","R","R","AAO-3.3P6   Rue Timberlea-Trail",2013-05-01T12:02:53,,"         11.6",1581,7.8,"=",2900,"         11.47","        107.00",6,34,20,2.8,0.1,210,0.29,54,0.1,120000,0.1,0.31,1.1,2.5,480,4300,35000,65,2.3,160000,2.1,0.46,0.5,0.5,1,0.2,1.6,0.96,7,0,0,0,0,1,2,"45.4368858312","-73.901469758",273390.008,5033073.2
"CAS-1","Lac aux Castors","Ville-Marie","Ch. Remembrance","Parc du Mont-Royal, effluent du lac des Castors, 100m à l'est de la rue Remembrance, près du chalet.","R","R","CAS-1   Ch. Remembrance",2013-05-15T10:14:55,"Non représentatif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"45.4987859127","-73.5988369105",297075.705,5039878.49
"CGO-0.0","Coulée Grou","Rivière-des-Prairies-Pointe-aux-Trembles","Embouchure de la coulée","Coulée Grou, 300m à l'est de l'A40 et 150m au sud du boul.Gouin","R","R","CGO-0.0   Embouchure de la coulée",2013-05-15T14:40:19,,"         14.6",873,7.5,"=",54,"          7.72","         76.00",4.4,91,20,11.25,0.1,46,0.52,40,0.1,81000,0.1,0.34,0.84,0.83,650,2500,30000,130,1.1,68000,1.8,0.35,0.5,0.5,1,0.2,1.4,0.44,3.6,0,0,0,0,1,2,"45.6973409611","-73.5046768769",304435.78,5061939.63999999
"IDS-1","Lac Lacoursière","Verdun","Rue Savoyanne","Île des Soeurs, chemin du Golf, rue de la Savoyane, lac du parc Lacoursière, muret près du garde fou .","R","R","IDS-1   Rue Savoyanne",2013-05-15T10:15:21,,"         15.2",634,8.1,"<",10,"         10.01","        100.00",0.7,19,20,4.94,0.1,5.7,0.57,67,0.1,65000,0.1,0.1,0.42,0.5,60,3000,22000,28,1,36000,0.5,0.2,0.5,0.5,1,0.2,0.76,0.42,3,0,0,0,0,1,2,"45.4652017939","-73.5499612987",300893.108,5036142.74
"IDS-2","Lac des Battures","Verdun","Boul. Forêt","Île des Soeurs, chemin de la Forêt, parc Adrien D-Archambault, sur la plate-forme de bois, lac des Battures.","R","R","IDS-2   Boul. Forêt",2013-05-15T10:29:53,,"         15.4",515,8,"=",18,"          9.47","         95.00",1.8,31,20,6.73,0.1,15,0.74,42,0.1,65000,0.1,0.1,0.43,0.5,57,5200,16000,70,1,21000,0.81,0.2,0.5,0.5,1,0.2,0.52,0.53,3,0,0,0,0,1,2,"45.4561003757","-73.5538839661",300585.683,5035131.5
"LAF-1","Étang du parc Lafontaine","Le Plateau-Mont-Royal","Exutoire de l'étang","Intersection rue Cherrier et ave du Parc La Fontaine, sortie du bassin.","R","R","LAF-1   Exutoire de l'étang",2013-05-15T10:10:06,"Non représentatif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"45.5232984378","-73.5674130424",299533.827,5042600.04
"AAO-3.5","Rivière à l'Orme","Sainte-Anne-de-Bellevue","Ch. Sainte-Marie","Sainte-Anne-de-Bellevue, 10m au nord du ch. Ste-Marie, 200m à l'ouest du ch. Anse à l'Orme.","R","R","AAO-3.5   Ch. Sainte-Marie",2013-05-01T12:11:35,,"         11.5",1776,7.6,"<",10,"         10.24","         95.00",2.8,11,20,3.7,0.1,32,0.54,72,0.1,120000,0.1,0.3,0.52,1.2,660,4200,44000,47,4.4,180000,3,0.2,0.5,0.5,1,0.2,2,0.41,3.2,0,0,0,0,1,2,"45.4356405523","-73.9014441318",273391.322,5032934.79999998
"BER-4.6","Ruisseau Bertrand","Saint-Laurent","Bassin rétention","Nord du ch. St-François et 330 m à l'est de l'ave André, amont bassin de rétention","R","R","BER-4.6   Bassin rétention",2013-05-07T12:48:32,,"         13.5",529,8.1,"=",1300,"         11.36","        109.50",2.5,140,75,3.4,0.1,50,0.27,26,0.1,45000,0.1,0.17,0.61,2,140,2100,11000,19,1.2,37000,1.3,0.43,0.5,0.5,1,0.2,0.46,0.48,8.4,0,0,0,0,1,2,"45.4816607033","-73.7729858795",283459.162,5038006.86
"MON-0.0","Ruisseau De Montigny","Montréal-Nord","Embouchure du ruisseau","Boul. Gouin E., 250m à l'ouest de l'ave Ozias-Leduc, effluent à la rivière des Prairies.","R","R","MON-0.0   Embouchure du ruisseau",2013-05-15T12:56:09,,"         12.2",564,8.1,"=",27,"         11.25","        105.00",5.8,39,170,5.67,0.1,240,0.42,27,0.1,30000,0.1,0.24,1.2,2,390,1700,6300,26,1.1,68000,1.2,0.46,0.5,0.5,1,0.2,0.26,1,4.7,0,0,0,0,1,2,"45.6292967385","-73.6212094296",295349.158,5054384.76999999
"MON-2.8","Ruisseau De Montigny","Rivière-des-Prairies-Pointe-aux-Trembles","Boul. Henri-Bourassa Est","Boul. Henri-Bourassa, 50m à l'ouest de la rue Renaude-Lapointe, sur le ponceau.","R","R","MON-2.8   Boul. Henri-Bourassa Est",2013-05-15T12:41:24,,"         12.6",1132,7.9,"=",140,"          9.91","         94.00",14,77,37,3.36,0.1,220,0.53,48,0.1,55000,0.1,0.45,2.1,8.6,390,3000,11000,38,2.2,150000,2.6,1.4,0.5,0.5,1,0.2,0.42,1.4,19,0,0,0,0,1,2,"45.6136039672","-73.6000245598",296998.791,5052638.50999999
"AAO-3.6","Rivière à l'Orme","Baie d'Urfé","Av. Lee","Beaconsfield, 250m à l'est de la rue Lee et 25m au sud de l'autoroute 40, en amont du pluvial.","R","R","AAO-3.6   Av. Lee",2013-05-01T12:44:03,,"         16.9",1395,8.1,"<",10,"         12.29","        125.00",3.8,12,20,3.15,0.1,87,0.25,72,0.1,110000,0.1,0.17,0.82,1,270,2800,37000,21,3.7,120000,2.2,0.2,0.5,0.5,1,0.2,1.7,0.46,3,0,0,0,0,1,2,"45.4346279405","-73.9012199472",273408.301,5032822.17999999
"AAO-6.4","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan","200m à l'est du Boul.Morgan et 280m au sud de la transcanadienne, affluent provenant de Ste-Anne-de-Bellevue et de la partie O et S de la zone industriel de Baie d'Urfée.","R","R","AAO-6.4   Boul. Morgan",2013-05-01T12:25:04,,"         16.5",1403,8,"<",10,,,1.1,12,20,3.31,0.1,25,0.21,51,0.1,110000,0.1,0.1,0.46,1.1,81,3100,38000,12,4.6,120000,2.3,0.2,0.5,0.5,1,0.2,2,0.33,4.8,0,0,0,0,1,2,"45.4259770041","-73.9131937303",272466.525,5031865.55999999
"MON-4.0","Ruisseau De Montigny","Anjou","Rue Bombardier","Près de l'intersection du boul. Galerie D'Anjou et de la rue Bombardier.","R","R","MON-4.0   Rue Bombardier",2013-05-15T11:11:58,,"         14.7",1029,7.8,"=",45,"          8.97","         89.00",16,87,20,5.27,0.1,120,0.57,59,0.1,59000,0.1,0.35,1.5,7.3,430,3500,15000,48,1.2,120000,2.7,1.6,0.53,0.5,1,0.2,0.66,1.3,17,0,0,0,0,1,2,"45.6069163251","-73.5883539648",297908.196,5051894.21999999
"MON-i","Ruisseau De Montigny","Anjou","INDUSTRIEL ANJOU","350m au sud-est de l'inters. Renaude-Lapointe et du boul. Henri-Bourassa","R","R","MON-i   INDUSTRIEL ANJOU",2013-05-15T11:27:33,,"          8.5",899,8,"=",640,"         11.14","         96.00",7.4,66,47,2.66,0.1,130,0.43,35,0.1,47000,0.1,0.29,2.5,12,200,2400,7500,20,1.6,120000,1.8,0.68,0.5,0.5,1,0.2,0.29,0.92,12,0,0,0,0,1,2,"45.6104555834","-73.5967252571",297255.692,5052288.29999998
"PAP-1","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","P-N de la Pointe-aux-Prairies","Parc-nature de la Pointe-aux-Prairies, secteur de la rivière des Prairies, déversoir le plus à l'est","R","R","PAP-1   P-N de la Pointe-aux-Prairies",2013-05-15T14:07:32,,"         15.0",628,8.4,"<",10,"         12.40","        124.00",3.8,100,20,11.42,0.1,9,1.1,32,0.1,46000,0.1,0.12,0.49,0.69,67,5100,28000,19,1,46000,1.2,0.2,0.5,0.5,1,0.2,2.2,1.6,3,0,0,0,0,1,2,"45.690394475","-73.5204685299",303205.78,5061167.83999998
"BRU-1","Bassin de La Brunante","Saint-Laurent","Boulevard Poirier","Parc Marcel Laurin,  bassin de la Brunante, boul. Poirier,  S des Harfangs, au pied du gazébo.","R","R","BRU-1   Boulevard Poirier",2013-05-07T09:17:41,,"         20.4",1318,7.9,"=",27,"          9.97","        110.80",7.4,31,20,5.2,0.1,32,0.33,70,0.1,100000,0.1,0.13,0.47,0.76,170,5500,39000,45,1,110000,1,0.2,0.5,0.5,1,0.2,0.37,0.22,3,0,0,0,0,1,2,"45.5099765705","-73.7077803601",288564.782,5041138.36
"PAP-golf","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","P-N de la Pointe-aux-Prairies","Parc-nature de la Ponte-aux-Prairies, secteur rivière des Prairies, branche en provenance du Golf de Montréal.","R","R","PAP-golf   P-N de la Pointe-aux-Prairies",2013-05-15T14:21:36,,"         12.3",632,7.7,"<",10,"          8.73","         82.00",7.5,110,26,7.19,0.1,120,0.5,26,0.1,58000,0.1,0.29,0.91,1.5,480,3400,26000,110,1,33000,2,0.2,0.5,0.5,1,0.2,2.4,0.88,3,0,0,0,0,1,2,"45.685539048","-73.5217702047",303104.25,5060628.25999999
"PER-1","Marais du Faubourg (marais Perché du boul. Gouin E.)","Rivière-des-Prairies-Pointe-aux-Trembles","Boul. Gouin est","Intersection du boul. Gouin est et de la rue Trefflé-Berthiaume, sortie du marais du Faubourg.","R","R","PER-1   Boul. Gouin est",2013-05-15T13:46:41,,"         14.7",584,8.5,"<",10,"         13.38","        130.00",1.8,19,20,5.76,0.1,85,0.63,25,0.1,40000,0.1,0.1,0.56,1.1,110,1800,12000,5.4,1,55000,0.77,0.2,0.5,0.5,1,0.2,0.76,0.53,3,0,0,0,0,1,2,"45.6770901186","-73.5354389261",302039.135,5059689.67999999
"PER-2","Marais du Faubourg (marais Perché du boul. Gouin E.)","Rivière-des-Prairies-Pointe-aux-Trembles","rue Trefflé-Berthiaume","Extrémité sud de la rue Trefflé-Berthiaume, sortie du marécage du Faubourg.","R","R","PER-2   rue Trefflé-Berthiaume",2013-05-15T13:36:43,,"         13.9",881,7.7,"=",27,"         10.37","        101.00",2.4,30,20,9.8,0.1,66,0.7,52,0.1,83000,0.1,0.14,0.32,3.3,120,3400,15000,6.7,1,73000,1.2,0.2,0.5,0.5,1,0.2,1.5,0.63,3,0,0,0,0,1,2,"45.6721169945","-73.5324699446",302270.208692963,5059136.89672662
"CEN-1","Bassin du parc Centenaire William Cosgrove","Dollard-des Ormeaux","Effluent du bassin","Parc du Centenaire, rive est, exutoire du bassin","R","R","CEN-1   Effluent du bassin",2013-05-07T14:35:24,,"         22.8",1445,8.1,"<",10,"         12.75","        130.00",7.9,28,20,3.28,0.1,85,0.33,51,0.1,97000,0.1,0.19,0.68,1.7,150,3200,25000,5.3,1.5,150000,1.9,0.2,0.5,0.5,1,0.2,1.4,0.6,3,0,0,0,0,1,2,"45.488546377","-73.8106049054",280521.23,5038782.74
"DEN-0.0","Ruisseau Denis","Pointe-Claire","Embouchure du ruisseau","Embouchure du ruisseau à la Baie de Valois, face au boul. Des Sources.","R","R","DEN-0.0   Embouchure du ruisseau",2013-05-07T13:57:37,,"         15.5",782,8.1,"=",54,"         12.21","        122.60",37,81,20,3.05,0.1,1100,0.53,48,0.1,58000,0.1,1.2,2.9,7.5,1500,2500,12000,52,1.3,78000,5.2,2.6,0.5,0.5,1,0.2,0.51,2.6,49,0,0,0,0,1,2,"45.4452824596","-73.7788021061",282990.453,5033965.71
"PIN-0.0","Ruisseau Pinel","Rivière-des-Prairies-Pointe-aux-Trembles","embouchure du ruisseau","Boul. Gouin, 50m à l'est de la 87e ave, embouchure du ruisseau vers la rivière-des-Prairies.","R","R","PIN-0.0   embouchure du ruisseau",2013-05-15T13:24:57,,"         11.6",1085,7.9,"=",140,"         10.41","         96.00",12,17,20,5.36,0.1,35,0.33,45,0.1,100000,0.1,0.13,0.45,1.4,94,14000,31000,14,1.8,80000,1.5,0.2,0.5,0.5,1,0.2,0.89,0.28,3,0,0,0,0,1,2,"45.6722382412","-73.5413309745",301579.837,5059150.69
"PIN-1.6","Ruisseau Pinel","Rivière-des-Prairies-Pointe-aux-Trembles","Boul. St-Jean-Baptiste","Boul. St-Jean-Baptiste, 400m au sud de la rue Émilie-du-Châtelet.","R","R","PIN-1.6   Boul. St-Jean-Baptiste",2013-05-15T13:17:21,,"         12.0",1129,7.9,"<",10,"         11.86","        110.00",1.9,8.5,20,4.28,0.1,26,0.27,45,0.1,110000,0.1,0.12,0.3,1.3,87,15000,33000,18,1.7,79000,1.6,0.2,0.5,0.5,1,0.2,0.81,0.3,3,0,0,0,0,1,2,"45.6623834054","-73.5444652779",301335.03,5058055.62
"CON-0.0","Ruisseau O'Connell","Pierrefonds-Roxboro","Embouchure du ruisseau","80m à l'est de la rue Morandière, en aval du boul.Gouin.","R","R","CON-0.0   Embouchure du ruisseau",2013-05-01T11:14:23,,"         13.7",806,7.7,"<",10,"         10.57","        102.00",3.1,22,20,3.64,0.1,72,0.51,56,0.1,90000,0.1,0.31,0.59,0.78,220,3500,33000,54,5.2,26000,3.2,0.2,0.5,0.5,1,0.2,1.6,0.46,3,0,0,0,0,1,2,"45.4604326508","-73.9071136491",272961.694,5035692.16
"CPI-0.0","Ruisseau Château-Pierrefonds","Pierrefonds-Roxboro","Embouchure du fossé","Pierrefonds, boul.Gouin ouest, 450m à l'ouest de l'ave. Château-Pierrefonds, en aval du dépôt à neige.","R","R","CPI-0.0   Embouchure du fossé",2013-05-01T11:02:47,,"         12.6",1480,7.7,"=",230,"         11.08","        105.00",14,80,1600,7.26,0.31,180,0.38,41,0.1,62000,0.1,0.31,1.5,5.2,290,3600,13000,26,1,200000,2.7,0.71,0.5,0.5,1,0.5,0.31,1.2,12,0,0,0,0,1,2,"45.4613786452","-73.900432332",273484.73,5035794.66
"PIB-2","Marécage du parc-nature du Bois-de-l'Île-Bizard","L'Île-Bizard-Sainte-Geneviève","P-N du Boisé-de-l'Île-Bizard","Parc-Nature de l'île-Bizard, secteur des observatoires, sur la passerelle, au centre du marais.","R","R","PIB-2   P-N du Boisé-de-l'Île-Bizard",2013-05-01T10:06:27,,"         18.5",380,7.8,"<",10,"          8.66","         93.00",2.2,34,20,7.66,0.1,6,1.3,37,0.1,58000,0.1,0.1,0.51,0.52,72,1200,10000,27,1,4000,0.5,0.2,0.5,0.5,1,0.2,0.23,0.4,3,0,0,0,0,1,2,"45.5134702781","-73.8902867451",274306.272,5041579.71
"PIB-3","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Chemin Cherrier","jonction de la mtée Wilson et du ch. Cherrier.","R","R","PIB-3   Chemin Cherrier",2013-05-01T10:29:23,,"         14.3",782,7.6,"=",18,"          6.37","         62.00",0.5,15,20,6.14,0.1,5,0.2,130,0.1,95000,0.1,0.1,0.45,0.64,48,2400,33000,22,2,21000,0.68,0.2,0.5,0.5,1,0.2,1.1,0.2,3,0,0,0,0,1,2,"45.4734100637","-73.9159419192",272278.743,5037137.87
"ANG-2","Étang du parc Angrignon","Le Sud-Ouest","Sortie du bassin principal","Montréal, parc Angrignon, bassin principal, à la sortie de l'étang.","R","R","ANG-2   Sortie du bassin principal",2013-04-24T13:52:59,,"         12.8",526,7.8,"<",10,"         11.16","        105.00",3.2,38,27,5.29,0.1,17,0.58,42,0.1,79000,0.1,0.1,0.3,0.96,130,2500,17000,52,1,8700,0.62,0.37,0.5,0.5,1,0.2,1.2,0.52,3,0,0,0,0,1,2,"45.4440053939","-73.5952183078",297351.293,5033790.38999999
"BOU-0.0","Ruisseau Bouchard","Dorval","Embouchure du ruisseau","Amont ponceau de la rue Sévigny sortie du ruisseau au lac St-Louis.","R","R","BOU-0.0   Embouchure du ruisseau",2013-04-24T12:13:13,,"          8.6",1204,7.9,"<",10,"          9.81","         85.00",4.6,28,95,7.82,0.1,110,0.3,47,0.1,82000,0.1,0.49,0.73,1.7,530,4400,20000,78,2.3,130000,2,0.45,0.5,0.5,1,0.2,1.1,0.78,8.5,0,0,0,0,1,2,"45.4390041953","-73.7254882114",287159.024,5033254.94
"MEA-0.4","Ruisseau Meadowbrook","Beaconsfield","Av. Brookside","Beaconsfield, sur l'ave Brookeside, 60m au sud de l'allée Celtic dans le parc Brookside, en aval du ponceau piétonnier.","R","R","MEA-0.4   Av. Brookside",2020-07-06T10:01:07,,"         18.0",961,7.8,"=",1200,"          6.88","         72.80",1.6,41,100,,0.1,36,0.3,46,1.3,82900,0.1,0.1,0.3,2.5,125,3000,22100,15.3,3.4,77800,1.7,0.4,0.5,0.5,1,0.2,1.1,0.3,7,0,0,0,0,1,1,"45.4251916856","-73.8703693824",275817.239,5031761.96
"SMI-0.8","Fossé Smith","Dorval","Fossé Smith","Boul. Montreal-Toronto, 150m à l'ouest de l'autoroute 520, entre le Terminus intermodal STM Dorval et le poste d'Hydro-Québec, près du rond-point et de la gare Dorval","R","R","SMI-0.8   Fossé Smith",2020-07-06T09:29:00,,"         16.0",1836,7.8,"=",170,"         10.64","        108.80",3.1,14,20,,0.1,44,0.2,90,1.3,174000,0.1,0.1,0.3,1.5,223,6400,36400,20.7,1.8,153000,1.5,0.2,0.5,0.5,1,0.2,0.4,0.3,13,0,0,0,0,1,1,"45.4478971799","-73.744202809",285697.897,5034247.48
"ANG-2","Étang du parc Angrignon","Le Sud-Ouest","Sortie du bassin principal","Montréal, parc Angrignon, bassin principal, à la sortie de l'étang.","R","R","ANG-2   Sortie du bassin principal",2020-07-07T14:01:12,,"         29.0",326,9.2,"=",27,"         11.95","        125.00",1,17,20,,0.1,24,1.3,20,1.3,27700,0.1,0.1,0.3,0.8,16,1460,16000,9.9,1,11900,0.5,0.2,0.5,0.5,1,0.2,0.6,1.5,7,0,0,0,0,1,1,"45.4440053939","-73.5952183078",297351.293,5033790.38999999
"BOU-0.0","Ruisseau Bouchard","Dorval","Embouchure du ruisseau","Amont ponceau de la rue Sévigny sortie du ruisseau au lac St-Louis.","R","R","BOU-0.0   Embouchure du ruisseau",2020-07-07T11:28:48,,"         22.0",636,7.8,"=",180,"          5.62","         65.00",7,51,230,,0.1,130,0.8,38,1.3,45300,0.1,0.2,0.6,2.1,351,3110,13000,24.8,1.3,48600,1.3,0.8,0.5,0.5,1,0.2,0.4,0.3,8,0,0,0,0,1,1,"45.4390041953","-73.7254882114",287159.024,5033254.94
