point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,OD_concentration,OD_pourc,MES,phos_total,azote_total,cot,Ag,Al,As,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Sn,Tl,U,V,Zn,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"DEN-0.0","Ruisseau Denis","Pointe-Claire","Embouchure du ruisseau","Embouchure du ruisseau à la Baie de Valois, face au boul. Des Sources.","R","R","DEN-0.0   Embouchure du ruisseau",2024-06-26T13:46:25,,"         22.6",927,8.4,"=",450,"          9.50","        111.00",6.8,29,20,,0.1,129,0.4,41,1.3,73400,0.1,0.7,0.5,5.2,337,5440,16400,16,2.5,89200,1.5,0.7,0.5,0.5,1,0.2,0.7,0.3,13,0,0,10.4,10.4,-2,3,"45.4452824596","-73.7788021061",282990.453,5033965.71
"DEN-0.8P1","Ruisseau Denis","Dorval","Rue Belmont","Rue Belmont, 200m à l'est du boul. des Sources, branche secondaire provenant de dépôts à neige","R","R","DEN-0.8P1   Rue Belmont",2024-06-26T13:01:34,,"         26.2",676,8.5,"=",730,,,8.7,37,50,,0.1,232,0.8,49,1.3,73500,0.1,0.5,0.8,2,483,11800,16800,30.5,3.9,44900,2.1,0.4,0.5,0.5,1,0.2,1.1,0.8,7,0,0,10.4,10.4,-2,3,"45.4571451324","-73.7798862479",282910.234,5035284.29999998
"DEN-2.6","Ruisseau Denis","Dorval","Av. Reverchon","Rue Reverchon, 100m à l'est du cr. Newman","R","R","DEN-2.6   Av. Reverchon",2024-06-26T12:50:31,,"         19.9",938,7.8,"=",1700,"          8.30","         91.00",10.2,54,40,,0.1,170,0.3,37,1.3,71500,0.1,5.3,0.6,6.3,303,4290,15400,20,2.2,95300,1.7,0.4,0.5,0.5,1,0.2,0.6,0.3,14,0,0,10.4,10.4,-2,3,"45.4660700012","-73.7801656599",282891.839,5036276.2
"PAQ-1","Étang du parc Dr-Bernard-Paquet","Saint-Laurent","Rue Jean-Gascon","Inters. Av. Félix-Leclerc et rue Jean-Gascon, parc du Dr.-B.-Paquet, sur la passerelle.","R","R","PAQ-1   Rue Jean-Gascon",2024-06-26T09:26:54,,"         21.0",306,7.8,"=",160,"          8.40","         92.00",1.1,17,30,,0.1,29,0.6,23,1.3,32600,0.1,0.1,0.3,1.1,75,1460,8150,8.9,1,15300,0.5,0.2,0.5,0.5,1,0.2,0.3,0.3,7,0,0,10.4,10.4,-2,3,"45.5065149921","-73.7324652116",286634.882,5040758.96
"BOU-0.0","Ruisseau Bouchard","Dorval","Embouchure du ruisseau","Amont ponceau de la rue Sévigny sortie du ruisseau au lac St-Louis.","R","R","BOU-0.0   Embouchure du ruisseau",2024-05-27T13:15:46,,"         18.5",1636,7.7,"=",3000,"          4.90","         53.00",16.4,68,250,,0.1,258,0.8,72,1.3,107000,0.1,0.7,1.2,5,1070,13000,32100,134,3.1,187000,3.4,1.4,0.5,0.5,1,0.2,1.1,1.2,25,3.5,0,0,3.5,0,1,"45.4390041953","-73.7254882114",287159.024,5033254.94
"BOU-1.0","Ruisseau Bouchard","Dorval","Boul. Bouchard","Ponceau du boul. Bouchard, 150m à l'ouest du boul. Galland.","R","R","BOU-1.0   Boul. Bouchard",2024-05-27T13:29:13,,"         18.6",1662,7.6,"=",3300,"          4.00","         44.00",19.6,77,330,,0.1,260,0.8,76,1.3,105000,0.1,0.8,1.2,4.8,1150,13900,29700,206,3.5,195000,3.5,1.1,0.5,0.5,1,0.2,1.2,1.2,24,3.5,0,0,3.5,0,1,"45.4460077533","-73.7253003703",287175.9,5034033.2
"BOU-1.5P2","Ruisseau Bouchard","Dorval","Rue Guthrie","Rencontre des rues Lépine et Meloche, côté sud.","R","R","BOU-1.5P2   Rue Guthrie",2024-05-27T13:43:50,,"         19.6",520,8,"=",4300,"          7.20","         71.00",30,97,230,,0.1,443,0.4,27,1.3,40600,0.1,0.8,2.2,10.2,896,2570,8410,46.8,2.1,58400,2.9,2.5,1,0.5,1,0.2,0.2,1.9,53,3.5,0,0,3.5,0,1,"45.4500566569","-73.7268568589",287055.414,5034483.49
"BOU-2.9","Ruisseau Bouchard","Dorval","Branche ouest venant d'ADM","Nord de l'ave.Marshall, embranchement ouest provenant de l'aéroport de Dorval.","R","R","BOU-2.9   Branche ouest venant d'ADM",2024-05-27T14:16:32,,"         19.0",1440,7.7,"=",2200,"          6.20","         68.00",29,90,420,,0.1,382,0.7,71,1.3,89700,0.1,1.3,1.8,6.8,1250,10100,22000,136,3.4,151000,3.9,1.9,0.5,0.5,1,0.2,0.9,1.7,37,3.5,0,0,3.5,0,1,"45.4572489455","-73.7387149001",286130.259,5035285.45
"BOU-2.9P3","Ruisseau Bouchard","Dorval","Branche est, venant d'ADM","Nord de l'ave.Marshall, embranchement E. provenant de l'aéroport de Dorval.","R","R","BOU-2.9P3   Branche est, venant d'ADM",2024-05-27T14:08:49,,"         20.0",738,8,"=",6000,"          7.50","         83.00",19.8,69,250,,0.1,281,0.5,32,1.3,49700,0.1,0.7,1.4,9.1,627,8620,14600,43.4,4,80900,3.2,1.8,0.9,0.5,1,0.2,0.6,2.2,41,3.5,0,0,3.5,0,1,"45.4573744838","-73.7379791186",286187.845,5035299.23
"BOU-4.3","Ruisseau Bouchard","Dorval","Rue Hervé-Saint-Martin","Ponceau vers aire de déglaçage, O rue Hervé Saint-Martin","R","R","BOU-4.3   Rue Hervé-Saint-Martin",2024-05-27T14:38:49,,"         22.3",2293,7.8,"=",1700,"          7.90","         91.00",45.6,117,350,,0.1,706,0.8,77,1.3,88300,0.1,1.4,2.8,6.7,1800,7950,21100,170,2.7,371000,4.3,3.1,1,0.5,1,0.2,0.7,3,35,3.5,0,0,3.5,0,1,"45.4690351539","-73.7425587543",285833.586,5036596.15
"CLA-11.2","Canal de Lachine","Ville-Marie","Rue Commune Ouest","Parc du canal de Lachine, à l'intersection des rues Prince et de la Commune, en amont de l'écluse sur le quai.","R","R","CLA-11.2   Rue Commune Ouest",2024-05-27T09:08:10,,"         20.0",196,7.6,"=",45,"          8.90","         98.00",3.1,15,20,,0.1,101,0.6,20,1.3,22900,0.1,0.2,0.5,2.1,146,1170,5350,12.9,1,9740,0.7,0.6,0.5,0.5,1,0.2,0.2,0.3,7,1.8,0,0,1.8,0,1,"45.4955800961","-73.5522723127",300714.586,5039518.79999998
"CLA-1.8","Canal de Lachine","Lachine","Av. Saint-Pierre","Inters. Saint-Patrick et av. Dollard, est du pont Gauron, près de la caboose, sur le quai.","R","R","CLA-1.8   Av. Saint-Pierre",2024-05-27T10:09:02,,"         19.3",223,8.2,"=",18,"          9.60","        104.00",2.3,13,10,,0.1,106,0.6,20,1.3,24900,0.1,0.1,0.4,1.5,133,1310,6000,10.5,1,10200,0.6,0.4,0.5,0.5,1,0.2,0.3,0.3,7,3.3,0,0,3.3,0,1,"45.4414764604","-73.645099907",293448.665,5033515.19
"CLA-6.6","Canal de Lachine","Le Sud-Ouest","Boul. Monk","Rue Saint-Patrick, 125m au nord-est de l'inters. avec boul. Monk, près de la rampe de mise à l'eau.","R","R","CLA-6.6   Boul. Monk",2024-05-27T09:32:48,,"         20.0",229,8.1,"=",18,"          9.70","        106.00",1.5,12,10,,0.1,66,0.5,20,1.3,25400,0.1,0.2,0.4,1.3,91,1230,6120,7.9,1,10700,0.6,0.3,0.5,0.5,1,0.2,0.3,0.3,7,1.8,0,0,1.8,0,1,"45.4648332478","-73.5960034778",297292.635,5036105.05999999
"JAM-1.3","Ruisseau Saint-James","Pointe-Claire","Rue Pointe-Claire","Extrémité nord de l'ave Pointe-Claire, 30m vers l'ouest, en aval du ponceau de l'autoroute 20.","R","R","JAM-1.3   Rue Pointe-Claire",2024-05-27T11:21:14,,"         16.7",490,7.8,"=",49000,"          8.30","         86.00",384,883,590,,0.3,7420,2.6,109,1.3,58800,0.2,6.8,17.1,65.8,9590,7710,12400,463,1.4,55100,17,12.1,1,1.4,4.2,0.2,0.4,16.4,199,3.3,0,0,3.3,0,1,"45.4374504274","-73.8349651619",278593.422,5033112.12
"MEA-0.4","Ruisseau Meadowbrook","Beaconsfield","Av. Brookside","Beaconsfield, sur l'ave Brookeside, 60m au sud de l'allée Celtic dans le parc Brookside, en aval du ponceau piétonnier.","R","R","MEA-0.4   Av. Brookside",2024-05-27T11:59:31,,"         15.9",602,7.7,">",60000,"          7.80","         81.00",44,313,590,,0.1,560,0.6,36,1.3,48500,0.1,1.1,2.5,17.9,1160,3950,10600,78.1,2.3,64300,3.7,3.4,0.8,0.5,1,0.2,0.4,2.7,85,3.3,0,0,3.3,0,1,"45.4251916856","-73.8703693824",275817.239,5031761.96
"SMI-0.8","Fossé Smith","Dorval","Fossé Smith","Boul. Montreal-Toronto, 150m à l'ouest de l'autoroute 520, entre le Terminus intermodal STM Dorval et le poste d'Hydro-Québec, près du rond-point et de la gare Dorval","R","R","SMI-0.8   Fossé Smith",2024-05-27T12:58:52,,"         17.6",824,7.7,"=",910,"          9.60","        100.00",7.1,30,100,,0.1,57,0.3,101,1.3,172000,0.1,0.5,0.4,5.4,702,7160,33800,92.1,2,138000,1.9,0.4,0.5,0.5,1,0.2,0.5,0.3,16,3.5,0,0,3.5,0,1,"45.4478971799","-73.744202809",285697.897,5034247.48
"AAO-6.4P12","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan côté E","Baie d'Urfée, boul. Morgan côté est, 250m au sud de l'autoroute 40,  affluent provenant des zones résidentilelles de Baie d'Urfé.","R","R","AAO-6.4P12   Boul. Morgan côté E",2024-06-12T11:57:07,,"         14.3",1586,7.9,"=",45,"          8.60","         84.00",2.7,14,20,,0.1,40,0.2,61,1.3,135000,0.1,0.3,0.3,0.7,77,2860,41700,20.8,5.1,146000,2.8,0.2,0.5,0.5,1,0.2,2,0.3,7,0,0,2.3,2.3,-2,2,"45.4253538404","-73.915474789",272287.669,5031797.21999999
"BER-0.0","Ruisseau Bertrand","Ahuntsic-Cartierville","P-N du Bois-de-Liesse","R.Bertrand, exutoire à la rivière des Prairies, ponceau de l'ave. du Ruisseau","R","R","BER-0.0   P-N du Bois-de-Liesse",2024-06-03T09:52:36,,"         16.6",1403,7.5,"=",320,"          7.20","         75.00",2.3,19,120,,0.1,15,0.4,60,1.3,124000,0.1,0.3,0.3,1.3,323,3620,26200,83.8,1.4,126000,1.4,0.2,0.5,0.5,1,0.2,0.8,0.3,7,0,1.7,0.7,2.4,-1,2,"45.5116556787","-73.7554416029",284841.296,5041335.7
"BER-0.7P1","Ruisseau Bertrand","Ahuntsic-Cartierville","Rue Camille","Montréal, PN Bois-de-Liesse, O rue Camille, N  chemin de fer","R","R","BER-0.7P1   Rue Camille",2024-06-03T10:18:14,,"         17.0",922,7.8,"=",1300,"          8.60","         89.00",4.1,35,80,,0.1,38,0.6,36,1.3,63100,0.1,0.2,0.7,6.6,93,3170,14400,11.4,1.5,257000,1.2,0.2,0.5,0.5,1,0.2,0.6,0.3,7,0,1.7,0.7,2.4,-1,2,"45.5076747232","-73.7536315987",284981.322,5040892.84999999
"BER-1.2","Ruisseau Bertrand","Pierrefonds-Roxboro","Boul. Pitfield","Pierrefonds, PN Bois-de-Liesse, en amont du ponceau principal de la piste cyclable.","R","R","BER-1.2   Boul. Pitfield",2024-06-03T10:01:48,,"         14.8",1901,7.5,"=",1000,"          7.80","         77.00",2.8,20,290,,0.1,19,0.3,84,1.3,172000,0.1,0.4,0.5,1,460,3810,33800,103,1.3,184000,1.8,0.3,0.5,0.5,1,0.2,1,0.3,7,0,1.7,0.7,2.4,-1,2,"45.504964513","-73.7620128147",284325.434,5040593.75999999
"BER-3.3","Ruisseau Bertrand","Dorval","Boul. St-Régis","Voie de service de l'A. 40 ouest, 400m à l'est de la rue Sunnybrook","R","R","BER-3.3   Boul. St-Régis",2024-06-03T10:43:18,,"         14.0",1702,7.3,"=",230,"          8.20","         80.00",5,157,290,,0.1,33,0.4,68,1.3,130000,0.1,0.3,0.3,6.2,805,4420,29300,90.6,1.6,176000,1.5,0.2,0.5,0.5,1,0.2,0.7,0.3,12,0,1.7,0.7,2.4,-1,2,"45.4899301463","-73.769125548",283764.024,5038924.82
"BER-4.5P8","Ruisseau Bertrand","Saint-Laurent","Conduite technoparc","Rue Frederick-Banting, 325m à l'est de l'avenue André.","R","R","BER-4.5P8   Conduite technoparc",2024-06-03T11:09:48,,"         14.0",1817,7.9,"<",10,"          7.00","         69.00",5.5,28,170,,0.1,61,0.5,53,1.3,151000,0.1,0.5,0.3,2.3,388,5870,37900,75.7,2.1,171000,2.4,0.3,0.5,0.5,1,0.2,1.3,0.3,17,0,1.7,0.7,2.4,-1,2,"45.4814698463","-73.7722743259",283514.717,5037985.46
"BER-4.6","Ruisseau Bertrand","Saint-Laurent","Bassin rétention","Nord du ch. St-François et 330 m à l'est de l'ave André, amont bassin de rétention","R","R","BER-4.6   Bassin rétention",2024-06-03T11:21:25,,"         24.1",470,,"<",10,,,5.3,45,30,,0.1,56,0.6,11,1.3,27600,0.1,0.3,0.5,2.3,340,1870,8290,26.4,2.4,54600,1.5,0.3,0.5,0.5,1,0.2,0.4,0.5,7,0,1.7,0.7,2.4,-1,2,"45.4816607033","-73.7729858795",283459.162,5038006.86
"DEN-3.2","Ruisseau Denis","Pointe-Claire","Ch. Aviation","Rue de l'Aviation, 300m à l'est du boul. des Sources","R","R","DEN-3.2   Ch. Aviation",2024-06-03T11:37:45,,"         16.1",827,7.7,"=",150,"          9.70","         99.00",5.7,31,70,,0.1,48,0.3,32,1.3,65800,0.1,5.9,0.5,4.6,200,2690,14300,17.8,1.7,83900,1.2,0.3,0.5,0.5,1,0.2,0.4,0.3,7,0,1.7,0.7,2.4,-1,2,"45.4699534797","-73.7861966608",282421.768,5036709.42999999
"CGO-0.0","Coulée Grou","Rivière-des-Prairies-Pointe-aux-Trembles","Embouchure de la coulée","Coulée Grou, 300m à l'est de l'A40 et 150m au sud du boul.Gouin","R","R","CGO-0.0   Embouchure de la coulée",2024-06-04T14:05:32,,"         20.2",917,7.5,"=",200,"          6.10","         67.00",4.7,138,110,,0.1,36,0.8,50,1.3,90000,0.1,0.5,0.4,1,1450,1760,34200,298,1.1,71500,1.9,0.7,0.5,0.5,1,0.2,0.7,0.3,7,1.2,0,1.7,2.9,0,2,"45.6973409611","-73.5046768769",304435.78,5061939.63999999
"MON-2.8","Ruisseau De Montigny","Rivière-des-Prairies-Pointe-aux-Trembles","Boul. Henri-Bourassa Est","Boul. Henri-Bourassa, 50m à l'ouest de la rue Renaude-Lapointe, sur le ponceau.","R","R","MON-2.8   Boul. Henri-Bourassa Est",2024-06-04T11:38:55,,"         21.5",848,8.3,"=",45,,,12.6,73,20,,0.1,109,0.6,38,1.3,58200,0.1,0.4,1,3.7,275,3660,15600,27,1.7,92600,1.9,1,0.5,0.5,1,0.2,0.6,0.3,8,1,0,1.7,2.7,0,2,"45.6136039672","-73.6000245598",296998.791,5052638.50999999
"PAP-0.0","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","Sortie du marais","Parc-nature de la Pointe-aux-Prairies, secteur de la rivière des Prairies, effluent vers la rivière des Prairies.","R","R","PAP-0.0   Sortie du marais",2024-06-04T13:43:28,,"         23.1",501,7.5,"=",45,"          4.50","         53.00",14.3,330,160,,0.1,364,1.3,31,1.3,44000,0.1,0.5,0.9,1.4,934,3450,23200,315,1,32400,1.5,0.4,0.5,0.5,1,0.2,0.8,1,7,1,0,1.7,2.7,0,2,"45.6920285661","-73.522349053",303059.363,5061349.48
"PRO-2","Ruisseau Provost","Outremont","Ruisseau Provost","Av. Roskilde, 50m à l'est de l'av. Springgrove, parc Oakwood","R","R","PRO-2   Ruisseau Provost",2024-06-04T09:14:01,,"         11.6",1240,7.8,"<",10,"         10.30","         94.00",2.6,12,20,,0.1,48,0.2,70,1.3,82300,0.1,0.1,0.3,1.5,59,3990,10100,6.2,1.2,134000,0.9,0.2,1.8,0.6,1,0.2,0.4,0.3,7,0,0,1.7,1.7,-2,2,"45.5133281629","-73.6011948902",296893.46,5041494.80999999
"BOU-1.0","Ruisseau Bouchard","Dorval","Boul. Bouchard","Ponceau du boul. Bouchard, 150m à l'ouest du boul. Galland.","R","R","BOU-1.0   Boul. Bouchard",2024-06-10T10:30:52,,"         16.1",824,7.6,"=",1400,"          5.90","         60.00",12.1,38,140,,0.1,176,0.5,44,1.3,67400,0.1,0.5,0.9,4.2,571,8160,17000,73.2,3.4,83100,2.8,0.9,0.5,0.5,1,0.2,1.1,0.7,23,2.1,6.1,4.8,13,0,2,"45.4460077533","-73.7253003703",287175.9,5034033.2
"BOU-4.3","Ruisseau Bouchard","Dorval","Rue Hervé-Saint-Martin","Ponceau vers aire de déglaçage, O rue Hervé Saint-Martin","R","R","BOU-4.3   Rue Hervé-Saint-Martin",2024-06-10T09:19:04,,"         15.9",1121,7.6,"=",270,"          8.10","         83.00",17.2,43,150,,0.1,235,0.5,62,1.3,82900,0.1,0.7,1,4,792,8580,17300,88.8,3.9,114000,3,0.9,0.5,0.5,1,0.2,1.1,0.5,16,2.1,6.1,4.8,13,0,2,"45.4690351539","-73.7425587543",285833.586,5036596.15
"CLA-1.8","Canal de Lachine","Lachine","Av. Saint-Pierre","Inters. Saint-Patrick et av. Dollard, est du pont Gauron, près de la caboose, sur le quai.","R","R","CLA-1.8   Av. Saint-Pierre",2024-06-10T13:26:31,,"         19.8",231,8,"=",45,"          8.40","         93.00",2.1,12,40,,0.1,85,0.6,22,1.3,25800,0.1,0.1,0.6,1.4,123,1290,6230,10.4,1,10800,0.6,0.4,0.5,0.5,1,0.2,0.2,0.3,7,2.3,6.1,4.8,13.2,0,2,"45.4414764604","-73.645099907",293448.665,5033515.19
"JAM-1.3","Ruisseau Saint-James","Pointe-Claire","Rue Pointe-Claire","Extrémité nord de l'ave Pointe-Claire, 30m vers l'ouest, en aval du ponceau de l'autoroute 20.","R","R","JAM-1.3   Rue Pointe-Claire",2024-06-10T11:46:10,,"         14.9",650,7.8,"=",1200,"          8.50","         85.00",5.6,31,40,,0.1,95,0.3,38,1.3,74300,0.1,0.3,0.4,9.3,288,2180,12700,50.3,1,46400,1.5,0.3,0.5,0.5,1,0.2,0.4,0.3,10,2.1,6.1,4.8,13,0,2,"45.4374504274","-73.8349651619",278593.422,5033112.12
"TER-0.6","Ruisseau Terra-Cotta","Pointe-Claire","Rue Glanlynn","Parc Terra-Cotta,  extrémité nord de la rue Glanlynn","R","R","TER-0.6   Rue Glanlynn",2024-06-10T12:44:36,,"         15.9",832,7.7,"=",120,"          7.20","         74.00",9.4,42,30,,0.1,226,0.3,36,1.3,69200,0.1,0.3,9.1,3.5,275,4610,18400,13.9,2.5,69800,2.4,0.8,0.5,0.5,1,0.2,0.9,0.3,13,2.1,6.1,4.8,13,0,2,"45.4511030275","-73.8041862862",281007.2,5034619.75
"AAO-3.6","Rivière à l'Orme","Baie d'Urfé","Av. Lee","Beaconsfield, 250m à l'est de la rue Lee et 25m au sud de l'autoroute 40, en amont du pluvial.","R","R","AAO-3.6   Av. Lee",2024-06-27T11:36:26,,"         18.0",623,7.8,"=",1600,"          7.90","         83.00",8.7,49,50,,0.1,253,0.3,43,1.3,53100,0.1,0.3,0.6,2,322,2130,14600,21.6,2,55200,2.1,0.4,0.5,0.5,1,0.2,0.5,0.3,7,9.6,3.1,0,12.7,0,3,"45.4346279405","-73.9012199472",273408.301,5032822.17999999
"BER-0.0","Ruisseau Bertrand","Ahuntsic-Cartierville","P-N du Bois-de-Liesse","R.Bertrand, exutoire à la rivière des Prairies, ponceau de l'ave. du Ruisseau","R","R","BER-0.0   P-N du Bois-de-Liesse",2024-06-26T09:56:22,,"         19.2",1275,7.4,"=",520,"          5.40","         61.00",2.7,27,180,,0.1,24,0.5,74,1.3,116000,0.1,0.3,0.3,1.9,368,4230,22500,78.3,2.1,116000,1.7,0.5,0.5,0.5,1,0.2,0.9,0.3,11,0,0,10.4,10.4,-2,3,"45.5116556787","-73.7554416029",284841.296,5041335.7
"BER-0.7P1","Ruisseau Bertrand","Ahuntsic-Cartierville","Rue Camille","Montréal, PN Bois-de-Liesse, O rue Camille, N  chemin de fer","R","R","BER-0.7P1   Rue Camille",2024-06-26T10:17:38,,"         17.6",925,7.8,"=",1600,"          8.40","         88.00",6.3,22,30,,0.1,98,0.4,47,1.3,92800,0.1,0.2,0.3,2.4,210,4450,22500,13.1,1.9,76100,1.9,0.3,0.5,0.5,1,0.2,1,0.3,7,0,0,10.4,10.4,-2,3,"45.5076747232","-73.7536315987",284981.322,5040892.84999999
"BER-1.2","Ruisseau Bertrand","Pierrefonds-Roxboro","Boul. Pitfield","Pierrefonds, PN Bois-de-Liesse, en amont du ponceau principal de la piste cyclable.","R","R","BER-1.2   Boul. Pitfield",2024-06-26T10:06:18,,"         17.5",1335,7.4,"=",5800,"          6.60","         71.00",4,32,190,,0.1,40,0.4,68,1.3,113000,0.1,0.4,0.6,3.7,521,3520,21500,80.3,2.3,132000,1.8,1,0.5,0.5,1,0.2,0.8,0.3,12,0,0,10.4,10.4,-2,3,"45.504964513","-73.7620128147",284325.434,5040593.75999999
"BER-3.3","Ruisseau Bertrand","Dorval","Boul. St-Régis","Voie de service de l'A. 40 ouest, 400m à l'est de la rue Sunnybrook","R","R","BER-3.3   Boul. St-Régis",2024-06-26T10:48:24,,"         17.1",1494,7.5,"=",280,"          8.40","         89.00",4.1,46,130,,0.1,46,0.4,61,1.3,105000,0.1,0.3,0.5,3.2,547,4240,22800,60.3,2.3,155000,1.5,0.3,0.5,0.5,1,0.2,0.7,0.3,12,0,0,10.4,10.4,-2,3,"45.4899301463","-73.769125548",283764.024,5038924.82
