Type de location,Signataire (Nom),Adresse,Arrondissement,Date de début de bail,Date de fin de bail
Locateur,La Sociét Canadienne de la Croix-Rouge,4040 Avenue du Parc,VILLE-MARIE,2023-12-01,2026-08-31
Locateur,Les Amis de la Montagne,"1260, rue Remembrance",VILLE-MARIE,1992-09-02,2028-08-31
Locateur,Café des Amis inc.,2000 Chemin  Remembrance,VILLE-MARIE,2015-12-19,2026-04-30
Locataire,Adm portuaire de Montréal,"60, Chemin des Moulins",SUD-OUEST,2002-01-01,2031-12-31
Locateur,Marché Publics de Montréal,Rue  Saint-Ambroise,SUD-OUEST,2019-06-29,2025-10-31
Locateur,Société du musée d'archéologie et d'histoire de Montréal,335 Rue  D'Youville,VILLE-MARIE,2023-03-01,2024-12-31
Locateur,Le Grand Costumier,"1210, rue Sherbrooke E",VILLE-MARIE,2016-03-01,2025-02-28
Locateur,Conseil des Arts de Montréal,"1210, rue Sherbrooke E",VILLE-MARIE,2009-01-01,2029-12-31
Emphytéose,L'Écomusée de la Maison du Fier Monde inc.,2050 Rue  Amherst,VILLE-MARIE,1995-10-10,2034-10-09
Locateur,Personnes agées italo-canadiennes de Mtl (CRAIC),"7405, avenue Champagneur",VILLERAY/ST-MICHEL/PARC-EXTENS,2023-01-01,2027-12-31
Locateur,Centre commu. femmes S-Asiat.,"1037, rue Rachel E",PLATEAU MONT-ROYAL,2015-01-01,2024-12-31
Emphytéose,Centre communautaire et culturel MCUC,1088 Rue  Clark,VILLE-MARIE,2004-01-21,2049-01-20
Locateur,Marché Publics de Montréal,"3024, rue Sainte-Émilie",SUD-OUEST,1998-01-01,2035-12-31
Locateur,Marché Publics de Montréal,"3024, rue Sainte-Émilie",SUD-OUEST,1998-01-01,2022-12-28
Locateur,Club de gymnastique artistique Gadbois,"3024, rue Sainte-Émilie",SUD-OUEST,2013-04-01,2027-10-31
Locateur,Centre petite enfance Bécassine,"201, avenue Mercier",MERCIER/HOCHELAGA/ MAISONNEUVE,1986-07-03,2031-07-03
Locataire,"Tennis Canada - Stade Jarry,Tennis Canada - Stade Jarry",285  Faillon O,VILLERAY/ST-MICHEL/PARC-EXTENS,1996-09-01,2032-12-31
Locataire,Tennis Canada - Stade Jarry,285  Faillon O,VILLERAY/ST-MICHEL/PARC-EXTENS,2022-12-31,2052-12-31
Locateur,Ass. des employés retraités de la Ville de Montréal,"795, rue Jarry E",VILLERAY/ST-MICHEL/PARC-EXTENS,2005-07-01,2027-09-30
Locateur,Société du Château Dufresne,"4040, Sherbrooke E",MERCIER/HOCHELAGA/ MAISONNEUVE,1999-05-01,2028-10-31
Locataire,Soc. Comm. Brennan Duke,801 Rue  Brennan,VILLE-MARIE,2005-04-01,2026-12-31
Locateur,"RÉZO, santé et mieux-être des hommes gais et bisexuels","2075, rue Plessis",VILLE-MARIE,2002-07-01,2025-12-31
Locateur,Réseau de la Santé Sexuelle des Sourds du Québec,"2075, rue Plessis",VILLE-MARIE,2002-07-01,2025-12-31
Locateur,Ctre comm LGBTQ+ de Mtl,"2075, rue Plessis",VILLE-MARIE,2002-07-01,2025-12-31
Locateur,Sida Bénévoles Montréal ACCM,"2075, rue Plessis",VILLE-MARIE,2002-07-01,2023-12-31
Locateur,Les Amis de la Montagne,1196 Voie  Camillien-Houde,VILLE-MARIE,2009-09-01,2028-08-31
Locateur,Café des Amis inc.,"1196, Voie Camillien-Houde",VILLE-MARIE,2017-06-16,2026-04-30
Locateur,Solidarité Ahuntsic,9515 Rue  Saint-Hubert,AHUNTSIC / CARTIERVILLE,2023-05-01,2025-11-10
Locataire,C.S.D.M.,"6100, Pierre-de-Coubertin",MERCIER/HOCHELAGA/ MAISONNEUVE,1975-07-01,2038-06-30
Emphytéose,Centre des Métiers du Verre    du Québec inc.,"1200, rue Mill",SUD-OUEST,2006-05-12,2031-05-11
Locataire,Fabrique Paroise Ste-Maria-Gor,94e Avenue,R-D-P / P-A-T,2022-01-01,2026-12-31
Locataire,C.S.D.M.,"8200, rue Rousselot",VILLERAY/ST-MICHEL/PARC-EXTENS,1977-07-01,2040-06-30
Locateur,"TELUS COMMUNICATIONS INC,",Avenue Broadway (MTE),MONTRÉAL-EST,1995-09-15,2025-10-31
Locateur,1001 Dominion Square Management inc.,"1191, rue Peel",VILLE-MARIE,2017-03-30,2024-12-31
Locateur,CSSDM Planification et Développement Immobilier / SRM,5655 Boulevard  Pie-IX,ROSEMONT / PETITE-PATRIE,2014-10-01,2058-09-30
Emphytéose,CSSDM Planification et Développement Immobilier / SRM,5655 Boulevard  Pie-IX,ROSEMONT / PETITE-PATRIE,2020-04-01,2058-12-20
Locataire,SOCIETE PARC JEAN-DRAPEAU,11 Chemin du Tour-de-l'Isle,VILLE-MARIE,2016-05-01,2025-04-30
Locataire,C.S.D.M.,"10851, avenue Saint-Charles",AHUNTSIC / CARTIERVILLE,1986-05-05,2049-05-04
Locateur,société Ressources Loisirs de  Pointe aux Trembles,"12085, Notre-Dame E",R-D-P / P-A-T,2020-01-01,2024-12-31
Locateur,Sida Bénévoles Montréal ACCM,"1301, rue Sherbrooke E",PLATEAU MONT-ROYAL,2017-01-01,2023-12-31
Locateur,Agence de la santé et des services sociaux de Montréal,"1301, rue Sherbrooke E",PLATEAU MONT-ROYAL,1998-10-01,2025-09-30
Locateur,Les Oeuvres du Père Sablon,"1301, rue Sherbrooke E",PLATEAU MONT-ROYAL,2005-11-01,2027-12-31
Locateur,CPE EVANGELINE,"1301, rue Sherbrooke E",PLATEAU MONT-ROYAL,2021-10-01,2027-09-30
Locataire,BELL MOBILITE INC.,975  Roméo-Vachon (DVL),DORVAL / L'ÎLE-DORVAL,2014-11-01,2025-09-30
Locateur,Le Festival international de jazz de Montréal inc.,"1425, rue Jeanne-Mance",VILLE-MARIE,2023-05-25,2024-03-18
Locateur,SERVICES CULINAIRES KAMUY INC.,"1485, rue Jeanne-Mance",VILLE-MARIE,2020-08-01,2030-10-31
Locataire,Festival international de Jazz,307 Rue  Sainte-CatherineO,VILLE-MARIE,2009-12-01,2028-04-17
Locateur,Bell Mobilité Inc.,180 Avenue  Duke-of-Kent (PCL),POINTE-CLAIRE,2012-05-01,2035-05-30
Locateur,BELL CANADA,"12001, Maurice-Duplessis",R-D-P / P-A-T,1991-07-01,2031-05-31
Locateur,BELL CANADA,"2805, boulevard Thimens (SLR)",SAINT-LAURENT,1991-11-01,2031-09-30
Locateur,SOCIETE DEVELOPPEMENT SOCIAL,Avenue  Blaise-Pascal,R-D-P / P-A-T,2023-12-01,2024-06-30
Locateur,Société de transport Mtl (STM) Finances,50 Rue de Louvain,AHUNTSIC / CARTIERVILLE,2022-04-01,2025-03-31
Locateur,Société de transport Mtl (STM) Finances,50 Rue de Louvain,AHUNTSIC / CARTIERVILLE,2023-05-01,2026-04-30
Locateur,Laboratoire sur l'agriculture  urbaine,50 Rue de Louvain,AHUNTSIC / CARTIERVILLE,2023-05-01,2024-10-31
Locateur,9413-8757 Québec inc.,50 Rue de Louvain,AHUNTSIC / CARTIERVILLE,2023-09-01,2026-08-31
Locateur,CIUSSS Centre-sud-Montréal,"6300, avenue de Darlington",COTE-DES-NEIGES / N-D-DE-GRACE,2009-10-07,2035-10-06
Locataire,7612222 CANADA INC.,"2495, Chemin Duncan (MTR)",MONT-ROYAL,2013-08-01,2031-07-31
Locateur,Religieuses Hospitalières de Saint-Joseph,245 Avenue des Pins,PLATEAU MONT-ROYAL,2017-07-26,2038-12-31
Locateur,Religieuses Hospitalières de Saint-Joseph,245 Avenue des Pins,PLATEAU MONT-ROYAL,2019-05-01,2024-12-31
Locateur,Religieuses Hospitalières de Saint-Joseph,245 Avenue des Pins,PLATEAU MONT-ROYAL,2019-05-01,2025-04-30
Locateur,Sibyllines,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-10-01,2025-01-31
Locateur,Biblio. d'outils La Remise Coop. de solidarité,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-11-01,2025-01-31
Locateur,Asso. Québécoise des Relieurs  et des Artisans du Livre,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-10-01,2025-01-31
Locateur,Un et un font mille,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-10-01,2025-01-31
Locateur,LUCIE LEROUX,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-11-01,2025-01-31
Locateur,SOPHIE GAILLIOT ,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-11-01,2025-01-31
Locateur,THEATRE TEESRI DUNIYA,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-10-01,2025-01-31
Locateur,Centre de recherche et d'inno  en art et eng social ARTENSO,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-09-01,2025-01-31
Locateur,Isotone inc.,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-01-01,2025-01-31
Locateur,Archives Lesbiennes du Québec,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-01-01,2025-01-31
Locateur,Francoise Girard- Cél. Belzile - M-Dominique Bonmariage,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-02-01,2025-01-31
Locateur,Aux trois sentiers ,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-01-01,2025-01-31
Locateur,STARTOP,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-12-01,2025-01-31
Locateur,Écotone ,245 Avenue des Pins,PLATEAU MONT-ROYAL,2022-12-01,2025-01-31
Locateur,Marion-Prune Paycha,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-02-01,2025-01-31
Locateur,NAOS Jeunesse ,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-07-01,2024-06-30
Locateur,Enlacés,245 Avenue des Pins,PLATEAU MONT-ROYAL,2023-12-01,2025-01-31
Locateur,Religieuses hospitalières de Saint-Joseph,245 Avenue des Pins,PLATEAU MONT-ROYAL,2024-02-01,2025-01-31
Locataire,L'instit. Royal avanc. Scienc.,20965 Chemin  Sainte-Marie,SAINTE-ANNE-DE-BELLEVUE,2017-04-01,2026-03-31
Locateur,Corporation Baystream et Fileglobal Corporation,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2019-01-01,2024-07-31
Locateur,Expandify Marketing inc.,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2020-01-01,2024-09-30
Locateur,General Electric Canada,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2020-01-01,2023-10-31
Locateur,Race Data 2013 inc.,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2020-01-01,2025-01-31
Locateur,Soundbite Medical Solutions,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2020-01-01,2024-05-31
Locateur,you-can.biz,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2020-01-01,2023-04-30
Locateur,Zoëfarma inc.,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2020-01-01,2024-12-31
Locateur,QUANTUM EMOTION CORP,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2021-03-01,2024-02-28
Locateur,Association Professionnel et Social iES-Montréal,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2021-10-01,2024-09-30
Locateur,"AURAKLE RESEARCH CAPITAL INC.,",2300  Alfred-Nobel (SLR),SAINT-LAURENT,2023-09-01,2024-08-31
Locateur,Fileglobal Corporation,2300  Alfred-Nobel (SLR),SAINT-LAURENT,2024-03-01,2025-02-28
Locateur,911 Innovations inc.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2017-12-01,2024-09-30
Locateur,Conseil National de Recherches du Canada,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-01-01,2024-07-31
Locateur,OLIVER COLE ET ASSOCIES LTEE   SERVICES COLIUS,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-01-01,2024-07-31
Locateur,InCloud Accounting Services et uCloud Marketing  Inc.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-01-01,2024-09-30
Locateur,ÉLECTRONIQUES MURATA CANADA    INC.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-01-01,2024-12-31
Locateur,Seven Square Média inc.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-01-01,2024-08-31
Locateur,Weatherford Canada Ltd.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-01-01,2024-08-31
Locateur,ABRÉVIA INC.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-08-01,2025-01-31
Locateur,Basram Group inc.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2020-10-01,2023-12-31
Locateur,BIRCIS TECHNOLOGIES ET CONSEIL,7140  Albert-Einstein (SLR),SAINT-LAURENT,2021-02-01,2025-02-28
Locateur,TECNIKA PRODUCTIONS INC.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2021-06-01,2024-10-31
Locateur,Flairstech inc,7140  Albert-Einstein (SLR),SAINT-LAURENT,2022-03-01,2024-07-31
Locateur,CYTEC CANADA INC,7140  Albert-Einstein (SLR),SAINT-LAURENT,2023-04-01,2026-02-28
Locateur,Emballage Aiden inc.,7140  Albert-Einstein (SLR),SAINT-LAURENT,2024-02-01,2025-01-31
Locateur,Nimalan Masilamany,7255 Rue  Saint-Urbain,VILLERAY/ST-MICHEL/PARC-EXTENS,2020-12-08,2026-11-30
Locateur,9480-8789 QUÉBEC INC.,600 Rue  JarryO,VILLERAY/ST-MICHEL/PARC-EXTENS,2022-12-09,2024-11-30
Locataire,Ministère des Transports,Rue  Ann,SUD-OUEST,2023-05-02,2024-05-01
Locataire,Ministère des Transports,Rue  Ann,SUD-OUEST,2024-01-01,2024-12-31
Locataire,Ministère des Transports,5e Avenue,L'ÎLE-BIZARD / STE-GENEVIÈVE,2023-04-20,2053-04-19
Locateur,Cité des arts du cirque,-,VILLERAY/ST-MICHEL/PARC-EXTENS,2002-12-16,2033-03-31
Locataire,COMPAGNIE SB-MONTREAL 2000 INC,1440 Rue  Sainte-CatherineO,VILLE-MARIE,2023-07-01,2028-06-30
Locateur,Pattison Outdoor Advertising Limited Partnership,3590 Rue  Saint-Patrick,SUD-OUEST,1993-06-01,2024-05-31
Locataire,9424-2088 QUÉBEC INC,3555 36e Avenue,R-D-P / P-A-T,2023-11-01,2028-10-31
Locataire,BELL CANADA A/S BGIS,2940 Rue  Rachel,ROSEMONT / PETITE-PATRIE,2023-11-01,2028-10-31
Locateur,Fournisseur à venir,7335 Rue du Mile End,VILLERAY/ST-MICHEL/PARC-EXTENS,2023-04-01,2029-09-29
Locateur,Renouveau La Fontaine S.E.N.C,99999 Rue  Hochelaga,MERCIER/HOCHELAGA/ MAISONNEUVE,2023-11-01,2024-04-30
Locateur,10844241 Canada inc.,99999 Rue  Hochelaga,MERCIER/HOCHELAGA/ MAISONNEUVE,2023-11-01,2024-06-30
Locateur,Outedge Media Canada LP,99999 Rue  Hochelaga,MERCIER/HOCHELAGA/ MAISONNEUVE,2023-11-01,2024-08-31
Locateur,ASTRAL MEDIA  AFFICHAGE S.E.C.,99999 Rue  Hochelaga,MERCIER/HOCHELAGA/ MAISONNEUVE,2023-11-01,2024-08-31
Locateur,Services Ricova Inc.,"2240, rue Michel-Jurdant",VILLERAY/ST-MICHEL/PARC-EXTENS,1999-10-01,2024-09-30
Locataire,Commission scolaire de Mtl,"5354, avenue Gatineau",COTE-DES-NEIGES / N-D-DE-GRACE,1993-11-01,2092-10-31
Locateur,Société du musée d'archéologie et d'histoire de Montréal,"350, Place Royale",VILLE-MARIE,2000-01-01,2028-12-31
Locateur,Montréal Arts Interculturels ,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2002-02-25,2032-12-31
Emphytéose,Second Placement Inc.,3670 Rue  Jeanne-Mance,PLATEAU MONT-ROYAL,1975-03-04,2052-06-30
Locateur,Ex Aequo,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2000-07-01,2025-06-30
Locateur,Culture Montréal ,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2004-12-01,2026-11-30
Locateur,ATELIER D'ARTISANAT DU  CENTRE-VILLE INC.,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2000-02-01,2026-01-31
Locateur,PME-ART,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2001-05-01,2026-07-31
Locateur,Microcrédit Montréal,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2004-06-01,2024-05-31
Locateur,Table ronde du mois de l'histoire des noirs,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2002-01-01,2024-12-31
Locateur,Danse Cité inc,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2001-08-01,2026-07-31
Locateur,Regroupement québécois danse,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2005-07-01,2025-06-30
Locateur,Centre des org. comm. (CoCo)   COCO,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2001-02-01,2025-07-31
Locateur,Black Theater Workshop(B.T.W.),"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2002-12-01,2026-11-30
Locateur,Collectif d'animation urbaine  l'autre Montréal,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2006-11-01,2026-06-30
Locateur,Diversité artistique Montréal,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2011-07-01,2027-06-30
Locateur,Danse Cité inc,"3670, rue Jeanne-Mance",PLATEAU MONT-ROYAL,2022-10-01,2026-09-30
Locateur,Société d'animation de la promenade Bellerive,"8300, rue Bellerive",MERCIER/HOCHELAGA/ MAISONNEUVE,2006-01-01,2025-12-31
Locateur,Soc.environnementale CDN,6925 de la Côte-des-Neiges,COTE-DES-NEIGES / N-D-DE-GRACE,2016-04-01,2025-12-31
Locateur,Resto-Bar Capucine inc.,7000  Maurice-Duplessis,R-D-P / P-A-T,2010-05-01,2028-12-31
Locateur,Free to play,7000  Maurice-Duplessis,R-D-P / P-A-T,2018-09-01,2024-08-31
Locateur,Dépanneur Peluso Inc.,2500 Rue  Rachel,PLATEAU MONT-ROYAL,2022-07-01,2025-06-30
Locataire,SOC. EN COMMANDITE DÉV NEWMAN,7427 Boulevard  Newman (LSL),LASALLE,2022-08-15,2024-12-31
Locataire,Le 1434 Ste-Catherine Inc.,"1434, rue Sainte-Catherine O",VILLE-MARIE,2013-03-15,2027-03-31
Locateur,Société Telus Communications,55 Avenue  Dupras (LSL),LASALLE,2016-06-01,2026-05-31
Locataire,Ville Mont-Royal,10 Avenue  Roosevelt (MTR),MONT-ROYAL,2012-01-01,2031-12-31
Locataire,Ville de Pointe Claire,401 Boulevard  Saint-Jean,POINTE-CLAIRE,2009-12-18,2024-12-31
Locataire,Ville de Pointe Claire,401 Boulevard  Saint-Jean,POINTE-CLAIRE,2002-01-01,2024-12-31
Locataire,Ville de Westmount,"19, rue Stanton (WMT)",WESTMOUNT,1997-10-01,2024-12-31
Locataire,Ville de Westmount,19 Rue  Stanton (WMT),WESTMOUNT,2009-12-16,2024-12-31
Locataire,"Fiducie de placements FC,Ma Baie Inc.,Les associés Redbourne inc.,3607925 CANADA INC.,CORP FIRST CAP KIRKLAND/PANAMA","2883, boulevard Saint-Charles",KIRKLAND,1997-02-01,2029-02-28
Locataire,Ville Dollard des Ormeaux,"4139, boulevard des Sources",DOLLARD-DES-ORMEAUX,1997-02-01,2025-12-31
Locataire,"9261-7943 QUEBEC INC,Développements Norspeco Inc.,Les promenades Bois Franc inc.","1761, rue Grenet",SAINT-LAURENT,2009-10-03,2026-10-31
Locataire,Arrondissement St-Léonard,"8181, rue Lacordaire",SAINT-LÉONARD,1998-02-01,2034-12-31
Locataire,"Ma Baie Construction Inc.,8334960 CANADA INC.","6850, rue Joseph-Renaud (ANJ)",ANJOU,1998-02-01,2025-09-30
Locataire,Ville Côte St-Luc,6815 de la Côte-Saint-Luc,CÔTE-ST-LUC,2009-12-16,2024-12-31
Locataire,Ville Dollard des Ormeaux,10 Rue  Sunnydale (DDO),DOLLARD-DES-ORMEAUX,2009-12-16,2033-12-31
Locataire,Ville de Montréal Ouest,114 Avenue  Westminster,MONTRÉAL-OUEST,2009-12-16,2024-12-31
Locateur,Canadien Basketball Venture LP,4110 Boulevard  LaSalle,VERDUN,2022-01-01,2024-12-31
Locataire,"Centurian Peel/Metcalfe Inc.,Centurian Peel/Metcalfe Inc.",1550 Rue  Metcalfe,VILLE-MARIE,2002-01-01,2026-04-30
Locataire,Centurian Peel/Metcalfe Inc.,1550 Rue  Metcalfe,VILLE-MARIE,2018-12-01,2026-04-30
Locataire,Mahomed Yacoub,"1625, avenue de l'Église",SUD-OUEST,2009-07-18,2026-07-31
Locataire,"HCR LP (ONTARIO ),Fonds de Placement Cominar,Complexe Papineau Lévesque,ÉDIFICE 1200 PAPINEAU INC.","1200, avenue Papineau",VILLE-MARIE,1997-02-01,2025-03-31
Locataire,113921 CANADA INC.,"1805, rue Fleury",AHUNTSIC / CARTIERVILLE,2009-10-01,2024-09-30
Locataire,R.L. Franco International,"8930, boulevard Pie-IX",VILLERAY/ST-MICHEL/PARC-EXTENS,2008-07-09,2026-09-30
Locataire,J.L. St-Onge & Mathieu St-Onge,"920, rue Bélanger E",ROSEMONT / PETITE-PATRIE,2009-06-11,2034-09-30
Locataire,"Fonds de Placement Cominar,ÉDIFICE 201 LAURIER INC.",201 Avenue  LaurierE,PLATEAU MONT-ROYAL,2008-12-01,2025-08-31
Locataire,"Fonds de Placement Cominar,ÉDIFICE 201 LAURIER INC.",201 Avenue  LaurierE,PLATEAU MONT-ROYAL,2019-07-01,2025-08-31
Locataire,"2945-9195 QUÉBEC INC.,116759 Canada Inc.","1498, rue Saint-Jean-Baptiste",R-D-P / P-A-T,1998-06-01,2030-02-28
Locataire,"Ma Baie Construction Inc.,8334960 CANADA INC.","11756, boulevard O'Brien",AHUNTSIC / CARTIERVILLE,1997-04-15,2025-09-30
Locataire,Gestion Gérard De Cola Inc.,"8200, rue Maurice-Duplessis",R-D-P / P-A-T,2009-03-01,2024-02-29
Locateur,CPE la petite caserne,3175 Chemin  Remembrance,LACHINE,2021-06-01,2026-05-31
Locataire,HYDRO-QUÉBEC,7770 Boulevard  LaSalle,LASALLE,2017-12-01,2028-11-30
Locataire,"Gestions Planeta S.E.C.,ENTREPRISES BURAK INC","2120, rue Sherbrooke E",VILLE-MARIE,1989-11-01,2029-03-31
Locataire,Société Parc-Auto du Québec,"1, rue Notre-Dame E",VILLE-MARIE,2006-01-01,2025-12-31
Locataire,Soc québécoise infrastructures,"1, rue Notre-Dame E",VILLE-MARIE,2006-01-01,2025-12-31
Locataire,Place Versailles Inc.,"7275, rue Sherbrooke E",MERCIER/HOCHELAGA/ MAISONNEUVE,2010-10-04,2025-09-30
Locataire,Place Versailles Inc.,"7275, rue Sherbrooke E",MERCIER/HOCHELAGA/ MAISONNEUVE,2011-11-07,2025-11-06
Locataire,"9438-2405 QUEBEC INC.,Fds de placement Cominar","255, boulevard Crémazie",AHUNTSIC / CARTIERVILLE,2023-05-01,2038-04-30
Locataire,Société de la Place des Arts,"1441, rue Saint-Urbain",VILLE-MARIE,2000-10-01,2025-09-30
Locataire,"Les Constructions 2001 Inc.,Les Lofts 5000 Iberville inc.","5000, rue d'Iberville (MTL)",PLATEAU MONT-ROYAL,2007-12-01,2033-11-30
Locataire,"1600 RENE-LEVESQUE LP,Compagnie d'ass. Standard Life,1600 René-Lévesque Ltée","980, rue Guy",VILLE-MARIE,2007-09-01,2025-06-30
Locateur,D-Trois-Pierres,187 du Cap-Saint-Jacques (PFD),PIERREFONDS/ROXBORO,2023-01-01,2023-12-31
Locateur,D-Trois-Pierres,191 du Cap-Saint-Jacques (PFD),PIERREFONDS/ROXBORO,2023-01-01,2023-12-31
