ID,ID_Carto,ID_Fiches,Adresse,Type,Definition,Nom_propri,Adresse_pr,Ville,Code_posta,Adresse_sp,Etag_min,Etag_max,Haut_min,Haut_max,Usage,Densite,Taux_min,Taux_max,Uni_pays,Im_int,Ens_embl,Patrimoine,Air_protec,Compte_fon,Valeur_bat,Valeur_ter,Valeur_pro,No_civique,Nom_rue,Coord_X,Coord_Y,Mise_a_jou
"59","33","27","1857, rue Panet",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Hypérion Immobilier Inc.,"129, rue Osborne",Saint-Lambert (Québec),J4R 1B1,1857 rue Panet,"2","3",S.O.,"12.5",R.3,"3",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"21010000","357400","435300","792700","1857",rue Panet,300106.500258702610154,5042509.103839387185872,Décembre 2022
"60","24","7","801, boulevard de Maisonneuve Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",9364-5364 Québec Inc.,"361, avenue Clarke",Westmount (Québec),H3Z 2E7,801 boulevard de Maisonneuve Est,S.O.,S.O.,"11","44",M.4A,"6",S.O.,100 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"20137250","1418700","649200","2067900","801",boulevard de Maisonneuve Est,300074.604008977883495,5041827.198005491867661,Décembre 2022
"61","31","8","1231, boulevard de Maisonneuve Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Société d'habitation et de développement de Montréal,"800, boulevard de Maisonneuve Est #2200",Montréal (Québec),H2L 4L8,1231 boulevard de Maisonneuve Est,"2","3",S.O.,"12.5",M.7A,"3",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"20138800","1554600","325400","1880000","1231",boulevard de Maisonneuve Est,300299.799615386989899,5042176.301709349267185,Décembre 2022
"62","32","35","1324, rue Sainte-Catherine Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Madame Marie Cotroni A/s de Pierre Allard,"352, avenue Grenfell",Mont-Royal (Québec),H3R 1G3,1324 rue Sainte-Catherine Est,"3","3",S.O.,"14",M.9C,"3",35 %,100 %,Artère commerciale,S.O.,S.O.,S.O.,S.O.,"22071600","250400","239800","490200","1324",rue Sainte-Catherine Est,300515.402426753425971,5042176.801757626235485,Décembre 2022
"63","34","36","1364, rue Sainte-Catherine Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Bahieldin Elibrachy,"3577, avenue Atwater #1512",Montréal (Québec),H3H 2R2,1364 rue Sainte-Catherine Est,"3","3",S.O.,"14",M.9C,"3",35 %,100 %,Artère commerciale,S.O.,S.O.,S.O.,S.O.,"22071140","1545400","810600","2356000","1364",rue Sainte-Catherine Est,300550.202084779914003,5042243.598206420429051,Décembre 2022
"64","28","11","1821, rue Atateken",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",9213-4378 Québec Inc. A/s de Michael Todary,"17870, rue Antoine-Faucon",Pierrefonds (Québec),H9J 3V3,1821 rue Atateken,"2","3",S.O.,"12.5",M.7A,"3",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"20072400","378000","647600","1025600","1821",rue Atateken,299980.300977402366698,5042204.104393530637026,Décembre 2022
"69","29","10","955, rue Atateken",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",9388-9392 Québec Inc.,"1215, boulevard Robert-Bourassa",Montréal (Québec),H3B 0C3,955 rue Atateken,"2",S.O.,S.O.,"16",M.3C,"6",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"11064850","758200","2501600","3259800","955",rue Atateken,5041749.900542888790369,5041749.900542888790369,Décembre 2022
"70","27","16","1010, rue De La Gauchetière Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Capital Roger & Konrad Inc.,"501, rue du Chenal",Repentigny (Québec),J6A 2Z8,1010 rue De La Gauchetière Est,"2",S.O.,S.O.,"16",M.4C,"3",S.O.,100 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"11080850","133000","822600","955600","1010",rue De La Gauchetière Est,300612.501638483197894,5041733.298940103501081,Décembre 2022
"71","39","3","1967, avenue Goulet",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",1967 Goulet Inc.,"3123, avenue Moishe",Boisbriand (Québec),J7E 0A6,1967 avenue Goulet,"2","3",S.O.,"12.5",R.2,"3",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"21041301","476800","55600","532400","1967",avenue Goulet,300235.396740328229498,5042894.981093509122729,Décembre 2022
"72","35","37","1651, rue Sainte-Catherine Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Madame Rosina C. Massarelli,"2020, boulevard Graham",Mont-Royal (Québec),H3R 1H3,1651 rue Sainte-Catherine Est,"3","3",S.O.,"14",M.9C,"3",35 %,100 %,Artère commerciale,S.O.,S.O.,S.O.,S.O.,"22065200","912300","490700","1403000","1651",rue Sainte-Catherine Est,300635.596931793086696,5042464.299513800069690,Décembre 2022
"73","40","26","1886, rue Ontario Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",9417-5700 Québec Inc.,"891, rue Hyacinthe-Hudon",Boucherville (Québec),J4B 7E3,1886 rue Ontario Est,"2","3",S.O.,"12.5",M.7C,"3",35 %,70 %,Artère commerciale,S.O.,S.O.,S.O.,S.O.,"21117400","132600","150200","282800","1886",rue Ontario Est,300237.368088579038158,5042978.709176950156689,Décembre 2022
"76","36","38","1688, rue Sainte-Catherine Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Minh Luat Tran,"2774, rue Sherbrooke Est",Montréal (Québec),H2K 1G8,1688 rue Sainte-Catherine Est,"3","3",S.O.,"14",M.9C,"3",35 %,100 %,Artère commerciale,S.O.,S.O.,S.O.,S.O.,"22069514","1134500","602800","1737300","1688",rue Sainte-Catherine Est,300710.095749354921281,5042476.010644438676536,Décembre 2022
"77","38","5","2049, avenue Papineau",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Malka Sabbah,"425, rue Gratton",Saint-Laurent (Québec),H4M 2E4,2049 avenue Papineau,"2","3",S.O.,"12.5",M.4C,"3",35 %,70 %,Côte Sherbrooke,S.O.,S.O.,S.O.,S.O.,"21039250","178700","111200","289900","2049",avenue Papineau,300108.702559886092786,5042939.895429717376828,Décembre 2022
"80","41","24","2530, rue Logan",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",9391-6039 Québec Inc.,"4073, rue Saint-Hubert",Montréal (Québec),H2L 4A7,2530 rue Logan,"2","3",S.O.,"12.5",R.2,"3",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"23078500","95400","235300","330700","2530",rue Logan,301022.203893480822444,5043452.304899760521948,Décembre 2022
"81","42","25","2533, rue Montgomery",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Monsieur Felisberto Carocha,"2537, rue Montgomery",Montréal (Québec),H2K 2S3,2533 rue Montgomery,"2","3",S.O.,"12.5",R.2,"3",35 %,70 %,Frontenac,S.O.,S.O.,S.O.,S.O.,"30143100","238600","161400","400000","2533",rue Montgomery,300317.467514768999536,5044278.874700088985264,Décembre 2022
"87","37","6","2053, avenue Papineau",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Malka Sabbah,"425, rue Gratton",Saint-Laurent (Québec),H4M 2E4,2053 avenue Papineau,"2","3",S.O.,"12.5",M.4C,"3",35 %,70 %,Côte Sherbrooke,S.O.,S.O.,S.O.,S.O.,"21039150","171900","111500","283400","2053",avenue Papineau,300104.001018033712171,5042943.795806274749339,Décembre 2022
