"Point_echantillonnage ","PlanEau","NOM","Description","Administration","Latitude","Longitude","Statut"
"BLAP-4.4","BLAP","Canal du collecteur St-Pierre","Sur la pointe en amont du canal du collecteur St-Pierre","Le Sud-Ouest","45.46982308","-73.55628486","Actif"
"BLAP-4.5","BLAP","Pont Champlain (rive Montréal)","Sous le pont Champlain, à partir de la rive de Montréal","Le Sud-Ouest","45.47104221","-73.55229683","Inactif"
"BLAP-5","BLAP","Rue Cours du fleuve","200m à l'est de la rue Cours du fleuve, en aval de l'estacade du pont Champlain","Verdun","45.46690529","-73.5319321","Inactif"
"BLAP-5.5","BLAP","Parc Marin, Île des Soeurs","100m à l'ouest de l'intersection des ch. du Golf et du boul. Marguerite-Bourgeoys, Parc Marin","Verdun","45.46152958","-73.55671401","Inactif"
"BLAP-6","BLAP","Parc Gewurz-Remer","Parc Gewurz-Remer, extrémité de la rue Jacques-Le Ber","Verdun","45.47434872","-73.54138749","Actif"
"BLAP-6.5","BLAP","Esplanade de la Pointe-Nord","Esplanade de la Pointe-Nord,  rue de la Rotonde et ch. de la Pointe-N","Verdun","45.47364766","-73.536984","Actif"
"BLAP-7","BLAP","Pont Champlain (IDS sud)","Boul. René-Lévesque, au N. du pont Champlain (rive sud de l'Île)","Verdun","45.47020557","-73.53418892","Inactif"
"BLAP-8","BLAP","Jetée Bikerdike","Ville-Marie, extrémité nord de l'av. Pierre-Dupuy, Parc de la Cité-du-Hâvre, 300m en aval du pont de la Concorde","Ville-Marie","45.50788157","-73.54288393","Inactif"
"BLAP-8.5","BLAP","Parc Cité-du-Havre (Habitat 67)","Parc Cité-du-Havre, la vague éternelle derrière Habitat 67, av. Pierre-Dupuy","Ville-Marie","45.50052818","-73.54282316","Actif"
"BLAP-9","BLAP","Parc de West Vancouver","Parc de West Vancouver, inters. boul. de l'Île-des-Soeurs et rue Darwin","Verdun","45.45660578","-73.54179509","Actif"
"FSL-170","FSL","Plage du parc Jean-Drapeau","Plage du parc Jean-Drapeau","Ville-Marie","45.49825547","-73.52345607","Inactif"
"FSL-180","FSL","Port Sainte-Hélène","Île Sainte-Hélène, extrémité nord de l'av. du Port, rampe de mise à l'eau du Port Sainte-Hélène","Ville-Marie","45.52748099","-73.53570049","Inactif"
"FSL-185","PJD","Bassin d'Aviron","Parc Jean Drapeau, bassin d'Aviron, extrémité nord, au bout du quai central","Ville-Marie","45.51704093","-73.52632987","Inactif"
"FSL-190","FSL","Parc J.-Drapeau (pl Nations)","Parc Jean-Drapeau, place des Nations, ch. du Tour de l'isle","Ville-Marie","45.50635204","-73.53390087","Actif"
"FSL-200","FSL","Marina du Vieux-Port","Marina du Vieux-Port, rue Jacques-Cartier","Ville-Marie","45.50586521","-73.55068953","Actif"
"FSL-201","FSL","Quai Jacques-Cartier","Ville-Marie, 350m à l'est de l'intersection des rues Saint-Gabriel et de la Commune, Quai Jacques-Cartier, quai principal du Port d'Escale","Ville-Marie","45.50533858","-73.55149776","Inactif"
"FSL-205","FSL","Plage de l'Horloge","Vieux-Montréal, plage de l'Horloge, rue Quai de l'Horloge","Ville-Marie","45.51279269","-73.54613431","Actif"
"FSL-300","FSL","Parc de la Prom.-Bellerive (amont)","Parc de la Promenade-Bellerive, inters. rue Bellerive et av. Mercier","Mercier-Hochelaga-Maisonneuve","45.59530239","-73.50791333","Actif"
"FSL-310","FSL","Parc de la Prom.-Bellerive (aval)","Parc de la Promenade-Bellerive, inters. rue Bellerive et av. Gonthier","Mercier-Hochelaga-Maisonneuve","45.6098632","-73.50726791","Actif"
"FSL-330","FSL","Parc de l'Hôtel-de-Ville","Parc de l'Hôtel-de-Ville, intersection avenue broadway et rue sainte-julie","Montréal-Est","45.62930521","-73.49491367","Actif"
"FSL-340","FSL","Parc du Fort-de-Pointe-aux-Trembles","Parc du Fort-de-Pointe-aux-Trembles, inters. rue Bellerive et boul. Saint-Jean-Batiste","Rivière-des-Prairies-Pointe-aux-Trembles","45.63986472","-73.48728939","Actif"
"FSL-360","FSL","Marina Pointe-aux-Trembles","Marina Pointe-aux-Trembles, inters. rue Notre-Dame E. et boul. du Tricentenaire","Rivière-des-Prairies-Pointe-aux-Trembles","45.6493141","-73.48623484","Actif"
"FSL-380","FSL","Rampe de mise à l'eau (36e av.)","Rampe de mise à l'eau, rue Notre-Dame E., entre la 36e av. et la 39e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.65873225","-73.48893252","Actif"
"FSL-390","FSL","Au bout de la 43e av.","75m à l'extrémité est de l'av. 43e","Rivière-des-Prairies-Pointe-aux-Trembles","45.66349809","-73.49140505","Inactif"
"FSL-400","FSL","Parc C.-De La Rousselière","Parc Clémentine-De La Rousselière, inters. rue Notre-Dame E. et boul. de la Rousselière","Rivière-des-Prairies-Pointe-aux-Trembles","45.66746467","-73.4913964","Actif"
"FSL-410","FSL","Havre Liberté","50m au nord-est de l'extrémité de l'av. 55e","Rivière-des-Prairies-Pointe-aux-Trembles","45.67139877","-73.49124721","Inactif"
"FSL-420","FSL","60e Avenue","25m à l'est de l'extrémité de la 60e av","Rivière-des-Prairies-Pointe-aux-Trembles","45.67501758","-73.49056344","Inactif"
"FSL-425","FSL","Parc Marcel-Léger","Parc Marcel-Léger, extrémité de la rue Françoise-Langlois","Rivière-des-Prairies-Pointe-aux-Trembles","45.67698888","-73.49018068","Actif"
"FSL-430","FSL","PN de la Pointe-aux-Prairies (fleuve)","Parc-Nature de la Pointe-aux-Prairie (secteur du Fleuve), rue Notre-Dame E., à l'est de la 67e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.67983155","-73.48994324","Actif"
"FSL-460","FSL","Parc Pierre-Payet (82 av.)","Parc Pierre-Payet, inters. rue Bellerive et 82e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.68866418","-73.48541106","Actif"
"FSL-480","FSL","Parc Pierre-Payet (rampe de mise à l'eau)","Parc Pierre-Payet, rampe de mise à l'eau, inters. rue Bellerive et rue Pauline-Donalda","Rivière-des-Prairies-Pointe-aux-Trembles","45.69229422","-73.48217724","Actif"
"FSL-490","FSL","Future plage de l'Est","future plage de l'Est, inters. rue Bellerive et 94e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.69741608","-73.47983291","Actif"
"FSL-500","FSL","Parc du Bout-de-l'Île (fleuve)","Parc du Bout-de-l'île (cité fleuve), extrémité N. de la rue Bureau","Rivière-des-Prairies-Pointe-aux-Trembles","45.70065023","-73.47821869","Actif"
"IBIZ-1","IBIZ","Pont de l'Île Mercier","250m au sud-est de l'intersection du ch. Cherrier et de la rue LActifs-Roch, sur le pont de l' Île Mercier","L'Île-Bizard-Sainte-Geneviève","45.48386227","-73.87817136","Inactif"
"IBIZ-1.5","IBIZ","Rue Charron","60m au sud-est de la rue Dollard","L'Île-Bizard-Sainte-Geneviève","45.48612619","-73.87508291","Inactif"
"IBIZ-10.5","IBIZ","Pointe des Carrières (plage)","Parc-Nature du Boisé-de-l'Île-Bizard, plage de la Pointe-aux-Carrières, rive à l'ouest du fossé","L'Île-Bizard-Sainte-Geneviève","45.51596554","-73.90113061","Inactif"
"IBIZ-11","IBIZ","Rue Roussin","25m à l'ouest de la rue Roussin, en amont du Parc-nature du Boisé-de-l'Île-Bizard","L'Île-Bizard-Sainte-Geneviève","45.51390698","-73.90208477","Actif"
"IBIZ-11.5","IBIZ","Terrasse Martin","Extrémité de la terrasse Martin (segment ouest)","L'Île-Bizard-Sainte-Geneviève","45.50778943","-73.90975123","Inactif"
"IBIZ-12","IBIZ","Rue Théoret","Extrémité de l'av. Théoret","L'Île-Bizard-Sainte-Geneviève","45.50391486","-73.91261985","Inactif"
"IBIZ-13","IBIZ","Rue Roger","Extrémité de la rue Roger","L'Île-Bizard-Sainte-Geneviève","45.47685217","-73.9271017","Actif"
"IBIZ-13.5","IBIZ","Pointe Théorêt (plage)","Parc-nature du Cap-St-Jacques, côté sud-ouest de la Pointe Théoret, sur la plage","L'Île-Bizard-Sainte-Geneviève","45.46861708","-73.90256253","Inactif"
"IBIZ-14","IBIZ","PN Cap-Saint-Jacques (Pointe-Théoret)","Parc-Nature du Cap-Saint-Jacques, côté est de la pointe Théoret","L'Île-Bizard-Sainte-Geneviève","45.46965128","-73.89927366","Actif"
"IBIZ-15","IBIZ","Parc Terrasse-Sacré-Coeur","Parc Terrasse-Sacré-Coeur, tsse Sacré-Coeur, entre les rues Roy et Paquin","L'Île-Bizard-Sainte-Geneviève","45.48034441","-73.8796409","Actif"
"IBIZ-16","IBIZ","Île Mercier","175m à l'est de l'intersection de la rue LActifs-Roch et du boul. Mercier","L'Île-Bizard-Sainte-Geneviève","45.48448778","-73.87475296","Inactif"
"IBIZ-2","IBIZ","Parc Denis-Benjamin-Viger","Parc Denis-Benjamin-Viger, extrémité de la rue St-Pierre","L'Île-Bizard-Sainte-Geneviève","45.48887768","-73.8682092","Actif"
"IBIZ-3","IBIZ","Place Maxime","60m à l'est de l'extrémité de pl. Maxime","L'Île-Bizard-Sainte-Geneviève","45.49107205","-73.86435873","Inactif"
"IBIZ-4","IBIZ","Rue Emile","Inters. rue Cherrier et rue Émile","L'Île-Bizard-Sainte-Geneviève","45.50347112","-73.86178308","Actif"
"IBIZ-5","IBIZ","Rue des Cèdres","50m au sud-est de la jonction des ch. Cherrier et Dutour","L'Île-Bizard-Sainte-Geneviève","45.50917135","-73.85785882","Inactif"
"IBIZ-6","IBIZ","Rue des Cèdres","65m au nord du coin nord de l'av. des Cèdres","L'Île-Bizard-Sainte-Geneviève","45.51341287","-73.85721301","Inactif"
"IBIZ-6.5","IBIZ","Rue des Érables","50m au nord-est de l'intersection des av. des Vignes et des Érables, rampe de mise à l'eau","L'Île-Bizard-Sainte-Geneviève","45.51605741","-73.86138623","Inactif"
"IBIZ-7","IBIZ","PN Bois-de-l'Île-Bizard (sect. Les rapides)","Parc-Nature du Bois-de-l'Île-Bizard, sect. Les rapides, extrémité de la rue Patenaude","L'Île-Bizard-Sainte-Geneviève","45.5186086","-73.86391674","Actif"
"IBIZ-8","IBIZ","Rapides Lalemant","20m au nord de l'intersection du ch. du Bord-du-lac et de l'av. 5e","L'Île-Bizard-Sainte-Geneviève","45.51989022","-73.87810407","Inactif"
"IBIZ-8.4","IBIZ","Ch. Bord-du-Lac","350m en aval de l'intersection de pl. des Cageux et ch. Bord-du-Lac, 225m au nord-ouest du ch. du Bord-du-lac","L'Île-Bizard-Sainte-Geneviève","45.51768585","-73.89437281","Inactif"
"IBIZ-8.5","IBIZ","PN Bois-de-l'Île-Bizard (sect. Pointe-aux-Carr.)","Parc-Nature du Bois-de-l'Île-Bizard, sect. de la Pointe-aux-Carrières, ch. du Bord-du-Lac et pl. des Cageux","L'Île-Bizard-Sainte-Geneviève","45.5170612","-73.89985601","Actif"
"IBIZ-9","IBIZ","Pointe aux Carrières","Parc-Nature du Boisé-de-l'ile-Bizard, 600m au nord-ouest de l'intersection du ch. du Bord-du-lac et de pl. des Cageux, gazébo de la Pointe aux Carrières","L'Île-Bizard-Sainte-Geneviève","45.5171344","-73.90236494","Inactif"
"LSL-0.5","LSL","Port de plaisance de Lachine","Port de plaisance de Lachine, rampe de mise à l'eau, ch. des Iroquois","Lachine","45.42916994","-73.6739695","Actif"
"LSL-1","LSL","Parc Monk","Parc Monk, inters. boul. Saint-Joseph et la 7e av.","Lachine","45.43091442","-73.67124909","Actif"
"LSL-10","LSL","Parc Edgewater","Parc Edgewater, inters. ch. du Bord-du-Lac et av. Bowling Green","Pointe-Claire","45.43053712","-73.81812911","Actif"
"LSL-10.25","LSL","Club naut. de Pointe-Claire","Pointe-Claire, extrémité de la rue Cartier, jetée du Yacht Club de Pointe-Claire","Pointe-Claire","45.42738946","-73.82095919","Inactif"
"LSL-10.5","LSL","Yatch Club de Beaconsfield","Yatch Club de Beaconsfield, ch. Lakeshore, entre boul. le Beaconsfield et l'av. Old Church","Beaconsfield","45.42550233","-73.83666536","Actif"
"LSL-11","LSL","Parc St-James","Parc Saint-James, inters. Ch. Lakeshore et av. Kirkwood","Beaconsfield","45.42900267","-73.84275687","Actif"
"LSL-11.5","LSL","Club nautique Lord-Reading","Beaconsfield, intersection du boul. Beaconsfield et de la pl. Ashton, jetée du Lord Reading Yacht Club","Beaconsfield","45.42340093","-73.86101893","Inactif"
"LSL-12","LSL","Parc Centennial","Parc Centennial, inters. boul. Beaconsfield et road Shore","Beaconsfield","45.42336106","-73.86186446","Actif"
"LSL-12.5","LSL","Parc Saint-LActifs","Beaconsfield, 60m au sud de l'intersection de la rue Lakeshore et de l'av. Saint-LActifs, Parc St-LActifs","Beaconsfield","45.4171215","-73.87759574","Inactif"
"LSL-13","LSL","Parc Angell","Parc Angell, inters. rue Lakeshore et av. Angell","Beaconsfield","45.41540628","-73.88411111","Actif"
"LSL-14","LSL","Parc Lakeview","Parc Lakeview, inters. rue Lakeshore et boul. Lakeview","Beaconsfield","45.41488375","-73.88950383","Actif"
"LSL-15","LSL","Place Poplar","200m au sud de l'intersection de la route Lakeshore et de la pl. Poplar","Baie d'Urfé","45.41128354","-73.9004006","Inactif"
"LSL-16","LSL","Parc de l'Hôtel de Ville","Parc de l'Hôtel de Ville, inters. rue Lakeshore et rue Carrière","Baie d'Urfé","45.40750035","-73.91696453","Actif"
"LSL-17","LSL","Parc Bertold","Parc Bertold, inters. rue Lakeshore et rue Churchill","Baie d'Urfé","45.40353053","-73.92424807","Actif"
"LSL-17.5","LSL","Club nautique de Baie d'Urfé","220m au sud-ouest de l'intersection de la route Lakeshore et de la rue de la Pointe Caron, quai du Baie d'Urfé Yacht Club","Baie d'Urfé","45.40383788","-73.92279113","Inactif"
"LSL-18","LSL","Campus MacDonald","Ch. Lakeshore, devant le campus MacDonald de l'Université McGill","Sainte-Anne-de-Bellevue","45.40425051","-73.93452077","Actif"
"LSL-19","LSL","Parc Kelso","Parc Kelso, inters. rue Sainte-Anne et rue Perrault","Sainte-Anne-de-Bellevue","45.40225026","-73.94603","Actif"
"LSL-2","LSL","Marina d'escale","Marina d'escale, inters. boul. Saint-Joseph et 24e av.","Lachine","45.43280872","-73.68583515","Actif"
"LSL-2.5","LSL","Parc St-LActifs (quai fédéral)","Parc St-LActifs, quai Fédéral, inters. boul. Saint-Joseph et 34e av.","Lachine","45.43246055","-73.69428667","Actif"
"LSL-20","LSL","Écluse de Sainte-Anne","Écluse de Sainte-Anne, rue Sainte-Anne, à l'est du pont Galipeault (aut. 20)","Sainte-Anne-de-Bellevue","45.40406407","-73.954474","Actif"
"LSL-20.5","LSL","Amont de l'écluse","Parc Promenade du Canal, à la hauteur de la rue Sainte-Anne et Aut. 20","Sainte-Anne-de-Bellevue","45.40490905","-73.95731425","Inactif"
"LSL-21","LSL","Parc Godin","Parc Godin, extrémité de la rue Grier","Sainte-Anne-de-Bellevue","45.40763231","-73.95694304","Actif"
"LSL-3","LSL","Parc Stoney Point","Parc Stoney Point, inters. boul. Saint-Joseph et de la 46e av.","Lachine","45.43564654","-73.707081","Actif"
"LSL-4","LSL","Parc Summerlea","Parc Summerlea, inters. du boul. St-Joseph et de la 53e av.","Lachine","45.43761947","-73.71566501","Actif"
"LSL-4.3","LSL","Parc du Millénaire","Parc du Millénaire, cercle Keiller, à l'est de l'av. Sévigny","Dorval","45.43844684","-73.72326307","Actif"
"LSL-4.5","LSL","Pointe Picard","Pointe Picard, extrémité de l'av. St-Charles","Dorval","45.43696201","-73.7279096","Actif"
"LSL-5","LSL","Avenue Dahlia","Extrémité sud de l'av. Dahlia","Dorval","45.43718903","-73.7324333","Inactif"
"LSL-5.25","LSL","Rue Ash","Île Dorval, aval de l'Île Dorval, 30m au sud-est de l'av. Ash","Dorval","45.43224493","-73.73773162","Inactif"
"LSL-5.5","LSL","Traversier de l'Île Dorval","Embarcadère du traversier de l'Île Dorval, extrémité de l'av. Dorval","Dorval","45.43763734","-73.73935568","Actif"
"LSL-5.75","LSL","Club naut. Royal Saint-Laurent","100m au sud-est de l'av. Allan Point, jetée du Yacht-Club Royal Saint-Laurent","Dorval","45.43786419","-73.75312306","Inactif"
"LSL-6","LSL","Parc Pine Beach (aval)","100m au sud de l'intersection du ch. Bord-du-Lac et du boul. Pine Beach, Parc Pine Beach","Dorval","45.43891635","-73.75820468","Inactif"
"LSL-6.5","LSL","Parc Pine Beach","Parc Pine Beach (amont), inters. ch. du Bord-du-Lac et av. St-LActifs","Dorval","45.43968695","-73.76308106","Actif"
"LSL-7","LSL","Parc Baie de Valois","Parc Baie de Valois, inters. ch. du Bord-du-Lac et av. Canary","Dorval","45.44223668","-73.77523387","Actif"
"LSL-8","LSL","Parc Venture","Parc Venture, inters. ch. du Bord-du-Lac et voie d'accàs à l'aut. 20","Pointe-Claire","45.4468918","-73.79604694","Actif"
"LSL-9","LSL","Parc Stewart","Parc Stewart, ch. du Bord-du-Lac, à l'ouest de la rue Stewart","Pointe-Claire","45.43397114","-73.80738101","Actif"
"RDP-100","RDP","Rue Beaulieu","Extrémité de la rue Beaulieu","L'Île-Bizard-Sainte-Geneviève","45.47272443","-73.87764694","Actif"
"RDP-110","RDP","Parc Antoine-Faucon","Parc Antoine-Faucon, extrémité de la rue du Pont","L'Île-Bizard-Sainte-Geneviève","45.48586623","-73.86905746","Actif"
"RDP-120","RDP","Parc du Portage","Parc du Portage, extrémité de la rue Bourget","L'Île-Bizard-Sainte-Geneviève","45.48777224","-73.86334258","Actif"
"RDP-130","RDP","Chemin de la rive Boisée","250m au nord-ouest de l'intersection du ch. de la Rive-Boisée et du boul. GActifn","Pierrefonds-Roxboro","45.49571437","-73.85328235","Inactif"
"RDP-140","RDP","Parc de la Rive-Boisée","Parc de la Rive-Boisée, ch. Rive-Boisée, au sud de la rue David","Pierrefonds-Roxboro","45.49871531","-73.85492703","Actif"
"RDP-150","RDP","Rue du Bocage","Extrémité de la rue du Bocage","Pierrefonds-Roxboro","45.49952669","-73.85824995","Actif"
"RDP-160","RDP","Parc de Versailles","Parc de Versailles, inters. rue Desjardins et rue William","Pierrefonds-Roxboro","45.51226666","-73.84877857","Actif"
"RDP-180","RDP","PN des Rapides-du-Cheval-Blanc","Parc-Nature des Rapides-du-Cheval-Blanc, extrémité de la rue Riviera","Pierrefonds-Roxboro","45.51691919","-73.82943879","Actif"
"RDP-190","RDP","Parc de l'Île de Roxboro","Parc de l'Île de Roxboro, extrémité de la 5e av. N.","Pierrefonds-Roxboro","45.5139899","-73.82107756","Actif"
"RDP-195","RDP","Parc LActifse-Deschênes","Parc LActifse-Deschênes, extrémité de la 1iere av. N.","Pierrefonds-Roxboro","45.51564581","-73.81324818","Actif"
"RDP-20","RDP","Pointe aux Moutons","Baie à proximité de la pointe aux Moutons, ch. Senneville, au N. de l'av. Sunset","Senneville","45.41728314","-73.9642541","Actif"
"RDP-200","RDP","Parc Paquin","Parc Paquin, inters. rue Saraguay E. et rue du Belvédère","Pierrefonds-Roxboro","45.511057","-73.79923032","Actif"
"RDP-220","RDP","Parc des Anciens-Combattants","Parc des Anciens-Combattants, inters. Rue Rose et boul. Lalande","Pierrefonds-Roxboro","45.50942388","-73.78448318","Actif"
"RDP-240","RDP","Rue Hortie","200m au nord de l'intersection du boul. GActifn et de la rue Hortie","Pierrefonds-Roxboro","45.50865269","-73.77391008","Inactif"
"RDP-25","RDP","Club nautique de Senneville","350m au sud de l'intersection du ch. Senneville et de l'autoroute Transcanadienne, à l'intérieur de la jetée du Club de voile Senneville","Senneville","45.41849706","-73.96853001","Inactif"
"RDP-250","RDP","PN du Bois-de-Liesse","Parc-Nature du Bois-de-Liesse, av. Oakridge, au nord du boul. GActifn O.","Ahuntsic-Cartierville","45.51245105","-73.75763812","Actif"
"RDP-260","RDP","Collège Ste-Marcelline","375m au nord de l'intersection du boul.GActifn et de l'av. LeMesurier, Parc régional du Bois-de-Saraguay","Ahuntsic-Cartierville","45.51717722","-73.74879054","Actif"
"RDP-280","RDP","Parc de Beauséjour","Parc de Beauséjour, inters. rue Henry d'Arles et boul GActifn O.","Ahuntsic-Cartierville","45.52907989","-73.73343558","Actif"
"RDP-290","RDP","Club Canotage de Cartierville","Club de canotage de Cartierville, extrémité de la rue Crevier","Ahuntsic-Cartierville","45.53100792","-73.72842013","Actif"
"RDP-30","RDP","Club de voile de Senneville","Club de voile de Senneville, au sud de l'aut. 40","Senneville","45.41806395","-73.96971472","Actif"
"RDP-300","RDP","Rue Notre-Dame-des-Anges","Extrémité de la rue Notre-Dame-des-Anges","Ahuntsic-Cartierville","45.53686476","-73.72009293","Inactif"
"RDP-305","RDP","Parc Raimbault","Parc Raimbault, rue Notre-Dame-des-anges, à l'est de rue du Bocage","Ahuntsic-Cartierville","45.53722074","-73.71666392","Actif"
"RDP-310","RDP","Parc des Bateliers","Parc des Bateliers, au bout du boul. de l'Acadie","Ahuntsic-Cartierville","45.54479895","-73.70324483","Inactif"
"RDP-320","RDP","Parc de la Merci","Parc de la Merci, boul. GActifn O. et rue de Salaberry","Ahuntsic-Cartierville","45.54768952","-73.68921787","Actif"
"RDP-330","RDP","Parc Nicolas-Viel","Parc Nicolas-Viel, inters. boul. Saint-Laurent et rue Somerville","Ahuntsic-Cartierville","45.55216862","-73.6769465","Actif"
"RDP-340","RDP","Parc Stanley","50m à l'ouest de l'intersection des av. Durham Park Stanley, Parc Stanley","Ahuntsic-Cartierville","45.55953036","-73.67239199","Inactif"
"RDP-35","RDP","Baie Forget","Baie Forget, ch. Senneville, à l'ouest de l'av. Phillips","Senneville","45.44346643","-73.95807475","Actif"
"RDP-350","RDP","Parc GActifn (Sophie-Barrat)","Parc GActifn (Sophie-Barat), av. saint-Charles et av. Park Stanley","Ahuntsic-Cartierville","45.56195002","-73.66952243","Actif"
"RDP-360","RDP","PN de l'Île-de-la-Visitation (pont)","Parc-Nature de l'Île-de-la-Visitation, pont piétonnier, boul. GActifn E. et rue de Lille","Ahuntsic-Cartierville","45.5807147","-73.65738284","Actif"
"RDP-370","RDP","PN de l'Île-de-la-Visitation","350m au nord de la rue D'Iberville, extrémité est de l'Île-de-la-Visitation, au pied du belvédère","Ahuntsic-Cartierville","45.58211807","-73.65736771","Inactif"
"RDP-380","RDP","Parc Aimé-Léonard","Parc Aimé-Léonard, inters. boul. Albert-Brosseau et rue Savard","Montréal-Nord","45.60303782","-73.64298585","Actif"
"RDP-385","RDP","Avenue Pigeon","125m à l'ouest de l'intersection des boul. GActifn et Sainte-Gertrude, bout de la rue Pigeon","Montréal-Nord","45.60815072","-73.64040897","Inactif"
"RDP-40","RDP","Baie Forget","400m à l'est de l'intersection du ch. Senneville et de l'av. Phillips","Senneville","45.44565673","-73.95158465","Inactif"
"RDP-400","RDP","En aval du parc Fortin","Aval du Parc Fortin, inters. boul. GActifn E. et av. Fortin","Montréal-Nord","45.62239412","-73.63038083","Actif"
"RDP-420","RDP","Parc Ernest-Rouleau","Parc Rouleau-Ernest, boul. GActifn E., à l'ouest du pont Olivier-Charbonneau (aut. 25)","Rivière-des-Prairies-Pointe-aux-Trembles","45.63195993","-73.6161285","Actif"
"RDP-440","RDP","Parc André-Corbeil-Dit-Tranchemontagne","Parc André-Corbeil-dit-Tranchemontagne, inters. boul. GActifn E. et 28e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.6451709","-73.59664757","Actif"
"RDP-460","RDP","Parc du Moulin-du-Rapide","Parc Moulin-du-Rapide, inters. rue de Clichy et 58e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.66059726","-73.57305974","Actif"
"RDP-480","RDP","Parc du Cheval-Blanc","Parc du Cheval-Blanc, boul. GActifn E., à l'est de la 68e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.66339294","-73.5628397","Actif"
"RDP-490","RDP","Parc des Cageux","Parc des Cageux, inters. boul. GActifn E. et 94e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.67827951","-73.53501935","Actif"
"RDP-500","RDP","PN de la Pointe-aux-Prairies","200m au nord de l'intersection du boul. GActifn et la rue Mathieu-de-Costa","Rivière-des-Prairies-Pointe-aux-Trembles","45.68133523","-73.53288599","Inactif"
"RDP-520","RDP","Pont Charles-De Gaulle (aut. 40)","Boul. GActifn E., sous le pont Charles-De Gaulle (aut. 40)","Rivière-des-Prairies-Pointe-aux-Trembles","45.69915346","-73.50861352","Actif"
"RDP-540","RDP","Parc GActifn (Haynes)","Parc GActifn (Haynes), inters. boul. GActifn E. et 133e av.","Rivière-des-Prairies-Pointe-aux-Trembles","45.69750574","-73.49819059","Actif"
"RDP-550","RDP","Ex-Marina Clément","100m au nord-ouest de l'intersection de l'av. 100e et de la rue Notre-Dame","Rivière-des-Prairies-Pointe-aux-Trembles","45.7012718","-73.48469667","Inactif"
