NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT, SEJ_MOY ,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
27,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de la femme (C51-C58),2779,24787,8.9,3,1,132,942,822,879,241,2.10%,2375,28.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
28,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de l'homme (C60-C63),3677,24089,6.6,0,2,87,766,1594,1228,210,0.50%,3277,19.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
29,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des voies urinaires (C64-C68),4186,34023,8.1,13,0,55,819,1106,2193,328,2.10%,3660,24.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
30,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de l'oeil  de l'encéphale et d'autres parties du système nerveux central (C69- C72),1441,22390,15.5,65,46,174,456,346,354,190,2.10%,905,50.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
31,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75),2003,5794,2.9,47,34,448,860,369,245,15,0.00%,1957,2.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
32,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de sièges mal définis  secondaires et non précisés (C76-C80),4829,65057,13.5,6,13,154,1364,1382,1910,718,2.50%,3539,58.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
33,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des tissus lymphoïdes  hématopoïétiques et apparentés (C81-C96),4784,94824,19.8,132,110,308,1210,1170,1854,787,3.80%,3866,53.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
34,Soins physiques et psychiatriques de courte durée,Tumeurs in situ (D00-D09),1389,6452,4.6,0,2,76,338,322,651,8,0.00%,1343,7.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
35,Soins physiques et psychiatriques de courte durée,Tumeurs bénignes (D10-D36),8723,37955,4.4,171,124,1238,4729,1311,1150,24,4.20%,8252,8.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
36,Soins physiques et psychiatriques de courte durée,Tumeurs à évolution imprévisible ou inconnue (D37-D48),872,8964,10.3,32,41,154,266,166,213,25,12.00%,765,26.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
37,Soins physiques et psychiatriques de courte durée,Anémies nutritionnelles (D50-D53),1540,11549,7.5,29,17,32,190,263,1009,27,0.00%,1278,90.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
38,Soins physiques et psychiatriques de courte durée,Anémies hémolytiques (D55-D59),620,3600,5.8,181,142,124,46,44,83,9,33.30%,340,75.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
39,Soins physiques et psychiatriques de courte durée,Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64),1184,10131,8.6,47,15,38,156,212,716,47,10.60%,933,82.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
40,Soins physiques et psychiatriques de courte durée,Anomalies de la coagulation  purpura et autres affections hémorragiques (D65-D69),1097,8424,7.7,234,78,72,176,133,404,43,9.30%,620,75.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
41,Soins physiques et psychiatriques de courte durée,Autres maladies du sang et des organes hématopoïétiques (D70-D77),1605,11335,7.1,154,41,135,490,412,373,51,3.90%,712,83.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
42,Soins physiques et psychiatriques de courte durée,Certaines anomalies du système immunitaire (D80- D89),128,2308,18,17,4,20,49,15,23,10,20.00%,79,49.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
43,Soins physiques et psychiatriques de courte durée,Affections de la glande thyroïde (E00-E07),1232,4175,3.4,9,12,185,529,280,217,7,0.00%,1054,14.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
44,Soins physiques et psychiatriques de courte durée,Diabète sucré (E10-E14),4741,46033,9.7,130,383,611,1223,871,1523,75,4.00%,1285,85.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
45,Soins physiques et psychiatriques de courte durée,Autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne (E15-E16),211,1089,5.2,56,4,15,33,29,74,7,28.60%,25,77.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
46,Soins physiques et psychiatriques de courte durée,Maladies des autres glandes endocrines (E20-E35),701,6574,9.4,30,19,53,158,150,291,12,0.00%,297,63.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
47,Soins physiques et psychiatriques de courte durée,Malnutrition (E40-E46),175,3513,20.1,25,9,8,36,31,66,20,10.00%,87,60.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
48,Soins physiques et psychiatriques de courte durée,Autres carences nutritionnelles (E50-E64),65,1428,22,6,0,3,25,16,15,3,0.00%,15,78.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
49,Soins physiques et psychiatriques de courte durée,Obésité et autres excès d'apport (E65-E68),1631,6407,3.9,0,13,500,925,161,32,4,0.00%,1589,3.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
50,Soins physiques et psychiatriques de courte durée,Anomalies du métabolisme (E70-E90),3164,29513,9.3,400,209,336,462,488,1269,130,7.70%,1029,71.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
51,Soins physiques et psychiatriques de courte durée,Troubles mentaux organiques  y compris les troubles symptomatiques (F00-F09),5301,198188,37.4,1,19,63,206,367,4645,325,3.10%,987,90.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
52,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives (F10-F19),6197,55769,9,1,436,2460,2363,553,384,13,7.70%,503,79.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
53,Soins physiques et psychiatriques de courte durée,Schizophrénie  trouble schizotypique et troubles délirants (F20-F29),10897,482748,44.3,3,491,4882,3794,1034,693,18,5.60%,930,75.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
54,Soins physiques et psychiatriques de courte durée,Troubles de l'humeur [affectifs] (F30-F39),9359,254974,27.2,9,656,2657,3463,1384,1190,21,9.50%,1157,79.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
55,Soins physiques et psychiatriques de courte durée,Troubles névrotiques  troubles liés à des facteurs de stress et troubles somatoformes (F40-F48),5831,61697,10.6,36,1138,1593,1916,485,663,1,0.00%,377,81.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
56,Soins physiques et psychiatriques de courte durée,Syndromes comportementaux associés à des perturbations physiologiques et à des facteurs physiques (F50-F59),526,17553,33.4,16,332,120,38,13,7,1,0.00%,55,47.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
57,Soins physiques et psychiatriques de courte durée,Troubles de la personnalité et du comportement chez l'adulte (F60-F69),3480,54093,15.5,2,341,1398,1171,230,338,17,11.80%,211,74.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
58,Soins physiques et psychiatriques de courte durée,Retard mental (F70-F79),331,27923,84.4,2,33,118,135,31,12,3,0.00%,29,68.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
59,Soins physiques et psychiatriques de courte durée,Troubles du développement psychologique (F80- F89),301,22399,74.4,63,112,95,27,2,2,0,0.00%,54,44.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
60,Soins physiques et psychiatriques de courte durée,Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98),527,13598,25.8,128,326,54,9,2,8,0,0.00%,49,50.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
61,Soins physiques et psychiatriques de courte durée,Trouble mental  sans précision (F99),17,144,8.5,0,0,8,8,0,1,0,0.00%,4,52.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
62,Soins physiques et psychiatriques de courte durée,Maladies inflammatoires du système nerveux central (G00-G09),519,8563,16.5,110,26,94,135,83,71,28,7.10%,298,70.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
63,Soins physiques et psychiatriques de courte durée,Affections dégénératives systémiques affectant principalement le système nerveux central (G10- G14),293,6910,23.6,17,12,2,40,89,133,63,6.30%,114,68.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
64,Soins physiques et psychiatriques de courte durée,Syndromes extrapyramidaux et troubles de la motricité (G20-G26),1082,27813,25.7,30,14,13,117,180,728,63,3.20%,245,79.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
65,Soins physiques et psychiatriques de courte durée,Autres affections dégénératives du système nerveux (G30-G32),3474,146666,42.2,4,2,4,73,210,3181,214,4.20%,543,90.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
66,Soins physiques et psychiatriques de courte durée,Maladies démyélinisantes du système nerveux central (G35-G37),442,9458,21.4,9,11,122,201,65,34,12,8.30%,128,75.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
67,Soins physiques et psychiatriques de courte durée,Affections épisodiques et paroxystiques (G40-G47),6775,35467,5.2,879,517,801,1665,1027,1886,57,8.80%,2449,64.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
68,Soins physiques et psychiatriques de courte durée,Affections des nerfs  des racines et des plexus nerveux (G50-G59),482,2928,6.1,14,10,61,164,97,136,0,0.00%,284,49.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
69,Soins physiques et psychiatriques de courte durée,Polynévrites et autres affections du système nerveux périphérique (G60-G64),475,11594,24.4,8,8,61,130,106,162,14,7.10%,277,71.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
70,Soins physiques et psychiatriques de courte durée,Affections musculaires et des jonctions neuro- musculaires (G70-G73),370,8325,22.5,14,23,25,82,74,152,23,8.70%,246,55.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
71,Soins physiques et psychiatriques de courte durée,Paralysies cérébrales et autres syndromes paralytiques (G80-G83),380,6903,18.2,30,37,58,93,71,91,14,0.00%,177,57.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
72,Soins physiques et psychiatriques de courte durée,Autres affections du système nerveux (G90-G99),1319,19220,14.6,88,50,142,326,282,431,131,8.40%,793,61.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
73,Soins physiques et psychiatriques de courte durée,Affections de la paupière  de l'appareil lacrymal et de l'orbite (H00-H06),364,1197,3.3,172,38,23,54,35,42,0,0.00%,117,68.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
74,Soins physiques et psychiatriques de courte durée,Affections de la conjonctive (H10-H13),21,122,5.8,15,1,1,0,1,3,0,0.00%,2,71.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
75,Soins physiques et psychiatriques de courte durée,Affections de la sclère  de la cornée  de l'iris et du corps ciliaire (H15-H22),235,1027,4.4,5,11,25,46,40,108,0,0.00%,178,12.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
76,Soins physiques et psychiatriques de courte durée,Affections du cristallin (H25-H28),144,332,2.3,8,4,5,26,42,59,0,0.00%,137,4.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
77,Soins physiques et psychiatriques de courte durée,Affections de la choroïde et de la rétine (H30-H36),443,1007,2.3,6,12,19,129,123,154,1,0.00%,387,13.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
78,Soins physiques et psychiatriques de courte durée,Glaucome (H40-H42),89,243,2.7,1,3,5,19,21,40,0,0.00%,66,19.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
79,Soins physiques et psychiatriques de courte durée,Affections du corps vitré et du globe oculaire (H43- H45),115,634,5.5,1,0,13,32,28,41,1,0.00%,92,24.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
80,Soins physiques et psychiatriques de courte durée,Affections du nerf et des voies optiques (H46-H48),53,296,5.6,5,8,9,20,1,10,0,0.00%,24,54.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
81,Soins physiques et psychiatriques de courte durée,Affections des muscles oculaires  des mouvements binoculaires  de l'accommodation et de la réfraction (H49-H52),85,369,4.3,9,1,6,21,16,32,0,0.00%,26,76.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
82,Soins physiques et psychiatriques de courte durée,Troubles de la vision et cécité (H53-H54),94,549,5.8,0,2,5,28,20,39,0,0.00%,45,62.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
83,Soins physiques et psychiatriques de courte durée,Autres affections de l'oeil et de ses annexes (H55- H59),78,239,3.1,7,3,9,14,11,34,0,0.00%,56,25.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
84,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille externe (H60-H62),158,552,3.5,38,16,29,36,12,27,0,0.00%,30,84.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
85,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille moyenne et de l'apophyse mastoïde (H65-H75),1387,3068,2.2,1006,69,82,126,66,38,1,0.00%,573,58.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
86,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille interne (H80-H83),1378,6336,4.6,7,7,72,341,247,704,2,0.00%,355,77.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
87,Soins physiques et psychiatriques de courte durée,Autres affections de l'oreille (H90-H95),227,363,1.6,48,13,26,62,44,34,0,0.00%,210,7.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
88,Soins physiques et psychiatriques de courte durée,Rhumatisme articulaire aigu (I00-I02),14,219,15.6,3,3,2,3,1,2,0,0.00%,5,78.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
89,Soins physiques et psychiatriques de courte durée,Cardiopathies rhumatismales chroniques (I05-I09),1037,14536,14,2,2,28,157,220,628,57,12.30%,884,27.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
90,Soins physiques et psychiatriques de courte durée,Maladies hypertensives (I10-I15),1105,7221,6.5,16,10,58,199,174,648,13,7.70%,265,84.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
91,Soins physiques et psychiatriques de courte durée,Cardiopathies ischémiques (I20-I25),32520,194756,6,3,6,343,8319,9279,14570,1240,3.90%,24516,58.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
92,Soins physiques et psychiatriques de courte durée,Affections cardiopulmonaires et maladies de la circulation pulmonaire (I26-I28),3048,23655,7.8,15,27,248,786,683,1289,174,4.00%,1076,86.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
93,Soins physiques et psychiatriques de courte durée,Autres formes de cardiopathies (I30-I52),33289,283659,8.5,112,284,1021,4549,6282,21041,1972,4.10%,18017,71.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
94,Soins physiques et psychiatriques de courte durée,Maladies cérébrovasculaires (I60-I69),12050,220639,18.3,28,35,259,2052,2446,7230,1594,1.90%,4715,73.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
