NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
55,Soins physiques et psychiatriques de courte durée,Troubles névrotiques  troubles liés à des facteurs de stress et troubles somatoformes (F40-F48),7017,70100,10.0,57,1705,2008,1875,591,781,2,50.00%,469,81.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
56,Soins physiques et psychiatriques de courte durée,Syndromes comportementaux associés à des perturbations physiologiques et à des facteurs physiques (F50-F59),591,18337,31.0,9,361,152,39,14,16,2,0.00%,83,50.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
57,Soins physiques et psychiatriques de courte durée,Troubles de la personnalité et du comportement chez l'adulte (F60-F69),4679,67717,14.5,11,606,1999,1288,331,444,13,7.70%,313,72.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
58,Soins physiques et psychiatriques de courte durée,Retard mental (F70-F79),454,20037,44.1,0,46,179,151,57,21,0,0.00%,47,75.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
59,Soins physiques et psychiatriques de courte durée,Troubles du développement psychologique (F80- F89),328,17058,52.0,78,116,107,18,3,6,0,0.00%,94,56.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
60,Soins physiques et psychiatriques de courte durée,Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98),665,12514,18.8,131,459,46,12,2,15,1,0.00%,69,60.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
61,Soins physiques et psychiatriques de courte durée,Trouble mental  sans précision (F99),24,373,15.5,0,5,8,9,0,2,0,0.00%,5,87.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
62,Soins physiques et psychiatriques de courte durée,Maladies inflammatoires du système nerveux central (G00-G09),647,11094,17.1,101,25,109,165,121,126,33,12.10%,390,73.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
63,Soins physiques et psychiatriques de courte durée,Affections dégénératives systémiques affectant principalement le système nerveux central (G10- G14),306,8136,26.6,11,2,16,60,77,140,63,3.20%,117,65.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
64,Soins physiques et psychiatriques de courte durée,Syndromes extrapyramidaux et troubles de la motricité (G20-G26),1319,33515,25.4,32,8,32,93,214,940,65,1.50%,286,79.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
65,Soins physiques et psychiatriques de courte durée,Autres affections dégénératives du système nerveux (G30-G32),3628,140656,38.8,6,1,3,81,303,3234,220,3.60%,477,89.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
66,Soins physiques et psychiatriques de courte durée,Maladies démyélinisantes du système nerveux central (G35-G37),400,6653,16.6,3,13,94,176,67,47,9,0.00%,117,76.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
67,Soins physiques et psychiatriques de courte durée,Affections épisodiques et paroxystiques (G40-G47),6893,32828,4.8,1304,466,790,1227,975,2131,53,1.90%,2163,71.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
68,Soins physiques et psychiatriques de courte durée,Affections des nerfs  des racines et des plexus nerveux (G50-G59),496,3085,6.2,14,13,61,143,110,155,1,0.00%,252,54.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
69,Soins physiques et psychiatriques de courte durée,Polynévrites et autres affections du système nerveux périphérique (G60-G64),529,10885,20.6,13,21,66,114,127,188,4,50.00%,286,71.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
70,Soins physiques et psychiatriques de courte durée,Affections musculaires et des jonctions neuro- musculaires (G70-G73),375,5764,15.4,13,19,26,81,97,139,16,6.20%,215,58.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
71,Soins physiques et psychiatriques de courte durée,Paralysies cérébrales et autres syndromes paralytiques (G80-G83),381,6219,16.3,33,27,48,81,57,135,10,0.00%,157,62.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
72,Soins physiques et psychiatriques de courte durée,Autres affections du système nerveux (G90-G99),1508,22639,15.0,80,65,180,315,311,557,131,5.30%,918,56.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
73,Soins physiques et psychiatriques de courte durée,Affections de la paupière  de l'appareil lacrymal et de l'orbite (H00-H06),398,1450,3.6,201,39,34,47,26,51,0,0.00%,92,72.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
74,Soins physiques et psychiatriques de courte durée,Affections de la conjonctive (H10-H13),26,91,3.5,19,0,3,1,0,3,0,0.00%,3,76.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
75,Soins physiques et psychiatriques de courte durée,Affections de la sclère  de la cornée  de l'iris et du corps ciliaire (H15-H22),265,1002,3.8,12,5,22,48,57,121,1,0.00%,196,13.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
76,Soins physiques et psychiatriques de courte durée,Affections du cristallin (H25-H28),120,222,1.8,11,4,6,9,25,65,1,0.00%,114,10.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
77,Soins physiques et psychiatriques de courte durée,Affections de la choroïde et de la rétine (H30-H36),189,542,2.9,5,3,14,51,54,62,0,0.00%,132,48.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
78,Soins physiques et psychiatriques de courte durée,Glaucome (H40-H42),45,374,8.3,5,1,5,6,4,24,0,0.00%,25,48.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
79,Soins physiques et psychiatriques de courte durée,Affections du corps vitré et du globe oculaire (H43- H45),79,465,5.9,2,0,7,12,17,41,1,0.00%,51,29.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
80,Soins physiques et psychiatriques de courte durée,Affections du nerf et des voies optiques (H46-H48),55,226,4.1,4,4,7,17,5,18,0,0.00%,25,76.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
81,Soins physiques et psychiatriques de courte durée,Affections des muscles oculaires  des mouvements binoculaires  de l'accommodation et de la réfraction (H49-H52),103,517,5.0,14,3,7,20,23,36,0,0.00%,34,79.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
82,Soins physiques et psychiatriques de courte durée,Troubles de la vision et cécité (H53-H54),118,529,4.5,2,6,14,29,23,44,0,0.00%,40,72.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
83,Soins physiques et psychiatriques de courte durée,Autres affections de l'oeil et de ses annexes (H55- H59),49,271,5.5,16,0,7,11,3,12,0,0.00%,24,46.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
84,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille externe (H60-H62),188,615,3.3,38,16,25,51,20,38,1,0.00%,31,83.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
85,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille moyenne et de l'apophyse mastoïde (H65-H75),1354,2981,2.2,1024,36,92,105,50,47,0,0.00%,491,55.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
86,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille interne (H80-H83),1596,6419,4.0,8,5,80,370,294,839,0,0.00%,272,88.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
87,Soins physiques et psychiatriques de courte durée,Autres affections de l'oreille (H90-H95),79,174,2.2,12,4,12,22,14,15,0,0.00%,60,22.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
88,Soins physiques et psychiatriques de courte durée,Rhumatisme articulaire aigu (I00-I02),12,75,6.2,1,0,5,0,2,4,0,0.00%,2,58.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
89,Soins physiques et psychiatriques de courte durée,Cardiopathies rhumatismales chroniques (I05-I09),1143,15559,13.6,4,3,30,129,252,725,59,11.90%,982,27.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
90,Soins physiques et psychiatriques de courte durée,Maladies hypertensives (I10-I15),1121,6922,6.2,23,19,86,214,166,613,22,0.00%,274,83.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
91,Soins physiques et psychiatriques de courte durée,Cardiopathies ischémiques (I20-I25),32588,181526,5.6,1,3,288,7431,9548,15317,1071,2.80%,25401,54.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
92,Soins physiques et psychiatriques de courte durée,Affections cardiopulmonaires et maladies de la circulation pulmonaire (I26-I28),2834,23127,8.2,11,31,184,605,623,1380,164,7.30%,952,90.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
93,Soins physiques et psychiatriques de courte durée,Autres formes de cardiopathies (I30-I52),38871,304262,7.8,109,264,1175,4892,6993,25438,2221,2.30%,21187,70.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
94,Soins physiques et psychiatriques de courte durée,Maladies cérébrovasculaires (I60-I69),14117,233863,16.6,15,29,338,2103,2982,8650,1610,1.20%,8808,74.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
