NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,Soins physiques et psychiatriques de courte durée,Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09),1197,9063,7.6,363,46,79,124,125,460,30,0,87.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
12,Soins physiques et psychiatriques de courte durée,Hépatite virale (B15-B19),160,744,4.7,11,12,56,39,27,15,5,0,95,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
13,Soins physiques et psychiatriques de courte durée,Immunodéficience humaine virale [VIH],50,722,14.4,0,0,6,37,4,3,5,0,82,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
14,Soins physiques et psychiatriques de courte durée,Autres maladies virales (B25-B34),2191,6271,2.9,1226,175,227,163,115,285,2,0,86.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
15,Soins physiques et psychiatriques de courte durée,Mycoses (B35-B49),449,5915,13.2,18,7,23,97,110,194,44,11.4,78.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
16,Soins physiques et psychiatriques de courte durée,Maladies dues à des protozoaires (B50-B64),101,406,4,12,16,37,29,5,2,1,100,91.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
17,Soins physiques et psychiatriques de courte durée,Helminthiases (B65-B83),26,313,12,2,1,10,4,0,9,1,0,53.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
18,Soins physiques et psychiatriques de courte durée,Pédiculose  acariase et autres infestations (B85-B89),13,104,8,3,0,2,0,4,4,0,0,92.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
19,Soins physiques et psychiatriques de courte durée,Autres maladies infectieuses (B99),19,111,5.8,2,0,2,4,1,10,2,0,89.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
20,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la lèvre  de la cavité buccale et du pharynx (C00-C14),862,9638,11.2,3,3,30,225,292,309,71,0,25.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
21,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes digestifs (C15-C26),11049,125724,11.4,19,11,182,1948,3082,5807,1322,0.9,44.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
22,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39),8244,89520,10.9,4,11,37,1167,2897,4128,1631,1.1,54.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
23,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des os et du cartilage articulaire (C40-C41),230,2899,12.6,14,53,46,48,25,44,11,9.1,23,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
24,Soins physiques et psychiatriques de courte durée,Mélanome malin et autres tumeurs malignes de la peau (C43-C44),618,5221,8.4,0,0,30,103,123,362,84,0,29.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
25,Soins physiques et psychiatriques de courte durée,Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49),680,7324,10.8,24,14,41,154,142,305,84,4.8,43.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
26,Soins physiques et psychiatriques de courte durée,Tumeur maligne du sein (C50),2884,18614,6.5,0,0,164,917,681,1122,261,0.4,28.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
27,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de la femme (C51-C58),3212,19895,6.2,0,4,148,943,995,1122,216,1.4,24.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
28,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de l'homme (C60-C63),2933,16271,5.5,1,3,39,537,1147,1206,173,0,21.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
29,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des voies urinaires (C64-C68),3644,28281,7.8,13,4,54,680,970,1923,290,0.7,27.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
30,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de l'oeil  de l'encéphale et d'autres parties du système nerveux central (C69-C72),1516,22165,14.6,78,38,139,395,408,458,118,1.7,41.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
31,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75),1680,4836,2.9,29,29,340,645,319,318,14,0,3.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
32,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de sièges mal définis  secondaires et non précisés (C76-C80),4977,54299,10.9,18,16,113,1099,1551,2180,542,1.1,54.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
33,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des tissus lymphoïdes  hématopoïétiques et apparentés (C81-C96),4796,83739,17.5,113,120,283,960,1302,2018,653,1.8,56.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
34,Soins physiques et psychiatriques de courte durée,Tumeurs in situ (D00-D09),1911,7462,3.9,0,1,87,458,481,884,7,0,8.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
35,Soins physiques et psychiatriques de courte durée,Tumeurs bénignes (D10-D36),7020,27953,4,169,95,911,3380,1290,1175,22,9.1,8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
36,Soins physiques et psychiatriques de courte durée,Tumeurs à évolution imprévisible ou inconnue (D37-D48),963,7719,8,28,27,112,276,228,292,27,0,25.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
37,Soins physiques et psychiatriques de courte durée,Anémies nutritionnelles (D50-D53),1824,11798,6.5,43,10,47,188,286,1250,23,0,93.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
38,Soins physiques et psychiatriques de courte durée,Anémies hémolytiques (D55-D59),686,3997,5.8,181,149,169,61,32,94,8,12.5,79.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
39,Soins physiques et psychiatriques de courte durée,Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64),1165,9392,8.1,41,20,37,154,226,687,32,3.1,80.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
40,Soins physiques et psychiatriques de courte durée,Anomalies de la coagulation  purpura et autres affections hémorragiques (D65-D69),1028,7414,7.2,178,55,83,128,141,443,26,0,76.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
41,Soins physiques et psychiatriques de courte durée,Autres maladies du sang et des organes hématopoïétiques (D70-D77),1742,11391,6.5,188,95,163,372,399,525,58,0,85.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
42,Soins physiques et psychiatriques de courte durée,Certaines anomalies du système immunitaire (D80-D89),165,2067,12.5,14,17,21,47,27,39,6,0,59.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
43,Soins physiques et psychiatriques de courte durée,Affections de la glande thyroïde (E00-E07),1052,3324,3.2,3,12,176,355,259,247,6,0,18.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
44,Soins physiques et psychiatriques de courte durée,Diabète sucré (E10-E14),5392,44368,8.2,103,298,797,1476,1044,1674,85,1.2,87.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
45,Soins physiques et psychiatriques de courte durée,Autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne (E15-E16),243,1350,5.6,106,10,9,18,29,71,5,0,79.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
46,Soins physiques et psychiatriques de courte durée,Maladies des autres glandes endocrines (E20-E35),987,5534,5.6,18,22,80,252,213,402,13,0,62.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
47,Soins physiques et psychiatriques de courte durée,Malnutrition (E40-E46),319,5203,16.3,27,6,15,73,73,125,31,0,59.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
48,Soins physiques et psychiatriques de courte durée,Autres carences nutritionnelles (E50-E64),103,1822,17.7,4,0,5,33,28,33,2,0,83.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
49,Soins physiques et psychiatriques de courte durée,Obésité et autres excès d'apport (E65-E68),3848,8908,2.3,4,9,1164,2191,415,65,3,0,2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
50,Soins physiques et psychiatriques de courte durée,Anomalies du métabolisme (E70-E90),4016,32869,8.2,478,203,397,551,594,1793,155,3.2,78.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
51,Soins physiques et psychiatriques de courte durée,Troubles mentaux organiques  y compris les troubles symptomatiques (F00-F09),8101,213392,26.3,1,17,54,192,537,7300,382,1,90.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
52,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives (F10-F19),9240,70743,7.7,4,419,3863,3496,965,493,11,0,80.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
53,Soins physiques et psychiatriques de courte durée,Schizophrénie  trouble schizotypique et troubles délirants (F20-F29),12059,513257,42.6,1,436,5509,4105,1250,758,20,5,70,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
54,Soins physiques et psychiatriques de courte durée,Troubles de l'humeur [affectifs] (F30-F39),9507,231558,24.4,7,741,2910,3038,1434,1377,16,0,72.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
55,Soins physiques et psychiatriques de courte durée,Troubles névrotiques  troubles liés à des facteurs de stress et troubles somatoformes (F40-F48),7896,73200,9.3,64,1984,2375,1913,654,906,4,0,78.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
56,Soins physiques et psychiatriques de courte durée,Syndromes comportementaux associés à des perturbations physiologiques et à des facteurs physiques (F50-F59),608,18342,30.2,11,357,173,25,12,30,1,0,48.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
57,Soins physiques et psychiatriques de courte durée,Troubles de la personnalité et du comportement chez l'adulte (F60-F69),5554,67358,12.1,1,768,2651,1374,340,420,10,0,73.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
58,Soins physiques et psychiatriques de courte durée,Retard mental (F70-F79),486,13968,28.7,1,40,236,139,52,18,1,0,71,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
59,Soins physiques et psychiatriques de courte durée,Troubles du développement psychologique (F80-F89),357,9067,25.4,62,147,119,19,6,4,0,0,61.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
60,Soins physiques et psychiatriques de courte durée,Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98),652,20443,31.4,147,434,48,12,0,11,0,0,63.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
61,Soins physiques et psychiatriques de courte durée,Trouble mental  sans précision (F99),12,310,25.8,0,2,7,2,1,0,0,0,75,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
62,Soins physiques et psychiatriques de courte durée,Maladies inflammatoires du système nerveux central (G00-G09),697,11818,17,111,49,98,197,98,144,38,5.3,64.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
63,Soins physiques et psychiatriques de courte durée,Affections dégénératives systémiques affectant principalement le système nerveux central (G10-G14),325,6922,21.3,13,8,8,56,87,153,59,1.7,58.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
64,Soins physiques et psychiatriques de courte durée,Syndromes extrapyramidaux et troubles de la motricité (G20-G26),1505,31827,21.1,30,10,35,109,281,1040,70,2.9,79.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
65,Soins physiques et psychiatriques de courte durée,Autres affections dégénératives du système nerveux (G30-G32),3699,113431,30.7,4,0,5,81,296,3313,189,1.6,91.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
66,Soins physiques et psychiatriques de courte durée,Maladies démyélinisantes du système nerveux central (G35-G37),498,7859,15.8,4,16,122,206,85,65,18,5.6,74.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
67,Soins physiques et psychiatriques de courte durée,Affections épisodiques et paroxystiques (G40-G47),7042,33356,4.7,1313,440,884,1289,927,2189,67,7.5,70.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
68,Soins physiques et psychiatriques de courte durée,Affections des nerfs  des racines et des plexus nerveux (G50-G59),609,3779,6.2,12,17,97,175,117,191,3,0,55.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
69,Soins physiques et psychiatriques de courte durée,Polynévrites et autres affections du système nerveux périphérique (G60-G64),483,10220,21.2,15,9,41,105,105,208,13,7.7,69.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
70,Soins physiques et psychiatriques de courte durée,Affections musculaires et des jonctions neuro-musculaires (G70-G73),402,5981,14.9,14,17,19,76,90,186,27,3.7,57.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
71,Soins physiques et psychiatriques de courte durée,Paralysies cérébrales et autres syndromes paralytiques (G80-G83),455,6935,15.2,44,17,61,107,93,133,9,0,56.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
72,Soins physiques et psychiatriques de courte durée,Autres affections du système nerveux (G90-G99),1403,17301,12.3,74,62,170,311,324,462,113,6.2,53.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
73,Soins physiques et psychiatriques de courte durée,Affections de la paupière  de l'appareil lacrymal et de l'orbite (H00-H06),361,1337,3.7,161,33,24,50,37,56,0,0,69,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
74,Soins physiques et psychiatriques de courte durée,Affections de la conjonctive (H10-H13),24,124,5.2,14,3,1,2,0,4,0,0,62.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
75,Soins physiques et psychiatriques de courte durée,Affections de la sclère  de la cornée  de l'iris et du corps ciliaire (H15-H22),180,1044,5.8,8,4,12,28,23,105,0,0,31.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
76,Soins physiques et psychiatriques de courte durée,Affections du cristallin (H25-H28),77,115,1.5,6,2,4,9,19,37,0,0,11.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
77,Soins physiques et psychiatriques de courte durée,Affections de la choroïde et de la rétine (H30-H36),161,426,2.6,4,4,12,40,40,61,0,0,52.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
78,Soins physiques et psychiatriques de courte durée,Glaucome (H40-H42),46,135,2.9,5,3,4,10,10,14,0,0,34.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
79,Soins physiques et psychiatriques de courte durée,Affections du corps vitré et du globe oculaire (H43-H45),75,351,4.7,1,1,4,14,17,38,0,0,32,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
80,Soins physiques et psychiatriques de courte durée,Affections du nerf et des voies optiques (H46-H48),54,212,3.9,4,8,17,11,8,6,0,0,72.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
81,Soins physiques et psychiatriques de courte durée,Affections des muscles oculaires  des mouvements binoculaires  de l'accommodation et de la réfraction (H49-H52),103,417,4,13,3,8,28,21,30,0,0,80.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
82,Soins physiques et psychiatriques de courte durée,Troubles de la vision et cécité (H53-H54),143,514,3.6,3,2,15,32,27,64,0,0,70.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
83,Soins physiques et psychiatriques de courte durée,Autres affections de l'oeil et de ses annexes (H55-H59),41,104,2.5,10,3,2,6,6,14,0,0,48.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
84,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille externe (H60-H62),228,767,3.4,48,21,33,53,27,46,0,0,75.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
85,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille moyenne et de l'apophyse mastoïde (H65-H75),1309,3426,2.6,948,43,87,106,54,71,4,0,57.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
86,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille interne (H80-H83),1705,6942,4.1,6,11,66,345,338,939,0,0,90.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
87,Soins physiques et psychiatriques de courte durée,Autres affections de l'oreille (H90-H95),90,184,2,19,5,11,20,17,18,0,0,21.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
88,Soins physiques et psychiatriques de courte durée,Rhumatisme articulaire aigu (I00-I02),15,74,4.9,2,2,3,3,2,3,2,0,80,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
89,Soins physiques et psychiatriques de courte durée,Cardiopathies rhumatismales chroniques (I05-I09),1272,17000,13.4,0,1,17,157,279,818,58,8.6,26.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
90,Soins physiques et psychiatriques de courte durée,Maladies hypertensives (I10-I15),1175,7414,6.3,15,13,83,220,179,665,38,0,88.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
91,Soins physiques et psychiatriques de courte durée,Cardiopathies ischémiques (I20-I25),31710,182073,5.7,0,1,270,6643,9241,15555,1050,2.7,56.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
92,Soins physiques et psychiatriques de courte durée,Affections cardiopulmonaires et maladies de la circulation pulmonaire (I26-I28),3002,21812,7.3,8,26,218,616,644,1490,165,5.5,90.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
93,Soins physiques et psychiatriques de courte durée,Autres formes de cardiopathies (I30-I52),42011,321948,7.7,114,245,1259,4839,6965,28589,2358,2.4,73.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
94,Soins physiques et psychiatriques de courte durée,Maladies cérébrovasculaires (I60-I69),14458,209682,14.5,18,32,299,2030,3020,9059,1462,1.4,72.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
