NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
19,Soins physiques et psychiatriques de courte durée,Autres maladies infectieuses (B99),28,125,4.5,2,1,1,3,8,13,2,50.00%,10,75.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
20,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la lèvre  de la cavité buccale et du pharynx (C00-C14),972,11799,12.1,0,1,32,288,284,367,92,2.20%,795,26.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
21,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes digestifs (C15-C26),11582,138700,12,4,10,191,2154,3217,6006,1473,1.70%,9033,46.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
22,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39),8469,100664,11.9,1,1,55,1583,2840,3989,1838,1.00%,5533,58.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
23,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des os et du cartilage articulaire (C40-C41),211,2796,13.3,17,43,31,47,34,39,13,0.00%,179,19.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
24,Soins physiques et psychiatriques de courte durée,Mélanome malin et autres tumeurs malignes de la peau (C43-C44),557,4539,8.1,1,3,19,137,103,294,74,0.00%,422,31.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
25,Soins physiques et psychiatriques de courte durée,Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49),731,8182,11.2,36,18,49,157,169,302,68,4.40%,582,37.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
26,Soins physiques et psychiatriques de courte durée,Tumeur maligne du sein (C50),2864,18786,6.6,0,0,146,903,746,1069,292,1.40%,2257,30.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
27,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de la femme (C51-C58),3232,24611,7.6,1,13,128,998,1023,1069,229,1.30%,2708,30.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
28,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de l'homme (C60-C63),3020,19290,6.4,1,8,56,532,1181,1242,203,2.00%,2544,23.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
29,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des voies urinaires (C64-C68),3739,30756,8.2,19,2,58,715,1033,1912,323,1.20%,3148,26.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
30,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de l'oeil  de l'encéphale et d'autres parties du système nerveux central (C69- C72),1535,20719,13.5,61,39,160,430,402,443,165,2.40%,920,49.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
31,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75),1966,5413,2.8,35,29,348,814,434,306,17,0.00%,1904,3.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
32,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de sièges mal définis  secondaires et non précisés (C76-C80),5020,58743,11.7,1,16,127,1322,1533,2021,588,1.40%,3674,58.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
33,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des tissus lymphoïdes  hématopoïétiques et apparentés (C81-C96),4879,87525,17.9,154,117,323,1122,1277,1886,722,2.50%,3825,56.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
34,Soins physiques et psychiatriques de courte durée,Tumeurs in situ (D00-D09),1874,7735,4.1,0,0,78,397,487,912,17,5.90%,1778,9.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
35,Soins physiques et psychiatriques de courte durée,Tumeurs bénignes (D10-D36),7791,30861,4,167,103,1058,3848,1391,1224,13,7.70%,7352,8.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
36,Soins physiques et psychiatriques de courte durée,Tumeurs à évolution imprévisible ou inconnue (D37-D48),876,6434,7.3,28,32,116,266,203,231,25,8.00%,757,24.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
37,Soins physiques et psychiatriques de courte durée,Anémies nutritionnelles (D50-D53),1633,11432,7,29,18,45,172,275,1094,25,4.00%,1326,90.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
38,Soins physiques et psychiatriques de courte durée,Anémies hémolytiques (D55-D59),649,3668,5.7,194,126,150,67,35,77,7,0.00%,304,76.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
39,Soins physiques et psychiatriques de courte durée,Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64),1116,8951,8,45,26,45,118,213,669,43,4.70%,826,81.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
40,Soins physiques et psychiatriques de courte durée,Anomalies de la coagulation  purpura et autres affections hémorragiques (D65-D69),1080,7467,6.9,201,71,86,131,153,438,27,0.00%,579,76.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
41,Soins physiques et psychiatriques de courte durée,Autres maladies du sang et des organes hématopoïétiques (D70-D77),1728,10913,6.3,218,66,147,434,438,425,43,0.00%,784,85.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
42,Soins physiques et psychiatriques de courte durée,Certaines anomalies du système immunitaire (D80- D89),144,1332,9.2,13,10,20,59,17,25,1,0.00%,93,58.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
43,Soins physiques et psychiatriques de courte durée,Affections de la glande thyroïde (E00-E07),1029,3576,3.5,7,13,126,433,221,229,4,25.00%,876,15.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
44,Soins physiques et psychiatriques de courte durée,Diabète sucré (E10-E14),4837,41894,8.7,117,262,753,1260,900,1545,87,1.10%,1256,86.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
45,Soins physiques et psychiatriques de courte durée,Autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne (E15-E16),214,920,4.3,88,2,20,32,25,47,3,0.00%,29,79.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
46,Soins physiques et psychiatriques de courte durée,Maladies des autres glandes endocrines (E20-E35),783,5526,7.1,19,23,61,197,193,290,5,0.00%,360,60.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
47,Soins physiques et psychiatriques de courte durée,Malnutrition (E40-E46),243,4370,18,29,8,22,59,42,83,21,0.00%,143,56.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
48,Soins physiques et psychiatriques de courte durée,Autres carences nutritionnelles (E50-E64),85,1842,21.7,3,0,8,20,28,26,3,0.00%,25,84.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
49,Soins physiques et psychiatriques de courte durée,Obésité et autres excès d'apport (E65-E68),3067,9124,3,2,12,976,1681,351,45,4,50.00%,2986,2.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
50,Soins physiques et psychiatriques de courte durée,Anomalies du métabolisme (E70-E90),3325,27698,8.3,431,157,372,505,531,1329,111,2.70%,1062,74.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
51,Soins physiques et psychiatriques de courte durée,Troubles mentaux organiques  y compris les troubles symptomatiques (F00-F09),6334,197107,31.1,2,21,51,204,478,5578,357,0.60%,1027,89.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
52,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives (F10-F19),6957,56872,8.2,4,408,2887,2590,669,399,14,0.00%,642,75.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
53,Soins physiques et psychiatriques de courte durée,Schizophrénie  trouble schizotypique et troubles délirants (F20-F29),11298,560186,49.6,6,500,4951,3874,1206,761,11,9.10%,1030,69.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
54,Soins physiques et psychiatriques de courte durée,Troubles de l'humeur [affectifs] (F30-F39),9433,248099,26.3,3,720,2660,3355,1302,1393,9,0.00%,1282,74.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
55,Soins physiques et psychiatriques de courte durée,Troubles névrotiques  troubles liés à des facteurs de stress et troubles somatoformes (F40-F48),7126,72681,10.2,43,1600,1971,2105,591,816,4,0.00%,503,80.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
56,Soins physiques et psychiatriques de courte durée,Syndromes comportementaux associés à des perturbations physiologiques et à des facteurs physiques (F50-F59),588,21053,35.8,8,360,159,33,12,16,4,0.00%,63,48.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
57,Soins physiques et psychiatriques de courte durée,Troubles de la personnalité et du comportement chez l'adulte (F60-F69),4524,65587,14.5,4,517,1926,1309,283,485,6,0.00%,323,73.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
58,Soins physiques et psychiatriques de courte durée,Retard mental (F70-F79),418,19059,45.6,1,47,166,145,43,16,2,0.00%,38,70.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
59,Soins physiques et psychiatriques de courte durée,Troubles du développement psychologique (F80- F89),301,13229,44,65,116,88,23,8,1,0,0.00%,84,51.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
60,Soins physiques et psychiatriques de courte durée,Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98),624,11131,17.8,127,431,46,10,4,6,1,0.00%,58,54.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
61,Soins physiques et psychiatriques de courte durée,Trouble mental  sans précision (F99),26,238,9.2,0,4,13,7,1,1,0,0.00%,8,76.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
62,Soins physiques et psychiatriques de courte durée,Maladies inflammatoires du système nerveux central (G00-G09),609,11188,18.4,97,22,105,171,107,107,29,13.80%,369,70.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
63,Soins physiques et psychiatriques de courte durée,Affections dégénératives systémiques affectant principalement le système nerveux central (G10- G14),317,7712,24.3,17,1,12,63,106,118,48,2.10%,136,65.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
64,Soins physiques et psychiatriques de courte durée,Syndromes extrapyramidaux et troubles de la motricité (G20-G26),1208,29707,24.6,23,6,26,93,216,844,55,1.80%,247,79.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
65,Soins physiques et psychiatriques de courte durée,Autres affections dégénératives du système nerveux (G30-G32),3554,138062,38.8,7,1,4,62,270,3210,217,1.80%,459,89.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
66,Soins physiques et psychiatriques de courte durée,Maladies démyélinisantes du système nerveux central (G35-G37),492,8131,16.5,0,26,130,210,82,44,9,22.20%,139,72.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
67,Soins physiques et psychiatriques de courte durée,Affections épisodiques et paroxystiques (G40-G47),6507,32313,5,1006,439,816,1234,847,2165,55,1.80%,1820,75.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
68,Soins physiques et psychiatriques de courte durée,Affections des nerfs  des racines et des plexus nerveux (G50-G59),505,3700,7.3,11,17,63,150,111,153,4,0.00%,258,57.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
69,Soins physiques et psychiatriques de courte durée,Polynévrites et autres affections du système nerveux périphérique (G60-G64),525,12579,24,5,11,52,118,107,232,15,6.70%,296,71.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
70,Soins physiques et psychiatriques de courte durée,Affections musculaires et des jonctions neuro- musculaires (G70-G73),329,5318,16.2,9,9,26,62,96,127,22,0.00%,183,60.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
71,Soins physiques et psychiatriques de courte durée,Paralysies cérébrales et autres syndromes paralytiques (G80-G83),402,4991,12.4,31,26,66,116,70,93,9,0.00%,185,65.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
72,Soins physiques et psychiatriques de courte durée,Autres affections du système nerveux (G90-G99),1450,21094,14.5,92,45,183,326,307,497,129,8.50%,879,54.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
73,Soins physiques et psychiatriques de courte durée,Affections de la paupière  de l'appareil lacrymal et de l'orbite (H00-H06),418,1381,3.3,207,34,35,42,35,65,1,0.00%,119,69.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
74,Soins physiques et psychiatriques de courte durée,Affections de la conjonctive (H10-H13),33,121,3.7,23,0,2,2,2,4,0,0.00%,4,66.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
75,Soins physiques et psychiatriques de courte durée,Affections de la sclère  de la cornée  de l'iris et du corps ciliaire (H15-H22),273,1364,5,12,7,17,58,57,122,1,0.00%,203,16.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
76,Soins physiques et psychiatriques de courte durée,Affections du cristallin (H25-H28),98,237,2.4,5,1,2,12,23,55,0,0.00%,97,4.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
77,Soins physiques et psychiatriques de courte durée,Affections de la choroïde et de la rétine (H30-H36),183,575,3.1,9,3,21,51,46,53,0,0.00%,136,42.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
78,Soins physiques et psychiatriques de courte durée,Glaucome (H40-H42),33,75,2.3,1,4,4,4,7,13,0,0.00%,16,51.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
79,Soins physiques et psychiatriques de courte durée,Affections du corps vitré et du globe oculaire (H43- H45),78,251,3.2,1,4,3,8,16,46,1,0.00%,63,23.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
80,Soins physiques et psychiatriques de courte durée,Affections du nerf et des voies optiques (H46-H48),53,228,4.3,4,10,13,9,5,12,0,0.00%,21,66.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
81,Soins physiques et psychiatriques de courte durée,Affections des muscles oculaires  des mouvements binoculaires  de l'accommodation et de la réfraction (H49-H52),88,392,4.5,11,2,4,16,24,31,0,0.00%,33,77.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
82,Soins physiques et psychiatriques de courte durée,Troubles de la vision et cécité (H53-H54),108,1496,13.9,3,3,7,38,19,38,1,0.00%,39,66.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
83,Soins physiques et psychiatriques de courte durée,Autres affections de l'oeil et de ses annexes (H55- H59),56,207,3.7,7,1,7,15,6,20,0,0.00%,33,30.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
84,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille externe (H60-H62),177,615,3.5,35,13,28,52,10,39,0,0.00%,31,82.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
85,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille moyenne et de l'apophyse mastoïde (H65-H75),1356,3411,2.5,1007,47,89,109,54,50,1,0.00%,498,59.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
86,Soins physiques et psychiatriques de courte durée,Maladies de l'oreille interne (H80-H83),1580,6347,4,10,2,102,345,311,810,0,0.00%,266,87.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
87,Soins physiques et psychiatriques de courte durée,Autres affections de l'oreille (H90-H95),153,320,2.1,32,6,17,40,35,23,0,0.00%,135,12.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
88,Soins physiques et psychiatriques de courte durée,Rhumatisme articulaire aigu (I00-I02),19,144,7.6,3,2,7,4,0,3,2,0.00%,6,78.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
89,Soins physiques et psychiatriques de courte durée,Cardiopathies rhumatismales chroniques (I05-I09),1062,13817,13,2,1,22,142,237,658,51,13.70%,886,27.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
90,Soins physiques et psychiatriques de courte durée,Maladies hypertensives (I10-I15),1183,7087,6,11,16,75,249,184,648,21,0.00%,267,85.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
91,Soins physiques et psychiatriques de courte durée,Cardiopathies ischémiques (I20-I25),32084,190732,5.9,6,3,295,7599,9562,14619,1071,2.60%,24598,55.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
92,Soins physiques et psychiatriques de courte durée,Affections cardiopulmonaires et maladies de la circulation pulmonaire (I26-I28),2898,21544,7.4,11,25,181,663,658,1360,190,4.70%,944,91.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
93,Soins physiques et psychiatriques de courte durée,Autres formes de cardiopathies (I30-I52),37430,297159,7.9,138,233,1171,4709,6837,24342,2090,3.00%,20128,71.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
94,Soins physiques et psychiatriques de courte durée,Maladies cérébrovasculaires (I60-I69),13595,226166,16.6,29,31,251,2191,2821,8272,1599,1.40%,8516,75.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
