NUMEROTATION,TYPE_DE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
26,"Soins physiques et psychiatriques de courte durée","Tumeur maligne du sein (C50)",2255,12993,5.8,0,0,168,674,500,913,244,1.6,28.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
27,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des organes génitaux de la femme (C51-C58)",2809,19355,6.9,0,5,119,706,866,1113,235,0.9,28.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
28,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des organes génitaux de l'homme (C60-C63)",2468,13241,5.4,1,2,41,387,1064,973,162,0.0,20.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
29,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des voies urinaires (C64-C68)",3013,22239,7.4,27,1,50,549,786,1600,245,0.8,27.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
30,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes de l'oeil, de l'encéphale et d'autres parties du système nerveux central (C69-C72)",1425,17048,12.0,70,39,143,382,376,415,142,2.1,41.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
31,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75)",1521,4108,2.7,34,24,294,550,303,316,20,0.0,3.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
32,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes de sièges mal définis, secondaires et non précisés (C76-C80)",4173,43861,10.5,11,8,95,912,1304,1843,477,0.8,55.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
33,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des tissus lymphoïdes, hématopoïétiques et apparentés (C81-C96)",4468,79884,17.9,138,133,272,765,1208,1952,694,0.6,56.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
34,"Soins physiques et psychiatriques de courte durée","Tumeurs in situ (D00-D09)",1489,5892,4.0,0,1,78,332,384,694,14,7.1,7.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
35,"Soins physiques et psychiatriques de courte durée","Tumeurs bénignes (D10-D36)",6159,23669,3.8,186,90,800,2680,1200,1203,27,0.0,7.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
36,"Soins physiques et psychiatriques de courte durée","Tumeurs à évolution imprévisible ou inconnue (D37-D48)",871,6347,7.3,22,27,116,206,209,291,37,0.0,26.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
37,"Soins physiques et psychiatriques de courte durée","Anémies nutritionnelles (D50-D53)",1648,11490,7.0,35,12,48,156,244,1153,44,0.0,92.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
38,"Soins physiques et psychiatriques de courte durée","Anémies hémolytiques (D55-D59)",758,4638,6.1,182,202,192,63,34,85,7,28.6,85.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
39,"Soins physiques et psychiatriques de courte durée","Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64)",988,7589,7.7,50,31,41,103,170,593,36,2.8,83.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
40,"Soins physiques et psychiatriques de courte durée","Anomalies de la coagulation, purpura et autres affections hémorragiques (D65-D69)",747,5254,7.0,121,39,59,113,101,314,20,0.0,80.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
41,"Soins physiques et psychiatriques de courte durée","Autres maladies du sang et des organes hématopoïétiques (D70-D77)",1378,9612,7.0,219,75,107,269,314,394,58,0.0,83.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
42,"Soins physiques et psychiatriques de courte durée","Certaines anomalies du système immunitaire (D80-D89)",119,1282,10.8,12,1,10,46,24,26,1,0.0,56.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
43,"Soins physiques et psychiatriques de courte durée","Affections de la glande thyroïde (E00-E07)",850,4099,4.8,5,18,119,270,197,241,4,0.0,24.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
44,"Soins physiques et psychiatriques de courte durée","Diabète sucré (E10-E14)",4589,38411,8.4,180,273,737,1198,861,1340,104,2.9,86.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
45,"Soins physiques et psychiatriques de courte durée","Autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne (E15-E16)",203,793,3.9,102,7,14,26,15,39,4,0.0,70.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
46,"Soins physiques et psychiatriques de courte durée","Maladies des autres glandes endocrines (E20-E35)",926,6490,7.0,23,14,79,176,207,427,12,0.0,63.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
47,"Soins physiques et psychiatriques de courte durée","Malnutrition (E40-E46)",276,5040,18.3,23,6,22,69,54,102,25,0.0,61.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
48,"Soins physiques et psychiatriques de courte durée","Autres carences nutritionnelles (E50-E64)",125,2609,20.9,4,0,4,45,41,31,5,0.0,92.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
49,"Soins physiques et psychiatriques de courte durée","Obésité et autres excès d'apport (E65-E68)",2854,5948,2.1,3,7,707,1629,450,58,6,0.0,3.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
50,"Soins physiques et psychiatriques de courte durée","Anomalies du métabolisme (E70-E90)",3471,27422,7.9,462,99,223,415,599,1673,149,0.7,82.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
51,"Soins physiques et psychiatriques de courte durée","Troubles mentaux organiques, y compris les troubles symptomatiques (F00-F09)",9052,264821,29.3,5,11,45,154,639,8198,629,0.8,91.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
52,"Soins physiques et psychiatriques de courte durée","Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives (F10-F19)",9354,69705,7.5,1,347,3851,3525,1092,538,19,5.3,80.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
53,"Soins physiques et psychiatriques de courte durée","Schizophrénie, trouble schizotypique et troubles délirants (F20-F29)",11837,504885,42.7,0,430,5508,3904,1219,776,21,0.0,68.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
54,"Soins physiques et psychiatriques de courte durée","Troubles de l'humeur [affectifs] (F30-F39)",7822,195684,25.0,2,596,2396,2424,1150,1254,19,0.0,71.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
55,"Soins physiques et psychiatriques de courte durée","Troubles névrotiques, troubles liés à des facteurs de stress et troubles somatoformes (F40-F48)",6354,62266,9.8,21,1702,1824,1554,543,710,5,0.0,77.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
56,"Soins physiques et psychiatriques de courte durée","Syndromes comportementaux associés à des perturbations physiologiques et à des facteurs physiques (F50-F59)",787,20387,25.9,14,559,147,29,10,28,1,0.0,52.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
57,"Soins physiques et psychiatriques de courte durée","Troubles de la personnalité et du comportement chez l'adulte (F60-F69)",4847,65399,13.5,4,745,2383,1109,328,278,5,0.0,70.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
58,"Soins physiques et psychiatriques de courte durée","Retard mental (F70-F79)",425,15708,37.0,2,46,176,133,48,20,1,0.0,72.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
59,"Soins physiques et psychiatriques de courte durée","Troubles du développement psychologique (F80-F89)",352,21472,61.0,55,153,109,19,12,4,0,0.0,62.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
60,"Soins physiques et psychiatriques de courte durée","Troubles du comportement et troubles émotionnels apparaissant habituellement durant l'enfance et l'adolescence (F90-F98)",519,10257,19.8,70,393,40,12,1,3,0,0.0,64.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
61,"Soins physiques et psychiatriques de courte durée","Trouble mental, sans précision (F99)",16,259,16.2,0,3,4,7,1,1,0,0.0,75.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
62,"Soins physiques et psychiatriques de courte durée","Maladies inflammatoires du système nerveux central (G00-G09)",691,12063,17.5,98,46,95,170,130,152,49,10.2,69.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
63,"Soins physiques et psychiatriques de courte durée","Affections dégénératives systémiques affectant principalement le système nerveux central (G10-G14)",275,5881,21.4,13,1,7,46,83,125,74,0.0,56.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
64,"Soins physiques et psychiatriques de courte durée","Syndromes extrapyramidaux et troubles de la motricité (G20-G26)",1356,30403,22.4,31,8,24,87,238,968,98,1.0,79.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
65,"Soins physiques et psychiatriques de courte durée","Autres affections dégénératives du système nerveux (G30-G32)",3662,134968,36.9,8,3,1,76,279,3295,245,1.2,90.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
66,"Soins physiques et psychiatriques de courte durée","Maladies démyélinisantes du système nerveux central (G35-G37)",364,5811,16.0,6,13,97,127,69,52,18,5.6,72.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
67,"Soins physiques et psychiatriques de courte durée","Affections épisodiques et paroxystiques (G40-G47)",5830,27967,4.8,1463,444,699,939,657,1628,74,2.7,62.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
68,"Soins physiques et psychiatriques de courte durée","Affections des nerfs, des racines et des plexus nerveux (G50-G59)",425,2849,6.7,9,13,77,118,82,126,7,0.0,50.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
69,"Soins physiques et psychiatriques de courte durée","Polynévrites et autres affections du système nerveux périphérique (G60-G64)",539,11324,21.0,16,13,76,124,151,159,13,0.0,69.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
70,"Soins physiques et psychiatriques de courte durée","Affections musculaires et des jonctions neuro-musculaires (G70-G73)",354,6614,18.7,12,19,23,69,75,156,42,0.0,55.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
71,"Soins physiques et psychiatriques de courte durée","Paralysies cérébrales et autres syndromes paralytiques (G80-G83)",399,7546,18.9,30,28,49,86,83,123,21,4.8,58.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
72,"Soins physiques et psychiatriques de courte durée","Autres affections du système nerveux (G90-G99)",1406,17549,12.5,64,54,144,303,335,506,152,4.6,53.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
73,"Soins physiques et psychiatriques de courte durée","Affections de la paupière, de l'appareil lacrymal et de l'orbite (H00-H06)",430,1729,4.0,216,69,30,45,34,36,1,0.0,75.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
74,"Soins physiques et psychiatriques de courte durée","Affections de la conjonctive (H10-H13)",15,29,1.9,9,1,2,1,0,2,0,0.0,66.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
75,"Soins physiques et psychiatriques de courte durée","Affections de la sclère, de la cornée, de l'iris et du corps ciliaire (H15-H22)",89,757,8.5,9,3,7,14,13,43,0,0.0,48.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
76,"Soins physiques et psychiatriques de courte durée","Affections du cristallin (H25-H28)",28,60,2.1,1,0,2,4,6,15,0,0.0,32.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
77,"Soins physiques et psychiatriques de courte durée","Affections de la choroïde et de la rétine (H30-H36)",173,555,3.2,5,3,8,42,48,67,0,0.0,57.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
78,"Soins physiques et psychiatriques de courte durée","Glaucome (H40-H42)",26,145,5.6,1,0,4,4,4,13,0,0.0,38.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
79,"Soins physiques et psychiatriques de courte durée","Affections du corps vitré et du globe oculaire (H43-H45)",40,240,6.0,3,1,3,14,6,13,0,0.0,45.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
80,"Soins physiques et psychiatriques de courte durée","Affections du nerf et des voies optiques (H46-H48)",62,258,4.2,7,10,10,13,5,17,0,0.0,79.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
81,"Soins physiques et psychiatriques de courte durée","Affections des muscles oculaires, des mouvements binoculaires, de l'accommodation et de la réfraction (H49-H52)",78,264,3.4,8,3,8,16,16,27,0,0.0,82.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
82,"Soins physiques et psychiatriques de courte durée","Troubles de la vision et cécité (H53-H54)",95,386,4.1,4,6,7,17,21,40,1,0.0,72.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
83,"Soins physiques et psychiatriques de courte durée","Autres affections de l'oeil et de ses annexes (H55-H59)",28,58,2.1,7,0,2,3,3,13,0,0.0,46.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
84,"Soins physiques et psychiatriques de courte durée","Maladies de l'oreille externe (H60-H62)",166,495,3.0,34,25,27,39,15,26,1,0.0,83.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
85,"Soins physiques et psychiatriques de courte durée","Maladies de l'oreille moyenne et de l'apophyse mastoïde (H65-H75)",1182,3081,2.6,909,36,79,100,27,31,2,0.0,63.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
86,"Soins physiques et psychiatriques de courte durée","Maladies de l'oreille interne (H80-H83)",1249,5347,4.3,1,2,55,222,241,728,0,0.0,90.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
87,"Soins physiques et psychiatriques de courte durée","Autres affections de l'oreille (H90-H95)",47,127,2.7,18,3,10,4,2,10,0,0.0,12.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
88,"Soins physiques et psychiatriques de courte durée","Rhumatisme articulaire aigu (I00-I02)",8,33,4.1,1,2,0,1,0,4,0,0.0,75.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
89,"Soins physiques et psychiatriques de courte durée","Cardiopathies rhumatismales chroniques (I05-I09)",1188,12872,10.8,1,0,19,119,263,786,59,1.7,23.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
90,"Soins physiques et psychiatriques de courte durée","Maladies hypertensives (I10-I15)",984,6029,6.1,7,11,91,232,146,497,49,2.0,87.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
91,"Soins physiques et psychiatriques de courte durée","Cardiopathies ischémiques (I20-I25)",27200,152086,5.6,1,1,248,4891,7975,14084,933,2.9,56.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
