ï»¿description,nom_batiment,classe,lien_photo,piia,annee_inventaire,avis_de_categorisation,st_area(shape),st_length(shape)
6257-29-6824 Aqueduc municipal,Aqueduc municipal,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-29-6824.jpg,Section_7,2010,,1106.21281465,179.52970976597
6256-55-8440, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-55-8440.jpg,Section_7,2014,,102.49329314,45.6835419853107
6256-42-3268, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-42-3268.jpg,Section_7,2014,,106.46605556,47.9047248045713
6257-40-1969, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-1969.jpg,Section_7,2010,,178.553071,64.5230612443245
6257-40-2684, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-2684.jpg,Section_7,2010,,75.40720925,37.7869509755953
6257-40-6246, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-6246.jpg,Section_7,2010,,179.2245355,63.7163657128757
6257-40-6523, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-6523.jpg,Section_7,2010,,62.658341725,33.5531533472549
6257-40-7061, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-7061.jpg,Section_7,2010,,63.3328277,34.5539739281241
6257-40-9194, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-9194.jpg,Section_7,2010,,64.745233175,35.6920497030717
6257-41-4419, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-4419.jpg,Section_7,2010,,45.92686164,28.4919726011932
6257-51-1126, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-51-1126.jpg,Section_7,2010,,89.75499132,43.0504265506992
6257-41-6252, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-6252.jpg,Section_7,2010,,92.88508695,41.6265508964641
6257-53-2919 HÃ´pital Ste-ThÃ©rÃ¨se,HÃ´pital Ste-ThÃ©rÃ¨se,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-53-2919.jpg,Section_7,2010,,2895.91674,449.164933005234
6257-54-5213 MonastÃ¨re des Servantes de JÃ©sus-Marie,MonastÃ¨re des Servantes de JÃ©sus-Marie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-54-5213.jpg,Section_7,2010,,557.466553,115.965742160533
6257-64-3559 AcadÃ©mie St-Marc,AcadÃ©mie St-Marc,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-64-3559.jpg,Section_7,2010,,1781.45712805,302.38463379449
6257-84-1286 Poste d'incendie et de police no2,Poste d'incendie et de police no2,National,jmap.shawinigan.ca/doc/photos/6257-84-1286.jpg,Section_7,2010,Avis de categorisation_poste_2,530.6887185,98.0440124926945
6256-53-7606 et 6256-53-8118, ,Provincial,jmap.shawinigan.ca/doc/photos/6256-53-7606_6256-53-8118.jpg,Section_7,2010,,119.268852145,45.7648696805338
6256-53-7606 et 6256-53-8118, ,Provincial,jmap.shawinigan.ca/doc/photos/6256-53-7606_6256-53-8118.jpg,Section_7,2010,,99.56506085,42.7628751487975
6261-14-3896, ,Provincial,jmap.shawinigan.ca/doc/photos/6261-14-3896.jpg,Section_7,2010,,195.602547675,57.626222394919
6262-12-6656 Maison Blais,Maison Blais,Provincial,jmap.shawinigan.ca/doc/photos/6262-12-6656.jpg,Section_7,2010,,129.9241615,45.7355982808549
6272-86-1330 Ãglise St-Jean,Ãglise St-Jean,Patri-Arch,jmap.shawinigan.ca/doc/photos/6272-86-1330_Eglise.jpg,Section_7,2010,,376.517436,93.8690762002967
6272-96-0934, ,Provincial,jmap.shawinigan.ca/doc/photos/6272-96-0934.jpg,Section_7,2010,,197.4874375,63.6299962602891
6357-19-4429 Ãcole Christ-Roi,Ãcole Christ-Roi,Patri-Arch,jmap.shawinigan.ca/doc/photos/6357-19-4429.jpg,Section_7,2010,,1375.253616,193.862697785391
6358-05-8474 Maison Julien-ValliÃ¨res,Maison Julien-ValliÃ¨res,Provincial,jmap.shawinigan.ca/doc/photos/6358-05-8474.jpg,Section_7,2010,,156.858611,51.3647829471006
6358-10-3158 Ãglise Christ-Roi,Ãglise Christ-Roi,Patri-Arch,jmap.shawinigan.ca/doc/photos/6358-10-3158.jpg,Section_7,2010,,1046.67893095,180.647735543827
6358-10-7018 Couvent des PÃ¨res du TrÃ¨s-Saint-Sacrement,Couvent des PÃ¨res du TrÃ¨s-Saint-Sacrement,Patri-Arch,jmap.shawinigan.ca/doc/photos/6358-10-7018.jpg,Section_7,2010,,1085.692052,174.346715261259
6359-97-1176 SÃ©minaire Ste-Marie,SÃ©minaire Ste-Marie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6359-97-1176.jpg,Section_7,2010,,4756.67993714,528.537500192531
6363-19-2291, ,Provincial,jmap.shawinigan.ca/doc/photos/6363-19-2291.jpg,Section_7,2010,,138.22364138,51.6161769384039
6364-00-3816 Maison Leblanc,Maison Leblanc,Provincial,jmap.shawinigan.ca/doc/photos/6364-00-3816.jpg,Section_7,2010,,208.144638125,65.3178553640249
6364-00-9174, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-00-9174.jpg,Section_7,2010,,282.42752058,89.7488845889267
6364-10-0492 Maison LapÃ©riÃ¨re,Maison LapÃ©riÃ¨re,Provincial,jmap.shawinigan.ca/doc/photos/6364-10-0492.jpg,Section_7,2010,,159.234785735,51.2222670110856
6364-10-6474, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-10-6474.jpg,Section_7,2010,,156.339587795,57.2641836649136
6364-20-0396, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-20-0396.jpg,Section_7,2010,,244.61900418,66.3841576361401
6364-21-9649 Ãglise Ste-Flore,Ãglise Ste-Flore,Patri-Arch,jmap.shawinigan.ca/doc/photos/6364-21-9649_Eglise.jpg,Section_7,2010,,1133.743114,169.73198209562
6372-05-0289 Maison DÃ©saulniers,Maison DÃ©saulniers,Provincial,jmap.shawinigan.ca/doc/photos/6372-05-0289.jpg,Section_7,2010,,254.89672403,69.9684653965636
6764-36-2168, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-36-2168.jpg,Section_7,2010,,111.0769495,43.7857371305935
6256-53-8949 et 6256-53-9365,"1003-1021, Avenue des CÃ¨dres secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-53-8949_6256-53-9365.jpg,Section_7,2010,,93.85354045,39.8205217608382
6364-22-0031, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-22-0031.jpg,Section_7,2010,,229.380558375,61.0678319385244
6364-22-1891 Maison SÃ©vigny,Maison SÃ©vigny,Provincial,jmap.shawinigan.ca/doc/photos/6364-22-1891.jpg,Section_7,2010,,104.1157065,46.9295588331457
6364-23-3721 Maison GÃ©linas,Maison GÃ©linas,Provincial,jmap.shawinigan.ca/doc/photos/6364-23-3721.jpg,Section_7,2010,,127.761113745,45.6246394633218
6364-23-6161, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-23-6161.jpg,Section_7,2010,,132.2847015,50.4417046247737
6364-32-4423 Station de pompe de Ste-Flore,Station de pompe de Ste-Flore,Patri-Arch,jmap.shawinigan.ca/doc/photos/6364-32-4423.jpg,Section_7,2010,,263.7717285,67.7811326617553
6364-32-6750, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-32-6750.jpg,Section_7,2010,,144.509025,54.3407412107222
6364-33-3212, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-33-3212.jpg,Section_7,2010,,143.218725,51.6133917576597
6364-54-6536, ,Provincial,jmap.shawinigan.ca/doc/photos/6364-54-6536.jpg,Section_7,2010,,169.268592,56.3158034364256
6371-94-4963 Ancienne Ã©cole de rang,Ancienne Ã©cole de rang,Provincial,jmap.shawinigan.ca/doc/photos/6371-94-4963.jpg,Section_7,2010,,114.64220079,45.5195701401049
6372-06-6834 Maison Gagnon,Maison Gagnon,Provincial,jmap.shawinigan.ca/doc/photos/6372-06-6834.jpg,Section_7,2010,,184.40947165,57.2951428878899
6372-15-4357 Maison Devault,Maison Devault,Provincial,jmap.shawinigan.ca/doc/photos/6372-15-4357.jpg,Section_7,2010,,216.49181645,78.6314153613574
6372-16-0694,"100, rue Sainte-Anne Secteur St-Jean-des-Piles",Provincial,jmap.shawinigan.ca/doc/photos/6372-16-0694.jpg,Section_7,2010,,124.5260085,46.270128124161
6372-16-1015 Maison HÃ©roux,Maison HÃ©roux,Provincial,jmap.shawinigan.ca/doc/photos/6372-16-1015.jpg,Section_7,2010,,117.18156385,43.6395260456413
6563-21-2257 Station de pompage,Station de pompage,Patri-Arch,jmap.shawinigan.ca/doc/photos/6563-21-2257.jpg,Section_7,2010,,330.977182,94.7118088294823
6653-93-9066, ,Provincial,jmap.shawinigan.ca/doc/photos/6653-93-9066.jpg,Section_7,2010,,255.552031925,74.5259198418074
6663-49-8734, ,Provincial,jmap.shawinigan.ca/doc/photos/6663-49-8734.jpg,Section_7,2010,,194.7304265,61.7201839970762
6663-49-8814, ,Provincial,jmap.shawinigan.ca/doc/photos/6663-49-8814.jpg,Section_7,2010,,364.9640955,87.0239018654909
6663-59-7420, ,Provincial,jmap.shawinigan.ca/doc/photos/6663-59-7420.jpg,Section_7,2010,,83.7938945,39.3115817038986
6663-59-8914, ,Provincial,jmap.shawinigan.ca/doc/photos/6663-59-8914.jpg,Section_7,2010,,122.303254,45.4639877102389
6664-23-2416 Grand-MÃ¨re Shoe,Grand-MÃ¨re Shoe,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-23-2416.jpg,Section_7,2010,,1525.0182335,248.076421255528
6764-23-4368 et 6764-23-3364, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-23-4368_6764-23-3364.jpg,Section_7,2010,,124.66055933,61.7798969216292
6664-83-5917 PresbytÃ¨re St-Paul,PresbytÃ¨re St-Paul,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-83-5917_PresbytÃ¨re.jpg,Section_7,2010,,403.8248265,100.166731293634
6664-92-4557 Pensionnat Saint-Ursule,Pensionnat Saint-Ursule,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-92-4557.jpg,Section_7,2010,,3282.59317095,450.572525788053
6664-94-8067 Ancien bureau de poste,Ancien bureau de poste,Provincial,jmap.shawinigan.ca/doc/photos/6664-94-8067.jpg,Section_7,2010,,231.48527245,62.2127916984367
6763-09-2755, ,Provincial,jmap.shawinigan.ca/doc/photos/6763-09-2755.jpg,Section_7,2010,,135.57808533,52.1934778622056
6763-09-5583, ,Provincial,jmap.shawinigan.ca/doc/photos/6763-09-5583.jpg,Section_7,2010,,105.03228482,44.9447193382194
6764-00-0810, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-0810.jpg,Section_7,2010,,115.8308075,45.6393915863555
6764-00-1236, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-1236.jpg,Section_7,2010,,110.535248,44.8400242500226
6764-00-5466, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-5466.jpg,Section_7,2010,,129.0717335,47.8432794373551
6764-00-7678, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-7678.jpg,Section_7,2010,,86.62844582,38.0012703715556
6255-39-6602, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-39-6602.jpg,Section_7,2014,,203.270209495,69.1640639765465
6764-25-1459 Ãglise anglicane St Stephen,Ãglise anglicane St Stephen,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-25-1459.jpg,Section_7,2010,,382.6619495,94.9557172410248
6764-25-9115, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-25-9115.jpg,Section_7,2010,,110.1736445,45.2514539046371
6764-26-0066 Ancienne Banque de MontrÃ©al,Ancienne Banque de MontrÃ©al,Provincial,jmap.shawinigan.ca/doc/photos/6764-26-0066.jpg,Section_7,2010,,236.5922075,66.2266671225875
6764-35-0056, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-35-0056.jpg,Section_7,2010,,122.3853215,46.8677378333967
6764-35-0372, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-35-0372.jpg,Section_7,2010,,131.8963585,53.1995584199361
6764-35-0687, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-35-0687.jpg,Section_7,2010,,119.72255,49.1719397714099
6764-36-0802, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-36-0802.jpg,Section_7,2010,,120.339547,47.920664535864
6764-36-1536, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-36-1536.jpg,Section_7,2010,,153.146383,55.1806983662543
6764-36-1853, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-36-1853.jpg,Section_7,2010,,109.967103,47.6444083398863
6764-37-3963 et 6764-37-3648, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-37-3963_6764-37-3648.jpg,Section_7,2010,,138.732089965,51.0081824354963
6563-52-1879 HÃ´pital-LaflÃ¨che,HÃ´pital-LaflÃ¨che,Patri-Arch,jmap.shawinigan.ca/doc/photos/6563-52-1879.jpg,Section_7,2010,,1865.93938893,278.594089491146
6764-25-9637, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-25-9637.jpg,Section_7,2010,,112.7368115,44.8061897643524
6255-88-1197 et 6255-89-1011, ,Provincial,jmap.shawinigan.ca/doc/photos/6255-88-1197_6255-89-1011.jpg,Section_7,2010,,136.06401837,59.5982378745156
6764-36-2798, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-36-2798.jpg,Section_7,2010,,120.167757,46.6310350104628
6764-37-3013, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-37-3013.jpg,Section_7,2010,,138.6681425,51.7778578091377
6764-37-3330, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-37-3330.jpg,Section_7,2010,,55.3954705,35.0131373294702
6764-36-2483, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-36-2483.jpg,Section_7,2010,,149.08121025,53.6301922043165
6764-37-4697, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-37-4697.jpg,Section_7,2010,,207.6821565,64.8737424703735
6764-48-5536 Assembly Hall,Assembly Hall,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-48-5536_Assembly_Hall.jpg,Section_7,2010,,402.0067752,112.788268638524
6764-48-5536 Club Laurentide,Club Laurentide,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-48-5536_Club_Laurentide.jpg,Section_7,2010,,271.97870975,66.0622050876734
6764-51-4070 Time Office,Time Office,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-51-4070_Time_office.jpg,Section_7,2010,,463.624459,107.581705810148
6764-51-4070 Usine Laurentide (administration),Usine Laurentide (administration),Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-51-4070_administration.jpg,Section_7,2010,,708.929243,120.717734687685
6764-63-3664 Central hydroÃ©lectrique - Power House,Central hydroÃ©lectrique - Power House,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-63-3664.jpg,Section_7,2010,,5844.50983235,384.9683093864
6765-12-3302,"110, Chemin River Side",Provincial,jmap.shawinigan.ca/doc/photos/6765-12-3302.jpg,Section_7,2010,,330.119165,96.1333183356829
6765-43-1208, ,Provincial,jmap.shawinigan.ca/doc/photos/6765-43-1208.jpg,Section_7,2010,,117.864164125,55.058644373301
7163-47-8925, ,Provincial,jmap.shawinigan.ca/doc/photos/7163-47-8925.jpg,Section_7,2010,,178.1178834,53.437441021021
7164-10-8324 Ãglise St-ThÃ©ophile,Ãglise St-ThÃ©ophile,Patri-Arch,jmap.shawinigan.ca/doc/photos/7164-10-8324.jpg,Section_7,2010,,694.757495215,135.395764889224
7164-30-7936,"1100, AVenue Tour-du-Lac-Nord",Provincial,jmap.shawinigan.ca/doc/photos/7164-30-7936.jpg,Section_7,2010,,171.858559,55.600680326945
6256-31-5684,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-31-5684.jpg,Section_7,2014,,82.83832194,40.939780354838
6256-01-7971 et 6256-01-6280, ,Provincial,jmap.shawinigan.ca/doc/photos/6256-01-7971_6256-01-6280.jpg,Section_7,2010,,107.423775305,48.3412137532022
6155-25-3000 Centrale Shawinigan 2,Centrale Shawinigan 2,Patri-Arch,jmap.shawinigan.ca/doc/photos/6155-25-3000_2.jpg,Section_7,2010,,4917.0795234,401.968754433313
6254-01-2546, ,Provincial,jmap.shawinigan.ca/doc/photos/6254-01-2546.jpg,Section_7,2010,,578.8069472,122.370983362148
