"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2012 au 31 mai 2013",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"BOO! DESIGN INC. ","11 332,92 $","Programmation culturelle - hiver-printemps 2013 "
"BOO! DESIGN INC. ","7 346,34 $","Services de montage graphique, impression, design, etc. "
"B.P. ASPHALTE INC. ","162 163,64 $","Saillies et réaménagement géométrique de l'intersection Girouard et Notre-Dame-de-Grâce "
"B.P. ASPHALTE INC. ","10 984,85 $","Reconstruction de trottoirs "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","6 000,00 $","Contribution financière - événement Côte-des-Neiges en fête, 5 continents, 5 sens, afin d'aider à la réussite de la 10e édition de cette fête prévue le 9 septembre 2012 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","3 362,00 $","Programme d'accompagnement en loisir de l'arrondissement visant à aider des personnes vivant avec des limitations fonctionnelles "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","5 702,38 $","Achat de matériel divers pour le centre communautaire CDN "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","37 000,00 $","Plan d'action en développement social de l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","3 500,00 $","Cachet d'artistes, sonorisation, locations de jeux gonflables et animation de la scène pour la scène du parc Jean-Brillant "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","5 000,00 $","Animation dans le parc Jean-Brillant du 27 août 2012 au 15 septembre 2012 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","211 744,00 $","Contribution financière - activités de loisirs 2013 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","26 000,00 $","Contribution financière - club de vacances 2013 "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","93 975,00 $","Contribution financière 2013 pour volet encadrement des activités de loisirs et volet encadrement du club de vacances "
"CENTRE DE RESSOURCES COMMUNAUTAIRES CÔTE-DES-NEIGES ","140 000,00 $","Contribution financière 2013 - gestion du centre (6767, chemin de la Côte-des-Neiges). "
"CLOTURE SÉCUR ","4 234,04 $","Fourniture et installation de clôtures pour rehausser celle du parc canin de Notre-Dame-de-Grâce "
"CLOTURE SÉCUR ","19 575,55 $","Démantèlement de clôtures existantes, d'un arrêt-balle ainsi que de quatre estrades au parc de la Confédération dans le cadre de l'aménagement d'une patinoire extérieure Bleu Blanc Bouge "
"CLOTURE SÉCUR ","4 388,00 $","Fournitures et matériels - sections de clôture "
"CLUB DE PLEIN AIR N.D.G. INC. ","42 000,00 $","Contribution financière - activités de loisirs 2013 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","11 267,63 $","Location d'une rétrocaveuse avec opérateur pour la chute Ambar "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","20 429,20 $","Location d'un chargeur et d'une rétrocaveuse avec opérateurs pour la chute St-Pierre "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","4 780 447,97 $","Contrat de déneigement hiver 2012-2013 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","272 183,14 $","Location de deux chargeuses et d’une rétrocaveuse avec opérateurs incluant les accessoires pour travaux de déneigement aux chutes St-Pierre, Ambar ou autre site désigné "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","15 259,03 $","Location d'équipement avec opérateur pour déblaiement du 12 avril 2013, hors contrat "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","390 909,00 $","Contribution financière 2013 pour l'encadrement d'activités de loisirs et du club de vacances "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","167 100,00 $","Contribution financière 2013 - Centre communautaire St-Raymond "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","79 585,00 $","Contribution financière 2013 - Centre Walkley "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","96 400,00 $","Contribution financière 2013 - Centre communautaire St-Raymond "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","51 679,64 $","Frais de location d'écoles - 2012 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","19 232,36 $","Frais de location d'écoles - 2013 "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE ","42 500,00 $","Réalisation d'activités liées à la concertation dans l'arrondissement dans le cadre du Plan d'action en développement social de l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE ","16 600,00 $","Concertation locale. Initiative montréalaise de soutien au développement social local "
"CONSTRUCTION DJL INC. ","355 252,81 $","Mélange bitumineux - 2012 "
"CONSTRUCTION DJL INC. ","73 120,62 $","Construction de dos d'âne dans diverses rues de l'arrondissement "
"CONSTRUCTION DJL INC. ","7 690,72 $","Mélange bitumineux - 2013 "
"CONSTRUCTION DJL INC. ","61 749,19 $","Travaux de planage de rive de chaussées bitumineuses sur différentes rues de l'arrondissement"
"CONSTRUCTION GARNIER LTÉE ","23 910,76 $","Travaux électriques au parc de la Confédération dans le cadre du projet de construction d'une patinoire extérieure Bleu Blanc Bouge "
"CONSTRUCTION GARNIER LTÉE ","8 512,50 $","Travaux pour l'élimination de sols contaminés dans le cadre du projet de construction d'une patinoire extérieure Bleu Blanc Bouge au parc de la Confédération "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","35 000,00 $","Réalisation d'activités liées à la concertation dans l'arrondissement dans le cadre du Plan d'action en développement social de l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","16 600,00 $","Programme Initiative montréalaise de soutien au développement social local pour la période du 1er avril 2012 au 31 mars 2015. Concertation locale "
"DBN.CA INC. ","23 287,21 $","Webdiffusion en direct des conseils d'arrondissement pour l'arrondissement CDN-NDG "
"DBN.CA INC. ","3 299,25 $","Webdiffusion du conseil d'arrondissement du 14 janvier 2013 "
"DEVELOTECH INC. ","40 954,71 $","Travaux d'apaisement de la circulation sur les rues locales de CDN-NDG - 2012 "
"DEVELOTECH INC. ","43 495,12 $","Travaux d'apaisement de la circulation sur les rues locales de CDN-NDG - 2013 "
"DEVELOTECH INC. ","7 192,37 $","Installation et enlèvement des balises 12 po "
"DEVELOTECH INC. ","6 598,50 $","Achat, installation et retrait de 20 nouvelles balises de 12 po, apaisement de la circulation "
"ÉMILIEN JACQUES ","35 400,96 $","Location d'une rétrocaveuse avec opérateur pour la plantation d'arbres "
"ENVIRONNEMENT ROUTIER NRJ INC. ","4 590,91 $","Enlèvement d'asphalte "
"ENVIRONNEMENT ROUTIER NRJ INC. ","67 533,24 $","Contrat pour la collecte des matières recyclables (17 au 31 décembre 2012) "
"ENVIRONNEMENT ROUTIER NRJ INC. ","1 655 070,41 $","Contrat 2013 - collecte sélective des matières recyclables "
"ENVIRONNEMENT ROUTIER NRJ INC. ","15 935,38 $","Installation et enlèvement de dos d'âne temporaires sur diverses rues "
"ÉQUIPEMENT SMS ","39 067,55 $","Entretien et réparation du matériel roulant en 2012 "
"ÉQUIPEMENT SMS ","32 617,08 $","Entretien et réparation du matériel roulant en 2013 "
"ÉQUIPEMENTS PLANNORD LTÉE ","246 381,39 $","Achat de deux chenillettes à trottoirs "
"ÉQUIPEMENTS PLANNORD LTÉE ","6 598,50 $","Achat de deux épandeuses Granby pour chenillettes à trottoirs "
"ÉQUIPEMENT WAJAX ","192 071,34 $","Fourniture et installation d'une nacelle élévatrice de marque Terex, modèle Telelect XT 55/65, année 2012 "
"EXCAVATIONS VIDOLO LIMITEE ","19 936,62 $","Transport de matières par conteneurs "
"EXCAVATIONS VIDOLO LIMITEE ","51 141,77 $","Transport de rebuts par conteneurs "
"FDL COMPAGNIE LTÉE ","65 985,00 $","Contribution financière pour la réalisation des travaux d'agrandissement et réaménagement des espaces de la cafétéria communautaire MultiCaf "
"FÉDÉRATION CJA ","62 613,00 $","Contribution financière 2013 - Fourniture d'installations sportives et récréatives et de services récréatifs "
"FONDERIE LAPERLE ","19 049,07 $","Pièces d'aqueduc - 2012 "
"FONDERIE LAPERLE ","64 399,96 $","Pièces d'aqueduc - 2013 "
"FORTIER AUTO (MONTREAL) LTÉE ","32 262,25 $","Fourniture d'un châssis-cabine F-450 à cabine allongée - année 2012 "
"FORTIER AUTO (MONTREAL) LTÉE ","99 954,73 $","Fourniture de trois châssis-cabines F-450 à cabine double - année 2012 "
"FORTIER AUTO (MONTREAL) LTÉE ","59 758,08 $","Achat de deux châssis-cabines F-450 - année 2013 "
"G. DAVIAULT LTÉE ","34 628,38 $","Contrat pour les travaux de réfection des clôtures et arrêt-balles du terrain de baseball du parc Nelson-Mandela "
"GESTION MC2 INC. ","298 662,96 $","Remplacement de trois unités de climatisation et travaux connexes à la maison de la culture NDG "
"GLOBOCAM INC. ","90 734,01 $","Fourniture d'un châssis-cabine 4 x 2 de marque Freightliner - année 2013 "
"GLOBOCAM INC. ","131 539,35 $","Fourniture d'un châssis-cabine 6 x 4 de marque Freightliner - année 2014 "
"GLOBOCAM INC. ","127 692,76 $","Achat camion châssis 6 X 4, marque Freightliner - année 2014 "
"GROUPE ABS INC. ","7 445,31 $","Caractérisation complémentaire des sols_PH II, dans le cadre du projet d'aménagement d'une patinoire extérieure Bleu Blanc Bouge au parc de la Confédération "
"GROUPE ABS INC. ","10 227,68 $","Recherche historique et caractérisation préliminaire des sols - terrain vacant au coin des rues Lavoie et Isabella "
"GROUPE ABS INC. ","3 122,19 $","Évaluation structurale de l'abri à sel clos Madison "
"GROUPE ABS INC. ","5 298,60 $","Contrôle qualitatif "
"GROUPE ABS INC. ","9 870,26 $","Réalisation de deux forages géotechniques au chalet du parc Nelson-Mandela "
"GROUPE ARCHAMBAULT ","7 951,42 $","Fournitures audiovisuelles non québécoises pour la bibliothèque Benny Farm "
"GROUPE ARCHAMBAULT ","9 594,68 $","Achat de fourniture audio pour Benny Farm "
"GROUPE ARCHAMBAULT ","47 825,62 $","Achat de CD/DVD, jeux vidéo non québécois pour Benny Farm "
"GROUPE ARCHAMBAULT ","2 228,57 $","Achat de consoles de jeu et d’accessoires "
"GROUPE GEMEC INC. ","16 283,57 $","Réparation du matériel roulant "
"GROUPE GEMEC INC. ","153 731,56 $","Réparation des balais de rue (bris facturables) "
"GROUPE GEMEC INC. ","388 255,74 $","Location de six balais de rue avec entretien "
"GROUPE HEXAGONE ","1 077 101,79 $","Reconstruction de trottoirs et de bordures "
"HAL INGBERG ","103 926,38 $","Réalisation et installation de l'oeuvre d'art intitulée Chromazone qui sera intégrée au centre culturel de Notre-Dame-de-Grâce "
"HEWITT ÉQUIPEMENT LTÉE ","19 442,48 $","Location d'une rétrocaveuse sans opérateur avec entretien "
"HEWITT ÉQUIPEMENT LTÉE ","58 593,78 $","Location d'une rétrocaveuse sans opérateur avec entretien pour 12 mois "
"HYDRO-QUÉBEC ","71 483,75 $","Frais d'électricité 2012 - éclairage de rues "
"HYDRO-QUÉBEC ","878 816,39 $","Frais d'électricité 2013 - éclairage de rues "
"HYDRO-QUÉBEC ","119 500,11 $","Frais d'électricité 2013 - signalisation lumineuse "
"INOLEC ","8 060,83 $","Pièces, accessoires et outils - 2012 "
"INOLEC ","19 955,64 $","Pièces, accessoires et outils - 2013 "
"JBM MARQUAGE ROUTIER INC. ","26 928,11 $","Marquage de passages de piétons et bordures de trottoirs sur diverses rues et pistes cyclables de l'arrondissement "
"JEUNESSE BENNY ","6 000,00 $","Achat des équipements pour le parc Kent et le parc de la Conféderation. Festi-Faim "
"JEUNESSE BENNY ","62 650,00 $","Contribution financière 2013 - activités de loisirs "
"LAFARGE CANADA INC. ","7 288,35 $","Pierres concassées - grosseurs nettes "
"LAFARGE CANADA INC. ","130 121,28 $","Pierres prémélangées - année 2012 (incluant la poussière de pierre) "
"LAFARGE CANADA INC. ","46 063,31 $","Béton à remblai sans retrait avec ciment "
"LAFARGE CANADA INC. ","14 539,24 $","Béton prémélanger - 35 MPA "
"LAFARGE CANADA INC. ","8 028,18 $","Béton à remblai sans retrait "
"LAFARGE CANADA INC. ","78 363,45 $","Pierres prémélangées - année 2013 (incluant la poussière de pierre) "
"LAFARGE CANADA INC. ","6 922,70 $","Pierres concassées - grosseurs nettes "
"LANCO AMÉNAGEMENT INC. ","129 734,76 $","Contrat pour la réalisation des travaux de réfection des terrains de baseball n° 1 et n° 2 du parc Loyola "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","61 366,05 $","Location d'une rétrocaveuse avec opérateur pour la réalisation en régie des travaux de réfections mineures de trottoirs"
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","3 116,80 $","Location d'une rétrocaveuse "
"LES CONSTRUCTIONS DE CASTEL INC. ","4 898 937,25 $","Travaux de mise aux normes de l'aréna Doug-Harvey "
"LES CONSTRUCTIONS ET PAVAGES JESKAR INC. ","63 917,47 $","Planage de rive des chaussées bitumineuses sur les rues visées par les travaux en régie "
"LES CONSULTANTS S.M. INC. ","10 942,52 $","Préparation de plans et devis pour soumission publique pour saillies à l'intersection NDG et Girouard "
"LES CONSULTANTS S.M. INC. ","3 794,14 $","Services professionnels en mécanique de bâtiment dans le cadre du projet de remplacement de trois unités de climatisation (de toit) à la maison de la culture NDG "
"LES CONSULTANTS S.M. INC. ","23 820,59 $","Travaux pour la climatisation des bureaux du 3e étage au 2140, avenue Madison "
"LES CONSULTANTS S.M. INC. ","22 856,11 $","Travaux pour le remplacement de trois unités de toit à la maison de la culture de NDG "
"LES CONSULTANTS S.M. INC. ","3 563,19 $","Plans et devis pour saillies à l'intersection NDG et Girouard - honoraires supplémentaires en raison des changements demandés "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","23 622,63 $","Installation de dos d'âne allongés et standards "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","16 483,05 $","Planage et pavage de deux parties du chemin de la Côte-des-Neiges. (Projet Grand Prix cycliste de Montréal) "
"LES ENTREPRISES SIMAC (2007) INC. ","56 219,22 $","Location d'une rétrocaveuse d'environ 85 hp, avec opérateur, entretien et accessoires pour la plantation d'arbres pour CDN-NDG "
"LES ENTREPRISES VENTEC INC. ","5 443,76 $","Installation de bancs incluant les dalles dans divers parcs de l'arrondissement "
"LES ENTREPRISES VENTEC INC. ","92 973,37 $","Travaux de réfection des murets de pierre au parc de la place Darlington "
"LES ENTREPRISES VENTEC INC. ","6 433,54 $","Travaux de réalisation de cinq dalles de béton pour l'installation de cinq bancs au parc Mackenzie-King "
"LES ENTREPRISES VENTEC INC. ","4 684,93 $","Travaux pour l'installation de bancs avec bases de béton au parc Leduc et au parc Nelson-Mandela "
"LES ENTREPRISES VENTEC INC. ","12 977,05 $","Construction d'une rampe d'accès pour la resurfaceuse de la patinoire réfrigérée BBB de la Fondation des Canadiens pour l'enfance, parc de la Confédération "
"LES PAVAGES CHENAIL INC. ","164 222,07 $","Mélange bitumineux "
"LES PAVAGES CHENAIL INC. ","56 073,39 $","Abrasifs "
"LES PAVAGES ULTRA INC. ","49 880,04 $","Construction de dos d'âne permanents sur diverses rues de l'arrondissement "
"LOCATION D'AUTOS ET CAMIONS DISCOUNT ","33 098,76 $","Location de véhicules pour diverses directions de l'arrondissement "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","290 652,67 $","Contribution financière 2013 pour l'encadrement des activités sportives et de loisirs du centre sportif CDN "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","185 508,00 $","Contribution financière 2013 pour la gestion du nouveau centre sportif NDG "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","630 296,33 $","Contribution financière 2013 pour les activités de loisirs "
"MAISON DES JEUNES CÔTE-DES-NEIGES ","111 860,00 $","Contribution financière 2013 pour l'encadrement des activités de loisirs et des programmes Maison des jeunes et Jeunesse 2000 "
"METALLOMAX INC. ","110 964,77 $","Fourniture et installation d'une boîte fermée en aluminium munie d'une plateforme de 5 pi "
"MICHEL GOHIER ","142 065,15 $","Achat de deux bennes basculantes en acier 15 pi de longueur "
"MICHEL GOHIER LTÉE ","67 178,01 $","Fourniture et installation de trois bennes basculantes en aluminium, année 2012 "
"MICHEL GOHIER LTÉE ","40 353,25 $","Achat d'une benne à asphalte, année 2013 "
"MICHEL GOHIER LTÉE ","72 648,36 $","Achat de deux épandeuses à abrasif en acier inoxydable "
"MONTRÉAL CHRYSLER DODGE JEEP (LASALLE) ","29 235,20 $","Fourniture d'une camionnette Dodge et l'installation d'une attache de remorque "
"NISSAN CANADA FINANCE ","21 719,62 $","Location de cinq automobiles Nissan Versa 2012 pour l'année 2013 "
"NISSAN CANADA FINANCE ","18 695,75 $","Location d'une automobile Versa à hayon pour l’année 2013 "
"NOREXCO INC. ","563 731,85 $","Construction d'un chalet et d'un garage au parc de la Confédération "
"NORTHEX ENVIRONNEMENT ","42 214,35 $","Transport de terre d'excavation "
"NORTHEX ENVIRONNEMENT ","353 403,75 $","Échantillonnage, analyse chimique, transport et évacuation de terre d'excavation "
"NORTRAX QUÉBEC INC. ","199 823,04 $","Location de quatre chargeurs sur roues John Deere, sans opérateur et avec entretien "
"NORTRAX QUÉBEC INC. ","217 750,50 $","Location de deux autoniveleuses avec chasse-neige sans opérateur "
"NORTRAX QUÉBEC INC. ","10 127,11 $","Bris facturables pour les niveleuses en location "
"NORTRAX QUÉBEC INC. ","52 608,17 $","Bris facturables pour les chargeurs en location "
"OCTANE INC. ","17 942,42 $","Plan de développement durable 2012 "
"OCTANE INC. ","9 186,76 $","Conception et réalisation du rapport du maire 2012 "
"OCTANE INC. ","5 707,70 $","Conception du journal Le Citoyen, Décembre 2012 "
"OCTANE INC. ","21 995,00 $","Graphisme des quatre parutions du journal Le Citoyen pour l'année 2013 "
"OMNISON ET LUMIÈRE ","4 377,04 $","Location d'équipements d'éclairage et de scène pour des événements au parc Jean-Brillant en 2012 "
"OMNISON ET LUMIÈRE ","2 001,98 $","Achat de lampes pour la maison de la culture CDN "
"OMNISON ET LUMIÈRE ","63 334,38 $","Location d'équipements d'éclairage et de scène pour des événements au parc Jean-Brillant en 2013 "
"PAYETTE ET SIMMS INC. ","84 680,75 $","Impression du journal Le Citoyen pour l'année 2013 "
"PÉPINIÈRE A. MUCCI INC. ","11 333,74 $","Mélange de terre de culture pour lits de plantation - année 2012 "
"PÉPINIÈRE A. MUCCI INC. ","8 371,85 $","Mélange de terre de culture pour lits de plantation - année 2013 "
"PÉPINIÈRE A. MUCCI INC. ","3 071,60 $","Mélange de terre pour terrain de baseball "
"PÉPINIÈRE A. MUCCI INC. ","2 476,91 $","Mélange de terre pour terrain de soccer "
"POIRIER, FONTAINE, ARCHITECTES INC. ","32 442,62 $","Services professionnels en architecture et en ingénierie pour la construction d'un chalet au parc Maurice-Cullen "
"POIRIER, FONTAINE, ARCHITECTES INC. ","4 646,44 $","Services professionnels pour l'aménagement de nouveaux jeux d'eau au parc Nelson-Mandela. "
"PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE ","68 000,00 $","Services de travailleurs de milieu pour l'ensemble de l'arrondissement "
"PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE ","3 350,66 $","Distribution de bacs de récupération et recyclage dans NDG "
"PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE ","6 130,65 $","Contribution pour le festival des arts urbains Hip Hop, You Don't Stop 2012 "
"PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE ","2 046,08 $","Implantation de la collecte sélective dans NDG "
"PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE ","250 300,00 $","Contribution financière 2013 pour la réalisation des activités reliées au programme montréalais de soutien à l'action citoyenne en sécurité urbaine "
"PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE ","125 000,00 $","Campagne de propreté pour l'enlèvement des graffitis sur le domaine privé "
"RAMCOR CONSTRUCTION INC. ","249 697,54 $","Réalisation de la phase 2 des travaux de construction d'une aire d'animation au parc Jean-Brillant"
"RCI ENVIRONNEMENT INC. ","3 770,34 $","Location de toilettes portatives 2012 "
"RCI ENVIRONNEMENT INC. ","1 909 944,63 $","Collecte et transport des déchets, objets volumineux et résidus verts - année 2013 "
"REMORQUAGE BURSTALL-CONRAD INC. ","28 725,48 $","Frais de remorquage pour l'année 2012 sur le territoire de CDN-NDG. "
"REMORQUAGE BURSTALL-CONRAD INC. ","23 912,80 $","Frais de remorquage pour l'année 2013 sur le territoire de CDN-NDG. "
"REMORQUAGE TAZ INC. ","56 046,78 $","Travaux de nettoyage de trottoirs des secteurs de déneigement N10-72, 73 et 74 pour le nettoyage printanier 2013 "
"REMPLISSAGE BEAU TERRAIN J.L. INC. ","30 485,07 $","Transport de terre d'excavation - année 2012 "
"REMPLISSAGE BEAU TERRAIN J.L. INC. ","23 754,60 $","Achat de billets de remblai pour la collecte de terre d'excavation "
"SCIAGE DE BÉTON 2000 INC. ","51 482,05 $","Contrat pour location d'une scie à béton pour la réalisation en régie de travaux de réfection de trottoirs et autres "
"SERVICES D'ENTRETIEN D'ÉDIFICES ALLIED (QUÉBEC) INC. ","30 617,04 $","Service d'entretien - année 2013 "
"SIFTO CANADA CORP. ","872 813,67 $","Sel de déglaçage - 1er janvier au 30 avril 2013 "
"SOCIÉTÉ ENVIRONNEMENTALE DE CÔTE-DES-NEIGES ","4 110,87 $","Distribution du bac montréalais pour la récupération et le recyclage dans CDN "
"SOCIÉTÉ ENVIRONNEMENTALE DE CÔTE-DES-NEIGES ","6 000,00 $","Contribution financière pour la réalisation du projet Verdir Décarie dans le cadre du Plan d'action sur les changements climatiques "
"SOCIÉTÉ ENVIRONNEMENTALE DE CÔTE-DES-NEIGES ","3 479,06 $","Implantation de la collecte sélective dans CDN - suivi 2011-2012 "
"SOCIÉTÉ ENVIRONNEMENTALE DE CÔTE-DES-NEIGES ","128 670,75 $","Gestion humanitaire et environnementale des biens laissés en bordure de rue "
"SOGEP, SOCIÉTÉ DE GESTION D'ÉQUIPEMENTS PUBLICS ","968 026,34 $","Services techniques pour la gestion du centre sportif NDG 2013 "
"SOLOTECH INC. ","5 329,14 $","Achat de matériel "
"SOLOTECH INC. ","12 119,47 $","Achat d'un projecteur et de matériel pour la maison de la culture NDG "
"SOLOTECH INC. ","9 730,60 $","Équipement divers pour la maison de la culture NDG "
"(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","38 125,00 $","Interventions pour animaux domestiques et faune - année 2013 "
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC. ","2 591,02 $","Pièces d'aqueduc - 2012 "
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC. ","4 223,04 $","Chambre de vanne en béton "
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC. ","11 850,83 $","Pièces pour égouts - 2013 "
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC. ","7 501,26 $","Pièces d'aqueduc - 2013 "
"ST-LÉONARD NISSAN ","29 165,05 $","Achat d'un véhicule "
"SYNDICAT DE COPROPRIÉTÉ DES TERRAINS BENNY FARM ","14 348,04 $","Charges communes de copropriété des terrains Benny Farm - année 2012 "
"SYNDICAT DE COPROPRIÉTÉ DES TERRAINS BENNY FARM ","16 000,00 $","Charges communes de copropriété des terrains Benny Farm - année 2013 "
"TECHSPORT INC. ","29 393,60 $","Achat de cinq paires de buts, soit trois junior et deux senior, pour deux sites à NDG "
"TECHSPORT INC. ","13 413,65 $","Installation d'équipements sportifs au parc Loyola (2013) "
"TERRASSEMENT AHUNTSIC INC. ","23 039,76 $","Installation de supports à bicyclettes "
"TERRASSEMENT AHUNTSIC INC. ","4 948,88 $","Installation de bancs dans le parc NDG "
"TGA MONTRÉAL INC. ","306 580,60 $","Réfections mineures de trottoirs et bordures - année 2012 "
"TOSHIBA SOLUTIONS D'AFFAIRES ","2 199,50 $","Location de photocopieur - bureau des élus - 2012 "
"TOSHIBA SOLUTIONS D'AFFAIRES ","2 766,97 $","Location de photocopieur - bureau Accès Montréal "
"TOSHIBA SOLUTIONS D'AFFAIRES ","7 152,78 $","Location de photocopieur - actifs immobiliers "
"TOSHIBA SOLUTIONS D'AFFAIRES ","15 150,17 $","Location de photocopieur - travaux publics "
"TOSHIBA SOLUTIONS D'AFFAIRES ","10 882,03 $","Location de photocopieur - aménagement urbain et services aux entreprises "
"TOSHIBA SOLUTIONS D'AFFAIRES ","2 199,50 $","Location de photocopieur - bureau des élus - 2013 "
"TOSHIBA SOLUTIONS D'AFFAIRES ","3 316,85 $","Location de photocopieur - ressources humaines "
"TOSHIBA SOLUTIONS D'AFFAIRES ","2 256,69 $","Location de photocopieur - culture "
