"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2013 au 31 mai 2014",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE","42 500,00 $","Réalisation du Plan d'action en développement social "
"CONSTRUCTION DJL INC.","72 654,75 $","Mélange bitumineux - 2013 "
"CONSTRUCTION DJL INC.","10 876,17 $","Mélange bitumineux - 2014 "
"CONSTRUCTION EMCON INC. ","273 568,94 $","Chalet du parc MacDonald (phase 2) : travaux de rénovation et de réaménagement "
"CONSTRUCTION PIRAVIC INC. ","264 380,28 $","Parc de la Confédération : travaux de réfection des installations sportives, de la piste d’athlétisme et des sentiers "
"CONSTRUCTION SOTER INC. ","62 070,85 $","Construction de dos d'âne permanents sur diverses rues de l'arrondissement de CDN-NDG "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","10 000,00 $","Contribution financière à Parcs animés 2013 "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","16 600,00 $","Initiative montréalaise de soutien au développement social local pour la période du 1er avril 2012 au 31 mars 2015 "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","42 500,00 $","Réalisation du Plan d'action en développement social en arrondissement "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","3 000,00 $","Contribution à l’Hiver en fête à Côte-des-Neiges "
"DISTRIBUTION JEAN BLANCHARD INC. ","57 459,88 $","Achat de poubelles et supports de type poteaux. "
"ENTREPRENEURS GÉNÉRAUX LAMBDA INC. ","1 191 112,14 $","Chalet du parc Nelson-Mandela : travaux de réaménagement et d'agrandissement "
"ENTRETIEN MANA INC. ","29 678,15 $","Entretien ménager au 2140, avenue Madison (3e étage) "
"ENVIRONNEMENT ROUTIER NRJ INC.","72 317,53 $","Contrat 2013 : collecte sélective des matières recyclables "
"ENVIRONNEMENT ROUTIER NRJ INC.","8 119,46 $","Installation et enlèvement de dos d'âne temporaires "
"ENVIRONNEMENT ROUTIER NRJ INC.","1 607 619,61 $","Contrat 2014 : collecte sélective des matières recyclables "
"ÉQUIPEMENT NCN LTÉE","18 316,34 $","Écran d'étayage SPEED-SHORE 2013 "
"ÉQUIPEMENT NCN LTÉE","16 842,62 $","Écran d'étayage SPEED-SHORE 2014 "
"EXCAVATIONS VIDOLO LTÉE ","95 689,62 $","Transport de matières par conteneurs "
"FONDERIE LAPERLE","40 616,53 $","Pièces et accessoires - 2013 "
"FONDERIE LAPERLE","98 484,61 $","Pièces et accessoires - 2014 "
"FORTIER AUTO (MONTRÉAL) LTÉE","2 307,56 $","Radio mobile pour les deux camions Ford F-450 "
"FORTIER AUTO (MONTRÉAL) LTÉE","32 256,52 $","Achat de camion à châssis de marque Ford F-350, année 2014 "
"GROUPE ABS INC.","3 153,29 $","Parc de la Confédération : contrôle qualitatif des matériaux et essais en laboratoire "
"GROUPE ABS INC.","2 078,53 $","Échantillonnage environnemental des sols "
"GROUPE ABS INC.","9 915,34 $","Honoraires professionnels pour le contrôle qualitatif des matériaux et leur mise en œuvre pour la reconstruction du chalet du parc Maurice-Cullen "
"GROUPE ABS INC.","12 560,40 $","Honoraires professionnels pour le contrôle qualitatif des matériaux et leur mise en œuvre pour le réaménagement et l'agrandissement du chalet du parc Nelson-Mandela "
"GROUPE ABS INC.","5 289,25 $","Honoraires professionnels pour la caractérisation environnementale des sols, réaménagement et agrandissement des modules de jeux au parc Jean-Brillant "
"GROUPE ABS INC.","5 496,67 $","Carottage des chaussées CDN-NDG "
"GROUPE GEMEC INC.","366 140,26 $","Location des balais de rue, sans opérateur, avec entretien, de type aspirateur monté sur châssis de camion à cabine avancée "
"GROUPE GEMEC INC.","90 202,83 $","Entretien de six balais du 1er avril au 30 novembre 2014 "
"GROUPE GEYSER INC. ","12 931 600,00 $","Construction du Centre culturel Notre-Dame-de-Grâce "
"GROUPE HEXAGONE","1 995 486,94 $","Reconstruction des trottoirs et bordures associés aux travaux de planage et de revêtement bitumineux des chaussées, là où requis, sur les différentes rues de l'arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce "
"GROUPE QUALITAS INC.","26 259,13 $","Mises aux normes de l'aréna Doug-Harvey "
"GROUPE QUALITAS INC.","119 564,04 $","Construction du Centre culturel Notre-Dame-de-Grâce : contrôle qualitatif "
"HEWITT ÉQUIPEMENT LTÉE ","77 234,61 $","Location d'une rétrocaveuse avec entretien "
"HYDRO-QUÉBEC","86 249,65 $","Frais d’électricité 2013 : éclairage de rues "
"HYDRO-QUÉBEC","887 157,64 $","Frais d’électricité 2014 : éclairage de rues "
"HYDRO-QUÉBEC","101 383,96 $","Feux de circulation "
"ÎLE SANS FIL","22 367,29 $","Fourniture et installation des équipements pour le WiFi dans les parcs de Kent, Gilbert-Layton, Jean-Brillant et Notre-Dame-de-Grâce "
"ÎLE SANS FIL","4 042,54 $","Projet Île sans fil dans les parcs "
"IMAGINEO INC.","49 281,78 $","Travaux d'installation des modules de jeux pour enfants de 18 mois à 5 ans au parc Coffee "
"IMAGINEO INC.","90 012,09 $","Travaux d’installation de modules de jeux au parc Georges-Saint-Pierre "
"IMPRIMERIE NORECOB INC. ","31 113,21 $","Impression du journal Le Citoyen - 2014 "
"INSPEC-SOL INC.","35 308,57 $","Surveillance environnementale et géotechnique au Centre culturel NDG "
"INSPEC-SOL INC.","3 372,93 $","Contrôle qualitatif des matériaux pour la construction des saillies et de la chaussée "
"INSPEC-SOL INC.","6 836,61 $","Parc Georges-Saint-Pierre : caractérisation environnementale du terrain de soccer "
"JEUNESSE BENNY","6 000,00 $","Jeux de Montréal "
"JEUNESSE BENNY","62 650,00 $","Contribution financière 2014 : activités de loisirs et clubs de vacances "
"LAFARGE CANADA INC.","210 149,75 $","Achat de pierre prémélangée - 2013 "
"LAFARGE CANADA INC.","80 090,41 $","Achat de pierre prémélangée - 2014 "
"LE DEVOIR","10 073,25 $","Parution d'avis publics et d'appels d'offres - 2013 "
"LE DEVOIR","16 593,71 $","Parution d'avis publics et d'appels d'offres - 2014 "
"LES CONSTRUCTIONS ARGOZY INC.","154 580,80 $","Parc Georges-Saint-Pierre : contrat pour la transformation de la pataugeoire en jeux d'eau "
"LES CONSTRUCTIONS ARGOZY INC.","16 567,78 $","Installation et enlèvement de dos d'âne temporaires "
"LES CONSTRUCTIONS DE CASTEL INC. ","1 241 390,70 $","Travaux de mise aux normes de l'aréna Doug-Harvey "
"LES ENTREPRENEURS BUCARO INC. ","96 344,99 $","Travaux de construction de saillies et réaménagement géométrique de l'intersection du chemin de la Côte-Saint-Antoine et de l'avenue Marcil "
"LES ENTREPRISES CJRM ENR. ","65 337,74 $","Location d'une rétrocaveuse avec opérateur incluant les accessoires "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","3 284,06 $","Pavillon de la Savane : modifications pour éviter les infiltrations de vermine dans le bâtiment "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","4 593,66 $","Réparation temporaire du plancher du Centre communautaire NDG "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","19 558,58 $","École Sainte-Catherine-de-Sienne : expertises sur roulottes et divers travaux sur les roulottes par un technicien "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","4 957,00 $","Installation de revêtement Mondo au chalet de la patinoire Bleu Blanc Bouge "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","5 436,30 $","Chalet du parc Jean-Brillant : travaux de réparation en raison de vandalisme "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","5 106,54 $","Centre sportif Côte-des-Neiges : projet pilote de remplacement de trois robinets par trois robinets anti-vandalisme "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","2 758,67 $","Bibliothèque CDN : remplacement de la toilette des hommes du rez-de-chaussée "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","3 715,04 $","Chalet du parc de la Confédération : modifications en plomberie et en électricité "
"LES ENTREPRISES VENTEC INC.","8 710,02 $","Construction d'une rampe d’accès pour la resurfaceuse au parc Jean-Brillant "
"LES ENTREPRISES VENTEC INC.","7 698,25 $","Réparations de gazon au parc Jean-Brillant "
"LES ENTREPRISES VENTEC INC.","2 397,46 $","Installation de bancs et de corbeilles au Centre communautaire NDG "
"LES ENTREPRISES VENTEC INC.","32 397,07 $","Aménagement de sentier au parc Marie-Gérin-Lajoie "
"LES ENTREPRISES VENTEC INC.","10 634,58 $","Parc Notre-Dame : travaux de réfection de sentier, construction de dalle en béton pour le mobilier urbain "
"LES ÉQUIPEMENTS COLPRON INC. ","71 737,79 $","Patinoire Bleu Blanc Bouge : achat d’un tracteur utilitaire Kubota pour l’entretien hivernal "
"LES HABITATIONS COMMUNAUTAIRES NOTRE-DAME-DE-GRÂCE ","32 624,00 $","Contribution financière "
"LES PAVAGES CHENAIL INC.","66 554,02 $","Mélange bitumineux - 2013 "
"LES PAVAGES CHENAIL INC.","52 997,61 $","Mélange bitumineux - 2014 "
"LIGNCO SIGMA INC. ","73 270,07 $","Marquage sur la chaussée pour l'arrondissement CDN-NDG "
"LIGNES RIVE-SUD ","46 188,34 $","Contrat de marquage sur la chaussée "
"LOCATION SAUVAGEAU INC.","18 738,54 $","Location pour aqueduc "
"LOCATION SAUVAGEAU INC.","40 713,12 $","Location de camion "
"LOCATION SAUVAGEAU INC.","6 277,50 $","Location de nacelle "
"LOCATION SAUVAGEAU INC.","7 811,48 $","Location de fourgonnette "
"LOCOMOTIVE INC.","21 995,00 $","Développement de la plate-forme Alertes citoyennes "
"LOCOMOTIVE INC.","10 371,07 $","Projet Alertes citoyennes Montréal - NDG "
"LOISIRS SOLEIL INC.","24 241,00 $","Contribution financière pour le club de vacances 2013 "
"LOISIRS SOLEIL INC.","24 241,00 $","Contribution financière pour le club de vacances 2014 "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","1 106 457,00 $","Contribution financière 2014 : activités de loisirs, clubs de vacances et gestion du centre "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","2 488,50 $","Phase transitoire Volet 1 du Centre sportif NDG "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","841 362,43 $","Gestion et exploitation Volets 2 à 7 (2014) "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","2 309,98 $","Achat d'ordinateurs "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","796,11 $","Frais de CSST de 16,5 % "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","4 282,48 $","Services d’arbitrage et de surveillance "
"MAISON DES JEUNES CÔTE-DES-NEIGES ","55 930,00 $","Contribution financière 2014 : activités de loisirs, programmes Maison des jeunes et Jeunesse 2000 "
"MICHEL DALLAIRE ET ASSOCIÉS ARCHITECTES","193 939,01 $","Centre communautaire et Bibliothèque interculturelle : services professionnels pour la réhabilitation de l’enveloppe verticale du bâtiment "
"MICHEL GOHIER LTÉE","21 610,09 $","Équipement à neige "
"MICHEL GOHIER LTÉE","142 065,15 $","Achat de deux bennes basculantes "
"MICHEL GOHIER LTÉE","4 124,06 $","Réparation de l'unité # 283-92155 "
"MICHEL GOHIER LTÉE","6 814,21 $","Réparation de l'unité # 296-04013 "
"NISSAN CANADA FINANCE","20 482,45 $","Location de cinq voitures Nissan pour 12 mois "
"NISSAN CANADA FINANCE","5 854,70 $","Location d’une voiture Versa à hayon (2014) "
"NORTHEX ENVIRONNEMENT ","35 897,14 $","Analyse et transport de terre "
"NORTRAX QUÉBEC INC.","6 005,65 $","Réparation de niveleuses en location "
"NORTRAX QUÉBEC INC.","187 111,46 $","Achat d'une chargeuse de marque John Deere 2013 "
"NORTRAX QUÉBEC INC.","22 550,71 $","Réparation d’une niveleuse 2014 louée "
"NORTRAX QUÉBEC INC.","67 652,13 $","Réparation et entretien d’un chargeur 2014 loué "
"NORTRAX QUÉBEC INC.","123 208,31 $","Location de deux niveleuses et de deux niveleuses avec chasse-neige "
"NORTRAX QUÉBEC INC.","188 440,89 $","Location de quatre chargeurs sur roues "
"PAVAGE C.S.F. INC.","22 542,95 $","Réparation de trottoirs dans CDN-NDG "
"PAVAGE C.S.F. INC.","19 699,33 $","Réfections mineures des trottoirs, bordures et entrées charretières, là où requis, sur différentes rues de l'arrondissement de CDN-NDG "
"PAVAGES D'AMOUR INC.","55 647,35 $","Reconstruction d'un égout combiné et d'aqueduc, là où requis "
"PAVAGES D'AMOUR INC.","1 097 095,86 $","Reconstruction des trottoirs et bordures, là où requis, sur les différentes rues de l'arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce "
"PRÉVENTION CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","145 000,00 $","Contribution financière pour le programme Éco-quartier Notre-Dame-de-Grâce - 2013 "
"PRÉVENTION CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","70 000,00 $","Contribution financière pour le programme Travailleurs de milieu CDN-NDG "
"PRÉVENTION CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","4 305,38 $","Gestion et entretien des sites de compostage communautaires "
"PRÉVENTION CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","250 300,00 $","Contribution financière 2014 pour le Programme montréalais de soutien à l’action citoyenne en sécurité urbaine "
"PRÉVENTION CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE","145 000,00 $","Convention Éco-quartier 2014 "
"PRO-MIX BÉTON INC. ","72 129,87 $","Mélange bitumineux "
"RCI ENVIRONNEMENT ","1 905 076,74 $","Ordures ménagères et résidus verts "
"RECYCLAGE NOTRE-DAME INC.","237 542,43 $","2013 - Élimination de terre "
"RECYCLAGE NOTRE-DAME INC.","112 355,52 $","2014 - Élimination de terre "
"RECYCLAGE NOTRE-DAME INC.","58 046,61 $","Élimination des résidus de balais de rue et de dépôts à neige "
"REMORQUAGE MOBILE ","119 991,58 $","Contrat pour remorqueuses "
"SCIAGE DE BETON 2000 INC. ","49 081,09 $","Location d'une scie à béton avec opérateur "
"SIFTO CANADA CORP. ","811 857,33 $","Sel de déglaçage du 15 sept. 2013 au 30 avril 2014 "
"SOCIÉTÉ CANADIENNE DES POSTES ","39 015,52 $","Livraison du journal Le Citoyen - 2013 "
"SOCIÉTÉ EN COMMANDITE STRONGCO ","54 145,28 $","Location d'une auto-niveleuse "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","42 992,50 $","Gestion humanitaire et environnementale des biens laissés en bordure de rue "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","20 250,00 $","Contribution financière pour le Réseau des jardins urbains de CDN-Volet général "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","180 000,00 $","Contribution financière pour le programme Éco-quartier Côte-des-Neiges - 2013 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","4 898,72 $","Gestion et entretien des sites de compostage communautaires (Mahatma-Gandhi, Dupuis, Jean-Brillant et des Nations) "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","3 118,00 $","Implantation de la collecte sélective CDN "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","2 334,00 $","Gestion et entretien hebdomadaire des sites de compostage communautaires Mahatma-Gandhi, Dupuis, Jean-Brillant et des Nations "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","60 000,00 $","Gestion humanitaire et environnementale lors d'une éviction "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","180 000,00 $","Programme Éco-quartier dans le territoire de CDN, année 2014 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","2 333,00 $","Gestion et entretien des sites de compostage communautaires "
"SOGEP/ SOCIÉTÉ DE GESTION D’ÉQUIPEMENTS PUBLICS ","81 830,51 $","Services techniques pour le Centre sportif NDG 2013 "
"SPCA/ SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","75 000,00 $","Interventions pour animaux domestiques et faune pour l’année 2013 "
"SPCA/ SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","5 000,00 $","Programme CSRM et projets communautaires pour l'année 2012 "
"SPCA/ SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","107 940,00 $","Interventions pour animaux domestiques et faune pour l’année 2014 "
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC. ","38 395,46 $","Pièces et accessoires d'égout et d'aqueduc "
"TECHNIPARC ","127 746,96 $","Aménagement de deux terrains de soccer au parc Trenholme "
"TECHSPORT INC.","7 258,35 $","Installation d'équipements sportifs au parc Loyola (2013) "
"TECHSPORT INC.","58 176,80 $","Travaux d'installation des modules de jeux pour enfants de 5 à 12 ans au parc Coffee "
"TECHSPORT INC.","12 938,95 $","Fourniture et livraison de deux stations d’exercice extérieures "
"TERRASSEMENT JOPAT INC.","21 874,03 $","Parc Somerled : quatre terrains "
"TERRASSEMENT JOPAT INC.","16 884,10 $","Parc de Kent : lavage et réparation des fissures des dix terrains de tennis "
"TESSIER RÉCRÉO-PARC INC. ","46 446,86 $","Parc Jean-Brillant : contrat pour la fourniture et l’installation de modules de jeux pour enfants de 5 à 12 ans "
"TOSHIBA SOLUTIONS D’AFFAIRES","7 216,78 $","Frais de location et service du photocopieur - 2013 "
"TOSHIBA SOLUTIONS D’AFFAIRES","32 996,59 $","Frais de location et service du photocopieur - 2014 "
"TRAFFIC LOGIX","28 642,99 $","Travaux d'apaisement de la circulation "
"TRAFFIC LOGIX","20 959,92 $","Installation et réparation de radar "
"TRANSVRAC MONTRÉAL-LAVAL INC.","40 856,96 $","Contrat pour le transport de terre "
"TRANSVRAC MONTRÉAL-LAVAL INC.","23 643,35 $","Contrat pour le transport de feuilles "
"TRANSVRAC MONTRÉAL-LAVAL INC.","678 977,10 $","Transport de neige et glace "
"TRANSVRAC MONTRÉAL-LAVAL INC.","8 815,41 $","Camionnage de terre en vrac "
"UNIBÉTON, DIV. CIMENT QUÉBEC INC. ","49 092,31 $","Ciment à béton "
"UNIVERSITÉ CONCORDIA","6 047,97 $","Projection, sonorisation et autres, pour le Gala des Grands Citoyens - 6 juin 2013 "
"UNIVERSITÉ CONCORDIA","109 975,00 $","Rénovation et amélioration du terrain sud pour l'utilisation des terrains de sports du Centre sportif - 2013 "
"UNIVERSITÉ CONCORDIA","103 710,70 $","Rénovation et amélioration du terrain sud pour l'utilisation des terrains de sports du Centre sportif - 2014 "
"URBEX INNOVATIONS INC.","19 465,58 $","Fourniture de lampadaires sur la piste d'athlétisme au parc de la Confédération - 2013 "
"URBEX INNOVATIONS INC.","18 356,79 $","Fourniture de lampadaires sur la piste d'athlétisme au parc de la Confédération - 2014 "
"VILLE DE CÔTE-SAINT-LUC ","135 160,22 $","Travaux exécutés par la Ville de Côte Saint-Luc "
"VILLE DE MONT-ROYAL ","110 000,00 $","Contribution financière 2014 (secteur Glenmount) "
"WEST HAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION ","74 785,00 $","Contribution financière 2014 : activités de loisirs et club de vacances "
