"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2014 au 31 mai 2015",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES -NEIGES","4 058,00 $","Contribution financière dans le cadre du Programme d'assistance financière au loisir des personnes handicapées "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES -NEIGES","7 062,00 $","Animation au parc Jean-Brillant "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES -NEIGES","17 000,00 $","Projet Pour bien animer "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES -NEIGES","5 000,00 $","Fiducaire pour la Société d'histoire de la CDN "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","125 300,00 $","Contribution financière 2015 pour activités de loisirs "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES -NEIGES ","70 000,00 $","Contribution financière 2015 pour gestion de centres "
"CENTRE DE SERVICES PARTAGÉS DU QUÉBEC","45 879,54 $","Service de téléphonie cellulaire de toutes les directions pour l’année 2015 "
"CENTRE DE SERVICES PARTAGÉS DU QUÉBEC","10 139,13 $","Service de téléphonie cellulaire de toutes les directions pour l’année 2014 "
"CIMA+ S.E.N.C. ","34 224,53 $","Contrat de services professionnels en ingénierie structure en lien avec le projet de réparation structurale de l'abri en béton dans la cour de voirie Madison "
"CLUB DE PLEIN AIR NDG ","42 000,00 $","Contribution financière 2015 pour activités de loisirs "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","3 833 031,87 $","Contrat de déneigement – Hiver 2014-2015 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","42 682,34 $","Location d'une rétrocaveuse et de 2 chargeuses "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","38 721,01 $","Contrat de lavage de trottoirs "
"COFELY SERVICES INC.","11 194,76 $","Contrat de gestion de l'infrastructure du Centre sportif de NDG – Travail électrique pour le service de hotte de cuisine – No de dossier 14-Z4162 "
"COFELY SERVICES INC.","2 805,73 $","Contrat de gestion de l'infrastructure du Centre sportif de NDG – Déplacement de la thermopompe TP-7 "
"COFELY SERVICES INC.","129 008,64 $","Contrat de gestion de l'infrastructure du Centre sportif de NDG – Volets 2 à 4 pour 2015 "
"COFELY SERVICES INC.","63 719,86 $","Gestion immobilière et entretien du Centre sportif de NDG – Juillet à décembre 2014 "
"COMEAU EXPERTS CONSEILS ","39 954,54 $","Services professionnels pour la préparation des plans et devis dans le cadre du projet d'aménagement d'un terrain multifonctionnel au parc Nelson-Mandela "
"COMITÉ JEUNESSE DE NOTRE -DAME-DE-GRÂCE","2 300,00 $","Semaine italienne "
"COMITÉ JEUNESSE DE NOTRE -DAME-DE-GRÂCE","92 398,50 $","Contribution financière 2015 pour Grand Centre "
"COMITÉ JEUNESSE DE NOTRE -DAME-DE-GRÂCE","50 135,00 $","Contribution financière 2015 pour club de vacances "
"COMITÉ JEUNESSE DE NOTRE -DAME-DE-GRÂCE","224 228,00 $","Contribution financière 2015 pour club de vacances "
"COMITÉ JEUNESSE DE NOTRE -DAME-DE-GRÂCE","270 832,50 $","Contribution financière 2015 "
"COMITÉ JEUNESSE DE NOTRE -DAME-DE-GRÂCE","10 000,00 $","Projet Ça bouge dans les parcs "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","51 523,40 $","Location de salles – Avril à décembre 2014 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","26 615,63 $","Location de salles – Janvier à mars 2015 "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE","16 600,00 $","Contribution financière pour la réalisation du programme Initiative montréalaise de soutien au développement social local "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE","42 500,00 $","Contribution table de concertation 2014 "
"CONSTRUCTION DJL INC.","366 406,78 $","Achat d'asphalte – 2014 "
"CONSTRUCTION DJL INC.","32 122,67 $","Achat d'asphalte – 2015 "
"CONSTRUCTION PIRAVIC INC.","233 667,98 $","Parc William-Bowie : travaux de réfection divers et aménagement paysager "
"CONSTRUCTION PIRAVIC INC.","341 948,02 $","Parc Jean-Brillant : travaux de réaménagement de l’aire de jeux des 5 à 12 ans, des sentiers et des aménagements paysagers "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","16 600,00 $","Contribution financière pour la réalisation du programme Initiative montréalaise de soutien au développement social local "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","3 000,00 $","Contribution pour l’activité Hiver en Fête, édition 2015 "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","10 000,00 $","Projet Parcs Animés "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","42 500,00 $","Contribution table de concertation 2014 "
"COUVERTURE MONTRÉAL-NORD LTÉE","650 180,53 $","Centre le Manoir Notre-Dame-de-Grâce : contrat pour les travaux de réfection de la toiture et des bas, et travaux connexes "
"CUBEX LIMITED ","37 128,43 $","Fourniture d'une benne chauffante basculante sur remorque d'une capacité de 4 tonnes "
"DEMIX ","60 441,03 $","Béton préparé – 2014 "
"DEMVAR INC. ","71 164,20 $","Centre Communautaire Notre-Dame-de-Grâce : travaux d'assainissement du vide sanitaire et désamiantage de la tuyauterie autour de la piscine "
"ÉMILIEN JACQUES ","42 313,97 $","Location d'une rétrocaveuse pour la plantation d'arbres "
"ENTRETIEN MANA INC. ","25 684,14 $","Entretien ménager du 2140, avenue Madison "
"ENVIRONNEMENT ROUTIER NRJ INC. ","1 692 351,26 $","Collecte de déchets – 1er janvier au 31 décembre 2015 "
"ÉQUIPEMENTS TWIN INC.","2 268,36 $","Fournir et installer un coffre en aluminium pour camion "
"ÉQUIPEMENTS TWIN INC.","3 000,54 $","Décapage au jet de sable et peinture d'une remorque "
"ÉQUIPEMENTS TWIN INC.","3 100,85 $","Modification d'une remorque à la suite des demandes de la SST "
"ÉQUIPEMENTS TWIN INC.","30 253,00 $","Année 2015 : fourniture et installation d’une plate-forme fixe avec ridelles et d’un monte-charge arrière "
"ÉQUIPEMENTS TWIN INC.","113 839,08 $","Année 2014 : fourniture et installation de 5 bennes basculantes en aluminium de 8 pieds de longueur, ainsi que des équipements se rattachant aux bennes "
"ÉQUIPEMENTS TWIN INC.","172 828,45 $","Année 2014 : fourniture et installation de 5 bennes basculantes en aluminium de 15 pieds de longueur, ainsi que des équipements se rattachant aux bennes "
"ÉQUIPEMENTS TWIN INC.","4 659,83 $","Réparation d'un véhicule "
"EXCAVATION A.M. LTÉE ","260 779,50 $","Travaux pour réfections mineures de trottoirs et de bordures "
"EXCAVATIONS VIDOLO LIMITÉE ","93 141,15 $","Année 2015 : service de transport par conteneurs "
"FÉDÉRATION CJA","150 000,00 $","Contribution pour le réaménagement et la construction de nouveaux espaces dans les installations communautaires de l’édifice Cummings, 5151, chemin de la Côte-des-Neiges"
"FÉDÉRATION CJA",,"Autorisation de la signature d’un avenant à la convention intervenue entre la Ville de Montréal et la Fédération CJA (2000)"
"FICHTEN SOIFERMAN ET ASSOCIÉS ARCHITECTES ","725 053,50 $","Centre culturel de Notre-Dame-de-Grâce : concours d’architecture "
"FORTIER AUTO (MONTRÉAL) LTÉE ","85 089,82 $","Fourniture de 2 camionettes Ford F350 "
"FOURGONS ÉLITE ","134 564,63 $","Achat de 2 fourgons "
"GIRARD-HÉBERT INC.","18 897,74 $","Parc Loyola : suivi de projet pour la transformation de la pataugeoire en jeux d’eau "
"GIRARD-HÉBERT INC.","17 847,87 $","Parc Rosemary-Brown : suivi de projet pour la transformation de la pataugeoire en jeux d’eau "
"GLOBOCAM INC.","126 165,33 $","Fourniture d'un camion châssis 4 x 2 de marque Freightliner 2015 "
"GLOBOCAM INC.","352 242,04 $","Fourniture de deux camions châssis 6 x 4 de marque Freightliner 2016 "
"GLOBOCAM INC.","343 640,25 $","Fourniture de trois camions châssis-cabine 6 x 4 "
"GROUPE ABS INC.","3 872,95 $","Contrat de services professionnels pour la caractérisation environnementale sommaire des sols "
"GROUPE ABS INC.","5 108,69 $","Travaux de carottage des dalles à l'abri en béton à la cour de voirie Madison "
"GROUPE ABS INC.","5 013,15 $","Travaux de carottage dans les chaussées de rues "
"GROUPE ABS INC.","7 871,64 $","Parc Loyola : étude géotechnique, installation de lampadaires "
"GROUPE ABS INC.","7 311,66 $","Implantation d'un bac de plantation "
"GROUPE ABS INC.","3 149,62 $","Contrat de services professionnels pour le contrôle qualitatif des matériaux dans le cadre du projet de réaménagement de l'aire de jeux des 5 à 12 ans, des sentiers, de la placette et des aménagements paysagers au parc Jean-Brillant"
"GROUPE HEXAGONE S.E.C","48 676,61 $","Installation de dos d'âne permanents "
"GROUPE MÉCANO INC. ","231 300,92 $","Parc Loyola : travaux – contingences. Programme PAM jeux d’eau "
"HEWITT ÉQUIPEMENT LTÉE ","65 738,97 $","Location d'une rétrocaveuse 95 hp sans opérateur "
"HYDRO-QUÉBEC","38 039,76 $","Feux de circulation – 2015 "
"HYDRO-QUÉBEC","349 395,42 $","Éclairage de rues – 2015 "
"HYDRO-QUÉBEC","2 722,34 $","Travaux de raccordement électrique du projet du Centre culturel Notre-Dame-de-Grâce "
"HYDRO-QUÉBEC","133 663,23 $","Éclairage de rues – 2014 "
"HYDRO-QUÉBEC","13 504,41 $","Feux de circulation – 2014 "
"IMAGINEO INC.","9 849,47 $","Contrat pour le remplacement de l'entrée électrique dans le cadre du projet de la mise à niveau de l'aréna Doug-Harvey "
"IMAGINEO INC.","86 599,86 $","Parc Loyola : contingences au contrat de fourniture et d’installation de jeux d’eau et de systèmes connexes. CA15 170005"
"IMAGINEO INC.","270 531,62 $","Contrat pour l'équipement et l'installation du système de gradins télescopiques à configuration variable au Centre culturel Notre-Dame-de-Grâce "
"IMPRIMERIE NORECOB INC. ","33 280,76 $","Impression de deux numéros du bulletin Le Citoyen – édition 2014 "
"JEUNESSE BENNY ","62 650,00 $","Contribution financière 2015 pour club de vacances "
"JOE JOHNSON EQUIPEMENT INC.","91 313,33 $","Entretien de 6 balais du 1er avril au 30 novembre 2015 "
"JOE JOHNSON EQUIPEMENT INC.","370 647,87 $","Location de balais de rue, sans opérateur, avec entretien, de type aspirateur monté sur châssis de camion à cabine avancée, du 1er avril au 30 novembre 2015 "
"K+S SEL WINDSOR LTÉE","329 714,01 $","Sel de déglaçage des chaussées – Hiver 2014-2015 "
"K+S SEL WINDSOR LTÉE","598 261,46 $","Sel de déglaçage – Janvier à avril 2015 "
"K+S SEL WINDSOR LTÉE","32 864,90 $","Sel de déglaçage traité "
"LA BOITE - ARCHITECTURE DESIGN INC.","14 152,20 $","Maison de la culture Notre-Dame-de-Grâce : étanchéisation du mur rideau côté ouest "
"LA BOITE - ARCHITECTURE DESIGN INC.","19 334,11 $","Maison de la culture Notre-Dame-de-Grâce : réfection du plancher de la salle de spectacle et travaux connexes "
"LAFARGE CANADA INC.","49 158,70 $","Pierre prémélangée – 2015 "
"LAFARGE CANADA INC.","187 479,74 $","Pierre prémélangée – 2014 "
"LAFARGE CANADA INC.","15 154,23 $","Pierre nette – 2014 "
"LAFARGE CANADA INC.","18 395,52 $","Béton à remblai sans retrait – 2014 "
"LE DEVOIR","18 897,74 $","Parutions 2015 "
"LE DEVOIR","7 019,55 $","Parutions 2014 "
"LES CONSTRUCTIONS ARGOZY INC.","149 150,50 $","Contingences au contrat pour le projet de transformation de la pataugeoire du parc Rosemary-Brown. GDD 1154921005 "
"LES CONSTRUCTIONS ARGOZY INC.","59 966,36 $","Contrat pour la réalisation des travaux d’installation de bornes de recharge pour véhicules électriques : 1 au parc de la Confédération, 2 au parc de Kent "
"LES CONSTRUCTIONS ARGOZY INC.",,"Octroi d’un contrat pour la réalisation des travaux pour le projet de transformation de la pataugeoire du parc Rosemary-Brown en jeux d’eau "
"LES CONSTRUCTIONS DE CASTEL INC. ","266 668,57 $","Travaux de mise aux normes de l'aréna Doug-Harvey "
"LES ENTREPRISES CJRM INC. ","66 142,12 $","Location d’une rétrocaveuse avec opérateur, incluant les accessoires, pour une période d’environ 6 mois "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","18 343,16 $","Octroi d’un contrat pour les travaux de modification en architecture, plomberie et électricité "
"LES ENTREPRISES CJRM INC. ","22 023,82 $","Maison de la culture Notre-Dame-de-Grâce et bibliothèque Notre-Dame-de- Grâce : remplacement de 3 humidificateurs, remise en état d’un humidificateur et travaux connexes "
"LES ENTREPRISES CJRM INC. ","6 991,14 $","Maison de la culture Notre-Dame-de-Grâce : travaux supplémentaires d'enlèvement du gypse à la suite du rapport Airmax – démolition de la scène "
"LES ENTREPRISES CJRM INC. ","3 816,08 $","Bibliothèque interculturelle et centre communautaire Le 6767 : réhabilitation de l’enveloppe verticale/ouvertures exploratoires "
"LES ENTREPRISES CJRM INC. ","2 578,15 $","Parc de la Confédération : réparation de la mise à la terre de la piscine (malt de la clôture) "
"LES ENTREPRISES CJRM INC. ","2 326,23 $","Bureaux du 2140, avenue Madison : remplacement des tuiles du plafond "
"LES ENTREPRISES VENTEC INC.","9 380,63 $","Contrat pour les travaux d'excavation et de terrassement pour l'aménagement d'un circuit d'entraînement extérieur au parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC.","4 407,70 $","Travaux pour fourniture et pose de galets de rivière dans l'aire d'exercice pour chiens au parc William-Bowie "
"LES ENTREPRISES VENTEC INC.","15 193,62 $","Contrat pour la fourniture et la pose de terre Top Soil pour mettre à niveau le terrain au parc Trenholme afin d'y installer une patinoire "
"LES INDUSTRIES SIMEXCO INC. ","102 579,96 $","Contrat de fourniture des modules de jeux d'eau dans le cadre du projet de transformation de la pataugeoire du parc Rosemary-Brown en jeux d'eau "
"LES PAVAGES CHENAIL INC.","22 386,26 $","Asphalte – 2015 "
"LES PAVAGES CHENAIL INC.","88 834,95 $","Abrasif et sel – 2015 "
"LES PAVAGES CHENAIL INC.","23 557,29 $","Abrasif d'hiver – 2014-2015 "
"LES SOLUTIONS DE RANGEMENT PRISMA INC. ","171 392,99 $","Acquisition et installation de rayonnage pour le Centre culturel Notre-Dame-de-Grâce "
"LIGNBEC ","48 339,51 $","Travaux de marquage de chaussée pour l'année 2015 "
"LOCATION D'AUTOS ET CAMIONS DISCOUNT ","30 088,19 $","Location d’autos et de camions "
"LOCATION SAUVAGEAU INC.","8 216,96 $","Location d'une nacelle "
"LOCATION SAUVAGEAU INC.","19 622,87 $","Location d'une fourgonnette "
"LOISIRS SPORTIFS CÔTE-DES -NEIGES —NOTRE -DAME-DE-GRÂCE","12 000,00 $","Soutien d'initiatives en lien avec la Politique en faveur des saines habitudes de vie de l'arrondissement "
"LOISIRS SPORTIFS CÔTE-DES -NEIGES —NOTRE -DAME-DE-GRÂCE","811 259,04 $","Édifice du Centre sportif Notre-Dame-de-Grâce : contrat de gestion GDD 1130794005 "
"LOISIRS SPORTIFS CÔTE-DES -NEIGES —NOTRE -DAME-DE-GRÂCE","846 078,00 $","Contribution financière pour club de vacances "
"LOISIRS SPORTIFS CÔTE-DES -NEIGES —NOTRE -DAME-DE-GRÂCE","5 204,88 $","Surveillance Centre sportif Confédération – 25 juin au 15 août 2014 "
"LOISIRS SPORTIFS CÔTE-DES -NEIGES —NOTRE -DAME-DE-GRÂCE","6 302,09 $","Achat d'une autorécureuse pour l'entretien du Centre sportif Notre-Dame-de-Grâce "
"LV CONSTRUCTION LVM, UNE DIVISION D’ENGLOBE CORP.","106 238,65 $","Travaux de réaménagement géométrique à l'intersection nord du chemin Circle et de l'avenue Iona "
"LV CONSTRUCTION LVM, UNE DIVISION D’ENGLOBE CORP.","3 148,37 $","Service d'experts-conseils pour la caractérisation environnementale sommaire des sols de la pataugeoire du parc Rosemary-Brown "
"LV CONSTRUCTION LVM, UNE DIVISION D’ENGLOBE CORP.","6 391,93 $","Contrôle qualitatif des matériaux de construction dans le cadre de la soumission CDN-NDG-15-AOP-BT-013 (RMT2015) Réfection de trottoirs – Entente cadre "
"LV CONSTRUCTION LVM, UNE DIVISION D’ENGLOBE CORP.","5 579,32 $","Parc Georges-Saint-Pierre : surveillance environnementale lors de l'excavation des sols contaminés dans le cadre des travaux de réaménagement du terrain de soccer "
"LV CONSTRUCTION LVM, UNE DIVISION D’ENGLOBE CORP.","4 920,04 $","Parc Georges-Saint-Pierre : caractérisation complémentaire à l'endroit des futurs drains latéraux et collecteurs "
"LV CONSTRUCTION LVM, UNE DIVISION D’ENGLOBE CORP.","11 697,42 $","Parc Georges-Saint-Pierre : contrat de services professionnels pour des tests supplémentaires de caractérisation environnementale pour les sols C+ dans le cadre des travaux de réaménagement du terrain de soccer "
"MAISON DES JEUNES CÔTE-DES-NEIGES","93 217,00 $","Contribution financière 2015 pour Jeunesse 2000 "
"MAISON DES JEUNES CÔTE-DES-NEIGES","18 643,00 $","Contribution financière 2015 "
"MAISON DES JEUNES CÔTE-DES-NEIGES","55 930,00 $","Contribution financière 2014 pour activités de loisirs "
"MERCEDES BENZ RIVE-SUD ","51 941,16 $","Achat de roues pour véhicules "
"MLC ASSOCIÉS INC.","7 052,33 $","Centre communautaire Notre-Dame-de-Grâce : services professionnels en ingénierie (expert-conseil) "
"MLC ASSOCIÉS INC.","15 764,03 $","Services professionnels : installation de trois bornes de recharge pour véhicules électriques dont deux au parc de Kent et une au parc de la Confédération "
"MLC ASSOCIÉS INC.","3 837,30 $","Centre communautaire Notre-Dame-de-Grâce : services professionnels supplémentaires en structure / mécanique (ligne de gaz rouillée et dalle de béton endommagée)"
"MORNEAU SHEPELL LTD. ","26 153,07 $","Programme d'aide aux employés "
"NORTRAX QUÉBEC INC.","22 828,34 $","Bris facturables pour les chargeurs en location pour l'année 2015 "
"NORTRAX QUÉBEC INC.","114 456,49 $","Location de 4 chargeurs sur roues sans opérateur pour 3 mois "
"NORTRAX QUÉBEC INC.","3 241,02 $","Entretien d’un tracteur 4000 heures "
"NORTRAX QUÉBEC INC.","168 454,21 $","Achat de 4 chargeurs John Deere, année 2010 (3 unités) et 2011 (1 unité) en se prévalant de l'option d'acquisition prévue au contrat de location de ces unités "
"OMNISON ET LUMIÈRES","5 475,60 $","Achat de matériel de scène pour la maison de la culture Notre-Dame-de-Grâce "
"OMNISON ET LUMIÈRES","21 891,96 $","Achat de gradin et matériel pour l’installation pour la maison de la culture Notre-Dame-de-Grâce "
"OMNISON ET LUMIÈRES","2 197,92 $","Achat d'armoire à serrure électronique pour espace plancher restreint (équipement de scène) pour la maison de la culture Notre-Dame-de-Grâce "
"OMNISON ET LUMIÈRES","2 716,65 $","Achat matériel électrique et matériel de scène pour la maison de la culture Côte-des-Neiges "
"OMNISON ET LUMIÈRES","35 807,87 $","Parc Jean-Brillant : contrat pour la fourniture d'un projecteur et d’accessoires pour du cinéma extérieur "
"ONOMAT CANADA INC. ","3 474,31 $","Service – Transport de colis "
"PAYSAGISTE PROMOVERT INC.","22 505,22 $","Panneaux Publi-Adapt "
"PAYSAGISTE PROMOVERT INC.","86 576,73 $","Contingences au contrat dans le cadre du projet de mise aux normes des équipements de jeu au parc Mackenzie-King. GDD 1155896002 "
"PRÉVENTION CÔTE-DES-NEIGES —NOTRE-DAME-DE-GRÂCE","43 500,00 $","Contribution financière pour réaliser le programme Eco-quartier du 1er janvier au 30 juin 2015 "
"PRÉVENTION CÔTE-DES-NEIGES —NOTRE-DAME-DE-GRÂCE","250 300,00 $","Programme montréalais de soutien à l'action citoyenne en sécurité urbaine "
"PRÉVENTION CÔTE-DES-NEIGES —NOTRE-DAME-DE-GRÂCE","70 000,00 $","Contribution financière pour travailleur de milieu pour 2015 "
"PRÉVENTION CÔTE-DES-NEIGES —NOTRE-DAME-DE-GRÂCE","4 199,49 $","Projet du muret Décarie/de Maisonneuve "
"PRÉVENTION CÔTE-DES-NEIGES —NOTRE-DAME-DE-GRÂCE","40 000,00 $","Opération Montréal.net "
"PRÉVENTION CÔTE-DES-NEIGES —NOTRE-DAME-DE-GRÂCE","70 000,00 $","Intervenants de milieu CDN-NDG "
"RAMCOR CONSTRUCTION INC.","50 494,97 $","Contrat dans le cadre du projet de démolition d'une portion du mur d'enceinte du boisé des Religieuses-du-Précieux-Sang. CA14 170383 "
"RAMCOR CONSTRUCTION INC.","7 192,64 $","Contingences au contrat de démolition "
"RCI ENVIRONNEMENT","1 838 024,46 $","Collecte de résidus verts pour l’année 2015 – 18 semaines "
"RCI ENVIRONNEMENT","10 110,67 $","Ordures ménagères et résidus verts "
"RECYCLAGE NOTRE-DAME INC.","62 404,90 $","Traitement/valorisation de sols contaminés "
"RECYCLAGE NOTRE-DAME INC.","41 962,26 $","Disposition des résidus de balai de rue et de dépôt à neige – 2015 "
"RECYCLAGE NOTRE-DAME INC.","329 830,07 $","Déversement des terres – 2014 "
"RECYCLAGE NOTRE-DAME INC.","81 427,65 $","Disposition des résidus de balai de rue et de dépôt à neige – 2014 "
"REGROUPEMENT DES ORGANISMES DU MONTRÉAL ETHNIQUE POUR LE LOGEMENT ","108 277,78 $","Contribution financière "
"REMORQUAGE BURSTALL CONRAD ","46 701,54 $","Service de remorquage "
"REMORQUAGE MOBILE ","132 444,52 $","Service de remorquage pour opération de déneigement 2014-2015 "
"ROLAND GRENIER CONSTRUCTION LTÉE. ","149 064,02 $","Contrat pour la réalisation des travaux d'étanchéisation du mur rideau côté ouest de la maison de la culture Notre-Dame-de-Grâce et de la section côté est "
"SCIAGE DE BÉTON 2000 INC. ","49 685,33 $","Location d'une scie à béton à lame de 36 pouces avec opérateur, incluant les accessoires, pour une période d’environ 6 mois "
"SERVICES INTÉGRÉS LEMAY ET ASSOCIÉS INC. ","865 692,40 $","Travaux de mise aux normes de l'aréna Bill-Durnan "
"SOCIÉTÉ EN COMMANDITE STRONGCO","22 828,34 $","Bris facturables des niveleuses en location pour l'année 2015 "
"SOCIÉTÉ EN COMMANDITE STRONGCO","16 593,71 $","Bris facturables – 2014 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","4 840,18 $","Gestion et entretien des sites communautaires (Mahatma-Gandhi, Dupuis, Jean-Brillant et des Nations) pour la période du 1er septembre au 30 juin 2015 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","54 000,00 $","Contribution financière pour éco-quartier du 1er au 30 juin 2015 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","100 000,00 $","Projet humanitaire et environnementale des biens disposés en bordure de rue lors d'une éviction du 1er janvier 2015 au 30 juin 2015 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","19 000,00 $","Réseau des jardins urbains de CDN – Volet général "
"SOLUTIONS GRAFFITI","66 551,58 $","Travaux d'enlèvement de graffitis sur les domaines public et privé de l’arrondissement Côte-des-Neiges—Notre-Dame-de-Grâce pour 2015 "
"SOLUTIONS GRAFFITI","64 510,64 $","Enlèvement de graffitis pour 2014 "
"SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX (SPCA)","115 340,00 $","Services de fourrière et de contrôle animalier "
"SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX (SPCA)","8 270,00 $","Interventions pour animaux domestiques et faune – Année 2014 "
"STRONGCO INC. ","137 029,68 $","Location de 4 niveleuses pour 5 mois – Année 2015 "
"SYNDICAT DE COPROPRIÉTÉ DES TERRAINS BENNY FARM","22 020,00 $","Frais de copropriétédes terrains Benny Farm : cotisations 2015 "
"SYNDICAT DE COPROPRIÉTÉ DES TERRAINS BENNY FARM","22 022,92 $","Frais de copropriétédes terrains Benny Farm : cotisations 2014 "
"TECHSPORT INC.","22 354,85 $","Paires de buts de soccer Micro 6' Scoremaster "
"TECHSPORT INC.","19 713,33 $","Contrat pour la fourniture et l'installation de 4 équipements d'entraînement extérieur et de 2 affiches pour un circuit d'entraînement "
