Liste des contrats de 25 000 $ et plus,,
Octroyés du 1er juin 2015 au 31 mai 2016,,
,,
BOUTY INC./ ENTENTE 1013950,Centre culturel de Notre-Dame-de-Grâce : mobilier (chaises) pour le secteur public,"110 286,49 $ "
CARRIÈRE ST-JACQUES INC./ ENTENTE 1067327,Achat d'abrasifs,"75 953,96 $ "
CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES,Contribution financière 2016 : programmation activités de loisirs,"47 054,00 $ "
,Volet club de vacances pour le Centre Communautaire de Loisir de la Côte-des-Neiges,"26 000,00 $ "
CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS,Contribution financière : programmation activités de loisirs,"91 274,00 $ "
CENTRE DE RESSOURCES COMMUNAUTAIRES DE CÔTE-DES-NEIGES,Contribution financière : partie 1,"70 000,00 $ "
,Contribution financière : partie 2,"93 334,00 $ "
CITÉ NISSAN - GABRIEL S.E.C./ ENTENTE 941596,Achat de véhicules Nissan Versa Note (3),"55 085,79 $ "
CLUB DE PLEIN AIR NOTRE-DAME-DE-GRÂCE,Convention de partenariat pour la réalisation d'activités de loisirs,"28 000,00 $ "
C.M.S. ENTREPRENEURS GÉNÉRAUX INC.,Contrats de déneigement 6e versement,"913 843,15 $ "
,Contrat de lavage de trottoirs (2015),"38 456,23 $ "
,"Contrat de déneigement, d’épandage d'abrasifs et de fondants sur les trottoirs. Hiver 2015-2016","4 311 426,23 $ "
COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE,Contribution financière 2016 : Programmation activités de loisirs,"222 242,00 $ "
,Contribution financière 2016 : programmation activités de loisirs - Centre St-Raymond,"99 603,00 $ "
,Contribution financière 2016 : programmation activités de loisirs - Centre Walkley,"39 267,00 $ "
,Contribution financière : volet club de vacances - CJNDG,"57 547,00 $ "
CONCEPT AUDIO VISUEL,Service : diffusion pour les séances du conseil (2016),"7 887,86 $ "
CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE,Contribution financière,"42 500,00 $ "
CONSTRUCTION ARCADE,Centre culturel de Notre-Dame-de-Grâce et bibliothèque : contrat pour les travaux de scénographie et construction d'une structure d'accrochage dans la salle de spectacles,"45 802,37 $ "
CONSTRUCTION DJL INC./ ENTENTE 1034228,Achat d'asphalte,"123 579,00 $ "
CONSTRUCTION JESSIKO INC.,Parcs Georges-Saint-Pierre et William-Bowie : contrat de fournitures et d'installation des gradins pour les terrains de soccer,"32 938,78 $ "
CONSTRUCTION PIRAVIC INC.,Parc Jean-Brillant : réaménagement de l'aire de jeux des 5 à 12 ans,"27 133,45 $ "
CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES,Contribution financière,"42 500,00 $ "
DÉMÉNAGEMENT LA CAPITALE ,Déménagement de la bibliothèque Benny au Centre culturel de Notre-Dame-de-Grâce,"23 381,24 $ "
DEMIX/ ENTENTE 1035680,Achat de béton pré-mélangé 35 MPA pour l'aqueduc,"26 680,74 $ "
DEMIX/ ENTENTE 1035680,Achat de béton pré-mélangé 32 MPA pour l'équipe béton,"70 972,63 $ "
DERICHEBOURG CANADA ENVIRONMENT INC./ ENTENTE 1074890,Collecte de déchets de l'arrondissement (décembre 2015),"149 292,75 $ "
DÉVELOPPEMENT OLYMBEC (2004) INC. & CONSTRUCTION OLYMBEC INC.,"Remboursement de 82 550 $ à la compagnie Olymbec : montant des frais de parcs payés le 26 octobre 2010, pour un projet d'opération cadastrale non autorisé ","82 550,00 $ "
ÉBÉNISTERIE STE-MONIQUE (E.S.M.),Centre culturel de Notre-Dame-de-Grâce : mobilier sur mesure,"40 356,68 $ "
ENGIE,Centre sportif de Notre-Dame-de-Grâce : travaux d'entretien correctifs (facture 2014),"31 530,73 $ "
,Contrat d'entretien : volets 2 à 4 (2016),"53 753,60 $ "
ENTRETIEN MANA INC.,"Entretien ménager du 2140, avenue Madison","26 412,24 $ "
ENVIRONNEMENT ROUTIER NRJ INC.,Collecte sélective des matières recyclables,"151 496,20 $ "
ENVIROSERVICES INC./ ENTENTE 867355,Service : analyses et essais en laboratoire,"25 258,62 $ "
ÉQUIPEMENTS TWIN INC./ ENTENTE 789455,Aménagement de véhicules,"145 632,97 $ "
,Achat d'épandeuses d'abrasif 7 et 8 verges cubes,"125 509,40 $ "
EUROVIA QUÉBEC CONSTRUCTION INC.,Reconstruction des trottoirs et des bordures (PRR-1-2015),"1 697 987,13 $ "
EXPROLINK INC./ ENTENTE 870034,Achat de voiturettes aspirateurs MADVAC,"143 030,39 $ "
FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,Contribution financière,"40 000,00 $ "
GROUPE GEYSER INC.,Construction du Centre culturel de Notre-Dame-de-Grâce,"14 399 427,43 $ "
GROUPE MÉCANO INC.,Parc Loyola : contrat pour la transformation de la pataugeoire en jeux d'eau,"182 006,85 $ "
HYDRO-QUÉBEC,Frais d'éléctricité,"101 432,85 $ "
,Frais d'administration,"1 198,24 $ "
IMAGINEO INC.,Place Darlington : fournitures et installation de jeux d'eau et de systèmes connexes,"68 737,64 $ "
JEUNESSE BENNY,Contribution financière 2016 : programmation activités de loisirs,"29 206,00 $ "
LAFARGE CANADA INC./ ENTENTE 1035633,Achat d'agrégats en vrac (2015),"182 776,81 $ "
,Achat d'agrégats en vrac (2016),"49 257,76 $ "
LES CONSTRUCTIONS ARGOZY INC.,Parc de la Confédération : réalisation de travaux de transformation du terrain de pétanque en jardins d'agriculture urbaine,"40 892,63 $ "
LES ENTREPRISES MICHAUDVILLE INC.,Travaux de construction de dos d'âne,"55 532,76 $ "
LOCATION GUAY,Location d'une rétrocaveuse,"42 901,83 $ "
LOISIRS SPORTIFS CÔTE-DES-NEIGES - NOTRE-DAME-DE-GRÂCE,Contribution financière 2016 : programmation activités de loisirs,"260 379,00 $ "
,Centre sportif de Notre-Dame-de-Grâce : gestion et exploitation volets 2 à 7 (1er au 31 janvier 2016),"209 223,13 $ "
,Contribution financière 2016 : programmation activités de loisirs,"676 281,00 $ "
LOISIRS SPORTIFS CÔTE-DES-NEIGES - NOTRE-DAME-DE-GRÂCE,Contribution financière 2016 : programmation activités de loisirs - Centre sportif de Notre-Dame-de-Grâce,"185 508,00 $ "
MAISON DES JEUNES CÔTE-DES-NEIGES,Contribution financière 2016 : programmation activités de loisirs,"49 720,00 $ "
ME SHELDON MERLING NOTAIRE EN FIDEICOMMIS,"Acquisition de l'ensemble des droits immobiliers de l'immeuble situé aux 4815-4815A, rue Buchan","5 900 000,00 $ "
MONTRÉAL CHRYSLER DODGE JEEP (LASALLE)/ ENTENTE 706439,Achat de véhicules Dodge Journey SE (2016) (8),"162 290,15 $ "
NORTRAX QUÉBEC INC.,Location de chargeur sur roues John Deere Modèle 624K N° (4),"30 803,04 $ "
P2K INC.,"Sciage circulaire 72"" à diverses rues identifiées","25 262,62 $ "
PLANCHER DE BOIS FRANC EXCALIBUR INC.,Centre communautaire Notre-Dame-de-Grâce : réalisation des travaux de réfection du plancher du gymnase,"24 435,21 $ "
PRÉVENTION CDN –NDG,Contribution financière : éco-quartiers,"29 000,00 $ "
,Contribution financière : Tandem (2016),"166 688,00 $ "
PROCOVA INC.,Maison de la culture Notre-Dame-de-Grâce : travaux de fourniture et d'installation de plancher de scène,"92 697,99 $ "
RCI ENVIRONNEMENT,Collecte et transport de déchets,"182 781,19 $ "
RECYCLAGE NOTRE-DAME INC./ ENTENTES 951328 ET 883323,Service : traitement/valorisation de matières organiques (2015-2016),"518 801,66 $ "
REMORQUAGE BURSTALL CONRAD,Service : remorquage,"28 931,93 $ "
REMORQUAGE MOBILE,Service : remorquage pour les opérations de déneigement (2015-2016),"74 543,60 $ "
SERVICE D'ENTRETIEN PRO-PRÊT INC.,Service : entretien d'immeuble,"25 103,03 $ "
SERVICE D'ÉQUIPEMENT G.D. INC./ ENTENTE 861242,Achat et aménagement d'un véhicule lourd avec équipement spécialisé,"33 783,56 $ "
SNC-LAVALIN GEM QUÉBEC INC.,Service d'ingénierie : contrôle de qualité,"23 076,23 $ "
SOCIÉTÉ EN COMMANDITE STRONGCO,Location de quatre niveleuses pour une durée de cinq mois (2016 ),"26 104,00 $ "
SOCIÉTÉ ENVIRONNEMENTALE CDN,Contribution financière à des organismes,"200 295,50 $ "
,Réalisation d'un projet visant une gestion humanitaire et environnementale des biens disposés en bordure de rue lors d'une éviction (1er janvier au 31 décembre 2016),"60 000,00 $ "
,Contribution financière pour réaliser le programme Éco-quartier de l'arrondissement (2016),"97 500,00 $ "
SOCIÉTÉ GÉNÉRALE DE CONSTRUCTION BPF INC.,"Centre communautaire Notre-Dame-de-Grâce : contrat pour la réalisation des travaux en mécanique, correctifs structuraux et ouvrages connexes","425 056,54 $ "
SOLOTECH INC.,Centre communautaire Notre-Dame-de-Grâce : contrat pour l'équipement et l'installation de la sonorisation et de l'éclairage,"409 860,92 $ "
(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX,Service : fourrière et contrôle animal,"125 090,00 $ "
STRONGCO INC,Location : machinerie et véhicule lourds et camion avec équipement spécialisé,"54 811,87 $ "
TECHNOLOGIE DE DEGIVRAGE CARGILL/ ENTENTE 1069290,Achat de sel traité : entente cadre 1069290,"1 008 150,28 $ "
TECHNOLOGIES STAY CONNECTED INC.,Centre culturel de Notre-Dame-de-Grâce : achat d'équipements Netspot,"83 754,83 $ "
TEKNION ROY ET BRETON INC./ ENTENTE 854079,Centre culturel de Notre-Dame-de-Grâce : mobilier de bureau du secteur privé pour les employés,"27 524,77 $ "
,Centre culturel de Notre-Dame-de-Grâce : mobilier du secteur public,"54 356,67 $ "
TERRASSEMENT LIMOGES ET FILS,Excavation et terrassement,"304 465,04 $ "
TRANSVRAC MONTRÉAL LAVAL INC.,Service : véhicule pour le transport de la neige avec opérateur,"369 548,78 $ "
,Service : transport de matières en vrac,"679 540,11 $ "
UNIVERSITÉ CONCORDIA,Nouveau protocole d'entente avec l'Université Concordia pour la rénovation et l'amélioration du Terrain Sud et pour l’utilisation des terrains de sports du Centre sportif,"104 987,50 $ "
VILLE DE CÔTE SAINT-LUC,Resurfaçage « scarification » de la rue MacDonald (phase 2),"112 840,68 $ "
VILLE MONT-ROYAL,"Signature d'une entente entre l'arrondissement et Ville Mont-Royal : permettre aux résidents du secteur Glenmount d'utiliser les services de sports, loisirs et bibliothèque de Ville Mont-Royal","135 000,00 $ "
WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION,Contribution financière 2016 : programmation activités de loisirs,"38 326,00 $ "
XYZ TECHNOLOGIE CULTURELLE INC.,Centre culturel de Notre-Dame-de-Grâce : acquisition et installation d'équipements audio-visuels,"130 549,05 $ "
"TOTAL : 41 218 843,97 $",,
