"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2011 au 31 mai 2012",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"CONSTRUCTION LOUISBOURG DIVISION DE LOUISBOURG SBC SOCIÉTÉ EN COMMANDITE","53 998,92$","Reconstruction de l'égout combiné et de la conduite secondaire sur l'avenue De Vimy, de l'avenue Kelvin à l'avenue Lajoie "
"CORPORATION DE CONSTRUCTION GERMANO ","310 169,36$","Contrat pour les travaux de réfection structurale dans la salle mécanique de la piscine du Centre communautaire Notre-Dame-de-Grâce "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CôTE-DES-NEIGES","40 000,00$","Contribution financière dans le cadre du plan d'action en développement social de l'arrondissement "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CôTE-DES-NEIGES","2 500,00$","Contribution financière pour l'événement l'Hiver en fête "
"DANIEL OUELLETTE ","5 115,93$","Traduction de documents en 2011 "
"DANIEL OUELLETTE ","21 995,00$","Traduction de documents en 2012 "
"DANIEL OUELLETTE ","2 896,47$","Traductions de divers documents "
"DEMIX ","106 035,93$","Achat de béton pour le programme de réfection routière 2011 "
"DEV-ID INC. ","10 762,49$","Achat et contrat de support annuel d'une application développée pour les loisirs "
"DEV-ID INC. ","5 806,68$","Formation Excel "
"DEV-ID INC. ","6 862,44$","Modification à la base de données : intégration des espaces "
"DEV-ID INC. ","3 629,18$","Mise à jour de la base de données dans le cadre des travaux du comité pour la revitalisation du Centre NDG, de la piscine NDG et du Manoir "
"EBC INC. ","396 883,13$","Paiement concernant la réalisation des travaux de construction du Complexe sportif et communautaire Benny "
"ÉCHAFAUDS PLUS (LAVAL) INC. ","15 700,58$","Accessoires de protection des piétons et clôtures – Le Castel blanc – 6280, boul. Décarie "
"ÉCHAFAUDS PLUS (LAVAL) INC. ","6 858,75$","Installation et location d'échafaudages avec passage piétonnier au Centre communautaire NDG; sécurisation de la chambre mécanique de la piscine "
"ÉCHAFAUDS PLUS (LAVAL) INC. ","4 038,77$","Achat de clôtures en place au 5550-5560, Sherbrooke Ouest; théâtre Empress "
"ÉCHAFAUDS PLUS (LAVAL) INC. ","4 790,35$","Location d'échafaudages avec passage piétonnier au Centre communautaire NDG dans le cadre des travaux de réfection structurale dans la salle mécanique de la piscine "
"ENTREPRISES VANNICOLA (1997) INC. ","86 819,70$","Contrat pour les travaux de réaménagement des aires de jeux pour les enfants de 18 mois à 5 ans et de 6 à 12 ans au parc Loyola "
"ENTREPRISES VANNICOLA (1997) INC. ","3 079,30$","Travaux de réparation des jupes des roulottes au parc Loyola "
"ENVIRONNEMENT ROUTIER NRJ INC. ","42 680,59$","Contrat 2009-2012 – collecte sélective des matières recyclables – année 2011 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","14 018,65$","Location d'appareil avec opérateur pour thermorapiéçage "
"ENVIRONNEMENT ROUTIER NRJ INC. ","1 839 183,65$","Contrat de collecte sélective – année 2012 "
"EXCAVATIONS VIDOLO LIMITÉE ","14 260,68$","Contrat de transport de matières par conteneurs 2011-2013 – année 2011 "
"EXCAVATIONS VIDOLO LIMITÉE ","23 818,39$","Transport et élimination de terre pour le 2140 Madison "
"EXCAVATIONS VIDOLO LIMITÉE ","32 011,52$","Contrat 2011-2013 – Transport de matières par conteneurs "
"FÉDÉRATION CJA","62 613,00S","Contribution financière 2012 – Fourniture d'installations sportives et récréatives et de services récréatifs "
"FONDERIE LAPERLE ","52 157,09$","Pièces pour le programme de réfection routière "
"FONDERIE LAPERLE ","6 456,55$","Couvercles pour chambre de vanne "
"FONDERIE LAPERLE ","7 984,81$","Achat de cadres ajustables en 2011 "
"FONDERIE LAPERLE ","16 607,37$","Achat de cadres pour l'aqueduc "
"FONDERIE LAPERLE ","57 824,51$","Achat de cadres ajustables en 2012 "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","38 341,60$","Fauteuils pour la bibliothèque Côte-des-Neiges "
"GLOBOCAM ","97 952,54$","Fourniture d'un camion porteur, de marque Freightliner, modèle M2-106, année 2012, afin d'y installer une plateforme et une grue fournies séparément "
"GLOBOCAM ","85 929,15$","Fourniture d'un camion châssis 4 X 2 "
"GROUPE GEMEC INC. ","294 989,83$","Location de 6 balais de rue, sans opérateur – année 2011 "
"GROUPE GEMEC INC. ","5 483,82$","Installation de pousse-feuilles sur certains véhicules "
"GROUPE GEMEC INC. ","388 255,74$","Location de 6 balais de rue, sans opérateur – année 2012 "
"HELOISE THIBODEAU ARCHITECTE","10 829,57$","Contrat de services professionnels en architecture, en ingénierie et en architecture de paysage au consortium formé par les firmes Thibodeau (responsable), Poirier, Fontaine architectes, La vie en vert, Cima+ s.e.n.c et Nacev Consultant inc."
"HELOISE THIBODEAU ARCHITECTE","247 473,97$","Augmentation de la valeur des contingences du contrat du consortium Thibodeau, Poirier, Fontaine architectes, Nacev, Cima + et La Vie en Vert, pour des services professionnels supplémentaires dans le cadre de la construction du Centre sportif de NDG "
"HEWITT ÉQUIPEMENT LTÉE ","58 327,44$","Contrat de location d'une rétrocaveuse "
"HIAB QUÉBEC DIV. D'ATLAS POLAR CO. LTÉE ","139 489,12$","Fourniture et installation d'une grue articulée de catégorie 24,2 Tm et d'une plate-forme de 20 pieds "
"HYDRO-QUÉBEC ","114 779,55$","Frais d'électricité 2011 – Signalisation lumineuse "
"HYDRO-QUÉBEC ","80 286,46$","Frais d'électricité – Centre sportif de NDG "
"HYDRO-QUÉBEC ","9 085,06$","Frais d'électricité du 6445, av. Monkland "
"HYDRO-QUÉBEC ","950 282,15$","Frais d'électricité 2012 – éclairage des rues "
"HYDRO-QUÉBEC ","119 500,22$","Frais d'électricité 2012 – Signalisation lumineuse "
"HYDRO-QUÉBEC ","8 284,48$","Travaux d'électricité de débranchement temporaire et remise d'alimentation de courant dans le cadre des travaux de réfections structurales dans la salle mécanique de la piscine du Centre communautaire NDG"
"IMAGINEO ","90 816,10$","Fourniture des modules de jeux d'eau et de leurs équipements connexes pour l'aménagement d'un nouveau jeu d'eau au parc Nelson-Mandela "
"IMAGINEO ","17 625,18$","Fourniture et installation de modules individuels de jeux d'enfants de 6 à 12 ans au parc Loyola "
"INGETEC EXPERTS-CONSEILS EN BâTIMENTS INC. ","3 232,35$","Étude de maçonnerie – 6280, boul. Décarie "
"INGETEC EXPERTS-CONSEILS EN BâTIMENTS INC. ","10 304,86$","Contrat de services professionnels pour assistance technique et expertise dans le cadre du projet de réfection complète de la toiture du Centre communautaire Notre-Dame-de-Grâce "
"INGETEC EXPERTS-CONSEILS EN BâTIMENTS INC.","16 496,25$","Contrat de services professionnels pour la surveillance des travaux lors de la réfection complète de la toiture du Centre communautaire Notre-Dame-de-Grâce "
"INSTA-MIX ","10 941,69$","Location d'une paveuse et d'un rouleau compacteur "
"INSTA-MIX ","31 709,75$","Programme de réfection routière 2011 – Location d'une paveuse et d'un rouleau compacteur "
"J.A. LARUE INC. ","6 715,32$","Programme de réfection routière 2011 – Location d'un rouleau asphalte "
"J.A. LARUE INC. ","13 882,48$","Réparation d'un véhicule, unité n0 82505218 "
"J.A. LARUE INC. ","12 977,05$","Location d'un rouleau DYNAPAC CP142 – mai et juin 2012 "
"JEUNESSE BENNY ","6 208,73$","Événement parcs de Kent et Confédération "
"JEUNESSE BENNY ","43 809,00$","Contribution financière 2012 – Activités de loisirs "
"JEUNESSE BENNY ","18 841,00$","Contribution financière 2012 – Club de vacances "
"JEWISH PUBLIC LIBRARY ","29 708,00$","Contribution financière 2012 "
"JEWISH PUBLIC LIBRARY ","5 000,00$","Contribution financière 2012 – Organiser l'offre de service "
"LABORATOIRES CHOISY LTÉE ","6 325,45$","Analyse et conception d'un programme d'entretien sanitaire ainsi que perfectionnement du personnel affecté à cette tâche"
"LABORATOIRES CHOISY LTÉE ","23 644,41$","Approvisionnement en produits d'entretien sanitaire pour l'année 2011 "
"LAFARGE CANADA INC. ","135 471,08$","Pierre 0-¾ prémélangée 2011 "
"LAFARGE CANADA INC. ","5 710,00$","Pierre grandeur nette 2011 "
"LAFARGE CANADA INC. ","3 483,66$","Pierre grandeur nette 2012 "
"LAFARGE CANADA INC. ","36 741,92$","Pierre 0-¾ prémélangée 2012 "
"LANCO AMÉNAGEMENT INC. ","153 273,82$","Contrat pour la réalisation des travaux de réfection du petit terrain de soccer du parc Gilbert-Layton "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER","18 517,26$","Contrat de services professionnels en architecture pour des travaux de réaménagement et de rénovation divers au chalet du parc MacDonald "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER","33 542,38$","Contrat de services professionnels en architecture et en ingénierie pour les travaux d'aménagement et de rénovation au chalet du parc MacDonald (phase 2) "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","15 747,29$","Location d'une rétrocaveuse sur roues du 2 juillet au 7 août 2011 "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","18 135,20$","Location d'une rétrocaveuse sur roues du 28 juin au 8 août 2011 "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","38 467,62$","Contrat de location d'une rétrocaveuse sur roues pour des travaux d'aqueduc, d'égout et de voirie "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","23 094,75$","Contrat de location d'une rétrocaveuse sur roues "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","15 958,48$","Location d'une rétrocaveuse pour le mois de janvier 2012 et les 3, 4 et 5 février 2012 "
"LES CONSTRUCTIONS CORDELLA (CANADA) LTÉE ","164 747,28$","Contrat de location d'une rétrocaveuse sur roues pour des travaux d'aqueduc, d'égout et de voirie pour 2012 "
"LES CONSTRUCTIONS ET PAVAGES JESKAR INC. ","174 005,50$","Travaux de planage de chaussées bitumineuses "
"LES ENTREPRISES BERTHIER INC. ","245 692,38$","Contrat pour la réalisation des travaux d'aménagement des nouveaux jeux d'eau au parc Nelson-Mandela "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","2 287,43$","Installation temporaire d'un dos d'âne sur la rue Oxford, d'une longueur de 22 pieds linéaires "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","21 161,95$","Installation de dos d'âne temporaires en caoutchouc "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","23 902,77$","Construction de dos d'âne allongés sur diverses rues de l'arrondissement "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","22 329,63$","Enlèvement de dos d'âne allongés "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","6 598,50$","Construction d'un prototype de dos d'âne conçu pour les camions de pompiers "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","3 666,02$","Travaux supplémentaires pour l'installation de la climatisation au pavillon du parc Gilbert-Layton et ajout de deux ensembles de protection contre le vandalisme "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","11 288,91$","Travaux divers de réfection au Centre communautaire de loisir de la Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","5 985,85$","Travaux d'assistance à l'ingénieur en structure lors de l'inspection des attaches structurales du revêtement extérieur au 6767, Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","3 092,79$","Travaux d'ouvertures exploratoires dans le cadre de l'expertise technique de la firme Patenaude sur le centre communautaire du 6767, Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","9 597,28$","Travaux de réaménagement de la salle d'eau au Manoir Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","2 755,81$","Travaux de réparation du gazon et de la porte de la clôture – projet du parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","72 614,76$","Réfection des sentiers au parc de Kent "
"LES ENTREPRISES VENTEC INC. ","451 543,08$","Travaux d'aménagement du parc Benny "
"LES ENTREPRISES VENTEC INC. ","20 968,06$","Travaux de réfection du pavage et du trottoir de la cour avant du dépôt alimentaire de Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","21 000,74$","Contrat pour la construction de dalles de béton pour l'installation de mobilier urbain au parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","23 418,88$","Contrat pour les travaux de réfection au parc Paul-Doyon "
"LES ENTREPRISES VENTEC INC. ","6 955,92$","Réalisation de deux excavations pour le sondage des fondations autour des poteaux de la salle mécanique dans le cadre des travaux de réfection structurale de la piscine du Centre communautaire Notre-Dame-de-Grâce "
"LES INDUSTRIES SIMEXCO INC. ","168 329,32$","Parc Benny – achat de modules de jeux d'eau, système de circulation d'eau et dispositifs antirefoulement "
"LOCATION SAUVAGEAU INC. ","5 060,07$","Location de véhicule "
"LOCATION SAUVAGEAU INC. ","13 813,70$","Parcs – 2011 – Location de véhicules "
"LOCATION SAUVAGEAU INC. ","6 518,05$","Location de véhicules – loisirs "
"LOCATION SAUVAGEAU INC. ","3 513,77$","Location de deux camions "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","3 267,75$","Atelier de soccer "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","2 064,19$","Produits et services rendus pour les Jeux de Montréal 2011 "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","4 534,22$","Achat et installation de miroirs – salle de musculation du centre sportif Notre-Dame-de-Grâce "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","74 871,00$","Contribution financière 2012 – Activités de loisirs et Jeux de Montréal "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","826 837,00$","Contribution financière 2012 – Grand centre "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","19 241,00$","Contribution financière 2012 – Club de vacances "
"LOISIRS SPORTIFS CôTE-DES-NEIGES ","185 500,00$","Contribution financière 2012 "
"MAÇONNERIE RAINVILLE & FRÈRE INC. ","1 332 995,97$","Contrat pour la réalisation des travaux de réfection de la maçonnerie et de la toiture du Centre communautaire Notre-Dame-de-Grâce "
"MAISON DES JEUNES CôTE-DES-NEIGES ","111 860,00$","Contribution financière 2012 "
"MICHEL GOHIER LTÉE ","4 269,86$","Réparation de la benne de deux véhicules "
"MICHEL GOHIER LTÉE ","63 617,45$","Achat de deux épandeuses d'abrasif de 8 verges cubes en acier inoxydable "
"MICHEL GOHIER LTÉE ","23 754,60$","Achat d'une épandeuse en acier inoxydable "
"NISSAN CANADA FINANCE ","3 585,38$","Location de 5 automobiles Nissan Versa 2012 pour les mois de novembre et décembre 2011 "
"NISSAN CANADA FINANCE ","21 719,62$","Location de 5 automobiles Nissan Versa 2012 pour l'année 2012 "
"NORTHEX ENVIRONNEMENT ","126 754,89$","Disposition de terre d'excavation – année 2011 "
"NORTHEX ENVIRONNEMENT ","310 404,44$","Disposition de terre d'excavation – année 2012 "
"NORTRAX QUÉBEC INC. ","4 901,63$","Entretien préventif du véhicule 437-11040 "
"NORTRAX QUÉBEC INC. ","7 494,91$","Entretien du véhicule 470-09504 "
"NORTRAX QUÉBEC INC. ","2 276,95$","Entretien d'un véhicule "
"NORTRAX QUÉBEC INC. ","2 126,38$","Entretien d'un véhicule "
"NORTRAX QUÉBEC INC. ","199 823,04$","Location de 4 chargeurs sur roues, sans opérateur et avec entretien, modèle John Deere 624K, pour 25 mois à raison de 5 mois/an pour les mois de janvier, février, mars, novembre et décembre 2012 "
"NORTRAX QUÉBEC INC. ","240 405,35$","Location de 4 autoniveleuses de marque John Deere pour 5 mois (janvier, février, mars, novembre et décembre 2012)"
"NORTRAX QUÉBEC INC. ","9 897,76$","Entretien préventif des véhicules 437-11040 et 437-11074 "
"OCTANE INC. ","11 801,86$","Conception graphique et mise en page de trois brochures concernant le Rapport du maire "
"OCTANE INC. ","6 148,28$","Conception des outils de communication – Triangle "
"OCTANE INC. ","16 816,61$","Plan de communication Triangle et services-conseils "
"OCTANE INC. ","21 995,00$","Bon de commande ouvert pour l'année 2012 pour le graphisme des quatre parutions du bulletin Le Citoyen "
"OCTANE INC. ","5 725,57$","Services-conseils pour le Plan de développement durable (période du 23 février au 31 mars 2012) "
"ONOMAT CANADA INC. ","23 149,29$","Achat de panneaux Lexans pour la neige "
