"Nom du fournisseur";"Entente";"Description du bon de commande";"Montant engagement";"Engagement non terminé"
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière pour la réalisation du projet « Intervention de milieu auprès des aînés vulnérables vivant dans les logements sociaux »";"35 000,00 $";
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contrat de services professionnels en expertise de génie électrique et mécanique pour le Centre Communautaire de Loisir de la Côte-des-Neiges";"16 725,00 $";
"CONSTRUCTION DJL INC.";"Entente 1338038, 1339665";"Achats de différents types d’asphalte d’été";"139 892,54 $";
"CONSTRUCTION DJL INC.";"Entente 1338038, 1339665";"Achat d’asphalte CH-10 (1er décembre 2020 au 31 mars 2021)";"29 428,42 $";
"CONSTRUCTION DJL INC.";"Entente 1338038, 1339665";"Achat d’asphalte CH-10 (1er décembre 2021 au 31 mars 2022) ";"13 797,00 $";"x"
"CONSTRUCTION PIRAVIC INC.";;"Travaux de réfection de la surface amortissante en copeaux de bois du parc Nelson-Mandela";"17 976,34 $";
"CONSTRUCTION PIRAVIC INC.";;"Travaux de réfection de la surface amortissante en copeaux de bois du parc Trenholme";"24 858,08 $";
"CONSTRUCTION PIRAVIC INC.";;"Travaux de réfection de la surface amortissante en copeaux de bois du parc Gilbert-Layton";"33 085,21 $";
"CONSTRUCTION PIRAVIC INC.";;"Travaux de nettoyage et réparations de l’aire de jeux de sable au parc William-Bowie ";"10 232,60 $";"x"
"CONSTRUCTION PIRAVIC INC.";;"Enlèvement de la clôture et réparation des surfaces de gazon, entretien et nettoyage au parc Benny";"14 969,98 $";
"CONSTRUCTION PIRAVIC INC.";;"Diverses réparations mineures au parc William-Hurst";"4 484,03 $";"x"
"CONSTRUCTION URBEX INC.";;"Contrat pour l’aménagement d’un parc à chiens au parc Georges-Saint-Pierre";"176 104,36 $";"x"
"CONSTRUCTION URBEX INC.";;"Contrat pour l’aménagement d’un parc à chiens au parc Loyola";"179 931,80 $";"x"
"CONSTRUCTION URBEX INC.";;"Contrat pour l’aménagement d’un sentier au parc Georges-Saint-Pierre";"243 366,86 $";"x"
"CONSTRUCTION VIATEK INC.";;"Contrat pour le réaménagement, la construction de saillies et d’intersections surélevées près du CHU Sainte-Justine";"472 019,23 $";"x"
"CONSTRUCTION VIATEK INC.";;"Contrat pour le réaménagement, la construction de saillies et d’intersections surélevées près du CHU Sainte-Justine";"168 863,74 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour le soutien à l’organisation d’activités favorisant l’inclusion, la participation et le développement des résidents de Côte-des-Neiges";"55 000,00 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière dans le cadre de la Politique de l’enfant 2021 « Naître, grandir, s’épanouir à Montréal : de l’enfance à l’adolescence » pour le projet « Halte-garderie mobile »";"49 586,00 $";"x"
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour le projet de concertation et d’animation des ateliers Namur-Hippodrome";"70 000,00 $";"x"
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour réaliser la mission de la Table de quartier conformément au cadre de référence de l’Initiative montréalaise de soutien au développement social local";"16 725,00 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour la réalisation du projet « Comité des résidents pour l’habitation de Côte-des-Neiges »";"62 160,00 $";
"CREUSAGE RL";;"Contrat pour les services d’excavation pneumatique";"160 965,00 $";"x"
"CYCLO NORD SUD ";;"Convention de contribution financière pour la réalisation du projet « Vélorution »";"98 280,00 $";
"CYCLO NORD SUD ";;"Convention de contribution financière pour le soutien au programme « Petites roues » ";"2 195,00 $";
"DE SOUSA";;"Contrat pour la reconstruction de trottoirs, de réaménagement géométrique des intersections, et de remplacement d’entrées de service d’eau en plomb associés";"531 362,70 $";"x"
"DE SOUSA";;"Contrat pour la reconstruction de trottoirs, de réaménagement géométrique des intersections, et de remplacement d’entrées de service d’eau en plomb associés";"63 589,77 $
";"x"
"DE SOUSA";;"Contrat pour la reconstruction de trottoirs, de réaménagement géométrique, de remplacement des entrées de service en plomb associés";"3 476 551,96 $";"x"
"DE SOUSA";;"Contrat pour la réfection mineure de trottoirs, de bordures et de travaux d’utilité publique ";"789 789,03 $";"x"
"DEL INNOVATION DESIGN INC.";;"Acquisition d’éléments d’éclairage pour le terrain de soccer au parc Martin-Luther-King ";"111 773,23 $";"x"
"DEL INNOVATION DESIGN INC.";;"Acquisition d’éléments d’éclairage pour le terrain de basket-ball au parc Martin-Luther-King ";"95 860,41 $";"x"
"DEMIX AGRÉGAT";"Entente 1382085";"Achat d’abrasif pour la saison 2020-2021";"20 500,30 $";
"DEMIX AGRÉGAT";"Entente 1382085";"Achat d’abrasif pour la saison 2021-2022";"34 768,44 $";"x"
"DEMIX BÉTON";"Entente 1340657, 1479641,1479642";"Achat de béton pré-mélangé";"265 639,42 $";"x"
"DÉNEIGEMENT ET EXCAVATION M. GAUTHIER INC.";"Entente 1411739";"Service de location d’équipements avec opérateurs pour le nettoyage des trottoirs pour l’année 2021 ";"73 718,87 $";
"DÉPÔT ALIMENTAIRE NDG";;"Contribution financière dans le cadre du programme « Animation de jardins communautaires » dans le quartier Notre-Dame-de-Grâce pour l’année 2021";"23 001,17 $";
"DÉPÔT ALIMENTAIRE NDG";;"Gestion des renouvellements, des inscriptions et des listes d’attentes des jardins communautaires de Notre-Dame-de-Grâce en 2021";"5 000,00 $";
"DÉVELOTECH INC.";;"Achat de balises centrales";"22 995,00 $";"x"
"DÉVELOTECH INC.";;"Achat de balises pour pistes cyclables Cyclo-Zone ";"22 995,00 $";"x"
"DISTRIBUTEUR TAPICO LTÉE";;"Travaux de réfection du revêtement de plancher de la cafétéria à la cour de voirie de Madison";"30 410,89 $";"x"
"DUOSON MULTIMEDIA INC.";;"Webdiffusion des séances du conseil d’arrondissement ";"36 979,70 $";"x"
"EBI ENVIROTECH INC.";"Entente 142125";"Contrat de nettoyage des chambres de vannes";"87 918,60 $";"x"
"ÉDIFICE 5160 DECARIE INC.";;"Paiement de stationnements pour l’édifice administratif au 5160 Décarie, comme stipulé au bail";"35 349,06 $";
"ÉMONDAGE SBP";;"Contrat pour des travaux d’essouchement";"183 528,84 $";"x"
"ENTRETIEN MANA INC.";"Entente 1302198";"Contrat pour les services d’entretien ménager des bureaux administratifs situés au 2ème et 3ème étage du 2140, avenue Madison pour l’année 2021";"48 371,45 $";
"FNX-INNOV INC.";;"Conception de réaménagement géométrique de l’intersection de l’avenue Coronation et du chemin de la Côte-Saint-Luc munie de feux de circulation";"21 254,28 $";
"FNX-INNOV INC.";;"Préparation de plans et devis pour l’ajout de baies de virage avec du marquage sur boulevard Cavendish ";"22 995,01 $";
"GBI EXPERTS-CONSEILS INC.";;"Services professionnels pour la caractérisation des matériaux susceptibles de contenir de l’amiante et du plomb pour le projet de réaménagement, de rénovation et de mise aux normes du Centre Le Manoir";"28 278,10 $";"x"
"GROUPE ABF INC.";;"Contrat pour des travaux de réfection mineures de trottoirs";"1 259 690,01 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrat pour la surveillance environnementale dans le cadre du projet de construction d’un nouvel égout sur l’avenue Isabella";"17 249,24 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet RESEP-2-2021";"73 581,07 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet RMTUP-2021";"32 028,87 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet PRR-2021";"46 526,34 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrat pour la surveillance environnementale de l’excavation lors des travaux de réhabilitation pour le 5010, rue Paré";"1 598,15 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Services professionnels pour la surveillance environnementale de l’excavation lors des travaux de réhabilitation pour le 5010, rue Paré";"10 682,22 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrat pour des travaux de carottage dans les chaussées de rues visées par le PRR-1-2022";"5 880,97 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet de construction d’égout sur l’avenue Isabella";"14 212,33 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre de travaux de construction de dos d’âne sur divers tronçons de routes ";"19 464,81 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet RESEP-1-2021";"85 707,77 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet de déminéralisation";"18 760,68 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet de réaménagement, de la construction de saillies et d’intersections surélevées près du CHU Sainte-Justine";"18 568,17 $";"x"
"GROUPE ABS INC.";"Entente 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet de réaménagement, de la construction de saillies et d’intersections surélevées à l’intersection de l’avenue Coronation et du chemin de la Côte-Saint-Luc";"19 980,10 $";"x"
"GROUPE CARBONIC INC.";;"Services professionnels en mécanique et électricité pour le projet de remplacement de la génératrice et l’installation d’un compteur d’eau dans la bibliothèque et maison de la culture Côte-des-Neiges";"49 496,73 $";"x"
"GROUPE DE SÉCURITÉ GARDA SENC";"Entente 1268954";"Service d’agent de sécurité pour le Bureau d’Accès Montréal - pandémie";"22 570,49 $";
"GROUPE DE SÉCURITÉ GARDA SENC";"Entente 1268954";"Service d’agent de sécurité pour le Bureau d’Accès Montréal - pandémie";"26 683,40 $";"x"
"GROUPE DE SÉCURITÉ GARDA SENC";"Entente 1268954";"Service d’agent de sécurité pour le Bureau d’Accès Montréal - pandémie";"24 953,09 $";"x"
"GROUPE DE SÉCURITÉ GARDA SENC";"Entente 1268954";"Service d’agent de sécurité pour les activités de culture, de sports et de loisirs";"21 877,22 $";"x"
"GROUPE GEYSER INC.";;"Règlement de la réclamation (portion arrondissement) pour le projet de construction du Centre culturel de Notre-Dame-de-Grâce";"386 869,79 $";"x"
"GROUPE GEYSER INC.";;"Règlement de la réclamation (portion ville-centre) pour le projet de construction du Centre culturel de Notre-Dame-de-Grâce";"1 107 793,58 $";"x"
"GROUPE GEYSER INC.";;"Règlement de la réclamation pour le projet de construction du Centre culturel de Notre-Dame-de-Grâce";"334,72 $";"x"
"GROUPE QUALINET INC.";;"Service de nettoyage industriel pour le dégât d’eau au 5160, boulevard Décarie";"43 104,25 $";
"GROUPE SANYVAN INC.";"Entente 1430429, 1503130, 1351878";"Travaux d’hydro excavation pour divers adresses de l’arrondissement";"42 643,72 $";
"GROUPE SANYVAN INC.";"Entente 1430429, 1503130, 1351878";"Contrat pour les services de nettoyage et de vidange complets de puisards et de chambres de vanne (portion 2021) ";"156 442,65 $
";
"GROUPE SANYVAN INC.";"Entente 1430429, 1503130, 1351878";"Contrat de trois ans pour le nettoyage et l’inspection par caméra des conduites d’égout (portion 2021)";"66 340,58 $";"x"
"GROUPE SANYVAN INC.";"Entente 1430429, 1503130, 1351878";"Fin du contrat 2019-2020 pour le nettoyage et l’inspection par caméra des conduites d’égout";"101 537,18 $";
"GROUPE SDM INC.";"Entente 1443322";"Service de dégel de conduites d’eau métalliques du réseau d’aqueduc pour les arrondissements de Côte-de-Neige-Notre-Dame-de-Grâce et d’Outremont";"39 300,52 $";
"HARDY EXPERT CONSEIL INC.";;"Remplacer huit unités scellées par des unités scellées en verre trempé et installation d’un film protecteur sur toutes les fenêtres du sous-sol à la bibliothèque de Côte-des-Neige";"13 613,50 $";
"HARDY EXPERT CONSEIL INC.";;"Services techniques pour le remplacement du verre fissuré sur la rue Botrel et investigation d’infiltration d’eau du côté de la ruelle à la maison de la culture Notre-Dame-de-Grâce";"28 753,87 $";"x"
"HARDY EXPERT CONSEIL INC.";;"Remplacement d’une vitre tympan dans la bibliothèque de Notre-Dame-de-Grâce";"4 204,64 $";
"IDÉES ET SOLUTIONS-URBAINES INC.";;"Contrat de gré à gré pour la fourniture de poubelles de 48 litres";"34 205,06 $";
"IMPRIMERIE F.L. CHICOINE";;"Service d’impression, notamment du bulletin Le Citoyen";"37 075,99 $";
"INFRAVERT";;"Contrat pour la construction d’un cyclorama sur la Place Guy-Viau";"22 646,86 $";
"INFRAVERT";;"Fourniture de sept bacs de plantation, deux arches d’entrée et réalisation d’une oeuvre d’art pour le projet de la Promenade Jean-Brillant";"49 789,29 $";
"INFRAVERT";;"Construction d’une terrasse urbaine au parc Paul-Doyon";"24 682,83 $";
"INFRAVERT";;"Construction d’une terrasse urbaine au parc Charles-Este ";"24 800,04 $";"x"
"INFRAVERT";;"Réaménagement de la terrasse de la Place Guy-Viau";"12 475,07 $";
"INSTITUT FRASER HICKSON MONTRÉAL";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » pour le projet MinibiblioPlus";"35 000,00 $";"x"
"ISM ART & DESIGN";;"Contrat de location, d’installation et de désinstallation des décors lumineux hivernaux";"45 875,18 $";"x"
"ITI INC.";;"Travaux de réfection de la chambre de télécommunication à la bibliothèque de Côte-des-Neiges";"26 782,02 $";
"JEAN-GUY LAVALLÉE";;"Contrat pour les services des balais aspirateur et mécanique avec opérateur";"37 583,03 $";
"JEUNESSE BENNY";;"Convention de contribution financière pour le programme « Animation de loisirs » ";"44 799,63 $";
"JEUNESSE BENNY";;"Convention de contribution financière pour la réalisation du programme « Animation de camps de jour » - Benny camp";"25 565,00 $";
"L. S. M. SON & LUMIÈRES INC.";;"Équipement de scène pour le Centre culturel de Notre-dame-de-Grâce";"12 388,60 $";"x"
