Liste des contrats de 25 000 $ et plus,,,
Octroyés du 1er janvier au 31 décembre 2019,,,
Les montants inscrits incluent toutes les taxes. Ces montants incluent les contrats approuvés au Conseil d’arrondissement et financés par la Ville-Centre ou subventionnés,,,
Les lignes bleues correspondent à des engagements non terminés.,,,
,,,
Nom du fournisseur,Entente,Description du bon de commande,Montant engagement
,,Achat de mobilier ergonomique pour la Division des parcs (clos Darlington) ,"4,482.98"
,,Achat de mobilier pour le Bureau Accès Montréal ,"29,586.25"
,,Achat de mobilier pour la Bibliothèque interculturelle ,"4,023.16"
,,Achat de mobilier pour le pavillon de la Savane ,"2,429.58"
C.M.S. ENTREPRENEURS GENERAUX INC.,"Entente 1289876, 1289334, 128312",Contrat de service pour le balayage et le nettoyage des trottoirs de l'arrondissement,"98,364.41"
,,"Travaux et contingences pour la reconstruction de chaussées, de trottoirs et de bordures et installation d'un système d'éclairage sur la rue Paré dans le projet Le Triangle","37,176.33"
C.P.U. DESIGN INC,Entente 1164102,Achat de fournitures informatiques pour l'équipe technique ,"3,288.79"
,,Achat numériseur « Fujitsu - FI-7460 » (modèle PA03710-B055) ,"4,677.46"
,,Achat d'un « Oculus Quest All in one VR Gaming Headset 128G » ,"5,289.07"
,,Achat d'un ordinateur de table « HP EliteDesk 705 G4 » ,"7,789.30"
CARDIN JULIEN INC.,,"Contrat de services professionnels en architecture, ingénierie et architecture de paysage pour l'avant-projet détaillé (préparation des plans et devis et surveillance de chantier) pour le parc de la Savane","35,001.17"
,,Étude de vétusté et patrimoniale pour le théatre Empress,"6,427.10"
CARGILL SEL SECURITE ROUTIERE,Entente 1303278,Fourniture de sel de déglaçage des chaussées (saison 2018-2019) ,"683,753.93"
CARREFOUR JEUNESSE-EMPLOI DE COTE-DES-NEIGES (CJE CÔTE-DES-NEIGES),,Contribution financière pour la coordination de la Table jeunesse,"10,226.13"
,,Convention de service pour des travaux connexes sur divers places publiques de l'arrondissement ,"15,000.00"
CENTRE COMMUNAUTAIRE DE LOISIR DE LA COTE-DES-NEIGES,,Contribution financière à titre de « mesures transitoires » en loisirs durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l'arrondissement,"4,200.00"
,,"Contribution financière dans le cadre du « Programme d'accompagnement en loisir de l'Île de Montréal » (PALÎM), visant à aider des personnes vivant avec des limitations","3,307.00"
,,Contribution financière ponctuelle à titre d'indexation forfaitaire (2019),"2,160.60"
,,"Contribution financière pour la réalisation de l'activité « Répit » dans le cadre de la Politique de l'enfant Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence","11,137.63"
,,Convention de contribution financière pour la réalisation du projet « Programme - Animation d'un centre communautaire » se terminant le 31 décembre 2020,"118,475.00"
,,Convention de contribution pour la réalisation du « Programme camps de jour - Camp de jour CCL régulier » ,"25,565.00"
,,Convention de service de gré à gré pour la « gestion d'un centre communautaire » afin de permettre un accès aux citoyens aux installations du Centre communautaire de loisir de la Côte-des-Neiges et du Centre sportif Notre-Dame-des-Neiges,"142,383.00"
CENTRE COMMUNAUTAIRE MONKLAND,,Convention de service de gré à gré pour la « gestion d’un centre communautaire » afin de permettre un accès aux citoyens aux installations du Centre communautaire Monkland,"76,852.43"
CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS,,Contribution financière à titre de « mesures transitoires » en loisir durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l'arrondissement,"4,200.00"
,,Convention de contribution financière pour la réalisation du « Programme - Soutien à la réalisation d'activités de loisirs » qui permettra d'offrir aux citoyens des activités de loisirs de qualité se terminant le 31 décembre 2019,"86,892.99"
,,Convention de contribution financière pour la réalisation du « Programme camps de jour - Camp de jour Mountain Sights » ,"20,452.00"
CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRACE INC.,,Convention de contribution pour la réalisation du « Programme – Soutien à la réalisation d'activités de loisirs » qui permettra d'offrir aux citoyens des activités de loisirs de qualité,"30,000.00"
CENTRE DE RESSOURCES COMMUNAUTAIRE COTE-DES-NEIGES,,"Convention de service de gré à gré pour la « gestion d'un centre communautaire » afin de permettre un accès aux citoyens aux installations du Centre de ressources communautaires de Côte-des-Neiges (6767, chemin de la Côte-des-Neiges) et du Centre communautaire Abe-Limonchik","155,574.52"
CHRISTINE HAREL,,Accompagnement dans l’élaboration d’un plan de suivi pour la mise en oeuvre du Plan d’action en développement social (PADS) ,"27,595.18"
CLEB CONSULTANT INC. ,,"Travaux de réhabilitation de l’enveloppe verticale du bâtiment abritant le Centre de ressources communautaires de Côte-des-Neiges (6767, chemin de la Côte-des-Neiges) et la Bibliothèque interculturelle (incidences, essais de mise en service)","35,009.88"
CLUB DE PLEIN AIR NOTRE-DAME-DE-GRÂCE,,Contribution financière pour la réalisation du projet « Animation et cinéma en plein air au parc Benny » dans le cadre du programme « Animation du voisinage »,"3,000.00"
,,Convention de contribution pour la réalisation du « Programme – Soutien à la réalisation d'activités de loisirs » qui permettra d'offrir des activités de loisirs de qualité aux citoyens (2019),"42,949.73"
COMITE JEUNESSE DE NOTRE-DAME-DE-GRACE,,Contribution financière à titre de « mesures transitoires » en loisirs durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l'arrondissement,"8,400.00"
,,Contribution financière ponctuelle à titre d'indexation forfaitaire (2019),"2,586.94"
,,"Contribution financière pour la réalisation de l'activité « Ça bouge dans les parcs » dans le cadre de la Politique de l'enfant Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence","11,000.00"
,,Convention de contribution financière pour la réalisation du projet « Programme - Animation d'un centre communautaire » (2019-2020) ,"106,478.00"
,,"Convention de contribution financière pour la réalisation du « Programme camps de jour - Camps de jour Walkley, Saint-Raymond, Notre-Dame-de-Grâce et Patricia »","65,984.00"
,,Convention de service de gré à gré pour la « gestion d'un centre communautaire » afin de permettre un accès aux citoyens aux installations du Centre communautaire Saint-Raymond,"117,818.64"
,,Convention de service de gré à gré pour la « gestion d’un entre communautaire » afin de permettre un accès aux citoyens aux installations du Centre communautaire Walkley,"81,932.43"
,,Convention de service pour la réalisation du projet « gestion administrative et soutien » pour l'offre de soutien administratif et financier de plusieurs OSBL reconnus par l'arrondissement,"276,000.00"
COMPASS MINERALS CANADA CORP.,Entente 1370131,Achat de sel de déglaçage (hiver 2019-2020),"424,908.51"
CONCEPTION PAYSAGE INC.,,Services professionnels pour le projet de réfection d’un terrain de basketball au parc Mackenzie-King ,"24,834.60"
CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRACE INC.,,Contribution financière pour des activités liées à la concertation et au soutien local dans le cadre du projet « Bien planifier pour mieux intervenir »,"43,461.04"
,,Contribution financière pour la réalisation des activités « Table de quartier » (du 26 juin 2019 au 31 mai 2020) ,"16,976.00"
,,Contribution financière pour aider à l'organisation des activités du festival « Balconfête - Porchfest » dans Notre-Dame-de-Grâce ,"2,000.00"
,,Convention de contribution financière dans le cadre du programme « Animation du voisinage » pour une offre d'animation libre destinée aux familles,"3,100.00"
CONSTRUCTION DJL INC,"Entente 1338038, 1339665","Asphalte CH-10, PG 58 -28 (2019) ","48,289.49"
,,"Asphalte EC-10, PG 58 -28 (2019) ","24,144.74"
,,"Asphalte EC-5, PG 58-28 (2019) ","41,822.50"
,,Asphalte froid en vrac (2018-2019) ,"8,477.00"
,,Achat de CH-10 d'hiver (1er décembre 2019 au 31 mars 2020) ,"62,793.59"
CONSTRUCTION GENFOR LTEE,,Réaménagement et agrandissement du pavillon de la Savane (contingences) ,"3,799.38"
CONSTRUCTION PIRAVIC INC.,,Travaux de réfection des surfaces pour le projet de réaménagement du sentier existant à la place du 6-décembre-1989,"42,327.36"
,,"Fournitures et installation de six bases de béton, gestion des sols excavés et remise en état des surfaces dans divers parcs de l'arrondissement","24,949.57"
CONSTRUCTION URBEX INC.,,Réfection des chaussées pour les arrêts d'autobus (RAA) ,"678,586.85"
CONSTRUCTION VIATEK INC.,,Contrat pour la construction de dos d'âne sur divers tronçons de l'arrondissement,"206,789.79"
,,Contrat pour les travaux de réaménagement géométrique de l'intersection de l'avenue de Westbury et de la rue Vézina,"368,327.30"
,,Remplacement d'entrées d'eau en plomb ,"4,577.15"
,,"Travaux de réparation d'urgence de deux drains au 6760 et 6750, avenue de Westbury ","19,568.74"
COOPERATIVE DE L’UNIVERSITE LAVAL,Entente 1163361,Fournitures informatiques pour le « Fab Lab » de la Bibliothèque interculturelle,"26,821.32"
COOPERATIVE DE SOLIDARITE MIEL MONTREAL,,Contribution financière à la Coopérative de solidarité Miel Montréal pour la réalisation du projet temporaire d'agriculture urbaine,"32,504.39"
CORPORATION DE DEVELOPPEMENT COMMUNAUTAIRE DE COTE-DES-NEIGES,,"Contribution financière pour la réalisation des activités « Parcs animés », « La ruche », la coordination d'intervenants scolaires et la halte-garderie pour la Politique de l'enfant Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence","68,985.00"
,,Contribution financière pour des activités liées à la concertation et au soutien local ,"43,461.04 "
,,Contribution financière pour la réalisation des activités « Table de quartier » (26 juin 2019 au 31 mai 2020) ,"16,976.00"
CREUSAGE RL,Entente 1350670,Contrat pour les services d'excavation pneumatique dans les arrondissements de Côte-des-Neiges-Notre-Dame-de-Grâce et d'Outremont. ,"124,253.50"
CYCLO NORD SUD,,Convention de partenariat entre l'arrondissement et l'organisme Cyclo Nord-Sud pour la réalisation du projet « Vélorution CDN-NDG » ,"84,804.00"
DEMENAGEMENT PERFORMANCE (PMI),,"Déménagement du Centre de ressources communautaires de Côte-des-Neiges (6767, chemin de la Côte-des-Neiges) et de la Bibliothèque interculturelle","62,281.94"
,,Déménagement à l'interne de la bibliothèque de Notre-Dame-de-Grâce ,"5,633.78"
DEMIX BETON,"Entente 1340657, 1340660",Achat de béton pré-melangé ,"131,725.68"
,,Achat de béton remblai sans retrait ,"69,437.41"
DEPOT ALIMENTAIRE NOTRE-DAME-DE-GRÂCE,,"Contribution financière pour la réalisation de l'activité « Collation santé » pour le Comité jeunesse Notre-Dame-de-Grâce dans le cadre de la Politique de l'enfant Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence","30,000.00"
,,Contribution financière pour la réalisation d'un projet de soutien en sécurité alimentaire «Bonification et expansion du programme de collations santé»,"14,500.00"
,,Convention de contribution financière dans le cadre du programme « Animation de jardins communautaires » et pour le « conteneur Conserre » dans Notre-Dame-de-Grâce,"23,001.17"
,,Gestion des inscriptions pour les jardins communautaires de Notre-Dame-de-Grâce (1er janvier au 31 décembre 2019) ,"5,000.00"
DISCOUNT LOCATION D'AUTOS ET CAMIONS,Entente 1266097,Indemnisation - Véhicule endommagé,"7,036.86"
,,Location de véhicules ,"31,195.92"
DISTRIBUTION JEAN BLANCHARD INC.,,Achat de corbeilles « Prima Linea » 50 litres,"7,036.86"
,,Achat de corbeilles et de poteaux pour la voirie,"31,195.92"
EBI ENVIROTECH INC.,,Contrat de nettoyage de chambres de vannes,"94,169.32"
,,Contrat pour le nettoyage d'égouts (comprenant le camion combiné et l'inspection télévisée des conduites d'égouts),"14,454.81"
E-LITE INC. ,,Matériel et installation d'un système de son pour l'aréna Doug-Harvey ,"27,795.60"
ENGLOBE CORP.,Entente 1285089,Agglo-contrôle qualitatif des matériaux dans le cadre de la construction de saillies de trottoirs dans l'arrondissement ,"7,500.00"
,,Aménagement de la rue Paré dans le projet Le Triangle,"2,597.06"
,,Contrôle qualitatif des matériaux (PRR-2-2019) ,"84,982.62"
ENTRETIEN MANA INC.,Entente 1302198,"Contrat pour les services d'entretien des locaux administratifs du 2140, avenue Madison (2e et 3e étage) 4","6,950.51"
FANNIE PILON-MILLETTE,,"Contrat de services professionnels, consultante en communications ","21,000.00"
,,Planification et réalisation du projet « Discussion citoyenne pour l'avenir des parcs de Loyola » (phase 2) ,"5,482.98"
,,Planification et réalisation du projet « Discussion citoyenne pour l'avenir des parcs de Loyola » (phase 1) ,"3,057.55"
FNX-INNOV INC.,Entente 1353601,Conception de plans de marquage et de signalisation de mails centraux virtuels sur le territoire de l'arrondissement ,"20,468.30"
,,Services professionnels pour la conception de plans et devis dans le cadre du projet de réaménagement de l'avenue Fielding entre l'avenue Trenholme et l'avenue de Mayfair,"100,269.70"
,,Surveillance des travaux d'infrastructures routières et souterraines dans le cadre du projet Westbury (phases 2 à 4) ,"108,139.03"
,,Travaux de mise en plan pour la reconstruction de trottoirs et de bordures associés aux travaux de planage et de revêtement bitumineux des chaussées (PCPR-1-2019),"12,153.10"
FORACTION INC.,,Travaux de remplacement des entrées de service d'eau en plomb et de réfection de chaussées et de trottoirs,"5,316,998.16"
G & L THIVIERGE INC,,Travaux d'amélioration pour l'aréna Bill-Durnan ,"24,391.94"
G&S CONSULTANTS SENC,,Contrôle qualitatif des matériaux (PCPR-2-2019) ,"35,619.26"
GHD CONSULTANTS LTEE,Entente 1285133,Contrôle qualitatif des matériaux (PCPR-2-2019) ,"75,883.50"
,,Contrôle qualitatif des matériaux (RAA-2019) ,"29,893.50"
GIRARD-HEBERT INC. ,,Services professionnels et contingences pour le projet de modification et de réaménagement des jeux d'eau au parc Notre-Dame-de-Grâce ,"13,107.14"
GR7 ARCHITECTURE INC. ,,Honoraires professionnels dans le cadre du projet de réfection des fenêtres au Centre Le Manoir et au Centre communautaire Notre-Dame-de-Grâce ,"50,266.52"
GROUPE ABS INC.,"Entente 1285142, 1338591",Caractérisation environnementale complémentaire des sols sur le site de l'ancien Hippodrome ,"12,074.96"
,,Carottage des chaussées de rues comprenant des contingences et rapports (PCPR 2019),"11,394.02"
,,Contrôle qualitatif des matériaux (PRR-1-2019) ,"30,468.38"
,,Contrôle qualitatif des matériaux dans le cadre du projet de réaménagement de l'intersection de l'avenue Westbury et de la rue Vézina,"13,411.37"
,,Contrôle qualitatif des matériaux et travaux de carottage dans le cadre du réaménagement géométrique de neuf intersections près des écoles et d'institutions,"8,031.01"
GROUPE AMEUBLEMENT FOCUS INC.,,"Contrat pour la fourniture de mobilier de bureau divers au 5160, boulevard Décarie","30,403.37"
,,Achat de mobilier de bureau pour le projet de réaménagement du Bureau Accès Montréal ,"5,049.70"
GROUPE SANYVAN INC.,Entente 1351878,Contrat de deux ans pour le service de nettoyage et d'inspection par caméra des conduites d'égout,"103,118.21"
,,Inspection et localisation de drains privés dans l'arrondissement ,"4,708.23"
,,Travaux de nettoyage d'égout dans l'arrondissement ,"29,432.17"
GROUPE SDM INC,Entente 1326475,Services de dégel de conduites d'eau métalliques du réseau d'aqueduc à l'aide d'appareils de dégel électrique dans l'arrondissement de Côte-des-Neiges-Notre-Dame-de-Grâce et d'Outremont,"148,859.37"
HARDY EXPERT CONSEIL INC.,,"Projet de réaménagement, de rénovation et de mise aux normes du gymnase et du dojo et de travaux d'explorations et de gestion du chantier de décontamination au Centre Le Manoir (incidences)","10,336.26"
,,Consolidation des éléments décoratifs et diverses réparations sur d'autres éléments des façades au théatre Empress ,"44,495.32"
IMPRIMERIE F.L. WEB INC.,,Impression du bulletin Le Citoyen,"52,972.43"
INFORMATIQUE PRO-CONTACT INC.,,Fournitures et installations de câbles électriques pour le Bureau Accès Montréal ,"16,674.87"
INFRAVERT,,"Contrat pour la production de plans et devis, la fabrication et l'installation de mobilier à plusieurs endroits dans l'arrondissement ","52,334.32"
INSTITUT FRASER HICKSON MONTREAL,,"Contribution financière pour la réalisation de l'activité « Mini biblio plus » dans le cadre de la Politique de l'enfant Naître, grandir, s'épanouir à Montréal: de l'enfance à l'adolescence","33,000.00"
ISM ART & DESIGN,,Location et installation de décors lumineux sur la rue Sherbrooke Ouest et sur le chemin de la Côte-des-Neiges,"31,793.96"
JEAN-GUY LAVALLEE ,,Balai mécanique pour l'entretien et le nettoyage des rues de l'arrondissement ,"50,083.10"
JEUNESSE BENNY,,Contribution financière à titre de « mesures transitoires » en loisirs durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l'arrondissement,"4,200.00"
,,Contribution financière dans le cadre du programme « Animation de voisinage » pour le Carnaval d'hiver du 9 février 2019,"3,100.00"
,,Convention de contribution pour la réalisation du « Programme – Soutien à la réalisation d'activités de loisirs » ,"44,799.63"
,,Convention de contribution pour la réalisation du « Programme camps de jour - Benny camp » ,"25,565.00"
KEPASC,Entente 1345049,Contrat pour les travaux d'essouchement dans l'arrondissement ,"470,582.94"
LA SOCIETE DE VERDISSEMENT DU MONTREAL METROPOLITAIN,,Contribution financière - SOVERDI ,"30,250.00"
,,Contribution financière pour le projet du corridor écologique et vivrier Darlington ,"27,000.00"
LAFARGE CANADA INC,Entente 1195735,Achat de pierre concassée VM-2,"150,668.69"
LAFLEUR & FILS INC.,,Projet de mise aux normes des portes de l'aréna Bill-Durnan ,"18,208.77"
L'ATELIER URBAIN INC.,,Contrat de gré à gré pour la recherche documentaire de précédents en matière de composition urbaine et d'équipements publics ,"48,732.15"
LE GROUPE SPORTS INTER PLUS INC.,,Fourniture et installation des ancrages de buts pour cinq terrains de soccer dans l'arrondissement ,"41,609.46"
LES CONSTRUCTIONS ARGOZY INC.,,Installation de sonotubes au chalet du parc Notre-Dame-de-Grâce ,"61,229.93"
,,"Installation du chantier, préparation du site, excavation, construction et remise en état des surfaces gazonnées au parc Loyola ","15,694.08"
,,Dalle de béton pour la guérite adjacente aux terrains de tennis du parc Martin-Luther-King ,"2,966.36"
LES CONSULTANTS S.M. INC.,,Environnement-gestion des sols contaminés ,"13,290.54"
LES ECRANS VERTS INC.,,Fourniture des matériaux dans le cadre du projet de construction d'un mur antibruit au parc du Précieux-Sang ,"83,050.70"
LES ENTREPRISES MICHAUDVILLE INC.,"Entente 1144800, 1144807",Contrat pour les travaux de reconstruction de trottoirs et de bordures associés aux travaux de planage et revêtement des chaussées (PRR-2-2019),"7,068,599.99"
,,"Contrat pour les travaux de planage, de reconstruction de trottoirs et de réaménagement géométrique des saillies de trottoirs dans l'arrondissement (PCPR-2-2019)","9,276,300.01"
LES EXCAVATIONS DDC,Entente 1201817,Contrat de location de scie à béton pour les arrondissements de Côte-des-Neiges-Notre-Dame-de-Grâce et d'Outremont ,"68,760.79"
LES INSTALLATIONS SPORTIVES AGORA INC.,,Installation de revêtement plastique extérieur de la bande de patinoire pour le projet de mise aux normes de l'aréna Bill-Durnan ,"8,421.91"
,,Réparation/entretien des paniers de basketball pour des centres communautaires de l'arrondissement ,"22,644.33"
LES PAVAGES CEKA INC.,,Contrat pour les travaux de réaménagement géométrique de cinq intersections dans l'arrondissement ,"1,621,789.32"
,,"Travaux de planage, de revêtements bitumineux et de reconstruction de trottoirs (PCPR-1-2019) ","4,324,342.65"
,,"Travaux de planage, de revêtements bitumineux et de reconstruction de trottoirs (PRR-1-2019) ","2,502,923.00"
LES PAVAGES CHENAIL INC.,,Asphalte CH-10 d'hiver (au besoin),"47,416.83"
,,Asphalte CH-10 PG58-28 (1er décembre 2018 au 31 mars 2019) ,"12,585.94"
LES PLANTATIONS LETOURNEAU (PEPINIERE),,Plantation d'arbres (automne 2019),"8,994.49"
,,Plantation d'arbres (printemps 2019) ,"15,400.91"
LOCATION GUAY,Entente 1285829,Location d'une rétrocaveuse pour les parcs,"25,813.03"
,,Location d'une rétrocaveuse avec opérateur pour la plantation d'arbres ,"173,661.72"
LOCATION LORDBEC INC. ,,Travaux de remplacement de drains privés ,"103,070.95"
,,Travaux d'urgence pour le creusage d'une coupe jusqu'à l'égout ,"14,889.26"
LOCATION SAUVAGEAU INC.,,"Location de véhicules pour la Direction sports, culture, loisirs, développement social","14,673.10"
,,Location de véhicules pour la gestion immobilière ,"10,866.29"
,,Location de véhicules pour la Direction des travaux publics (Bureau des études techniques),"45,778.90"
,,Location d'un camion et d'une voiture compacte pour la Direction des travaux publics (Aqueduc),"20,116.75"
,,Location d'une voiture sous-compacte pour la Direction des travaux publics (Parcs),"10,135.57"
LOISIRS SOLEIL INC. ,,Convention de contribution financière pour la réalisation du « Programme camps de jour - Camp de jour Loisirs Soleil » ,"25,565.00"
LOISIRS SPORTIFS COTE-DES-NEIGES – NOTRE-DAME-DE-GRACE,,"Contrats de service pour l'entretien sanitaire, l'accueil et le soutien à l'organisation des locaux dans cinq installations (2019-2020) ","811,161.11"
,,Contribution financière ponctuelle à titre d'indexation forfaitaire (2019) ,"17,930.44"
,,"Contribution financière pour la réalisation de l'activité d'animation au parc Nelson-Mandela dans le cadre de la Politique de l'enfant Naître, grandir, s'épanouir à Montréal: de l'enfance à l'adolescence","7,704.47"
,,Convention de contribution financière pour la réalisation du projet « Programme - Animation d’un centre sportif » (2019-2020) ,"1,184,844.86"
,,Convention de contribution financière pour la réalisation du « Programme camps de jour - Camp de jour Simone-Monet » ,"10,518.00"
,,Convention de service pour la gestion du Centre sportif Westhill ,"41,172.00"
,,Convention de service pour la gestion et l'exploitation du pavillon Notre-Dame-de-Grâce ,"57,182.69"
,,Jeux de Montréal 2019 ,"3,635.31"
MAISON DES JEUNES COTE-DES-NEIGES INC.,,Convention de contribution financière avec la Maison des jeunes de Côte-des-Neiges Inc. dans le cadre du « Programme jeunesse 2000 » (1er avril 2018 au 31 décembre 2019),"63,463.33"
,,Convention de contribution pour la réalisation du « Programme – Soutien à la réalisation d’activités de loisirs » ,"28,633.15"
,,Convention de contribution financière avec la Maison des jeunes de Côte-des-Neiges Inc. dans le cadre du programme « Maison des jeunes » (1er avril 2018 au 31 décembre 2019),"22,292.95"
MANOREX INC.,,Travaux de réparation de drains privés dans l'arrondissement ,"49,899.16"
MARQUAGE ASPHALTE ,,Contrat pour des travaux de marquage dans l'arrondissement ,"64,375.64"
METRO MEDIA ,,Parution d'une jaquette de quatre pages dans le journal Métro ,"28,743.74"
NADEAU NADEAU BLONDIN ARCHITECTES INC.,,Honoraires de services professionnels supplémentaires pour le projet de réaménagement et de rénovation au chalet du parc Notre-Dame-de-Grâce ,"35,849.42"
NOTRE-DAME-DES-ARTS,,Contribution financière pour l'organisme Notre-Dame-des-Arts ,"22,000.00"
,,Convention de services pour la création d'un comité consultatif et la création de trois activités d'activation communautaire au parc Notre-Dame-de-Grâce ,"21,740.00"
NOVAFOR EQUIPEMENT INC.,,"Achat de vêtements, d'accessoires et d'outils de travail pour les élargueurs ","13,718.69"
,,Achat d'équipements de travail pour les parcs ,"10,026.86"
,,Outil de creusage à l'air pour l'aqueduc ,"4,939.32"
"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R.L.",,Huissier de justice ,"44,265.37"
PEPINIERE ROUGEMONT ENR,,Plantation (automne 2019) ,"15,383.65"
,,Plantation (printemps 2019) ,"29,031.19"
PREVENTION COTE-DES-NEIGES – NOTRE-DAME-DE-GRACE,,Contribution financière pour la création d'une murale sur les façades est et ouest du pavillon du parc Nelson-Mandela ,"5,000.00"
,,Contribution financière ponctuelle à titre d'indexation forfaitaire (2019) ,"4,491.43"
,,Contribution financière pour la réalisation des activités du plan d'action du « Programme montréalais de soutien à l'action citoyenne dans les arrondissements - Tandem » (12 mars 2019 au 31 décembre 2021),"255,959.91"
,,Murale intérieure à l'aréna Bill-Durnan ,"25,315.00"
,,Peinture murale et travaux d'incidences au parc à chiens de la Place de Darlington,"3,541.00"
PRODUITS SANY,"Entente 1312347, 1048199",Achat de produits d'entretien pour l'aréna Bill-Durnan ,"7,098.91"
