"List of contracts of $25,000 or more",,
"Awarded June 1st, 2010 to May 31, 2011",,
,,
,,
"Supplier","Amount","Description"
"CARRIÈRE ST-JACQUES INC. ","$42,164.48","Purchase of 90/10 abrasives- 2010/2011 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","$307,456.00","Financial contribution "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","$3,574.52","Reimbursement of sports equipment "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","$32,900.00","Financial contribution – supervision of recreational activities "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","$125,300.00","2011 financial contribution "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES ","$140,000.00","2011 financial contribution "
"CHAGNON (1975) LIMITEE ","$19,858.71","Installation of outdoor lighting at Kent Park’s big chalet "
"CHAGNON (1975) LIMITEE ","$15,834.97","Work and safe lighting for the CDN-NDG Sports Centre’s mini-soccer facility "
"CHEVALIER MORALES ARCHITECTES ","$80,906.25","Competition – Notre-Dame-de-Grâce Cultural Centre "
"CIMA + ","$113,268.75","Professional services contract for the production of a master urban transportation plan for the borough "
"CIMA + ","$17,475.75","Study on traffic calming measures on a local CDN/NDG street "
"CIMA + ","$17,421.81","Professional building engineering services for a report on the condition of the Empress Theatre building "
"CIMA + ","$2,124.04","Professional structural engineering services at the Maurice-Cullen Park chalet "
"CIMA + ","$5,730.82","Professional engineering services fee – Snow removal plan "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","$8,602.52","2010 CSST (occupational health and safety) files "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","$9,193.34","2010 medical expertise "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","$16,427.89","2011 CSST (occupational health and safety) files "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","$11,316.05","2011 medical expertise "
"CLUB DE PLEIN AIR NDG ","$42,000.00","2011 financial contribution "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","$135,531.96","2010-2013 – N73 snow removal contract – WINTER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","$601,561.15","2010-2013 – N73 snow removal contract – WINTER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","$463,815.78","2010-2013 – N73 snow removal contract – WINTER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","$636,503.49","2010-2013 – N73 snow removal contract – WINTER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","$156,110.10","2010-2013 – N73 snow removal contract – WINTER 2010/2011 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRACE ","$2,000.00","Rental of inflatable structures and golf activities for Splish Splash 2010 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRACE ","$637,594.00","2011 financial contribution "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRACE ","$20,000.00","Mandate of the Walkley Centre’s provisional board of directors "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$6,425.40","Billing for the use of premises, April 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$5,539.48","Billing for the use of premises, May 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$3,441.34","Billing for the use of premises, June 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$12,919.43","Billing for the use of premises, July 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$5,548.12","Billing for the use of premises, August 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$2,895.42","Billing for the use of premises, September 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$5,719.44","Billing for the use of premises, October 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$6,204.58","Billing for the use of premises, November 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$3,894.97","Billing for the use of premises, December 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$2,500.00","Partial reimbursement – repair work on the gymnasium "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$4,543.47","Billing for the use of premises, January 2011 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","$14,633.92","Billing for the use of premises, February 2011 "
"CONCEPTION PAYSAGE INC. ","$9,546.94","Professional landscaping architectural services for the design of playgrounds, landscaping, and worksite supervision at Place Darlington "
"CONCEPTION PAYSAGE INC. ","$23,301.00","Professional landscaping architectural services for the design of playgrounds, landscaping, and worksite supervision at Van Horne Park "
"CONCEPTION PAYSAGE INC. ","$6,535.50","Professional landscaping architectural services for the restoration of stone sleeper walls and the replacement of the drinking fountain at Darlington Park. "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRACE ","$10,000.00","Financial contribution "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRACE ","$16,600.00","2011 financial contribution "
"CONSTRUCTION DJL INC. ","$10,358.90","Concrete/asphalt waste disposal – 2010 "
"CONSTRUCTION DJL INC. ","$96,380.27","Purchase of bituminous mix (asphalt) "
"CONSTRUCTION DJL INC. ","$3,294.30","Purchase of bituminous mix (asphalt) "
"CONSTRUCTION DJL INC. ","$6,904.10","Enroplus (cold asphalt) "
"CONSTRUCTION DJL INC. ","$6,913.62","Purchase of bituminous mix (asphalt) "
"CONSTRUCTION DJL INC. ","$55,098.51","Purchase of winter bituminous mix – 2010/2011 "
"CONSTRUCTION DJL INC. ","$151,046.58","Milling of asphalt pavement on different streets in the Côte-des-Neiges—Notre-Dame-de-Grâce Borough "
"CONSTRUCTION DJL INC. ","$5,996.36","2011 – Roads Department – Asphalt waste disposal service "
"CONSTRUCTION DJL INC. ","$11,394.40","2011 – Roads Department – Enroplus (cold asphalt) "
"CONSTRUCTION DJL INC. ","$10,806.11","2011 – Roads Department – Enroplus (cold asphalt) "
"CORMIER, COHEN, DAVIES ARCHITECTES ","$80,906.25","Competition – Notre-Dame-de-Grâce Cultural Centre "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES ","$30,000.00","Financial contribution "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES ","$50,000.00","Financial contribution "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES ","$15,600.00","Financial contribution 2011 "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES ","$1,000.00","Financial contribution 2011 "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES ","$2,500.00","Winter festivities "
"CPU DESIGN INC. ","$3,926.65","Purchase of computers and screens – parks "
"CPU DESIGN INC. ","$6,375.42","Purchase of a plotter "
"CPU DESIGN INC. ","$4,668.03","Purchase of computers and screens "
"CPU DESIGN INC. ","$4,659.12","Purchase of HP LaserJet P2055DN printers "
"CPU DESIGN INC. ","$3,262.53","Purchase of computers and screens – parks "
"CPU DESIGN INC. ","$6,165.25","Purchase of office computers and screens "
"CPU DESIGN INC. ","$4,442.27","Purchase of computer materials "
"DÉVELOTECH INC. ","$23,811.01","Purchase of 12-in. wide Develotech marker "
"DÉVELOTECH INC. ","$86,263.15","Supply, maintenance and removal of flexible delineators for traffic calming work (2011) "
"DISTRIBUTION SPORTS LOISIRS G.P. INC. ","$3,630.36","Sports equipment and materials for gymnasium "
"DISTRIBUTION SPORTS LOISIRS G.P. INC. ","$20,064.75","Equipment – Notre-Dame-de-Grâce Sports Centre "
"DISTRIBUTION SPORTS LOISIRS G.P. INC. ","$3,711.32","Purchase of anchors for soccer goals and baseball "
"DOLMEN CAPITAL HUMAIN ","$5,390.75","Civility training – CDN/NDG managers "
"DOLMEN CAPITAL HUMAIN ","$3,775.63","Civility training – CDN/NDG employees "
"DOLMEN CAPITAL HUMAIN ","$6,041.00","Civility training – employees "
"DOLMEN CAPITAL HUMAIN ","$6,209.97","Civility training "
"EDITRONIC ","$13,635.40","Layout of the master plan "
"EDITRONIC ","$10,356.01","Proofreading and correction of the master plan "
"EDITRONIC ","$3,104.37","Master plan – printing "
"ÉMONDAGE ALLARD ","$40,868.00","Contract for tree removal work "
"ENVIRONNEMENT ROUTIER NRJ INC. ","$53,937.50","Contract – curbside recycling – 2010 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","$1,784,424.86","2009-2012 contract – curbside recycling – 2011 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","$22,946.67","Execution of thermogeneration paving work "
"ÉQUIPEMENT NCN LTÉE ","$23,851.16","Hydraulic shoring system "
"ÉQUIPEMENT NCN LTÉE ","$2,121.33","Speed Shore hydraulic shoring system "
"ÉQUIPEMENT NCN LTÉE ","$12,417.45","Hydraulic shoring system "
"EXCAVATIONS VIDOLO LIMITÉE ","$25,259.53","Contract for the transportation of waste containers – 2010 "
"EXCAVATIONS VIDOLO LIMITÉE ","$32,241.80","2011-2013 contract for the transportation of waste containers – 2011 "
"FÉDÉRATION CJA ","$62,613.00","2011 financial contribution "
"FICHTEN SOIFERMAN ET ASSOCIES ARCHITECTES ","$333,117.75","Notre-Dame-de-Grâce Cultural Centre – professional services "
"FICHTEN SOIFERMAN ET ASSOCIES ARCHITECTES ","$946,984.54","Notre-Dame-de-Grâce Cultural Centre – professional services "
"FONDATION STEPHEN R. BRONFMAN (LA) ","$15,000.00","Financial contribution – C-Vert 2010 project "
"FONDATION STEPHEN R. BRONFMAN (LA) ","$15,000.00","Financial contribution – C-Vert 2011 project "
"FONDERIE LAPERLE ","$11,870.48","PRR – Adjustable frames "
"FONDERIE LAPERLE ","$4,063.65","PRR – Conic guide "
"FONDERIE LAPERLE ","$13,374.11","Frames and guides – Sewers "
"FONDERIE LAPERLE ","$11,171.02","Adjustable frames "
"FONDERIE LAPERLE ","$2,000.30","Conic guides "
"FONDERIE LAPERLE ","$5,129.01","Sewer guide and manhole "
"FONDERIE LAPERLE ","$18,189.93","Lids, frames "
"FONDERIE LAPERLE ","$8,157.94","Frames "
"FONTAINE D’IDÉES ","$23,543.72","Christmas decorations – parks "
"FONTAINE D’IDÉES ","$2,427.19","Installation of Christmas decoration – parks "
"FONTAINE D’IDÉES ","$3,420.25","Removal of Christmas decorations "
"FORTIER AUTO (MONTRÉAL) LTÉE ","$21,888.40","Supply of 4X2 double cab pick-up (4 doors) "
"FORTIER AUTO (MONTRÉAL) LTÉE ","$40,857.72","SUV with fittings "
"GAZ MÉTROPOLITAIN ","$30,727.30","Energy costs for the Notre-Dame-de-Grâce Sports Centre "
"GAZ MÉTROPOLITAIN ","$6,192.47","Energy costs for 6445 Monkland Avenue "
"G & B COTTON INC. ","$39,439.56","Emergency work on the Empress Cultural Centre "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$7,501.22","Office furnishings "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$3,300.30","Office furnishings "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$4,969.42","Office furnishings "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$14,788.54","Equipment – Notre-Dame-de-Grâce Sports Centre "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$3,186.65","Administration furnishings "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$5,238.20","Conference room – Roads Department "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$3,079.89","Furnishings – 3rd floor, Madison "
"GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC. ","$7,409.03","Furnishings, technical office "
"GLOBOCAM ","$255,713.51","Supply of two 6x4 truck chassis for dump bodies "
"GLOBOCAM ","$128,032.61","Chassis for 6X4 street flusher truck "
"GROUPE ABS INC. ","$6,689.92","Quality control "
"GROUPE ABS INC. ","$17,407.85","Environmental Site Assessment – Phase I – Preliminary environmental soil characterization – Phase II, at the Trenholme Sports Centre "
"GROUPE ABS INC. ","$15,875.82","Environmental Site Assessment – Phase I – Preliminary environmental soil characterization – Phase II, at the Benny Library "
"GROUPE ABS INC. ","$5,435.36","Environmental soil characterization at Confederation Park, within the framework of an outdoor skating rink project "
"GROUPE ABS INC. ","$3,433.86","Core samplings on various borough streets – PRR local 2011 "
"GROUPE DUBÉ ET ASSOCIÉS INC. ","$37,621.41","Supply and installation of a section of aluminum moulding on concrete boxes at the Châteaufort community gardens "
"GROUPE DUBÉ ET ASSOCIÉS INC. ","$7,564.20","Supply and installation of a concrete base for the installation of park benches at the Châteaufort community gardens "
"GROUPE GEMEC INC. ","$384,548.82","2011 contract for the leasing of operator-free street sweepers "
"HÉLOISE THIBODEAU ARCHITECTE ","$94,696.22","Professional architectural service contract for phase 2 of the upgrading of the air treatment system, drainage and various other works at the Côte-des-Neiges Sports Centre "
"HÉLOISE THIBODEAU ARCHITECTE ","$84,525.80","Professional architectural, engineering and landscaping architectural service contract with the consortium consisting of the firms of Thibodeaux (responsible), Poirier Fontaine Architects, La vie en vert, Cima+s.e.n.c and Nacev Consultant Inc. "
"HYDRO-QUÉBEC ","$89,960.90","2010 energy costs "
"HYDRO-QUÉBEC ","$2,157.34","Moving the transformer at 5386 West Broadway – waterworks "
"HYDRO-QUÉBEC ","$54,596.64","Energy costs – Notre-Dame-de-Grâce Sports Centre "
"HYDRO-QUÉBEC ","$876,299.94","2011 energy costs "
"HYDRO-QUÉBEC ","$119,493.30","2011 energy costs "
"INOLEC INC. ","$3,033.14","Parts and hardware "
"INOLEC INC. ","$4,611.04","Parts and hardware "
"INOLEC INC. ","$8,749.29","Parts and hardware "
"INOLEC INC. ","$3,868.40","Pump "
"INOLEC INC. ","$11,038.30","Parts and hardware "
"INOLEC INC. ","$4,638.29","Parts and hardware "
"INOLEC INC. ","$4,522.84","Parts and hardware "
"INSPEC-SOL INC ","$4,547.62","Study on the condition of the Empress Theatre’s concrete roof slab "
"INSPEC-SOL INC ","$9,738.98","Professional services for the geotechnical study and environmental soil characterization at Jean-Brillant Park within the framework of the construction of a multipurpose track "
"INSPEC-SOL INC ","$16,289.73","Professional fees for soil characterization at the Notre-Dame-de-Grâce Cultural Centre "
"JEUNESSE BENNY ","$1,850.00","2011 financial contribution "
"JEUNESSE BENNY ","$60,800.00","2011 financial contribution "
"JEWISH PUBLIC LIBRARY ","$29,708.00","2011 financial contribution "
"LABORATOIRES CHOISY LTÉE ","$5,839.89","Maintenance products "
"LABORATOIRES CHOISY LTÉE ","$6,265.06","Analysis and development of a sanitary maintenance plan for 2011 "
"LABORATOIRES CHOISY LTÉE ","$23,418.66","Procurement of housekeeping products for 2011 "
"LAFARGE CANADA INC. ","$119,919.09","Premixed stone – 2009-2010 season "
"LAFARGE CANADA INC. ","$73,763.30","Premixed stone – 2011 "
"LAPOINTE MAGNE INC. ","$22,114.38","Updating of the March 2008 expert’s report on the Notre-Dame-de-Grâce Community Centre "
"LAPOINTE MAGNE INC. ","$19,708.33","Professional architectural services for the reconstruction of the façade of the Notre-Dame-de-Grâce Community Centre on St-Antoine Street "
"LAVALTRAC ÉQUIPEMENT INC. ","$21,553.43","Purchase of a leaf vacuum – Montréal-Net – parks "
"LAVALTRAC ÉQUIPEMENT INC. ","$23,570.28","Purchase of a front mower – parks "
"LAVALTRAC ÉQUIPEMENT INC. ","$24,377.96","Purchase of a self-propelled John Deere lawnmower with equipment "
"LE BERGER BLANC INC. ","$57,281.62","Interventions involving domestic animals and wildlife – July 1st to December 31st, 2010 "
"LE BERGER BLANC INC. ","$28,919.59","Interventions involving domestic animals and wildlife – January 1st to December 31st, 2011 "
"LE BERGER BLANC INC. ","$9,639.86","Interventions involving domestic animals and wildlife – January 1st to April 30, 2011 "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER ","$8,630.00","Professional services for the upgrading of the wading pool and chalet at Kent Park "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER ","$80,906.25","Competition – Notre-Dame-de-Grâce Cultural Centre "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER ","$19,417.50","Professional architectural services contract for conducting a qualitative and budgetary analysis of three scenarios for the restoration of the Empress Theatre’s roof "
"LES CONSTRUCTIONS BRICON LTÉE ","$210,140.44","Bituminous mix "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","$40,139.53","Contract for upgrading the wading pool and chalet at Kent Park, and the installation of water games and a picnic area "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","$122,281.89","Contract for the construction of a fenced basketball court at Georges-Saint-Pierre Park "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$5,208.21","Partial redevelopment of the 6th floor at 5160 Decarie Blvd., to accommodate the relocation of some 4th and 6th-floor offices "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$12,896.62","Additional work on the Côte-des-Neiges library and cultural centre within the framework of a universal access project "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$9,663.44","Electrical and accessibility work on the Accès Montréal office at 5160 Décarie Blvd. "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$2,369.12","Plumbing work "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$7,592.24","Repairs to the gym doors at the Notre-Dame-des-Neiges Sports Centre "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$2,623.02","Supply and installation of two new panic bars within the framework of the Notre-Dame-des-Neiges Sports Centre project "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$9,422.34","Renovation of 3rd floor restrooms at 2140 Madison "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$2,964.75","Repair work on the maintenance vat on the 2nd floor of the Côte-des-Neiges Cultural Centre "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$6,073.66","Redevelopment work and addition to the Intercultural Library at 6767 Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","$17,705.76","Supply and installation of two air-conditioning units at the Gilbert-Layton Park pavilion "
"LES ENTREPRISES DOUGLAS POWERTECH INC. ","$28,910.50","Supply of a wood chipper/shredder trailer "
"LES ENTREPRISES VENTEC INC. ","$2,437.98","Supply and planting of plants and flowers in bins on the green roof of the Côte-des-Neiges Library and Cultural Centre "
"LES ENTREPRISES VENTEC INC. ","$14,347.38","Construction of concrete slabs for urban furnishings at Mackenzie-King Park "
"LES ENTREPRISES VENTEC INC. ","$25,380.83","Supply and installation of two solar-powered lighting fixtures "
"LES ENTREPRISES VENTEC INC. ","$2,966.56","Addition of sand at the Bedford School playground "
"LES ENTREPRISES VENTEC INC. ","$133,798.45","Contract for the redevelopment of playgrounds for children 18 months to 5 years of age and 5 to 12 years of age at Van Horne Park "
"LES ENTREPRISES VENTEC INC. ","$52,248.29","Contract for the redevelopment of the playground for children 18 months to 5 years of age at Darlington Park "
"LES ENTREPRISES VENTEC INC. ","$22,114.38","Dismantling of the baseball field and redevelopment of the intervention area at Van Horne Park "
"LES MACHINERIES TENCO (CDN) LTEE ","$127,055.18","Purchase of two dump bodies and accessories "
"LES MACHINERIES TENCO (CDN) LTEE ","$12,715.77","Rental of a detachable snowblower for the month of December 2010 "
"LES MACHINERIES TENCO (CDN) LTEE ","$4,862.47","Snowblower control "
"LES MACHINERIES TENCO (CDN) LTEE ","$32,459.66","Rental of a detachable snowblower for the months of January, February and March 2011 "
"LES MACHINERIES TENCO (CDN) LTEE ","$111,408.49","Purchase of the snowblower rented for the winter of 2010-2011 "
"LES SERRES RIEL INC. ","$15,675.75","Flower order for the 2010 beautification campaign – Parks "
"LES SERRES RIEL INC. ","$13,857.77","Parks – 2011 Beautification campaign "
"LES SERVICES AUDIO-VISUELS TECHNI-LOGIQUE INC. ","$7,767.00","Consulting fee – Benny Centre "
"LES SERVICES AUDIO-VISUELS TECHNI-LOGIQUE INC. ","$23,862.20","Mitsubishi LCD42 + LCD52 screen – for the Notre-Dame-de-Grâce Sports Centre "
"LES SERVICES AUDIO-VISUELS TECHNI-LOGIQUE INC. ","$3,294.98","Dell Latitude E5410 laptop computer, projector + lighting for the Notre-Dame-de-Grâce Sports Centre "
"LES SERVICES AUDIO-VISUELS TECHNI-LOGIQUE INC. ","$6,344.88","Audiovisual refitting of the Côte-des-Neiges meeting hall "
"LES SOLS SPORTICA INC. ","$36,138.13","Contract for repairing track and field facilities at Kent Park "
"LOCATION EMPRESS INC. ","$50,844.42","Supply of the chassis of a Mitsubishi Fuso, FE 180 tilt-cab truck with a GVWR of 17,950 lbs., 2010. "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","$30,000.00","Financial contribution – Notre-Dame-de-Grâce Sports Centre "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","$3,333.16","Equipment – Notre-Dame-de-Grâce Sports Centre "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","$290,652.67","2011 financial contribution "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","$185,508.00","2011 financial contribution "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","$630,296.33","2011 financial contribution "
"LOUBAC INC. ","$34,449.88","Distribution of wheeled bins "
"LVM INC. ","$21,532.72","Professional services relating to the quality control of materials for the construction of the Benny Sports and Community Centre – Phase 4 "
"LVM INC. ","$3,251.85","Professional materials engineering services. Quality control of soil and materials within the framework of a project for the installation of a basketball court at Georges-Saint-Pierre Park "
"MAISON DES JEUNES DE LA CÔTE-DES-NEIGES INC. ","$111,860.00","2011 financial contribution "
"MAROBI INC. ","$752,333.80","2010-2013 Snow clearing contract- N72 AND N74 – WINTER 2010/2011 "
"MAROBI INC. ","$764,760.69","2010-2013 Snow clearing contract- N72 AND N74 – WINTER 2010/2011 "
"MAROBI INC. ","$162,842.03","2010-2013 Snow clearing contract- N72 AND N74 – WINTER 2010/2011 "
"MAROBI INC. ","$557,275.95","2010-2013 Snow clearing contract- N72 AND N74 – WINTER 2010/2011 "
"MAROBI INC. ","$187,566.73","2010-2013 Snow clearing contract- N72 AND N74 – WINTER 2010/2011 "
"MENKES, SHOONER, DAGENAIS, LETOURNEAUX ARCHITECTES ","$80,906.24","Competition – Notre-Dame-de-Grâce Cultural Centre "
"META + FORME ","$8,845.75","Professional landscaping architectural services for the redevelopment of the playground for children 18 months to 5 years of age at Georges Saint-Pierre Park "
"META + FORME ","$8,090.63","Professional landscaping architectural services for the development of a petanque court at Kent Park "
"META + FORME ","$12,837.13","Professional landscaping architectural services for the restoration of play areas for children 18 months to 5 years of age and 5 to 12 years of age at De La Savane Park "
"MICHELIN AMÉRIQUE DU NORD (CANADA INC.) ","$3,476.76","Tire repairs "
"MICHELIN AMÉRIQUE DU NORD (CANADA INC.) ","$20,501.64","Purchase of tires "
"MICHELIN AMÉRIQUE DU NORD (CANADA INC.) ","$4,930.98","Retreading of tires "
"MINES SELEINE, UNE DIVISION DE LA SOCIÉTÉ CANADIENNE DE SEL, LIMITÉE ","$1,011,619.54","Deicing salt – 2010/2011 "
"MIVELA CONSTRUCTION INC. ","$32,228.69","Geometric redevelopment of the intersection of Édouard-Montpetit Blvd. and Louis-Collin Avenue "
"MOBILIGO ","$10,000.00","Financial contribution "
"MOBILIGO ","$35,577.18","ALLÉGO: program coaching and study, and annual membership "
"NATURE-ACTION QUÉBEC INC. ","$58,291.80","Professional services contract for the production of the borough’s urban forestry plan "
"NEOLECT/LE SAUX INC. ","$19,147.81","Preparation work for the installation of three lighting fixtures at Nelson-Mandela Park "
"NEOLECT/LE SAUX INC. ","$95,353.51","Contract for lighting work at Dunkerque Park "
"NORDMEC CONSTRUCTION INC. ","$106,259.95","Contract for converting the wading pool at De La Savane Park into water games "
"NORTRAX ","$28,910.50","Supply of an asphalt compacting roller "
"NORTRAX ","$195,196.57","Supply of 2010 John Deere 624 K wheeled loader with 3 cu. yd. bucket "
"NORTRAX ","$3,775.63","Tire change and installation "
"NORTRAX ","$78,402.95","Leasing of four wheeled loaders for 25 months at five months per year as of November 2010 "
"NORTRAX ","$15,102.50","Local replacement of tires on the John Deere 624K wheeled loaders "
"NORTRAX ","$4,820.50","Purchase of two pairs of folding extensions "
