Liste des contrats de 25 000 $ et plus,,,
Octroyés du 1er janvier au 31 décembre 2017,,,
Les lignes en bleu correspondent à des engagements non terminés.,,,
,,,
Nom du fournisseur,Entente,Description du bon de commande,Montant engagement
CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DESNEIGES,,Contribution financière : organisation de l'activité « Hiver en fête »,"3,000.00"
,,Contrat de services pour la coordination des travaux de la Table ronde sur la réduction de la pauvreté dans Côte-des-Neiges-Notre-Dame-de-Grâce,"158,070.00"
,,Entente de partenariat pour la réalisation d'activités liées à la concertation et au soutien en développement social local,"42,500.00"
,,Contribution financière : Table des familles de CDN,"10,000.00"
,,Contribution financière,"16,600.00"
CREUSAGE RL,Entente 1206460,Contrat d'excavation pneumatique,"69,979.54"
CYCLONE SANTÉ INC.,,Expertises médicales,"39,945.75"
DEMIX AGREGAT,Entente 1222415,Béton,"3,851.67"
,,Abrasif - Hiver 2017-2018,"49,232.30"
DÉPÔT ALIMENTAIRE NDG,,Contribution financière : culture des fruits et légumes,"6,000.00"
,,Contribution financière : réseau des jardins NDG,"3,000.00"
,,Contribution financière,"17,250.00"
,,Achat de bacs en cèdre,"4,000.00"
,,Contribution financière : gestion des inscriptions pour les jardins communautaires de NDG,"3,000.00"
,,Réaménagement des jardins communautaires de NDG et de St-Raymond,"19,300.00"
DUOSON MULTIMEDIA INC,,Location d'équipements pour les séances du conseil d'arrondissement,"36,606.57"
ÉCHAFAUDS PLUS (LAVAL) INC,,Location de clôtures et de barricades,"5,748.74"
,,Location d'escaliers au Centre communautaire et de loisir CDN,"21,512.40"
EMMANUELLE LOSLIER,,Consultation en architecture de paysage : projets de la place de Vimy et de la Placette CDN,"26,716.50"
"Employé, matricule 548426000",,Règlement d'entente,"26,000.00"
ENGLOBE CORP.,Entente 1095990,"Contrôle qualitatif des matériaux de construction pour la réfection mineure de trottoirs, de bordures et de travaux d'utilités publiques (RMTUP) 2016","2,196.03"
,,Traitement et valorisation des sols contaminés,"24,456.02"
,,Contrôle qualitatif des matériaux de construction,"2,282.83"
,,Contrôle qualitatif des matériaux dans le cadre de la construction de saillies,"21,500.00"
,Entente 1229286,Disposition des matières résiduelles contaminées,"11,267.54"
ENTRETIEN MANA INC.,,Service d'entretien ménager,"31,895.53"
ÉRIC LORD LE JARDINIER,,Aménagement paysager : mise en place d'un jardin pour le projet Louis-Colin,"19,700.96"
,,Aménagement paysager : Placette CDN,"5,898.22"
,,Fournitures et plantation pour la Placette CDN,"8,998.52"
EXCAVATION PATRICE COUTURE INC.,,Contrat pour la démolition de la pataugeoire et pour la préparation des sols au parc Trenholme,"241,964.87"
FICHTEN SOIFERMAN ET ASSOCIÉS ARCHITECTES,,Services professionnels pour le Centre culturel Notre-Dame-de-Grâce,"35,029.99"
FONDERIE LAPERLE DIR. TUYAUTERIES CANADA LTEE,Entente 1005686,Équipements pour égouts et acqueduc,"45,599.99"
GR7 ARCHITECTURE INC.,,Centre Le Manoir et Centre communautaire NDG : Honoraires professionnels dans le cadre du projet de réfection des fenêtres,"73,052.24"
GROUPE AKIFER INC.,Entente 1197934,Échantillonnage des sols,"29,893.49"
GROUPE GEYSER INC.,,Construction du Centre culturel Notre-Dame-de-Grâce,"278,887.67"
GROUPE SDM INC,,Service de dégel de conduites - année 2017,"6,006.34"
,,Service de dégel de conduites - année 2017-2018,"24,997.86"
HYDRO-QUÉBEC,,Électricité,"1,041,288.74"
IGF AXIOM INC.,,Surveillance de chantiers dans le cadre de la construction de trottoirs élargis (saillies) sur différentes rues locales et artérielles,"48,450.62"
,,Surveillance des travaux de construction de dos d'âne allongés sur rue,"46,639.18"
IMPRIMERIE F.L. WEB INC.,,Service d'impression - Bulletin Le Citoyen,"29,090.96"
INSTA-MIX,,Achat de rouleau vibrant avec châssis,"38,344.16"
JEUNESSE BENNY,,Contribution financière : réalisation d'activités de sports et de loisirs,"43,809.00"
,,Contribution financière : réalisation de la fête Carnaval d'hiver au Parc Benny,"7,000.00"
,,Contribution financière : organisation du camp de jour Benny,"21,570.02"
K+S SEL WINDSOR LTÉE.,Entente 1222702,Sel de déglaçage - année 2017-2018,"276,360.80"
,Entente 1146352,Sel de déglaçage - année 2016-2017,"813,098.04"
LA COMPAGNIE DE CONSTRUCTION EDILBEC INC.,,Chalet du parc NDG - travaux de réaménagement et de rénovation,"1,283,695.87"
LA SEMAINE DES ARTS,,Contribution financière : organisation de la Semaine des arts,"24,000.00"
,,Contribution financière : décorations du temps des Fêtes sur l'avenue de Monkland,"15,224.38"
LAFARGE CANADA INC,Entente 1195735,Pierre concassée,"156,367.42"
,Entente 1196643,Béton pré-mélangé et remblai sans retrait,749.20
LE DEVOIR INC.,,Service de publication d'avis publics,"31,777.24"
LEBLANC ILLUMINATIONS-CANADA INC.,,"Installation, démontage et entreposage des décorations de Noël sur la rue Sherbrooke","24,186.78"
,,Décoration de Noël sur le viaduc Queen-Mary,"4,684.16"
LES CONSTRUCTIONS ARGOZY INC.,,Construction d'un mur temporaire entre deux salles du Centre communautaire de loisirs de la Côte-des-Neiges (CELO),"5,001.42"
,,Parc Mackenzie-King : aménagement de la place,"8,278.20"
,,Parc Mackenzie-King : réaménagement d'un terrain de volleyball,"12,072.38"
,,"Fondation granulaire, mise en place du bâtiment et coordination de la livraison","5,001.42"
,,Centre Trenholme : couler une nouvelle dalle de béton sur l'emplacement de l'ancien réservoir,"7,128.44"
,,Parc Georges-Saint-Pierre : réparation du muret en béton autour des jeux d'eau,"14,371.88"
,,Sentier Jean-Brillant : aménagement d'un escalier et d'un bassin de rétention,"17,752.14"
LES ENTREPRISES DE CONSTRUCTION PROFIL INC.,,Clos Madison : installation de deux unités de climatisation,"24,856.33"
,,"Parc de la Confédération et Patinoire Bleu Blanc Bouge : remplacement de 12 traverses horizontales, de 2 panneaux de bande et installation d'attaches d'acier","7,843.59"
LES ENTREPRISES DOMENICK SIGOUIN INC.,Entente 1174732,Location d'une rétrocaveuse avec opérateur,"40,603.43"
LES ENTREPRISES KEPASC,,Contrat pour des travaux d'essouchement,"404,927.51"
,,Équipe complète pour l'orage du 22-08-2017,"15,374.46"
LES ENTREPRISES VENTEC INC,,Construction de trottoirs élargis (saillies) sur différentes rues locales et artérielles,"854,533.70"
,,Parc Marie-Gérin-Lajoie : travaux de plantation,"177,041.38"
,,Parc de Kent et Parc Notre-Dame-de-Grâce : travaux d'aménagement de deux placettes multifonctionnelles,"1,111,848.48"
,,"Réfection mineure de trottoirs, de bordures et travaux d'utilités publiques","549,018.23"
LES EXCAVATIONS DDC,Entente 1201817,Location de scie à béton,"68,760.80"
LES HABITATIONS COMMUNAUTAIRES NÔTRE-DAME-DE-GRÂCE,,Contribution financière : frais d'étude de deux demandes de permis visant la transformation des bâtiments en logements sociaux situés sur Grand Boulevard,"34,996.00"
LES PAVAGES CHENAIL INC.,,Compensation pour annulation d'appels d'offres publics,"5,000.00"
,,Asphalte CH-10 hiver 2017-2018,"22,995.00"
LOCATION SAUVAGEAU INC.,,Location de voiture pour l'équipe multi - année 2017,"15,044.18"
,,Location de véhicules pour les actifs immobiliers,"6,989.33"
,,Location d'un camion spécialisé pour l'aqueduc,"14,946.74"
,,Location de quatre véhicules pour les étudiants aux études techniques - été 2017,"22,830.68"
,,Location de trois véhicules pour les étudiants aux parcs - été 2017,"9,824.61"
,,Location de deux camionnettes pour les parcs - été 2017,"19,145.64"
LOISIRS SPORTIFS CÔTE-DES-NEIGES - NOTRE-DAME-DE-GRÂCE,,Contribution financière : Gestion et exploitation,"1,158,923.00"
,,Activités tenues au parc de Kent : Hiver en Fête dans CDN-NDG,"6,828.00"
,,Contribution financière : organisation du camp de jour Simonne-Monet,"13,554.95"
,,Gestion et exploitation : contrat de service (Centre sportif NDG),"420,364.32"
,,Gestion et exploitation : contrat de service (Centre sportif CDN),"205,221.86"
,,Gestion et exploitation : contrat de service (Centre Brébeuf),"3,560.76"
,,Gestion et exploitation : contrat de service (Centre Trenholme),"6,847.56"
,,Gestion et exploitation : contrat de service (Centre de Confédération),"15,284.21"
,,Contribution financière : projet d'animation du terrain multisports au parc Nelson-Mandela,"6,304.00"
,,Animation des Jeux de Montréal 2017,"3,901.41"
,,Centre Westhill : heures de surveillance - année 2017,"15,819.09"
MAISON DES JEUNES CÔTE-DES-NEIGES,,Contribution financière : activités de loisirs,"49,800.00"
,,Contribution financière : Jeunesse 2000,"62,060.00"
MÉTA + FORME PAYSAGES INC.,,Parc de la Confédération : services professionnels en aménagement paysager pour la transformation de l'aire de jeu (2 à 5 ans),"21,718.78"
,,Parc Place Darlington : honoraires professionnels pour le service d'aménagement d'une nouvelle aire d'exercice canin,"16,728.86"
MORNEAU SHEPELL LTD.,Entente C921654,Services professionnels pour le programme d'aide aux employés - année 2017,"26,000.00"
NADEAU NADEAU BLONDIN ARCHITECTES INC.,,Pataugeoire du parc Mcdonald : transformation de la pataugeoire du parc en jeux d'eau et aménagement du paysage,"52,346.97"
NCL ENVIROTEK INC,,Parc de Kent et parc NDG : inspection des travaux de construction,"10,294.87"
,,Parc Georges-Saint-Pierre : réalisation de quatre forages géotechniques et de quatre tests de caractérisation environnementale,"9,772.88"
,,Parc Jean-Brillant : réalisation de deux forages géotechniques,"5,403.82"
,,Parc Loyola : réalisation de cinq forages géotechniques et de dix tests de caractérisation environnementale,"11,152.58"
,,Parc Trenholme : services professionnels liés au contrôle de qualité de chantier et la réalisation de tests de laboratoire,"14,176.42"
,,Chalet du Parc NDG : réaménagement et rénovations diverses,"12,314.97"
,,Parc de la Savane : réalisation de deux forages géotechniques,"4,886.44"
NEOLECT INC.,,Contrat pour l'éclairage de la place de Vimy au parc Notre-Dame-de-Grâce,"151,535.46"
PÉPINIERE A. MUCCI INC.,Entente 1214413,Mélange de terre de culture pour gazon et fosses d'arbre (parcs) - année 2017,"7,767.42"
,,Mélange de terre de culture pour gazon et fosses d'arbre (voirie) année 2017,"8,877.51"
,,Mélange de terre no 2 (parc) - année 2017,"27,757.32"
PÉPINIERES Y. YVON AUCLAIR ET FILS ENR.,,Achat d'arbres,"15,228.43"
,,Achat d'arbres pour le plan Canopée,"9,968.34"
PHOTOSYNTHÈSE INC,,Service de photographie et d'impression,"5,995.03"
,,Service de photographie : Portraits de l'arrondissement,"27,909.55"
,,Service de photographie : recadrage de 12 fichiers,"3,199.06"
PRÉVENTION CÔTE-DES-NEIGES NOTRE-DAME-DE-GRÂCE,,Contribution financière : programme TANDEM,"250,299.99"
,,Contribution financière du Fonds de développement social local pour les travailleurs affectés au milieu des aînés,"70,000.00"
RECYCLAGE NOTRE-DAME INC.,Entente 883323 et 1159087,Service de disposition des sols,"4,228.01"
,Entente 1159087,Service d'enfouissement des sols,"41,516.90"
,Entente 951328,Disposition des résidus de balais de rues et des dépôts à neige,"164,400.11"
,Entente 1225134,Disposition et traitement des sols,"50,520.02"
REMORQUAGE BL,Entente 1172756,Service de remorquage pour les opérations de déneigement - années 2016-2017,"15,176.70"
,,Service de remorquage pour les opérations de déneigement - années 2016/2017 et 2017/2018,"46,955.78"
REMORQUAGE BURSTALL CONRAD,,Service de remorquage sur le territoire CDN-NDG – année 2017,"30,290.16"
ROBINSON SHEPPARD SHAPIRO,,Règlement hors cour,"35,000.00"
ROGERS COMMUNICATIONS CANADA INC.,Entente 1137408,Frais d'utilisation de cellulaires pour la direction des travaux publics,"37,941.74"
,,"Frais d'utilisation de cellulaires pour la direction de la culture, des sports, des loisirs et du développement social","21,474.28"
,,Frais d'utilisation de cellulaires pour la direction de l'aménagement urbain,"9,080.72"
,,Frais d'utilisation de cellulaires pour la direction de l'arrondissement,"2,425.98"
,,Frais d'utilisation de cellulaires pour la direction des services administratifs,"3,759.68"
,,Frais d'utilisation de cellulaires pour le bureau des élus,"5,173.87"
SANEXEN SERVICES ENVIRONNEMENTAUX INC.,Entente 1159004,Disposition et traitement des sols contaminés catégorisés AB,"71,863.40"
SAUVER REMORQUAGES,Entente 1209430,Service de remorquage pour les opérations de déneigement,"105,776.98"
SMQ INC,,Travaux de marquage de chaussées,"44,779.00"
SNC-LAVALIN INC,,"Surveillance des travaux du contrat de la réfection mineure de trottoirs, de bordures et de travaux d'utilités publiques (RMTUP)","63,236.24"
SOCIÉTÉ CANADIENNE DES POSTES,,Frais postaux,"44,760.90"
SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES,,Contribution financière : réalisation du programme Éco-quartier,"325,000.00"
,,Contribution financière : évictions,"127,238.95"
,,Contributions financières,"20,250.00"
,,Contribution financière : gestion des inscriptions pour les jardins communautaires CDN-NDG,"3,000.01"
,,Contrat de service : aménagement de ruelles vertes,"30,441.40"
SOLMATECH INC.,Entente 1186516,Contrôle qualitatif des matériaux pour le PRR-1-2017,"70,199.14"
,,"Contrôle qualitatif pour la réfection mineure de trottoirs, de bordures et de travaux d'utilités publiques (RMTUP) 2017","8,975.52"
SOLOTECH INC,,Équipements de sonorisation pour le centre culturel NDG,"16,691.62"
,,Frais de rediffusion d'un concert aux parcs de Kent et NDG - 375e,"11,267.56"
,,Frais de réparation en lien avec la rediffusion d'un concert aux parcs de Kent et NDG,"6,551.04"
,,"Achat d'égaliseurs, de câbles, de connecteurs et d'autres équipements pour la maison de la culture NDG","16,441.21"
,,Fabrication d'un chariot Altman B50 pour la maison de la culture NDG,"2,702.75"
,,Achat d'un ensemble vocal avec un microphone et un casque d'écoute,"2,627.39"
SOLUTIONS GRAFFITI,Entente 1218236,Contrat d'enlèvement de graffitis sur le domaine privé,"9,284.24"
,,Contrat d'enlèvement des graffitis sur le domaine public et privé,"37,999.25"
(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX,,Service de fourrière et de contrôle animalier,"185,326.00"
ST-GERMAIN ÉGOUTS ET AQUEDUCS INC.,,Achat de chambres de vanne,"9,729.19"
,,Achat de chambres de vanne,"2,713.40"
,,Pièces d'aqueduc pour Madison,"13,171.74"
SYNDICAT DE COPROPRIÉTÉ DES TERRAINS BENNY FARM,,Cotisation - année 2016,"15,723.18"
,,Cotisation - année 2017,"32,948.60"
TEKNION ROY ET BRETON INC.,,Achat de mobilier pour l'aréna Bill-Durnan,"11,883.00"
,,Achat de mobilier pour l'aréna Doug-Harvey,"3,734.15"
,,Achat de bureaux pour la maison de la culture Côte-des-Neiges,"5,321.73"
,,Remplacement de mobilier à la bibliothèque Côte-des-Neiges,"24,303.05"
TELTECH TELECOMMUNICATION INC.,Entente 1225128,Signalisation pour l'aqueduc,"22,995.00"
,,Signalisation pour le bureau technique,"2,299.50"
TESSIER RÉCRÉO-PARC INC.,,Transformation de la pataugeoire du parc McDonald en jeux d'eau : fourniture de modules,"105,978.76"
,,Achat d'un lit pour la glissoire au parc de la Savane,"5,380.84"
,,Achat d'un ressort hélicoïdal pour jeux d'enfant,"5,201.46"
THE SUBURBAN NEWSPAPER,,Service de parution,"28,024.73"
TRANSELEC / COMMON INC.,Entente 1045712,Signalisation routière (de la Savane entre Décarie et Victoria),"3,025.68"
,,Signalisation routière,"39,618.90"
TRANSPORT MOTTILLO ET FILS INC.,,Réparation de drains privés sur la rue Melrose,"22,190.17"
,,Remplacement de drains privés,"15,279.26"
TRANSVRAC MONTREAL LAVAL INC.,,Transport de terre,"39,152.32"
,,Transport de terre et d'autres matériaux,"59,999.98"
,,"Transport de neige, saison 2015-2016","34,255.57"
TREMPRO CONSTRUCTION INC.,,Centre communautaire de loisirs de la Côte-des-Neiges : Travaux de réfection de la maçonnerie et travaux connexes,"1,078,720.71"
UNIBÉTON,Entente 1196052,Béton pré-mélangé pour l'aqueduc,"28,692.24"
,,Béton pré-mélangé pour la voirie,"32,833.41"
,,Béton remblai sable pour l'aqueduc,"3,483.74"
UNIVERSITÉ CONCORDIA,,Utilisation des terrains sportifs de l'université Concordia - Campus Loyola,"114,975.00"
VILLE MONT-ROYAL,,"Entente Glenmount : échange de services avec Ville Mont-Royal pour des services de sports, de loisirs et de bibliothèques","141,733.13"
WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION,,Contribution financière : réalisation d'activités de sports et de loisirs,"57,487.70"
,,Contribution financière : organisateur du camp de jour Westhaven,"17,989.17"
2946-8980 QUÉBEC INC.,,"Stationnement au 5160, boul. Décarie - janvier à juin 2017","20,157.42"
,,"Stationnement au 5160, boul. Décarie - juillet à décembre 2017","20,275.92"
9297-6646 QUÉBEC INC.,Entente 1182973,Location d'une rétrocaveuse,"172,860.82"
9499237 CANADA INC.,Entente 1172750,Service de remorquage de véhicules pour l'opération de déneigement - années 2016/2017,"24,478.75"
,,Service de remorquage de véhicules pour l'opération de déneigement - années 2016/2017 et 2017/2018 ,"45,150.49"
TOTAL :,,,"24,977,918.93"
