"Nom du fournisseur";"Entente";"Description du bon de commande";"Montant engagement";"Engagements non terminés"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Contribution financière dans le cadre de l'animation d'un centre communautaire au Pavillon Nelson-Mandela";"45 410,00 $";
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Convention de service de gré à gré pour la gestion d'un centre communautaire au Pavillon Nelson-Mandela et au Centre Appleton";"55 654,99 $";"x"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Contribution financière dans le cadre du Fonds d'urgence local de développement économique COVID-19";"13 000,00 $";
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour » pour Marcus Garvey All-star day camp 2020";"20 452,00 $";
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour »";"8 330,00 $";
"ASSOCIATION DES LOISIRS DU QUARTIER DE SNOWDON (L')";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour » pour Macdonald day camp 2020";"20 649,00 $";
"ASSOCIATION DES LOISIRS DU QUARTIER DE SNOWDON (L')";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour »";"18 375,00 $";
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA";;"Contribution financière dans le cadre du programme « Animation de loisirs »";"64 862,27 $";
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA";;"Contribution financière dans le cadre de la Politique de l'enfant 2020 « Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence » pour le projet « Les mini-Olympes »";"10 841,00 $";
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA";;"Contribution financière dans le cadre du Fonds d'urgence local de développement économique COVID-19";"11 800,00 $";
"BAU-VAL CMM";"Entente 1358370";"Service de traitement et de valorisation de matériaux (béton et asphalte)";"51 048,90 $";"x"
"BIBLIOTHÈQUE PUBLIQUE JUIVE";;"Contribution financière de 30 000 $ à la Bibliothèque publique juive - projet d'activités de sensibilisation communautaire du 2 mai 2020 au 30 avril 2021";"30 000,00 $";"x"
"BOO! DESIGN INC.";;"Service d'impression pour la maison de la culture Côte-des-Neiges";"2 874,38 $";"x"
"BOO! DESIGN INC.";;"Service d'impression pour le centre culturel de Notre-Dame-de-Grâce";"5 748,74 $";"x"
"BOO! DESIGN INC.";;"Services d'impression pour divers projets";"36 654,30 $";
"BOO! DESIGN INC.";;"Installation d'affiches dans les terrains sportifs";"2 770,89 $";"x"
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.";"Entente 1411709";"Service de location d'équipements avec opérateur pour le nettoyage de trottoirs";"37 524,39 $";
"CAFÉTÉRIA COMMUNAUTAIRE MULTICAF";;"Contrat de service pour la fourniture de repas pour les clientèles vulnérables";"38 192,00 $";
"CAFÉTÉRIA COMMUNAUTAIRE MULTICAF";;"Contribution financière dans le cadre du Fonds d'urgence local de développement économique COVID-19";"27 300,00 $";
"CARGILL SEL SÉCURITÉ ROUTIÈRE";"Entente 1429652";"Fourniture de sel de déglaçage des chaussées pour la saison hivernale 2020-2021";"147 970,00 $";"x"
"CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN)";;"Contribution financière pour la réalisation d'activités liées à la concertation jeunesse pour l'année 2020";"10 226,13 $";
"CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN)";;"Contribution financière pour le projet de réalisation de capsules vidéo autour des actions de solidarité du milieu communautaire de Côte-des-Neiges en temps de pandémie";"10 000,00 $";
"CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN)";;"Contrat pour la réalisation du projet-pilote « Brigade neige »";"10 000,00 $";
"CENTRAIDE DU GRAND MONTRÉAL";;"Contribution au fonds d'urgence de Centraide pour la mise en place de mesures d'aide à la population isolée et vulnérable du Grand Montréal en contexte de pandémie";"100 000,00 $";
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Contribution financière pour la réalisation du programme « Animation d'un centre communautaire »";"118 475,00 $";
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Entente de service pour la gestion de l'entretien sanitaire";"109 245,00 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de service de gré à gré visant la gestion d'un centre communautaire au Centre Communautaire de loisir de la Côte-des-Neiges pour l'année 2020";"142 383,00 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour »";"29 393,35 $";
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour »";"55 370,00 $";
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Contribution financière dans le cadre du Programme d'accompagnement en loisir de l'île de Montréal (PALÎM), visant à aider des personnes vivant avec des limitations fonctionnelles";"6 268,00 $";
"CENTRE COMMUNAUTAIRE MADA INC.";;"Contribution financière dans le cadre du Fonds d'urgence local de développement économique COVID-19";"30 000,00 $";
"CENTRE COMMUNAUTAIRE MONKLAND";;"Convention de service de gré à gré pour la gestion d'un centre communautaire au Centre communautaire Monkland";"84 163,43 $";"x"
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Convention de contribution financière pour la réalisation du programme « Animation de loisirs » dans le Centre communautaire Mountain Sights";"30 938,00 $";
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Convention de service de gré à gré pour la gestion du Centre communautaire Mountain Sights";"55 654,98 $";"x"
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Convention de contribution financière pour la réalisation du programme « Animation de camps de jour » dans le Centre communautaire Mountain Sights";"20 452,00 $";
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour »";"16 660,00 $";
"CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière dans le cadre du programme « Animation de loisirs » pour le Centre communautaire NDG";"30 000,00 $";
"CENTRE DE RESSOURCES COMMUNAUTAIRES DE CÔTE-DES-NEIGES";;"Convention de service de gré à gré pour la gestion d'un centre communautaire au Centre de ressources communautaire de Côte-des-Neiges et au Centre communautaire Abe-Limonchik";"155 574,52 $";"x"
"CENTRE D'ÉCOLOGIE URBAINE DE MONTRÉAL";;"Accompagnement dans la démarche de participation citoyenne dans le cadre du projet d'aménagement de la rue Jean-Brilliant";"73 042,18 $";"x"
"CLUB DE PLEIN AIR NDG";;"Contribution financière pour la réalisation du programme « Animation de loisirs » pour le Club de plein air de Notre-Dame-de-Grâce";"42 949,73 $";
"COJALAC INC.";;"Contrat pour travaux de planage et de revêtement bitumineux des chaussées";"2 360 927,53 $";"x"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière pour la réalisation du programme « Animation d'un centre communautaire » (2020-2021)";"106 478,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Entente de service pour la gestion de l'entretien sanitaire";"74 641,70 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de service visant la réalisation du projet « Gestion administrative et soutien » pour l'offre de soutien administratif et financier de plusieurs OSBL reconnus par l'arrondissement";"255 781,46 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de service de gré à gré pour la gestion d'un centre communautaire afin de permettre un accès aux citoyens aux installations du Centre communautaire Walkley";"86 881,25 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de service de gré à gré pour la gestion d'un centre communautaire afin de permettre un accès aux citoyens aux installations du Centre communautaire Saint-Raymond";"125 310,22 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Contribution financière pour la réalisation de l'activité « Ça bouge dans les parcs » dans le cadre de la Politique de l'enfant 2020 « Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence »";"15 809,06 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière pour la réalisation du programme « Animation de camps de jour » - Camps de jour Walkley, Saint-Raymond-Notre-Dame-de-Grâce et Patricia";"75 865,10 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme «Animation de camps de jour » - Camps de jour Walkley";"24 080,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Notre-Dame-de-Grâce";"18 130,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Saint-Raymond - 1er versement";"12 250,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Patricia - 1er versement";"9 800,00 $";
"COMPASS MINERALS CANADA CORP.";"Entente 1370131";"Achat de sel de déglaçage (hiver 2020)";"680 328,75 $";
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière pour aider à l'organisation des activités du festival « Balconfête - Porchfest » dans Notre-Dame-de-Grâce";"2 100,00 $";
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière dans le cadre de la Politique de l'enfant 2020 « Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence » pour le projet « Papa et moi »";"23 788,00 $";"x"
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Soutien financier pour réaliser la mission de Table de quartier conformément au cadre de référence de l'Initiative montréalaise de soutien au développement social local";"16 725,00 $";
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière afin de permettre la création d'une murale sur la façade de l'édifice au 3410, avenue Benny";"3 500,00 $";
"CONSTRUCTION BAU-VAL INC.";;"Règlement de paiement relatif au contrat de réfection de chaussée entre les rues Addington et West Broadway (décision CA20 170056)";"181 085,63 $";
"CONSTRUCTION DJL INC.";"Ententes 1339665, 1338038";"Achat d'asphalte d'été";"108 248,48 $";"x"
"CONSTRUCTION DJL INC.";"Ententes 1339665, 1338038";"Achat d'asphalte CH-10 (1er décembre au 31 mars 2021)";"10 000,00 $";"x"
"CONSTRUCTION DJL INC.";"Ententes 1339665, 1338038";"Achat d'asphalte CH-10 (1er décembre au 31 mars 2020)";"24 738,16 $";
"CONSTRUCTION EMCON INC.";;"Travaux d'aménagement du parc de la Savane - Phase 2";"1 967 157,35 $";"x"
"CONSTRUCTION JESSIKO INC.";;"Construction d'un toit sur le terrain de bocce du parc Georges-Saint-Pierre";"504 255,17 $";"x"
"CONSTRUCTION MORIVAL LTÉE";;"Travaux de réhabilitation de la cour de voirie de Darlington";"78 567,20 $";"x"
"CONSTRUCTION PIRAVIC INC.";;"Travaux de raccordement de deux fontaines à boire pour animaux aux parcs Trenholme et de la Confédération";"28 559,78 $";"x"
"CONSTRUCTION PIRAVIC INC.";;"Travaux de réfection au terrain de croquet du parc Trenholme";"5 613,08 $";
"CONSTRUCTIONS D.G.A.V. INC.";;"Contrat pour travaux de construction d'un local de rangement dans la bibliothèque de Notre-Dame-de-Grâce";"52 486,08 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière dans le cadre de la Politique de l'enfant 2020 « Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence » pour le projet « Halte-garderie mobile »";"59 745,60 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour des activités liées à la concertation et au soutien local";"60 000,00 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour le soutien à l'organisation d'activités favorisant l'inclusion, la participation et le développement des résidents de Côte-des-Neiges";"45 000,00 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière pour réaliser la mission de la Table de quartier conformément au cadre de référence de l'Initiative montréalaise de soutien au développement social local";"16 725,00 $";
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES";;"Contribution financière afin de permettre la création d'une murale sur les façades sud et est du pavillon des baigneurs du parc Martin-Luther-King";"3 000,00 $";
"CRÉATIONS TARAXACUM INC.";;"Entretien de l'aménagement paysager pour le secteur Le Triangle et le CUSM 2020";"22 995,00 $";
"CRÉATIONS TARAXACUM INC.";;"Fourniture et aménagement paysager de la rue Jean-Brilliant";"45 156,43 $";"x"
"CREUSAGE RL";"Entente 1350670";"Contrat pour des services d'excavation pneumatique pour les arrondissements de Côte-des-Neiges–Notre-Dame-de-Grâce et d'Outremont";"160 964,99 $";"x"
"CREUSAGE RL";"Entente 1350670";"Contrat pour des services d'hydro-excavation pour les arrondissements de Côte-des-Neiges–Notre-Dame-de-Grâce et d'Outremont";"46 449,90 $";"x"
"CREUSAGE RL";"Entente 1350670";"Travaux d'hydro excavation effectués au 6415, boulevard Décarie les 5 et 6 décembre 2020";"4 915,19 $";"x"
"CREUSAGE RL";"Entente 1350670";"Travaux d'hydro excavation effectués au 3220, avenue Ridgewood, les 11 et 12 décembre 2020";"5 829,24 $";"x"
"CREUSAGE RL";"Entente 1350670";"Travaux d'hydro excavation effectués au 3355, boulevard Édouard-Montpetit le 13 décembre 2020";"2 839,88 $";"x"
"C-TECHNO";;"Travaux de réfection de l'éclairage du terrain de baseball et aménagement paysager du parc Nelson-Mandela";"318 398,20 $";"x"
"CYCLO NORD SUD";;"Contribution financière visant la réalisation du projet Vélorution pour la période du 17 mars au 30 novembre 2020";"86 000,00 $";
"CYCLO NORD SUD";;"Aide financière pour le spectacle « Le Monde à bicyclette » (en remplacement de contrat résilié en raison de la COVID-19)";"2 050,00 $";
"CYCLOPE VISION INC.";;"Contrat de services professionnels en expertise de génie électrique et mécanique pour le Centre Communautaire de Loisir de la Côte-des-Neiges";"10 922,62 $";"x"
"CYCLOPE VISION INC.";;"Contrat de services professionnels en étude énergétique pour le Centre Le Manoir";"20 695,49 $";"x"
"CYCLOPE VISION INC.";;"Contrat de services professionnels en expertise de génie électrique et mécanique pour la bibliothèque de Côte-des-Neiges et la maison de la culture Côte-des-Neiges";"2 299,50 $";
"DE SOUSA";;"Contrat pour la réfection mineure de trottoirs, de bordures et de travaux d'utilité publique dans l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce";"760 364,68 $";"x"
"DEMIX AGRÉGAT";"Entente 1382085";"Achat d'abrasif pour la saison 2019-2020";"28 504,91 $";
"DEMIX AGRÉGAT";"Entente 1382085";"Achat d'abrasif pour la saison 2020-2021";"6 953,68 $";"x"
"DEMIX BÉTON";"Entente 1340657, 1340660";"Achat de béton pré-mélangé";"119 573,99 $";
"DEMIX BÉTON";"Entente 1340657, 1340660";"Achat de béton remblai sans retrait";"34 176,31 $";
"DÉNEIGEMENT ET EXCAVATION M. GAUTHIER INC.";"Entente 1411739";"Service de location d'équipements avec opérateurs pour le nettoyage des trottoirs de l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce";"73 718,83 $";
"DÉPÔT ALIMENTAIRE NDG";;"Convention de contribution financière dans le cadre du programme « Animation de jardins communautaires » et pour les activités entourant l’entretien du conteneur « Conserre » dans Notre-Dame-de-Grâce";"23 001,17 $";
"DÉPÔT ALIMENTAIRE NDG";;"Contribution financière pour la réalisation de l'activité « Collation santé » pour le Comité jeunesse de Côte-des-Neiges–Notre-Dame-de-Grâce dans le cadre de la Politique de l'enfant 2020 « Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence »";"31 074,00 $";
"DÉVELOTECH INC.";;"Achat de balises Cyclo-Zone pour pistes cyclables";"11 497,50 $";
"DÉVELOTECH INC.";;"Achat de balises centrales";"11 497,50 $";
"DÉVELOTECH INC.";;"Achats de balises pour le déploiement de corridors sanitaires";"49 324,28 $";
"DÉVELOTECH INC.";;"Achat de balises Cyclo-Zone pour pistes cyclables visant un projet de secteurs à vocation familiale";"24 558,66 $";
"DISCOUNT LOCATION D'AUTOS ET CAMIONS";"Entente 1407595";"Location de véhicules";"27 485,19 $";
"DISTRIBUTION GOMMA INC.";;"Revêtement de plancher pour la réfection du plancher de la cafétéria de la cour de voirie Madison";"41 028,25 $";"x"
"DISTRIBUTION INTERNATIONAL FOYER FC INC.";;"Acquisition de supports à vélo inoxydables";"192 588,87 $";"x"
"DISTRIBUTIONS LG INC.";;"Service de distribution d'avis";"34 078,57 $";
"DUOSON MULTIMÉDIA INC. ";;"Webdiffusion des séances de conseil d'arrondissement";"45 922,09 $";
"EBI ENVIROTECH INC.";"Entente 1421253";"Contrat de nettoyage de chambres de vannes";"79 787,62 $";"x"
"ENGLOBE CORP.";"Entente 1285089";"Contrôle qualitatif des matériaux (Programme RESEP-2-2020)";"94 286,40 $";"x"
"ENGLOBE CORP.";"Entente 1285089";"Contrôle qualitatif des matériaux (Programme RESEP-1-2020)";"97 935,70 $";"x"
"ENGLOBE CORP.";"Entente 1285089";"Surveillance environnementale lors des travaux dans le cadre du projet RESEP-1-2020";"11 454,48 $";"x"
"ENGLOBE CORP.";"Entente 1285089";"Surveillance environnementale lors des travaux dans le cadre du projet RESEP-2-2020";"11 454,48 $";"x"
"ENTREPRENEUR PAYSAGISTES STRATHMORE (1997) LTÉE";;"Contrat d'essouchement pour l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce";"138 999,03 $";"x"
"ENTRETIEN MANA INC.";"Entente 1302198";"Contrat pour les services d'entretien des locaux administratifs du 2140, avenue Madison (2e et 3e étage)";"48 248,64 $";"x"
"ENTRETIENS J.R. VILLENEUVE INC.";;"Contrat pour les services de deux balais mécaniques avec opérateurs";"35 251,34 $";
"FASKEN MARTINEAU DUMOULIN S.E.N.C.R.L., S.R.L, EN FIDEICOMMIS";;"Acquisition d'un terrain vacant de l'organisation Les YMCA du Québec situé entre l'avenue Hampton et l'avenue Royal au nord de l'avenue de Monkland aux fins de parc et de logements sociaux et communautaires";"800 000,00 $";
"FNX-INNOV INC.";;"Dépenses supplémentaires pour la conception de plans et devis pour le réaménagement de plusieurs intersections munies de feux de circulation dans l'arrondissement";"8 623,12 $";
"FNX-INNOV INC.";;"Surveillance des travaux d'infrastructure routière dans le cadre du projet Westbury (phases 2 et 3)";"96 546,80 $";"x"
"FNX-INNOV INC.";;"Étude et reconnaissance géotechnique de l'avenue Decelles entre Place Decelles et l'avenue Ellendale";"19 430,00 $";"x"
"FNX-INNOV INC.";;"Conception de plans de marquage et de signalisation en vue d'ajouter une baie de virage à gauche à l'intersection du boulevard Cavendish et de la rue Sherbrooke";"7 781,50 $";"x"
"GAGGINO AVOCATS";;"Services professionnels d'avocat";"40 000,00 $";
"GORL'EAU INC.";;"Services de dépistage de fuite pour l'arrondissement";"4 351,81 $";
"GORL'EAU INC.";;"Contrat de gré à gré pour le service de localisation et de dépistage de fuites d'eau dans l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce et d'Outremont";"43 690,50 $";"x"
"GROUPE ABS INC.";"Entente 1285142, 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet de déminéralisation sur l'avenue de Monkland";"28 078,39 $";"x"
"GROUPE ABS INC.";"Entente 1285142, 1410240";"Contrôle qualitatif des matériaux dans le cadre de travaux de construction de dos d'âne sur divers tronçons de la route";"18 608,71 $";"x"
"GROUPE ABS INC.";"Entente 1285142, 1410240";"Contrôle qualitatif des matériaux dans le cadre du projet PRR-1-2020";"35 286,00 $";"x"
"GROUPE ABS INC.";"Entente 1285142, 1410240";"Contrôle qualitatif des matériaux pour le projet RMTUP-2020";"27 639,65 $";"x"
"GROUPE ABS INC.";"Entente 1285142, 1410240";"Contrôle qualitatif des matériaux pour le projet de construction d'une baie de virage dans l'arrondissement";"19 356,33 $";"x"
"GROUPE AMEUBLEMENT FOCUS INC.";;"Achat de mobilier de bureau pour le projet de réaménagement du bureau Accès Montréal";"52 551,47 $";
"GROUPE GEYSER INC.";;"Travaux de construction du centre culturel de Notre-Dame-de-Grâce et de la bibliothèque Benny";"215 137,68 $";"x"
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Contrat de 2 ans pour le service de nettoyage et d'inspection par caméra des conduites d'égout (portion 2020)";"202 884,52 $";
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Contrat pour les services de nettoyage et vidange complets de puisards et de chambres de vanne dans l'arrondissement";"82 341,26 $";"x"
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Contrat de gré à gré pour la location de machinerie avec main-d'oeuvre pour les travaux d'hydro-excavation";"24 639,14 $";"x"
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Contrat de gré à gré pour les services de nettoyage de puisards dans l'arrondissement";"29 376,11 $";"x"
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Travaux d'hydro-excavation en urgence";"6 434,29 $";
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Travaux d'hydro-excavation pour une adresse de l'arrondissement";"11 990,44 $";
"GROUPE SANYVAN INC.";"Entente 1351878, 1430429";"Travaux réalisés dans le cadre d'une obstruction de l'égout de la Ville d'Hampstead";"18 406,06 $";
"HOCKEY MINEUR N.D.G.";;"Contribution financière en soutien pour la tenue de leurs activités en période de pandémie";"25 000,00 $";
"IGF AXIOM INC.";;"Contrat de surveillance des travaux dans le cadre du projet de réhabilitation de la cour de voirie Darlington";"41 301,21 $";"x"
"IGF AXIOM INC.";;"Services professionnels pour de l'accompagnement en signalisation de travaux";"13 370,16 $";
"IGF AXIOM INC.";;"Surveillance des travaux de la phase du projet Westbury";"19 641,34 $";"x"
"INDUKTION GROUPE CONSEIL INC.";;"Travaux de remplacement de l'éclairage du terrain de baseball et de réduction des ilots de chaleur au parc Nelson-Mandela";"20 523,03 $";"x"
"INDUKTION GROUPE CONSEIL INC.";;"Acquisition et installation des éléments d'éclairage pour les terrains sportifs au parc Martin-Luther-King (de Kent)";"48 260,76 $";"x"
"INSTITUT FRASER HICKSON MONTRÉAL";;"Contribution financière pour la réalisation de l'activité « Mini biblio plus » dans le cadre de la Politique de l'enfant 2020 « Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence »";"45 028,00 $";"x"
"ISM ART & DESIGN";;"Contrat de location, installation et désinstallation des décors lumineux hivernaux";"28 879,18 $";
"ISM ART & DESIGN";;"Décors hivernaux : transport, livraison, installation";"9 615,51 $";"x"
"JEAN-CLAUDE LAURIN";;"Honoraires professionnels, démarche de développement de leadership auprès des gestionnaires de la Direction des travaux publics";"49 369,42 $";
"JEUNESSE BENNY";;"Convention de contribution financière pour le programme « Animation de loisirs »";"44 799,63 $";
"JEUNESSE BENNY";;"Contribution financière à l'organisme Jeunesse Benny pour l'événement « Carnaval d'hiver »";"3 000,00 $";
"JEUNESSE BENNY";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour » - Benny camp";"25 565,00 $";
"JEUNESSE BENNY";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour »";"56 000,00 $";
"LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN";;"Contribution financière pour le projet de corridor écologique et vivrier Darlington";"27 000,00 $";
"LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN";;"Contribution financière pour la réalisation d'un projet temporaire d'agriculture urbaine sur le site de l'ancien Hippodrome (4 mai au 31 décembre 2020)";"26 455,00 $";
"LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN";;"Plantation de 300 arbres supplémentaires dans la zone centrale du site de l'ancien Hippodrome";"4 939,00 $";
"LABRADOR SOURCE";"Entente 1396019, 1407362";"Achat d'eau en format de quatre litres en lien avec la situation d'urgence causée par la pandémie";"34 811,06 $";
"LAFARGE CANADA INC.";"Entente 1195735, 1402405";"Achat de pierre concassée VM-2, VM-4, et pré-mélangée";"125 899,76 $";"x"
"LE PAYSAGISTE C.B.L. INC.";;"Travaux de construction de fosses d'arbres agrandies dans le cadre d'un projet de déminéralisation";"160 826,24 $";"x"
"LEMAY CO INC.";;"Convention de services professionnels multidisciplinaires en aménagement urbain pour la requalification du secteur Saint-Jacques";"38 562,62 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Ouverture des jeux d'eau en raison de la chaleur extrême";"5 064,89 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de terrassement et de drainage à l'aréna Bill-Durnan et divers travaux de nettoyage au parc Georges-Saint-Pierre";"4 189,10 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Déplacements de deux estrades au parc Loyola";"7 185,94 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de rénovation de la surface amortissante en copeaux de bois au parc Notre-Dame-de-Grâce";"23 063,98 $";"x"
"LES EXCAVATIONS SUPER INC.";;"Travaux d'aménagement d'un parc linéaire entre les rues Jean-Talon et Buchan";"1 988 966,26 $";"x"
"LES EXCAVATIONS SUPER INC.";;"Travaux de construction d'un terrain de basketball et d'aménagement de sentiers piétonniers au parc Coffee";"281 220,72 $";"x"
