"Annexe",,
"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 7 juin 2003 au 23 juillet 2004",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"Clinique de recherche Pharmascience inc.","107 998,04$","Décontamination du terrain situé au 6111, avenue Royalmount, lors de son expansion, effectuée selon les normes environnementales, tel que prévu à la convention approuvée par le conseil municipal le 17 septembre 1998 (programme Revi-Sol)"
"Communications DAZ","28 000,00$","Services professionnels de rédaction, conception et production du Guide du citoyen 2004-2006 de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"Denis Breton Chevrolet Oldsmobile ltée","69 558,60$","Fourniture de trois (3) camionnettes à cabine simple, boîte de 6,5 pi, marque Chevrolet"
"Denis Breton Chevrolet Oldsmobile ltée","33 654,17 $","Fourniture d’une camionnette à cabine double, marque Chevrolet"
"Deschênes & Perreault Construction ltée","61 285,32 $","Rénovation du chalet du parc Notre-Dame-de-Grâce"
"Entretien de piscines Soucy inc.","44 859,75 $","Amélioration de la qualité de l’eau de la pataugeoire du parc Van Horne"
"Entretien de piscines Soucy inc.","44 687,21$","Amélioration de la qualité de l’eau de la pataugeoire du parc Jean-Brillant"
"Entretien de piscines Soucy inc.","24 672,86$","Travaux de réfection à la pataugeoire du parc Mackenzie-King"
"Entretien de piscines Soucy inc.","18 404,00$","Amélioration de la qualité de l’eau de la pataugeoire du parc de Kent"
"Entretien des piscines Soucy inc.","20 014,35$","Fabrication de quatre (4) bases en béton"
"Équipements Plannord ltée","146 723,59 $","Fourniture d’une (1) chenillette avec chasse-neige et épandeur d’abrasifs, marque Bombardier"
"Fortier Auto (Montréal) ltée","41 053,40$","Fourniture d’un (1) châssis-cabine pour camion à rebuts, marque Ford"
"Gérald Théoret inc.","511 856,00 $","Reconstruction d’une (1) conduite d’eau secondaire dans les rues Frère-André et Coronet et reconstruction des trottoirs sur la rue Coronet"
"Groupe Chagnon International ltée","66 930,75$","Fourniture d’une (1) benne compactrice 20 v.c. à chargement arrière, marque Chagnon"
"Groupe Tremca","33 633,31$","Fourniture, livraison et installation de bacs à fleurs sur l’avenue Monkland"
"Hamaco inc.","45 434,88$","Rénovation du chalet du parc Gilbert-Layton"
"Hiab Québec","133 931,53$","Fourniture et installation d’une (1) grue et d’une (1) benne basculante, marque Hiab"
"Hilti","40 000,00$","Achat de petits équipements dans le cadre du renouvellement des équipements au Service des travaux publics"
"Imprimerie Web Ex inc.","51 000,00$","Impression du Guide du citoyen 2004-2006 de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"L’imprimerie J.-B. Deschamps inc.","25 000,00$","Impression du Répertoire des activités (programmation automne-hiver 2004-2005) de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"Lange Patenaude Équipement ltée","81 888,60 $","Fourniture d’une benne (1) à rebuts avec aspirateur et laveuse à pression, marque Haul-All"
"Lavaltrac Équipement inc.","42 567,30$","Fourniture d’un (1) tracteur utilitaire 4 x 4, à voie étroite (21 Ch), marque John Deere"
"Lavaltrac Équipment inc.","24 177,10$","Fourniture d’une (1) tondeuse frontale 4 x 4, plateau 72 po, marque John Deere"
"Lemay et associés et Teknika inc.","1 021 099,92 $","Projet de mise en conformité et de transformation en bibliothèque et centre communautaire du bâtiment sis au 6767, chemin de la Côte-des-Neiges"
"Les Constructions et Pavage Jeskar inc.","179 012,00$","Travaux de réhabilitation de la chaussée et revêtement bitumineux de la rue Snowdon, du boulevard Décarie à la limite est"
"Les Machines Tenco (CDN) ltée","110 205,45 $","Fourniture de deux (2) bennes basculantes quatre saisons, chasse-neige inter-essieu, marque Tenco"
"Madvac inc.","49 001,80$","Fourniture d’une (1) voiturette aspirateur, 4 roues, à trompe d’aspiration assistée, marque Madvac"
"MM. Gilles Berger et Jean Lewis","96 000,00 $","Contrat de travail à durée déterminée pour l’embauche de deux (2) personnes ressources en soutien au conseil d’arrondissement"
"Nepcon inc.","445 146,75 $","Entassement de la neige (hiver 2003-2004) sur le lieu d’élimination Royalmount"
"NIP Paysage","36 292,55$","Élaboration des plans et devis, suivi et surveillance du chantier dans le cadre du réaménagement des aires de jeux pour enfants du parc Benny"
"Prévention Notre-Dame-de-Grâce","60 500,00$","Contribution financière dans le cadre du programme Éco-quartier (district Loyola)"
"RCM Environnement inc.","11 981 551,00 $","Enlèvement, transport et élimination des déchets pour une période de cinq (5) ans débutant le 5 janvier 2004 et se terminant le 26 décembre 2008"
"Restauration D.Y.C.","151 345,93 $","Réfection de l’enveloppe de la maison de la culture Notre-Dame-de-Grâce"
"Services Matrec inc.","3 975 885,00 $","Élimination des déchets provenant de la collecte des déchets ramassés dans les secteurs couverts par des équipes d’employés municipaux pour une période de cinq ans comprise entre le 1er janvier 2004 et le 26 décembre 2008"
"Société environnementale Côte-des-Neiges","200 500,00 $","Contribution financière dans le cadre du programme Éco-quartier (districts Côte-des-Neiges, Darlington et Snowdon)"
"Société environnementale Côte-des-Neiges","19 734,85$","Poursuite de la mise en place et exécution de programmes verts"
"Société pour la prévention de la cruauté envers les animaux","66 000,00$","Contrat de service de fourrière animale pour la période du 1er janvier au 31 décembre 2004"
"Terrapro Construction inc.","356 512,00 $","Réaménagement des aires de jeu du parc Macdonald"
"Terrapro Construction inc.","143 276,35$","Travaux de réaménagement des jeux de bocce au parc Georges-Saint-Pierre"
"Tessier Récréo-parc","80 000,00$","Fourniture et installation d’équipement pour le parc de planche à roulettes de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"Valorisateur écologique","116 000,00$","Contribution financière dans le cadre du programme Éco-quartier (districts Décarie et Notre-Dame-de-Grâce) "
