"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2009 au 31 mai 2010",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C. ","138 614,20 $","Contrat de transport de neige – Hiver 2009/2010 "
"BENCO MFG INDUSTRIES INC. ","340 537,64 $","Location de tracteurs utilitaires de marque Benco, modèle TU900 2009 avec accessoires "
"BENCO MFG INDUSTRIES INC. ","43 365,76 $","Location de tracteurs utilitaires de marque Benco, modèle TU900 2009 avec accessoires "
"BENCO MFG INDUSTRIES INC. ","296 656,26 $","Location de tracteurs utilitaires de marque Benco, modèle TU900 2009 avec accessoires "
"B.P. ASPHALTE INC. ","134 185,71 $","Construction de saillies sur l’avenue de Monkland "
"B.P. ASPHALTE INC. ","23 887,80 $","Travaux routiers – réfection des trottoirs "
"B.P. ASPHALTE INC. ","3 364,41 $","Travaux routiers – réfection de trottoirs (entrée charretière) "
"B.P. ASPHALTE INC. ","17 202,66 $","Réfection de trottoirs – Manoir Notre-Dame-de-Grâce "
"B.P. ASPHALTE INC. ","4 244,34 $","Travaux routiers – réfection de trottoirs "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","28 290,22 $","Services professionnels pour l’étude de design urbain complémentaire – secteur Namur/Jean-Talon Ouest "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","18 183,95 $","Services professionnels pour la révision du concept Namur/Jean-Talon Ouest "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","4 200,00 $","Contribution financière pour le programme d’accompagnement en loisirs "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","70 000,00 $","Contribution financière "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","11 866,00 $","Contributions financières "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","230 744,00 $","Contribution financière 2010 "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","91 200,00 $","Contribution financière 2010 "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES ","140 000,00 $","Contribution financière 2010 "
"CLAULAC INC. EXPERTS-CONSEILS ","5 393,75 $","Préparation des plans pour les appels d’offres pour le Programme de réfection routière 2010 "
"CLAULAC INC. EXPERTS-CONSEILS ","5 393,75 $","Étude de géométrie – chemin Hudson "
"CLAULAC INC. EXPERTS-CONSEILS ","2 589,01 $","Projet 2140, avenue Madison – Réaménagement des plafonds du 2e étage "
"CLAULAC INC. EXPERTS-CONSEILS ","8 953,63 $","Honoraires professionnels, réaménagement du 5160, boulevard Décarie "
"CLAULAC INC. EXPERTS-CONSEILS ","3 236,25 $","Étude de géométrie – boulevard Édouard-Montpetit/avenue Louis-Colin "
"CLAULAC INC. EXPERTS-CONSEILS ","3 236,25 $","Préparation d’un plan pour soumission – chemin Hudson/avenue de Brighton "
"CLUB DE PLEIN AIR NDG ","42 000,00 $","Contribution financière 2010 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","256 517,90 $","Contrats de déneigement no 7-72/73/74/75 – hiver 2008/2009 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","5 007,56 $","Location de chargeurs – Site Pullman "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","8 913,72 $","Réfection de ruelles "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","12 114,37 $","Travaux pavé-uni "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","92 680,81 $","Chute St-Pierre – Location d’appareils avec opérateurs et signaleurs "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","2 367 920,93 $","Contrats de déneigement N72/N73/N74/N75 – hiver 2009/2010 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","379 909,00 $","Contribution financière 2010 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","162 000,00 $","Contribution financière 2010 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","70 197,50 $","Contribution financière 2010 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE ","20 550,00 $","Services professionnels – Centre communautaire Walkley "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","5 069,90 $","Location de salles, mai 2009 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","3 057,90 $","Location de salles, juin 2009 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","10 165,53 $","Location de salles, juillet 2009 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","4 262,30 $","Location de salles, août 2009"
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","5 982,50 $","Programme de mesure de soutien aux sorties scolaires en milieu culturel "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","2 761,01 $","Location de salles, septembre 2009 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","7 011,66 $","Location de salles, octobre 2009 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","11 522,53 $","Location de salles, novembre et décembre 2009 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","4 667,08 $","Location de salles, janvier 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","5 762,94 $","Location de salles, février 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","7 364,49 $","Location de salles et frais de patrouille, mars 2010 "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE ","15 600,00 $","Contribution financière 2009 "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE ","10 000,00 $","Contribution financière "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE ","15 600,00 $","Contribution financière 2010 "
"CONSTRUCTION DJL INC. ","32 866,67 $","Enroplus 0-10 – commande annuelle, du 10 janvier au 9 avril 2009 "
"CONSTRUCTION DJL INC. ","127 178,20 $","Commande annuelle 2009 – CH10 PG58-28 (MB6) ÉTÉ "
"CONSTRUCTION DJL INC. ","48 640,25 $","Commande annuelle 2009 – EB-5C (MB7) ÉTÉ "
"CONSTRUCTION DJL INC. ","380 642,32 $","Commande annuelle 2009 PRR – enrobés bitumineux EB-10C (PG58-28) "
"CONSTRUCTION DJL INC. ","10 670,41 $","Transport de résidus de béton et d’asphalte "
"CONSTRUCTION DJL INC. ","69 557,39 $","Voirie – CH10 PG58-28 (MB6-MB7) – saison 2009-2010 "
"CONSTRUCTION DJL INC. ","20 130,68 $","Enroplus 0-10 – 2010 "
"CONSTRUCTION LOUISBOURG DIVISION DE LOUISBOURG SBC SOCIÉTÉ EN COMMANDITE","636 120,32 $","Planage et revêtement bitumineux – sur l’avenue Victoria, entre le boulevard Édouard-Montpetit et la rue Jean-Talon "
"CONSTRUCTION MORIVAL LTÉE ","71 677,74 $","Réaménagement du pourtour de la pataugeoire existante et aménagement de nouveaux jeux d’eau au parc Jean-Brillant "
"CONSTRUCTIONS GEM / 23306368 QC. INC. ","14 913,72 $","Peinture et réparation de clôture au parc Notre-Dame-de-Grâce "
"CONSTRUCTIONS GEM / 23306368 QC. INC. ","4 476,82 $","Réparation de sièges de l’auditorium de la maison de la culture de Notre-Dame-de-Grâce "
"CONSTRUCTIONS GEM / 23306368 QC. INC. ","8 668,77 $","Peinture et réparation de clôtures au parc Notre-Dame-de-Grâce "
"CONSTRUCTIONS GEM / 23306368 QC. INC. ","5 010,79 $","Travaux de réparation de clôtures dans différents parcs "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","15 600,00 $","Contribution financière dans le cadre du programme d’accompagnement en loisirs de l’arrondissement "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","110 000,00 $","Contribution financière "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","2 500,00 $","Contribution financière 2010 "
"CORPORATION DE DÉVELOPPEMENT COMMUNAUTAIRE DE CÔTE-DES-NEIGES","15 600,00 $","Contribution financière 2010 "
"DUPRAS LEDOUX INGÉNIEURS ","23 732,50 $","Services professionnels en ingénierie pour l’évaluation de la problématique de corrosion à la piscine du Centre sportif Côte-des-Neiges "
"DUPRAS LEDOUX INGÉNIEURS","4 315,00 $","Analyse de la structure de la piscine du Centre sportif Côte-des-Neiges "
"DUPRAS LEDOUX INGÉNIEURS","31 675,83 $","Amélioration du système de traitement de l’eau et de filtration "
"EBC INC. ","2 092 258,95 $","Réalisation des travaux de construction du Complexe sportif et communautaire Benny "
"EBC INC. ","12 097 984,77 $","Réalisation des travaux de construction du Complexe sportif et communautaire Benny "
"EBC INC. ","7 743,35 $","Installation et fabrication d’une structure en bois pour un panneau de chantier – avenue Benny "
"EBC INC. ","2 658,04 $","Enseigne au coin du boulevard Cavendish "
"ENTREPRISES DE CONSTRUCTION PANZINI INC. ","276 540,40 $","Contrat pour la démolition des installations de natation du parc Benny et des bâtiments situés au 4230-4250, avenue Benny et au 6420-6430-6440, avenue de Monkland "
"ENTREPRISES DOMINIC PAYETTE LTÉE (LES) ","15 857,63 $","Mandat d’assistance à la gestion de projet "
"ENTREPRISES DOMINIC PAYETTE LTÉE (LES) ","42 071,25 $","Contrat de services professionnels pour assister l’arrondissement dans la gestion du projet de construction du Complexe sportif et communautaire Benny "
"ENTREPRISES DOMINIC PAYETTE LTÉE (LES) ","5 124,06 $","Services professionnels pour l’analyse de soumission et recommandation d’octroi "
"ENTREPRISES FORMES & JEUX PEB INC. ","22 457,10 $","Buts de soccer et accessoires "
"ENTREPRISES FORMES & JEUX PEB INC. ","6 645,10 $","Entreposage de modules de jeux d’eau et du système de filtration combiné pour l’aire de jeux d’eau et la pataugeoire du parc de Kent "
"ENVIRONNEMENT ROUTIER NRJ INC. ","77 408,91 $","Contrat de déneigement N76 – hiver 2008/2009 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","9 432,99 $","Contrat – collecte sélective – année 2009 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","70 118,21 $","Location de souffleuses – site Pullman "
"ENVIRONNEMENT ROUTIER NRJ INC. ","20 215,78 $","Pose d’étiquettes sur panneaux de signalisation dans CDN—NDG "
"ENVIRONNEMENT ROUTIER NRJ INC. ","201 859,34 $","Contrat de déneigement N76 – hiver 2009/2010 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","409 835,63 $","Contrat de déneigement N76 – hiver 2009/2010 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","12 171,10 $","Contrat de déneigement N76 – hiver 2009/2010 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","12 628,31 $","Contrat de déneigement N76 – hiver 2009/2010 "
"ENVIRONNEMENT ROUTIER NRJ INC. ","1 775 894,63 $","Contrat – collecte sélective – année 2010 "
"ÉQUIPEMENT SMS ","3 775,63 $","Contrat d’entretien pour le chargeur articulé – année 2009 "
"ÉQUIPEMENT SMS ","3 340,18 $","Formation dispensée aux employés de la Ville "
"ÉQUIPEMENT SMS ","187 702,50 $","Achat de deux épandeuses d’abrasif "
"ÉQUIPEMENT SMS ","2 504,73 $","Réparations effectuées sur unité Komatsu, WA320-5 SÉRIE nO A33335 "
"ÉQUIPEMENT SMS ","3 775,63 $","Entretien du chargeur articulé – année 2010 "
"ÉQUIPEMENT SMS ","2 912,63 $","Entretien du chargeur articulé nO 923-08650 "
"ÉQUIPEMENT SMS ","2 912,63 $","Entretien du chargeur articulé nO 923-08651 "
"ÉQUIPEMENT SMS ","5 825,25 $","Frais d’entretien des deux épandeuses Nido "
"EXCAVATIONS VIDOLO LIMITÉE ","84 250,38 $","Transport de rebuts – année 2010 "
"FÉDÉRATION CJA ","62 613,00 $","Contribution financière 2010 "
"FONDERIE LAPERLE ","17 744,49 $","Pièces et accessoires "
"FONDERIE LAPERLE ","11 829,66 $","Achat de pièces et d’accessoires "
"FONDERIE LAPERLE ","11 829,66 $","Achat de pièces et d’accessoires "
"FONDERIE LAPERLE ","9 126,14 $","Achat de pièces et d’accessoires "
"FONDERIE LAPERLE ","13 374,11 $","Achat de pièces et d’accessoires "
"FONDERIE LAPERLE ","8 110,56 $","Achat de pièces et d’accessoires "
"FONDERIE LAPERLE ","8 110,56 $","Achat de pièces et d’accessoires "
"FONDERIE LAPERLE ","21 341,17 $","Achat de pièces et d’accessoires "
"FORTIER AUTO (MONTRÉAL) LTÉE. ","34 733,83 $","Achat d’un camion Ford F-250 "
"FORTIER AUTO (MONTRÉAL) LTÉE.","95 817,15 $","Achat de camionnettes Ford F-150 "
"FORTIER AUTO (MONTRÉAL) LTÉE.","41 502,77 $","Fourniture d’une camionnette Ford F-150 XL, année 2010 "
"FORTIER AUTO (MONTRÉAL) LTÉE.","41 250,72 $","Fourniture d’une camionnette Ford F-250 XL, année 2011 "
"FORTIER AUTO (MONTRÉAL) LTÉE.","47 344,90 $","Fourniture d’un camion fourgon utilitaire Ford E-250, année 2010 "
"HYDRO-QUÉBEC ","25 441,51 $","Frais d’électricité 2009 "
"HYDRO-QUÉBEC ","47 240,29 $","Frais d’électricité 2009 "
"HYDRO-QUÉBEC ","876 300,00 $","Frais d’électricité 2010 "
"HYDRO-QUÉBEC ","119 500,00 $","Frais d’électricité 2010 "
"HYDRO-QUÉBEC ","22 950,19 $","Travaux électriques, branchement pour le nouveau Complexe sportif et communautaire Benny "
"IMPRIMERIES TRANSCONTINENTAL SENC ","70 263,84 $","Impression Bulletin Savoir-Faire / Édition 2009 (3 parutions) "
"IMPRIMERIES TRANSCONTINENTAL SENC ","24 474,68 $","Impression Bulletin Le Citoyen / Édition 2009 (1 parution) "
"JEUNESSE BENNY ","5 000,00 $","Festi-Faim, jeux gonflables "
"JEUNESSE BENNY ","20 266,68 $","Contribution financière 2010 "
"JEUNESSE BENNY ","40 533,32 $","Contribution financière "
"JEWISH PUBLIC LIBRARY ","28 708,00 $","Contribution financière 2010 "
"LABORATOIRES CHOISY LTÉE ","2 025,25 $","Distributeur de savon – mesures d’urgence "
"LABORATOIRES CHOISY LTÉE ","4 045,31 $","Contrat service de soutien (logiciel) "
"LABORATOIRES CHOISY LTÉE ","6 204,67 $","Offre de service pour la gestion de l’entretien sanitaire "
"LABORATOIRES CHOISY LTÉE ","23 192,91 $","Produits d’entretien "
"LAFARGE CANADA INC. ","126 044,01 $","Commande annuelle 2009 – pierre 0 ¾ 0-20 mm "
"LAFARGE CANADA INC. ","5 733,55 $","Commande annuelle 2009 – pierre nette "
"LAFARGE CANADA INC. ","44 190,36 $","Commande annuelle 2009 – remblai "
"LAFARGE CANADA INC. ","5 880,37 $","Commande annuelle 2009 – béton pré-mélangé 35 MPA "
"LAFARGE CANADA INC. ","71 932,79 $","Voirie – 0¾ 0-20 mm – Pierre pré-mélangée – Saison 2009-2010 "
"LAFARGE CANADA INC. ","4 815,71 $","Toute pierre nette – 2010 "
"LAFARGE CANADA INC. ","2 403,46 $","Remblai été 2010 – entente jusqu’au 14 avril 2010 "
"LE CENTRE CULTUREL EMPRESS ","62 100,00 $","Contribution financière – premier et deuxième versements "
"LE GROUPE DE GESTION ET DE CONSTRUCTION LOFFREDO","49 218,71 $","Réalisation des travaux de construction pour le réaménagement et la rénovation du chalet du parc Gilbert-Layton "
"LE GROUPE DE GESTION ET DE CONSTRUCTION LOFFREDO","87 684,80 $","Réalisation des travaux de construction pour le réaménagement et la rénovation du chalet du parc Gilbert-Layton "
"LE GROUPE DE GESTION ET DE CONSTRUCTION LOFFREDO","14 858,44 $","Réfection de la toiture du chalet du parc Gilbert-Layton "
"LE GROUPE DE GESTION ET DE CONSTRUCTION LOFFREDO","14 573,22 $","Réparation de la devanture du Théâtre Snowdon "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER","32 398,34 $","Services professionnels pour le réaménagement et la rénovation du chalet du parc Gilbert-Layton "
"LES ARCHITECTES FAUCHER AUBERTIN BRODEUR GAUTHIER","15 942,82 $","Services professionnels pour le réaménagement et la rénovation du chalet du parc Gilbert-Layton "
"LES CONSTRUCTIONS ET PAVAGES JESKAR INC. ","145 498,06 $","Planage de chaussées sur diverses rues de CDN–NDG "
"LES ENTREPRISES CANBEC CONSTRUCTION INC. ","506 522,70 $","Contrat de travaux pour la mise aux normes de la pataugeoire et du chalet du parc de Kent, l’aménagement de jeux d’eau et d’une aire de pique-nique. Appel d’offres AO DAI-10001-A "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","3 169,37 $","Installation d’un système de sonnerie électronique au 6767, chemin de la Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","2 900,76 $","Divers travaux correctifs à la bibliothèque interculturelle – 6767, chemin de la Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","6 732,48 $","Achat et installation de trois nouvelles portes avec serrurerie au 5160, boulevard Décarie "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","2 608,42 $","Travaux de réparation sur huit marches de l’escalier intérieur principal de la maison de la culture de Notre-Dame-de-Grâce "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","3 713,06 $","Travaux du plancher du studio A de la maison de la culture de Notre-Dame-de-Grâce en prévision de l’exposition des maquettes de la future bibliothèque Benny "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","2 638,62 $","Démantèlement et installation de trois portes et cadres en chêne "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","61 572,47 $","Travaux extérieurs d’accessibilité universelle de la bibliothèque et maison de la culture de Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","12 819,76 $","Travaux extérieurs d’accessibilité universelle de la bibliothèque et maison de la culture de Côte-des-Neiges "
"LES ENTREPRISES DE CONSTRUCTION PROFIL INC. ","32 064,13 $","Travaux de réaménagement au 5160, boulevard Décarie "
"LES ENTREPRISES VENTEC INC. ","2 589,00 $","Parc Loyola – pavage autour des deux bancs des joueurs "
"LES ENTREPRISES VENTEC INC. ","48 424,06 $","Réalisation du réaménagement de la zone nord-ouest du parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","11 611,71 $","Réalisation des travaux d’aménagement des deux espaces verts en façade de l’église Notre-Dame-de-Grâce et du centre Le Manoir Notre-Dame-de-Grâce. "
"LES ENTREPRISES VENTEC INC. ","5 124,06 $","Travaux dans l’aire de sable pour les 2 à 5 ans au parc Georges-Saint-Pierre "
"LES ENTREPRISES VENTEC INC. ","2 966,57 $","Travaux de plantation de fleurs autour du buste de José Rizal, au parc Mackenzie-King "
"LES ENTREPRISES VENTEC INC. ","5 495,29 $","Fabrication de nouvelles dalles de béton au parc du 6 décembre "
"LES ENTREPRISES VENTEC INC. ","4 207,13 $","Fabrication de nouvelles dalles de béton au parc Herbert-Outerbridge "
"LES ENTREPRISES VENTEC INC. ","4 207,13 $","Travaux urgents de soutien à la transplantation d’arbres au parc Benny "
"LES ENTREPRISES VENTEC INC. ","15 372,19 $","Reconstruction de dalles de béton et installation de 14 nouveaux bancs au parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","2 723,84 $","Travaux supplémentaires exécutés pour l’aménagement des deux espaces verts en façade de l’église Notre-Dame-de-Grâce et du Manoir Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","12 841,44 $","Asphaltage en avant et en arrière du chalet dans le cadre du projet de réaménagement de la zone nord-ouest du parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","6 688,25 $","Fourniture et pose d’une fontaine pour chiens dans l’aire canine du parc Notre-Dame-de-Grâce "
"LES ENTREPRISES VENTEC INC. ","4 207,13 $","Travaux de trottoirs – espace vert Monkland-Décarie "
"LES ENTREPRISES VENTEC INC. ","3 452,00 $","Travaux de réparation de gazon au parc Benny "
"LES ENTREPRISES VENTEC INC. ","5 555,56 $","Réaménagement de l’aire canine du parc Notre-Dame-de-Grâce. Clôture nord et asphaltage entre les entrées de l’aire canine "
"LES ENTREPRISES VENTEC INC. ","8 360,31 $","Excavation d’une tranchée et remblayage pour installer le conduit pour le téléphone, pour le chalet du parc Gilbert-Layton "
"LES ENTREPRISES VENTEC INC. ","14 109,38 $","Démolition de la piscine creusée abandonnée "
"LES ENTREPRISES VENTEC INC. ","6 957,94 $","Travaux supplémentaires à l’Îlot Bonavista "
"LES ENTREPRISES VENTEC INC. ","3 452,00 $","Réaménagement de l’aire canine du parc Notre-Dame-de-Grâce – réparation de gazon "
"LES ENTREPRISES VENTEC INC. ","6 904,00 $","Installation de deux nouveaux lampadaires dans l’espace vert Monkland-Décarie "
"LES PAVAGES CHENAIL INC. ","44 511,90 $","Voirie – Abrasifs pour chaussée et trottoirs – Saison 2009-2010 "
"LES SERVICES EAU DE GAMME INC. ","9 556,97 $","Système de filtration des pataugeoires "
"LES SERVICES EAU DE GAMME INC. ","8 300,69 $","Produits chimiques pour installations aquatiques "
"LES SERVICES EAU DE GAMME INC. ","137 737,03 $","Contrat de travaux pour l’amélioration du système de traitement de l’eau et de filtration de la piscine du Centre sportif Côte-des-Neiges, conformément aux documents de l’appel d’offres public numéro AO DAI-09013-B "
"L.M.L. PAYSAGISTE & FRÈRES INC.","2 157,50 $","Réparation du terrain synthétique du parc Georges-Saint-Pierre "
"L.M.L. PAYSAGISTE & FRÈRES INC. ","670 716,25 $","Remplacement du revêtement en gazon synthétique au parc de Kent "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","871 958,00 $","Contribution financière 2010 "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","8 000,00 $","Contribution financière 2010 "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","6 689,92 $","Travaux de peinture à la piscine du Centre sportif Côte-des-Neiges "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES ","18 241,00 $","Contributions financières "
"LVM INC. ","2 191,39 $","Contrôle qualitatif des matériaux – dalle de banc – parc Van Horne "
"LVM INC. ","6 832,06 $","Contrôle qualitatif des sols et matériaux "
"LVM INC. ","5 541,84 $","Remplacement des bornes-fontaines (contrôle de compaction) "
"LVM INC. ","21 575,00 $ ","Contrôle qualitatif des matériaux dans le cadre du projet du Complexe sportif et communautaire Benny "
"LVM INC. ","21 575,00 $","Contrôle qualitatif des matériaux dans le cadre du projet du Complexe sportif et communautaire Benny "
"LVM INC. ","21 575,00 $","Contrôle qualitatif des matériaux dans le cadre du projet du Complexe sportif et communautaire Benny, phase 3 "
"LVM INC. ","6 472,50 $","Services professionnels pour le contrôle qualitatif des sols et matériaux dans le cadre du projet de la mise aux normes de la pataugeoire et du chalet du parc de Kent "
"MAISON DE JEUNES DE LA CÔTE-DES-NEIGES INC. ","36 186,64 $","Contribution financière 2010 "
"MAISON DE JEUNES DE LA CÔTE-DES-NEIGES INC. ","72 373,34 $","Contribution financière "
"NORTRAX ","85 437,00 $","Location de quatre autoniveleuses de marque John Deere pour les mois de novembre et de décembre "
"NORTRAX ","213 592,50 $","Location de quatre autoniveleuses de marque John Deere pour les mois de janvier, de février, de mars, de novembre et de décembre 2010 "
"OCTANE INC. ","23 892,58 $","Services professionnels pour la Politique en faveur des saines habitudes de vie "
"OCTANE INC. ","7 938,42 $","Rapport du maire "
"OCTANE INC. ","2 710,17 $","Conseil stratégique et de communication Namur/Jean-Talon, du 1er juillet au 30 septembre 2009 "
"OCTANE INC. ","4 908,31 $","Conseil stratégique et de communication Namur/Jean-Talon, du 1er octobre au 30 novembre 2009 "
"OCTANE INC. ","17 426,13 $","Conseil stratégique et de communication Namur/Jean-Talon, du 1er avril au 18 juin 2009 "
"OCTANE INC. ","20 927,75 $","Savoir-faire 2010 – 4 parutions "
"OCTANE INC. ","2 087,38 $","Conseil stratégique et de communication Namur/Jean-Talon, du 1er février au 5 mars 2010 "
"PATRICK COUTU","3 775,63 $","Services professionnels, concept artistique, pour la réalisation d’une maquette et sa présentation au jury dans le cadre du projet d’art public au Centre sportif et communautaire Benny "
"PATRICK COUTU","100 863,13 $","Réalisation et installation de l’oeuvre d’art public dans le cadre de la construction du Complexe sportif et communautaire Benny, conformément à la maquette présentée lors du concours "
"PAVAGE C.S.F. INC. ","817 080,65 $","Reconstruction de trottoirs et bordures – PRR 2009 local "
"PHD ARCHITECTURE INC. ","41 424,00 $","Concours d’architecture – Complexe culturel Benny "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","145 000,00 $","Contribution financière annuelle – convention 2009 "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","80 000,00 $","Contribution financière – Opération Montréal.Net "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","20 000,00 $","Contribution financière – Opération Montréal.Net "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","6 075,00 $","Gestion des sites de compostières communautaires "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","10 028,22 $","Dépenses engagées lors de l’événement hip hop 2009 "
