"Annexe",,
"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 24 juillet 2004 au 31 mai 2005",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"Entreprise de construction T.E.Q. inc.","8 883 886,32 $","Travaux de mise en conformité et de transformation en bibliothèque et centre communautaire du bâtiment sis au 6767, chemin de la Côte-des-Neiges. Acquisition et mise en place du mobilier et des équipements premiers de la bibliothèque et du centre communautaire. Du mois d’octobre 2004 à août 2005."
"Entreprise de construction T.E.Q. inc.","167 752,46 $","Augmentation de la valeur du contrat de l’Entreprise de construction T.E.Q. inc. pour les travaux de mise en conformité et de transformation en bibliothèque et en centre communautaire du bâtiment situés au 6767, chemin de la Côte-des- Neiges. Approbation d’un avenant modifiant la convention intervenue entre la Ville et les firmes Architectes Lemay et associés (architecture) et Teknika inc. (ingéniérie de bâtiment – mécanique, électricité et structure)."
"Entretien de piscines Soucy inc.","49 218,05 $","Amélioration de la qualité de l’eau de la pataugeoire du parc Macdonald."
"Entretien de piscines Soucy inc.","49 218,05 $","Amélioration de la qualité de l’eau de la pataugeoire du parc McLynn."
"Excavation Vidolo inc.","1 284 945,10 $","Transport de rebuts et de matières recyclables, sur une durée de trois ans, du 1er janvier 2005 au 31 décembre 2007."
"Fixair inc.","116 853,19 $","Aréna Bill-Durnan: remplacement du collecteur de saumure."
"Groupe Chagnon International ltée","70 059,43 $","Fourniture d’une benne compactrice 20 V.C. à chargement arrière."
"Groupe Global inc.","17 940,84 $","Fourniture de 60 chaises empilables avec 8 chariots pour le centre Mountain Sights et de 100 chaises empilables avec 13 chariots pour le centre Saint-Raymond."
"Groupe Global inc.","23 697,08 $","Fourniture de fauteuils dessinateurs et de fauteuils opérateurs destinés aux trois étages de la nouvelle bibliothèque du 6767, chemin de la Côte-des-Neiges."
"Groupe Global inc.","23 120,49 $","Fourniture de fauteuils visiteurs et de chaises destinés à la nouvelle bibliothèque du 6767, chemin de la Côte-des-Neiges."
"Groupe Global inc.","19 402,14 $","Fourniture et installation de mobilier de bureau pour l’accueil aux lecteurs (1er étage) et pour le personnel de la bibliothèque (2e étage) destinés à la nouvelle bibliothèque du 6767, chemin de la Côte-des-Neiges."
"Groupe Global inc.","21 542,50 $","Fourniture et installation des postes de travail pour l’aire de lecture ainsi que les postes Internet (2e étage) destinés à la nouvelle bibliothèque du 6767, chemin de la Côte-des-Neiges."
"Groupe Global inc.","15 925,56 $","Fourniture et installation des postes de travail pour l’aide aux lecteurs ainsi que les postes Internet (3e étage) destinés à la nouvelle bibliothèque Côte-des-Neiges (6767, chemin de la Côte-des-Neiges)."
"J.A. Larue inc.","129 113,26 $","Fourniture d’une souffleuse portée d’une capacité de 2000 T US/Hr pour installation sur une chargeuse articulée."
"L'Association de la communauté Noire de Côte-des-Neiges (Fiduciaire) et L'association de la communauté Noire de Notre-Dame-de-Grâce","32 881,00$","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Les Entreprises d’Électricité Boileau, Déry inc.","24 159,00 $","Mise à niveau des équipements électriques du bâtiment à la bibliothèque et à la maison de la culture Notre-Dame-de-Grâce."
"Les Entreprises d’Électricité Boileau, Déry inc.","13 667,50 $","Mise à niveau des équipements électriques du bâtiment à la maison de la culture Côte-des-Neiges."
"Les entreprises Ventec inc.","280 5000,00 $","Réaménagement des aires de jeux du parc Benny dans le cadre du Programme de renouveau urbain."
"Les Machineries Tenco (CDN) ltée","58 834,63 $","Fourniture d’une benne basculante/épandeur quatre-saisons."
"Les Systèmes Espace MAX inc.","118 517,16 $","Achat de rayonnage de la bibliothèque du 6767, chemin de la Côte-des-Neiges."
"Norgereq ltée","1 821 654,50 $","Piscine de la Confédération: réfection de la piscine, réfection du pavillon des baigneurs et aménagement d’une nouvelle pataugeoire."
"Norgereq ltée","10 352,25 $","Augmentation de la valeur du contrat de Norgereq Ltée pour la mise aux normes et l’aménagement d’une pataugeoire au pavillon des baigneurs et à la piscine de la Confédération."
"Norgereq ltée","28 647,90 $","Aménagement de la pataugeoire de la Confédération et de la piscine de la Confédération."
"Postes Canada","14 649,85 $","Distribution du Guide du citoyen de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce."
"Postes Canada","7 043,60 $","Distribution du numéro de décembre 2004 du Savoir-faire, le bulletin officiel de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce."
"Postes Canada","29 316,00 $","Distribution des quatre numéros de 2005 du Savoir-faire, le bulletin officiel de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce."
"Prévention Notre-Dame-de-Grâce","19 500,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Promotion - Intégration - Société Nouvelle (PROMIS)","18 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Relais Côte-des-Neiges","25 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Roxboro Excavation inc.","338 173,50 $","Entassement de la neige sur le site de la carrière Saint-Michel (hiver 2004-2005)."
"SIARI","24 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Société environnementale Côte-des-Neiges","140 000,00$","Contribution financière dans le cadre du programme Éco-quartier (districts de Côte-des-Neiges et de Darlington)"
"Société environnementale de Côte-des-Neiges","20 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Société pour la prévention de la cruauté envers les animaux","48 000,00 $","Service de fourrière pour animaux pour la période du 1er janvier au 31 décembre 2005."
"Solotech","29 013,83 $","Achat d’un système de contrôle d’éclairage scénique pour la maison de la culture Côte-des-Neiges."
"Strongco Équipement","78 7231,10 $","Location de quatre (4) autoniveleuses et d’un chasse-neige latéral pour une période de cinq (5) mois par année, sur une durée de cinq (5) ans. Du 1er novembre 2004 au 31 mars 2009."
"Table Jeunesse de Côte-des-Neiges (fiduciaire:Carrefour Jeunesse Emploi de CDN)","24 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Tapico","32 437,05 $","Fourniture du revêtement de plancher du gymnase du centre communautaire Saint-Raymond."
"Valorisateur écologique","118 500,00$","Contribution financière dans le cadre du programme Éco-quartier (districts de Décarie et de Loyola) "
"Valorisateur Écologique","2 325,50 $","Entretien du site de compostage communautaire Madison."
