"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2006 au 31 mai 2007",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"ROLAND GRENIER CONSTRUCTION LTEE.","27 596,55 $","Construction pour le plancher de la maison de la culture CDN"
"S.P.C.A.","41 700,00 $","Contrat 2007"
"S.P.C.A.","39 600,00 $","Contrat 2006"
"SAMARKAND","4 471,38 $","Programmation des maisons de la culture, édition hiver 2007"
"SAMARKAND ","6 631,42 $","Répertoire des activités sportives et récréatives 2007-2008 "
"SAMARKAND","3 926,71 $","Programmation des maisons de la culture, édition automne 2006"
"SAMARKAND","7 340,60 $","Réalisation du Répertoire des activités sportives et récréatives"
"SAMARKAND","18 769,27 $","Rédaction, conception et production du Guide du citoyen 2007-2009 pour la période du 3 mai au 5 juillet 2006"
"SANIQUIP ","79 198,53 $","Fourniture et installation d'une benne compactrice"
"SERVICE MATREC INC.","377 089,91 $","Collecte sélective"
"SERVICE MATREC INC.","786 255,61 $","Contrat d'enfouissement externe des déchets"
"SERVICE MATREC INC.","803 923,22 $","Contrat d’élimination des déchets"
"SIGNALISATION COMO","1 060 701,25 $","Contrats de déneigement"
"SOCIETE 5160 BOUL. DECARIE.","91 348,59 $","Construction des bureaux de la Division des permis et inspections"
"SOCIETE 5160 BOUL. DECARIE.","83 121,50 $","Aménagement du nouveau bureau Accès Montréal"
"SOCIETE 5160 BOUL. DECARIE.","32 027,50 $","Réaménagement des locaux du 8e étage pour la Division des permis et inspections"
"SOCIETE 5160 BOUL. DECARIE.","16 475,87 $","Aménagement du nouveau bureau Accès Montréal"
"SOCIETE 5160 BOUL. DECARIE.","18 494,53 $","Travaux de construction - Réaménagement du bureau Accès Montréal"
"SOCIETE CANADIENNE DES POSTES","31 262,32 $","Distribution de porte en porte du bulletin saisonnier Le Savoir-faire en 2007"
"SOCIETE ENVIRONNEMENTALE COTE-DES-NEIGES ","140 000,00 $","Prolongation du contrat de l’éco-quartier "
"STRONGCO EQUIPEMENT INC.","155 571,28 $","Location d’une autoniveleuse"
"STRONGCO EQUIPEMENT INC.","117 947,31 $","Location d’une autoniveleuse et d'un chasse-neige"
"TELUS MOBILITE ","26 987,50 $","Achat de 20 appareils CTM152 pour les Travaux publics (GPS)"
"TESSIER RECREO-PARC INC.","67 070,98 $","Achat de modules de jeux - Parc Somerled"
"TESSIER RECREO-PARC INC.","9 931,40 $","Sièges pour les balançoires de bébés"
"TESSIER RECREO-PARC INC.","16 657,30 $","Remise aux normes de l'appareil Game Time et achat d'une balançoire de bébé pour le réaménagement de l'aire de jeux des 2 à 5 ans du parc Somerled"
"TESSIER RECREO-PARC INC.","64 853,84 $","Modules de jeu pour l'aire des 6-12 ans au parc Maurice-Cullen"
"TRANSCONTINENTAL MEDIAS","21 545,64 $","Placements médias"
"TRANSCONTINENTAL MEDIAS","6 821,74 $","Placements médias"
"VALGEAU INC. ","329 011,09 $","Aménagement du parc Rosemary-Brown - aires de jeux des 2 à 5 ans et des 6 à 12 ans"
"VALORISATEURS ECOLOGIQUES (VE)","118 500,00 $","Prolongation du contrat de l’éco-quartier"
"VIDOLO EXCAVATION LTD","872 871,56 $","Contrat de transport de conteneurs"
"VIE EN VERT INC. ARCHITECTES PAYSAGISTES (LA)","17 272,00 $","Services professionnels parc Trenholme - 6-12 ans"
"VIE EN VERT INC. ARCHITECTES PAYSAGISTES (LA)","32 816,80 $","Contrat de service professionnels - Parc Rosemary-Brown"
"VILLE de MONT-ROYAL","75 000,00 $","Services de loisirs et de bibliothèque de Mont-Royal 2006"
"VILLE de MONT-ROYAL","76 520,75 $","Entente entre arr. et Mont-Royal (serv. loisirs - bibliothèque) 2007"
