"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2007 au 31 mai 2008",,
,,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"HÉLOISE THIBODEAU ARCHITECTE","9 480,86 $","Services professionnels, réaménagement des toilettes et de la terrasse extérieure au chalet du parc de Kent "
"HÉLOISE THIBODEAU ARCHITECTE","9 999,63 $","Services professionnels, rapport d’état d’immeuble, chalet du parc Gilbert-Layton "
"HÉLOISE THIBODEAU ARCHITECTE","15 566,79 $","Services professionnels, rapport d’état d’immeuble, chalet du parc Maurice-Cullen "
"HÉLOISE THIBODEAU ARCHITECTE","13 031,73 $","Services professionnels, rapport d’état d’immeuble, chalet du parc MacKenzie-King "
"HYDRO-QUÉBEC","884 650,50 $","Frais d’électricité 2007 "
"HYDRO-QUÉBEC","109 413,57 $","Frais d’électricité 2007 "
"HYDRO-QUÉBEC","755 125,00 $","Frais d’électricité 2008 "
"HYDRO-QUÉBEC","107 875,00 $","Frais d’électricité 2008 "
"J.A. LARUE INC.","4 079,00 $","Travail d’atelier et main d’oeuvre "
"J.A. LARUE INC.","23 641,05 $","Location d’équipement pour le déblaiement et l’épandage d’abrasifs (2007) "
"J.B. DESCHAMPS INC.","83 789,62 $","Impression du bulletin Le Savoir-faire 2007 (Quatre éditions) "
"JEUNESSE BENNY","2 500,00 $","Paiement d’une facture dans le cadre de Festi-faim "
"JEUNESSE BENNY","9 953,00 $","Réception dans les différents parcs de l’arrondissement, été 2007 "
"JEUNESSE BENNY","60 800,00 $","Contribution financière "
"JEWISH PUBLIC LIBRARY","28 708,00 $","Contribution financière "
"LA MAISON DU PEINTRE","3 778,25 $","Peinture "
"LA MAISON DU PEINTRE","6 525,80 $","Peinture "
"LA MAISON DU PEINTRE","2 179,26 $","Peinture pour graffitis, projet Opération Montréal.net "
"LA MAISON DU PEINTRE","2 157,50 $","Accessoires pour peinture "
"LA MAISON DU PEINTRE","8 630,00 $","Peinture et teinture pour graffitis "
"LA MAISON DU PEINTRE","3 011,81 $","Peinture pour les terrains de jeux "
"LA MAISON DU PEINTRE","2 137,41 $","Peinture "
"LA MAISON DU PEINTRE","3 303,27 $","Peinture pour les terrains de jeux "
"LAFARGE CANADA INC.","84 730,42 $","Commande de pierre "
"LAFARGE CANADA INC.","105 178,13 $","Commande de pierre "
"LAFARGE CANADA INC.","22 355,07 $","Commande de pierre "
"L’EMPREINTE IMPRIMERIE","10 296,27 $","Impression des dépliants de la programmation des maisons de la culture, automne 2007 "
"L’EMPREINTE IMPRIMERIE","4 523,11 $","Impression dépliant « Les cinq règles d’or de la propreté » "
"L’EMPREINTE IMPRIMERIE","9 473,44 $","Impression des dépliants de la programmation des maisons de la culture, hiver 2008 "
"L’EMPREINTE IMPRIMERIE","3 880,80 $","Dépliant "
"L’EMPREINTE IMPRIMERIE ","83 603,71 $","Impression du bulletin Le Savoir-faire, édition 2008 (quatre parutions) "
"LES CONSTRUCTIONS ET PAVAGES JESKAR INC.","217 691,97 $","Planages de chaussées bitumineuses "
"LES ENTREPRISES VENTEC INC.","4 264,03 $","Travaux additionnels au parc Van Horne "
"LES ENTREPRISES VENTEC INC.","9 391,65 $","Réalisation de la dalle de béton pour l’abri au parc Georges-Saint-Pierre "
"LES ENTREPRISES VENTEC INC.","17 924,20 $","Réfection des sentiers au parc Coffee "
"LES ENTREPRISES VENTEC INC.","4 746,50 $","Parc Loyola, pavage autour des deux bancs des joueurs "
"LES ENTREPRISES VENTEC INC.","125 295,90 $","Travaux au parc de la Confédération "
"LES ENTREPRISES VENTEC INC.","205 623,59 $","Travaux de construction pour le réaménagement du parc de Dunkerque "
"LES MACHINERIES TENCO (CDN) LTÉE","18 323,65 $","Entretien et garantie prolongée pour une souffleuse à neige "
"LES MACHINERIES TENCO (CDN) LTÉE","148 971,00 $","Achat d’une souffleuse à neige "
"LES SERVICES EAU DE GAMME INC.","15 547,93 $","Produits chimiques "
"LES SERVICES EAU DE GAMME INC.","10 795,00 $","Services professionnels pour l’aménagement de jeux d’eau au parc MacKenzie-King "
"LES TOITURES VICK ET ASSOCIÉS INC.","24 964,43 $","Déneigement des toitures, Aréna Bill-Durnan, Aréna Doug-Harvey, Centre Le Manoir NDG et Centre Monkland "
"LES TOITURES VICK ET ASSOCIÉS INC.","5 048,55 $","Déneigement des toitures du Centre Le Manoir NDG et du Centre Loyola "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES","803 837,00 $","Convention de partenariat "
"LOISIRS SPORTIFS CÔTE-DES-NEIGES","68 121,00 $","Convention de partenariat "
"LONGUS ÉQUIPEMENT INC.","7 866,00 $","Réparation de tracteurs"
"LONGUS ÉQUIPEMENT INC.","4 721,00 $","Réparation de tracteurs "
"LONGUS ÉQUIPEMENT INC.","6 476,17 $","Commande annuelle pour la réparation d’une rétrocaveuse "
"LONGUS ÉQUIPEMENT INC.","35 772,86 $","Commande annuelle de location d’une rétrocaveuse "
"LVM TECHNISOL INC.","11 704,03 $","Contrôle qualitatif des matériaux "
"LVM TECHNISOL INC.","11 196,65 $","Contrôle qualitatif, divers projets "
"LVM TECHNISOL INC.","10 391,27 $","Services professionnels en génie pour la caractérisation des hauts-mâts au parc Loyola "
"LVM TECHNISOL INC.","13 320,41 $","Services professionnels, contrôle qualitatif des sols et matériaux à la piscine du parc de Kent "
"LVM TECHNISOL INC.","4 736,73 $","Services professionnels pour le contrôle qualitatif des matériaux au parc de Dunkerque "
"MAISON DE JEUNES DE LA CÔTE-DES-NEIGES INC.","21 100,00 $","Convention de partenariat "
"MAISON DE JEUNES DE LA CÔTE-DES-NEIGES INC.","27 100,00 $","Convention de partenariat "
"MAISON DE JEUNES DE LA CÔTE-DES-NEIGES INC.","60 360,00 $","Convention de partenariat "
"META + FORME","5 977,74 $","Services professionnels pour le réaménagement du secteur avant du pavillon des baigneurs au parc de Kent "
"META + FORME","2 901,84 $","Honoraires pour le volet génie électrique du réaménagement du pavillon des baigneurs du parc de Kent "
"META + FORME","2 038,84 $","Services professionnels en architecture de paysage, aire de jeux du parc Jean-Brillant "
"META + FORME","11 069,16 $","Services professionnels en architecture de paysage pour le réaménagement au parc Jean-Brillant "
"META + FORME","22 318,66 $","Services professionnels en architecture du paysage au parc de la Confédération "
"MICHAEL PUBLISHING INC.","8 069,38 $","Placements médias "
"MICHAEL PUBLISHING INC.","8 630,00 $","Placements médias "
"MICHAEL PUBLISHING INC.","20 562,48 $","Placements médias (avis publics) "
"MICHAEL PUBLISHING INC.","2 389,15 $","Placements médias "
"MICHAEL PUBLISHING INC.","2 847,90 $","Placements médias "
"MICHEL GOHIER LTÉE","38 767,18 $","Achat et installation de deux bennes basculantes en aluminium avec accessoires "
"MICHEL GOHIER LTÉE","43 701,03 $","Achat et installation d’une benne basculante pour enrobage bitumineux "
"MICHEL GOHIER LTÉE","95 566,98 $","Achat et installation de quatre bennes basculantes en acier "
"MULTI-SURFACES - F GIGUÈRE INC.","6 315,09 $","Travaux de reprofilage de l’avant-champ du terrain de baseball au parc Loyola "
"MULTI-SURFACES - F GIGUÈRE INC.","19 431,00 $","Travaux sur les terrains de soccer de l’arrondissement, 2007 "
"NIP PAYSAGE","33 000,32 $","Services professionnels pour le réaménagement des aires de jeux au parc de Dunkerque "
"NORGEREQ LTÉE","10 795,00 $","Services professionnels, piscine du parc de la Confédération "
"NORGEREQ LTÉE","1 631 261,28 $","Contrat de construction, piscine du parc de Kent"
"OCTANE INC.","4 195,74 $","Honoraires pour travaux de conception graphique"
"OCTANE INC.","15 863,96 $","Conception graphique du bulletin le Savoir-faire 2008"
"OCTANE INC.","4 665,59 $","Réalisation du Plan d’action famille "
"PAUL GRONDIN (1969) INC.","280 149,92 $","Réfection du système de chauffage au Centre Le Manoir NDG "
"PAYSAGISTE ROGER MARTEL INC.","57 054,50 $","Travaux d’élagage "
"PÉPINIÈRES Y. YVON AUCLAIR ET FILS ENR.","2 797,24 $","Parc Trenholme, aménagement de l’aire de jeux des 6-12 ans "
"PÉPINIÈRES Y. YVON AUCLAIR ET FILS ENR.","2 729,78 $","Achat de plantes et arbustes pour le parc Maurice-Cullen "
"PÉPINIÈRES Y. YVON AUCLAIR ET FILS ENR.","10 346,48 $","Achat d’arbustes et graminés pour le parc Rosemary-Brown "
"PÉPINIÈRES Y. YVON AUCLAIR ET FILS ENR.","13 829,46 $","Achat d’arbres pour le parc Maurice-Cullen "
"PÉPINIÈRES Y. YVON AUCLAIR ET FILS ENR.","15 486,00 $","Achat de végétaux pour le parc de Dunkerque "
"PÉPINIÈRES Y. YVON AUCLAIR ET FILS ENR.","3 732,48 $","Achat de végétaux pour le parc de la Confédération "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","4 434,61 $","Opération Montréal.net, projet de prévention des graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","4 300,13 $","Opération Montréal.net, projet de prévention des graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","6 296,47 $","Opération Montréal.net, enlèvement de graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","4 150,68 $","Opération Montréal.net, projet de prévention des graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","4 180,16 $","Opération Montréal.net, projet de prévention des graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","32 847,13 $","Opération Montréal.net, enlèvement de graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","21 068,13 $","Opération Montréal.net, projet de prévention des graffitis "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","30 000,00 $","Contribution financière "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","2 098,80 $","Congrès sur les gangs de rue du 28 au 31 oct. 2007 "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","88 875,00 $","Contribution financière à Éco-Quartier "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","242 800,00 $","Contribution financière 2008 "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","100 000,00 $","Contribution financière, campagne de propreté "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE","15 281,06 $","Opération Montréal.net, enlèvement de graffitis "
"QUÉBÉCOR WORLD ST-JEAN","27 008,01 $","Livres et revues "
"RCM ENVIRONNEMENT INC.","2 386 678,15 $","Contrat de collecte et élimination des déchets "
"RCM ENVIRONNEMENT INC.","2 265 375,00 $","Contrat collecte, transport et élimination des déchets domestiques, année 2008 "
"REBUTS SOLIDES CANADIENS INC.","1 788 062,72 $","Collecte sélective "
"REBUTS SOLIDES CANADIENS INC.","1 867 311,71 $","Collecte sélective de matières recyclables "
"RIVE SUD CHRYSLER DODGE INC.","70 059,19 $","Camion utilitaire neuf pour la section aqueduc et égout "
"RIVE SUD CHRYSLER DODGE INC.","66 415,51 $","Camion utilitaire pour la section aqueduc et égout "
"ROBERT BOILEAU INC.","8 198,50 $","Garantie prolongée et entretien de base pour les surfaceuses à glace "
"ROBERT BOILEAU INC.","290 774,12 $","Surfaceuses à glace électriques pour les arénas Doug-Harvey et Bill-Durnan "
"SERVICES MATREC INC.","193 397,83 $","Collecte sélective "
"SERVICES MATREC INC.","785 330,00 $","Contrat pour l’élimination des déchets, année 2008 "
"SERVICES MATREC INC.","198 806,48 $","Collecte sélective de matières recyclables "
"SIFTO CANADA CORP.","367 102,22 $","Commande de sel "
"SIFTO CANADA CORP.","309 812,69 $","Commande de sel 2008 "
"SITE INTÉGRATION PLUS INC.","206 449,02 $","Réfection de l’éclairage au parc Loyola "
"SOCIÉTÉ CANADIENNE DES POSTES","37 950,14 $","Service de de distribution des quatre bulletins “Le Savoir-faire” 2007 "
"SOCIÉTÉ CANADIENNE DES POSTES","45 109,18 $","Service de de distribution des quatre bulletins “Le Savoir-faire” 2008 "
"SOCIÉTÉ EN COMMANDITE STRONGCO","6 665,25 $","Réparation rétrocaveuse 2007 "
"SOCIÉTÉ EN COMMANDITE STRONGCO","3 330,72 $","Réparations d’autoniveleuses "
"SOCIÉTÉ EN COMMANDITE STRONGCO","156 218,98 $","Location d’une autoniveleuse "
"SOCIÉTÉ EN COMMANDITE STRONGCO","147 659,30 $","Commande annuelle de location pour une autoniveleuse "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","2 004,28 $","Sites de compostage "
