iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
18,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Couvent de la Trinité","2b - Les villages agricoles","Ancien couvent des sœurs de la Congrégation de Notre-Dame conçu par l’architecte Joseph-Omer Marchand. Les sœurs s’établissent à Pointe-aux-Trembles dans une maison de bois en 1690. Leur premier couvent est bâti en 1754 puis remplacé par un autre en 1878. Il est détruit par un incendie en 1922 et remplacé par le bâtiment actuel. Depuis janvier 2016, le bâtiment abrite la mairie de l'arrondissement et divers services municipaux.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancien couvent des sœurs de la Congrégation de Notre-Dame conçu par l’architecte Joseph-Omer Marchand. Les sœurs s’établissent à Pointe-aux-Trembles dans une maison de bois en 1690. Leur premier couvent est bâti en 1754 puis remplacé par un autre en 1878. Il est détruit par un incendie en 1922 et remplacé par le bâtiment actuel. Depuis janvier 2016, le bâtiment abrite la mairie de l'arrondissement et divers services municipaux.","1924","Oui","https://www.flickr.com/photos/parcoursriverain/38294375221/in/datetaken-public/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","12090, rue Notre-Dame Est  Montréal QC, Canada","https://farm5.staticflickr.com/4534/38294375221_9d8be1a0d7_q.jpg",45.640499,-73.489197,305642.172168,5055622.635456,"Point"
19,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Plaque, monument",,"2b - Les villages agricoles","Monument aux anciens combattants.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Monument aux anciens combattants.",,"Non","https://www.flickr.com/photos/parcoursriverain/37583021854/in/datetaken-public/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","Montréal QC, Canada","https://farm5.staticflickr.com/4572/37583021854_5e3181b334_q.jpg",45.640301,-73.490601,305532.739952,5055600.576811,"Point"
20,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Ancienne Académie Roussin","2b - Les villages agricoles","Ancien collège pour garçons fondé par les Frères du Sacré-Cœur et bâti en 1915 selon les plans de l’architecte Charles-Aimé Reeves. Il sert de polyvalente de 1971 jusqu’en 1983. Transformé en centre communautaire en 1984.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancien collège pour garçons fondé par les Frères du Sacré-Cœur et bâti en 1915 selon les plans de l’architecte Charles-Aimé Reeves. Il sert de polyvalente de 1971 jusqu’en 1983. Transformé en centre communautaire en 1984.","1915","Oui","http://www.flickr.com/photos/parcoursriverain/8497563305/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0555-46-8954-01","12085-12120, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8110/8497563305_2ffb789f04_q.jpg",45.640499,-73.490601,305532.737366,5055622.621661,"Point"
21,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"2b - Les villages agricoles","Maisons construites après l’incendie de 1912 qui détruit 24 maisons en plein cœur du village de Pointe-aux-Trembles. La municipalité profite alors de l’occasion pour reconstruire la rue Saint-Jean-Baptiste et en faire un boulevard urbain avec arbres, luminaires et bancs, un aménagement remplacé par la place actuelle en 2014.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maisons construites après l’incendie de 1912 qui détruit 24 maisons en plein cœur du village de Pointe-aux-Trembles. La municipalité profite alors de l’occasion pour reconstruire la rue Saint-Jean-Baptiste et en faire un boulevard urbain avec arbres, luminaires et bancs, un aménagement remplacé par la place actuelle en 2014.","Vers 1920","Non","http://www.flickr.com/photos/parcoursriverain/8498667110/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","76, boulevard Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8532/8498667110_510faafc6f_q.jpg",45.639702,-73.489899,305587.465935,5055534.024983,"Point"
22,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"2b - Les villages agricoles","Maisons construites après l’incendie de 1912 qui détruit 24 maisons du village de Pointe-aux-Trembles. La municipalité profite alors de l’occasion pour reconstruire la rue Saint-Jean-Baptiste et en faire un boulevard urbain avec arbres, luminaires et bancs, un aménagement remplacé par la place actuelle en 2014.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maisons construites après l’incendie de 1912 qui détruit 24 maisons du village de Pointe-aux-Trembles. La municipalité profite alors de l’occasion pour reconstruire la rue Saint-Jean-Baptiste et en faire un boulevard urbain avec arbres, luminaires et bancs, un aménagement remplacé par la place actuelle en 2014.","Vers 1920","Non","http://www.flickr.com/photos/parcoursriverain/8498667432/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","38-48, boulevard Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8519/8498667432_c1d4af007b_q.jpg",45.639599,-73.488899,305665.381447,5055522.588926,"Point"
23,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"2b - Les villages agricoles","Maisons construites après l’incendie de 1912. La municipalité profite alors de la destruction de 24 maisons pour reconstruire la rue Saint-Jean-Baptiste et en faire un boulevard urbain avec arbres, luminaires et bancs, un aménagement remplacé par la place actuelle en 2014.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maisons construites après l’incendie de 1912. La municipalité profite alors de la destruction de 24 maisons pour reconstruire la rue Saint-Jean-Baptiste et en faire un boulevard urbain avec arbres, luminaires et bancs, un aménagement remplacé par la place actuelle en 2014.","Vers 1920","Non","http://www.flickr.com/photos/parcoursriverain/8497566893/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","62-72, boulevard Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8382/8497566893_5e996c28ab_q.jpg",45.639599,-73.489601,305610.66317,5055522.581586,"Point"
24,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison François-Bau","2b - Les villages agricoles","Maison villageoise ayant été épargnée par le feu de 1912.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Maison villageoise ayant été épargnée par le feu de 1912.","Vers 1880","Non","http://www.flickr.com/photos/parcoursriverain/8498669576/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","11949, rue Saint-Joseph  Montréal QC, Canada","http://farm9.staticflickr.com/8365/8498669576_6738fc6b18_q.jpg",45.638802,-73.4897,305602.942627,5055433.977266,"Point"
25,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Parc","Parc du Fort-de-Pointe-aux-Trembles","4b - Les parcs en rive","Parc situé à l’emplacement du fort français érigé en 1675. Offre des vues sur les activités maritimes du fleuve ainsi que sur Boucherville et ses îles.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Parc situé à l’emplacement du fort français érigé en 1675. Offre des vues sur les activités maritimes du fleuve ainsi que sur Boucherville et ses îles.",,"Oui","https://www.flickr.com/photos/parcoursriverain/15303063028/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","Montréal QC, Canada","https://farm3.staticflickr.com/2947/15303063028_7819ca67a1_q.jpg",45.640099,-73.487701,305758.750853,5055578.138619,"Point"
26,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Équipement maritime",,"3 - L'eau, une ressource à exploiter et contrôler","Quai utilisé notamment par les Chaloupiers de Montréal pour leurs différents services aux navires.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Quai utilisé notamment par les Chaloupiers de Montréal pour leurs différents services aux navires.","Début du XXe siècle","Non","http://www.flickr.com/photos/parcoursriverain/8497567451/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8521/8497567451_9fc810f76f_q.jpg",45.639702,-73.487297,305790.280047,5055534.053839,"Point"
27,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Site autochtone préhistorique (BkFi-034)","1 - L'archipel montréalais et la présence amérindienne","Découverte d’éclats de pierre taillée et de tessons de poteries autochtones datant de la période sylvicole (de 3 000 ans avant aujourd'hui jusqu'à l'arrivée de Jacques Cartier en 1534).","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Non accessible ou non visible","Découverte d’éclats de pierre taillée et de tessons de poteries autochtones datant de la période sylvicole (de 3 000 ans avant aujourd'hui jusqu'à l'arrivée de Jacques Cartier en 1534).",,"Non",,,"Montréal QC, Canada",,45.680599,-73.490898,305509.035617,5060079.086058,"Point"
28,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Tracé","Tracé de la rue Notre-Dame Est","2 - Les cours d'eau pour commercer et s'établir","L’actuel tracé de la rue Notre-Dame Est date de 1841, moment où on a déplacé plus au nord le chemin du Roy emporté par les crues répétées du fleuve.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","L’actuel tracé de la rue Notre-Dame Est date de 1841, moment où on a déplacé plus au nord le chemin du Roy emporté par les crues répétées du fleuve.","1841","Non","http://www.flickr.com/photos/parcoursriverain/8498671214/","http://ville.montreal.qc.ca/portal/page?_pageid=8817%2C99661585&_dad=portal&_schema=PORTAL, http://ville.montreal.qc.ca/portal/page?_pageid=5677%2C57579590&_dad=portal&_schema=PORTAL","Montréal QC, Canada","http://farm9.staticflickr.com/8379/8498671214_10bba16bc1_q.jpg",,,,,"LineString"
29,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Antoine-Beaudry","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite pour Antoine Beaudry, elle demeure dans la famille Beaudry pendant près de 200 ans. Son grand terrain a servi de site de camping entre 1963 et 1983. Acquise par la Ville de Montréal en 1983 pour devenir un lieu de diffusion culturelle.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme construite pour Antoine Beaudry, elle demeure dans la famille Beaudry pendant près de 200 ans. Son grand terrain a servi de site de camping entre 1963 et 1983. Acquise par la Ville de Montréal en 1983 pour devenir un lieu de diffusion culturelle.","Entre 1731 et 1777","Oui","http://www.flickr.com/photos/parcoursriverain/8497570907/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0559-44-1706-01, http://www.amisdelaculture.org/maison_beaudry.html","14678, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8530/8497570907_07563f5a9b_q.jpg",45.676601,-73.491203,305485.311221,5059634.791895,"Point"
30,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Site archéologique de la maison Antoine-Beaudry (BkFi-033)","2 - Les cours d'eau pour commercer et s'établir","Découvertes associées aux activités agricoles et domestiques de la maison : des vestiges de dépendances, d'un puits et de latrines.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Non accessible ou non visible","Découvertes associées aux activités agricoles et domestiques de la maison : des vestiges de dépendances, d'un puits et de latrines.",,"Non",,,"14678, rue Notre-Dame Est  Montréal QC, Canada",,45.676399,-73.491402,305469.859954,5059612.321284,"Point"
31,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Pierre-Beauchamp","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme située à l’écart de la rue Notre-Dame. Son orientation face au fleuve est due à l’emplacement initial du chemin du Roy entre la maison et le rivage.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme située à l’écart de la rue Notre-Dame. Son orientation face au fleuve est due à l’emplacement initial du chemin du Roy entre la maison et le rivage.","Entre 1764 et 1790","Oui","http://www.flickr.com/photos/parcoursriverain/8498674394/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0559-45-5122-01","10, 64e Avenue  Montréal QC, Canada","http://farm9.staticflickr.com/8096/8498674394_0225d1816e_q.jpg",45.677601,-73.491096,305493.620085,5059745.865662,"Point"
32,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Jean-Baptiste-Langlois","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme, parfois appelée à tort maison Pascal-Beauchamp, construite pour Jean-Baptiste et Raphaël Langlois. Son orientation face au fleuve est due à l'emplacement initial du chemin du Roy entre la maison et le rivage.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme, parfois appelée à tort maison Pascal-Beauchamp, construite pour Jean-Baptiste et Raphaël Langlois. Son orientation face au fleuve est due à l'emplacement initial du chemin du Roy entre la maison et le rivage.","Vers 1755","Oui","http://www.flickr.com/photos/parcoursriverain/8498674352/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0559-31-8447-01","14490, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8372/8498674352_d98d8f38f3_q.jpg",45.674099,-73.491699,305446.705848,5059356.681796,"Point"
33,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Langlois","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme bâtie pour André Langlois et Louis Tenant. Son orientation face au fleuve est due à l'emplacement initial du chemin du Roy entre la maison et le rivage.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme bâtie pour André Langlois et Louis Tenant. Son orientation face au fleuve est due à l'emplacement initial du chemin du Roy entre la maison et le rivage.","Entre 1751 et 1825","Oui","http://www.flickr.com/photos/parcoursriverain/8498674452/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0559-40-0847-01","20-24, 58e Avenue  Montréal QC, Canada","http://farm9.staticflickr.com/8230/8498674452_fbb4bd2fde_q.jpg",45.673302,-73.491898,305431.260443,5059268.076354,"Point"
34,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Louis-Beaudry ou Joseph-Brodeur","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme bâtie pour Joseph Brodeur. Son orientation face au fleuve est due à l'emplacement initial du chemin du Roy entre la maison et le rivage.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Non accessible ou non visible","Ancienne maison de ferme bâtie pour Joseph Brodeur. Son orientation face au fleuve est due à l'emplacement initial du chemin du Roy entre la maison et le rivage.","Entre 1814 et 1829","Oui",,"http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0557-39-8312-01","4, 43e Avenue  Montréal QC, Canada",,45.6632,-73.492104,305415.322117,5058145.477644,"Point"
35,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Bénard","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme située autrefois sur la 19e Avenue. Elle a été déménagée en 1922 sur son site actuel.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme située autrefois sur la 19e Avenue. Elle a été déménagée en 1922 sur son site actuel.","Vers 1890","Non","http://www.flickr.com/photos/parcoursriverain/8497589215/",,"12413, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8521/8497589215_14ab5a87cc_q.jpg",45.645,-73.489799,305595.122896,5056122.878032,"Point"
36,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Omer-Lamarche","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme ayant appartenu à la famille Lamarche pendant près de 100 ans. Aujourd’hui intégrée à un complexe immobilier.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme ayant appartenu à la famille Lamarche pendant près de 100 ans. Aujourd’hui intégrée à un complexe immobilier.","Vers 1890","Oui","http://www.flickr.com/photos/parcoursriverain/8498692772/",,"13101, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8529/8498692772_47b5d9d639_q.jpg",45.654202,-73.490601,305532.558736,5057145.413954,"Point"
37,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Maison Dubreuil","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite pour Magloire Dubreuil par le menuisier Isidore Larose.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Ancienne maison de ferme construite pour Magloire Dubreuil par le menuisier Isidore Larose.","Vers 1857","Non","http://www.flickr.com/photos/parcoursriverain/8498692392/",,"12198, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8505/8498692392_b8e932da5c_q.jpg",45.641899,-73.488998,305657.614421,5055778.223352,"Point"
38,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Équipement maritime",,"4 - Les rivages, espaces de bien-être et de loisirs","Rampe de mise à l’eau.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Rampe de mise à l’eau.",,"Non","http://www.flickr.com/photos/parcoursriverain/8498693044/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8094/8498693044_69a5868369_q.jpg",45.658699,-73.489197,305641.89946,5057645.253747,"Point"
39,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Équipement maritime","Marina de Pointe-aux-Trembles","4 - Les rivages, espaces de bien-être et de loisirs","Marina privée.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Marina privée.",,"Non","http://www.flickr.com/photos/parcoursriverain/8497589133/",,"12746A, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8384/8497589133_c25132db91_q.jpg",45.6492,-73.487602,305766.326215,5056589.660045,"Point"
40,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Vestiges de la maison Hugh-Allan","4 - Les rivages, espaces de bien-être et de loisirs","Vestiges d’une ancienne maison de ferme bâtie en 1877 et achetée par Hugh Allan pour en faire une maison de villégiature. Détruite par un incendie en 1998, elle est aujourd’hui évoquée grâce à des structures d’acier.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Vestiges d’une ancienne maison de ferme bâtie en 1877 et achetée par Hugh Allan pour en faire une maison de villégiature. Détruite par un incendie en 1998, elle est aujourd’hui évoquée grâce à des structures d’acier.","1877","Non","http://www.flickr.com/photos/parcoursriverain/8498693062/",,"15024, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8095/8498693062_938fdf62dc_q.jpg",45.681599,-73.491096,305493.57069,5060190.157246,"Point"
