IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Année de construction,Type structure,Charg. conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,latitude,longitude,X,Y
202116,81-01206,Boulevard Lacordaire,Autoroute 40,,14 - Arrondissement Saint-Léonard,1964,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/09/23,1932,,45.5823436499654,-73.5889346930771,297860,5049163
202117,81-01207,Boulevard Viau,Autoroute 40,,14 - Arrondissement Saint-Léonard,1964,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/04/19,1928,,45.5763165920745,-73.5943406950718,297437,5048494
202025,81-01208,Rue Larrey,Autoroute 25,,09 - Arrondissement Anjou,1999,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,97",4,2015/09/23,1035,,45.6132796178137,-73.5881589308785,297924,5052601
6035822,81-01301,Boul. des Galeries d'Anjou,La coulée verte du ruisseau De Montigny,,09 - Arrondissement Anjou,2001,Ponceau voûté en béton armé,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,92",4,2017/08/22,,,45.6090055854528,-73.5941141790717,297459,5052127
6035831,81-01351,Rue Pascal-Gagnon,Ruisseau De Montigny,,09 - Arrondissement Anjou,1997,Ponceau rectang. en béton armé,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,27",4,2017/07/19,,,45.6128776897873,-73.5993784473739,297049,5052558
6006460,81-01502,avenue des Halles ,,,09 - Arrondissement Anjou,1991,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2015/08/05,,75,45.5972566976571,-73.5692639647644,299396,5050819
6006620,81-01503,avenue des Halles ,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1983,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2015/08/05,,147,45.5969820956124,-73.5688991121396,299425,5050789
6011741,81-01506,Voie de desserte autoroute 40 direction Est,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015/10/14,,3767,45.6143144472493,-73.5578769814759,300286,5052714
6086481,81-01507,Voie de desserte autoroute 40 direction Est,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,79",4,2017/12/08,,944,45.6130289975694,-73.5590040808954,300198,5052571
6011743,81-01508,Voie de desserte autoroute 40 direction Est,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015/10/14,,3646,45.6070297449392,-73.5640782034046,299802,5051905
6064781,81-01509,"Côté Ouest de la rue Curatteau, de Lecourt à de Lavaltrie.",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,650,45.5862440677303,-73.5104849722039,303982,5049593
6064782,81-01510,"Côté Est de la rue De Boucherville, Au Sud de Pl. Curatteau",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,505,45.5941023632022,-73.5390862028922,301750,5050467
6064783,81-01511,rue Curatteau,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,1430,45.5886795505939,-73.5184970961601,303357,5049864
6064784,81-01512,"Côté Ouest de la rue Curatteau, du Nord de Tellier au CN",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,651,45.5897319913611,-73.5219180272787,303090,5049981
6064785,81-01513,"Côté Est de la rue Curatteau, de Souligny O à Hochelaga",,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,190,45.5906224273113,-73.5246510292663,302877,5050080
6064786,81-01514,Côté Ouest de la rue Curatteau,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,1253,45.5917722627456,-73.5286593950228,302564,5050208
6056247,81-01515,Côté Ouest de la rue Curatteau,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,1990,45.5933695010442,-73.5338742565233,302157,5050385
6064381,81-01516, rue De Boucherville,,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,,1532,45.5954390036215,-73.5443724207505,301338,5050616
6041903,81-01519,"Voie de service Acadie Sud, dir. Est, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,2001,Mur,,,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,"99,23",4,2016/09/22,,431,45.5304339200472,-73.6484398718228,293206,5043402
6092361,81-01520,"Voie de service Acadie Sud, dir. Est, côté Nord",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,2003,Mur,,,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,,,,,319,45.5306942727889,-73.6483824080506,293210,5043430
6041905,81-01521,"Voie de service, dir. Est vers l'Ouest, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,2003,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/09/19,,640,45.5304554605533,-73.6479783156256,293242,5043404
6041605,81-01522,"Voie de service, dir. Est, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,2001,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/09/20,,83,45.5310043737525,-73.6479651615592,293243,5043465
6041607,81-01523,"Voie de service, dir. Est, côté Sud",,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,2001,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/09/20,,384,45.5318729911574,-73.6475857495481,293273,5043561
6064383,81-01525, Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2017/11/29,,902,45.5970163160615,-73.5480756031439,301049,5050791
6064385,81-01526, Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2017/11/29,,526,45.5980354125736,-73.5503572847972,300871,5050905
6064387,81-01527,Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,56",4,2017/12/08,,1474,45.5991673139467,-73.5530208171222,300664,5051031
6064388,81-01528,Boulevard Louis-H.-La Fontaine,,,09 - Arrondissement Anjou,1999,Mur,,,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,74",4,2017/11/29,,3240,45.6023080703851,-73.5600953143997,300112,5051380
6011745,81-02201,Avenue Rockland Direction Nord,Chemin de fer Canadien Pacifique,,05 - Arrondissement Outremont,1966,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2016/09/27,4540,,45.5194931538707,-73.6239513968626,295117,5042182
6011751,81-02202,boulevard de l'Île-des-Soeurs ,Piste Cyclable parc West Vancouver,,12 - Arrondissement Verdun,1967,Pont à dalle évidée en béton précont.,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"85,32",4,2017/03/29,86,,45.4573797155829,-73.5429797988011,301439,5035273
6036789,81-02203,"Boulevard de l'île des soeurs, direction Est",Piste Cyclable parc West Vancouver,,12 - Arrondissement Verdun,1967,Pont à dalle évidée en béton précont.,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"85,3",4,2017/03/29,82,,45.4573402964882,-73.5427122218968,301460,5035269
202265,81-02204,Rue Jean-Milot,Route 138,,18 - Arrondissement LaSalle,1963,Portique en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/06/01,560,,45.4312596020874,-73.6500423665922,293060,5032381
5785636,81-02205A,Rue Stinson (LaSalle),Route 138,"P.S. Stinson, CP, Wanklyn / Route 138",18 - Arrondissement LaSalle,1963,Portique en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/10/01,465,,45.4281058112716,-73.649759621185,293081,5032030
202247,81-02205B,Rue Wanklyn,Route 138,"P.S. Stinson, CP, Wanklyn / Route 138",18 - Arrondissement LaSalle,1963,Portique en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/10/01,465,,45.4285536330164,-73.6495699718563,293096,5032080
202263,81-02206,Rue Airlie,Route 138,,18 - Arrondissement LaSalle,1963,Portique en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,399,,45.4253737280078,-73.650885745233,292993,5031727
202262,81-02207,Avenue Lafleur,Raccordement R-138 / Rue Airlie,,18 - Arrondissement LaSalle,1963,"Port. béton armé, ss remblai",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/10/01,791,,45.4246967961754,-73.6499687333823,293064,5031651
6041907,81-02211,Boul. de l'Acadie Sud,"Voie de service, dir. Est",,24 - Arrondissement Ahuntsic-Cartierville,2003,Pont à poutres en acier,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,"99,5",4,2016/09/19,471,,45.5300576246942,-73.6486221194661,293191,5043360
6036113,81-02301,Avenue Dollard,Canal de l'Aqueduc,,18 - Arrondissement LaSalle,1920,Pont à poutres en acier,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,92",4,2017/05/17,1043,,45.4228859863108,-73.6219547168115,295256,5031446
6030314,81-02302,Boulevard Bishop Power,Canal de l'Aqueduc,,18 - Arrondissement LaSalle,1920,"Pont à tablier supér., béton armé",17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"67,64",3,2017/03/30,2035,,45.429836260892,-73.6094363294821,296237,5032217
6036079,81-02303,Boul. Monk,Canal Lachine,,21 - Arrondissement Le Sud-Ouest,2003,"Pont à tablier inférieur, en acier",17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,1509,,45.4635176694253,-73.5982856312488,297114,5035959
6006660,81-02503,chemin de la Côte-Sainte-Catherine ,,,05 - Arrondissement Outremont,1945,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,78",4,2017/09/28,,427,45.5159468024587,-73.5958576054,297311,5041785
6041609,81-02523,"Rue Panet, côté Ouest",,,20 - Arrondissement Ville-Marie,2005,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,,75,45.5239824027788,-73.564528215438,299759,5042676
6041611,81-02524,"Ch. de la Côte-de-Liesse, coté nord",,,24 - Arrondissement Ahuntsic-Cartierville,2002,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,92",4,2016/09/19,,731,45.5288253825927,-73.649426069491,293128,5043223
6034529,81-03108,Chemin de fer Canadien National,Avenue Sainte-Croix,,15 - Arrondissement Saint-Laurent,1969,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspections annuelle et générale par la Ville Montréal,100,4,2016/05/30,795,,45.5103538031537,-73.6700313195876,291514,5041173
6076481,81-03111A,"Ch. de la Côte-de-Liesse, dir. Est",43ième Avenue,P.I. 43ième Avenue / Aut. 520,17 - Arrondissement Lachine,1966,"Pont à béquilles, béton armé",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"68,68",3,2015/10/20,325,,45.4646875609875,-73.7193690451826,287646,5036108
6011754,81-03113A,Virage en U au Sud du CN,"Boul. Décarie, direction Nord",P.I. Décarie / CN,15 - Arrondissement Saint-Laurent,1962,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,17",4,2015/09/24,256,,45.5070134405671,-73.6707244626609,291459,5040802
6011761,81-03115,Virage en U au Sud du CN,"Boul. Marcel Laurin, direction Nord",,15 - Arrondissement Saint-Laurent,1966,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,91",3,2015/10/26,505,,45.5031907130831,-73.6717360786359,291380,5040378
6048970,81-03119,CN,Côte-Vertu,,15 - Arrondissement Saint-Laurent,1962,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspections annuelle et générale par la Ville Montréal,"99,59",4,2015/09/25,461,,45.5246203174585,-73.671551907799,291399,5042759
6030288,81-03120A,Boulevard Henri-Bourassa Ouest,,"P.I. Henri-Bourassa Ouest / CN, ouest de l'aut. 15",15 - Arrondissement Saint-Laurent,1977,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/07/25,,597,45.5284036401131,-73.6873681412376,290164,5043182
6029396,81-03120B,Henri-Bourassa Ouest,,,15 - Arrondissement Saint-Laurent,1977,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,29",4,2016/07/27,,280,45.5286254940073,-73.6878752302429,290125,5043207
6041613,81-03120C,"CN, Ouest de l'aut. 15",Henri-Bourassa Ouest dir Est,,15 - Arrondissement Saint-Laurent,1977,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/07/27,1125,,45.5287647872776,-73.6866810065598,290218,5043222
6029398,81-03120D,"Henri-Bourassa Ouest, ",,,15 - Arrondissement Saint-Laurent,1977,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/07/27,,610,45.5291442222145,-73.686019049876,290270,5043264
6029400,81-03120E,Henri-Bourassa Ouest,,,15 - Arrondissement Saint-Laurent,1977,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/07/28,,336,45.5289769418187,-73.6855619174926,290306,5043246
6021260,81-03123,Virage en U au Nord du CN,"Boul. Marcel Laurin, direction Nord",,15 - Arrondissement Saint-Laurent,1966,Pont à dalle pleine en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"69,77",3,2015/10/26,363,,45.5031783701092,-73.6722227871989,291342,5040376
6033743,81-03124,Chemin de fer de Canadien National,Boulevard Lebeau,,15 - Arrondissement Saint-Laurent,1971,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspections annuelle et générale par la Ville Montréal,,,,508,,45.5281546910104,-73.6666535869001,291782,5043151
6069701,81-03205A,Rue St-Jacques côté Nord,,,17 - Arrondissement Lachine,1960,Mur,,,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,"89,44",4,2017/10/04,,90,45.4467261750487,-73.6435554807147,293571,5034098
6041910,81-03205B,Rue St-Jacques,CN,,17 - Arrondissement Lachine,1960,Pont à poutres en acier,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,"64,48",3,2017/10/03,1853,,45.4470847503219,-73.6432837724906,293592,5034138
6069702,81-03205C,Rue St-Jacques côté Sud,,,17 - Arrondissement Lachine,1960,Mur,,,Actif Ville de Montréal,Ville Montréal - Municipalité ,Inspections annuelle et générale par la Ville Montréal,"99,29",4,2017/10/04,,133,45.4467494567328,-73.6432889179363,293591,5034101
202266,81-03218,1re Avenue,Autoroute 20,,17 - Arrondissement Lachine,1966,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,562,,45.4444449605796,-73.6636914730483,291995,5033848
202542,81-03221,rue Hickmore ,autoroute 13 ,,15 - Arrondissement Saint-Laurent,1975,Pont à poutres en béton armé,14-H25-S20,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,96",4,2016/06/01,808,,45.4678867528637,-73.6989949211563,289240,5036459
6011776,81-03232A,Chemin de la Côte-de-Liesse direction Ouest,Chemin Canora,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora",15 - Arrondissement Saint-Laurent,1960,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"65,91",3,2015/12/03,1275,,45.5204386921766,-73.6549662065135,292694,5042292
6011780,81-03232B,"Chemin de la Côte-de-Liesse, direction Ouest",Chemin Dunkirk,"P.S. Ch. de la Côte-de-Liesse / Stinson, CN et Canora",15 - Arrondissement Saint-Laurent,1960,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,39",3,2015/12/07,952,,45.5195094671472,-73.6555517347469,292648,5042189
202136,81-03233,Boulevard Cavendish,Autoroute 40,,15 - Arrondissement Saint-Laurent,1965,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,98",4,2015/09/25,5343,,45.4929327160748,-73.6962425849378,289462,5039242
202118,81-03234A,Boulevard de la Côte-Vertu,Autoroute 40,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,1961,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,2234,,45.488739441351,-73.7138203264013,288087,5038780
202119,81-03234B,Boulevard de la Côte-Vertu,Racc. V. Service A-40 W / Côte-Vertu W,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,1961,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,400,,45.4894463960923,-73.7142521415942,288053,5038858
202120,81-03235A,Boulevard de la Côte-Vertu,Autoroute 40,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,1961,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,2620,,45.4891584266762,-73.7158583569156,287927,5038826
202121,81-03235B,Boulevard de la Côte-Vertu,Racc. V. Service A-40 E / Côte-vertu E,P.S. Boul. Côte-Vertu / Aut. 40,15 - Arrondissement Saint-Laurent,1961,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,405,,45.4884577423478,-73.7151832355215,287980,5038748
202232,81-03236,rue Halpern ,route Transcanadienne ,,15 - Arrondissement Saint-Laurent,1977,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2017/11/15,1901,,45.4906074995366,-73.7515691925307,285137,5038996
202131,81-03237,Boulevard Henri-Bourassa Ouest (direction est),Autoroute 40,,15 - Arrondissement Saint-Laurent,1965,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,1564,,45.4900983617393,-73.7601931659232,284462,5038941
202132,81-03238,Boulevard Henri-Bourassa Ouest (direction ouest),Autoroute 40,,15 - Arrondissement Saint-Laurent,1965,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,1546,,45.4899105492451,-73.7627951726824,284259,5038921
202554,81-03242,Boulevard Henri-Bourassa Ouest (direction est),Autoroute 13,,15 - Arrondissement Saint-Laurent,1975,Pont à dalle pleine en béton précont.,14-H25-S20,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/05/27,1281,,45.498715261402,-73.7497132759362,285284,5039896
202553,81-03243,Boulevard Henri-Bourassa Ouest (direction ouest),Autoroute 13,,15 - Arrondissement Saint-Laurent,1975,Pont à dalle pleine en béton précont.,14-H25-S20,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,65",4,2016/05/30,1281,,45.4986208944101,-73.750137746306,285251,5039886
202042,81-03248,Boulevard de l'Acadie Nord,Autoroute 40,,24 - Arrondissement Ahuntsic-Cartierville,2002,Pont à poutres en acier,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,88",4,2016/09/26,2700,,45.5312375788998,-73.6478955387062,293248,5043491
202043,81-03249,Boulevard de l'Acadie Nord,Autoroute 40 Ouest,,24 - Arrondissement Ahuntsic-Cartierville,2002,Pont à poutres en acier,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/09/20,175,,45.531415219629,-73.6484547845695,293205,5043511
