"Date_reception_demande","Mode_recep_demande","TypePlainte","GroupeAge","sexe","Minorite_visible","Origine_ethnique","Autochtone","Source","Acheminement_Demandeur","NbrePers","Ev_arrondissement","Ev_arrond2","Ev_arrond3","Ev_arrond4","Vc","Ev_service","Ev_service2","Ev_paramunicipal","Autre_entite","Categorie","Categorie2","Categorie3","Charte_vieD","Charte_vieD2","Charte_vieD3","Charte_vieES","Charte_vieES2","Charte_vieES3","Charte_Cult","Charte_Cult2","Charte_Cult3","Charte_ActP","Charte_ActP2","Charte_ActP3","Charte_Env","Charte_Env2","Charte_Env3","Charte_Sec","Charte_Sec2","Charte_Sec3","Charte_ServMun","Charte_ServMun2","Charte_ServMun3","DelaiReponse","resultat_enquete","mode_reponse","Date_fermeture","DelaiTraitement",,,
"2017-01-09","Téléphone","individu","Inconnu","HOMME","Arabe","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Téléphone","2017-01-09",1,,,
"2017-01-09","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Le Sud-Ouest",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-09",1,,,
"2017-01-10","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Téléphone","2017-01-10",1,,,
"2017-01-10","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Le Sud-Ouest",,,,,,,,,"Immeuble - Salubrité - Moisissures",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-10",1,,,
"2017-01-09","Courriel","individu","26 à 40 ans","HOMME","NON","Canadien","False","Fonctionnaire","Demandeur / Mandataire",1,,,,,,"Affaires juridiques - Direction des affaires civiles",,,,"Dommage matériel - Réclamation monétaire",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-11",3,,,
"2017-01-06","Courriel","individu","Inconnu","HOMME","Arabe","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Affaires juridiques - Direction des serv. juridiciaires (Cour municipale)",,,,"Cour municipale - Jugement",,,,,,,,,,,,,,,,,,,,,,,,,"Jugement rendu Cour municipale (Art. 11 par. 2)","Courriel","2017-01-09",2,,,
"2017-01-09","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",2,"Mercier--Hochelaga-Maisonneuve",,,,,,,,,"Arbre",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-09",1,,,
"2017-01-09","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",2,,,,,,"Affaires juridiques - Direction des affaires civiles",,,,"Dommage matériel - Réclamation monétaire",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-09",1,,,
"2017-01-19","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Fonctionnaire","Demandeur / Mandataire",1,,,,,,"Ressources humaines  - Toutes directions confondues",,,,"Relations de travail",,,,,,,,,,,,,,,,,,,,,,,,,"Relations de travail (Art. 11-2)","Téléphone","2017-01-19",1,,,
"2017-01-09","Courriel","personne morale","PM","PM","PM","PM","False","Inconnu","Demandeur / Mandataire",1,"Ville-Marie",,,,,,,,,"Domaine public - Occupation",,,,,,,,,,,,,,,,,,,,,,,,,"Fondée - Réglée","Lettre","2018-12-10",477,,,
"2017-01-10","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Verdun",,,,,,,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-10",1,,,
"2017-01-11","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Relations locataire/propriétaire","Téléphone","2017-01-11",1,,,
"2017-01-11","Téléphone","individu","Inconnu","FEMME","NON","Italien","False","Inconnu","Demandeur / Mandataire",1,"Anjou",,,,,,,,,"ZU - Autre",,,,,,,,,,,,,,,,,,,,,,,,,"Elu ou son cabinet (Art. 11-3)","Téléphone","2017-01-11",1,,,
"2017-01-11","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Anjou",,,,,,,,,"ZU - Autre",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-11",1,,,
"2017-01-11","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,,,,,,,,"Office municipal d'habitation de Montréal (OMHM)",,"Relations locataire/propriétaire (VdM et entités liées)",,,,,,,,,,,,,,,,,,,,,,,,,"Non fondée","Lettre","2017-02-16",27,,,
"2017-01-11","Téléphone","individu","51 à 64 ans","FEMME","NON","Italien","False","Ancien demandeur","Demandeur / Mandataire",1,"Outremont",,,,,,,,,"ZU - Permis Transformation/Construction/Démolition/PIIA",,,,,,,,,,,,,,,,,,,,,,,,,"Fondée - Recommandation","Lettre","2018-07-17",373,,,
"2017-01-06","Courriel","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Concertation des arrondissements  - Toutes directions confondues",,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Fondée - Réglée","Courriel","2017-01-13",6,,,
"2017-01-04","Courriel","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,"Conseil de la ville",,,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)","Courriel","2017-01-06",3,,,
"2017-01-04","Courriel","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Concertation des arrondissements  - Toutes directions confondues",,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Refus d'intervenir (Autres motifs)","Courriel","2017-01-31",20,,,
"2017-01-04","Courriel","individu","Inconnu","HOMME","Noir","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Concertation des arrondissements  - Toutes directions confondues",,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Non fondée","Courriel","2017-01-11",6,,,
"2017-01-13","Téléphone","individu","Inconnu","FEMME","Inconnu","Français","False","Internet","Demandeur / Mandataire",1,"Saint-Léonard",,,,,,,,,"TP - Aqueduc / Égout",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-13",1,,,
"2017-01-06","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Autre différend privé","Téléphone","2017-01-06",1,,,
"2017-01-11","Courriel","individu","26 à 40 ans","FEMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,,,,,,"Concertation des arrondissements  - Toutes directions confondues",,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Refus d'intervenir (Autres motifs)","Courriel","2017-01-12",2,,,
"2017-01-11","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Côte-des-Neiges--Notre-Dame-de-Grâce",,,,,,,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-11",1,,,
"2017-01-11","Courriel","individu","65 ans et +","HOMME","NON","Brésilien","False","Internet","Demandeur / Mandataire",1,,,,,,"Finances - Toutes directions confondues",,,,"Services aux citoyens - Délai/Procédure",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-13",3,,,
"2017-01-12","En personne","individu","51 à 64 ans","FEMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,,,,,,,,"Office municipal d'habitation de Montréal (OMHM)",,"Dommage matériel - Réclamation monétaire",,,,,,,,,,,,,,,,,,,,,,,,,"Refus d'intervenir (Recours légal - art. 12)","Lettre","2017-01-12",1,,,
"2017-01-12","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Téléphone","2017-01-12",1,,,
"2017-01-12","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,"Conseil de la ville",,,,,"TP - Compostage/Déchets/Recyclage",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)","Téléphone","2017-01-12",1,,,
"2017-01-12","En personne","individu","51 à 64 ans","HOMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,"Le Plateau-Mont-Royal",,,,,,,,,"TP - Propreté",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)","En personne","2017-01-12",1,,,
"2017-01-13","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,"Villeray--Saint-Michel--Parc-Extension",,,,,,,,,"ZU - Permis - Autre",,,,,,,,,,,,,,,,,,,,,,,,,"Désistement","Téléphone","2017-01-13",1,,,
"2017-01-12","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,"Villeray--Saint-Michel--Parc-Extension",,,,,,,,,"Services aux citoyens - Délai/Procédure",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-12",1,,,
"2017-01-12","Courriel","individu","41 à 50 ans","HOMME","NON","Anglais","False","Internet","Demandeur / Mandataire",1,"Mercier--Hochelaga-Maisonneuve",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)","Courriel","2017-01-13",2,,,
"2017-01-13","Courriel","individu","26 à 40 ans","FEMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Courriel","2017-01-13",1,,,
"2017-01-16","En personne","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"OBNL","En personne","2017-01-16",1,,,
"2017-01-12","Courriel","individu","26 à 40 ans","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Ahuntsic-Cartierville",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-13",2,,,
"2017-01-13","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"*** Entité mun. sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Autre municipalité","Téléphone","2017-01-13",1,,,
"2017-01-13","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,"Police - ******Section des agents de stationnement",,,"Constat - Stationnement",,,,,,,,,,,,,,,,,,,,,,,,,"Législation provinciale (Art. 10 par. 2)","Téléphone","2017-01-13",1,,,
"2017-01-13","Courriel","individu","Inconnu","HOMME","Arabe","Marocain","False","Ancien demandeur","Demandeur / Mandataire",1,,,,,"Comité executif",,,,,"Sécurité - Autre qu'incendie",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)",,"2017-01-16",2,,,
"2017-01-12","Courriel","individu","26 à 40 ans","HOMME","Latino-américain","Canadien","False","Internet","Demandeur / Mandataire",1,,,,,,"Ressources humaines  - Toutes directions confondues",,,,"Relations de travail",,,,,,,,,,,,,,,,,,,,,,,,,"Relations de travail (Art. 11-2)","Courriel","2017-01-12",1,,,
"2017-01-14","Courriel","individu","65 ans et +","FEMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,"Saint-Laurent",,,,,,,,,"Accessibilité universelle",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-16",1,,,
"2017-01-05","Courriel","individu","Inconnu","FEMME","NON","Italien","False","Internet","Demandeur / Mandataire",1,"Rivière-des-Prairies--Pointe-aux-Trembles",,,,,,,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-05",1,,,
"2017-01-09","Courriel","individu","51 à 64 ans","FEMME","NON","Roumain","False","Connaissances générales","Demandeur / Mandataire",1,"Rivière-des-Prairies--Pointe-aux-Trembles",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-09",1,,,
"2017-01-03","Courriel","individu","Inconnu","HOMME","NON","Juif","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"*** Entité mun. sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Autre municipalité","Courriel","2017-01-06",3,,,
"2017-01-05","Courriel","individu","41 à 50 ans","FEMME","NON","Italien","False","Parent ou ami","Demandeur / Mandataire",1,,,,,,"Police - ******Section des agents de stationnement",,,,"Constat - Stationnement",,,,,,,,,,,,,,,,,,,,,,,,,"Législation provinciale (Art. 10 par. 2)","Courriel","2017-01-05",1,,,
"2017-01-17","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Finances - Toutes directions confondues",,,,"Taxe foncière/Évaluation",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-17",1,,,
"2017-01-17","Courriel","individu","26 à 40 ans","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Police - ******Section des agents de stationnement",,,,"Constat - Stationnement",,,,,,,,,,,,,,,,,,,,,,,,,"Législation provinciale (Art. 10 par. 2)","Courriel","2017-01-17",1,,,
"2017-01-06","Courriel","individu","26 à 40 ans","HOMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,"Lachine",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-09",2,,,
"2017-01-06","Courriel","individu","26 à 40 ans","HOMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,,,,,,"Police - ******Section des agents de stationnement",,,,"Constat - Stationnement",,,,,,,,,,,,,,,,,,,,,,,,,"Législation provinciale (Art. 10 par. 2)","Courriel","2017-01-09",2,,,
"2017-01-05","Courriel","individu","41 à 50 ans","FEMME","NON","Italien","False","Parent ou ami","Demandeur / Mandataire",1,"Lachine",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-05",1,,,
"2017-01-17","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Parent ou ami","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Téléphone","2017-01-17",1,,,
"2017-01-04","Téléphone","individu","Inconnu","FEMME","Arabe","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Éducation","Téléphone","2017-01-04",1,,,
"2017-01-04","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Police - ******Section des agents de stationnement",,,,"Services aux citoyens - Courtoisie/Comportement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-04",1,,,
"2017-01-04","Téléphone","individu","Inconnu","HOMME","Arabe","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Téléphone","2017-01-04",1,,,
"2017-01-04","Téléphone","individu","Inconnu","HOMME","Arabe","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Services bancaires/financiers/assurances","Téléphone","2017-01-04",1,,,
"2017-01-06","Téléphone","individu","Inconnu","HOMME","Arabe","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Gouvernement fédéral","Téléphone","2017-01-06",1,,,
"2017-01-09","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,"Office municipal d'habitation de Montréal (OMHM)",,"Nuisance - Bruit",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-09",1,,,
"2017-01-17","Courriel","individu","41 à 50 ans","FEMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,"Verdun",,,,,,,,,"Immeuble - Salubrité - Moisissures","Charte - vie économique et sociale",,,,,"Prendre des mesures afin que les logements soient conformes aux normes de salubrité lorsque la santé et la sécurité sont mises en cause",,,,,,,,,,,,,,,,,,,"Désistement","Lettre","2017-06-30",115,,,
"2017-01-09","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,"Office municipal d'habitation de Montréal (OMHM)",,"Services aux citoyens - Courtoisie/Comportement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-09",1,,,
"2017-01-17","Courriel","individu","26 à 40 ans","FEMME","NON","Canadien","False","Organisme externe","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Entreprise ou commerce","Courriel","2017-01-18",2,,,
"2017-01-05","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Côte-des-Neiges--Notre-Dame-de-Grâce",,,,,,,,,"TP - Chaussée/Trottoir",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-05",1,,,
"2017-01-05","En personne","individu","51 à 64 ans","FEMME","Noir","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Gouvernement provincial","En personne","2017-01-05",1,,,
"2017-02-20","Téléphone","individu","Inconnu","HOMME","Inconnu","Pays inconnu","False","Internet","Demandeur / Mandataire",1,,,,,,"Ressources humaines  - Toutes directions confondues",,,,"Relations de travail",,,,,,,,,,,,,,,,,,,,,,,,,"Relations de travail (Art. 11-2)","Téléphone","2017-02-20",1,,,
"2017-02-09","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Rosemont--La Petite-Patrie",,,,,,,,,"Services aux citoyens - Délai/Procédure",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-02-09",1,,,
"2017-02-09","Courriel","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Gouvernement provincial","Courriel","2017-02-10",2,,,
"2017-01-11","En personne","individu","65 ans et +","FEMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,"Ahuntsic-Cartierville",,,,,,,,,"ZU - Entrée charretière/Stationnement privé",,,,,,,,,,,,,,,,,,,,,,,,,"Référée en cours d'enquête","Courriel","2017-01-17",5,,,
"2017-01-17","Téléphone","individu","Inconnu","HOMME","Inconnu","Pays inconnu","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Santé et services sociaux","Téléphone","2017-01-17",1,,,
"2017-01-18","Téléphone","individu","Inconnu","HOMME","Inconnu","Canadien","False","Internet","Demandeur / Mandataire",1,,,,,,"Concertation des arrondissements  - Toutes directions confondues",,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Non fondée","Courriel","2017-01-27",8,,,
"2017-01-18","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,"Concertation des arrondissements  - Toutes directions confondues",,,,"Constat - Autre que stationnement",,,,,,,,,,,,,,,,,,,,,,,,,"Législation provinciale (Art. 10 par. 2)","Téléphone","2017-01-18",1,,,
"2017-01-18","Courriel","individu","41 à 50 ans","HOMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,"Rosemont--La Petite-Patrie",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-18",1,,,
"2017-01-18","En personne","individu","51 à 64 ans","FEMME","NON","Arménien","False","Fonctionnaire","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Autre différend privé","En personne","2017-01-18",1,,,
"2017-01-18","En personne","individu","26 à 40 ans","HOMME","Latino-américain","Pays inconnu","False","Fonctionnaire","Demandeur / Mandataire",1,,,,,,"Affaires juridiques - Direction des serv. juridiciaires (Cour municipale)",,,,"Services aux citoyens - Courtoisie/Comportement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","En personne","2017-01-18",1,,,
"2017-01-19","Courriel","individu","26 à 40 ans","FEMME","NON","Pays inconnu","False","Internet","Demandeur / Mandataire",1,"Le Plateau-Mont-Royal",,,,,,,,,"Stationnement municipal et sur rue/Vignette/Débarcadère",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2017-01-19",1,,,
"2017-01-19","Courriel","individu","Inconnu","FEMME","NON","Canadien","False","Fonctionnaire","Demandeur / Mandataire",1,"Verdun",,,,,,,,,"Animal",,,,,,,,,,,,,,,,,,,,,,,,,"Fondée - Réglée","Courriel","2017-01-19",1,,,
"2017-01-19","Téléphone","individu","Inconnu","HOMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,"Rosemont--La Petite-Patrie",,,,,,,,,"Services aux citoyens - Communication/Informations",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2017-01-19",1,,,
