Date_reception_demande,Mode_recep_demande,TypePlainte,GroupeAge,sexe,Minorite_visible,Origine_ethnique,Autochtone,Source,Acheminement_Demandeur,NbrePers,Ev_arrondissement,Ev_arrond2,Ev_arrond3,Ev_arrond4,Vc,Ev_service,Ev_service2,Ev_paramunicipal,Autre_entite,Categorie,Categorie2,Categorie3,Charte_vieD,Charte_vieD2,Charte_vieD3,Charte_vieES,Charte_vieES2,Charte_vieES3,Charte_Cult,Charte_Cult2,Charte_Cult3,Charte_ActP,Charte_ActP2,Charte_ActP3,Charte_Env,Charte_Env2,Charte_Env3,Charte_Sec,Charte_Sec2,Charte_Sec3,Charte_ServMun,Charte_ServMun2,Charte_ServMun3,DelaiReponse,resultat_enquete,mode_reponse,Date_fermeture,DelaiTraitement,,,
2015-01-20,Téléphone,individu,Inconnu,FEMME,Noir,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-20,1,,,
2015-01-22,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Parent ou ami,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-22,1,,,
2015-01-20,Téléphone,individu,Inconnu,HOMME,NON,Italien,False,Parent ou ami,Demandeur / Mandataire,2,LaSalle,,,,,,,,,Stationnement / SRRR / Vignette,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-20,1,,,
2015-01-20,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Mercier--Hochelaga-Maisonneuve,,,,,,,,,Déchet/Recyclage/Compostage,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-20,1,,,
2015-01-21,Téléphone,individu,Inconnu,FEMME,Noir,Haitien,False,Inconnu,Demandeur / Mandataire,3,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,Salubrité et entretien (moisissure),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-21,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Ville-Marie,,,,,,,,,Bruit,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-21,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-21,Téléphone,individu,Inconnu,FEMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Directions des affaires civiles,,,,Réclamation monétaire (chute sur trottoir),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-21,Téléphone,individu,Inconnu,FEMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-21,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Déneigement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-21,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Directions des affaires civiles,,,,Réclamation monétaire (autre),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-23,Téléphone,individu,Inconnu,FEMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Relations locataire/locateur,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-23,1,,,
2015-01-14,Courriel,individu,Inconnu,HOMME,NON,Canadien,False,Ancien demandeur,Demandeur / Mandataire,1,LaSalle,,,,,,,,,Voirie / Travaux publics,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-21,6,,,
2015-06-09,Courriel,individu,51 à 64 ans,HOMME,NON,Anglais,False,Fonctionnaire,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Animal,Charte - environnement, developpement durable,Charte - sécurité,,,,,,,,,,,,,Préserver la biodiversité et favoriser son accroissement dans les parcs et les espaces verts,,,Prendre des mesures visant à assurer la sécurité des citoyennes et des citoyens dans les espaces publics, notamment les parcs, les équipements collectifs et récréatifs,Protéger l'intégrité physique des personnes,,,,,10,Refusé après enquête,Lettre,2015-09-22,73
2015-01-07,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Ahuntsic-Cartierville,,,,,,,,,Qualité des services,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-07,1,,,
2015-01-26,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,Police - Fourrières mandataires,,,,Fourrière (autre),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-26,1,,,
2015-01-13,Courriel,individu,Inconnu,FEMME,NON,Canadien,False,Internet,Demandeur / Mandataire,1,,,,,,Police - Direction des opérations,,,,Infraction à une loi,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-13,1,,,
2015-01-13,Courriel,individu,Inconnu,FEMME,Inconnu,Canadien,False,Internet,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Circulation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-13,1,,,
2015-01-19,Courriel,personne morale,PM,PM,PM,PM,False,Inconnu,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Permis,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-19,1,,,
2015-01-19,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Cour municipale (fonctionnement),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Blogue,2015-01-19,1,,,
2015-01-19,Téléphone,individu,Inconnu,FEMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Saint-Laurent,,,,,,,,,Salubrité et entretien (moisissure),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-19,1,,,
2015-01-22,Télécopieur,individu,65 ans et +,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Cour municipale (fonctionnement),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-22,1,,,
2015-01-07,Téléphone,individu,41 à 50 ans,FEMME,NON,Canadien,False,Ancien demandeur,Demandeur / Mandataire,1,Verdun,,,,,,,,,Salubrité et entretien (autre),Charte - vie économique et sociale,,,,,Prendre des mesures afin que les logements soient conformes aux normes de salubrité lorsque la santé et la sécurité sont mises en cause,,,,,,,,,,,,,,,,,,,Refusé après enquête,Lettre,2015-01-29,17,,,
2015-01-23,Téléphone,individu,65 ans et +,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Outremont,,,,,,,,,Accès à l'information,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-24,1,,,
2015-01-23,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,Conseil d'agglomération,,,,,Taxe (sauf foncière),,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-23,1,,,
2015-01-23,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Qualité des services,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-23,1,,,
2015-01-21,Téléphone,individu,Inconnu,HOMME,NON,Grec,False,Inconnu,Demandeur / Mandataire,1,,,,,,Police - Fourrières mandataires,,,,Fourrière (autre),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-23,3,,,
2015-01-23,Courriel,individu,26 à 40 ans,FEMME,NON,Canadien,False,Internet,Demandeur / Mandataire,1,Le Plateau-Mont-Royal,,,,,,,,,Circulation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-23,1,,,
2015-01-20,Courriel,individu,41 à 50 ans,HOMME,NON,Grec,False,Internet,Demandeur / Mandataire,2,Le Plateau-Mont-Royal,,,,,,,,,Circulation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-22,3,,,
2015-01-17,Courriel,individu,18 à 25 ans,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Jugement Cour municipale,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-22,4,,,
2015-01-15,En personne,individu,41 à 50 ans,HOMME,NON,Canadien,False,Ancien demandeur,Demandeur / Mandataire,2,Pierrefonds-Roxboro,,,,,,,,,Permis,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,En personne,2015-01-15,1,,,
2015-01-15,En personne,individu,41 à 50 ans,HOMME,NON,Canadien,False,Ancien demandeur,Demandeur / Mandataire,2,Pierrefonds-Roxboro,,,,,,,,,Aqueduc / Égout,,,,,,,,,,,,,,,,,,,,,,,,,Désistement avant enquête,En personne,2015-01-15,1,,,
2015-01-27,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-27,1,,,
2015-01-27,Téléphone,individu,Inconnu,HOMME,NON,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-27,1,,,
2015-01-27,Courriel,individu,26 à 40 ans,HOMME,NON,Pays inconnu,False,Ancien demandeur,Demandeur / Mandataire,1,Pierrefonds-Roxboro,,,,,,,,,Déneigement,,,,,,,,,,,,,,,,,,,,,,,,,En Traitement,,,,,,
2015-01-27,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Rosemont--La Petite-Patrie,,,,,,,,,Fourrière (entreposage de meubles),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-28,2,,,
