Date_reception_demande,type_intervention,Ev_arrondissement,Ev_arrond2,Ev_arrond3,Ev_arrond4,Ev_service,Ev_service1,Ev_service2,Ev_service3,Ev_service4,societe_controle_concernee,Autre_entite,Categorie,Engagement_Charte_mtl_droits_respons,Engagement_Charte_mtl_droits_respons2,GroupeAge,Sexe,Origine_ethnique,Minorite_visible,Autochtone
2020-01-13,Refusée sans enquête,Montréal-Nord,,,,,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-13,Refusée sans enquête,Saint-Léonard,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,18 à 25 ans,FEMME,Pays inconnu,Inconnu,Non
2020-01-13,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Logement social/abordable - Accès,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-13,Refusée sans enquête,Montréal-Nord,,,,,,,,,,,TP - Aqueduc / Égout,,,Inconnu,FEMME,Italien,NON,Non
2020-01-13,Analyse/enquête sommaire,Outremont,,,,,,,,,,,Participation citoyenne - Droit d'initiative,Charte - vie démocratique,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-01-14,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Noir,Non
2020-01-14,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-14,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Immeuble - Entretien,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-14,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Asiatique,Non
2020-01-15,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,HOMME,Pays inconnu,Arabe,Non
2020-01-15,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-15,Analyse/enquête sommaire,Saint-Laurent,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,41 à 50 ans,HOMME,Pays inconnu,Inconnu,Non
2020-01-15,Refusée sans enquête,,,,,Affaires juridiques - Direction des affaires civiles,,,,,,,Dommage corporel - Réclamation monétaire,,,Inconnu,HOMME,Pays inconnu,Latino-américain,Non
2020-01-15,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-15,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,Rosemont--La Petite-Patrie,Villeray--Saint-Michel--Parc-Extension,Lachine,,,,,,,,Immeuble - Entretien,,,Inconnu,HOMME,Haitien,Noir,Non
2020-01-15,Analyse/enquête sommaire,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Cour municipale - Frais/Perception (en lien avec jugement),,,Inconnu,HOMME,Haitien,Noir,Non
2020-01-16,Enquête approfondie,Le Sud-Ouest,,,,,,,,,,,ZU - Autre,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-16,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,HOMME,Français,NON,Non
2020-01-16,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,FEMME,Italien,NON,Non
2020-01-16,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,Bureau du taxi de Montréal,,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-01-16,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-16,Refusée sans enquête,,,,,Affaires juridiques - Direction des affaires civiles,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-16,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-01-17,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Accès à l'information,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-17,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-17,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-17,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Services aux citoyens - Communication/Informations,,,PM,PM,PM,PM,Non
2020-01-17,Enquête approfondie,,,,,,Concertation des arrondissements  - Toutes directions confondues,,,,,,Dommage matériel - Réclamation monétaire,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-17,Enquête approfondie,,,,,,Concertation des arrondissements  - Toutes directions confondues,,,,,,Animal,Charte - sécurité,,Inconnu,HOMME,Canadien,NON,Non
2020-01-17,Enquête approfondie,,,,,,Concertation des arrondissements  - Toutes directions confondues,,,,,,Animal,Charte - sécurité,,Inconnu,HOMME,Canadien,NON,Non
2020-01-18,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,Sports et loisirs,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-18,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Autre que stationnement,,,51 à 64 ans,HOMME,Pays inconnu,Arabe,Non
2020-01-19,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Stationnement,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-01-19,Enquête approfondie,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Entretien,Charte - services municipaux,Charte - sécurité,51 à 64 ans,FEMME,Canadien,NON,Non
2020-01-20,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-20,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-20,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-20,Refusée sans enquête,Ville-Marie,Mercier--Hochelaga-Maisonneuve,,,Concertation des arrondissements  - Toutes directions confondues,,,,,,,TP - Déneigement,,,PM,PM,PM,PM,Non
2020-01-20,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,26 à 40 ans,FEMME,Pays inconnu,Inconnu,Non
2020-01-20,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-01-20,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-21,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-21,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-21,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,TP - Déneigement,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-21,Refusée sans enquête,Lachine,,,,,,,,,,,Ruelle,,,65 ans et +,HOMME,Canadien,NON,Non
2020-01-21,Suivi engagement antérieur,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Services aux citoyens - Communication/Informations,Charte - services municipaux,,OdM,OdM,OdM,OdM,Non
2020-01-21,Refusée sans enquête,,,,,Évaluation foncière - Toutes directions confondues,,,,,,,Taxe foncière/Évaluation,,,18 à 25 ans,HOMME,Canadien,NON,Non
2020-01-22,Refusée sans enquête,,,,,,,,,Société de transport de Montréal (STM),,,Relations de travail,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-22,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-22,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Latino-américain,Non
2020-01-22,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-22,Refusée sans enquête,,,,,,,,,Société d'habitation et de développement de Montréal (SHDM),,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-01-22,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-22,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Constat - Autre que stationnement,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-22,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-22,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Indien de l'Inde,"Asie du Sud (tamouls, pakis, hindous)",Non
2020-01-22,Refusée sans enquête,,,,,Développement économique - Toutes directions confondues,,,,,,,Appel d'offres/Contrat,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-22,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-23,Analyse/enquête sommaire,,,,,Police - Toutes direstions confondues,,,,,,,Sécurité - Autre qu'incendie,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-23,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Services aux citoyens - Communication/Informations,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-23,Refusée sans enquête,,,,,,,,,,,,Animal,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-24,Suivi engagement antérieur,Le Sud-Ouest,,,,,,,,,,,Sports et loisirs,,,OdM,OdM,OdM,OdM,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,HOMME,Canadien,NON,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,FEMME,Canadien,NON,Non
2020-01-24,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,TP - Déneigement,,,41 à 50 ans,FEMME,Canadien,NON,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Italien,NON,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Haitien,Noir,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-24,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-24,Refusée sans enquête,Le Sud-Ouest,,,,,,,,,,,Nuisance - Bruit,,,26 à 40 ans,HOMME,Canadien,NON,Non
2020-01-25,Refusée sans enquête,Saint-Léonard,,,,,,,,,,,TP - Autre ou combinaison,,,Inconnu,HOMME,Italien,NON,Non
2020-01-25,Analyse/enquête sommaire,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Stationnement,,,26 à 40 ans,HOMME,Pays inconnu,Inconnu,Non
2020-01-27,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-27,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Italien,NON,Non
2020-01-27,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,ZU - Autre,,,51 à 64 ans,FEMME,Pays inconnu,NON,Non
2020-01-27,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,26 à 40 ans,HOMME,Canadien,NON,Non
2020-01-28,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Arabe,Non
2020-01-28,Refusée sans enquête,,,,,,,,,,,,Animal,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-28,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,NON,Non
2020-01-28,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Immeuble - Salubrité - Insectes,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-28,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-28,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,Inconnu,FEMME,Canadien,NON,Non
2020-01-28,Refusée sans enquête,,,,,Ressources humaines  - Toutes directions confondues,,,,,,,Relations de travail,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-01-29,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-29,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Italien,NON,Non
2020-01-29,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-29,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-29,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-29,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,ZU - Entrée charretière/Stationnement privé,,,Inconnu,FEMME,Allemand,NON,Non
2020-01-29,Enquête approfondie,Rosemont--La Petite-Patrie,,,,,,,,,,,TP - Circulation/Signalisation,Charte - sécurité,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-30,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-30,Refusée sans enquête,Saint-Laurent,,,,,,,,,,,TP - Autre ou combinaison,,,41 à 50 ans,FEMME,Pays inconnu,Latino-américain,Non
2020-01-31,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-31,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2020-01-31,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Arbre,"Charte - environnement, developpement durable",,65 ans et +,HOMME,Vietnamien,"Asie du Sud (tamouls, pakis, hindous)",Non
2020-01-31,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-31,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Services aux citoyens - Communication/Informations,Charte - services municipaux,,65 ans et +,HOMME,Vietnamien,"Asie du Sud (tamouls, pakis, hindous)",Non
2020-02-02,Refusée sans enquête,Outremont,,,,,,,,,,,Éthique,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-02-03,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Animal,,,Inconnu,FEMME,Pays inconnu,Latino-américain,Non
2020-02-03,Refusée sans enquête,,,,,,,,,,,,Animal,,,Inconnu,HOMME,Canadien,NON,Non
2020-02-03,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Services aux citoyens - Courtoisie/Comportement,,,Inconnu,HOMME,Canadien,NON,Non
2020-02-03,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Latino-américain,Non
2020-02-03,Refusée sans enquête,,,,,Affaires juridiques - Direction des affaires civiles,,,,,,,Dommage matériel - Réclamation monétaire,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-02-03,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,Inconnu,FEMME,Canadien,NON,Non
2020-02-03,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-02-03,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Services aux citoyens - Communication/Informations,,,26 à 40 ans,HOMME,Syrien,Arabe,Non
2020-02-03,Refusée sans enquête,,,,,,,,,,,,ZU - Autre,,,Inconnu,HOMME,Canadien,NON,Non
2020-02-04,Analyse/enquête sommaire,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Logement social/abordable - Accès,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-02-04,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-02-04,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-02-04,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Accès à l'information,,,Inconnu,FEMME,Canadien,NON,Non
2020-02-04,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,51 à 64 ans,FEMME,Canadien,NON,Non
