Date_reception_demande,type_intervention,Ev_arrondissement,Ev_arrond2,Ev_service,Ev_service1,Ev_paramunicipal,societe_controle_concernee,Autre_entite,Categorie,Engagement_Charte_mtl_droits_respons,Engagement_Charte_mtl_droits_respons2,GroupeAge,Sexe,Origine_ethnique,Minorite_visible,Autochtone
2019-01-08,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-08,Refusée sans enquête,,,Concertation des arrondissements  - Toutes directions confondues,,,,,Animal,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-08,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Agent de la paix - DAO (excluant comportement),,,Inconnu,HOMME,Canadien,NON,Non
2019-01-09,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-09,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Services aux citoyens - Courtoisie/Comportement,,,18 à 25 ans,FEMME,Canadien,NON,Non
2019-01-09,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Sécurité - Autre qu'incendie,Charte - sécurité,,PM,PM,PM,PM,Non
2019-01-09,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,TP - Déneigement,,,65 ans et +,FEMME,Italien,NON,Non
2019-01-09,Refusée sans enquête,,,Eau - Toutes directions confondues,,,,,Nuisance - Autre ou Combinaison,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-09,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,TP - Compostage/Déchets/Recyclage,,,PM,PM,PM,PM,Non
2019-01-09,Enquête approfondie,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Salubrité - Autre ou Combinaison,Charte - vie économique et sociale,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-10,Enquête approfondie,,,,,Société d'habitation et de développement de Montréal (SHDM),,,Immeuble - Entretien,Charte - services municipaux,,65 ans et +,FEMME,Canadien,"Asie du Sud (tamouls, pakis, hindous)",Non
2019-01-10,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,TP - Déneigement,,,Inconnu,FEMME,Ne sait pas,Inconnu,Non
2019-01-10,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-10,Refusée sans enquête,,,Finances - Toutes directions confondues,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-10,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,PM,PM,PM,PM,Non
2019-01-10,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,HOMME,Français,NON,Non
2019-01-11,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-11,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-11,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Arabe,Non
2019-01-11,Refusée sans enquête,,,Affaires juridiques - Direction des affaires civiles,,,,,Dommage matériel - Réclamation monétaire,,,Inconnu,HOMME,Ne sait pas,Inconnu,Non
2019-01-11,Refusée sans enquête,Saint-Laurent,,,,,,,TP - Déneigement,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2019-01-11,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Constat - Stationnement,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2019-01-11,Analyse/enquête sommaire,Ville-Marie,,,,,,,TP - Déneigement,"Charte - environnement, developpement durable",,65 ans et +,HOMME,Canadien,NON,Non
2019-01-11,Enquête approfondie,Le Plateau-Mont-Royal,,,,,,,TP - Déneigement,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-12,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,Remorquage,,,26 à 40 ans,HOMME,Canadien,NON,Non
2019-01-13,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,Ruelle,,,26 à 40 ans,HOMME,Canadien,NON,Non
2019-01-13,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Accès à l'information,,,26 à 40 ans,FEMME,Espagnol,Latino-américain,Non
2019-01-14,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,ZU - Entrée charretière/Stationnement privé,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-14,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Haitien,Noir,Non
2019-01-14,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Accès à l'information,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-14,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Salubrité - Moisissures,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-14,Refusée sans enquête,,,,,,,Ayant lien avec la Ville,Animal,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-14,Refusée sans enquête,,,,,,,Ayant lien avec la Ville,Accès à l'information,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-14,Refusée sans enquête,LaSalle,,,,,,,Immeuble - Salubrité - Moisissures,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2019-01-14,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-14,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Agent de la paix - DAO (excluant comportement),,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2019-01-14,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,HOMME,Pays inconnu,Latino-américain,Non
2019-01-14,Enquête approfondie,Rosemont--La Petite-Patrie,Le Plateau-Mont-Royal,Matériel roulant et ateliers - Toutes directions confondues,Gestion et planification immobilière - Toutes directions confondues,,,,Nuisance - Bruit,"Charte - environnement, developpement durable",,GC,GC,GC,GC,Non
2019-01-14,Enquête approfondie,,,,,Corporation Anjou 80,,,Relations locataire/propriétaire (VdM et entités liées),,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-15,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,FEMME,Canadien,NON,Non
2019-01-15,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-15,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,Immeuble - Entretien,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-15,Refusée sans enquête,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-16,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Entretien,,,65 ans et +,HOMME,Tunisien,NON,Non
2019-01-16,Refusée sans enquête,,,Ville - Général - (ne pas confondre Direction générale),,,,,Services aux citoyens - Autre ou combinaison,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-16,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,Charte - vie économique et sociale,,41 à 50 ans,HOMME,Haitien,Noir,Non
2019-01-16,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Latino-américain,Non
2019-01-16,Refusée sans enquête,,,Affaires juridiques - Direction des affaires civiles,,,,,Dommage corporel - Réclamation monétaire,,,41 à 50 ans,FEMME,Canadien,NON,Non
2019-01-16,Enquête approfondie,Anjou,,,,,,,Sécurité - Autre qu'incendie,Charte - sécurité,,41 à 50 ans,FEMME,Canadien,NON,Non
2019-01-16,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,Immeuble - Entretien,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2019-01-17,Refusée sans enquête,,,,,,,,Animal,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-17,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-17,Enquête approfondie,,,,,Société d'habitation et de développement de Montréal (SHDM),,,Services aux citoyens - Communication/Informations,Charte - services municipaux,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-18,Refusée sans enquête,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,Services aux citoyens - Délai/Procédure,,,41 à 50 ans,FEMME,Pays inconnu,Noir,Non
2019-01-18,Refusée sans enquête,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,Constat - Autre que stationnement,,,41 à 50 ans,FEMME,Italien,NON,Non
2019-01-18,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,26 à 40 ans,HOMME,Canadien,NON,Non
2019-01-18,Refusée sans enquête,Ville-Marie,,Affaires juridiques - Direction des affaires civiles,,,,,Dommage matériel - Réclamation monétaire,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-18,Analyse/enquête sommaire,Pierrefonds-Roxboro,,,,,,,Participation citoyenne - Autre que droit d'initiative,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-18,Refusée sans enquête,,,,,Société de transport de Montréal (STM),,,Services aux citoyens - Courtoisie/Comportement,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-18,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,FEMME,Pays inconnu,Arabe,Non
2019-01-18,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-21,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,Saint-Laurent,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),Finances - Toutes directions confondues,,,,Services aux citoyens - Délai/Procédure,,,18 à 25 ans,FEMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,,,Habitation - Toutes directions confondues,,,,,Subvention - Autre que logement social,,,41 à 50 ans,HOMME,Marocain,Arabe,Non
2019-01-21,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Constat - Stationnement,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,,,,,,,,Constat - Stationnement,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,Ville-Marie,,,,,,,Immeuble - Entretien,,,Inconnu,FEMME,Pays inconnu,Asiatique,Non
2019-01-21,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Asiatique,Non
2019-01-21,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Nuisance - Autre ou Combinaison,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-21,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Accès à l'information,,,Inconnu,HOMME,Français,NON,Non
2019-01-21,Refusée sans enquête,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-21,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-21,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-21,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-22,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-22,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,HOMME,Canadien,Noir,Non
2019-01-22,Refusée sans enquête,,,Habitation - Toutes directions confondues,,,,,Services aux citoyens - Communication/Informations,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-22,Analyse/enquête sommaire,Ville-Marie,,,,,,,Fourrière,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-22,Enquête approfondie,Outremont,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-22,Enquête approfondie,Outremont,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-22,Enquête approfondie,Outremont,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-22,Enquête approfondie,Outremont,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-22,Enquête approfondie,Outremont,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-22,Suivi engagement antérieur,Outremont,,,,,,,Domaine public - Occupation,,,51 à 64 ans,FEMME,Italien,NON,Non
2019-01-22,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,HOMME,Canadien,Noir,Non
2019-01-22,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-22,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-23,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,TP - Déneigement,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-23,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,Piste cyclable / Vélo,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-23,Refusée sans enquête,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-23,Analyse/enquête sommaire,Ville-Marie,,,,,,,Fourrière,,,51 à 64 ans,FEMME,Canadien,Inconnu,Non
2019-01-23,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2019-01-23,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-24,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-24,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,TP - Déneigement,,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-24,Refusée sans enquête,Pierrefonds-Roxboro,,,,,,,Nuisance - Autre ou Combinaison,,,51 à 64 ans,HOMME,Pays inconnu,Arabe,Non
2019-01-24,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Pays inconnu,NON,Non
2019-01-24,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-25,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-25,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-25,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-25,Refusée sans enquête,X-Tous les arrondissements,,,,,,,TP - Déneigement,,,Inconnu,FEMME,Français,NON,Non
2019-01-28,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-28,Refusée sans enquête,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,Constat - Stationnement,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-28,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,TP - Déneigement,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-28,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,Participation citoyenne - Autre que droit d'initiative,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-28,Refusée sans enquête,L'Île-Bizard--Sainte-Geneviève,,,,,,,TP - Propreté,,,65 ans et +,HOMME,Français,NON,Non
2019-01-28,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,TP - Aqueduc / Égout,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-28,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Services aux citoyens - Communication/Informations,Charte - services municipaux,,41 à 50 ans,FEMME,Canadien,NON,Non
2019-01-29,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,HOMME,Pays inconnu,Arabe,Non
2019-01-29,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,FEMME,Yougoslave,NON,Non
2019-01-29,Refusée sans enquête,,,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,,Services aux citoyens - Communication/Informations,,,51 à 64 ans,FEMME,Pays inconnu,Arabe,Non
2019-01-29,Refusée sans enquête,,,Affaires juridiques - Direction des affaires civiles,,,,,Dommage matériel - Réclamation monétaire,,,51 à 64 ans,FEMME,Pays inconnu,Arabe,Non
2019-01-29,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Nuisance - Bruit,,,41 à 50 ans,HOMME,Canadien,NON,Non
2019-01-29,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Dommage matériel - Réclamation monétaire,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-29,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Services aux citoyens - Délai/Procédure,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-29,Refusée sans enquête,Saint-Léonard,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,Inconnu,FEMME,Pays inconnu,Arabe,Non
2019-01-29,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Nuisance - Bruit,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2019-01-29,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,Services aux citoyens - Courtoisie/Comportement,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-29,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,TP - Déneigement,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-29,Analyse/enquête sommaire,,,Habitation - Toutes directions confondues,,,,,Services aux citoyens - Communication/Informations,,,OdM,OdM,OdM,OdM,Non
2019-01-30,Refusée sans enquête,Ville-Marie,,,,,,,TP - Déneigement,,,51 à 64 ans,HOMME,Italien,NON,Non
2019-01-30,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Entretien,,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-30,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,FEMME,Canadien,Arabe,Non
2019-01-30,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,26 à 40 ans,HOMME,Canadien,NON,Non
2019-01-30,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,FEMME,Canadien,NON,Non
2019-01-30,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Nuisance - Autre ou Combinaison,,,51 à 64 ans,HOMME,Canadien,NON,Non
2019-01-30,Refusée sans enquête,Saint-Léonard,,,,,,,Accès à l'information,,,51 à 64 ans,HOMME,Pays inconnu,Arabe,Non
2019-01-30,Refusée sans enquête,,,Affaires juridiques - Direction des affaires civiles,,,,,Dommage corporel - Réclamation monétaire,,,51 à 64 ans,HOMME,Pays inconnu,Arabe,Non
2019-01-30,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,Immeuble - Salubrité - Insectes,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-31,Refusée sans enquête,Montréal-Nord,,,,,,,TP - Déneigement,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2019-01-31,Refusée sans enquête,,,Concertation des arrondissements  - Toutes directions confondues,,,,,Animal,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2019-01-31,Refusée sans enquête,,,Police - Toutes direstions confondues,,,,,Agent de la paix - DAO (excluant comportement),,,26 à 40 ans,HOMME,Pays inconnu,Inconnu,Non
2019-01-31,Refusée sans enquête,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,Cour municipale - Jugement ,,,26 à 40 ans,FEMME,Canadien,NON,Non
