Id,date,provenance,relation_navette_connaissance,relation_navette_premiere_experience,relation_navette_confort_autonomie,relation_navette_confiance_technologie,relation_avec _technologie,relation_navette_meilleur_usage,relation_navette_avantages,relation_navette_barrieres_utilisation,relation_navette_integration_rue,relation_navette_integration_transport,relation_navette_voiture,relation_navette_cycliste,relation_navette_pieton,navette_parc_olympique_connaissance,navette_parc_olympique_essaie,navette_parc_olympique_non_essaie,navette_parc_olympique_evaluation_experience,navette_parc_olympique_confort_autonomie,navette_parc_olympique_securite_en_mouvement,navette_parc_olympique_sentiment_sans_controleur,navette_parc_olympique_comparaison_autre_transport,navette_parc_olympique_integration,navette_parc_olympique_evaluation_trajet,navette_parc_olympique_evaluation_confort,navette_parc_olympique_evaluation_vitesse,navette_parc_olympique_evaluation_emplacement_arrets,navette_parc_olympique_evaluation_nbre_arrets,navette_parc_olympique_evaluation_cortoisie_operateur,navette_parc_olympique_evaluation_horaire,relation_voiture_pocession,relation_voiture_frequence_usage,relation_voiture_conduite,relation_tranport_en_commun_usage,relation_tranport_en_commun_frequence,relation_transport_en_commun_nature,relation_tranport_en_commun_appreciation,classement_groupe_age,classement_genre,classement_niveau_etude,classement_mobilite_reduite,classement_statut_emploi,classement_duree_trajet,classement_frequence_teletravail,classement_statut_familial,commentaire
11,2018-10-23,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Meilleur flot de circulation dans la ville",Le non respect des règles de circulation par les piétons et vélos,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Oui,,5,5,Oui,4,5,Oui,5,5,3,5,4,5,5,Oui,Quelques fois par mois,Oui,Non,Quelques fois par mois,"Métro, Trains de banlieue",4,35 - 50 ans,Homme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,2h,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
12,2018-10-23,Par courriel,Oui,Oui,5,5,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Navette dans des endroits très achalandés, Utilisation pour le ","Meilleur flot de circulation dans la ville, Transport collectif plus durable","Sécurité des passants, Absence physique de conducteur",Pas convaincu,Oui,Inconfortable,Très inconfortable,Très inconfortable,Oui,Oui,,5,4,Oui,3,4,Oui,4,4,3,5,5,5,5,Non,,Je ne conduis pas,Oui,Tous les jours,Métro,4,51 - 65,Femme,Baccalauréat,Non,Employé à temps plein,2 heures,Jamais,Personne seule ou en couple,
13,2018-10-23,Par courriel,Oui,Oui,3,3,J'adopte rapidement les technologies et j'influence les autres,Transport de personnes à mobilité réduite,Aide au transport de personnes qui ne conduisent pas,lenteur,Non,Non,Neutre,Inconfortable,Neutre,Oui,Oui,,2,3,Oui,3,3,Non,2,4,1,5,5,5,4,,Tous les jours,Oui,Oui,Quelques fois par année,Métro,4,35 - 50 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,45 minutes,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
14,2018-10-23,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,À la sortie des stations de transport en commun du métro et du train,"Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Meilleur flot de circulation dans la ville, Transport collectif plus durable",Lenteur du véhicule,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Oui,,3,5,Oui,2,3,Oui,4,3,1,5,5,5,5,Oui,Tous les jours,Oui,Oui,Quelques fois par mois,"Métro, Bixi",3,25 à 34 ans,Femme,Baccalauréat,Non,Employé à temps plein,1 heure,Jamais,Famille avec enfant (1 ou 2 parents),
15,2018-10-23,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Transport collectif plus durable",Fiabilité des technologies,Oui,Oui,Confortable,Neutre,Très confortable,Oui,Oui,,5,4,Oui,4,3,Oui,4,3,2,4,4,5,3,Oui,Quelques fois par semaine,Oui,Oui,Tous les jours,"Autobus, Métro",5,51 - 65,Femme,Baccalauréat,Non,Employé à temps plein,Presque 2 heures,Quelques fois par semaine,Famille avec enfant (1 ou 2 parents),
16,2018-10-23,Par courriel,Oui,Oui,5,5,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)",Fiabilité des technologies,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Oui,,5,5,Oui,3,5,Oui,3,5,3,5,5,5,3,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Métro, Trains de banlieue",3,25 à 34 ans,Homme,Baccalauréat,Non,Employé à temps plein,60 minutes,Jamais,Famille avec enfant (1 ou 2 parents),
17,2018-10-23,Par courriel,Oui,Non,3,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Transport de personnes à mobilité réduite, Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pa","Sécurité des passants, Fiabilité des technologies",Pas convaincu,Peut-être,Inconfortable,Confortable,Confortable,Oui,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Je n'ai pas d'opinion,Non,Quelques fois par année,"Autobus, Métro",3,35 - 50 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,60 min.,Jamais,Famille avec enfant (1 ou 2 parents),
18,2018-10-23,Par courriel,Oui,Oui,5,5,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation","Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Oui,Oui,Très confortable,Confortable,Confortable,Oui,Oui,,5,5,Oui mais je n'aurais pas aimé que la navette circule plus rapidement,3,4,Oui,4,5,4,3,2,5,4,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Autobus, Métro, Bixi",1,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,3 heures,Jamais,Personne seule ou en couple,
19,2018-10-23,Par courriel,Oui,Non,4,4,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)",Ne pas avoir à me stationner (la navette vous dépose et repart),Fiabilité des technologies,Pas convaincu,Peut-être,Confortable,Confortable,Confortable,Oui,Non,"Distance courte, je préfère marcher",,,,,,,,,,,,,,Oui,Tous les jours,Je n'ai pas d'opinion,Oui,Quelques fois par année,"Autobus, Métro",3,51 - 65,Femme,Baccalauréat,Non,Employé à temps plein,20 minutes,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
20,2018-10-23,Par courriel,Oui,Oui,4,2,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Transport collectif plus dur","Sécurité des passants, Collecte de données personnelles, Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Pas convaincu,Peut-être,Neutre,Inconfortable,Inconfortable,Oui,Oui,,2,3,Oui,2,4,Non,4,4,2,4,4,4,2,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Autobus, Métro, Bixi",4,35 - 50 ans,Femme,Baccalauréat,Non,Employé à temps plein,30 minutes,Jamais,Personne seule ou en couple,
21,2018-10-23,Par courriel,Oui,Non,5,4,J'adopte rapidement les technologies et j'influence les autres,Navette dans des endroits très achalandés,"Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)",la performance des technologies + la crainte des org. de réglementation,Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,la navette du Parc semble être de l'âge de pierre + je marche plus vite qu'elle,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Autobus, Métro",4,51 - 65,Homme,Baccalauréat,Non,Employé à temps plein,entre 1h et 1h30,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
22,2018-10-24,Par courriel,Oui,Non,4,4,J'adopte les technologies lorsque nécessaire,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)",Meilleur flot de circulation dans la ville,Sécurité des passants,Oui,Peut-être,Confortable,Neutre,Neutre,Oui,Non,j'ai pas eu la chance encore de l'essayer,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,Métro,3,51 - 65,Homme,Diplome d'études secondaire,Non,Employé à temps plein,un heure par jour,Jamais,Personne seule ou en couple,
23,2018-10-24,Par courriel,Oui,Oui,2,2,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)",,"Sécurité des passants, Collecte de données personnelles, Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Pas convaincu,Non,Confortable,Inconfortable,Inconfortable,Oui,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par mois,Métro,4,25 à 34 ans,Homme,Diplôme d'études collégiales,Non,Employé à temps plein,"1,5h",Jamais,Personne seule ou en couple,
24,2018-10-24,Par courriel,Oui,Non,4,4,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), En remplacement de la voiture individuelle, Service spécial au ","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation",Aucune,Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,Pas le public cible,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par année,Métro,4,35 - 50 ans,Homme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps partiel,1 heure,Jamais,Personne seule ou en couple,
25,2018-10-24,Par courriel,Oui,Non,2,3,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Meilleur flot de circulation dans la ville, Transpo","Sécurité des passants, Cybersécurité",Oui,Oui,Neutre,Neutre,Très confortable,Oui,Non,Je n'ai pas à circuler sur le site.,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",3,51 - 65,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,1 heure,Jamais,Personne seule ou en couple,
26,2018-10-24,Par courriel,Oui,Oui,5,4,Je ne suis pas attiré par l'utilisation des technologies,En remplacement de la voiture individuelle,"Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pa",Fiabilité des technologies,Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,,,,,,,,,,,,,,,Oui,Quelques fois par mois,Je n'ai pas d'opinion,Oui,Quelques fois par semaine,Métro,2,51 - 65,Femme,Baccalauréat,Non,Employé à temps plein,40 minutes,Jamais,Famille avec enfant (1 ou 2 parents),
27,2018-10-24,Par courriel,Oui,Oui,4,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)",Ne pas avoir à me stationner (la navette vous dépose et repart),Sécurité des passants,Pas convaincu,Peut-être,Confortable,Inconfortable,Très inconfortable,Oui,Oui,,2,3,Oui,3,3,Oui,4,4,2,4,4,5,Pas d'opinion,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",3,35 - 50 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,1heure,Jamais,Famille avec enfant (1 ou 2 parents),
28,2018-10-24,Par courriel,Oui,Non,3,3,J'adopte les technologies lorsque nécessaire,Camionage,"Augmente la sécurité routière, Meilleur flot de circulation dans la ville, Énergie électrique non polluante","Collecte de données personnelles, Cybersécurité, Transition à long terme. Lenteur. Vide jurique quant aux responsabilités.",Oui,Peut-être,Neutre,Neutre,Neutre,Oui,Non,"Trop, trop lent.",,,,,,,,,,,,,,Oui,Quelques fois par mois,Je n'ai pas d'opinion,Oui,Quelques fois par semaine,"Autobus, Métro, Vélo personnel",4,51 - 65,Homme,Baccalauréat,Non,Employé à temps plein,"1,5 h",Jamais,Personne seule ou en couple,
29,2018-10-24,Par courriel,Oui,Non,5,5,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)",Collecte de données personnelles,Oui,Oui,Très confortable,Confortable,Confortable,Oui,Non,Pas eu le temps encore,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Autobus, Métro",4,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,1h,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
30,2018-10-24,Par courriel,Oui,Non,3,4,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Transport collectif plus durable","Sécurité des passants, Fiabilité des technologies, Très faible vitesse, moins vite que marche si on tient compte des arrêts",Oui,Oui,Neutre,Très confortable,Très confortable,Oui,Non,Pas disponible lorsque j'en ai besoin et faible vitesse,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Oui,Oui,Quelques fois par mois,Métro,4,51 - 65,Homme,Baccalauréat,Non,Employé à temps plein,"0,75 À 1h",Quelques fois par mois,Personne seule ou en couple,
31,2018-10-24,Par courriel,Non,Non,3,3,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville",Sécurité des passants,Oui,Oui,Confortable,Confortable,Très confortable,Oui,Non,,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Je n'ai pas d'opinion,Non,Quelques fois par semaine,Métro,3,35 - 50 ans,Homme,Diplôme d'études collégiales,Non,Employé à temps partiel,30min,Jamais,Personne seule ou en couple,
32,2018-10-24,Par courriel,Oui,Non,,,,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Meilleur flot de circulation dans la ville, Transport collectif plus durable",,Oui,Oui,Très inconfortable,Très inconfortable,Très inconfortable,Oui,Non,manque de temps,,,,,,,,,,,,,,Oui,Tous les jours,Je n'ai pas d'opinion,Oui,Tous les jours,"Autobus, Métro",4,35 - 50 ans,Femme,Baccalauréat,Non,Employé à temps plein,,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
33,2018-10-24,Par courriel,Oui,Non,5,5,J'adopte rapidement les technologies et j'influence les autres,À la sortie des stations de transport en commun du métro et du train,"Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Transport collectif plus durable",Lenteur et attente de la navette,Oui,Peut-être,Très confortable,Très confortable,Très confortable,Oui,Non,Trop lent et pas assez fréquent,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par mois,"Autobus, Métro",3,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,3 h,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
34,2018-10-24,Par courriel,Oui,Non,2,2,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Transport collectif plus dur","Sécurité des passants, Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Pas convaincu,Oui,Inconfortable,Inconfortable,Neutre,Oui,Non,"Je travaille à la clinique Stadium et avec les travaux elle ne passe pas à côté. De plus, je n'ai pas à marcher longtemps du stationnement au travail.",,,,,,,,,,,,,,Oui,Quelques fois par mois,Oui,Oui,Quelques fois par semaine,Métro,3,25 à 34 ans,Femme,Diplome d'études secondaire,Non,Employé à temps plein,2h,Jamais,Personne seule ou en couple,
35,2018-10-24,Par courriel,Oui,Non,4,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,Transport de personnes à mobilité réduite,Aide au transport de personnes qui ne conduisent pas,"Sécurité des passants, Cybersécurité, Fiabilité des technologies",Oui,Oui,Inconfortable,Confortable,Confortable,Non,Non,je marche du stationnement,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,Métro,1,25 à 34 ans,Homme,Baccalauréat,Non,Employé à temps plein,2H,Quelques fois par semaine,Personne seule ou en couple,
36,2018-10-24,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas",,Pas convaincu,Peut-être,Neutre,Neutre,Neutre,Oui,Oui,,4,5,Oui,4,4,Oui,4,5,4,5,5,5,5,Oui,Tous les jours,Oui,Non,Quelques fois par année,,3,35 - 50 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,2h00 min,Quelques fois par semaine,Famille avec enfant (1 ou 2 parents),
