Id,date,evaluation_service_motivation_prise_navette,evaluation_service_but_deplacement ,evaluation_service_transport_remplace,evaluation_service_planification_trajet,evaluation_service_appreciation,evaluation_service_avantages,evaluation_service_besoins_mobilite,evaluation_service_arrets_plus_frequents,evaluation_service_apport,evaluation_service_obstacles_integration,habitudes_transport_frequence,habitudes_transport_temps,habitudes_transport_irritants,relation_navette_premiere_experience,relation_navette_confort_autonomie,relation_navette_confiance_technologie,relation_navette_confort_absence_operateur,relation_navette_confort_controleur_a_distance,relation_navette_pieton,relation_navette_cycliste,relation_navette_voiture,relation_navette_perception,classement_groupe_age,classement_genre,classement_niveau_etude,classement_mobilite_reduite,classement_statut_emploi,commentaire
11,2019-07-12 15:09:34,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..)",Magasiner,À pied,,3,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité de quartier, Favoriser un mode de transport non-polluant","Oui, lesquels, Pour aller au marché",De Rouen Ouest / Est,Oui,"Fiabilité de la technologie, Entrave à la circulation des voitures, Entrave à la circulation des cyclistes, Sécurité des piétons et autres usagers de la route, Coûts d'exploitation",Quelques fois par mois,0 - 30 min,"Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Oui,3,4,"Je me demande qui va répondre aux questions, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..)",Oui,4,4,3,de manière plutôt positive,51 à 64 ans,Femme,Diplôme d'études collégiales,Non,Retraité,
12,2019-07-12 15:24:57,"Plus confortable (climatisation, place assise ..)",Aller travailler,En transport collectif,Oui,5,"Réduire les accidents de la route, Favoriser un mode de transport non-polluant","Oui, lesquels",,,"Sécurité des passagers de la navette, Cybersécurité - (attaque à distance des systèmes de contrôle de la navette)",Tous les jours ou presque,0 - 30 min,Temps de trajet,Oui,4,4,Aucun problème,Oui,3,3,3,de manière très positive,51 à 64 ans,Homme,Diplôme universitaire,Non,Travailleur à temps plein,
13,2019-07-12 15:32:41,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus pratique ou plus rapide (que de marcher ou de prendre ma voiture par exemple), Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité de quartier","Oui, lesquels",Stade Olympique,Oui,"Sécurité des passagers de la navette, Absence de conducteur, Fiabilité de la technologie",Tous les jours ou presque,1h - 1h30,"Achalandage, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Non,2,4,"Aucun problème, J'aurai peur, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..), Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect de",Peut-être,,3,1,de manière très positive,51 à 64 ans,Femme,Diplôme d'études collégiales,Oui,Étudiant,Offrir du service adapté pas seulement sur demande
14,2019-07-16 13:06:56,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus pratique ou plus rapide (que de marcher ou de prendre ma voiture par exemple)",Loisir / promenade,À pied,,5,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Accroitre la sécurité vis à vis des cyclistes et des piétons, Réduire les accidents de la route, Faciliter l'accès a",Non,"Biodôme, Marché Maisonneuve",Oui,"Sécurité des passagers de la navette, Fiabilité de la technologie",Quelques fois par semaine,0 - 30 min,"Fréquence, Achalandage, Fiabilité (panne, accident, non présentation du bus ...)",Non,5,5,Aucun problème,Oui,5,5,5,de manière très positive,18 à 34 ans,Femme,Diplôme d'études secondaires,Non,"Étudiant, Travailleur à temps plein",Très bon service
15,2019-07-16 13:25:40,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,Augmenter la mobilité de quartier,"Oui, lesquels","Biodôme, Marché Maisonneuve",Non,"Sécurité des passagers de la navette, Cybersécurité - (attaque à distance des systèmes de contrôle de la navette)",Quelques fois par semaine,30 min - 1h,Fréquence,Non,5,5,Aucun problème,Oui,5,5,5,de manière très positive,65 à 74 ans,Homme,Diplôme d'études secondaires,Non,Travailleur à temps partiel,
16,2019-07-16 13:25:47,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,Augmenter la mobilité de quartier,"Oui, lesquels",Marché Maisonneuve,Oui,"Sécurité des passagers de la navette, Cybersécurité - (attaque à distance des systèmes de contrôle de la navette)",Quelques fois par semaine,30 min - 1h,Fréquence,Non,5,5,Aucun problème,Oui,5,5,5,de manière très positive,18 à 34 ans,Homme,Diplôme d'études collégiales,Non,Étudiant,
17,2019-07-16 13:39:07,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,En transport collectif,Oui,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Faciliter l'accès au réseau de bus ou de métro, Augmenter la mobilité de quartier, Augmenter la mobilité des personn","Oui, lesquels, Dans le quartier","Stade Olympique, Marché Maisonneuve",Oui,,Tous les jours ou presque,1h30 - 2h,"Achalandage, Distance au transport collectif le plus proche, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Oui,5,5,"Je me demande qui va répondre aux questions, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..), Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transp",Peut-être,5,5,5,de manière très positive,18 à 34 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,Arret mal indiqué
18,2019-07-16 14:38:35,"Pour l'expérience de monter dans une navette autonome, pour tester",Aller travailler,En transport collectif,Oui,4,"Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant",Non,"Stade Olympique, Marché Maisonneuve",Oui,"Cybersécurité - (attaque à distance des systèmes de contrôle de la navette), Fiabilité de la technologie, Sécurité des piétons et autres usagers de la route",Quelques fois par semaine,0 - 30 min,"Fréquence, Achalandage, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Oui,2,1,"Je me demande qui va répondre aux questions, Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?, Tant que ça ne va pas plus vite",Oui,3,3,3,de manière plutôt négative,51 à 64 ans,Homme,Diplôme universitaire,Non,Retraité,Septique sur l intégration dans le reseau
19,2019-07-16 15:01:44,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..)",Aller travailler,En transport collectif,Oui,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Faciliter l'accès au réseau de bus ou de métro",Non,"Stade Olympique, Marché Maisonneuve",Oui,"Sécurité des passagers de la navette, Cybersécurité - (attaque à distance des systèmes de contrôle de la navette)",Tous les jours ou presque,plus de 2h,"Achalandage, Distance à pied totale sur le trajet, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...), Fiabilité (panne, accident, non présentation du bus ...), Lés poussettes",Non,5,5,Aucun problème,Oui,5,5,5,de manière très positive,18 à 34 ans,Femme,Diplôme d'études collégiales,Non,Étudiant,
20,2019-07-16 15:14:43,"Pour l'expérience de monter dans une navette autonome, pour tester",Aller travailler,À pied,Oui,4,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité de quartier, Favoriser un mode de transport non-polluant","Oui, lesquels","Stade Olympique, Marché Maisonneuve",Oui,"Entrave à la circulation des voitures, Entrave à la circulation des cyclistes",Quelques fois par année,,"Fréquence, Confort, J'ai une voiture maintenant",Non,5,5,Aucun problème,Oui,5,5,5,de manière très positive,18 à 34 ans,Femme,Diplôme d'études collégiales,Non,Travailleur à temps plein,Dans les festivals
21,2019-07-16 15:32:51,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,À pied,Oui,4,"Accroitre la fréquence des transports collectifs, Augmenter la mobilité de quartier, Favoriser un mode de transport non-polluant",Non,"Biodôme, Marché Maisonneuve",Oui,"Cybersécurité - (attaque à distance des systèmes de contrôle de la navette), Collecte des données personnelles, Coûts d'exploitation",Tous les jours ou presque,1h30 - 2h,"Fréquence, Confort, Distance à pied totale sur le trajet, Fiabilité (panne, accident, non présentation du bus ...)",Non,5,5,,Oui,5,5,5,de manière très positive,51 à 64 ans,Homme,Diplôme d'études collégiales,Non,Travailleur à temps plein,
22,2019-07-16 15:43:56,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,3,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Réduire les accidents de la route, Faciliter l'accès au réseau de bus ou de métro, Augmenter la mobilité des personnes à mob réduite","Oui, lesquels, Vers le metro","Stade Olympique, Marché Maisonneuve",Pas assez rapide,"Sécurité des passagers de la navette, Fiabilité de la technologie",Quelques fois par semaine,30 min - 1h,"Distance à pied totale sur le trajet, Nombre de correspondances nécessaires, Temps de trajet, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...), Fiabilité (panne, accident, non présentation du bus ...)",Non,4,4,"Je me demande qui va répondre aux questions, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..), Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transp",Oui,4,4,4,Neutre (cela ne change pas ma perception),35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps partiel,Continuez il doit y en avoir plus
23,2019-07-16 16:22:11,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,À pied,Oui,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Accroitre la sécurité vis à vis des cyclistes et des piétons, Augmenter la mobilité de quartier","Oui, lesquels, Population vieillissante","Biodôme, De Rouen Ouest / Est",Oui,"Sécurité des passagers de la navette, Cybersécurité - (attaque à distance des systèmes de contrôle de la navette), Collecte des données personnelles",Quelques fois par semaine,30 min - 1h,"Confort, Achalandage, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...), Fiabilité (panne, accident, non présentation du bus ...)",Non,3,5,"J'aurai peur, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..)",Non,5,5,5,de manière très positive,Ne souhaite pas répondre,Femme,Diplôme universitaire,Non,Autre,Plus de projets pilotes et pour le tourisme
24,2019-07-16 16:35:25,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Accroitre la sécurité vis à vis des cyclistes et des piétons, Réduire les accidents de la route, Faciliter l'accès a",,Stade Olympique,Peut-être,,Quelques fois par mois,0 - 30 min,Temps de trajet,Oui,5,5,"Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",,4,3,5,de manière très positive,18 à 34 ans,Homme,Diplôme universitaire,Non,Travailleur à temps plein,Meilleur encadrement du trajet pour les autos piétons et cyclistes
25,2019-07-16 16:49:25,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..)",Loisir / promenade,À pied,Non,5,"Déployer des lignes dans les milieux faiblement denses, Accroitre la sécurité vis à vis des cyclistes et des piétons, Réduire les accidents de la route, Augmenter la mobilité de quartier, Favoriser un mode de transport non-polluant","Oui, lesquels",Marché Maisonneuve,Oui,,Quelques fois par semaine,30 min - 1h,"Fréquence, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Oui,5,5,Aucun problème,Oui,5,5,5,de manière très positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Autre,
26,2019-07-16 17:05:55,"Pour l'expérience de monter dans une navette autonome, pour tester, Pour encourager le transport collectif et écologique",Aller travailler,À pied,Non,2,Accroitre la sécurité vis à vis des cyclistes et des piétons,Non,"Stade Olympique, Marché Maisonneuve",Oui,Coûts d'exploitation,Tous les jours ou presque,1h - 1h30,"Confort, Achalandage, Distance au transport collectif le plus proche, Distance à pied totale sur le trajet, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Non,1,4,Aucun problème,Non,5,5,5,de manière plutôt positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,"Sécurité des operateurs, doivent aider les personnes à mobilité reduite"
27,2019-07-17 13:47:57,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,À pied,,5,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Réduire les accidents de la route, Augmenter la mobilité de quartier, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels","Stade Olympique, Marché Maisonneuve",,,Quelques fois par année,30 min - 1h,,Non,4,4,Aucun problème,Peut-être,4,4,4,de manière plutôt positive,51 à 64 ans,Homme,Diplôme d'études collégiales,Non,Travailleur à temps plein,
28,2019-07-17 14:05:20,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..)",Loisir / promenade,À vélo,,5,Augmenter la mobilité des personnes à mob réduite,Non,"Stade Olympique, De Rouen Ouest / Est",Peut-être,Absence de conducteur,Tous les jours ou presque,1h30 - 2h,"Confort, Achalandage, Fiabilité (panne, accident, non présentation du bus ...)",Non,4,4,"J'aurai peur, Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,3,3,3,de manière plutôt positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,
29,2019-07-17 14:33:22,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,Je n'aurais pas fait ce déplacement,Oui,4,"Déployer des lignes dans les milieux faiblement denses, Réduire les accidents de la route, Faciliter l'accès au réseau de bus ou de métro, Augmenter la mobilité de quartier","Oui, lesquels",Marché Maisonneuve,Oui,Entrave à la circulation des cyclistes,Tous les jours ou presque,30 min - 1h,"Confort, Achalandage",Oui,3,2,"Aucun problème, Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,3,4,3,de manière très positive,35 à 50 ans,Homme,Diplôme universitaire,Non,,
30,2019-07-17 14:33:24,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,À pied,Non,3,Augmenter la mobilité de quartier,Non,Marché Maisonneuve,,"Fiabilité de la technologie, Sécurité des piétons et autres usagers de la route",Quelques fois par semaine,0 - 30 min,"Fréquence, Distance au transport collectif le plus proche",Non,4,4,"Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..)",Peut-être,5,4,3,de manière plutôt positive,65 à 74 ans,Homme,Diplôme d'études secondaires,Non,Retraité,
31,2019-07-17 15:02:00,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,À pied,Oui,5,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Favoriser un mode de transport non-polluant","Oui, lesquels","Stade Olympique, Marché Maisonneuve",Non,Sécurité des passagers de la navette,Quelques fois par semaine,plus de 2h,"Confort, Achalandage, Distance au transport collectif le plus proche, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Non,5,5,"Aucun problème, Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,3,5,5,de manière plutôt positive,51 à 64 ans,Homme,Diplôme universitaire,Non,Travailleur à temps plein,"Penser personnes plus petite
Étendre le service"
32,2019-07-17 15:03:12,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,Je n'aurais pas fait ce déplacement,Oui,5,"Accroitre la fréquence des transports collectifs, Augmenter la mobilité de quartier, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels","Stade Olympique, Marché Maisonneuve",Oui,Sécurité des passagers de la navette,Quelques fois par semaine,30 min - 1h,"Fréquence, Confort",Non,5,5,"Aucun problème, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..)",Oui,3,5,5,de manière plutôt positive,51 à 64 ans,Femme,Diplôme universitaire,Non,Retraité,Rendre le fait que c est autonome plus visible si elle va plus vite
33,2019-07-17 16:09:17,"Plus confortable (climatisation, place assise ..)",Loisir / promenade,À pied,Oui,5,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Faciliter l'accès au réseau de bus ou de métro, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels","Stade Olympique, Marché Maisonneuve",Oui,,Quelques fois par semaine,30 min - 1h,Achalandage,Non,4,5,J'aurai peur,Oui,5,5,5,de manière plutôt positive,65 à 74 ans,Homme,Diplôme universitaire,Non,Retraité,
34,2019-07-17 16:09:22,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..)",Loisir / promenade,À pied,Non,5,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité de quartier, Favoriser un mode de transport non-polluant","Oui, lesquels","Biodôme, Stade Olympique",Oui,Coûts d'exploitation,Quelques fois par semaine,30 min - 1h,"Achalandage, Distance au transport collectif le plus proche",Non,4,4,"Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..)",Oui,5,5,5,,18 à 34 ans,Femme,Diplôme d'études secondaires,Non,Étudiant,
35,2019-07-17 17:00:50,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,À pied,Non,5,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels","Biodôme, Marché Maisonneuve",Oui,,Tous les jours ou presque,0 - 30 min,"Achalandage, Fiabilité (panne, accident, non présentation du bus ...)",Non,5,5,"Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..), Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,4,4,4,de manière très positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,Agrandir les plages horaire et garder la gratuité
36,2019-07-17 17:17:21,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,À pied,Oui,5,"Étendre les horaires de service, Augmenter la mobilité de quartier","Oui, lesquels","Stade Olympique, De Rouen Ouest / Est",Oui,,Quelques fois par année,1h - 1h30,,Non,5,5,"Aucun problème, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..)",Oui,5,5,4,de manière très positive,35 à 50 ans,Homme,Diplôme d'études collégiales,Non,Travailleur à temps plein,Étendre aux événements touristiques
37,2019-07-17 17:17:33,"Plus confortable (climatisation, place assise ..)",Magasiner,À pied,Oui,5,"Accroitre la fréquence des transports collectifs, Ajustements au debu","Oui, lesquels","Hochelaga Ouest / Est, De Rouen Ouest / Est",Oui,,Quelques fois par année,1h - 1h30,,Non,5,4,"Aucun problème, Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,5,5,4,de manière très positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,A la ronde
