PrjName,RecordNo,Q2,Q3,Q33,Q4A,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7H,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9K,Q9F,Q9G,Q9I,Q9J,Q9L,Q9M,Q10,Q11,Q11O,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12L,Q12M,Q12N,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16,Q17B,Q17BO,Q17A,Q17AO,QNPS,Q18,Q19A,Q19B,Q19C,Q19D,Q19E,Q19F,Q20,Q21,Q21O,Q22,Q22O,Q24,Q27M1,Q27M1O,Q27M2,Q27M2O,Q27M3,Q27M3O,Q27M4,Q27M4O,Q27M5,Q27M5O,Q27M6,Q27M6O,Q27M7,Q27M7O,Q27M8,Q27M8O,Q27M9,Q27M9O,Q27M10,Q27M10O,Q25M1,Q25M1O,Q25M2,Q25M2O,Q25M3,Q25M3O,Q25M4,Q25M4O,Q25M5,Q25M5O,Q26,Q26O,Q28,Q29A,Q29B,Q29C,Q29D,Q29E,Q29F,Q29G,Q29H,Q30,Q31,DEMO,Q34,Q34O,Q35,Q36,Q36B,Q36BO,Q36C,Q36CO,Q37,LANG,POND
12000_112A,109,H1G,8,6,2,3,4,4,2,3,4,1,1,1,1,2,2,1,1,1,1,3,1,1,2,3,1,1,3,3,1,1,9,1,1,4,1,3,1,1,3,4,1,1,9,1,1,9,9,1,2,3,,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,9,que la police se promène aussi,99,,8,2, , , , , , , , ,, ,,1,6,, ,, ,, ,, ,, ,, ,, ,, ,, ,,4,réparation trottoir, ,, ,, ,, ,, ,,2,3,9,2,2,2,2,2,2,2,2,1,1,,1,1,3,,7,,2,FR,"1,725919"
12000_112A,113,H2H,11,5,3,3,1,4,2,2,4,3,3,3,3,3,3,1,4,4,3,4,2,3,2,1,1,1,3,1,1,1,3,1,1,2,2,1,1,9,1,1,1,1,2,3,9,9,1,2,1,9,conduite des cyclistes,3,3,4,9,1,2,9,2,2,9,9,9,2,9,2,2,2,1,9,le respect des regles de securite routiere,1,le delai et la qualite de la raison,10,2, , , , , , , , ,, ,,1,1,,2,,4,, ,, ,, ,, ,, ,, ,, ,,4,,10,, ,, ,, ,,13,chercher sa viniete,2,1,1,1,1,1,1,1,1,2,1,1,4,,1,4,3,,1,,2,FR,"0,394332"
12000_112A,114,H2V,9,4,2,2,1,3,3,3,3,2,3,3,3,2,4,2,2,3,2,3,3,2,2,3,1,1,2,4,1,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,98,,2,3,2,2,2,2,9,2,2,1,2,3,2,2,3,2,2,2,2,"Le plus important, c'est que les autobus aient des GPS pour qu'on puisse savoir quand ils arrivent en temps réel.",9,Que les travaux demandés par la personne soient bien en lien avec l'urbanisme de l'arrondissement,10,2, , , , , , , , ,, ,,1,6,,2,, ,, ,, ,, ,, ,, ,, ,, ,,4,, ,, ,, ,, ,, ,,1,2,1,2,1,1,2,2,2,2,2,1,1,,1,4,1,,1,,1,FR,"0,275288"
12000_112A,120,H2L,11,6,1,1,1,2,1,4,4,1,1,1,4,3,3,1,2,1,1,1,2,1,1,9,1,1,1,9,1,1,9,2,1,1,1,1,1,9,9,1,1,9,2,9,9,9,1,9,2,98,,2,2,2,2,2,2,9,2,1,1,1,1,2,1,2,2,2,2,8,La fluidité de la circulation surtout au Pont Jacques-Cartier,3,"Préserver le côté historique, dans certains quartiers. Il y a certaines rues qui semblent anarchiques.",98,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,1,,1,4,3,,1,,2,FR,"0,312662"
12000_112A,133,H2X,18,5,2,3,9,4,9,3,4,2,2,3,2,2,3,3,4,9,3,3,4,4,2,3,9,9,2,2,9,2,4,3,3,2,2,4,2,2,1,4,2,3,2,2,3,2,2,2,2,16,marcher tard le soir pour une femme,2,3,9,9,9,9,2,3,9,2,9,2,2,2,2,2,2,2,9,laq securité des pieton et des cyclistes,99,,10,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,vit seul,1,4,1,,1,,2,FR,"0,352267"
12000_112A,171,H1G,8,1,1,1,1,1,1,1,1,2,2,3,2,1,3,1,4,4,2,1,1,3,3,1,1,1,1,2,1,1,2,1,1,3,4,1,2,2,2,2,1,3,3,2,1,2,1,2,2,99,,2,3,3,2,1,9,2,2,2,1,1,2,2,2,3,2,2,2,1,le tranpost en commun,99,les routes,7,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,5,,2,3,1,,1,,1,FR,"0,789899"
12000_112A,175,H3E,17,6,2,3,1,2,9,2,3,1,1,2,3,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,3,3,1,1,2,3,2,2,1,2,1,1,1,1,1,2,8,,1,2,2,2,1,9,1,1,2,1,9,1,1,2,1,2,2,2,1,Le transport commun,1,La facilité et la rapidité pour recevoir le permis.,4,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,,1,4,3,,1,,1,FR,"0,243446"
12000_112A,181,H1S,15,4,2,1,3,2,2,1,1,4,1,1,4,2,2,4,3,3,3,1,4,3,2,2,1,1,1,1,1,2,4,1,2,1,1,2,1,1,1,3,1,2,4,3,1,1,2,1,2,4,,3,3,3,1,2,9,2,2,2,9,2,3,3,3,3,3,2,1,2,Not enough buses on the road. Roadwork everywhere create too much traffic.,99,,7,2, , , , , , , , ,, ,,1,3,,97,CLSC for my mom,6,, ,, ,, ,, ,, ,, ,, ,,1,,25,Access for disable mother., ,, ,, ,,1,,1,2,2,2,2,2,2,2,2,2,2,1,1,,2,3,1,,2,,2,EN,"0,730513"
12000_112A,185,H9C,6,5,2,1,2,3,1,3,1,1,1,2,2,2,3,1,1,2,1,2,2,3,2,2,2,1,4,3,1,1,1,2,2,3,3,2,1,1,3,1,1,1,4,1,1,2,1,1,1,8,jeunes en état debriété,1,2,4,1,4,9,1,2,2,1,1,2,2,1,3,2,2,2,9,Le pont est dans la liste des ponts les plus dangereux de Montréal et on arrête pas de repousser l'échéancier pour son renouvellement. Il faudrait faire un échéancier raisonnable (2020 c'est trop loin) et le respecter.,99,,5,2, , , , , , , , ,, ,,1,1,,2,, ,, ,, ,, ,, ,, ,, ,, ,,1,,16,- entretien des stationnnement - eau jaune,7,, ,, ,,7,eau jaune,3,2,2,2,2,1,3,2,1,3,3,1,3,Famille d'accueil. Mme célibataire avec enfants à charge en ce moment.,1,3,3,,1,,2,FR,"0,103436"
12000_112A,186,H1N,7,5,2,3,1,2,2,2,4,2,2,2,2,2,2,2,4,4,4,3,2,3,2,3,1,1,2,2,1,1,9,1,2,2,2,1,2,2,3,1,1,1,2,9,2,1,1,2,1,97,peur que la maison soit bâtie sur un site d'enfouissement.,2,3,2,2,2,9,2,2,2,2,1,2,2,1,2,2,2,1,12,entretien des routes.,99,,5,2, , , , , , , , ,, ,,1,3,, ,, ,, ,, ,, ,, ,, ,, ,, ,,25,emploi ville de mtl, ,, ,, ,, ,, ,,1,9,9,9,9,9,9,9,9,9,9,1,1,,1,2,1,,1,,1,FR,"2,120232"
12000_112A,189,H1L,7,5,3,2,2,2,2,3,4,2,2,3,2,3,3,2,3,3,3,2,2,2,2,3,2,2,2,2,9,2,3,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,13,l'éclairage,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,9,le respect des limites des vitesses,2,securité incendie,7,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,,1,4,3,,1,,1,FR,"0,653204"
12000_112A,193,H1T,15,5,4,4,2,3,3,1,1,3,2,2,3,1,1,1,4,1,2,1,3,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,98,,1,2,2,2,2,2,2,1,2,1,1,2,3,2,2,2,2,1,8,la circulation devrait etre plus facile,99,,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,1,,1,2,6,,7,,1,FR,"1,06208"
12000_112A,198,H1G,8,2,2,2,4,4,2,2,4,4,3,3,4,3,3,2,1,2,2,2,2,4,2,1,4,2,4,2,3,3,2,3,4,3,2,3,4,4,3,3,3,4,3,2,4,4,3,2,3,11,Le temps d`attente pour le gens qui vient quand on appel le 911.,4,3,3,2,2,3,3,2,2,3,9,4,4,4,4,4,4,3,12,Les rues sont mal fait. Tellement des trous.,6,Les gens qui ne font pas du tout de renovation de batiment. Il faut faire plus de renovation.,5,2, , , , , , , , ,, ,,1,6,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,3,3,3,2,3,2,3,2,2,4,4,1,4,,2,3,2,,1,,2,FR,"1,009593"
12000_112A,204,H4H,17,6,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,2,3,1,2,2,2,2,2,2,1,2,2,2,2,1,1,9,9,2,2,2,2,2,98,,2,2,2,2,2,9,2,2,2,9,9,2,2,2,3,2,2,2,13,"Transport, les autobus ne viennent pas assez.",99,,9,2, , , , , , , , ,, ,,1,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,,11,, ,, ,, ,, ,, ,,1,1,1,1,1,1,1,1,1,2,2,1,1,,1,2,3,,1,,2,FR,"0,502445"
12000_112A,221,H8T,4,6,1,9,1,4,1,2,1,4,3,2,3,3,3,4,3,2,2,2,2,2,2,2,3,3,2,4,3,2,1,3,2,9,2,2,2,9,2,2,2,2,2,1,9,9,1,2,1,11,,3,2,4,3,9,9,9,4,9,9,9,9,3,3,3,3,3,9,9,qu'on s'assure que les gens respectent les arrêts et que les policiers surveillent réellement cela plutôt que de s'occuper uniquement des excès de vitesse.,99,,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,,1,4,1,,1,,1,FR,"0,148558"
12000_112A,223,H1Y,13,3,2,3,2,2,2,2,2,1,1,1,1,2,1,2,1,4,4,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,4,4,2,2,1,1,1,98,,1,3,3,2,1,4,1,1,3,1,1,2,2,2,3,2,2,2,12,LA QUALITÉ DE LA VOIE ROUTIERE (LA CHAUSSÉ),1,LA RAPIDITÉ POUR TRAITER LA DEMANDE DE PERMIS,8,2, , , , , , , , ,, ,,1,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,,1,COLLECTE DES MATIERES COMPOSTABLE (LES CITOYENS ONT ÉTÉ OUBLI8É), ,, ,, ,, ,, ,,1,2,2,2,2,2,2,2,2,2,2,1,1,,1,4,1,,1,,1,FR,"0,877698"
12000_112A,224,H8N,5,2,1,1,1,1,1,1,3,1,3,3,3,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,1,2,1,1,2,97,les fetes d'enfant dans les parc,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,1,3,1,le transport en commun,6,la renovation,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,1,,2,2,1,,1,,2,FR,"1,503261"
12000_112A,227,H1P,15,4,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,9,1,1,2,1,1,1,1,1,1,1,2,1,1,1,9,9,1,2,9,1,2,3,,2,2,2,1,2,9,2,2,9,9,2,2,1,2,2,2,2,2,10,bus service,99,,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,2,,1,2,1,,2,,1,EN,"1,616466"
12000_112A,231,H1G,8,4,1,1,3,1,3,3,4,2,2,2,2,2,3,2,4,3,3,2,2,2,3,2,1,1,2,2,2,1,1,2,2,2,2,3,1,1,2,3,1,1,2,2,2,2,2,1,1,5,une tuerie,2,2,2,2,2,9,2,2,2,1,1,2,2,3,3,2,2,2,1,le transport en commun,99,,8,2, , , , , , , , ,, ,,1,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,,1,, ,, ,, ,, ,, ,,1,1,1,1,1,1,1,1,2,2,1,1,1,,1,4,1,,99,créole,2,FR,"0,443764"
12000_112A,232,H4N,14,6,2,2,2,2,3,2,1,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,9,9,2,2,2,9,1,98,,1,9,2,2,9,9,1,2,2,1,9,2,2,2,2,2,1,1,7,La rapidité et la constance du métro,5,De bien analyser les demander et les accorder s'il respecte la réglementation de la ville.,10,2, , , , , , , , ,, ,,1,1,,4,, ,, ,, ,, ,, ,, ,, ,, ,,8,stationnement et dechet,15,, ,, ,, ,, ,,2,2,2,2,2,2,2,2,2,2,1,1,1,,2,4,1,,1,,1,FR,"0,471333"
12000_112A,236,H4H,17,4,2,2,2,4,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,8,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,11,Metro.,2,Sécurité.,9,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,2,,2,4,1,,2,,1,FR,"1,11996"
12000_112A,237,H2S,13,2,3,4,2,9,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,9,4,4,1,1,3,1,1,1,1,1,9,3,2,3,2,3,3,2,2,2,3,3,2,9,2,2,2,6,"les habitants, ceux qui souffre de maladie mentale",2,4,3,2,4,2,2,2,2,1,2,2,3,3,3,2,2,2,6,une bonne signalisation,1,la rapidite de repondre aux demande de permis,10,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,1,,1,4,5,invalidite,1,,1,FR,"1,278963"
12000_112A,239,H8Y,10,5,2,1,2,2,3,2,2,1,1,2,2,1,2,1,3,2,2,1,1,3,2,1,2,2,1,3,1,1,1,1,1,2,2,1,2,2,2,1,2,2,3,2,2,2,1,2,2,98,,2,2,2,2,2,9,2,9,2,9,9,2,2,2,2,2,2,2,9,sécurité préservée par des policiers,1,la rapidité d'exécution,7,2, , , , , , , , ,, ,,1,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,,11,, ,, ,, ,, ,, ,,1,1,1,2,1,1,1,1,1,2,1,1,2,,1,4,5,,1,,2,FR,"0,131291"
12000_112A,241,H8T,4,3,1,1,1,1,1,9,9,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,3,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,,1,2,2,1,2,9,1,2,9,9,9,2,2,1,2,2,1,2,8,"La fluidite de transport. S`il y a de la construction pour empecher le transport, il faut que ca soit bien indiquer.",99,,7,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,2,,1,4,1,,1,,1,FR,"0,406826"
12000_112A,255,H1Z,19,5,2,2,1,2,3,2,2,1,1,2,1,1,1,2,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,9,1,1,1,1,3,,1,2,1,1,1,9,1,1,2,1,1,2,2,2,9,2,2,1,12,Les nids-de-poule,99,,8,2, , , , , , , , ,, ,,1,1,,5,,3,, ,, ,, ,, ,, ,, ,, ,,25,Un sujet de santé, ,, ,, ,, ,, ,,1,1,2,2,1,1,1,1,1,2,2,1,1,,2,2,3,,1,,2,FR,"1,340113"
12000_112A,269,H2K,18,6,2,4,3,2,4,3,4,2,2,2,2,2,3,2,3,3,3,3,3,4,2,3,1,1,2,9,2,2,2,3,2,4,2,3,2,2,1,2,2,2,3,2,2,1,1,1,2,5,"village gay, violence.",1,4,2,1,3,3,1,2,2,1,1,2,2,2,2,2,1,1,8,Fluidité du traffic.,1,délai raisonnables.,9,2, , , , , , , , ,, ,,1,2,,3,,6,,4,, ,, ,, ,, ,, ,, ,,3,,26,entretien des parcs, ,, ,, ,,3,,1,2,2,2,1,1,2,1,3,2,1,1,1,,1,4,3,,1,,1,FR,"0,28499"
12000_112A,283,H1G,8,5,2,3,1,2,9,1,1,4,4,4,3,3,3,4,4,4,2,2,2,4,3,2,1,1,1,2,1,1,9,1,1,2,1,2,1,9,1,1,1,1,2,9,9,9,1,9,2,98,,3,3,2,2,2,9,9,9,9,2,1,2,2,3,4,3,3,2,13,L'heure des passages des autobus,99,,7,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,5,,1,2,3,,1,,2,FR,"0,688986"
12000_112A,318,H1E,12,6,2,1,4,4,1,4,3,1,1,1,1,1,1,1,2,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,99,Rien,10,Obtention de permis: Certains politiques sont un peu trop sévères: trop de paperasse.,8,2, , , , , , , , ,, ,,1,6,,2,, ,, ,, ,, ,, ,, ,, ,, ,,2,Permis de rénovation., ,, ,, ,, ,, ,,5,2,2,2,2,2,2,2,2,2,2,1,4,,1,3,3,,1,,1,FR,"0,977371"
12000_112A,323,H9C,6,4,9,1,1,9,9,1,1,3,3,3,3,3,3,9,4,4,4,2,2,2,2,2,3,2,3,3,2,3,1,4,2,3,3,1,1,3,2,1,4,2,1,2,2,1,2,2,2,12,,2,3,4,2,3,9,2,2,9,2,9,2,2,3,3,3,3,3,12,"planification des chantiers mauvaise, illogisme dans  l organisation ; la collecte des poubelles : une fois par deux semaines serait suffisant. Il faudrait taxer les personnes qui ne recyclent pas",1,obtenir un permis rapidement,8,2, , , , , , , , ,, ,,1,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,,26,"l entretien du parc à chien, mal entretenu",15,, ,, ,, ,, ,,4,4,2,2,2,1,4,1,4,4,4,1,1,,1,4,1,,1,,2,FR,"0,07984"
12000_112A,324,H8S,4,6,2,1,4,3,1,3,4,2,4,2,3,3,4,2,4,4,2,2,2,3,3,3,1,9,3,4,2,1,1,2,1,2,2,2,1,1,1,1,2,9,2,2,9,1,1,1,2,98,,2,2,2,2,2,9,2,2,2,2,2,2,1,1,1,2,2,2,10,Les autobus,99,,5,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,,2,2,3,,1,,2,FR,"0,300084"
