NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
48,51217974,HOPITAL ET CENTRE D'HEBERGEMENT D'YOUVILLE,179,0,0,179,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
49,51219046,CSSS DE MEMPHREMAGOG,1472,2226,0,3698,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
50,51219293,HOPITAL CLSC ET CENTRE D'HEBERGEMENT D'ASBESTOS,516,0,0,516,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
51,51219350,CSSS DE LA MRC-DE-COATICOOK,45,0,0,45,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
52,51223832,CSSS DU GRANIT,1528,1008,0,2536,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
53,51227536,HOPITAL ET CENTRE D'HEBERGEMENT ARGYLL,412,0,0,412,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
54,51228120,HOPITAL DE GRANBY,7738,5179,0,12917,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
55,51229185,HOPITAL BROME-MISSISQUOI-PERKINS,5785,3319,0,9104,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
56,,Total     11045150 CIUSSS DE L'ESTRIE-CENTRE HOSP. UNIV. DE SHERBROOKE,50750,24930,0,75680,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
57,,TOTAL 05 Estrie,50750,24930,0,75680,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
58,51236297,CENTRE HOSPITALIER DE L'UNIVERSITE DE MONTREAL,30841,14797,21,45659,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
59,,Total     11042918 CENTRE HOSPITALIER DE L'UNIVERSITE DE MONTREAL,30841,14797,21,45659,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
60,12745725,CENTRE HOSPITALIER DE ST. MARY,15170,8840,0,24010,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
61,51224392,HOPITAL DE LASALLE,9403,3336,0,12739,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
62,51228278,HOPITAL GENERAL DU LAKESHORE,12233,5201,0,17434,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
63,51235190,HOPITAL DOUGLAS,2115,0,0,2115,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
64,,Total     11045168 CIUSSS DE L'OUEST-DE-L'ILE-DE-MONTREAL,38921,17377,0,56298,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
65,12685608,HOPITAL GENERAL JUIF,24291,7291,0,31582,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
66,13469796,HOPITAL MONT-SINAI,614,0,0,614,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
67,51228401,HOPITAL RICHARDSON,560,0,0,560,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
68,51234235,HOPITAL CATHERINE-BOOTH,782,0,0,782,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
69,,Total     11045176 CIUSSS DU CENTRE-OUEST-DE-L'ILE-DE-MONTREAL,26247,7291,0,33538,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
70,15103666,INSTITUT UNIVERSITAIRE DE GERIATRIE DE MONTREAL,578,0,0,578,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
71,51218030,CENTRE D'HEBERGEMENT CHAMPLAIN,401,0,0,401,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
72,51218097,HOPITAL DE VERDUN,9386,5704,0,15090,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
73,51220283,CENTRE D'HEBERGEMENT DU MANOIR-DE-L'AGE-D'OR,119,0,0,119,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
74,51232007,L'HOPITAL DE READAPTATION LINDSAY,488,0,0,488,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
75,51232015,INSTITUT DE READAPTATION DE MONTREAL,566,0,0,566,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
76,51236313,HOPITAL NOTRE-DAME,7978,3431,0,11409,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
77,,Total     11045184 CIUSSS DU CENTRE-SUD-DE-L'ILE-DE-MONTREAL,19516,9135,0,28651,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
78,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,20909,3598,38,24545,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
79,51228443,CENTRE D'HEBERGEMENT NOTRE-DAME-DE-LA-MERCI,501,0,0,501,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
80,51228492,HOPITAL FLEURY,4372,5664,0,10036,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
81,51228500,HOPITAL JEAN-TALON,5925,3740,0,9665,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
82,51234938,HOPITAL EN SANTE MENTALE DE RIVIERE-DES-PRAIRIES,715,0,0,715,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
83,,Total     11045192 CIUSSS DU NORD-DE-L'ILE-DE-MONTREAL,32422,13002,38,45462,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
84,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,27919,16276,3,44198,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
85,51221828,CENTRE D'HEBERGEMENT J.-HENRI-CHARBONNEAU,295,0,0,295,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
86,51235307,HOPITAL DE SOINS PSYCHIATRIQUES DE L'EST-DE-MTL,1904,65,0,1969,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
87,51235919,HOPITAL SANTA CABRINI,8826,7795,0,16621,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
88,,Total     11045200 CIUSSS DE L'EST-DE-L'ILE-DE-MONTREAL,38944,24136,3,63083,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
89,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,8947,27,0,8974,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
90,,Total     12431656 INSTITUT DE CARDIOLOGIE DE MONTREAL,8947,27,0,8974,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
91,12452645,HOPITAL MARIE CLARAC,2030,0,0,2030,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
92,,Total     12452645 HOPITAL MARIE CLARAC,2030,0,0,2030,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
93,12599213,HOPITAL GENERAL DE MONTREAL,9686,5934,0,15620,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
94,51223279,L'HOPITAL DE MONTREAL POUR ENFANTS,6116,5555,0,11671,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
95,51223287,HOPITAL NEUROLOGIQUE DE MONTREAL,2471,449,0,2920,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
96,51223295,HOPITAL ROYAL VICTORIA,17768,4001,11,21780,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
97,51228310,HOPITAL DE LACHINE,2121,5500,0,7621,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
98,,Total     12599213 CENTRE UNIVERSITAIRE DE SANTE MCGILL,38162,21439,11,59612,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
99,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,662,0,0,662,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
100,,Total     12797577 INSTITUT NATIONAL PSYCH. LEGALE PHILIPPE-PINEL,662,0,0,662,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
101,29732187,VILLA MEDICA,1044,0,0,1044,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
102,,Total     29732187 VILLA MEDICA,1044,0,0,1044,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
103,51222800,CHU SAINTE-JUSTINE,18235,5458,0,23693,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
104,,Total     51222800 CHU SAINTE-JUSTINE,18235,5458,0,23693,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
105,51235703,HOPITAL SHRINERS POUR ENFANTS (QUEBEC),754,679,0,1433,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
106,,Total     51235703 HOPITAL SHRINERS POUR ENFANTS (QUEBEC),754,679,0,1433,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
107,,TOTAL 06 Montréal,256725,113341,73,370139,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
108,51219459,HOPITAL DU PONTIAC,1400,657,0,2057,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
109,51221703,HOPITAL DE GATINEAU,13428,7299,0,20727,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
110,51221711,HOPITAL DE HULL,7778,3562,0,11340,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
111,51221893,HOPITAL DE MANIWAKI,1886,418,0,2304,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
112,51228799,HOPITAL MEMORIAL DE WAKEFIELD/WAKEFIELD MEM. HOSPITAL,421,0,0,421,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
113,51228823,HOPITAL DE PAPINEAU,2423,3460,0,5883,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
114,51233989,HOPITAL EN SANTE MENTALE PIERRE-JANET,550,0,0,550,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
115,,Total     11045218 CISSS DE L'OUTAOUAIS,27886,15396,0,43282,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
116,,TOTAL 07 Outaouais,27886,15396,0,43282,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
117,51218840,PAVILLON SAINTE-FAMILLE,1172,119,0,1291,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
118,51219640,CLSC DE SENNETERRE,108,0,0,108,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
119,51221083,CENTRE DE SOINS DE COURTE DUREE LA SARRE,2077,878,0,2955,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
120,51225589,HOPITAL ET CRD DE VAL-D'OR,4234,1865,0,6099,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
121,51225597,HOPITAL PSYCHIATRIQUE DE MALARTIC,227,0,0,227,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
122,51228906,HOPITAL D'AMOS,3947,2745,0,6692,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
123,51228922,HOPITAL DE ROUYN-NORANDA,4365,2705,0,7070,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
124,51233609,CSSS DE TEMISCAMING-ET-DE-KIPAWA,109,0,0,109,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
125,,Total     11045226 CISSS DE L'ABITIBI-TEMISCAMINGUE,16239,8312,0,24551,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
126,,TOTAL 08 Abitibi-Témiscamingue,16239,8312,0,24551,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
127,14628986,CSSS DE L'HEMATITE,339,0,0,339,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
128,51218733,CSSS DE LA HAUTE-COTE-NORD (PAVILLON ESCOUMINS),415,0,0,415,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
129,51219004,CENTRE MULTI. SSS DE LA MINGANIE,736,0,0,736,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
130,51228765,HOPITAL LE ROYER,3662,1992,0,5654,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
131,51232023,HOPITAL ET CENTRE D'HEBERGEMENT DE SEPT-ILES,3733,2353,0,6086,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
132,51234508,CSSS DE LA BASSE-COTE-NORD,499,7,0,506,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
133,,Total     11045234 CISSS DE LA COTE-NORD,9384,4352,0,13736,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
134,,TOTAL 09 Côte-Nord,9384,4352,0,13736,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
135,51218501,CENTRE DE SANTE DE CHIBOUGAMAU,1257,440,0,1697,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
136,51218527,CENTRE DE SANTE LEBEL,182,0,0,182,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
137,51218535,CENTRE DE SANTE ISLE-DIEU,107,0,0,107,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
138,,Total     11042686 CENTRE REG. DE SANTE ET DE SERV. SOC. DE LA BAIE-JA,1546,440,0,1986,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
139,,TOTAL 10 Nord-du-Québec,1546,440,0,1986,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
140,51227783,HOPITAL DE L'ARCHIPEL,1314,709,0,2023,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
141,,Total     11044088 CISSS DES ILES,1314,709,0,2023,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
142,51220895,CENTRE D'HEBERGEMENT MGR-ROSS DE GASPE,109,0,0,109,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
143,51220903,HOPITAL DE GASPE,1998,1323,0,3321,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
