NUMEROTATION,NO_REGION,NO_ETAB_CIUSSS,NO_ETAB_MSSS,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
18,"03","11045051",51217586,"L'HOTEL-DIEU DE QUEBEC",9294,3502,23,12819,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
19,"03","11045051",51217594,"CENTRE HOSPITALIER DE L'UNIVERSITE LAVAL (CHUL)",23344,5102,0,28446,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
20,"03","11045051",51217602,"HOPITAL SAINT-FRANCOIS D'ASSISE",15486,5673,0,21159,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
21,"03","11045051",51233914,"HOPITAL DE L'ENFANT-JESUS",12276,4099,0,16375,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
22,"03","11045051",,"Total     11045051 CHU DE QUEBEC - UNIVERSITE LAVAL",65545,32793,23,98361,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
23,"03","11045135",51223196,"CENTRE MULTI SSS DE SAINT-RAYMOND",152,0,0,152,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
24,"03","11045135",51225001,"CENTRE MULTI SSS CHAUVEAU",168,0,0,168,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
25,"03","11045135",51225357,"HOPITAL DE SAINTE-ANNE-DE-BEAUPRE",65,0,0,65,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
26,"03","11045135",51228690,"HOPITAL DE LA MALBAIE",1089,363,0,1452,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
27,"03","11045135",51229581,"CENTRE MULTI SSS SACRE-COEUR",309,0,0,309,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
28,"03","11045135",51231330,"HOPITAL JEFFERY HALE",190,0,0,190,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
29,"03","11045135",51232189,"INSTITUT UNIV.EN SANTE MENTALE DE QUEBEC",2543,772,0,3315,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
30,"03","11045135",51244804,"CENTRE MULTI. SSS DE BAIE-SAINT-PAUL",941,569,0,1510,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
31,"03","11045135",,"Total     11045135 CIUSSS DE LA CAPITALE-NATIONALE",5457,1704,0,7161,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
32,"03","51232130",51232130,"INST.UNIV. DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QC",16144,443,0,16587,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
33,"03","51232130",,"Total     51232130 INST.UNIV. DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QC",16144,443,0,16587,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
34,"03","",,"TOTAL 03 Capitale-Nationale",87146,34940,23,122109,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
35,"04","11045143",51219541,"CENTRE MULTI. SSS CLOUTIER",260,0,0,260,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
36,"04","11045143",51219731,"CENTRE MULTI SSS DU HAUT-SAINT-MAURICE",1078,122,0,1200,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
37,"04","11045143",51220051,"HOPITAL DU CENTRE-DE-LA-MAURICIE",7361,3259,0,10620,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
38,"04","11045143",51220069,"HOPITAL ET CHSLD SANTE MENTALE MAURICIE ET CENTRE-QUEBEC",138,0,0,138,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
39,"04","11045143",51220168,"PAVILLON SAINTE-MARIE",21477,8567,0,30044,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
40,"04","11045143",51228039,"HOTEL-DIEU D'ARTHABASKA",9084,5215,0,14299,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
41,"04","11045143",51228781,"HOPITAL SAINTE-CROIX",10807,4765,0,15572,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
42,"04","11045143",51233583,"CENTRE MULTI. SSS AVELLIN-DALCOURT",218,0,0,218,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
43,"04","11045143",,"Total     11045143 CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUEBEC",50423,21928,0,72351,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
44,"04","",,"TOTAL 04 Mauricie et Centre-du-Québec",50423,21928,0,72351,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
45,"05","11045150",51216687,"HOPITAL FLEURIMONT",21615,3555,0,25170,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
46,"05","11045150",51216695,"HOTEL-DIEU DE SHERBROOKE",10078,9168,0,19246,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
47,"05","11045150",51217974,"HOPITAL ET CHSLD D'YOUVILLE",166,0,0,166,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
48,"05","11045150",51219046,"CENTRE MULTI SSS DE MEMPHREMAGOG",891,2490,0,3381,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
49,"05","11045150",51219293,"CENTRE MULTI SSS DES SOURCES",263,0,0,263,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
50,"05","11045150",51219350,"CENTRE MULTI SSS DE LA MRC DE COATICOOK",30,0,0,30,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
51,"05","11045150",51223832,"CSSS DU GRANIT",1275,984,0,2259,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
52,"05","11045150",51227536,"HOPITAL ET CHSLD ARGYLL",354,0,0,354,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
53,"05","11045150",51228120,"HOPITAL DE GRANBY",7044,4406,0,11450,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
54,"05","11045150",51229185,"HOPITAL BROME-MISSISQUOI-PERKINS",4755,4088,0,8843,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
55,"05","11045150",,"Total     11045150 CIUSSS DE L'ESTRIE-CENTRE HOSP. UNIV. DE SHERBROOKE",46471,24691,0,71162,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
56,"05","",,"TOTAL 05 Estrie",46471,24691,0,71162,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
57,"06","11042918",51236297,"CENTRE HOSPITALIER DE L'UNIVERSITE DE MONTREAL",30244,13826,55,44125,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
58,"06","11042918",,"Total     11042918 CENTRE HOSPITALIER DE L'UNIVERSITE DE MONTREAL",30244,13826,55,44125,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
59,"06","11045168",12745725,"CENTRE HOSPITALIER DE ST. MARY",14070,8342,0,22412,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
60,"06","11045168",51224392,"HOPITAL DE LASALLE",7401,2715,0,10116,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
61,"06","11045168",51228278,"HOPITAL GENERAL DU LAKESHORE",10491,4586,0,15077,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
62,"06","11045168",51235190,"HOPITAL DOUGLAS",2192,0,0,2192,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
63,"06","11045168",,"Total     11045168 CIUSSS DE L'OUEST-DE-L'ILE-DE-MONTREAL",34154,15643,0,49797,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
64,"06","11045176",12685608,"HOPITAL GENERAL JUIF",22873,7462,0,30335,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
65,"06","11045176",13469796,"HOPITAL MONT-SINAI",634,0,0,634,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
66,"06","11045176",51228401,"HOPITAL RICHARDSON",420,0,0,420,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
67,"06","11045176",51234235,"HOPITAL CATHERINE-BOOTH",687,0,0,687,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
68,"06","11045176",,"Total     11045176 CIUSSS DU CENTRE-OUEST-DE-L'ILE-DE-MONTREAL",24614,7462,0,32076,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
69,"06","11045184",15103666,"INSTITUT UNIVERSITAIRE DE GERIATRIE DE MONTREAL",258,0,0,258,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
70,"06","11045184",51218097,"HOPITAL DE VERDUN",7539,4371,0,11910,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
71,"06","11045184",51232007,"HOPITAL ET CRDP IRGLM-CHARLES W. LINDSAY",318,0,0,318,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
72,"06","11045184",51232015,"HOPITAL ET CRDP IRGLM-GUSTAVE-GINGRAS",472,0,0,472,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
73,"06","11045184",51236313,"HOPITAL NOTRE-DAME",6673,3272,0,9945,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
74,"06","11045184",,"Total     11045184 CIUSSS DU CENTRE-SUD-DE-L'ILE-DE-MONTREAL",15260,7643,0,22903,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
75,"06","11045192",12475976,"HOPITAL DU SACRE-COEUR DE MONTREAL",19796,3394,10,23200,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
76,"06","11045192",51227635,"SOINS PALLIATIFS GRACIA",225,0,0,225,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
77,"06","11045192",51228443,"CENTRE D'HEBERGEMENT NOTRE-DAME-DE-LA-MERCI",146,0,0,146,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
78,"06","11045192",51228492,"HOPITAL FLEURY",4320,4503,0,8823,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
79,"06","11045192",51228500,"HOPITAL JEAN-TALON",5715,3723,0,9438,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
80,"06","11045192",51234938,"CENTRE MULTI. SSS RIVIERES-DES-PRAIRIES",808,0,0,808,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
81,"06","11045192",,"Total     11045192 CIUSSS DU NORD-DE-L'ILE-DE-MONTREAL",31010,11620,10,42640,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
82,"06","11045200",12934659,"PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX",21926,17755,4,39685,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
83,"06","11045200",51221828,"CENTRE D'HEBERGEMENT J.-HENRI-CHARBONNEAU",219,0,0,219,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
84,"06","11045200",51235307,"HOPITAL DE SOINS PSYCHIATRIQUES DE L'EST-DE-MTL",1984,47,0,2031,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
85,"06","11045200",51235919,"HOPITAL SANTA CABRINI",7306,4791,0,12097,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
86,"06","11045200",,"Total     11045200 CIUSSS DE L'EST-DE-L'ILE-DE-MONTREAL",31435,22593,4,54032,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
87,"06","12599213",12599213,"HOPITAL GENERAL DE MONTREAL",7233,6035,2,13270,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
88,"06","12599213",51223279,"L'HOPITAL DE MONTREAL POUR ENFANTS",5836,6208,0,12044,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
