NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
13,15103666,PAVILLON COTE-DES-NEIGES,566,0,0,566,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
14,29732187,VILLA MEDICA,1095,0,0,1095,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
15,51216687,HOPITAL FLEURIMONT,21968,4138,0,26106,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
16,51216695,HOTEL-DIEU DE SHERBROOKE,10838,9679,0,20517,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
17,51217529,HOPITAL DU SAINT-SACREMENT,4998,16088,0,21086,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
18,51217586,PAVILLON L'HOTEL-DIEU DE QUEBEC,9384,3347,32,12763,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
19,51217594,PAVILLON C.H. DE L'UNIVERSITE LAVAL,23696,6271,0,29967,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
20,51217602,PAVILLON SAINT-FRANCOIS D'ASSISE,16336,5676,0,22012,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
21,51217610,HOPITAL DE MONT-LAURIER,2650,656,0,3306,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
22,51217628,CENTRE DE SERVICES DE RIVIERE-ROUGE,990,0,0,990,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
23,51217974,HOPITAL ET CENTRE D'HEBERGEMENT D'YOUVILLE,205,0,0,205,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
24,51218030,CENTRE D'HEBERGEMENT CHAMPLAIN,325,0,0,325,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
25,51218097,HOPITAL DE VERDUN,7837,5247,0,13084,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
26,51218352,CENTRE HOSPITALIER REGIONAL DU GRAND-PORTAGE,5306,3084,0,8390,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
27,51218394,HOPITAL DE CHICOUTIMI,16221,10387,8,26616,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
28,51218501,CENTRE DE SANTE DE CHIBOUGAMAU,1309,465,0,1774,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
29,51218527,CENTRE DE SANTE LEBEL,231,0,0,231,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
30,51218535,CENTRE DE SANTE ISLE-DIEU,153,0,0,153,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
31,51218733,CSSS DE LA HAUTE-COTE-NORD (PAVILLON ESCOUMINS),390,0,0,390,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
32,51218840,PAVILLON SAINTE-FAMILLE,1169,131,0,1300,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
33,51218980,HOPITAL DE MATANE,2343,609,0,2952,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
34,51219004,CENTRE MULTI. SSS DE LA MINGANIE,796,0,0,796,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
35,51219046,CSSS DE MEMPHREMAGOG,1420,1992,0,3412,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
36,51219228,HOTEL-DIEU DU CHUM,8359,2112,1,10472,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
37,51219236,HOPITAL NOTRE-DAME DU CHUM,13066,12519,1,25586,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
38,51219244,HOPITAL SAINT-LUC DU CHUM,16354,4925,17,21296,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
39,51219293,HOPITAL CLSC ET CENTRE D'HEBERGEMENT D'ASBESTOS,597,0,0,597,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
40,51219350,CSSS DE LA MRC-DE-COATICOOK,79,0,0,79,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
41,51219384,HOPITAL DE DOLBEAU-MISTASSINI,2395,367,0,2762,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
42,51219400,HOPITAL D'ALMA,5510,2438,0,7948,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
43,51219459,HOPITAL DU PONTIAC,1454,462,0,1916,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
44,51219541,CLSC  CENTRE D'HEBERG. ET HOP. CLOUTIER DU RIVAGE,224,0,0,224,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
45,51219640,CLSC DE SENNETERRE,89,0,0,89,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
46,51219673,CENTRE PAUL-GILBERT - CHSLD DE CHARNY,0,3679,0,3679,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
47,51219731,CSSS DU HAUT-SAINT-MAURICE,1117,192,0,1309,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
48,51220051,HOPITAL DU CENTRE-DE-LA-MAURICIE,7776,3934,0,11710,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
49,51220069,CENTRE REGIONAL DE SANTE MENTALE,140,0,0,140,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
50,51220168,PAVILLON SAINTE-MARIE,21643,10709,0,32352,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
51,51220283,CENTRE D'HEBERGEMENT DU MANOIR-DE-L'AGE-D'OR,331,0,0,331,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
52,51220523,CENTRE MULTI. SSS CHRIST-ROI,148,0,0,148,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
53,51220895,CENTRE D'HEBERGEMENT MGR-ROSS DE GASPE,113,0,0,113,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
54,51220903,HOPITAL HOTEL-DIEU DE GASPE,1998,1232,0,3230,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
55,51221083,CENTRE DE SOINS DE COURTE DUREE LA SARRE (CSCD),1999,883,0,2882,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
56,51221141,HOPITAL NOTRE-DAME-DE-FATIMA,1591,251,0,1842,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
57,51221364,HOPITAL DE LA BAIE,872,0,0,872,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
58,51221539,HOPITAL DE SAINTE-ANNE-DES-MONTS,1403,295,0,1698,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
59,51221703,HOPITAL DE GATINEAU,13133,8714,0,21847,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
60,51221711,HOPITAL DE HULL,7581,5182,0,12763,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
61,51221828,CENTRE D'HEBERGEMENT J.-HENRI-CHARBONNEAU,288,0,0,288,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
62,51221877,HOPITAL DE NOTRE-DAME-DU-LAC,1377,228,0,1605,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
63,51221893,HOPITAL DE MANIWAKI,1835,452,0,2287,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
64,51222800,CHU SAINTE-JUSTINE,18338,4732,0,23070,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
65,51223196,HOP. REGIONAL DE PORTNEUF/CLSC ST-RAYMOND,142,0,0,142,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
66,51223279,L'HOPITAL DE MONTREAL POUR ENFANTS,5818,5107,2,10927,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
67,51223287,HOPITAL NEUROLOGIQUE DE MONTREAL,2361,307,0,2668,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
68,51223295,HOPITAL ROYAL VICTORIA,17091,3732,18,20841,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
69,51223832,CSSS DU GRANIT,1736,850,0,2586,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
70,51224392,HOPITAL DE LASALLE,9728,3929,0,13657,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
71,51224541,HOPITAL ET CENTRE DE READAPTATION DE JONQUIERE,3294,1650,0,4944,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
72,51225001,HOPITAL CHAUVEAU,124,0,0,124,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
73,51225357,HOPITAL DE SAINTE-ANNE-DE-BEAUPRE,115,0,0,115,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
74,51225589,HOPITAL ET CLSC DE VAL-D'OR,4092,1836,0,5928,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
75,51225597,HOPITAL PSYCHIATRIQUE DE MALARTIC,203,0,0,203,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
76,51226777,HOPITAL LAURENTIEN,5377,3400,0,8777,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
77,51226892,HOPITAL D'AMQUI,1719,236,0,1955,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
78,51227536,HOPITAL ET CENTRE D'HEBERGEMENT ARGYLL,401,0,0,401,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
79,51227569,HOTEL-DIEU DE LEVIS,15350,4945,0,20295,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
80,51227775,HOPITAL DE CHANDLER,2254,355,0,2609,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
81,51227783,HOPITAL DE L'ARCHIPEL,1100,679,0,1779,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
82,51227882,HOPITAL REGIONAL DE RIMOUSKI,9620,6243,0,15863,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
83,51227908,HOPITAL DE MARIA,3069,1638,0,4707,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
84,51228005,HOPITAL BARRIE MEMORIAL,895,306,0,1201,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
85,51228039,HOTEL-DIEU D'ARTHABASKA,9979,7266,0,17245,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
86,51228062,HOPITAL PIERRE-LE GARDEUR,20328,7916,0,28244,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
87,51228120,HOPITAL DE GRANBY,7103,5001,0,12104,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
88,51228203,HOPITAL CLSC CTRE HEBERGEMENT ROBERVAL,4183,2292,0,6475,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
89,51228278,HOPITAL GENERAL DU LAKESHORE,11007,5149,0,16156,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
90,51228310,HOPITAL DE LACHINE,1708,5428,0,7136,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
91,51228401,HOPITAL RICHARDSON,524,0,0,524,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
92,51228443,CENTRE D'HEBERGEMENT NOTRE-DAME-DE-LA-MERCI,591,0,0,591,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
93,51228492,HOPITAL FLEURY,4621,6803,0,11424,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
94,51228500,HOPITAL JEAN-TALON,5634,3920,0,9554,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
95,51228690,HOPITAL DE LA MALBAIE,1610,606,0,2216,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
96,51228716,HOPITAL DE BAIE-SAINT-PAUL,855,804,0,1659,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
97,51228757,HOPITAL CITE DE LA SANTE,29331,9574,0,38905,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
98,51228765,HOPITAL LE ROYER,3487,2205,0,5692,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
99,51228781,HOPITAL SAINTE-CROIX,11422,4736,0,16158,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
100,51228799,HOPITAL MEMORIAL DE WAKEFIELD/WAKEFIELD MEM. HOSPITAL,313,0,0,313,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
101,51228823,HOPITAL DE PAPINEAU,2127,3321,0,5448,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
102,51228856,CENTRE HOSPITALIER REGIONAL DE LANAUDIERE,15829,8316,0,24145,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
103,51228864,HOPITAL DE SAINT-EUSTACHE,15443,4947,0,20390,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
104,51228880,HOPITAL REGIONAL DE SAINT-JEROME,19520,8319,0,27839,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
105,51228906,HOPITAL D'AMOS,4307,2834,0,7141,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
106,51228922,HOPITAL DE ROUYN-NORANDA,4339,2497,0,6836,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
107,51228948,HOPITAL DE THETFORD MINES,5298,2776,0,8074,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
108,51228963,HOPITAL DE MONTMAGNY,4020,4761,0,8781,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
109,51228971,HOPITAL DE SAINT-GEORGES,8142,3466,0,11608,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
110,51229011,HOPITAL PIERRE-BOUCHER,21860,10441,0,32301,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
111,51229045,HOPITAL DU HAUT-RICHELIEU,17601,9655,0,27256,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
112,51229102,HOTEL-DIEU DE SOREL,6524,3095,0,9619,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
113,51229136,HOPITAL DU SUROIT,8766,3947,0,12713,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
114,51229151,CENTRE HOSPITALIER ANNA-LABERGE,11312,5749,0,17061,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
115,51229185,HOPITAL BROME-MISSISQUOI-PERKINS,5743,3304,0,9047,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
116,51229193,HOPITAL HONORE-MERCIER,10627,5013,0,15640,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
117,51229581,CENTRE DE PEDOPSYCHIATRIE,269,0,0,269,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
118,51231330,L'HOPITAL JEFFERY HALE,215,0,0,215,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
119,51232007,L'HOPITAL DE READAPTATION LINDSAY,584,0,0,584,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
120,51232015,INSTITUT DE READAPTATION DE MONTREAL,639,0,0,639,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
121,51232023,HOPITAL ET CENTRE D'HEBERGEMENT DE SEPT-ILES,4157,2349,0,6506,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
122,51232130,INST.UNIV. DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QC,15436,93,0,15529,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
123,51232189,INSTITUT UNIV.EN SANTE MENTALE DE QUEBEC,1751,944,0,2695,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
124,51233583,CENTRE MULTI. SSS AVELLIN-DALCOURT,117,0,0,117,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
125,51233609,CSSS DE TEMISCAMING-ET-DE-KIPAWA,213,0,0,213,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
126,51233799,HOPITAL CHARLES LEMOYNE,22352,9113,0,31465,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
127,51233914,HOPITAL DE L'ENFANT-JESUS,14393,4852,0,19245,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
128,51233989,CENTRE HOSPITALIER PIERRE-JANET,611,0,0,611,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
129,51234235,HOPITAL CATHERINE-BOOTH,725,0,0,725,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
130,51234508,CSSS DE LA BASSE-COTE-NORD,218,11,0,229,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
131,51234938,HOPITAL RIVIERE-DES-PRAIRIES,694,0,0,694,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
132,51235141,CENTRE DE SANTE INUULITSIVIK,1362,201,0,1563,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
133,51235190,HOPITAL DOUGLAS,1792,0,0,1792,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
134,51235307,HOPITAL DE SOINS PSYCHIATRIQUES DE L'EST-DE-MTL,1528,29,0,1557,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
135,51235430,HOPITAL DE CHISASIBI,788,0,0,788,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
136,51235687,CENTRE MULTI. SSS D'ARGENTEUIL,1017,1354,0,2371,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
137,51235703,HOPITAL SHRINERS POUR ENFANTS (QUEBEC),708,506,0,1214,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
138,51235919,HOPITAL SANTA CABRINI,8379,5553,0,13932,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
139,54583356,CENTRE D'HEBERGEMENT DE L'HOTEL-DIEU-DE-ST-HYACINTHE,599,0,0,599,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
140,54780366,CENTRE HOSP. KATERI MEMORIAL-TEHSAKOTITSEN : THA,52,0,0,52,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
141,GRAND TOTAL,GRAND TOTAL,806350,374696,132,1181178,S07-Nombre de départs par centre hospitalier,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
