TITRE_ORIGINAL,TITRE_FRANCAIS,TITRE_ANGLAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNEE_PRODUCTION,GENRE,SOURCE,AUTEUR_1,AUTEUR_2,AUTEUR_3,AUTEUR_4,UUID_MEDIAFILM,UUID_IMDB,UUID_WIKIDATA
12 Strong,"Brigade des 12, La",12 Strong,US,,,,,,2018,Drame de guerre,Livre,Doug Stanton,,,,mf-tt-7689313591,tt1413492,Q1192783
12 Years a Slave,Esclave pendant douze ans,12 Years a Slave,US,,,,,,2013,Drame biographique,Livre,Solomon Northup,,,,mf-tt-8623907663,tt2024544,Q241085
"120, rue de la gare","120, rue de la gare",,FR,,,,,,1945,Drame policier,Roman,LÃ©o Malet,,,,mf-tt-0736262004,tt0192948,
127 Hours,127 heures,127 Hours,GB,US,,,,,2010,Drame,Livre,Aron Ralston,,,,mf-tt-7138552133,tt1542344,Q462466
13 Ã  table,13 Ã  table,,FR,,,,,,1955,ComÃ©die,PiÃ¨ce,Marc-Gilbert Sauvajon,,,,mf-tt-0314371301,,Q5186081
13 Hours - The Secret Soldiers of Benghazi,13 Heures - Le secret des soldats de Benghazi,13 Hours - The Secret Soldiers of Benghazi,US,,,,,,2016,Drame de guerre,Livre,Mitchell Zuckoff,,,,mf-tt-1647911332,tt4172430,
"13th Letter, The","TreiziÃ¨me Lettre, La","13th Letter, The",US,,,,,,1951,Drame policier,Oeuvre,Louis Chavance,,,,mf-tt-3909233413,tt0043251,
"13th Warrior, The","13Ã¨me Guerrier, Le","13th Warrior, The",US,,,,,,1999,Aventures,Roman,Michael Crichton,,,,mf-tt-3106836218,tt0120657,Q3231557
1408,1408,1408,US,,,,,,2007,Drame d'horreur,Roman,Stephen King,,,,mf-tt-2013665637,tt0450385,Q2567294
15 ans et demi,15 ans et demi,,FR,,,,,,2008,ComÃ©die,Roman,Vincent Ravalec,,,,mf-tt-1616778714,tt1075111,Q374235
1922,,1922,US,,,,,,2017,Drame d'horreur,Roman,Stephen King,,,,mf-tt-8342006296,tt6214928,Q5466895
1996,1996,,FR,,,,,,1987,Drame policier,Roman,Emmanuel Errer,,,,mf-tt-8928576853,,
1er Amour,1er Amour,,CA,QC,,,,,2013,Drame,Oeuvre,Ivan Tourgueniev,,,,mf-tt-8560768844,tt2246520,Q3222455
2 Guns,Quitte ou double,2 Guns,US,,,,,,2013,ComÃ©die policiÃ¨re,Oeuvre,Steven Grant,,,,mf-tt-4151238700,tt1272878,
"2 Monsieur de madame, Les","2 Monsieur de madame, Les",,FR,,,,,,1951,ComÃ©die,PiÃ¨ce,FÃ©lix GandÃ©ra,,,,mf-tt-9081160535,,Q7295406
20 000 Leagues Under the Sea,"Nautilus, Le",20 000 Leagues Under the Sea,US,,,,,,2002,Film d'animation,Roman,Jules Verne,,,,mf-tt-0980103903,,Q61740820
"20,000 Leagues Under the Sea","20,000 Lieues sous les mers","20,000 Leagues Under the Sea",US,,,,,,1997,Aventures,Roman,Jules Verne,,,,mf-tt-8901824558,,Q5124197
"20,000 Leagues Under the Sea",Vingt mille lieues sous les mers,"20,000 Leagues Under the Sea",US,,,,,,1997,Aventures,Roman,Jules Verne,,,,mf-tt-8509639425,,Q2510018
"20,000 Leagues Under the Sea",Vingt mille lieues sous les mers,"20,000 Leagues Under the Sea",US,,,,,,1954,Science-fiction,Roman,Jules Verne,,,,mf-tt-1795265648,,Q62108679
2001: A Space Odyssey,2001: L'OdyssÃ©e de l'espace,2001: A Space Odyssey,GB,,,,,,1968,Science-fiction,Roman,Arthur C. Clarke,,,,mf-tt-6297208555,tt0062622,Q14920425
2010: Moby Dick,,2010: Moby Dick,US,,,,,,2010,Aventures,Roman,Herman Melville,,,,mf-tt-6494266272,,Q1196455
2010: The Year We Make Contact,2010,2010: The Year We Make Contact,US,,,,,,1984,Science-fiction,Roman,Arthur C. Clarke,,,,mf-tt-0523472272,,Q3469608
20th Century,,20th Century,US,,,,,,1934,ComÃ©die,PiÃ¨ce,Charles Bruce Millholland,Charles MacArthur,Ben Hecht,,mf-tt-2083379502,,Q35725
22 July,,22 July,NO,IS,US,,,,2018,Drame historique,Livre,Asne Seierstad,,,,mf-tt-2856616535,tt7280898,Q16295405
24 heures de la vie d'une femme,24 heures de la vie d'une femme,,FR,,,,,,2002,Drame sentimental,Roman,Stefan Zweig,,,,mf-tt-5150377559,,Q3040409
"24 Jours, la vÃ©ritÃ© sur l'affaire Ilan Halimi","24 Jours, la vÃ©ritÃ© sur l'affaire Ilan Halimi",24 Days,FR,,,,,,2014,Drame,Livre,Ãmilie FrÃ¨che,Ruth Halimi,,,mf-tt-0408028963,tt3600588,Q1628844
"25Ã¨me Heure, La","25Ã¨me Heure, La","25th Hour, The",FR,IT,YU,,,,1966,Drame de guerre,Roman,C. Virgil Gheorghiu,,,,mf-tt-0360379718,tt0062445,Q84000080
"27, rue de la paix","27, rue de la paix",,FR,,,,,,1936,Drame judiciaire,PiÃ¨ce,Thomas FÃ¶rster,,,,mf-tt-9102745126,tt0203276,Q2358112
"28 Jours de Clairette, Les","28 Jours de Clairette, Les",,FR,,,,,,1933,ComÃ©die musicale,Oeuvre,Victor Roger,Hippolyte Raymond,Antony Mars,,mf-tt-3138170857,,Q781608
2Ã¨me Bureau,DeuxiÃ¨me Bureau,,FR,,,,,,1935,Drame d'espionnage,Roman,Charles Robert-Dumas,,,,mf-tt-1018169171,tt0028230,Q208204
2Ã¨me Bureau contre terroristes,2Ã¨me Bureau contre terroristes,,FR,,,,,,1960,Drame policier,Roman,Slim Harrisson,,,,mf-tt-6720394702,,
3 Days of the Condor,"3 Jours du condor, Les",3 Days of the Condor,US,,,,,,1975,Drame d'espionnage,Roman,James Grady,,,,mf-tt-5932666239,,
3 de la CanebiÃ¨re,3 de la CanebiÃ¨re,,FR,,,,,,1955,ComÃ©die musicale,Oeuvre,RenÃ© Sarvil,Henri Alibert,,,mf-tt-7234196095,,Q247130
3 Hommes Ã  abattre,3 Hommes Ã  abattre,,FR,,,,,,1980,Drame policier,Roman,Jean-Patrick Manchette,,,,mf-tt-0535792728,,Q2521361
3 Jours de bringue Ã  Paris,3 Jours de bringue Ã  Paris,,FR,,,,,,1953,ComÃ©die,PiÃ¨ce,EugÃ¨ne Labiche,,,,mf-tt-4592718771,,Q7740920
3 Jours en juin,3 Jours en juin,,FR,,,,,,2005,Drame,Roman,FrÃ©dÃ©ric Fajardie,,,,mf-tt-0614708381,tt0481926,
"3 Mousquetaires - 1Ã¨re Ã©poque: Les Ferrets de la reine, Les","3 Mousquetaires - 1Ã¨re Ã©poque: Les Ferrets de la reine, Les",,FR,IT,,,,,1961,Aventures,Roman,Alexandre Dumas,,,,mf-tt-6744748794,,Q1233030
"3 Mousquetaires - 2e Ã©poque: La Vengeance de Milady, Les","3 Mousquetaires - 2e Ã©poque: La Vengeance de Milady, Les",,FR,IT,,,,,1961,Aventures,Roman,Alexandre Dumas,,,,mf-tt-1104046118,,Q281301
"3 Mousquetaires, Les","3 Mousquetaires, Les","Three Musketeers, The",FR,IT,,,,,1953,Aventures,Roman,Alexandre Dumas,,,,mf-tt-0486084869,tt0046461,
"3 Musketeers, The",3 Mousquetaires,"3 Musketeers, The",US,,,,,,2011,Thriller,Oeuvre,Alexandre Dumas,,,,mf-tt-5403585718,,Q610103
3:10 to Yuma,3 h 10 pour Yuma,3:10 to Yuma,US,,,,,,1956,Western,Roman,Elmore Leonard,,,,mf-tt-9949050364,tt0050086,Q3038222
3:10 to Yuma,3 h 10 pour Yuma,3:10 to Yuma,US,,,,,,2007,Western,Roman,Elmore Leonard,,,,mf-tt-1729574650,tt0381849,Q30742564
30 Beats,30 Beats,30 Beats,FR,US,,,,,2011,ComÃ©die sentimentale,Roman,Arthur Schnitzler,,,,mf-tt-8814266042,tt1484521,
300 - Rise of an Empire,300 - La Naissance d'un Empire,300 - Rise of an Empire,US,,,,,,2014,Drame de guerre,Roman,Frank Miller,,,,mf-tt-3852531239,tt1253863,Q1093977
"317Ã¨me Section, La","317Ã¨me Section, La",,FR,ES,,,,,1965,Drame de guerre,Roman,Pierre Schoendoerffer,,,,mf-tt-8278235569,,Q5245581
325.000 Francs,325.000 Francs,,FR,,,,,,1964,Drame,Roman,Roger Vailland,,,,mf-tt-1289794438,,Q41121516
"33, The","33, Les","33, The",US,CL,,,,,2015,Drame historique,Livre,Hector Tobar,,,,mf-tt-5475012289,tt2006295,
35 Kilos d'espoir,35 Kilos d'espoir,,FR,,,,,,2009,ComÃ©die dramatique,Roman,Anna Gavalda,,,,mf-tt-6002307007,,Q186341
36 Fillette,36 Fillette,,FR,,,,,,1987,Drame psychologique,Roman,Catherine Breillat,,,,mf-tt-1147481286,tt0094596,Q3224573
360,360,360,GB,AT,FR,BR,,,2011,Drame,PiÃ¨ce,Arthur Schnitzler,,,,mf-tt-2930167243,tt1680045,Q3223700
365 dni,,365 days,PL,,,,,,2020,Drame sentimental,Roman,Blanka Lipinska,,,,mf-tt-0254748589,tt10886166,
37Â°2 le matin,37Â°2 le matin,Betty Blue,FR,,,,,,1986,Drame de moeurs,Roman,Philippe Djian,,,,mf-tt-0495055703,tt0090563,
38 TÃ©moins,38 TÃ©moins,,FR,BE,,,,,2012,Drame social,Roman,Didier Decoin,,,,mf-tt-2793204174,tt1817286,
"4 Soldats, Les","4 Soldats, Les",,CA,QC,,,,,2013,Drame,Roman,Hubert Mingarelli,,,,mf-tt-8916137725,,
"40Ã¨mes Rugissants, Les","QuarantiÃ¨mes Rugissants, Les",,FR,DE,,,,,1981,Drame psychologique,Livre,Ron Hall,Nicholas Tomalin,,,mf-tt-7614600807,tt0086707,Q1933990
5 % de risque,5 % de risque,,FR,BE,,,,,1979,Drame,Roman,David Pearl,,,,mf-tt-2980933199,,Q1165071
5 Flights Up,Visite libre,5 Flights Up,US,,,,,,2014,ComÃ©die dramatique,Roman,Jill Ciment,,,,mf-tt-3742926484,tt2933544,Q1220035
"5150, rue des Ormes","5150, rue des Ormes",,CA,QC,,,,,2009,Drame d'horreur,Roman,Patrick SenÃ©cal,,,,mf-tt-7546708089,tt1331291,Q24053265
52 Pick-Up,Paiement cash,52 Pick-Up,US,,,,,,1986,Drame policier,Roman,Elmore Leonard,,,,mf-tt-5920753264,tt0090567,Q30731066
"5th Wave, The","5e Vague, La","5th Wave, The",US,,,,,,2016,Science-fiction,Roman,Rick Yancey,,,,mf-tt-4908638239,tt2304933,Q465478
"7Ã¨me JurÃ©, Le","7Ã¨me JurÃ©, Le",,FR,,,,,,1962,Drame psychologique,Roman,Francis Didelot,,,,mf-tt-5820433740,,Q3232803
8 Femmes,8 Femmes,,FR,,,,,,2001,ComÃ©die policiÃ¨re,PiÃ¨ce,Robert Thomas,,,,mf-tt-3889770378,tt0283832,Q3696432
9 - Le Film,9 - Le Film,,CA,QC,,,,,2016,Film Ã  sketches,PiÃ¨ce,StÃ©phane E. Roy,,,,mf-tt-4149511677,,
9 1/2 Weeks,Neuf semaines et demi,9 1/2 Weeks,US,,,,,,1985,Drame psychologique,Roman,Elizabeth McNeill,,,,mf-tt-3519897335,,
99 Francs,99 F,,FR,,,,,,2007,ComÃ©die satirique,Roman,FrÃ©dÃ©ric Beigbeder,,,,mf-tt-9987195582,tt0875113,Q541707
"9th Life of Louis Drax, The","9e vie de Louis Drax, La","9th Life of Louis Drax, The",US,,,,,,2016,Thriller,Roman,Liz Jensen,,,,mf-tt-6203240830,tt3991412,Q62730
"Ã cinquante ans, elle dÃ©couvrait la mer","Ã cinquante ans, elle dÃ©couvrait la mer",,FR,,,,,,1984,Drame psychologique,PiÃ¨ce,Denise Chalem,,,,mf-tt-9019661486,,Q3515841
Ã corps perdu,Ã corps perdu,Straight for the Heart,CA,QC,CH,,,,1988,Drame psychologique,Roman,Yves Navarre,,,,mf-tt-0216242387,tt0096516,Q338495
Ã double tour,Ã double tour,,FR,IT,,,,,1959,Drame psychologique,Roman,Stanley Ellin,,,,mf-tt-8539991788,tt0053473,Q3790591
A felesÃ©gem tÃ¶rtÃ©nete,,"Story of My Wife, The",HU,DE,IT,FR,,,2021,Drame sentimental,Roman,Milan FÃ¼st,,,,mf-tt-3746074241,tt8205028,Q1592060
Ã gauche en sortant de l'ascenseur,Ã gauche en sortant de l'ascenseur,,FR,,,,,,1988,ComÃ©die,PiÃ¨ce,GÃ©rard Lauzier,,,,mf-tt-9068093780,tt0096517,
A Idade da Terra,"Ãge de la Terre, L'","Age of the Earth, The",BR,,,,,,1980,Drame,Oeuvre,Castro Alves,,,,mf-tt-6850157710,tt0080910,Q3539599
Ã jamais,Ã jamais,,FR,PT,,,,,2016,Drame,Roman,Don DeLillo,,,,mf-tt-5667396085,tt2589076,Q3040408
A Koppanyi Aga Testamentuma,"Testament de l'agha, Le",Testament of Aga Koppanyi,HU,,,,,,1967,Aventures,Roman,IstvÃ¡n Fekete,,,,mf-tt-6388271621,tt0061881,
Ã la guerre comme Ã  la guerre,Ã la guerre comme Ã  la guerre,War Is Hell,FR,DE,IT,,,,1971,ComÃ©die,Roman,Alexander Lernet-Holenia,,,,mf-tt-3625937304,tt0067166,Q1795987
Ã la recherche du temps perdu,Ã la recherche du temps perdu,,FR,,,,,,2010,ComÃ©die dramatique,Oeuvre,Marcel Proust,,,,mf-tt-1437910206,,Q133654
Ã mort l'arbitre,Ã mort l'arbitre,,FR,,,,,,1984,Drame de moeurs,Roman,Alfred Draper,,,,mf-tt-3210961008,tt0088462,
A Nagy Fuzet,"Grand Cahier, Le","Notebook, The",HU,DE,AT,FR,,,2013,Drame,Roman,Agota Kristof,,,,mf-tt-6579587215,tt2324384,Q25208870
Ã nous de jouer,Ã nous de jouer,,FR,,,,,,1981,ComÃ©die satirique,PiÃ¨ce,FÃ©licien Marceau,,,,mf-tt-0986625859,,
Ã nous quatre Cardinal!,Ã nous quatre Cardinal!,,FR,,,,,,1974,ComÃ©die,Roman,Alexandre Dumas,,,,mf-tt-4445582221,,Q594307
"Ã toi de faire, mignonne","Ã toi de faire, mignonne",,FR,IT,,,,,1963,ComÃ©die policiÃ¨re,Roman,Peter Cheyney,,,,mf-tt-0507636143,tt0057724,Q1538804
Ã ton image,Ã ton image,,FR,,,,,,2004,Thriller,Roman,Louise L. Lambrichs,,,,mf-tt-1326143123,tt0307343,Q16653449
A Vida Invisivel de Euridice Gusmao,"Vie invisible d'Euridice Gusmao, La","Invisible Life of Euridice Gusmao, The",BR,DE,,,,,2019,Chronique,Roman,Martha Batalha,,,,mf-tt-3116565671,,Q2414264
"A-Team, The","Agence tous risques, L'","A-Team, The",US,,,,,,2010,Thriller,Oeuvre,Stephen J. Cannell,Frank Lupo,,,mf-tt-8611219809,tt0429493,
Ã+ Pollux,Ã+ Pollux,,FR,,,,,,2002,ComÃ©die sentimentale,Roman,Philippe Jaenada,,,,mf-tt-6275571019,tt0316954,
Aaron Slick from Punkin Crick,,Aaron Slick from Punkin Crick,US,,,,,,1952,ComÃ©die musicale,PiÃ¨ce,Walter Benjamin Hare,,,,mf-tt-9630636156,tt0044319,Q3073270
"AbbÃ© Constantin, L'","AbbÃ© Constantin, L'",,FR,,,,,,1933,ComÃ©die,PiÃ¨ce,Pierre Decourcelle,Hector CrÃ©mieux,Ludovic HalÃ©vy,,mf-tt-7054033945,tt0142065,
"ABC Murders, The",,"ABC Murders, The",GB,,,,,,1994,Drame policier,Roman,Agatha Christie,,,,mf-tt-5453635530,,Q1807224
Abduction,Patricia,Abduction,US,,,,,,1975,Drame policier,Roman,Harrison James,,,,mf-tt-9364092023,tt0072597,Q3548506
"Abduction of Saint Anne, The","EnquÃªte de Monseigneur Logan, L'","Abduction of Saint Anne, The",US,,,,,,1975,Drame policier,Roman,Thomas Patrick McMahon,,,,mf-tt-8509731247,tt0072598,
Abilene Town,RÃ¨glement de compte Ã  Abilene Town,Abilene Town,US,,,,,,1945,Western,Roman,Ernest Haycox,,,,mf-tt-0455533285,tt0038284,
Abismos de pasiÃ³n,"Hauts de hurlevent, Les",Wuthering Heights,MX,,,,,,1953,Drame sentimental,Roman,Emily BrontÃ«,,,,mf-tt-0306443911,tt0046675,
"Abominable Bride, The","Effroyable mariÃ©e, L'","Abominable Bride, The",GB,,,,,,2015,Drame policier,Oeuvre,Arthur Conan Doyle,,,,mf-tt-3785171519,,
"Abominable Homme des douanes, L'","Abominable Homme des douanes, L'",,FR,,,,,,1962,ComÃ©die policiÃ¨re,Roman,Clarence Weff,,,,mf-tt-9714413681,,Q181795
About Mrs. Leslie,,About Mrs. Leslie,US,,,,,,1954,Drame psychologique,Roman,Vina Delmar,,,,mf-tt-0359072110,tt0046676,Q3156613
Above Suspicion,Suspecte,Above Suspicion,US,MN,,,,,2019,Thriller,Livre,Joe Sharkey,,,,mf-tt-7545853300,,Q175018
Above Suspicion 2: The Red Dahlia,InsoupÃ§onnable: Le Dahlia rouge,Above Suspicion 2: The Red Dahlia,GB,,,,,,2010,Drame policier,Roman,Lynda La Plante,,,,mf-tt-2741298895,,Q3017981
Above Suspicion 3: Dealy Intent,InsoupÃ§onnable: Intentions mortelles,Above Suspicion 3: Dealy Intent,GB,,,,,,2011,Drame policier,Roman,Lynda La Plante,,,,mf-tt-1478123796,,
Above Suspicion 4: Silent Scream,InsoupÃ§onnable 4: un silence assourdissant,Above Suspicion 4: Silent Scream,GB,,,,,,2012,Drame policier,Roman,Lynda La Plante,,,,mf-tt-2927066990,,
Abraham Lincoln - Vampire Hunter,Abraham Lincoln - Chasseur de vampires,Abraham Lincoln - Vampire Hunter,US,,,,,,2012,Drame fantastique,Roman,Seth Grahame-Smith,,,,mf-tt-0947498559,tt1611224,
Abroad,,Abroad,CA,,,,,,2009,ComÃ©die dramatique,Livre,Leah McLaren,,,,mf-tt-1701419196,,
Absolument Fabuleux,Absolument Fabuleux,,FR,,,,,,2001,ComÃ©die satirique,Oeuvre,Jennifer Saunders,,,,mf-tt-4411520108,tt0271945,Q517910
Absolute Power,Pouvoir d'exÃ©cuter,Absolute Power,US,,,,,,1996,Drame policier,Livre,David Baldacci,,,,mf-tt-2926618893,tt0118548,Q3214207
Accident,Accident,Accident,GB,,,,,,1967,Drame psychologique,Roman,Nicholas Mosley,,,,mf-tt-7186509213,tt0061328,
"Accident, L'","Accident, L'",,FR,,,,,,1962,Drame,Roman,FrÃ©dÃ©ric Dard,,,,mf-tt-5394307246,,
"Accompagnatrice, L'","Accompagnatrice, L'","Accompanist, The",FR,,,,,,1992,Drame,Roman,Nina Berberova,,,,mf-tt-7250967795,tt0103616,Q2377950
"Accroche-coeur, L'","Accroche-coeur, L'",,FR,DE,,,,,1938,ComÃ©die dramatique,PiÃ¨ce,Sacha Guitry,,,,mf-tt-1704065514,,
"AccusÃ©e, levez-vous!","AccusÃ©e, levez-vous!",,FR,,,,,,1930,Drame judiciaire,Roman,Mary Murillo,,,,mf-tt-4758771808,tt0143086,Q3209363
Ace Ventura: When Nature Calls,Ace Ventura - L'Appel de la nature,Ace Ventura: When Nature Calls,US,,,,,,1995,ComÃ©die,Oeuvre,Jack Bernstein,,,,mf-tt-0849234983,tt0112281,Q700736
Achille's Heel,,Achille's Heel,GB,,,,,,1991,Drame policier,Roman,Ruth Rendell,,,,mf-tt-4193164032,,
Achter de wolken,,Behind the Clouds,BE,,,,,,2016,Drame sentimental,PiÃ¨ce,Michael De Cock,,,,mf-tt-8745828020,tt4440488,Q548303
Ada dans la jungle,Ada dans la jungle,,FR,CI,,,,,1988,ComÃ©die,Oeuvre,Francesco Tullio-Altan,,,,mf-tt-4742773590,tt0096760,
Adam Had Four Sons,"Famille Stoddard, La",Adam Had Four Sons,US,,,,,,1941,ComÃ©die dramatique,Roman,Charles Bonner,,,,mf-tt-8945419041,tt0033314,
Adaptation.,Adaptation.,Adaptation.,US,,,,,,2002,ComÃ©die dramatique,Livre,Susan Orlean,,,,mf-tt-0284066189,tt0268126,
"Addams Family 2, The","Famille Addams 2, La","Addams Family 2, The",US,GB,CA,,,,2021,Film d'animation,Oeuvre,Charles Addams,,,,mf-tt-8043524311,tt11125620,Q7033621
AdelaÃ¯de,AdelaÃ¯de,Adelaide,FR,IT,,,,,1967,Drame psychologique,Roman,Arthur de Gobineau,,,,mf-tt-8081094867,tt0062638,Q212129
Adieu chÃ©rie,Adieu chÃ©rie,,FR,,,,,,1946,Drame,Roman,Alex JoffÃ©,Jacques Companeez,,,mf-tt-2855791276,tt0188389,Q1811134
Adieu la vie,Adieu la vie,,FR,,,,,,1984,Drame policier,Roman,Michel Martens,Jean-Pierre Bastid,,,mf-tt-7886919245,,
Adieu poulet,Adieu poulet,"French Detective, The",FR,,,,,,1975,Drame policier,Roman,Raf Vallet,,,,mf-tt-0069291912,tt0072603,Q3412868
"Adieux Ã  la reine, Les","Adieux Ã  la reine, Les","Farewell, My Queen",FR,,,,,,2012,Drame historique,Roman,Chantal Thomas,,,,mf-tt-7215397590,tt1753813,Q60738679
"Adjustment Bureau, The",Bureau de contrÃ´le,"Adjustment Bureau, The",US,,,,,,2010,Science-fiction,Oeuvre,Philip K. Dick,,,,mf-tt-1310428431,tt1385826,
Admission,Admission,Admission,US,,,,,,2013,ComÃ©die,Roman,Jean Hanff Korelitz,,,,mf-tt-3740893318,tt1814621,
Adolf Hitler - My Part in His Downfall,,Adolf Hitler - My Part in His Downfall,GB,,,,,,1973,ComÃ©die,Roman,Spike Milligan,,,,mf-tt-1490956201,tt0068171,
Adolphe,Adolphe,,FR,,,,,,1967,Drame sentimental,Roman,Benjamin Constant,,,,mf-tt-8099888304,,Q3139644
Adolphe,Adolphe,,FR,,,,,,2002,Drame psychologique,Roman,Benjamin Constant,,,,mf-tt-5938805603,tt0307923,
Adore,Adore,Adore,AU,,,,,,2012,Drame de moeurs,Roman,Doris Lessing,,,,mf-tt-6930839583,,
Adrienne Lecouvreur,Adrienne Lecouvreur,,FR,DE,,,,,1938,Drame historique,PiÃ¨ce,EugÃ¨ne Scribe,Ernest Legouve,,,mf-tt-4787247064,tt0202210,Q55615419
Adults In the Room,Conversations entre adultes,Adults In the Room,FR,GR,,,,,2019,Drame politique,Livre,Yanis Varoufakis,,,,mf-tt-6856340247,tt7493370,Q18811588
"Adventurer: The Curse of the Midas Box, The","MalÃ©diction du roi Midas, La","Adventurer: The Curse of the Midas Box, The",GB,,,,,,2012,Aventures,Roman,G.P. Taylor,,,,mf-tt-6405056308,tt1376213,Q20735644
"Adventures of Don Quixote, The",Don Quichotte,"Adventures of Don Quixote, The",GB,,,,,,1972,ComÃ©die dramatique,Roman,Miguel de Cervantes,,,,mf-tt-9682403578,,Q719915
"Adventures of Huck Finn, The","Aventures de Huck Finn, Les","Adventures of Huck Finn, The",US,,,,,,1992,Aventures,Roman,Mark Twain,,,,mf-tt-0729016309,,Q3505065
Adventures of Huckleberry Finn,,Adventures of Huckleberry Finn,US,,,,,,1985,Aventures,Roman,Mark Twain,,,,mf-tt-7982072681,,
"Adventures of Huckleberry Finn, The","Aventures de Huckleberry Finn, Les","Adventures of Huckleberry Finn, The",US,,,,,,1978,ComÃ©die dramatique,Roman,Mark Twain,,,,mf-tt-1020783906,,Q602927
"Adventures of Tintin, The","Aventures de Tintin, Les","Adventures of Tintin, The",US,,,,,,2011,Film d'animation,Oeuvre,HergÃ©,,,,mf-tt-4907609364,tt0983193,Q947934
Advise and Consent,TempÃªte Ã  Washington,Advise and Consent,US,,,,,,1962,Drame politique,Roman,Allen Drury,,,,mf-tt-6424612096,,
"Advocate's Devil, The","Avocat du dÃ©mon, L'","Advocate's Devil, The",US,,,,,,1997,Drame judiciaire,Roman,Alan M. Dershowitz,,,,mf-tt-0105996165,,Q3228386
Aeon Flux,Aeon Flux,Aeon Flux,US,,,,,,2005,Science-fiction,Oeuvre,Peter Chung,,,,mf-tt-9093673248,tt0402022,Q30731110
"Affaire d'une nuit, L'","Affaire d'une nuit, L'",,FR,,,,,,1960,ComÃ©die dramatique,Roman,Alain Moury,,,,mf-tt-7702817021,tt0053572,
"Affaire de femmes, Une","Affaire de femmes, Une",Story of Women,FR,,,,,,1988,Drame social,Livre,Francis Szpiner,,,,mf-tt-1450881044,tt0096336,Q15527055
"Affaire Dominici, L'","Affaire Dominici, L'",,FR,CH,,,,,2003,Drame policier,Livre,William Reymond,,,,mf-tt-0690979425,,Q3012553
"Affaire Dreyfus, L'","Affaire Dreyfus, L'",,FR,,,,,,1995,Drame judiciaire,Roman,Jean-Denis Bredin,,,,mf-tt-4625785596,,Q20992425
"Affaire du courrier de Lyon, L'","Affaire du courrier de Lyon, L'",,FR,,,,,,1937,Drame,PiÃ¨ce,EugÃ¨ne Moreau,Alfred Delacour,Paul Siraudin,,mf-tt-1248009455,,
"Affaire du Grand HÃ´tel, L'","Affaire du Grand HÃ´tel, L'",,FR,,,,,,1946,ComÃ©die policiÃ¨re,Roman,Paul Achard,,,,mf-tt-1513634289,,Q12140204
"Affaire Farewell, L'","Affaire Farewell, L'",Farewell,FR,,,,,,2009,Drame d'espionnage,Livre,Sergei Kostine,,,,mf-tt-8872968362,tt1355543,Q950893
"Affaire Lafarge, L'","Affaire Lafarge, L'",,FR,,,,,,1938,Drame,Livre,Ernest Fornairon,,,,mf-tt-5538794335,tt0028556,Q3333078
"Affaire Protheroe, L'","Affaire Protheroe, L'",,FR,,,,,,2016,ComÃ©die policiÃ¨re,Roman,Agatha Christie,,,,mf-tt-4418212849,,Q186587
"Affaire Seznec, L'","Affaire Seznec, L'",,FR,,,,,,1992,Drame judiciaire,Livre,Denis Langlois,,,,mf-tt-0831759439,,Q3214243
