clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - DEC professionnel,2715,3539,4855,6604
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Certificat,582,810,1029,1470
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Baccalauréat,2346,3083,4147,5797
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,790,1046,1416,1980
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Inconnu,11021,15509,17303,25295
Individu - clientèle de l`assistance sociale,Personne handicapée,Oui,12432,18035,20227,30725
Individu - clientèle de l`assistance sociale,Personne handicapée,Non,77304,98186,134828,183783
Individu - clientèle de l`assistance sociale,Autochtone,Oui,1129,1422,1923,2524
Individu - clientèle de l`assistance sociale,Autochtone,Non,86949,112385,150803,208608
Individu - clientèle de l`assistance sociale,Autochtone,Inconnu,1319,1757,2329,3376
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né au Canada,70033,90058,121249,166487
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,8208,11526,14952,22686
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,11256,14374,18836,25313
Individu - clientèle de l`assistance sociale,Lieu de naissance,Inconnu,12,13,18,22
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale et assurance-emploi,8804,11572,14117,18780
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale et admis. assurance-emploi,24677,32113,42617,57737
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale seulement,58907,77287,98321,137991
