Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Grands_defis_de_societe,Type_de_destinataire,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQSC,,2018-2019,2014-2015,"CYR, MIREILLE",178804,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,211500,0,211500,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Abus sexuel,Relations de couple,Structures organisationnelles,Populations,Agressions sexuelles // Problèmes conjugaux // Incidence et prévalence // Facteurs de risque et de protection // Évaluation des pratiques  // Interventions préventives et cliniques // Facteurs de risque // Stratégies de prévention // Stratégies de judiciarisation // Évaluation des pratiques // Problèmes conjugaux // Agressions sexuelles // Incidence et prévalence // Conséquences psychosociales // Enfant - adolescent - famille // Polyvictimisation // Études longitudinales // Traumas interpersonnels
FRQSC,,2018-2019,2014-2015,"DESCARRIES, FRANCINE",178963,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,205675,0,205675,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Cohésion sociale,"Contextes idéologiques, politiques, économiques et sociaux des transformations sociales",Solidarité sociale,,Féminisme // Rapports sociaux  // Genre  // justice sociale // identiés croisées des femms  // Égalité // Féminisme // Égalité // Rapports sociaux // Inégalités sociales // Justice sociale // équité
FRQSC,,2018-2019,2014-2015,"CNOCKAERT, VÉRONIQUE",178988,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,229951,0,229951,,Établissement reconnu,"Arts, littérature et société","Arts, littérature et subjectivité",Théories artistiques ou littéraires,Culture,,imaginaire contemporain // pratiques artistiques contemporaines // culture numérique // texte et image // recherche-création arts et littérature   // théorie litéraire // art contemporain // cinéma et photographie // théorie de figure // théorie de l'imaginaire // subjectivité // nouveaux médias // culture contemporaine // imaginaire contemporain // littérature contemporaine
FRQSC,,2018-2019,2014-2015,"BREUX, SANDRA",179044,Institut national de la recherche scientifique [INRS],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,243950,0,243950,,Établissement reconnu,"Milieux de vie, aménagement et appropriation de l'espace humain",Espaces urbains et urbanité,"Personnes, villes et territoires",Aménagement du territoire,Structures organisationnelles,Villes et agglomérations // Dynamiques sociales // Usages et représentations // Gouvernance // Cadre bâti et naturel // Institutions territoriales // Gouvernance // Métropolisation // Dynamiques sociales // Action publique // Cadre bâti // Usages et représentations // Économie urbaine // Villes et agglomérations // Institutions territoriales // Environnement urbain
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"DOSTIE, BENOÎT",179045,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,241400,0,241400,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Dynamique des transformations sociales,Transitions familiales,Populations,Politiques économiques,statistiques sociales // politiques publiques // santé des populations // conditions socio-économiques // parcours de vie // immigration et diversité // statistiques sociales // politiques publiques // santé des populations // conditions socio-économiques // parcours de vie // immigration et diversité
FRQSC,,2018-2019,2014-2015,"GAGNON, ALAIN-G.",179077,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,209250,0,209250,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions","Individualisme, communautarisme, pluralisme et tolérance","Droits et libertés de la personne, droits collectifs",Populations,Culture,interculturalisme // multiculturalisme // Diversité // Démocratie // Citoyenneté // Identité // diversité // démocratie // nations // nationalisme // multination // interculturalisme // multiculturalisme // relations intercommunautaires // identité // citoyenneté // terrritorialité // Québec // Canada // politique comparée
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"TAPPOLET, CHRISTINE",179123,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,201750,0,201750,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",Politiques et services publics  ,Éthique appliquée,Droits et justice,Solidarité sociale,Éthique // Justice // Devoirs // Normes // Individus // Institutions // Éthique // Justice // Devoirs // Normes // Individus // Institutions
FRQSC,,2018-2019,2014-2015,"SALTER, CHRISTOPHER",179276,Université Concordia,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,208500,0,208500,,Établissement reconnu,Création artistique et littéraire,Formes d'art émergentes,Approches multiples de la création,Culture,,media arts // interactivity // design // games // technocultural studies // media scenography // Media Arts // Research-Creation // Embodiment and the Senses // Materiality // Ubiquity // Design and Technology
FRQSC,,2018-2019,2014-2015,"LÉVESQUE, CAROLE",179415,Institut national de la recherche scientifique [INRS],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,222000,0,222000,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",Dynamique des transformations sociales,Organisation sociale et système politique,Droits et justice,Populations,peuples autochtones // politiques publiques // modernité // gouvernance // développement // urbanisation // relations interculturelles // relations avec l'État // gouvernance // environnement // transnationalisation // modernité // politiques publiques autochtones // territoire
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"MORIN, PAUL",179767,CIUSSS de l'Estrie - CHUS,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,206250,0,206250,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Services sociaux spécifiques (clientèles),Déterminants sociaux de la santé,Populations,Santé publique,Personnalisation des services // Développement des capacités // Santé et services sociaux // Première ligne // Développement jeunes/familles/adultes // Développement des communautés
FRQSC,,2018-2019,2014-2015,"LAFORTUNE, DENIS",179773,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,342000,0,342000,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Violence,Services à l'enfance et à la famille ,Solidarité sociale,Structures organisationnelles,utilisation des connaissances // violence chez les jeunes // mauvais traitements // délinquance et troubles du comportement // intégration sociale // services aux jeunes en difficulté
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"SALLÉE, NICOLAS",179875,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Centres affiliés universitaires,SI2,131250,0,131250,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Insertion et exclusion,Déterminants sociaux de la santé,Solidarité sociale,Santé publique,inégalités sociales et discriminations // services de première ligne // pratiques de citoyenneté // co-production des connaissances // déterminants sociaux de la santé // prévention
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"HANLEY, JILL",180645,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,166250,0,166250,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale","Migrations, peuplements, contacts culturels",Cultures et dynamiques locales,Populations,Santé publique,culture // minorités // migration // services de santé // intervention sociale // équité
FRQSC,,2018-2019,2014-2015,"RODRIGUEZ, LOURDES",182311,CIUSSS du Nord-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Centres affiliés universitaires,SI2,131250,0,131250,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",Réseaux sociaux,Services sociaux spécifiques (clientèles),Solidarité sociale,Structures organisationnelles,Services sociaux // Réseaux sociaux // Réseaux locaux de services // Sociosanitaire // Complexité // Partenariat
FRQSC,,2018-2019,2014-2015,"MASDONATI, JONAS",182561,Université Laval,CANADA,Québec,Subventions de recherche,Soutien à la recherche pour l'établissement de la relève professorale ,ERP,Soutien à la recherche pour la relève professorale,NP,2355,0,2355,,Établissement reconnu,"Éducation, savoirs et compétences",Orientation scolaire ,Insertion professionnelle ,Éducation ,Structures organisationnelles,Jeunes adultes // Parcours professionnels // Réorientation professionnelle // Retour aux études // Formation professionnelle // Formation technique
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"MARIER, PATRIK",183828,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Centres affiliés universitaires,SI2,174786,0,174786,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Services sociaux spécifiques (clientèles),,Solidarité sociale,Santé publique,politiques sociales // milieux de vie // multiples vieillissements // participation sociale // intervention // Gérontologie sociale
FRQSC,,2018-2019,2014-2015,"LIVIERI, PAOLO",185390,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat pour étudiants étrangers ou étudiantes étrangères,DES,Bourses au doctorat en recherche pour étudiants étrangers ou étudiantes étrangères ,DS,6667,0,6667,,Titulaire,"Cultures, religions et civilisations","Religion, cultures et espaces ",Philosophies et idéologies,Culture,,Culture et Connaissance // Études religieuses // Philosophie de la religion // Logique et phénoménologie française
FRQSC,,2018-2019,2014-2015,"RÉGIMBAL, FRANÇOIS",185612,Cégep du Vieux Montréal,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,33200,0,33200,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",,,,,
FRQSC,,2018-2019,2014-2015,"GULIAN, THOMAS",186014,Collège de Maisonneuve,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,7000,0,7000,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",,,,,
FRQSC,Cofinancé FRQS,2018-2019,2014-2015,"DESPRÉS, JEAN-PIERRE",186195,CIUSSS de la Capitale-Nationale,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,206250,0,206250,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Services sociaux généraux (population),Services de première ligne,Populations,Gestion du système de santé ,Première ligne santé et services sociaux // Transfert /application de connaissances  // Organisation des soins et services // Recherche translationnelle // Pratiques intégrées // Collaboration interprofessionnelle
FRQSC,,2018-2019,2014-2015,"MORIN, DIANE",186579,CIUSSS de la Mauricie-et-du-Centre-du-Québec,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,269480,0,269480,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Conditions d'adaptation et d'insertion,Services sociaux spécifiques (clientèles),Éducation ,Santé publique,inclusion // participation sociale/citoyenne // adaptation/réadaptation // intervention précoce // développement professionnel // technologies information/communication
FRQSC,,2018-2019,2014-2015,"MCKAY, CORY",186672,Collège Marianopolis,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,7000,0,7000,,Établissement reconnu,"Médias, communications et information",,,,,
FRQSC,,2018-2019,2014-2015,"LACHAPELLE, LOUISE",186746,Collège de Maisonneuve,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,46742,0,46742,,Établissement reconnu,"Arts, littérature et société",,,,,
FRQSC,,2018-2019,2014-2015,"DULONG, ANNIE",186747,Cégep Édouard-Montpetit,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,39764,0,39764,,Établissement reconnu,"Arts, littérature et société",,,,,
FRQSC,,2018-2019,2014-2015,"BEAUPARLANT, SOPHIE",186750,Cégep de Jonquière,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,47000,0,47000,,Établissement reconnu,"Arts, littérature et société",,,,,
FRQSC,,2018-2019,2014-2015,"PARENTEAU, OLIVIER",186751,Cégep de Saint-Laurent,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,47000,0,47000,,Établissement reconnu,"Arts, littérature et société",,,,,
FRQSC,,2018-2019,2014-2015,"FICHTEN, CATHERINE",186757,Collège Dawson,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,47000,0,47000,,Établissement reconnu,"Éducation, savoirs et compétences",,,,,
FRQSC,,2018-2019,2014-2015,"ROSENFIELD, STEVEN",186758,Cégep Vanier,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,7000,0,7000,,Établissement reconnu,"Éducation, savoirs et compétences",,,,,
FRQSC,,2018-2019,2014-2015,"DEDIC, HELENA",186759,Cégep Vanier,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,7000,0,7000,,Établissement reconnu,"Éducation, savoirs et compétences",,,,,
FRQSC,,2018-2019,2014-2015,"KING, LAURA",186760,Cégep André-Laurendeau,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement d'enseignement pour la recherche au collégial,CHZ,23000,0,23000,,Établissement reconnu,"Éducation, savoirs et compétences",,,,,
FRQSC,,2018-2019,2015-2016,"HÉBERT, MARTINE",187954,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,92321,0,92321,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Abus sexuel,Violence,Populations,Santé publique,Agression sexuelle // Violence dans les relations amoureuses // Résilience // Prévention // Évaluation de programmes // Populations spécifiques // Agression sexuelle // Violence dans les relations amoureuses // Résilience // Intervention/Prévention // Évaluation de programmes // Populations spécifiques
FRQSC,,2018-2019,2015-2016,"GEORGE, ÉRIC",187960,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,68928,0,68928,,Établissement reconnu,"Médias, communications et information","Structures, stratégies et impacts des industries culturelles",Modes d'appropriation des moyens de communication,Culture,Structures organisationnelles,Production culturelle  // Numérique // Mutations // Création // Circulation // Appropriation // Production culturelle  // Numérique // Mutations // Création // Circulation // Appropriation
FRQSC,,2018-2019,2015-2016,"VALLERAND, ROBERT",187972,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,70180,0,70180,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Construction de l'identité,Développement affectif et émotionnel,Éducation ,Populations,Motivation Humaine // Motivation Intrinsèque // Motivation Extrinsèque // Passion // Autodétermination // Psychologie Sociale // Processus Motivationnels // Motivation Intrinsèque // Motivation Extrinsèque // Travail // Relations Interpersonnelles // Éducation
FRQSC,,2018-2019,2015-2016,"VINCENT, JOSÉE",187973,Université de Sherbrooke,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,70849,0,70849,,Établissement reconnu,"Arts, littérature et société",Modes ou stratégies de diffusion,Industries culturelles,Culture,,Littérature québécoise // Discours et représentations // Archives // Système-livre // Édition // Pratiques // Édition // Système-livre // Littérature québécoise // Discours et représentations // Pratiques // Archives
FRQSC,,2018-2019,2015-2016,"TREMBLAY, SÉBASTIEN",187997,Université Laval,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,73487,0,73487,,Établissement reconnu,Gestion des organisations ,Optimisation des processus et de la productivité,Gestion des crises,Structures organisationnelles,Sécurité,Travail en équipe // Performance humaine // Prise de décision collaborative // Coordination // Situation complexe et dynamique // Neurosciences sociales // Travail en équipe // Performance humaine // Prise de décision collaborative // Coordination // Situation complexe et dynamique // Neurosciences sociales
FRQSC,,2018-2019,2015-2016,"KHOURY, LARA",188019,Université McGill,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - fonctionnement,SE2,61268,0,61268,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",Droit constitutionnel ,Droit civil ,Droits et justice,Gestion du système de santé ,Politiques sociales et de santé // Rôle du droit // Pouvoir judiciaire // Droits et libertés // Droit de la santé // Droit de la santé // Politiques sociales et de santé // Rôle du droit // Pouvoir judiciaire // Droits et libertés
FRQSC,,2018-2019,2015-2016,"AUGER, RÉGINALD",188067,Université Laval,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,92400,0,92400,,Établissement reconnu,"Milieux de vie, aménagement et appropriation de l'espace humain",Analyses des données archéologiques,Milieux et habitats,Culture,Environnement,"Tracéologie, scanographie et quantificat // Transformation et modélisation // Changements paléoenvironnementaux // Création de bases de données // Archéométrie // Utilisation du territoire // Création de bases de données // Archéométrie // Utilisation du territoire // Tracéologie, scanographie et quantificat // Transformation et modélisation // Changements paléoenvironnementaux"
FRQSC,,2018-2019,2015-2016,"BOIVIN, MICHEL",188074,Université Laval,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,77919,0,77919,,Établissement reconnu,"Éducation, savoirs et compétences",Inadaptation scolaire,Orientation scolaire ,Éducation ,Populations,Réussite scolaire // Motivation // Développement // Études longitudinales // Préparation à l'école // Choix vocationnel // Réussite scolaire // Motivation // Développement // Études longitudinales // Préparation à l'école // Choix vocationnel
FRQSC,,2018-2019,2015-2016,"PINSONNEAULT, ALAIN",188096,Université McGill,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,78320,0,78320,,Établissement reconnu,Gestion des organisations ,Systèmes d'information ,,Structures organisationnelles,,Digital competition // Information technology // Value chain // IT Strategic alignment // Management of IT // Adoption and diffusion of IT // Digital competition // Information technology // Value chain // IT Strategic alignment // Management of IT // Adoption and diffusion of IT
FRQSC,,2018-2019,2015-2016,"CRÉPEAU, ROBERT",188107,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,57200,0,57200,,Établissement reconnu,"Cultures, religions et civilisations",Dynamique religieuse,Dynamique des transformations sociales,Culture,Solidarité sociale,autochtonie // cosmologie // réseaux sociaux // ontologies // Premières nations // mouvements autochtones  // Premières nations // mouvements autochtones  // autochtonie // cosmologie // réseaux sociaux // ontologies
FRQSC,,2018-2019,2015-2016,"LAROCHE, MICHEL",188187,Université Concordia,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,43933,0,43933,,Établissement reconnu,Gestion des organisations ,"Promotion, publicité et coûts",Ventes et commercialisation ,Culture,,Comportement du consommateur // Sites internet // Média sociaux // Culture // Personnalité // Comportement du consommateur // Sites internet // Média sociaux // Culture // Personnalité
FRQSC,,2018-2019,2015-2016,"CLARK, LYDIA",188196,Université McGill,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,72924,0,72924,,Établissement reconnu,Langues et langage,"Mécanismes d'acquisition, de compréhension et de production du langage",Bilinguisme et multilinguisme,Fondements et avancement des connaissances,Éducation ,First language acquisition // Second language acquisition // Bilingualism // Language Impairment // Sentence Processing // Mental representation of language // First language acquisition // Second language acquisition // Bilingualism // Language Impairment // Sentence Processing // Mental representation of language
FRQSC,,2018-2019,2015-2016,"HÉBERT, MARTIN",188198,Université Laval,CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,55995,0,55995,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",Mouvements sociaux,"Personnes, villes et territoires",Droits et justice,Solidarité sociale,Amérique latine // Imaginaires politiques // Pouvoir // Violence // Amérique latine // Imaginaires politiques // Pouvoir // Violence
FRQSC,,2018-2019,2015-2016,"MERRIGAN, PHILIP J.",188242,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Soutien aux équipes de recherche,SE,Soutien aux équipes de recherche / Universitaire - renouvellement,SE3,63800,0,63800,,Établissement reconnu,"Économie, emploi et marchés",Comportement des ménages ,Développement cognitif,Politiques économiques,Éducation ,Capital humain // Éducation // Microéconométrie // Capacités cognitives et sociales // Progression et réussite scolaire // Santé des enfants et des parents // Capital humain // Éducation // Microéconométrie // Capacités cognitives et sociales // Progression et réussite scolaire // Bien-être des enfants et des parents
