NUMEROTATION,TYPE_DE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM ,SEJ_MOY-MASC ,SEJ_MOY-TOT ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
11,"Soins physiques et psychiatriques de courte durée","45-49 ANS",12463,11662,24125,82420,106002,188422,6.6,9.1,7.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
12,"Soins physiques et psychiatriques de courte durée","50-54 ANS",15859,17053,32912,116501,135890,252391,7.3,8.0,7.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
13,"Soins physiques et psychiatriques de courte durée","55-59 ANS",21286,25000,46287,160408,196546,357003,7.5,7.9,7.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
14,"Soins physiques et psychiatriques de courte durée","60-64 ANS",25660,31484,57144,211924,254891,466815,8.3,8.1,8.2,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
15,"Soins physiques et psychiatriques de courte durée","65-69 ANS",29045,35357,64402,251029,294514,545543,8.6,8.3,8.5,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
16,"Soins physiques et psychiatriques de courte durée","70-74 ANS",33253,38426,71679,323078,340246,663324,9.7,8.9,9.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
17,"Soins physiques et psychiatriques de courte durée","75-79 ANS",32278,34277,66555,351399,335739,687138,10.9,9.8,10.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
18,"Soins physiques et psychiatriques de courte durée","80-84 ANS",31248,27731,58979,385833,310712,696545,12.3,11.2,11.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
19,"Soins physiques et psychiatriques de courte durée","85 ET +",56394,34257,90651,776380,429484,1205864,13.8,12.5,13.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
20,"Soins physiques et psychiatriques de courte durée","TOTAL",461469,371786,833258,3405109,3120623,6525783,7.4,8.4,7.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
21,"Soins en chirurgie d'un jour","00-04 ANS",6415,10326,16741,6415,10326,16741,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
22,"Soins en chirurgie d'un jour","05-09 ANS",4321,6261,10582,4321,6261,10582,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
23,"Soins en chirurgie d'un jour","10-14 ANS",2133,2974,5107,2133,2974,5107,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
24,"Soins en chirurgie d'un jour","15-19 ANS",3560,3687,7247,3560,3687,7247,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
25,"Soins en chirurgie d'un jour","20-24 ANS",4225,3897,8122,4225,3897,8122,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
26,"Soins en chirurgie d'un jour","25-29 ANS",6423,4768,11191,6423,4768,11191,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
27,"Soins en chirurgie d'un jour","30-34 ANS",7943,5330,13273,7943,5330,13273,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
28,"Soins en chirurgie d'un jour","35-39 ANS",10365,6745,17110,10365,6745,17110,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
29,"Soins en chirurgie d'un jour","40-44 ANS",11122,7360,18482,11122,7360,18482,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
30,"Soins en chirurgie d'un jour","45-49 ANS",10758,8178,18936,10758,8178,18936,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
31,"Soins en chirurgie d'un jour","50-54 ANS",13177,10532,23709,13177,10532,23709,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
32,"Soins en chirurgie d'un jour","55-59 ANS",16197,14886,31083,16197,14886,31083,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
33,"Soins en chirurgie d'un jour","60-64 ANS",18586,17278,35864,18586,17278,35864,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
34,"Soins en chirurgie d'un jour","65-69 ANS",22061,19202,41263,22061,19202,41263,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
35,"Soins en chirurgie d'un jour","70-74 ANS",24172,21147,45319,24172,21147,45319,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
36,"Soins en chirurgie d'un jour","75-79 ANS",18752,17420,36172,18752,17420,36172,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
37,"Soins en chirurgie d'un jour","80-84 ANS",10498,10423,20921,10498,10423,20921,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
38,"Soins en chirurgie d'un jour","85 ET +",6665,5897,12562,6665,5897,12562,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
39,"Soins en chirurgie d'un jour","TOTAL",197373,176311,373684,197373,176311,373684,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
40,"Soins post-mortem","15-19 ANS",0,1,1,0,2,2,0.0,2.0,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
41,"Soins post-mortem","20-24 ANS",3,2,5,7,3,10,2.3,1.5,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
42,"Soins post-mortem","25-29 ANS",1,1,2,3,5,8,3.0,5.0,4.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
43,"Soins post-mortem","30-34 ANS",2,4,6,4,5,9,2.0,1.3,1.5,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
44,"Soins post-mortem","35-39 ANS",0,4,4,0,13,13,0.0,3.3,3.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
45,"Soins post-mortem","40-44 ANS",4,4,8,11,10,21,2.8,2.5,2.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
46,"Soins post-mortem","45-49 ANS",4,3,7,11,5,16,2.8,1.7,2.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
47,"Soins post-mortem","50-54 ANS",3,6,9,5,9,14,1.7,1.5,1.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
48,"Soins post-mortem","55-59 ANS",6,6,12,10,12,22,1.7,2.0,1.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
49,"Soins post-mortem","60-64 ANS",7,1,8,13,1,14,1.9,1.0,1.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
50,"Soins post-mortem","65-69 ANS",7,5,12,15,9,24,2.1,1.8,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
51,"Soins post-mortem","70-74 ANS",6,4,10,8,7,15,1.3,1.8,1.5,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
52,"Soins post-mortem","75-79 ANS",4,6,10,8,8,16,2.0,1.3,1.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
53,"Soins post-mortem","80-84 ANS",4,1,5,5,2,7,1.3,2.0,1.4,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
54,"Soins post-mortem","85 ET +",2,1,3,2,1,3,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
55,"Soins post-mortem","TOTAL",53,49,102,102,92,194,1.9,1.9,1.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2018/04/01 et 2019/03/31", 2019-09-05,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
