NUMEROTATION,TYPE_DE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM ,SEJ_MOY-MASC ,SEJ_MOY-TOT ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
11,"Soins physiques et psychiatriques de courte durée","45-49 ANS",10293,10289,20582,67561,91478,159039,6.6,8.9,7.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
12,"Soins physiques et psychiatriques de courte durée","50-54 ANS",11361,12616,23977,81867,101678,183545,7.2,8.1,7.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
13,"Soins physiques et psychiatriques de courte durée","55-59 ANS",15660,18936,34596,118521,161325,279846,7.6,8.5,8.1,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
14,"Soins physiques et psychiatriques de courte durée","60-64 ANS",21749,26510,48259,177387,223890,401277,8.2,8.4,8.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
15,"Soins physiques et psychiatriques de courte durée","65-69 ANS",26478,32393,58871,236423,288483,524906,8.9,8.9,8.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
16,"Soins physiques et psychiatriques de courte durée","70-74 ANS",29455,34562,64017,287793,313041,600834,9.8,9.1,9.4,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
17,"Soins physiques et psychiatriques de courte durée","75-79 ANS",32578,35421,67999,360513,359693,720206,11.1,10.2,10.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
18,"Soins physiques et psychiatriques de courte durée","80-84 ANS",29246,27638,56884,367470,311346,678816,12.6,11.3,11.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
19,"Soins physiques et psychiatriques de courte durée","85 ET +",49409,33236,82645,734094,447149,1181243,14.9,13.5,14.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
20,"Soins physiques et psychiatriques de courte durée","TOTAL",414141,339968,754112,3098234,3004046,6102304,7.5,8.8,8.1,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
21,"Soins en chirurgie d'un jour","00-04 ANS",6210,10118,16328,6210,10118,16328,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
22,"Soins en chirurgie d'un jour","05-09 ANS",3671,5330,9001,3671,5330,9001,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
23,"Soins en chirurgie d'un jour","10-14 ANS",2240,3171,5411,2240,3171,5411,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
24,"Soins en chirurgie d'un jour","15-19 ANS",3364,3843,7207,3364,3843,7207,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
25,"Soins en chirurgie d'un jour","20-24 ANS",3585,3432,7017,3585,3432,7017,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
26,"Soins en chirurgie d'un jour","25-29 ANS",5692,4366,10058,5692,4366,10058,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
27,"Soins en chirurgie d'un jour","30-34 ANS",7524,5089,12613,7524,5089,12613,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
28,"Soins en chirurgie d'un jour","35-39 ANS",8384,5625,14009,8384,5625,14009,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
29,"Soins en chirurgie d'un jour","40-44 ANS",9882,6885,16767,9882,6885,16767,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
30,"Soins en chirurgie d'un jour","45-49 ANS",9991,7616,17607,9991,7616,17607,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
31,"Soins en chirurgie d'un jour","50-54 ANS",11099,8879,19978,11099,8879,19978,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
32,"Soins en chirurgie d'un jour","55-59 ANS",13597,12629,26226,13597,12629,26226,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
33,"Soins en chirurgie d'un jour","60-64 ANS",17753,16247,34000,17753,16247,34000,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
34,"Soins en chirurgie d'un jour","65-69 ANS",21485,19456,40941,21485,19456,40941,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
35,"Soins en chirurgie d'un jour","70-74 ANS",23195,20746,43941,23195,20746,43941,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
36,"Soins en chirurgie d'un jour","75-79 ANS",20115,18735,38850,20115,18735,38850,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
37,"Soins en chirurgie d'un jour","80-84 ANS",11254,11290,22544,11254,11290,22544,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
38,"Soins en chirurgie d'un jour","85 ET +",6140,6332,12472,6140,6332,12472,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
39,"Soins en chirurgie d'un jour","TOTAL",185181,169789,354970,185181,169789,354970,1.0,1.0,1.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
40,"Soins post-mortem","15-19 ANS",1,2,3,3,8,11,3.0,4.0,3.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
41,"Soins post-mortem","20-24 ANS",1,5,6,2,10,12,2.0,2.0,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
42,"Soins post-mortem","25-29 ANS",3,2,5,5,7,12,1.7,3.5,2.4,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
43,"Soins post-mortem","30-34 ANS",1,5,6,3,38,41,3.0,7.6,6.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
44,"Soins post-mortem","35-39 ANS",5,5,10,7,16,23,1.4,3.2,2.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
45,"Soins post-mortem","40-44 ANS",3,2,5,5,5,10,1.7,2.5,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
46,"Soins post-mortem","45-49 ANS",3,10,13,6,22,28,2.0,2.2,2.2,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
47,"Soins post-mortem","50-54 ANS",4,7,11,8,21,29,2.0,3.0,2.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
48,"Soins post-mortem","55-59 ANS",4,6,10,12,16,28,3.0,2.7,2.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
49,"Soins post-mortem","60-64 ANS",5,8,13,11,22,33,2.2,2.8,2.5,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
50,"Soins post-mortem","65-69 ANS",3,10,13,14,27,41,4.7,2.7,3.2,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
51,"Soins post-mortem","70-74 ANS",6,4,10,13,7,20,2.2,1.8,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
52,"Soins post-mortem","75-79 ANS",3,2,5,7,3,10,2.3,1.5,2.0,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
53,"Soins post-mortem","80-84 ANS",3,2,5,9,5,14,3.0,2.5,2.8,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
54,"Soins post-mortem","TOTAL",45,70,115,105,207,312,2.3,3.0,2.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
