clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Collégial - DEC professionnel,6016,7651,9967,13642
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Universitaire - Certificat,828,1113,1361,1966
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Universitaire - Baccalauréat,3436,4418,5508,7655
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1213,1579,1973,2742
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Inconnu,37574,42511,50715,59312
Individu - clientèle de l`assurance-emploi,Personne handicapée,Oui,14212,19473,24554,38189
Individu - clientèle de l`assurance-emploi,Personne handicapée,Non,148343,174763,222798,279691
Individu - clientèle de l`assurance-emploi,Autochtone,Oui,1318,1550,2099,2641
Individu - clientèle de l`assurance-emploi,Autochtone,Non,126412,153754,199004,261753
Individu - clientèle de l`assurance-emploi,Autochtone,Inconnu,34217,37866,46249,53486
Individu - clientèle de l`assurance-emploi,Lieu de naissance,Né au Canada,116511,140737,182525,238135
Individu - clientèle de l`assurance-emploi,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,2554,3502,4005,5807
Individu - clientèle de l`assurance-emploi,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,17285,21212,26120,34803
Individu - clientèle de l`assurance-emploi,Lieu de naissance,Inconnu,25653,27936,34702,39135
Individu - clientèle de l`assurance-emploi,Statut au début de la participation,Actif assistance sociale et assurance-emploi,4630,6706,6831,10009
Individu - clientèle de l`assurance-emploi,Statut au début de la participation,Actif assistance sociale et admis. assurance-emploi,22938,32237,37582,56097
Individu - clientèle de l`assurance-emploi,Statut au début de la participation,Actif assurance-emploi seulement,85727,97385,119879,141202
Individu - clientèle de l`assurance-emploi,Statut au début de la participation,Admis. assurance-emploi seulement,56388,70336,83060,110572
