Cote,Titre,Date,Éléments notables,Fichier tiff - 600 dpi,Mention de crédits
"VM97,S3,D01,P024",Vue aérienne oblique de Montréal,1925,Voie ferrée est-ouest vers le centre-ville. Secteurs de Westmount et de Saint-Henri,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-024.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P025",Vue aérienne oblique du secteur de l'actuel collège Dawson,1925,"Vue vers le nord-ouest, Westmount, rues Atwater et Sherbrooke",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-025.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P026",Vue aérienne oblique de la rue Sherbrooke,24 juin 1925,"Vue vers l'est, parc La Fontaine, parade sur la rue Sherbrooke, secteur de l'actuel hôpital Notre-Dame",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-026.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P027",Vue aérienne oblique du centre-ville et du fleuve Saint-Laurent,1925,"Vue vers le sud, port de Montréal, pont Victoria, île Sainte-Hélène avant la construction du pont Jacques-Cartier, mont Royal",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-027.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P028",Vue aérienne oblique du centre-ville,Printemps 1929,"Vue vers l'est, cathédrale Marie-Reine-du-Monde, port de Montréal, pont Jacques-Cartier en construction",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-028.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P029",Vue aérienne oblique de Pointe Saint-Charles,1925,"Vue vers le sud, écluse Saint-Gabriel, quartier industriel, canal Lachine, île des Sœurs",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-029.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P034",Vue aérienne oblique du mont Royal,24 juin 1925,"Vue vers l'ouest, hôpital Royal Victoria, stade, réservoir McTavish",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-034.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P035",Vue aérienne oblique du secteur de la basilique Notre-Dame de Montréal,1925,"Vue vers le nord, basilique Notre-Dame de Montréal, boulevard Saint-Laurent, rue Saint-Paul",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-035.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P042",Vue aérienne oblique du secteur de la place Jacques-Cartier,1925,"Vue vers le nord, Hôtel de ville, place Jacques-Cartier",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-042.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P050",Vue aérienne oblique du secteur de Verdun,1925,"Vue vers le nord, Verdun, église Notre-Dame-des-Sept-Douleurs, rues Wellington et de l'Église",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-050.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P051","Vue aérienne oblique du secteur des ""shop Angus""",1925,"Vue vers l'est, Usines Angus, secteur Rosemont",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-051.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P052",Vue aérienne oblique du centre-ville de Montréal,1925,"Vue vers le sud, gare Windsor, cathédrale Marie-Reine-du-Monde",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-052.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P053",Vue aérienne oblique du fleuve Saint-Laurent,1925,"Vue vers l'ouest, Île des Sœurs, rapides de Lachine",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-053.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P054",Vue aérienne oblique du port de Montréal et de la place d'Armes,1925,"Élévateurs à grain du port de Montréal, place d'Armes",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-054.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P055","Vue aérienne oblique du secteur des ""shop Angus""",1925,"Vue vers l'est, Usines Angus, secteur Rosemont",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-055.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P058",Vue aérienne oblique de carrières,1925,"Carrières, secteurs du plateau Mont-Royal et de Rosemont.",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-058.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P059",Vue aérienne oblique du quartier Sainte-Marie,1925,"Parc La Fontaine, parc des Royaux de Montréal, rue Ontario",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-059.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P060",Vue aérienne oblique du centre-ville,1925,"Vue vers le nord, gare Windsor, Cathédrale Marie-Reine-du-Monde, édifice de la Sun Life, square Dorchester, entrée du tunnel sous le mont Royal",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-060.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P066",Vue aérienne oblique de l'Île Sainte-Hélène,1930-1935,"Vue vers l'est, pont Jacques-Cartier, Île Sainte-Hélène",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-066.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P071",Vue aérienne oblique du pont Jacques cartier,1925-1935,"Vue vers le sud, entrée de l'Île Sainte-Hélène sur le pont Jacques-Cartier",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-071.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P073",Vue aérienne oblique du centre-ville de Montréal,1925,"Vue vers le nord, rues McGill et des Sœurs grises, mont Royal",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-073.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P030",Vue aérienne verticale du secteur du port de Montréal.,1925-1935,Secteur de Longue-Pointe,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-030.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P031",Vue aérienne verticale du secteur du port de Montréal,18 mai 1930,"Port de Montréal, depuis le pont Jacques-Cartier vers l'Est",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-031.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P036",Vue aérienne verticale du secteur de Pointe Saint-Charles ,1925-1935,"Île des Sœurs, Pont Victoria, Canal Lachine",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-036.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P037",Vue aérienne verticale du secteur de Verdun,1925-1935,"Île des Sœurs, Verdun, canal Lachine",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-037.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P038",Vue aérienne verticale du fleuve Saint-Laurent,1925-1935,Parc des Rapides et Île aux Hérons,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-038.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P039",Vue aérienne verticale du secteur de Lasalle,1925-1935,Canal de l'Aqueduc et boulevard Lasalle,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-039.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P040",Vue aérienne verticale du secteur de Lasalle,1925-1935,"Fleuve Saint-Laurent, Pont ferroviaire (Lasalle), Canal Lachine",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-040.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P041",Vue aérienne verticale du port de Montréal,1925-1935,"Port de Montréal, centre-ville de Montréal, pont Jacques-Cartier",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-041.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P043",Vue aérienne verticale du secteur de Lachine,1925-1935,"Île Dorval, Île Dixie, Lachine ",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-043.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P044",Vue aérienne verticale du secteur de Lachine,1925-1935,"Rue Victoria, parc à l'extrémité du Canal Lachine, Kahnawake",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-044.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P045",Vue aérienne verticale du secteur de Lasalle,1925-1935,"Fleuve Saint-Laurent, Pont ferroviaire (Lasalle), Canal Lachine",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-045.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P087",Vue aérienne verticale du secteur de Dorval,1925-1935,"Île Dorval, chemin Bord du Lac",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-087.tif,Archives de la Ville de Montréal
