MODE_GEST,NO_GES_MGE,NM_GES_MGE,DT_CRE,STATUT,DTMAJ_STA
08,050,MRNF-Forêts,1998-07-12,A,2016-01-07
09,040,MRNF-Territoire,2018-05-18,A,
10,050,MRNF-Forêts,2000-07-04,A,2016-01-07
12,040,MRNF-Territoire,2017-06-01,A,
12,050,MRNF-Forêts,2000-07-04,A,2020-05-11
13,050,MRNF-Forêts,2003-07-17,A,2016-01-07
15,050,MRNF-Forêts,2000-01-10,A,2016-01-07
22,004,DOMTAR INC.,1998-07-12,A,
22,014,SCIERIE DION ET FILS INC.,1998-07-12,A,
22,015,GESTION FORESTIÈRE ST-MAURICE,1998-07-12,A,
22,017,KRUGER INC.,2000-11-01,A,
22,101,SÉMINAIRE DE QUÉBEC,2005-02-02,A,
22,102,TANTARI 68 CORPORATION,2005-02-02,A,2016-05-17
22,105,KENAUK CANADA ULC,2005-02-02,A,2016-05-17
22,109,S.E.R. LA VALLÉE,2005-02-02,A,
22,112,C. ET R. BOILY,2005-02-02,A,
22,114,PAUL VALLÉE,2005-02-02,A,
22,121,STATION MONT STE-ANNE INC.,2005-02-02,A,
22,128,SOCIÉTÉ D'EXPLOITATION FORESTIÈRE NORD JOLIE L,2005-02-02,A,
22,131,AMÉNAGEMENT FOREST. PORTNEUF (3908666 CANADA INC),2005-02-02,A,
22,134,POURVOIRIE DU LAC BLANC (9002-6683 QUÉBEC INC.),2011-12-21,A,
22,135,SIMDAR INC.,2011-12-21,A,
22,137,LAUZON-FORESTERIE (FIDUCIE),2011-12-21,A,
22,138,2984792 CANADA INC.,2011-12-21,A,
22,141,GESTION FORESTIÈRE LACROIX,2012-06-11,A,
22,142,GROUPE TORYVEL INC.,2012-07-17,A,
22,145,CONSERVATION DE LA NATURE-QUÉBEC,2012-08-17,A,
22,146,9045-3499 QUÉBEC INC.,2012-11-09,A,
22,147,JOHN DAVID BERRYMAN IN TRUST,2012-11-09,A,
22,149,FORESTIÈRE DES TROIS COURONNES INC.,2013-03-11,A,
22,150,MONASTÈRE DE NOTRE-DAME DE MISTASSINI,2016-04-08,A,
22,301,SOLIFOR CHARLEVOIX-SAGUENAY S.E.C.,2016-04-08,A,
22,302,SOLIFOR LOTBINIÈRE S.E.C.,2016-04-08,A,
22,303,SOLIFOR MAURICIE S.E.C.,2016-04-08,A,
22,304,SOLIFOR PERTHUIS S.E.C.,2016-04-08,A,
22,306,SOLIFOR NICOLAS RIOU S.E.C.,2016-04-08,A,
22,307,SOLIFOR BLOC MONET S.E.C.,2016-04-08,A,
22,309,FORET HEREFORD,2016-05-17,A,
22,314,GESTION MALPAC ET GESTION LUPAC,2016-05-17,A,
22,316,GESTION G.JACQUES INC.,2016-05-17,A,
22,317,DOMAINE LAFOREST,2016-05-17,A,
22,319,RIO TINTO ALCAN,2016-05-17,A,
22,320,PF RÉSOLU INC.,2016-06-06,A,
22,321,CORPORATION DE DÉVELOPPEMENT GRAND CASCAPEDIA INC.,2016-07-28,A,
22,322,FORÊT DOMINIALE CAROLUS,2016-07-28,A,
22,323,9199-4863 QUÉBEC INC.,2016-07-28,A,
22,324,LES ENTREPRISES DE STONEHAM INC.,2016-08-05,A,
22,325,RENÉ HÉTU,2016-08-05,A,
22,327,FERME C.M. MIGNEAULT S.E.N.C.,2016-08-05,A,
22,328,SEVEN ISLANDS DEVELOPMENT CORP.,2016-08-05,A,
22,329,8109842 CANADA INC.,2016-08-05,A,
22,331,9071-0567 QUEBEC INC.,2016-08-05,A,
22,333,SOCIÉTÉ ASBESTOS LTEE,2016-08-05,A,
22,335,INSTITUTE ROYALE AVANCEMENT SCIENCE,2016-08-05,A,
22,336,2849-8954 QUÉBEC INC.,2016-09-30,A,
22,337,CASCADE CANADA ULC,2017-09-29,A,
22,339,LES BOISÉS MÉTIS INC,2017-11-06,A,
22,342,LES FERMES STE-ANNE DU LAC INC,2017-11-06,A,
30,054,MAPAQ,2000-07-04,A,
40,050,MRNF-Forêts,2018-03-20,A,
40,061,MEQ-SEPAQ,2017-09-20,A,
40,250,ADMINISTRATION RÉGIONALE KATIVIK (ARK),2017-09-20,A,
41,050,MRNF-Forêts,2016-07-29,A,
41,052,MELCCFP-Faune,2000-01-10,A,2016-07-20
41,061,MEQ-SEPAQ,2016-07-29,A,
49,050,MRNF-Forêts,2016-01-07,A,
50,053,MELCCFP,1998-07-12,A,2019-07-23
51,053,MELCCFP,2000-07-04,A,2019-07-23
52,053,MELCCFP,2000-07-04,A,2019-07-23
53,053,MELCCFP,2004-01-27,A,2019-07-23
54,053,MELCCFP,2004-01-27,A,2019-07-23
55,050,MRNF-Forêts,2004-11-01,A,2016-01-07
58,050,MRNF-Forêts,2004-11-01,A,2016-01-07
59,050,MRNF-Forêts,2010-03-31,A,2016-01-07
60,200,AUTRES ORGANISMES PROVINCIAUX,2000-01-10,A,
66,050,MRNF-Forêts,2004-07-07,A,2016-01-07
68,041,MRNF-Mines,2017-06-01,A,
69,050,MRNF-Forêts,2008-11-25,A,2016-01-07
70,050,MRNF-Forêts,2016-01-08,A,
80,050,MRNF-Forêts,2004-01-27,A,2016-01-07
80,300,MRC,2006-01-16,A,
81,040,MRNF-Territoire,2017-06-01,A,
81,300,MRC,2004-01-27,A,
89,150,AGENCE PARCS CANADA,2006-02-22,A,2019-10-10
90,151,AFFAIRES AUTOCHTONES ET DÉVELOP. NORD CANADA,2006-02-22,A,2017-04-05
91,150,AGENCE PARCS CANADA,2006-02-22,A,2019-10-10
92,100,GOUVERNEMENT FÉDÉRAL,1999-07-08,A,
93,151,AFFAIRES AUTOCHTONES ET DÉVELOP. NORD CANADA,2006-02-22,A,2017-04-05
94,152,TRANSPORTS CANADA,2006-02-22,A,
95,153,ENVIRONNEMENT CANADA,2006-02-22,A,
97,150,PARCS CANADA,2006-02-22,A,
99,053,MELCCFP,2016-02-10,A,2019-07-23
92,154,AGRICULTURE ET AGROALIMENTAIRE CANADA (AAC),2019-10-10,A,
92,150,AGENCE PARCS CANADA,2019-10-10,A,
22,343,FORESCO HOLDING INC.,2020-01-07,A,
22,344,ASSOC. DES PROPRIÉTAIRES DU TERR. DES LACS INC.,2020-01-27,A,
22,346,HTS HOLDING INC.,2020-01-27,A,
22,347,OLIVIER IRON AND STEEL CORPORATION LTD.,2020-01-27,A,
14,050,MRNF-Forêts,2020-03-18,A,
22,353,APPALACHES IMMOBILIER INC.,2020-09-09,A,
22,354,9272-7056 QUEBEC INC.,2020-09-09,A,
22,355,GROUPE BLOUIN INC.,2020-09-09,A,
01,050,MRNF-Forêts,2020-12-09,A,
90,042,MRNF,2020-11-20,A,
28,050,MRNF-Forêts,2020-12-09,A,
93,255,NATIONS ALGONQUINS,2022-04-05,A,
22,356,COMPAGNIE WESTROCK DU CANADA CORP.,2023-02-10,A,
22,008,9007-2224 QUÉBEC INC.,2023-10-18,A,
22,009,9286-1889 QUÉBEC INC.,2023-10-18,A,
22,010,ADMINISTRATION PORTUAIRE DU SAGUENAY,2023-10-18,A,
22,012,FORÊT B.D.O. INC.,2023-10-18,A,
22,013,FRANK LOGAN ET FILS INC.,2023-10-18,A,
22,003,INVESTISSEMENTS ELMAG INC.,2023-10-18,A,
22,005,INVESTISSEMENTS MÉCHANTES CABANES INC.,2023-10-18,A,
22,022,RENÉ MORIN INC.,2023-10-18,A,
22,006,SOCIÉTÉ EN COMMANDITE DU LAC ROGER,2023-10-18,A,
22,016,SOCIÉTÉ IMMOBILIÈRE DU CAP NORD INC. ,2023-10-18,A,
22,018,TERRES NOTRE-DAME INC.,2023-10-18,A,
22,019,9410-6283 QUÉBEC INC.,2023-10-18,A,
22,020,HERVÉ BLANCHET ET FILS INC.,2023-10-18,A,
22,021,PREMIER HORTICULTURE LTÉE,2023-10-18,A,
