NO_PERMISPUBLIC,NO_PERMISPARCEDIFICE,NO_ID_PRO,TITRE_PRODUCTION,ANNULATION,TYPE_EMPLACEMENT,EMPLACEMENT,RUE_DE,RUE_A,NOM_PARC,RAISON_OCCUPATION,DUREE_DE,DUREE_A,NOM_ARROND,X,Y,LATITUDE,LONGITUDE
,16794,24464,Les Anges 11,No, ,"Permis valide pour les rues, ruelles, trottoirs, parcs et places publiques sous juridiction municipale dans les 9 arrondissements ci-dessous.",,,Édifice Général,"Équipe légère, reportage",,,Indéfini,,,,
,16793,24464,Les Anges 11,No,parc,"Dans les sentiers, sur le belvédère, aux environs du lac au castor.",,,Parc Mont-Royal,Tournage équipe légère,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,16835,24465,Le Projet ML (Le dernier soir),No,parc,En général sur un banc de parc près de l'étang.,,,Parc La Fontaine,Filmer une entrevue en marchant et sur un banc de parc.,,,Le Plateau-Mont-Royal,299398.82946931705,5042896.51703125,45.52597322754197,-73.56914561359899
,16821,24466,Mères à boutte 2,No,parc,"Secteur du Lac-aux-castors, Pente à glisser, patinoire et pavillon",,,Parc Mont-Royal,Tournage équipe légère,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
104940,,24470,GÉNÉRAL SRC / Gala des prix Gémeaux,No,rue,Sanguinet,Brazeau,Maisonneuve,,Obstruer chaussée et trottoir.,2019-09-10,2019-09-16,Ville-Marie,299872.065005,5041519.91,45.51358965288793,-73.56307364919634
105172,,24470,GÉNÉRAL SRC / Manif Climat,No,boulevard,René-Lévesque,Saint-Laurent,Saint-Dominique,,Obstruer une chaussée.,2019-09-27,2019-09-27,Ville-Marie,300011.2664975,5041013.308499999,45.50903209462245,-73.5612869608137
103786,,24470,GÉNÉRAL SRC / Journée internationale autochtone,No,cours,Le Royer,Jacques-Cartier,Saint-Claude,,Obstruer une chaussée.,2019-06-21,2019-06-21,Ville-Marie,300666.0075075,5040948.1625,45.50845009901233,-73.55290702354961
105831,,24470,GÉNÉRAL SRC / tapis rouge de Gala Adisq,No,rue,Sainte-Catherine,Saint-Urbain,Jeanne-Mance,,Obstruer chaussée et trottoir.,2019-10-26,2019-10-27,Ville-Marie,299682.0549925,5040894.6195,45.507961741050316,-73.56549899418965
102655,,24470,GÉNÉRAL SRC,No,rue,Ontario,Berri,Saint-Hubert,,Obstruer une chaussée.,2019-02-22,2019-02-22,Ville-Marie,,,,
104941,,24470,GÉNÉRAL SRC / gemeaux pour nouvelle src,No,rue,Saint-Denis,Maisonneuve,Émery,,Obstruer chaussée et trottoir.,2019-09-15,2019-09-15,Ville-Marie,299908.20149,5041645.65,45.51472134155998,-73.56261239089754
105816,,24470,GÉNÉRAL SRC,No,place,D'Youville,Royale,Saint-François-Xavier,,Obstruer une chaussée.,2019-11-01,2019-11-02,Ville-Marie,300544.43799999997,5040317.251,45.50277210615736,-73.5544577250096
,16792,24470,GÉNÉRAL SRC,No,parc,Chalet du belvédère,,,Parc Mont-Royal,Tournage entrevue,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
104964,,24470,GÉNÉRAL SRC,No,rue,Saint-Denis,Maisonneuve,Émery,,Obstruer chaussée et trottoir.,2019-09-14,2019-09-15,Ville-Marie,299908.20149,5041645.65,45.51472134155998,-73.56261239089754
104997,,24470,GÉNÉRAL SRC / tapis rouge Gala des Gémeaux,No,rue,Maisonneuve,Saint-Urbain,Jeanne-Mance,,Obstruer chaussée et trottoir. «tapis rouge Gala des Gémeaux»,2019-09-14,2019-09-15,Ville-Marie,299497.78115802625,5041014.967235226,45.50904328061544,-73.56785867237197
105815,,24470,"GÉNÉRAL SRC / 300 millions de critiques, TV5 MONDE",No,place,Royale,D'Youville,Capitale,,Obstruer une chaussée.,2019-11-01,2019-11-02,Ville-Marie,300565.4739975,5040386.4935,45.503395271163456,-73.55418918993558
106864,,24470,GÉNÉRAL SRC // Power & Politics,No,rue,Sagard,Bélanger,Jean-Talon,,Obstruer chaussée et trottoir.,2019-12-19,2019-12-19,Villeray-Saint-Michel-Parc-Extension,296812.48540426017,5045629.998214905,45.55054559494401,-73.60230041892706
,17261,24470,GÉNÉRAL SRC,No, ,Sur Fairmount entre St-Laurent et du Parc + sur Jean-Talon entre St-Laurent et L'Acadie,,,Édifice RUES DE MONTRÉAL,Prises de vue du véhicule en mouvement. Liens d'émission. Équipe de 7 personnes et équipement léger.,,,Indéfini,,,,
106865,,24470,GÉNÉRAL SRC// Power & politics,No,avenue,Érables,Bélanger,Jean-Talon,,Obstruer chaussée et trottoir.,2019-12-19,2019-12-19,Villeray-Saint-Michel-Parc-Extension,296777.2900965053,5045570.866151712,45.550013098481365,-73.60275022171882
106571,,24470,GÉNÉRAL SRC // journée portes-ouvertes ETS,No,rue,Peel,Notre-Dame,Saint-Jacques,,Obstruer une chaussée.,2020-01-09,2020-01-09,Ville-Marie,299784.1114925,5039544.679,45.49581525698262,-73.56417916822872
,17067,24470,GÉNÉRAL SRC,No,Parc,Belvédère Kondiaronk - Piano public,,,Parc Mont-Royal,Documentaire,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,17117,24470,GÉNÉRAL SRC,No,Parc,Terrain de pétanque nord,,,Parc La Fontaine,Autopromotion - Équipe de 5 personnes - Tourner du visuel d'un personnage jouant à la pétanque.,,,Le Plateau-Mont-Royal,299398.82946931705,5042896.51703125,45.52597322754197,-73.56914561359899
,17313,24470,GÉNÉRAL SRC,No, ,En général dans l'édifice. Selon l'entente avec Mme Claudia Nicoleta Baiant 2-3831,,,Édifice Centre Gadbois,Filmer un entraînement de Gabriela Papadakis et Guillaume Cizeron et leur aiguiseur officiel.,,,Le Sud-Ouest,,,,
105274,,24470,GÉNÉRAL SRC / Gala Adisq,No,Rue,Maisonneuve,Saint-Urbain,Jeanne-Mance,,Obstruer une chaussée.,2019-10-23,2019-10-28,Ville-Marie,299497.78115802625,5041014.967235226,45.50904328061544,-73.56785867237197
106863,,24470,GÉNÉRAL SRC// Power & Politics,No,rue,Bélanger,Érables,Sagard,,Obstruer chaussée et trottoir.,2019-12-19,2019-12-19,Rosemont-La Petite-Patrie,296933.556495,5045512.4855,45.54948953471009,-73.6007479064171
,17092,24470,GÉNÉRAL SRC,No,Place,Près des emplacements Le Royer et Nelson.,,,Parc Jacques-Cartier,Tournage,,,Ville-Marie,,,,
106714,,24470,GÉNÉRAL SRC,No,rue,Saint-Dominique,Charlotte,Sainte-Catherine,,Barrer la rue.,2019-12-16,2019-12-18,Ville-Marie,299894.47501500003,5041127.194499999,45.51005605719687,-73.56278284039163
,16971,24470,GÉNÉRAL SRC,No,place,sur la place,,,Parc De La Dauversière,TOURNAGE,,,Ville-Marie,,,,
,17249,24470,GÉNÉRAL SRC,No,parc,Dans l'espace clôturé pateaugoire (bassin vide).,,,Parc Jeanne-Mance,POSTE DE CONTRÔLE POUR UTILISATION DE DRONE,,,Le Plateau-Mont-Royal,298151.20138476085,5041789.415000001,45.516000578875364,-73.58510264219501
106839,,24470,GÉNÉRAL SRC // Les decrypteurs,No,rue,Cartier,Mont-Royal,Généreux,,Obstruer chaussée et trottoir.,2019-12-13,2019-12-13,Le Plateau-Mont-Royal,299010.7205,5043755.6425,45.533700774837605,-73.57412430140286
102567,,24472,Sin La Habana,No,rue,Guizot,Saint-Gérard,Foucher,,Obstruer une chaussée - stationnement de véhicules de figuration. EN continu,2019-02-07,2019-02-13,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
102568,,24472,Sin La Habana,No,rue,Saint-Gérard,Mistral,Guizot,,Obstruer chaussée et trottoir.,2019-02-09,2019-02-13,Villeray-Saint-Michel-Parc-Extension,294603.46498546295,5045019.570944511,45.5450239804019,-73.63057922036656
102505,,24472,Sin La Habana,No,rue,Peel,Cypress,Sainte-Catherine,,Obstruer une chaussée.,2019-01-30,2019-01-30,Ville-Marie,,,,
,16795,24472,Sin La Habana,No,parc,Belvédère Kondiaronk et chemin Olmsted,,,Parc Mont-Royal,Tournage,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
102520,,24472,Sin La Habana,Yes,boulevard,Saint-Laurent,Saint-Norbert,Sherbrooke,,Obstruer une chaussée.,2019-02-03,2019-02-03,Ville-Marie,299427.16749250004,5041365.5735,45.512197591447574,-73.56876632960464
102497,,24472,Sin La Habana,No,Avenue,008e,Bellechasse,Beaubien,,Obstruer une chaussée.,2019-02-16,2019-02-16,Rosemont-La Petite-Patrie,298087.28127686155,5045863.589483068,45.552660981498924,-73.585976657926
102496,,24472,Sin La Habana,No,rue,Bélanger,De La Roche,De Normanville,,Obstruer une chaussée.,2019-02-05,2019-02-05,Rosemont-La Petite-Patrie,296407.0601997181,5044681.835068699,45.54200897425087,-73.60747647491887
102504,,24472,Sin La Habana,No,avenue,Cypress,Peel,Stanley,,Obstruer une chaussée.,2019-01-30,2019-01-30,Ville-Marie,299175.9282304461,5039906.291180126,45.499064582628094,-73.57196493041612
102498,,24472,Sin La Habana,No,rue,Springland,Laurendeau,Hadley,,Obstruer une chaussée.,2019-02-06,2019-02-06,Le Sud-Ouest,297691.2949975,5034927.929500001,45.45425362218817,-73.59088946586951
102495,,24472,Sin La Habana,No,rue,De La Roche,Saint-Zotique,Bélanger,,Obstruer une chaussée.,2019-02-05,2019-02-05,Rosemont-La Petite-Patrie,296518.4705892967,5044559.518650141,45.540909637005925,-73.60604773216374
102459,,24472,Sin La Habana,No,rue,Lenoir,Delinelle,Saint-Jacques,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-01-28,2019-01-28,Le Sud-Ouest,297729.5594252878,5037301.709242714,45.475614236096945,-73.59043475573071
102559,,24472,Sin La Habana,No,avenue,De Lorimier,Rouen,Sherbrooke,,Obstruer chaussée et trottoir.,2019-02-03,2019-02-03,Ville-Marie,299963.0517148864,5043370.4751223745,45.5302421286986,-73.5619271517974
102560,,24472,Sin La Habana,No,avenue,De Lorimier,Rouen,Sherbrooke,,Obstruer chaussée et trottoir.,2019-02-02,2019-02-02,Ville-Marie,299963.0517148864,5043370.4751223745,45.5302421286986,-73.5619271517974
102491,,24472,Sin La Habana,No,Rue,Montcalm,Ontario,Cherrier,,Obstruer chaussée et trottoir.,2019-02-02,2019-02-02,Ville-Marie,299804.753005,5042438.0855,45.5218511068815,-73.56394446863922
102457,,24472,Sin La Habana,No,rue,Notre-Dame,Lacasse,Thérien,,Occuper un trottoir.,2019-01-28,2019-01-28,Le Sud-Ouest,,,,
102458,,24472,Sin La Habana,No,rue,Delinelle,Lenoir,Square-Sainte-Élisabeth,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-01-28,2019-01-28,Le Sud-Ouest,297679.5062017601,5037193.817354064,45.47464286854352,-73.59107338115331
102517,,24472,Sin La Habana,No,rue,Saint-Jacques,Georges-Vanier,Vinet,,Occuper une chaussée.,2019-02-04,2019-02-04,Le Sud-Ouest,298892.2563188424,5038479.165701847,45.486220344390816,-73.57557770485714
102435,,24472,Sin La Habana,No,rue,De La Gauchetière,Saint-Alexandre,Beaver Hall,,Obstruer chaussée et trottoir.,2019-01-26,2019-01-26,Ville-Marie,299812.83450500004,5040317.308,45.50276780820525,-73.56381941291086
102436,,24474,Matt et Max,Yes,rue,Stanley,René-Lévesque,Sainte-Catherine,,Obstruer chaussée et trottoir.,2019-01-11,2019-01-11,Ville-Marie,,,,
102429,,24474,Matt et Max,No,rue,Joffre,Tellier,Tellier,,Occuper chaussée et trottoir.,2019-01-09,2019-01-10,Mercier-Hochelaga-Maisonneuve,,,,
102430,,24474,Matt et Max,No,avenue,Gonthier,Notre-Dame,Dubuisson,,Occuper chaussée et trottoir.,2019-01-10,2019-01-10,Mercier-Hochelaga-Maisonneuve,303904.9857886787,5052325.706359257,45.61084066100107,-73.51147650243878
102426,,24475,Air Canada,No,rue,Dagenais,De Courcelle,Saint-Rémi,,Occuper 10 espaces de stationnement,2019-01-09,2019-01-10,Le Sud-Ouest,297710.097995,5036907.3440000005,45.47206539380789,-73.59067797028791
102493,,24476,L'Acrobate,No,avenue,Viger,Jeanne-Mance,Jean-Paul-Riopelle,,Obstruer une chaussée.,2019-01-21,2019-01-21,Ville-Marie,,,,
102578,,24476,L'Acrobate,No,avenue,Viger,Anderson,Anderson,,Obstruer chaussée et trottoir.,2019-02-10,2019-02-11,Ville-Marie,,,,
102514,,24476,L'Acrobate,No,avenue,Viger,Jeanne-Mance,Jean-Paul-Riopelle,,Occuper chaussée et trottoir.,2019-01-26,2019-01-27,Ville-Marie,,,,
102590,,24476,L'Acrobate,No,rue,Sainte-Catherine,Peel,Stanley,,Obstruer chaussée et trottoir.,2019-02-09,2019-02-09,Ville-Marie,299074.87049500004,5039974.0649999995,45.49967360450656,-73.57325883807061
102477,,24476,L'Acrobate,No,chemin,Côte-Saint-Antoine,Girouard,Old Orchard,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-01-22,2019-01-22,Côte-des-Neiges-Notre-Dame-de-Grâce,295763.12951,5037093.029,45.47371358044967,-73.6155819503611
,16809,24476,L'Acrobate,No,Ville,"Sur les trottoirs du quadrilatère De Bleury, St-Alexandre, René-Lévesque et Dowd / Maisonneuve, René-Lévesque, Stanley et Peel.",,,"Parc Trottoirs, parcs et espaces publics de Montréal",Prises de vue des deux personnages qui marchent dans la ville. Équipe réduite et caméra à l'épaule.,,,Ville-Marie,,,,
102464,,24476,L'Acrobate,No,Avenue,002e,Jarry,Jean-Rivard,,Occuper chaussée et trottoir.,2019-01-19,2019-01-21,Villeray-Saint-Michel-Parc-Extension,295860.47999749996,5046862.9095,45.56162825634043,-73.61451557898224
102476,,24476,L'Acrobate,No,avenue,Old Orchard,Côte-Saint-Antoine,Notre-Dame-de-Grâce,,Obstruer chaussée et trottoir.,2019-01-22,2019-01-22,Côte-des-Neiges-Notre-Dame-de-Grâce,295660.24825563,5037112.745248428,45.47388966686608,-73.61689816782356
102579,,24476,L'Acrobate,No,avenue,Viger,Anderson,Anderson,,Obstruer chaussée et trottoir.,2019-02-14,2019-02-14,Ville-Marie,,,,
102589,,24476,L'Acrobate,No,rue,Peel,Cypress,Sainte-Catherine,,Obstruer chaussée et trottoir.,2019-02-09,2019-02-09,Ville-Marie,,,,
102580,,24476,L'Acrobate,No,place,Jean-Paul-Riopelle,Saint-Antoine,Viger,,Obstruer chaussée et trottoir.,2019-02-08,2019-02-08,Ville-Marie,300004.20386500005,5040359.5968375,45.50314967526005,-73.56137097723507
102478,,24476,L'Acrobate,No,avenue,Notre-Dame-de-Grâce,Marcil,Old Orchard,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-01-22,2019-01-22,Côte-des-Neiges-Notre-Dame-de-Grâce,295557.2104925,5037131.1775,45.474054173340654,-73.61821637406634
102519,,24476,L'Acrobate,No,rue,Robert-Burns,Westover,Côte-Saint-Luc,,Occuper chaussée et trottoir.,2019-01-28,2019-01-30,Côte-des-Neiges-Notre-Dame-de-Grâce,292507.5603403734,5035744.650291227,45.46153053018853,-73.65718701448145
102549,,24476,L'Acrobate,No,avenue,Viger,De Bleury,Jeanne-Mance,,Obstruer chaussée et trottoir. N238 à N245,2019-02-02,2019-02-02,Ville-Marie,,,,
102550,,24476,L'Acrobate,No,avenue,Viger,De Bleury,Jeanne-Mance,,Obstruer chaussée et trottoir. N238-N245,2019-02-04,2019-02-05,Ville-Marie,,,,
102577,,24476,L'Acrobate,No,avenue,Viger,Anderson,Anderson,,Obstruer chaussée et trottoir.,2019-02-10,2019-02-11,Ville-Marie,,,,
102449,,24479,Wallaroo Hockey,No,rue,Alexandra,Jean-Talon,Alexandra,,Obstruer une chaussée.,2019-01-17,2019-01-17,Rosemont-La Petite-Patrie,295481.9995186728,5043564.399372321,45.53194205988188,-73.61930083729344
102450,,24479,Wallaroo Hockey,No,rue,Waverly,Alexandra,Jean-Talon,,Obstruer une chaussée.,2019-01-17,2019-01-17,Rosemont-La Petite-Patrie,295521.80267275026,5043625.3928115405,45.53249143633042,-73.61879239800311
102448,,24479,Wallaroo Hockey,No,rue,Alexandra,Waverly,Alexandra,,Obstruer une chaussée.,2019-01-16,2019-01-16,Rosemont-La Petite-Patrie,295585.79847887653,5043539.988503678,45.531723779490605,-73.61797145182152
,16823,24480,L'Âge adulte 3,No,parc,Dans la portion sud du parc.,,,Parc Clément-Jetté,Filmer un dialogue entre deux personnages.,,,Mercier-Hochelaga-Maisonneuve,,,,
102605,,24480,L'Âge adulte 3,No,rue,Bellerive,Pierre-Bernard,Desmarteau,,Obstruer une chaussée.,2019-02-14,2019-02-14,Mercier-Hochelaga-Maisonneuve,303976.0284401951,5051397.865544915,45.602491731016215,-73.51056411496413
102574,,24480,L'Âge adulte 3,No,rue,Saint-Viateur,Saint-Laurent,Clark,,Obstruer une chaussée.,2019-02-06,2019-02-06,Le Plateau-Mont-Royal,297054.8724637125,5042851.414021525,45.52554550902804,-73.59915177452675
102575,,24480,L'Âge adulte 3,No,avenue,Laurier,Saint-Laurent,Clark,,Obstruer une chaussée.,2019-02-03,2019-02-06,Le Plateau-Mont-Royal,297533.1595025,5042545.0775,45.522794119424255,-73.59302426474338
102576,,24480,L'Âge adulte 3,No,boulevard,Saint-Laurent,Saint-Joseph,Laurier,,Obstruer chaussée et trottoir.,2019-02-06,2019-02-06,Le Plateau-Mont-Royal,297605.7400175,5042538.319499999,45.52273405805264,-73.59209506121321
102581,,24480,L'Âge adulte 3,No,boulevard,Saint-Laurent,Maguire,Saint-Viateur,,Obstruer chaussée et trottoir.,2019-02-06,2019-02-06,Le Plateau-Mont-Royal,297191.54545205086,5042806.307921949,45.52514113459842,-73.59740139421203
102511,,24480,L'Âge adulte 3,No,rue,Lacordaire,Gérin-Lajoie,Pierre-Bédard,,Obstruer une chaussée.,2019-01-28,2019-01-28,Mercier-Hochelaga-Maisonneuve,300403.9121535803,5048617.021512553,45.577455307833226,-73.55633073057346
102597,,24480,L'Âge adulte 3,No,rue,De Saint-Vallier,Beaubien,Saint-Zotique,,Obstruer une chaussée.,2019-02-19,2019-02-19,Rosemont-La Petite-Patrie,296516.9515502843,5043963.830084498,45.53554933804247,-73.6060570806825
102599,,24480,L'Âge adulte 3,No,rue,Pierre-Legault,Lyall,Émile-Legrand,,Obstruer une chaussée.,2019-02-13,2019-02-15,Mercier-Hochelaga-Maisonneuve,,,,
102598,,24480,L'Âge adulte 3,No,avenue,Émile-Legrand,Pierre-De Coubertin,Marseille,,Obstruer une chaussée. En continu.,2019-02-13,2019-02-15,Mercier-Hochelaga-Maisonneuve,302110.80439521227,5049484.227726754,45.58526738982872,-73.53446437333218
102446,,24482,SUBWAY,No,avenue,Pierre-De Coubertin,De La Salle,Letourneux,,Obstruer une chaussée.,2019-01-15,2019-01-15,Mercier-Hochelaga-Maisonneuve,300850.8775075,5046183.2765,45.5555580910776,-73.55058349797517
102451,,24482,SUBWAY,No,rue,Saint-Martin,William,Notre-Dame,,Obstruer une chaussée.,2019-01-16,2019-01-17,Le Sud-Ouest,299513.62101,5038676.233,45.48799870258821,-73.56763078510113
,16800,24485,"3,2,1… On bouge!",Yes,parc,Sur la glace de la patinoire réfrigérée du Lac-aux-Castors.,,,Parc Mont-Royal,Filmer une entrevue sur les rudiments du patinage (3 personnes) pour un magazine sur la santé des personnes handicapées. Équipe réduite (4 techniciens) et équipement léger.,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,16801,24486,Pengue,No,parc,Sur une colline de la portion est du parc.,,,Parc Ahuntsic,Filmer un personnage qui glisse en bas de la colline. Tournage étudiant. Équipe réduite et équipement léger.,,,Ahuntsic-Cartierville,,,,
,16802,24486,Pengue,No,Ville,Sur le trottoir de St-Urbain entre Villeneuve et St-Joseph et sur le trottoir de Mont-Royal entre Chambord et Brébeuf.,,,"Parc Trottoirs, parcs et espaces publics de Montréal",Filmer des dialogues sur le trottoir. Tournage étudiant. Équipe réduite et équipement léger.,,,Le Plateau-Mont-Royal,,,,
,16796,24487,Bande-annonce Kino 2019,No, ,Terrasse à l'Ouest du Centre et sur les terrains de baseball,,,Édifice Claude-Robillard,Tournage et vol de drone,,,Ahuntsic-Cartierville,,,,
,16798,24488,Born To Let Go,No, ,"Dans les sentiers, sur le belvédère, sur le chemin menant à la croix.",,,Édifice Mont-Royal,Tournage équipe réduite,,,Ville-Marie,,,,
,16810,24488,Born To Let Go,No, ,Rue St-Jacques devant le restaurant Monarque,,,Édifice TROTTOIRS DE MONTRÉAL,Tournage,,,Ville-Marie,,,,
,17224,24488,Born To Let Go,No, ,En général sur les trottoirs de la ville.,,,"Parc Trottoirs, parcs et espaces publics de Montréal",Filmer des dialogues sur les trottoirs. Équipe réduite et équipement léger,,,Ville-Marie,,,,
102460,,24489,SSQ 2019,No,avenue,Henri-Julien,Jarry,Guizot,,Obstruer une chaussée.,2019-01-17,2019-01-17,Villeray-Saint-Michel-Parc-Extension,294529.2669556559,5044657.574928765,45.54176541984265,-73.63152183726407
102462,,24489,SSQ 2019,No,rue,Sherbrooke,Harvard,Wilson,,Obstruer une chaussée.,2019-01-16,2019-01-16,Côte-des-Neiges-Notre-Dame-de-Grâce,295739.2905025,5036739.7735,45.47053450412567,-73.61588031641136
