Date,Passerelle_116,Parc_Marie-Victorin,Sud_Ouest,Nord_Est,Fete_nationale_2016,FNQ_2016_Vers_St-Sylvestre,FNQ_2016_Vers_Ch._Chambly,SAM_sept_2016,SAM_sept_2016_Entree,SAM_sept_2016_Sortie,Marche_de_Noel_2016_,Marche_de_Noel_2016__IN,Marche_de_Noel_2016__OUT
2014-05-13,,,,,,,,,,,,,
2014-05-14,,,,,,,,,,,,,
2014-05-15,,,,,,,,,,,,,
2014-05-16,,,,,,,,,,,,,
2014-05-17,,,,,,,,,,,,,
2014-05-18,,,,,,,,,,,,,
2014-05-19,,,,,,,,,,,,,
2014-05-20,,,,,,,,,,,,,
2014-05-21,,,,,,,,,,,,,
2014-05-22,,,,,,,,,,,,,
2014-05-23,,,,,,,,,,,,,
2014-05-24,,,,,,,,,,,,,
2014-05-25,,,,,,,,,,,,,
2014-05-26,,,,,,,,,,,,,
2014-05-27,,,,,,,,,,,,,
2014-05-28,,,,,,,,,,,,,
2014-05-29,,,,,,,,,,,,,
2014-05-30,,,,,,,,,,,,,
2014-05-31,,,,,,,,,,,,,
2014-06-01,,,,,,,,,,,,,
2014-06-02,,,,,,,,,,,,,
2014-06-03,,,,,,,,,,,,,
2014-06-04,,,,,,,,,,,,,
2014-06-05,,,,,,,,,,,,,
2014-06-06,,,,,,,,,,,,,
2014-06-07,,,,,,,,,,,,,
2014-06-08,0,,,,,,,,,,,,
2014-06-09,0,,,,,,,,,,,,
2014-06-10,0,,,,,,,,,,,,
2014-06-11,0,,,,,,,,,,,,
2014-06-12,0,,,,,,,,,,,,
2014-06-13,0,,,,,,,,,,,,
2014-06-14,0,,,,,,,,,,,,
2014-06-15,0,,,,,,,,,,,,
2014-06-16,0,,,,,,,,,,,,
2014-06-17,0,,,,,,,,,,,,
2014-06-18,0,,,,,,,,,,,,
2014-06-19,0,,,,,,,,,,,,
2014-06-20,0,,,,,,,,,,,,
2014-06-21,0,,,,,,,,,,,,
2014-06-22,0,,,,,,,,,,,,
2014-06-23,0,,,,,,,,,,,,
2014-06-24,0,,,,,,,,,,,,
2014-06-25,0,,,,,,,,,,,,
2014-06-26,0,,,,,,,,,,,,
2014-06-27,0,,,,,,,,,,,,
2014-06-28,0,,,,,,,,,,,,
2014-06-29,0,,,,,,,,,,,,
2014-06-30,0,,,,,,,,,,,,
2014-07-01,0,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,
2014-07-03,0,,,,,,,,,,,,
2014-07-04,0,,,,,,,,,,,,
2014-07-05,0,,,,,,,,,,,,
2014-07-06,0,,,,,,,,,,,,
2014-07-07,0,,,,,,,,,,,,
2014-07-08,0,,,,,,,,,,,,
2014-07-09,0,,,,,,,,,,,,
2014-07-10,0,,,,,,,,,,,,
2014-07-11,0,,,,,,,,,,,,
2014-07-12,0,,,,,,,,,,,,
2014-07-13,0,,,,,,,,,,,,
2014-07-14,0,,,,,,,,,,,,
2014-07-15,0,,,,,,,,,,,,
2014-07-16,0,,,,,,,,,,,,
2014-07-17,0,,,,,,,,,,,,
2014-07-18,0,,,,,,,,,,,,
2014-07-19,0,,,,,,,,,,,,
2014-07-20,0,,,,,,,,,,,,
2014-07-21,0,,,,,,,,,,,,
2014-07-22,0,,,,,,,,,,,,
2014-07-23,0,,,,,,,,,,,,
2014-07-24,0,,,,,,,,,,,,
2014-07-25,0,,,,,,,,,,,,
2014-07-26,0,,,,,,,,,,,,
2014-07-27,0,,,,,,,,,,,,
2014-07-28,0,,,,,,,,,,,,
2014-07-29,0,,,,,,,,,,,,
2014-07-30,0,,,,,,,,,,,,
2014-07-31,0,,,,,,,,,,,,
2014-08-01,0,,,,,,,,,,,,
2014-08-02,0,,,,,,,,,,,,
2014-08-03,0,,,,,,,,,,,,
2014-08-04,0,,,,,,,,,,,,
2014-08-05,393,,,,,,,,,,,,
2014-08-06,1094,,,,,,,,,,,,
2014-08-07,655,,,,,,,,,,,,
2014-08-08,982,,,,,,,,,,,,
2014-08-09,1019,,,,,,,,,,,,
2014-08-10,1137,,,,,,,,,,,,
2014-08-11,958,,,,,,,,,,,,
2014-08-12,918,,,,,,,,,,,,
2014-08-13,137,,,,,,,,,,,,
2014-08-14,430,,,,,,,,,,,,
2014-08-15,406,,,,,,,,,,,,
2014-08-16,297,,,,,,,,,,,,
2014-08-17,648,,,,,,,,,,,,
2014-08-18,950,,,,,,,,,,,,
2014-08-19,1133,,,,,,,,,,,,
2014-08-20,1101,,,,,,,,,,,,
2014-08-21,611,,,,,,,,,,,,
2014-08-22,742,,,,,,,,,,,,
2014-08-23,1018,,,,,,,,,,,,
2014-08-24,1134,,,,,,,,,,,,
2014-08-25,930,,,,,,,,,,,,
2014-08-26,992,,,,,,,,,,,,
2014-08-27,910,,,,,,,,,,,,
2014-08-28,768,,,,,,,,,,,,
2014-08-29,903,,,,,,,,,,,,
2014-08-30,931,,,,,,,,,,,,
2014-08-31,378,,,,,,,,,,,,
2014-09-01,1168,,,,,,,,,,,,
2014-09-02,483,,,,,,,,,,,,
2014-09-03,953,,,,,,,,,,,,
2014-09-04,888,,,,,,,,,,,,
2014-09-05,668,,,,,,,,,,,,
2014-09-06,245,,,,,,,,,,,,
2014-09-07,1004,,,,,,,,,,,,
2014-09-08,820,,,,,,,,,,,,
2014-09-09,817,,,,,,,,,,,,
2014-09-10,755,,,,,,,,,,,,
2014-09-11,198,,,,,,,,,,,,
2014-09-12,487,,,,,,,,,,,,
2014-09-13,185,,,,,,,,,,,,
2014-09-14,405,,,,,,,,,,,,
2014-09-15,504,,,,,,,,,,,,
2014-09-16,467,,,,,,,,,,,,
2014-09-17,524,,,,,,,,,,,,
2014-09-18,413,,,,,,,,,,,,
2014-09-19,449,,,,,,,,,,,,
2014-09-20,352,,,,,,,,,,,,
2014-09-21,240,,,,,,,,,,,,
2014-09-22,252,,,,,,,,,,,,
2014-09-23,388,,,,,,,,,,,,
2014-09-24,715,,,,,,,,,,,,
2014-09-25,701,,,,,,,,,,,,
2014-09-26,693,,,,,,,,,,,,
2014-09-27,954,,,,,,,,,,,,
2014-09-28,902,,,,,,,,,,,,
2014-09-29,414,,,,,,,,,,,,
2014-09-30,499,,,,,,,,,,,,
2014-10-01,475,,,,,,,,,,,,
2014-10-02,521,,,,,,,,,,,,
2014-10-03,600,,,,,,,,,,,,
2014-10-04,60,,,,,,,,,,,,
2014-10-05,398,,,,,,,,,,,,
2014-10-06,390,,,,,,,,,,,,
2014-10-07,234,,,,,,,,,,,,
2014-10-08,145,,,,,,,,,,,,
2014-10-09,218,,,,,,,,,,,,
2014-10-10,317,,,,,,,,,,,,
2014-10-11,289,,,,,,,,,,,,
2014-10-12,423,,,,,,,,,,,,
2014-10-13,528,,,,,,,,,,,,
2014-10-14,518,,,,,,,,,,,,
2014-10-15,304,,,,,,,,,,,,
2014-10-16,166,,,,,,,,,,,,
2014-10-17,267,,,,,,,,,,,,
2014-10-18,118,,,,,,,,,,,,
2014-10-19,201,,,,,,,,,,,,
2014-10-20,246,,,,,,,,,,,,
2014-10-21,158,,,,,,,,,,,,
2014-10-22,202,,,,,,,,,,,,
2014-10-23,135,,,,,,,,,,,,
2014-10-24,213,,,,,,,,,,,,
2014-10-25,206,,,,,,,,,,,,
2014-10-26,175,,,,,,,,,,,,
2014-10-27,293,,,,,,,,,,,,
2014-10-28,188,,,,,,,,,,,,
2014-10-29,244,,,,,,,,,,,,
2014-10-30,269,,,,,,,,,,,,
2014-10-31,235,,,,,,,,,,,,
2014-11-01,102,,,,,,,,,,,,
2014-11-02,141,,,,,,,,,,,,
2014-11-03,179,,,,,,,,,,,,
2014-11-04,136,,,,,,,,,,,,
2014-11-05,155,,,,,,,,,,,,
2014-11-06,175,,,,,,,,,,,,
2014-11-07,82,,,,,,,,,,,,
2014-11-08,114,,,,,,,,,,,,
2014-11-09,97,,,,,,,,,,,,
2014-11-10,176,,,,,,,,,,,,
2014-11-11,243,,,,,,,,,,,,
2014-11-12,114,,,,,,,,,,,,
2014-11-13,149,,,,,,,,,,,,
2014-11-14,134,,,,,,,,,,,,
2014-11-15,80,,,,,,,,,,,,
2014-11-16,48,,,,,,,,,,,,
2014-11-17,45,,,,,,,,,,,,
2014-11-18,14,,,,,,,,,,,,
2014-11-19,19,,,,,,,,,,,,
2014-11-20,18,,,,,,,,,,,,
2014-11-21,23,,,,,,,,,,,,
2014-11-22,16,,,,,,,,,,,,
2014-11-23,12,,,,,,,,,,,,
2014-11-24,53,,,,,,,,,,,,
2014-11-25,61,,,,,,,,,,,,
2014-11-26,58,,,,,,,,,,,,
2014-11-27,74,,,,,,,,,,,,
2014-11-28,33,,,,,,,,,,,,
2014-11-29,19,,,,,,,,,,,,
2014-11-30,23,,,,,,,,,,,,
2014-12-01,49,,,,,,,,,,,,
2014-12-02,23,,,,,,,,,,,,
2014-12-03,8,,,,,,,,,,,,
2014-12-04,10,,,,,,,,,,,,
2014-12-05,9,,,,,,,,,,,,
2014-12-06,6,,,,,,,,,,,,
2014-12-07,14,,,,,,,,,,,,
2014-12-08,10,,,,,,,,,,,,
2014-12-09,8,,,,,,,,,,,,
2014-12-10,2,,,,,,,,,,,,
2014-12-11,0,,,,,,,,,,,,
2014-12-12,0,,,,,,,,,,,,
2014-12-13,0,,,,,,,,,,,,
2014-12-14,19,,,,,,,,,,,,
2014-12-15,1,,,,,,,,,,,,
2014-12-16,0,,,,,,,,,,,,
2014-12-17,0,,,,,,,,,,,,
2014-12-18,1,,,,,,,,,,,,
2014-12-19,6,,,,,,,,,,,,
2014-12-20,2,,,,,,,,,,,,
2014-12-21,2,,,,,,,,,,,,
2014-12-22,3,,,,,,,,,,,,
2014-12-23,1,,,,,,,,,,,,
2014-12-24,2,,,,,,,,,,,,
2014-12-25,2,,,,,,,,,,,,
2014-12-26,6,,,,,,,,,,,,
2014-12-27,16,,,,,,,,,,,,
2014-12-28,22,,,,,,,,,,,,
2014-12-29,9,,,,,,,,,,,,
2014-12-30,5,,,,,,,,,,,,
2014-12-31,7,,,,,,,,,,,,
2015-01-01,1,,,,,,,,,,,,
2015-01-02,1,,,,,,,,,,,,
2015-01-03,0,,,,,,,,,,,,
2015-01-04,0,,,,,,,,,,,,
2015-01-05,0,,,,,,,,,,,,
2015-01-06,0,,,,,,,,,,,,
2015-01-07,0,,,,,,,,,,,,
2015-01-08,0,,,,,,,,,,,,
2015-01-09,1,,,,,,,,,,,,
2015-01-10,0,,,,,,,,,,,,
2015-01-11,0,,,,,,,,,,,,
2015-01-12,0,,,,,,,,,,,,
2015-01-13,0,,,,,,,,,,,,
2015-01-14,1,,,,,,,,,,,,
2015-01-15,1,,,,,,,,,,,,
2015-01-16,1,,,,,,,,,,,,
2015-01-17,0,,,,,,,,,,,,
2015-01-18,0,,,,,,,,,,,,
2015-01-19,0,,,,,,,,,,,,
2015-01-20,0,,,,,,,,,,,,
2015-01-21,0,,,,,,,,,,,,
2015-01-22,0,,,,,,,,,,,,
2015-01-23,0,,,,,,,,,,,,
2015-01-24,1,,,,,,,,,,,,
2015-01-25,0,,,,,,,,,,,,
2015-01-26,0,,,,,,,,,,,,
2015-01-27,0,,,,,,,,,,,,
2015-01-28,0,,,,,,,,,,,,
2015-01-29,1,,,,,,,,,,,,
2015-01-30,0,,,,,,,,,,,,
2015-01-31,0,,,,,,,,,,,,
2015-02-01,0,,,,,,,,,,,,
2015-02-02,0,,,,,,,,,,,,
2015-02-03,0,,,,,,,,,,,,
2015-02-04,0,,,,,,,,,,,,
2015-02-05,0,,,,,,,,,,,,
2015-02-06,0,,,,,,,,,,,,
2015-02-07,0,,,,,,,,,,,,
2015-02-08,0,,,,,,,,,,,,
2015-02-09,0,,,,,,,,,,,,
2015-02-10,0,,,,,,,,,,,,
2015-02-11,0,,,,,,,,,,,,
2015-02-12,0,,,,,,,,,,,,
2015-02-13,0,,,,,,,,,,,,
2015-02-14,0,,,,,,,,,,,,
2015-02-15,0,,,,,,,,,,,,
2015-02-16,0,,,,,,,,,,,,
2015-02-17,0,,,,,,,,,,,,
2015-02-18,0,,,,,,,,,,,,
2015-02-19,0,,,,,,,,,,,,
2015-02-20,0,,,,,,,,,,,,
2015-02-21,0,,,,,,,,,,,,
2015-02-22,0,,,,,,,,,,,,
2015-02-23,0,,,,,,,,,,,,
2015-02-24,0,,,,,,,,,,,,
2015-02-25,0,,,,,,,,,,,,
2015-02-26,0,,,,,,,,,,,,
2015-02-27,0,,,,,,,,,,,,
2015-02-28,0,,,,,,,,,,,,
2015-03-01,0,,,,,,,,,,,,
2015-03-02,0,,,,,,,,,,,,
2015-03-03,0,,,,,,,,,,,,
2015-03-04,0,,,,,,,,,,,,
2015-03-05,0,,,,,,,,,,,,
2015-03-06,0,,,,,,,,,,,,
2015-03-07,0,,,,,,,,,,,,
2015-03-08,0,,,,,,,,,,,,
2015-03-09,0,,,,,,,,,,,,
2015-03-10,0,,,,,,,,,,,,
2015-03-11,0,,,,,,,,,,,,
2015-03-12,0,,,,,,,,,,,,
2015-03-13,0,,,,,,,,,,,,
2015-03-14,0,,,,,,,,,,,,
2015-03-15,0,,,,,,,,,,,,
2015-03-16,0,,,,,,,,,,,,
2015-03-17,0,,,,,,,,,,,,
2015-03-18,0,,,,,,,,,,,,
2015-03-19,0,,,,,,,,,,,,
2015-03-20,0,,,,,,,,,,,,
2015-03-21,0,,,,,,,,,,,,
2015-03-22,0,,,,,,,,,,,,
2015-03-23,0,,,,,,,,,,,,
2015-03-24,0,,,,,,,,,,,,
2015-03-25,0,,,,,,,,,,,,
2015-03-26,1,,,,,,,,,,,,
2015-03-27,3,,,,,,,,,,,,
2015-03-28,1,,,,,,,,,,,,
2015-03-29,1,,,,,,,,,,,,
2015-03-30,2,,,,,,,,,,,,
2015-03-31,9,,,,,,,,,,,,
2015-04-01,9,,,,,,,,,,,,
2015-04-02,16,,,,,,,,,,,,
2015-04-03,61,,,,,,,,,,,,
2015-04-04,8,,,,,,,,,,,,
2015-04-05,12,,,,,,,,,,,,
2015-04-06,59,,,,,,,,,,,,
2015-04-07,63,,,,,,,,,,,,
2015-04-08,43,,,,,,,,,,,,
2015-04-09,54,,,,,,,,,,,,
2015-04-10,29,,,,,,,,,,,,
2015-04-11,119,,,,,,,,,,,,
2015-04-12,353,,,,,,,,,,,,
2015-04-13,333,,,,,,,,,,,,
2015-04-14,246,,,,,,,,,,,,
2015-04-15,286,,,,,,,,,,,,
2015-04-16,401,,,,,,,,,,,,
2015-04-17,313,,,,,,,,,,,,
2015-04-18,194,,,,,,,,,,,,
2015-04-19,684,,,,,,,,,,,,
2015-04-20,85,,,,,,,,,,,,
2015-04-21,117,,,,,,,,,,,,
2015-04-22,99,,,,,,,,,,,,
2015-04-23,110,,,,,,,,,,,,
2015-04-24,104,,,,,,,,,,,,
2015-04-25,235,,,,,,,,,,,,
2015-04-26,424,,,,,,,,,,,,
2015-04-27,234,,,,,,,,,,,,
2015-04-28,625,,,,,,,,,,,,
2015-04-29,490,,,,,,,,,,,,
2015-04-30,458,,,,,,,,,,,,
2015-05-01,537,,,,,,,,,,,,
2015-05-02,878,,,,,,,,,,,,
2015-05-03,1125,,,,,,,,,,,,
2015-05-04,592,,,,,,,,,,,,
2015-05-05,860,,,,,,,,,,,,
2015-05-06,923,,,,,,,,,,,,
2015-05-07,821,,,,,,,,,,,,
2015-05-08,868,,,,,,,,,,,,
2015-05-09,627,,,,,,,,,,,,
2015-05-10,389,,,,,,,,,,,,
2015-05-11,120,,,,,,,,,,,,
2015-05-12,235,,,,,,,,,,,,
2015-05-13,569,,,,,,,,,,,,
2015-05-14,716,,,,,,,,,,,,
2015-05-15,702,,,,,,,,,,,,
2015-05-16,487,,,,,,,,,,,,
2015-05-17,1329,,,,,,,,,,,,
2015-05-18,1301,,,,,,,,,,,,
2015-05-19,452,,,,,,,,,,,,
2015-05-20,515,,,,,,,,,,,,
2015-05-21,648,,,,,,,,,,,,
2015-05-22,319,,,,,,,,,,,,
2015-05-23,546,,,,,,,,,,,,
2015-05-24,890,,,,,,,,,,,,
2015-05-25,214,,,,,,,,,,,,
2015-05-26,767,,,,,,,,,,,,
2015-05-27,596,,,,,,,,,,,,
2015-05-28,385,,,,,,,,,,,,
2015-05-29,1005,,,,,,,,,,,,
2015-05-30,546,,,,,,,,,,,,
2015-05-31,441,,,,,,,,,,,,
2015-06-01,243,,,,,,,,,,,,
2015-06-02,328,,,,,,,,,,,,
2015-06-03,941,,,,,,,,,,,,
2015-06-04,1064,,,,,,,,,,,,
2015-06-05,417,,,,,,,,,,,,
2015-06-06,1010,,,,,,,,,,,,
2015-06-07,1105,,,,,,,,,,,,
2015-06-08,153,,,,,,,,,,,,
2015-06-09,281,,,,,,,,,,,,
2015-06-10,844,,,,,,,,,,,,
2015-06-11,686,,,,,,,,,,,,
2015-06-12,504,,,,,,,,,,,,
2015-06-13,1154,,,,,,,,,,,,
2015-06-14,1273,,,,,,,,,,,,
2015-06-15,590,,,,,,,,,,,,
2015-06-16,297,,,,,,,,,,,,
2015-06-17,1247,,,,,,,,,,,,
2015-06-18,827,,,,,,,,,,,,
2015-06-19,895,,,,,,,,,,,,
2015-06-20,1261,,,,,,,,,,,,
2015-06-21,447,,,,,,,,,,,,
2015-06-22,936,,,,,,,,,,,,
2015-06-23,448,,,,,,,,,,,,
2015-06-24,1771,,,,,,,,,,,,
2015-06-25,1008,,,,,,,,,,,,
2015-06-26,941,,,,,,,,,,,,
2015-06-27,1286,,,,,,,,,,,,
2015-06-28,142,,,,,,,,,,,,
2015-06-29,612,,,,,,,,,,,,
2015-06-30,914,,,,,,,,,,,,
2015-07-01,193,,,,,,,,,,,,
2015-07-02,934,,,,,,,,,,,,
2015-07-03,1014,,,,,,,,,,,,
2015-07-04,1177,,,,,,,,,,,,
2015-07-05,1251,,,,,,,,,,,,
2015-07-06,1151,,,,,,,,,,,,
2015-07-07,655,,,,,,,,,,,,
2015-07-08,1093,,,,,,,,,,,,
2015-07-09,1012,,,,,,,,,,,,
2015-07-10,1010,,,,,,,,,,,,
2015-07-11,1091,,,,,,,,,,,,
2015-07-12,935,,,,,,,,,,,,
2015-07-13,969,,,,,,,,,,,,
2015-07-14,861,,,,,,,,,,,,
2015-07-15,1177,,,,,,,,,,,,
2015-07-16,1039,,,,,,,,,,,,
2015-07-17,1005,,,,,,,,,,,,
2015-07-18,416,,,,,,,,,,,,
2015-07-19,613,,,,,,,,,,,,
2015-07-20,1257,,,,,,,,,,,,
2015-07-21,489,,,,,,,,,,,,
2015-07-22,1005,,,,,,,,,,,,
2015-07-23,880,,,,,,,,,,,,
2015-07-24,753,,,,,,,,,,,,
2015-07-25,980,,,,,,,,,,,,
2015-07-26,729,,,,,,,,,,,,
2015-07-27,716,,,,,,,,,,,,
2015-07-28,892,,,,,,,,,,,,
2015-07-29,725,,,,,,,,,,,,
2015-07-30,340,,,,,,,,,,,,
2015-07-31,530,,,,,,,,,,,,
2015-08-01,437,,,,,,,,,,,,
2015-08-02,625,,,,,,,,,,,,
2015-08-03,272,,,,,,,,,,,,
2015-08-04,521,,,,,,,,,,,,
2015-08-05,377,,,,,,,,,,,,
2015-08-06,425,,,,,,,,,,,,
2015-08-07,469,,,,,,,,,,,,
2015-08-08,582,,,,,,,,,,,,
2015-08-09,536,,,,,,,,,,,,
2015-08-10,512,,,,,,,,,,,,
2015-08-11,115,,,,,,,,,,,,
2015-08-12,291,,,,,,,,,,,,
2015-08-13,543,357,166,191,,,,,,,,,
2015-08-14,250,222,101,121,,,,,,,,,
2015-08-15,471,826,414,412,,,,,,,,,
2015-08-16,499,989,476,513,,,,,,,,,
2015-08-17,471,587,293,294,,,,,,,,,
2015-08-18,440,584,299,285,,,,,,,,,
2015-08-19,440,557,257,300,,,,,,,,,
2015-08-20,358,429,218,211,,,,,,,,,
2015-08-21,340,495,229,266,,,,,,,,,
2015-08-22,601,965,491,474,,,,,,,,,
2015-08-23,581,1148,562,586,,,,,,,,,
2015-08-24,471,582,295,287,,,,,,,,,
2015-08-25,473,645,314,331,,,,,,,,,
2015-08-26,475,661,338,323,,,,,,,,,
2015-08-27,344,376,186,190,,,,,,,,,
2015-08-28,499,709,337,372,,,,,,,,,
2015-08-29,528,981,481,500,,,,,,,,,
2015-08-30,498,1096,548,548,,,,,,,,,
2015-08-31,415,489,244,245,,,,,,,,,
2015-09-01,474,578,275,303,,,,,,,,,
2015-09-02,384,492,235,257,,,,,,,,,
2015-09-03,393,580,291,289,,,,,,,,,
2015-09-04,459,534,266,268,,,,,,,,,
2015-09-05,621,933,460,473,,,,,,,,,
2015-09-06,462,847,418,429,,,,,,,,,
2015-09-07,422,935,454,481,,,,,,,,,
2015-09-08,332,405,202,203,,,,,,,,,
2015-09-09,267,232,107,125,,,,,,,,,
2015-09-10,388,478,221,257,,,,,,,,,
2015-09-11,402,550,268,282,,,,,,,,,
2015-09-12,207,158,81,77,,,,,,,,,
2015-09-13,86,46,25,21,,,,,,,,,
2015-09-14,128,85,45,40,,,,,,,,,
2015-09-15,427,536,260,276,,,,,,,,,
2015-09-16,452,526,244,282,,,,,,,,,
2015-09-17,414,454,221,233,,,,,,,,,
2015-09-18,500,534,252,282,,,,,,,,,
2015-09-19,362,639,304,335,,,,,,,,,
2015-09-20,273,641,326,315,,,,,,,,,
2015-09-21,173,430,209,221,,,,,,,,,
2015-09-22,0,476,217,259,,,,,,,,,
2015-09-23,0,502,253,249,,,,,,,,,
2015-09-24,0,383,177,206,,,,,,,,,
2015-09-25,0,211,97,114,,,,,,,,,
2015-09-26,0,368,181,187,,,,,,,,,
2015-09-27,0,826,412,414,,,,,,,,,
2015-09-28,0,193,97,96,,,,,,,,,
2015-09-29,0,133,66,67,,,,,,,,,
2015-09-30,0,38,23,15,,,,,,,,,
2015-10-01,0,184,100,84,,,,,,,,,
2015-10-02,0,286,144,142,,,,,,,,,
2015-10-03,0,201,101,100,,,,,,,,,
2015-10-04,0,377,190,187,,,,,,,,,
2015-10-05,0,197,101,96,,,,,,,,,
2015-10-06,0,221,105,116,,,,,,,,,
2015-10-07,0,242,126,116,,,,,,,,,
2015-10-08,0,189,103,86,,,,,,,,,
2015-10-09,0,29,16,13,,,,,,,,,
