Date,Foret_Drummond,Pietons_IN,Pietons_OUT,Cyclistes_IN,Cyclistes_OUT,A-55_Drummondville,A-55_Drummondville_IN,A-55_Drummondville_OUT,Sentiers_St-Majorique,Channel_1_IN,Channel_2_OUT,Wickham
2015-03-31,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,,
2015-04-02,,,,,,,,,,,,
2015-04-03,,,,,,,,,,,,
2015-04-04,,,,,,,,,,,,
2015-04-05,,,,,,,,,,,,
2015-04-06,,,,,,,,,,,,
2015-04-07,,,,,,,,,,,,
2015-04-08,,,,,,,,,,,,
2015-04-09,,,,,,,,,,,,
2015-04-10,,,,,,,,,,,,
2015-04-11,,,,,,,,,,,,
2015-04-12,,,,,,,,,,,,
2015-04-13,,,,,,,,,,,,
2015-04-14,,,,,,,,,,,,
2015-04-15,,,,,,,,,,,,
2015-04-16,,,,,,,,,,,,
2015-04-17,,,,,,,,,,,,
2015-04-18,,,,,,,,,,,,
2015-04-19,,,,,,,,,,,,
2015-04-20,,,,,,,,,,,,
2015-04-21,,,,,,,,,,,,
2015-04-22,,,,,,,,,,,,
2015-04-23,,,,,,,,,,,,
2015-04-24,,,,,,,,,,,,
2015-04-25,,,,,,,,,,,,
2015-04-26,,,,,,,,,,,,
2015-04-27,,,,,,,,,,,,
2015-04-28,,,,,,,,,,,,
2015-04-29,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,
2015-05-01,,,,,,,,,,,,
2015-05-02,,,,,,,,,,,,
2015-05-03,,,,,,,,,,,,
2015-05-04,,,,,,,,,,,,
2015-05-05,,,,,,,,,,,,
2015-05-06,,,,,,,,,,,,
2015-05-07,,,,,,,,,,,,
2015-05-08,,,,,,,,,,,,
2015-05-09,,,,,,,,,,,,
2015-05-10,,,,,,,,,,,,
2015-05-11,,,,,,,,,,,,
2015-05-12,,,,,,,,,,,,
2015-05-13,,,,,,,,,,,,
2015-05-14,,,,,,,,,,,,
2015-05-15,192,84,71,21,16,116,53,63,,,,
2015-05-16,167,63,58,28,18,67,35,32,,,,
2015-05-17,388,158,136,46,48,230,116,114,,,,
2015-05-18,494,157,154,96,87,307,163,144,,,,
2015-05-19,81,36,36,3,6,29,16,13,,,,
2015-05-20,105,42,49,5,9,34,18,16,,,,
2015-05-21,103,34,34,17,18,71,34,37,,,,
2015-05-22,76,26,31,10,9,71,59,12,,,,
2015-05-23,323,123,116,45,39,79,41,38,,,,
2015-05-24,401,160,146,47,48,140,72,68,,,,
2015-05-25,80,31,29,9,11,24,13,11,,,,
2015-05-26,170,68,64,19,19,87,42,45,,,,
2015-05-27,75,31,31,4,9,68,37,31,,,,
2015-05-28,77,26,26,10,15,18,9,9,,,,
2015-05-29,164,60,59,20,25,136,70,66,,,,
2015-05-30,156,63,55,19,19,110,57,53,,,,
2015-05-31,190,77,73,21,19,65,30,35,,,,
2015-06-01,84,40,37,2,5,48,23,25,,,,
2015-06-02,28,12,11,3,2,9,4,5,,,,
2015-06-03,108,41,41,12,14,112,61,51,,,,
2015-06-04,157,46,43,31,37,121,59,62,,,,
2015-06-05,52,16,16,11,9,14,10,4,,,,
2015-06-06,323,127,108,43,45,144,78,66,,,,
2015-06-07,366,115,101,75,75,178,86,92,,,,
2015-06-08,27,14,13,0,0,1,0,1,,,,
2015-06-09,55,22,21,6,6,21,12,9,,,,
2015-06-10,146,48,46,23,29,62,32,30,,,,
2015-06-11,78,34,34,5,5,41,23,18,,,,
2015-06-12,116,38,40,15,23,35,15,20,,,,
2015-06-13,361,101,91,88,81,183,90,93,,,,
2015-06-14,452,136,121,96,99,281,140,141,,,,
2015-06-15,103,44,45,7,7,38,18,20,,,,
2015-06-16,27,13,13,0,1,12,6,6,,,,
2015-06-17,198,80,71,24,23,222,106,116,,,,
2015-06-18,147,55,43,27,22,130,61,69,,,,
2015-06-19,179,72,75,17,15,96,49,47,,,,
2015-06-20,413,133,112,81,87,279,138,141,,,,
2015-06-21,150,53,52,24,21,37,17,20,,,,
2015-06-22,127,45,46,18,18,125,65,60,,,,
2015-06-23,38,15,17,4,2,25,13,12,,,,
2015-06-24,605,199,178,121,107,436,221,215,,,,
2015-06-25,186,61,55,31,39,135,67,68,,,,
2015-06-26,241,74,72,48,47,127,61,66,,,,
2015-06-27,336,85,77,84,90,297,146,151,,,,
2015-06-28,56,21,21,7,7,11,4,7,,,,
2015-06-29,114,46,35,16,17,93,45,48,,,,
2015-06-30,184,56,52,37,39,144,76,68,,,,
2015-07-01,41,16,17,3,5,13,7,6,,,,
2015-07-02,140,53,49,20,18,84,43,41,,,,
2015-07-03,264,70,74,65,55,190,100,90,,,,
2015-07-04,318,95,89,63,71,266,139,127,,,,
2015-07-05,465,142,144,91,88,296,156,140,,,,
2015-07-06,184,62,64,30,28,159,71,88,,,,
2015-07-07,157,52,48,28,29,74,35,39,,,,
2015-07-08,194,72,58,32,32,168,85,83,,,,
2015-07-09,193,66,64,31,32,150,72,78,,,,
2015-07-10,185,42,46,52,45,150,74,76,,,,
2015-07-11,178,63,56,27,32,225,115,110,,,,
2015-07-12,399,134,116,69,80,201,100,101,,,,
2015-07-13,150,55,50,25,20,122,59,63,,,,
2015-07-14,149,54,49,23,23,92,44,48,,,,
2015-07-15,294,84,77,62,71,133,67,66,,,,
2015-07-16,237,85,72,41,39,138,66,72,,,,
2015-07-17,224,71,67,43,43,168,82,86,,,,
2015-07-18,87,34,29,12,12,40,18,22,,,,
2015-07-19,146,72,68,3,3,57,28,29,,,,
2015-07-20,239,87,98,28,26,181,90,91,,,,
2015-07-21,78,36,33,4,5,49,26,23,,,,
2015-07-22,274,84,83,50,57,147,71,76,,,,
2015-07-23,139,52,53,21,13,100,51,49,,,,
2015-07-24,143,47,41,24,31,82,46,36,,,,
2015-07-25,406,139,125,67,75,357,183,174,,,,
2015-07-26,257,101,97,31,28,75,41,34,,,,
2015-07-27,223,71,45,50,57,181,92,89,,,,
2015-07-28,215,84,64,34,33,164,82,82,,,,
2015-07-29,204,58,51,46,49,135,63,72,,,,
2015-07-30,110,30,30,27,23,76,38,38,,,,
2015-07-31,221,72,69,39,41,153,76,77,,,,
2015-08-01,173,62,56,29,26,117,68,49,,,,
2015-08-02,478,193,164,60,61,264,135,129,,,,
2015-08-03,90,37,35,9,9,64,32,32,,,,
2015-08-04,216,70,71,39,36,167,84,83,,,,
2015-08-05,73,27,21,11,14,36,12,24,,,,
2015-08-06,138,47,50,18,23,56,25,31,,,,
2015-08-07,181,55,54,35,37,120,60,60,,,,
2015-08-08,359,122,113,61,63,228,118,110,,,,
2015-08-09,473,183,145,70,75,265,125,140,,,,
2015-08-10,300,107,84,56,53,174,86,88,,,,
2015-08-11,31,15,16,0,0,3,0,3,,,,
2015-08-12,122,35,35,27,25,33,15,18,,,,
2015-08-13,130,50,42,24,14,63,33,30,,,,
2015-08-14,147,47,47,22,31,79,37,42,146,82,64,
2015-08-15,242,75,73,49,45,138,63,75,96,58,38,
2015-08-16,317,106,91,58,62,193,95,98,84,47,37,
2015-08-17,143,57,42,19,25,116,59,57,36,20,16,
2015-08-18,153,48,37,34,34,111,54,57,35,19,16,
2015-08-19,116,47,43,11,15,103,55,48,139,77,62,
2015-08-20,106,38,33,14,21,100,51,49,27,17,10,
2015-08-21,192,64,64,34,30,74,36,38,64,38,26,
2015-08-22,408,106,101,104,97,207,105,102,70,39,31,
2015-08-23,493,166,152,90,85,196,99,97,137,81,56,
2015-08-24,228,84,69,35,40,121,59,62,31,18,13,
2015-08-25,188,70,73,23,22,118,47,71,37,22,15,
2015-08-26,296,99,93,65,39,137,68,69,53,35,18,
2015-08-27,76,29,30,8,9,32,13,19,36,22,14,
2015-08-28,194,56,61,41,36,96,45,51,49,30,19,
2015-08-29,273,73,80,67,53,114,55,59,86,53,33,
2015-08-30,393,142,134,55,62,146,77,69,100,55,45,
2015-08-31,199,74,75,30,20,125,65,60,98,56,42,
2015-09-01,216,78,78,27,33,119,58,61,74,41,33,
2015-09-02,129,51,37,16,25,70,36,34,72,41,31,
2015-09-03,184,73,79,17,15,74,37,37,66,40,26,
2015-09-04,182,54,53,35,40,116,58,58,76,43,33,
2015-09-05,353,123,123,55,52,201,94,107,64,31,33,
2015-09-06,432,147,163,64,58,200,103,97,85,46,39,
2015-09-07,420,175,137,58,50,167,82,85,129,71,58,
2015-09-08,196,76,81,16,23,81,50,31,17,11,6,
2015-09-09,87,40,29,10,8,45,23,22,29,17,12,
2015-09-10,123,46,40,18,19,91,46,45,53,33,20,
2015-09-11,175,69,59,24,23,125,63,62,50,28,22,
2015-09-12,193,74,71,26,22,64,33,31,73,46,27,
2015-09-13,149,69,65,7,8,27,20,7,79,43,36,
2015-09-14,27,16,11,0,0,8,4,4,20,11,9,
2015-09-15,166,62,71,20,13,98,48,50,43,28,15,
2015-09-16,231,97,88,26,20,109,56,53,127,77,50,
2015-09-17,194,72,74,23,25,169,85,84,135,87,48,
2015-09-18,191,71,58,30,32,128,60,68,65,37,28,
2015-09-19,377,144,128,55,50,137,62,75,90,48,42,
2015-09-20,531,228,215,43,45,93,41,52,240,132,108,
2015-09-21,188,79,70,16,23,64,31,33,42,25,17,
2015-09-22,203,91,80,15,17,104,56,48,51,28,23,
2015-09-23,234,83,75,40,36,115,47,68,40,23,17,
2015-09-24,129,52,46,15,16,87,53,34,70,38,32,
2015-09-25,136,54,49,19,14,57,14,43,76,43,33,
2015-09-26,504,219,208,43,34,58,30,28,196,104,92,
2015-09-27,947,428,386,65,68,157,78,79,338,189,149,
2015-09-28,77,34,31,8,4,114,72,42,50,25,25,
2015-09-29,46,24,20,1,1,42,7,35,44,24,20,
2015-09-30,18,7,7,2,2,1,0,1,12,7,5,
2015-10-01,132,66,50,9,7,25,12,13,90,49,41,
2015-10-02,154,71,66,9,8,29,15,14,104,54,50,
2015-10-03,357,171,154,15,17,38,21,17,149,82,67,
2015-10-04,720,357,316,26,21,69,33,36,254,145,109,
2015-10-05,143,66,54,11,12,89,45,44,48,29,19,
2015-10-06,96,39,44,8,5,24,13,11,50,25,25,
2015-10-07,140,75,48,8,9,29,12,17,55,33,22,
2015-10-08,169,82,72,7,8,22,12,10,42,23,19,
2015-10-09,8,4,4,0,0,0,0,0,7,3,4,
2015-10-10,605,295,261,25,24,17,9,8,289,158,131,
2015-10-11,343,169,154,11,9,19,10,9,139,76,63,
2015-10-12,1205,587,499,62,57,129,65,64,559,308,251,
2015-10-13,99,43,49,5,2,16,9,7,38,20,18,
2015-10-14,71,34,32,4,1,5,3,2,22,13,9,
2015-10-15,85,40,40,3,2,5,3,2,28,16,12,
2015-10-16,65,27,27,4,7,8,5,3,50,28,22,
2015-10-17,107,50,52,2,3,2,1,1,102,63,39,
2015-10-18,527,265,246,6,10,4,2,2,248,150,98,
2015-10-19,93,50,43,0,0,0,0,0,43,25,18,
2015-10-20,141,68,56,7,10,11,5,6,68,37,31,
2015-10-21,176,86,71,8,11,8,4,4,53,27,26,
2015-10-22,84,33,46,4,1,2,1,1,33,17,16,
2015-10-23,317,214,52,24,27,16,9,7,34,20,14,
2015-10-24,490,298,159,17,16,13,6,7,157,88,69,
2015-10-25,131,60,66,3,2,6,3,3,35,18,17,
2015-10-26,183,91,86,3,3,5,3,2,53,29,24,
2015-10-27,161,70,74,8,9,11,3,8,67,44,23,
2015-10-28,81,42,39,0,0,6,3,3,74,46,28,
2015-10-29,32,14,14,2,2,0,0,0,1,1,0,
2015-10-30,129,62,59,3,5,4,2,2,45,23,22,
2015-10-31,235,112,111,6,6,6,3,3,86,47,39,
2015-11-01,50,27,23,0,0,2,1,1,22,13,9,
2015-11-02,97,51,43,1,2,9,7,2,37,20,17,
2015-11-03,130,61,59,3,7,6,3,3,58,32,26,
2015-11-04,171,79,77,6,9,15,7,8,74,42,32,
2015-11-05,272,130,128,7,7,22,10,12,58,34,24,
2015-11-06,48,22,18,5,3,1,1,0,52,33,19,
2015-11-07,310,164,139,5,2,12,6,6,130,73,57,
2015-11-08,473,247,220,5,1,23,11,12,241,140,101,
2015-11-09,160,74,75,5,6,6,3,3,44,27,17,
2015-11-10,191,97,86,3,5,16,9,7,64,35,29,
2015-11-11,149,65,67,9,8,6,2,4,58,33,25,
2015-11-12,44,19,22,2,1,5,3,2,32,18,14,
2015-11-13,14,6,7,0,1,0,0,0,4,2,2,
2015-11-14,144,73,68,1,2,9,5,4,78,43,35,
2015-11-15,270,131,134,3,2,13,7,6,143,83,60,
2015-11-16,109,50,51,5,3,3,1,2,39,24,15,
2015-11-17,119,58,59,1,1,11,5,6,55,24,31,
2015-11-18,143,69,69,4,1,11,7,4,74,44,30,
2015-11-19,22,12,10,0,0,5,1,4,34,17,17,
2015-11-20,185,90,85,4,6,13,4,9,41,21,20,
2015-11-21,238,113,111,9,5,14,7,7,121,68,53,
2015-11-22,299,149,145,3,2,3,2,1,144,89,55,
2015-11-23,66,30,33,3,0,2,1,1,41,26,15,
2015-11-24,59,29,30,0,0,2,2,0,40,20,20,
2015-11-25,100,50,41,3,6,0,0,0,46,25,21,
2015-11-26,99,45,48,2,4,4,2,2,32,19,13,
2015-11-27,13,5,5,1,2,0,0,0,9,5,4,
2015-11-28,141,65,66,5,5,3,2,1,64,32,32,
2015-11-29,202,97,90,9,6,2,1,1,130,77,53,
2015-11-30,63,31,26,4,2,4,2,2,35,20,15,
2015-12-01,44,23,21,0,0,7,3,4,43,23,20,
2015-12-02,7,5,0,0,2,1,1,0,15,7,8,
2015-12-03,14,5,6,0,3,1,1,0,1,0,1,
2015-12-04,77,37,40,0,0,2,1,1,50,29,21,
2015-12-05,125,57,58,3,7,2,1,1,62,35,27,
2015-12-06,181,92,84,1,4,0,0,0,83,53,30,
2015-12-07,61,32,27,1,1,2,0,2,27,19,8,
2015-12-08,98,46,45,3,4,2,0,2,143,81,62,
2015-12-09,76,34,34,5,3,3,2,1,60,31,29,
2015-12-10,39,17,18,3,1,1,0,1,23,12,11,
2015-12-11,92,42,41,2,7,5,2,3,55,30,25,
2015-12-12,173,83,72,10,8,16,9,7,90,52,38,
2015-12-13,356,178,167,2,9,1,1,0,127,69,58,
2015-12-14,13,5,5,0,3,0,0,0,1,1,0,
2015-12-15,12,8,3,0,1,0,0,0,2,1,1,
2015-12-16,52,22,25,2,3,4,2,2,31,17,14,
2015-12-17,10,6,4,0,0,0,0,0,13,8,5,
2015-12-18,37,19,18,0,0,1,1,0,4,2,2,
2015-12-19,105,54,46,2,3,6,2,4,67,41,26,
2015-12-20,255,131,117,1,6,2,1,1,79,35,44,
2015-12-21,43,21,21,0,1,3,2,1,27,18,9,
2015-12-22,37,15,13,4,5,0,0,0,30,18,12,
2015-12-23,78,41,32,2,3,7,3,4,34,20,14,
2015-12-24,152,65,80,2,5,1,1,0,19,11,8,
2015-12-25,295,155,132,3,5,5,2,3,101,58,43,
2015-12-26,299,148,139,3,9,6,3,3,131,78,53,
2015-12-27,76,41,33,0,2,0,0,0,113,76,37,
2015-12-28,166,83,81,1,1,1,1,0,96,55,41,
2015-12-29,32,14,15,0,3,0,0,0,63,41,22,
2015-12-30,112,47,53,4,8,0,0,0,79,79,0,
2015-12-31,79,32,36,6,5,0,0,0,57,57,0,
2016-01-01,136,70,59,5,2,0,0,0,102,102,0,
2016-01-02,150,75,71,3,1,2,0,2,124,73,51,
2016-01-03,162,76,78,5,3,0,0,0,160,88,72,
2016-01-04,32,18,14,0,0,0,0,0,72,44,28,
2016-01-05,43,25,18,0,0,5,5,0,19,13,6,
2016-01-06,61,27,27,5,2,5,5,0,61,34,27,
2016-01-07,39,16,18,4,1,0,0,0,61,36,25,
2016-01-08,100,47,48,4,1,1,0,1,88,47,41,
2016-01-09,136,72,59,3,2,1,0,1,160,94,66,
2016-01-10,29,14,15,0,0,0,0,0,49,24,25,
2016-01-11,35,16,16,3,0,0,0,0,36,19,17,
2016-01-12,30,16,14,0,0,0,0,0,42,23,19,
2016-01-13,50,20,20,10,0,0,0,0,44,25,19,
2016-01-14,15,9,4,1,1,2,2,0,55,35,20,
2016-01-15,46,23,23,0,0,0,0,0,37,19,18,
2016-01-16,169,82,83,3,1,0,0,0,210,122,88,
2016-01-17,331,182,139,6,4,0,0,0,210,123,87,
2016-01-18,46,26,20,0,0,6,2,4,61,35,26,
2016-01-19,11,5,5,1,0,4,4,0,42,42,0,
2016-01-20,85,46,37,2,0,0,0,0,50,30,20,
2016-01-21,55,20,21,9,5,2,0,2,89,48,41,
2016-01-22,55,27,28,0,0,0,0,0,91,51,40,
2016-01-23,236,109,106,9,12,3,1,2,132,71,61,
2016-01-24,225,116,109,0,0,0,0,0,158,85,73,
2016-01-25,99,50,45,2,2,0,0,0,66,36,30,
2016-01-26,29,15,12,0,2,0,0,0,26,16,10,
2016-01-27,91,43,46,1,1,3,1,2,41,21,20,
2016-01-28,55,28,26,1,0,0,0,0,42,23,19,
2016-01-29,55,26,25,4,0,0,0,0,39,21,18,
2016-01-30,144,70,64,4,6,0,0,0,173,106,67,
2016-01-31,329,161,158,7,3,0,0,0,280,141,139,
2016-02-01,39,19,18,2,0,0,0,0,27,15,12,
2016-02-02,107,54,48,2,3,3,2,1,51,30,21,
2016-02-03,25,8,7,5,5,0,0,0,2,1,1,
2016-02-04,37,16,17,2,2,1,1,0,48,27,21,
2016-02-05,54,29,22,1,2,0,0,0,40,20,20,
2016-02-06,103,56,47,0,0,2,0,2,153,87,66,
2016-02-07,205,110,92,2,1,0,0,0,193,108,85,
2016-02-08,42,17,22,3,0,0,0,0,49,23,26,
2016-02-09,32,13,14,5,0,0,0,0,68,41,27,
2016-02-10,77,42,33,0,2,0,0,0,148,78,70,
2016-02-11,29,17,12,0,0,8,4,4,20,12,8,
2016-02-12,39,19,16,0,4,0,0,0,35,18,17,
2016-02-13,31,18,13,0,0,8,4,4,51,29,22,
2016-02-14,0,0,0,0,0,0,0,0,38,23,15,
2016-02-15,0,0,0,0,0,0,0,0,57,31,26,
2016-02-16,0,0,0,0,0,0,0,0,8,4,4,
2016-02-17,0,0,0,0,0,0,0,0,42,25,17,
2016-02-18,0,0,0,0,0,1,0,1,59,34,25,
2016-02-19,0,0,0,0,0,0,0,0,69,39,30,
2016-02-20,0,0,0,0,0,0,0,0,17,9,8,
2016-02-21,0,0,0,0,0,0,0,0,179,109,70,
2016-02-22,0,0,0,0,0,0,0,0,53,32,21,
2016-02-23,0,0,0,0,0,0,0,0,66,33,33,
2016-02-24,0,0,0,0,0,0,0,0,33,19,14,
2016-02-25,0,0,0,0,0,0,0,0,4,2,2,
2016-02-26,0,0,0,0,0,0,0,0,38,22,16,
2016-02-27,0,0,0,0,0,0,0,0,139,72,67,
2016-02-28,0,0,0,0,0,0,0,0,190,99,91,
2016-02-29,0,0,0,0,0,0,0,0,15,7,8,
2016-03-01,0,0,0,0,0,0,0,0,83,45,38,
2016-03-02,0,0,0,0,0,0,0,0,47,26,21,
2016-03-03,0,0,0,0,0,0,0,0,85,43,42,
2016-03-04,0,0,0,0,0,0,0,0,149,82,67,
2016-03-05,0,0,0,0,0,0,0,0,289,154,135,
2016-03-06,0,0,0,0,0,0,0,0,362,204,158,
2016-03-07,0,0,0,0,0,0,0,0,55,29,26,
2016-03-08,0,0,0,0,0,0,0,0,67,43,24,
2016-03-09,0,0,0,0,0,0,0,0,21,12,9,
2016-03-10,0,0,0,0,0,0,0,0,26,14,12,
2016-03-11,0,0,0,0,0,0,0,0,49,26,23,
2016-03-12,0,0,0,0,0,0,0,0,169,92,77,
2016-03-13,0,0,0,0,0,0,0,0,273,137,136,
2016-03-14,0,0,0,0,0,0,0,0,35,17,18,
2016-03-15,0,0,0,0,0,0,0,0,63,34,29,
2016-03-16,0,0,0,0,0,0,0,0,51,30,21,
2016-03-17,0,0,0,0,0,0,0,0,57,31,26,
2016-03-18,0,0,0,0,0,0,0,0,61,32,29,
2016-03-19,0,0,0,0,0,0,0,0,121,72,49,
2016-03-20,0,0,0,0,0,0,0,0,197,111,86,
2016-03-21,0,0,0,0,0,0,0,0,76,43,33,
2016-03-22,0,0,0,0,0,0,0,0,35,19,16,
2016-03-23,0,0,0,0,0,0,0,0,38,19,19,
2016-03-24,0,0,0,0,0,0,0,0,22,10,12,
2016-03-25,0,0,0,0,0,0,0,0,10,6,4,
2016-03-26,0,0,0,0,0,0,0,0,132,73,59,
2016-03-27,0,0,0,0,0,0,0,0,279,147,132,
2016-03-28,0,0,0,0,0,0,0,0,9,4,5,
2016-03-29,0,0,0,0,0,0,0,0,53,28,25,
2016-03-30,0,0,0,0,0,0,0,0,48,29,19,
2016-03-31,0,0,0,0,0,0,0,0,3,0,3,
2016-04-01,0,0,0,0,0,0,0,0,14,6,8,
2016-04-02,0,0,0,0,0,0,0,0,79,47,32,
2016-04-03,0,0,0,0,0,0,0,0,73,40,33,
2016-04-04,0,0,0,0,0,0,0,0,31,17,14,
2016-04-05,0,0,0,0,0,0,0,0,28,14,14,
2016-04-06,0,0,0,0,0,0,0,0,23,14,9,
2016-04-07,0,0,0,0,0,0,0,0,19,12,7,
2016-04-08,0,0,0,0,0,0,0,0,16,10,6,
2016-04-09,0,0,0,0,0,0,0,0,94,50,44,
2016-04-10,0,0,0,0,0,0,0,0,129,71,58,
2016-04-11,0,0,0,0,0,0,0,0,7,3,4,
2016-04-12,0,0,0,0,0,0,0,0,29,18,11,
2016-04-13,0,0,0,0,0,0,0,0,34,18,16,
2016-04-14,0,0,0,0,0,0,0,0,41,23,18,
2016-04-15,0,0,0,0,0,0,0,0,38,17,21,
2016-04-16,0,0,0,0,0,0,0,0,82,51,31,
2016-04-17,0,0,0,0,0,0,0,0,171,103,68,
2016-04-18,0,0,0,0,0,0,0,0,26,17,9,
2016-04-19,0,0,0,0,0,0,0,0,77,41,36,
2016-04-20,0,0,0,0,0,0,0,0,47,27,20,
2016-04-21,0,0,0,0,0,0,0,0,42,29,13,
2016-04-22,0,0,0,0,0,0,0,0,17,8,9,
2016-04-23,0,0,0,0,0,0,0,0,125,75,50,
2016-04-24,0,0,0,0,0,0,0,0,193,107,86,
2016-04-25,0,0,0,0,0,0,0,0,59,32,27,
2016-04-26,0,0,0,0,0,0,0,0,31,13,18,
2016-04-27,25,15,9,1,0,0,0,0,50,27,23,
2016-04-28,13,9,2,2,0,,,,45,28,17,
2016-04-29,32,11,8,10,3,,,,68,32,36,
2016-04-30,124,41,37,28,18,,,,128,80,48,
2016-05-01,115,50,42,14,9,,,,125,67,58,
2016-05-02,17,9,8,0,0,,,,18,9,9,
2016-05-03,37,13,13,5,6,,,,51,26,25,
2016-05-04,49,15,19,9,6,,,,66,36,30,
2016-05-05,123,54,57,7,5,,,,85,45,40,
2016-05-06,262,103,114,27,18,,,,60,30,30,
2016-05-07,306,129,102,39,36,,,,133,74,59,
2016-05-08,25,12,11,1,1,,,,14,8,6,
2016-05-09,68,38,30,0,0,,,,44,23,21,
2016-05-10,155,66,46,25,18,,,,77,50,27,
2016-05-11,87,42,14,21,10,,,,92,50,42,
2016-05-12,78,27,10,28,13,75,42,33,27,16,11,
2016-05-13,37,16,11,7,3,32,18,14,6,2,4,
2016-05-14,129,33,6,59,31,152,74,78,82,43,39,
2016-05-15,52,29,14,7,2,4,1,3,13,8,5,
2016-05-16,22,11,9,2,0,3,2,1,114,67,47,
2016-05-17,42,21,12,6,3,8,4,4,12,8,4,
2016-05-18,93,30,12,36,15,36,18,18,45,23,22,
2016-05-19,34,16,2,11,5,31,16,15,46,24,22,
2016-05-20,67,24,9,24,10,75,39,36,90,45,45,
2016-05-21,136,31,9,59,37,140,75,65,109,51,58,
2016-05-22,165,46,21,64,34,123,57,66,153,87,66,
2016-05-23,352,114,39,125,74,242,123,119,198,110,88,
2016-05-24,99,35,25,28,11,95,49,46,50,28,22,
2016-05-25,617,573,28,14,2,49,27,22,31,17,14,
2016-05-26,4636,4548,44,24,20,67,33,34,55,33,22,
2016-05-27,14687,14620,56,6,5,34,16,18,35,18,17,
2016-05-28,3707,3491,122,49,45,283,141,142,90,46,44,
2016-05-29,178,76,78,12,12,30,16,14,40,26,14,
2016-05-30,128,56,44,13,15,69,36,33,63,32,31,
2016-05-31,116,48,46,9,13,66,35,31,30,18,12,
