numero_entente,numero_appel_offre,numero_fournisseur,nom_fournisseur,statut_entente,date_debut_entente,date_fin_entente,description_entente,montant_total_convenu
"1009666",,"221444","TENCO INC.","Fermé",2014-12-05,2016-08-04,"MARO,Z,ENTENTE D'ACHAT DE GRÉ À GRÉ POUR LE CODE VILLE IN9113-1205 (PIÈCE ET TRANSPORT INCLUS DANS LE PRIX UNITAIRE DE LA LIGNE SANS AUCUNE QUANTITÉ MINIMUM À COMMANDER)",15000
"1023653","13744","115168","LAMPADAIRES FERALUX INC.","Fermé",2015-02-16,2017-02-15,"TPAE,A,FÛTS, POTENCES, RALLONGES POUR FEUX DE CIRCULATION",2872985.19
"1049124","14119","115352","LOUIS HEBERT UNIFORME INC.","Fermé",2015-06-01,2018-06-01,"VETR,A,FOURNITURE DE VÊTEMENTS DE TRAVAIL POUR EMPLOYÉS DE LA VILLE DE MONTRÉAL. POUR INVENTAIRE À COLBERT.",174063.25
"1047881","14364","117072","TRAFIC INNOVATION INC.","Fermé",2015-05-26,2016-05-25,"CONS,A,CLOUS CARVELLE ACIER FORGÉ",15800
"1062881","13351","319032","ORANGE TRAFFIC INC","Ouvert",2015-08-07,2018-08-06,"TPAE,Z,FOURNITURE SUR DEMANDE DE CABINETS DE FEUX DE CIRCULATION À 8 ET 16 RELAIS DE CHARGES",9237769.85
"1068006","14650","127102","ANTONIO MOREAU (1984)LTEE","Fermé",2015-10-22,2016-12-30,"VETR,Z,FOURNITURE ET LIVRAISON DE PANTALONS EN DENIM (JEANS) POUR HOMME",19082.72
"1073206","14590","134098","LES ENTREPRISES DUCKBILL INC.","Fermé",2015-09-02,2017-02-27,"VETR,Z,ÉTUIS À CHARGEUR DOUBLE GLOCK 19 GEN4, SPVM",226660
"1093412","14688","128077","GROUPE TRIUM INC.","Fermé",2015-12-17,2019-12-16,"VETR,Z,SPVM - PANTALONS TRANSFORMABLES ET SHORTS CYCLISTES",116892
"1092925",,"115392","AGENCES MARTIAL BESSETTE INC.","Fermé",2016-01-01,2016-12-13,"VETR,A,FOULARDS EN LAINE (SPVM ET SIM)",12630
"1092750","14815","181573","LE GROUPE J.S.V. INC","Fermé",2016-02-01,2018-01-31,"OUMA,A,OUTILS ABRASIFS, DE MEULAGE, TRONCONNAGE, LUBRIFIANTS, MARQUE WALTER",99690.05
"1103581",,"429917","EP MONTREAL","Fermé",2016-02-10,2016-12-31,"MARO,Z,ENTENTE D'ACHAT DE GRÉ À GRÉ POUR DES PIÈCES DE MARQUE ARGO-HYTOS (PIÈCE ET TRANSPORT INCLUS DANS LE PRIX UNITAIRE DE LA LIGNE SANS AUCUNE QUANTITÉ MINIMUM À COMMANDER).",10000
"1104225",,"115392","AGENCES MARTIAL BESSETTE INC.","Fermé",2016-03-04,2017-03-03,"VETR,A,CRAVATES (SIM, ASM, ADS, SPVM AVEC CEINTURE TUXEDO ET NOEUD PAPILLON)",21743
"1117644",,"566838","UNI-SELECT CANADA INC.","Fermé",2016-04-18,2016-07-06,"MARO,A,GROTE,FOURNITURE DE PIÈCES D'ÉCLAIRAGES, SIGNALISATIONS ET ACCESSOIRES DE MARQUE GROTE POUR VÉHICULES ET APPAREIL (INVENTAIRE)",27000
"1127157","14889","117623","CONSEILLERS EN GESTION ET INFORMATIQUE CGI  INC.","Ouvert",2016-06-01,2019-05-31,"SPAG,Z,SERVICES PROFESSIONNELS INFORMATIQUES SPECIALISES -  68088 - Approvisionnement III",3238483.51
"C926254","13291","115448","MP REPRODUCTIONS INC.","Fermé",2016-06-06,2017-01-31,"MBPI,A,NUMERISATION DE PLANS ET DOCUMENTS (COLLECTIVE)",17381.02
"1129605","15324","115943","GRAYMONT (QC) INC.","Fermé",2016-06-22,2019-10-21,"ENPC,A,FOURNITURE DE CHAUX HYDRATÉE POUR LES USINES D'EAU POTABLE DE DORVAL, PIERREFONDS ET POINTE-CLAIRE",952500
"1135719","15415","369407","SUMMIT CANADA DISTRIBUTORS","Fermé",2016-07-06,2017-12-29,"VETR,Z,SPVM - CASQUES SEER",43941.6
"C1084208","14613","114141","9082-8179 QUEBEC INC.","Fermé",2016-11-28,2019-09-30,"TPAE,Z,Entente EXCLUSIF,Location d'une rétrocaveuse opéré pour l'exploitation du chute Iberville, article 8, hivers 2015-2018, plus opt. 2019",114049.01
"C1102645","14744","118707","MICHEL GUIMONT ENTREPRENEUR ELECTRICIEN LTEE","Ouvert",2016-10-24,2018-01-31,"EXTR, Z, SERVICE D'ÉLECTRICIEN POUR LES OPERATIONS DU SPVM",36200
"C1121766","15029","294017","QUALINET ENVIRONNEMENT INC.","Fermé",2016-11-28,2018-02-23,"TPAE,Z,A57, Entente EXCLUSIF Rosemont-La Petite-Patrie,Services de nettoyage de puisard, de drains de puisard, de paniers récupérateurs et chambres de vannes incluant le transport et lélimination des résidus, 2 ans",114667.02
"C1134962","14947","153156","GROUPE ABS INC.","Fermé",2016-12-15,2017-01-31,"SPOP,Z, Services professionnels géotechnique, caractérisation environnementale de terrains et bâtiments",958128.18
"C1079398","14609","326827","CONSTRUCTION BAU-VAL INC.","Fermé",2016-11-28,2020-04-15,"TPAE,Z,A86-Location d'équipements, taux horaire, avec opérateurs, opérations de neige dans l'Arr. Saint-Laurent, 5 ans + 2 X 1 an en option (fin hiver 2022)",1260535
"C1018154","12336","699431","ATKINSREALIS CANADA INC.","Ouvert",2016-11-28,2017-01-24,"SPOP,A,SERVICES PROFESSIONNELS POUR ÉTUDES GÉOTECHNIQUES ET ENVIRONNEMENTALES DE TERRAINS ET BÂTIMENTS MUNICIPAUX",155884.18
"C1054937","13877","197099","LES SERVICES EXP INC.","Fermé",2016-12-16,2017-06-16,"SPOP,Z,SERVICES PROFESSIONNELS EN SURVEILLANCE DES TRAVAUX, GESTION DES IMPACTS, MAINTIEN DE LA CIRCULATION ET COMMUNICATION POUR LES TRAVAUX DE RÉFECTION DINFRASTRUCTURES",3522615.48
"C1118383","14986","115277","POTTERS CANADA","Fermé",2016-11-28,2019-04-04,"TPAE,Z,FOURNITURE DE MICROBILLES DE VERRE POUR PEINTURE DE MARQUAGE ROUTIER",198658.81
"C1014494","13766","114503","EXCAVATIONS R. MALENFANT (1991) INC. (LES)","Fermé",2016-11-30,2017-04-30,"TPAE,Z,ENTENTE EXCLUSIVE ARRONDISSEMENT AHUNTSIC-CARTIERVILLE LOCATION DE 1 RÉTROCAVEUSE AVEC OPÉRATEUR, 400 HEURES PAR ANNÉE, SAISONS 2014-2017",18771.6
"C996100","13747","158150","PAYSAGISTE ROCHE INC.","Fermé",2016-11-28,2017-05-01,"TPAE,Z,A83 - LOCATION DE 6 NIVELEUSES ET DE 5 TRACTEURS-CHARGEURS AVEC OPÉRATEURS POUR L'ARR. DE VERDUN",28787.5
"1155867","15411","146273","LE GROUPE LML LTEE","Fermé",2016-11-02,2019-11-01,"OUMA,Z,ACHAT DE PIÈCES DE RECHANGE D'AUTOMATISATION DE MARQUE SIEMENS POUR LES USINES D'EAU POTABLE: ATWATER ET CHARLES J. DES BAILLETS",65910.38
"1155963","15411","146273","LE GROUPE LML LTEE","Fermé",2016-11-02,2019-11-01,"OUMA,Z,ACHAT DE PIECES DE RECHANGE D'AUTOMATISATION DE MARQUES VARIEES POUR LES USINES D'EAU POTABLE: ATWATER ET CHARLES J. DES BAILLETS",40006.3
"1158141",,"22277","VETEMENTS CLUB UOMO","Fermé",2017-01-01,2018-12-31,"VETR,Z,CONFECTION DE REBORDS (OURLETS) DE PANTALONS ET DE JUPES - SPVM",16150
"1162283","15563","158559","ENTREPRISES INTMOTION INC.","Ouvert",2016-11-09,2021-11-08,"MBPI,A,FOURNITURE ET LIVRAISON DÉTIQUETTES RFID POUR SUPPORTS IMPRIMÉS ET DISQUES POUR LES BIBLIOTHÈQUES DE LA VILLE DE MONTRÉAL  36 MOIS AVEC DEUX (2) OPTIONS DE PROLONGATION (16-15563)",463270
"C1014968","13536","699431","ATKINSREALIS CANADA INC.","Fermé",2016-12-14,2017-01-24,"SPOP,A,ÉTUDES ET EXPERTISES GÉOTECHNIQUES",360215.72
"1163630","15650","414380","100 LIMITES ENVIRONNEMENT INC.","Fermé",2016-12-05,2018-12-04,"TPAE,Z,A54 SERVICE DE REMORQUAGE POUR L'ARRONDISSEMENT PMR - 2 SAISONS.",431250
"1163268","15731","117580","COMPUGEN INC.","Ouvert",2016-11-24,2019-11-30,"INEL,A,fourniture sur demande dordinateurs de table, portatifs, semi-robustes et robustes, des tablettes électroniques, des moniteurs et autres équipements",1027452.13
"1163714","15650","4044","EXCAVATION ANJOU INC","Fermé",2016-12-06,2021-12-05,"TPAE,Z,A58 SERVICE DE REMORQUAGE POUR L'ARRONDISSEMENT VSMPE - 4 SAISONS.",473600
"C1123089","15029","116214","KELLY SANI-VAC INC","Fermé",2016-11-28,2018-04-04,"TPAE,Z,A85, Entente EXCLUSIF St-Laurent, Services de nettoyage de puisard, de drains de puisard, de paniers récupérateurs et chambres de vannes incluant le transport et lélimination des résidus, 2 ans",77957
"C1084295","14613","115663","TRANSPORT CAMILLE DIONNE (1991) INC.","Fermé",2016-11-28,2020-09-30,"TPAE,Z,ENTENTE EXCLUSIVE SCARM,Location d'une mini pelle et de deux (2) bouteurs opéré pour l'exploitation des chutes Verdun, Sartelon & dépôt Autoroute 13, articles 4, 6 & 7 hivers 2015-2018, + opt. renouv. 2019",521125.61
"C1126372","15029","403681","BEAUREGARD ENVIRONNEMENT LTEE","Fermé",2016-11-28,2018-05-02,"TPAE,Z,A56, Entente EXCLUSIF d'Ahuntsic-Cartierville, Services de nettoyage de puisard, de drains de puisard, de paniers récupérateurs et chambres de vannes incluant le transport et lélimination des résidus, 2 ans",50020.13
"C996118","13747","611181","CBC2010 INC.","Fermé",2016-11-28,2017-05-01,"TPAE,Z,A83 - LOCATION DE 6 NIVELEUSES ET DE 5 TRACTEURS-CHARGEURS AVEC OPÉRATEURS POUR L'ARR. DE VERDUN",100433.6
"1164748","15425","152648","CIMA+ S.E.N.C.","Ouvert",2016-10-24,2017-01-30,"SPOP,Z, Services professionnels en gestion de projets pour la mise aux normes des arénas de la Ville de Montréal",2394875
"1164726","15477","115735","A. & O. GENDRON INC.","Fermé",2016-11-01,2019-04-15,"TPAE,Z, Service de déneigement des chaussées et des trottoirs, par secteur, pour deux (2) arrondissements, SECTEUR AHU-103-1619",3231582.97
"1167720","14622","156315","LES ENTREPRISES PIERRE LADOUCEUR INC.","Fermé",2015-11-01,2020-08-31,"TPAE,Z,A89,Loc horaire d'autoniveleuses sans aile de côté & opérateurs pour  déneigement EXCLUSIVE ARR LaSalle - 15-14622,Article 1, 2015-2018 + 2 X un (1) an option 2019-20",514724.93
"1169706","15685","136941","KEMIRA WATER SOLUTIONS CANADA INC.","Fermé",2017-02-23,2019-10-09,"ENPC,Z,FOURNITURE ET LIVRAISON DE CHLORHYDRATE D'ALUMINIUM POUR LES USINES D'EAU POTABLE: ATWATER ET CHARLES J. DES BAILLETS",649760
"1172755","15716","423561","REMORQUAGE BL","Fermé",2017-02-20,2018-02-19,"TPAE,Z,A52 SERVICE DE REMORQUAGE POUR L'ARRONDISSEMENT L -  1 SAISON.",80000
"1176152","15486","401917","DIGITALSTATE SOLUTIONS INC.","Fermé",2017-02-01,2019-06-30,"spag,z,services professionnels pour des ressources d'appoint en support au développement des solutions numériques ressources spécialisées technologie OroBAP et CAMUNDA",864000
"1176595",,"116146","WOLSELEY  CANADA INC.","Fermé",2017-01-27,2017-04-30,"TPAE,A,FOURNITURE DE SELLETTES DE SERVICE ET MANCHONS DE RÉPARATION",21740
"1184954","15781","117323","LES COMPTEURS LECOMTE LTEE","Fermé",2017-03-02,2019-03-01,"TPAE,Z,Fourniture sur demande de compteurs d'eau avec registre, accessoires - 24 moisarticle 5 du bordereau de soumission",81699.8
"1191826","15851","128795","SERVICE D'ENTRETIEN MENAGER VIMONT  INC.","Ouvert",2017-04-01,2020-03-31,"ENET,A,Entretien ménager de la Maison du citoyen delarrondissement de Rivière-des-Prairies-Pointe-aux-Trembles",128090
"1196643","15973","119806","LAFARGE CANADA INC","Ouvert",2017-04-28,2019-04-27,"TPAE,A,FOURNITURE DE BETON A REMBLAI SANS RETRAIT",227900
"1197211","15843","114092","CREUSAGE RL","Ouvert",2017-05-01,2020-04-30,"TPAE,Z,ENTENTE EXCLUSIVE La Direction de l'eau potable, Nettoyage des chambres SOUTERRAINES DU RÉSEAU D'AQUEDUC PRIMAIRE, AO 17-15843, 36 mois, 0 opt renouv.",465850
"1197431","15625","118369","SERVICES D'ENTRETIEN ALPHANET INC.","Fermé",2017-04-12,2020-03-31,"ENET,A,ENTRETIEN SANITAIRE BÂTIMENTS ET CASERNES SSIM",382524.39
"1198780","15722","147330","GROUPE DRM","Ouvert",2017-06-06,2017-12-31,"ENNA,Z,SERVICES D'ESSOUCHEMENT D'ARBRES POUR MHM",80300
"1202972","15802","114764","AQUAM SPECIALISTE AQUATIQUE INC.","Fermé",2017-06-13,2022-06-14,"ENPC,A,ACQUISITION ET LIVRAISON D'ACCESSOIRES POUR LES PISCINES DE LA VILLE DE MONTREAL",143511
"1202954","15802","150274","AQUATECHNO SPECIALISTES AQUATIQUES INC.","Fermé",2017-06-13,2022-06-14,"ENPC,A,ACQUISITION ET LIVRAISON DE PRODUITS CHIMIQUES POUR LES PISCINES DE LA VILLE DE MONTREAL",283455.64
"1203411","15833","116051","QUINCAILLERIE SECURITE CANADA (QSC)","Fermé",2017-06-01,2022-05-31,"CONS,A,CADENAS ET ACCESSOIRES",152320.08
"1204017",,"128077","GROUPE TRIUM INC.","Fermé",2017-06-01,2018-12-31,"VETR,Z,CONFECTION DE HOUSSE EXTÉRIEURE DEVANT ET DERRIÈRE SUR DEMANDE",20000
"1208740","15996","109182","SERIGRAPHIE VELLONE ENR.","Fermé",2017-06-07,2019-06-06,"VETR,A,PANTALON CARGO ET PANTALON DROIT",261056
"1206398","15858","114534","SERVICE DE REMORQUAGE LONGUEUIL INC.","Fermé",2017-06-05,2018-06-04,"MARO,Z,Service de remorquage des véhicules qui bloquent les entrées charretières ou la circulation, les véhicules abandonnés et ceux qui entravent les voies réservées sur le territoire de SUD-OUEST, 12 mois",19470
"1207964","15867","116997","ST-GERMAIN EGOUTS ET AQUEDUCS INC.","Ouvert",2017-06-13,2019-10-12,"TPAE,A,FOURNITURE DE SELLETTES ET MANCHONS POUR EGOUT ET AQUEDUC",435624.36
"1207735","15980","114092","CREUSAGE RL","Fermé",2017-06-05,2018-12-31,"MARO,Z,Service d'excavation pneumatique pour la réparation mineure, le remplacement de boîtiers de service d'eau et le nettoyage de boîtiers de vannes de rues - approximativement 2 ans, EXCLUSIVE RosemontLa Petite-Patrie",73200
"1209430","16202","157864","SAUVER REMORQUAGES","Fermé",2017-11-01,2018-04-30,"MARO,Z,SERVICE DE REMORQUAGE POUR LES OPÉRATIONS DE DÉNEIGEMENT DE L'ARRONDISSEMENT CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCHE",230000
"1212529","14815","181573","LE GROUPE J.S.V. INC","Ouvert",2018-02-01,2019-02-28,"OUMA,A,OUTILS MANUELS ABRASIFS, DE MEULAGE, TRONCONNAGE, LUBRIFIANTS, MARQUE WALTER",44782.89
"1213701","16373","109546","LES ENTREPRISES CAPPCO INC.","Fermé",2017-09-15,2018-03-15,"OUMA,A,OUTILS MANUELS POUR L'HIVER",27669.33
"C1134273","15071","150274","AQUATECHNO SPECIALISTES AQUATIQUES INC.","Fermé",2017-09-01,2021-06-22,"ENPC,A,Fourniture et livraison de briquettes de chlore pourchlorinateurs Pulsar pour les piscines de la Ville de Montréal",1264346.68
"C913730","12491","120217","RECYCLAGE NOTRE-DAME INC.","Ouvert",2018-01-01,2019-01-31,"ENNA,Z,ÉLIMINATION DES MATIÈRES RÉSIDUELLES 2013-2018",770165.69
"C1114660","14634","120217","RECYCLAGE NOTRE-DAME INC.","Ouvert",2018-01-01,2019-02-28,"ENNA,Z,DGMR VALORISATION ROC BETON ASPHALTE ECOCENTRE RDP-PAT",193183.57
"C1130774","13817","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2018-01-01,2019-01-31,"ENNA,Z,Réception, tri et mise en marché de résidus de construction, de rénovation, de démolition et dencombrants pour lagglomération et les écocentres de Montréal, 2014-2018",102386.99
"C913707","12491","120217","RECYCLAGE NOTRE-DAME INC.","Ouvert",2018-01-01,2019-01-31,"ENNA,Z,ÉLIMINATION DES MATIÈRES RÉSIDUELLES 2013-2018",430954.9
"C913238","12491","120217","RECYCLAGE NOTRE-DAME INC.","Ouvert",2018-01-01,2019-01-31,"ENNA,Z,ÉLIMINATION DES MATIÈRES RÉSIDUELLES 2013-2018",3211330.97
"1217571","16202","107584","REMORQUAGE CENTRE-VILLE","Fermé",2017-11-01,2018-04-30,"MARO,Z,SERVICE DE REMORQUAGE POUR LES OPÉRATIONS DE DÉNEIGEMENT DE L'ARRONDISSEMENT DU SUD-OUEST",54000
"1218120","16096","394036","AXIA SERVICES","Fermé",2017-08-01,2018-07-31,"SESA,A,Service de gardiennage pour l'arrondissement de Verdun",211626
"C1130120","12590","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2018-01-01,2019-01-31,"ENNA,Z,RECEPTION, TRI ET MISE EN MARCHE DES CRD ET ENCOMBRANTS.",271692.38
"C913712","12491","120217","RECYCLAGE NOTRE-DAME INC.","Ouvert",2018-01-01,2019-03-01,"ENNA,Z,ÉLIMINATION DES MATIÈRES RÉSIDUELLES 2013-2018",793096.7
"1221335","14128","114092","CREUSAGE RL","Fermé",2017-09-05,2018-09-04,"TPAE,Z,A55, Entente EXCLUSIF Mercier-Hochelaga-Maisonneuve, nettoyage et l'inspection par caméra des conduites d'égouts incluant le transport et la disposition des résidus, renouvellement 2017",65679.5
"1223130","16325","119768","LES CUIRS MARIO INC.","Fermé",2017-09-06,2018-09-05,"VETR,Z,ACQUISITION ET LIVRAISON D'ETUIS A RADIO POUR LE SPVM",39810
"1223365","15986","297119","GROUPE SANYVAN INC.","Fermé",2017-09-05,2018-09-04,"TPAE,Z,EXCLUSIVE À  Côte-des-Neiges - Notre-Dame-de-Grâce, Service de nettoyage et dinspection par caméra des conduites dégouts incluant le transport et la disposition des résidus, 1 an",101842.5
"1222533","16273","387081","LES MEDAILLES LANAUDIERE","Ouvert",2017-09-08,2022-09-07,"ENNA,A,MEDAILLES, PERMIS (LICENCE) POUR CHIENS ET CHATS, ANNEAU DOUBLE ET LIVRAISON INCLUS, ENTENTE DE 5 ANS. INSCRIPTION RECTO-VERSO DU LOGO DE LA VILLE ET 311, CATEGORIE ET NUMÉROTATION.",40790.4
"1223545","15251","116284","UAP INC.","Fermé",2017-09-28,2017-11-02,"Fermer l'entente, VOIR ENTENTE 1231915 Traction MARO,A,ENTENTE PERMANENTE VILLE, ACQUISITION DE PIÈCES ÉLECRIQUES ET ÉLECTRONIQUES DORIGINE DE MARQUE GROTE POUR VÉHICULES ET ÉQUIPEMENTS MOTORISÉS, ENTENTE DE 48 MOIS",826045.04
"1224056","15794","430525","VALMONT WEST COAST ENGINEERING","Fermé",2017-10-02,2020-10-01,"TPAE,Z,Fourniture sur demande de fûts, potences, rallonges et capuchons pour feux de circulation - 36 mois",4398146.25
"1226306","16218","2378","BELL CANADA","Ouvert",2017-09-28,2019-09-27,"SPAG,Z,PRESTATION DE SERVICES EN ARCHITECTURE TI (ARCHITECTURE, ANALYSE DE MARCHÉ ET GESTION DU PORTEFEUILLE DACTIFS TI) ET EN SÉCURITÉ TI (CERTIFICATION, GOUVERNANCE, AUDITS  ET TECHNOLOGIES DE SÉCURITÉ) LOT 3",945000
"1226318","16218","117623","CONSEILLERS EN GESTION ET INFORMATIQUE CGI  INC.","Ouvert",2017-09-28,2019-09-27,"SPAG,Z,:  PRESTATION DE SERVICES EN ARCHITECTURE TI (ARCHITECTURE, ANALYSE DE MARCHÉ ET GESTION DU PORTEFEUILLE DACTIFS TI) ET EN SÉCURITÉ TI (CERTIFICATION, GOUVERNANCE, AUDITS  ET TECHNOLOGIES DE SÉCURITÉ) LOT 4",1673100
"1226243","16214","115622","SYSTEMATIX TECHNOLOGIES DE L'INFORMATIONS INC","Ouvert",2017-09-28,2019-09-27,"SPAG,Z,PRESTATION DE SERVICES DE DÉVELOPPEMENT POUR SOLUTIONS NUMÉRIQUES, SITES WEB ET SYSTÈMES MISSIONS, (LOT 4)",649740
"1226684","16266","117623","CONSEILLERS EN GESTION ET INFORMATIQUE CGI  INC.","Ouvert",2017-09-28,2019-09-27,"SPAG,Z,PRESTATION DE SERVICES TI EN DÉVELOPPEMENT, INTÉGRATION ET CONFIGURATION DE SOLUTIONS D'AFFAIRES POUR LES SERVICES DE LA GESTION DU TERRITOIRE DE LA VILLE DE MONTRÉAL (LOT 4)",843870
"1126839","14420","322179","SOCIETE CONSEIL GROUPE LGS","Fermé",2016-06-01,2018-05-31,"SPAG,Z,SERVICES PROFESSIONNELS VARIÉE EN INFORMATIQUE DANS LE BUT DE SUPPORTER LE SERVICE DES TECHNOLOGIES DE L INFORMATION (ENTENTE 12)",650768.84
"1242884",,"482054","9368-1476 QUEBEC INC.","Ouvert",2017-12-04,2018-12-31,"VETR,Z,JEANS DENIM EXTENSIBLE POUR FEMME",21700
"1243932","16491","394036","AXIA SERVICES","Ouvert",2017-12-05,2020-12-31,"ENET,Z,ENTENTE EXCLUSIVE D'ENTRETIEN SANITAIRE DE LA MAISON DE LA CULTURE DE VERDUN",258814.92
"1246089","16355","128077","GROUPE TRIUM INC.","Fermé",2017-11-28,2018-11-27,"VETR,Z,SPVM - VESTE DE SÉCURITÉ HAUTE VISIBILITÉ",32568.75
"1246158","16355","147814","LES INDUSTRIES PAMILIO INC.","Fermé",2017-11-24,2018-11-23,"VETR,Z,TUQUE BLEU/NOIR - SPVM ET VDM",68410
"1246263",,"126214","MARCHILDON CENTRE DU PIED","Fermé",2018-01-01,2019-12-31,"Confection de bottes cavalerie de différentes grandeurs sur demande pour le personnel autorisé du SPVM (2 ans)",10000
"1251060",,"115352","LOUIS HEBERT UNIFORME INC.","Fermé",2018-03-20,2019-03-19,"VETR,A,VÊTEMENTS SOUDEURS",21700
"1252693","16374","145340","COMPILATION DE BASE DE DONNEES TRAFFIC INC.","Fermé",2018-01-15,2020-01-15,"SPAG,Z,SP RELEVES DE CIRCULATION PAR TRAITEMENT DE L'IMAGE",563544
"1253996","16362","120217","RECYCLAGE NOTRE-DAME INC.","Ouvert",2021-01-26,2023-01-25,"ENNA,A,SITE DÉLIMINATION POUR DISPOSITION DE RÉSIDUS DE BALAIS ET DE DÉPÔTS À NEIGE",4265182
"1261623","16542","136941","KEMIRA WATER SOLUTIONS CANADA INC.","Fermé",2018-04-23,2022-12-31,"ENPC,A,FOURNITURE ET LIRAISON DE SULFATE D'ALUMINIUM ACIDIFIE 5 % (ALS-05)",799250
"1263764","16560","226231","MVC OCEAN INC.","Ouvert",2018-04-01,2021-03-31,"TPAE,Z,SERVICE DE PLONGEURS-SCAPHANDRIERS ET DE ROBOTS POUR L'INSPECTION SOUS-MARINE DES BASSINS D'EAU POTABLE ET DES CONDUITES",564810.38
"1265649",,"152648","CIMA+ S.E.N.C.","Ouvert",2018-03-29,2021-03-29,"SPAG,Z,PRESTATION DE SERVICES TI POUR LA MISE À NIVEAU DES TECHNOLOGIES OPÉRATIONNELLES ET DES CONTRÔLES DE PROCÉDÉS DU SERVICE DE LEAU _LOT4",1122000
"1266097","15854","605355","LA COMPAGNIE DE LOCATION D'AUTOS ENTERPRISE CANADA.","Fermé",2018-04-04,2020-04-03,"MARO,A,ENTENTE VILLE, Location de camionnettes à deux (2) roues motrices, 4X2 cabine simple (2 portes), cabine allongé (2 ou 4 portes), ou cabine déquipe (4 portes/6 places), entente fini le 3 avril 2020, 2 x 12 mois option, 17-15854",1512550
"1266590","16640","120376","GROUPE NICKY","Ouvert",2018-04-10,2022-04-09,"ENNA,Z,A54 ENTENTE EXCLUSIVE, Division des parcs et de lhorticulture, Service d'arrosage d'arbres, de saillies, de plates-bandes et de bacs-à-fleurs pour l'arrondissement duPlateau-Mont-Royal 2018-2021.",551527.74
"1269137","16637","696615","YAM","Ouvert",2018-04-09,2020-04-08,"ENET,A,Inspection et enlèvement des graffitis sur le domaine privé pourlarrondissement Rosemont - La Petite-Patrie",208339
"1273618","16731","178481","GROUPE MARLEB INC.","Ouvert",2018-06-01,2021-05-31,"ENET,Z,Service d'entretien ménager de la maison de la culture Claude-Léveillée",158490
"1276659","16694","613399","GELPAC POLY INC.","Ouvert",2018-05-16,2021-05-15,"ENNA,A,SACS À ORDURES",205222.95
"1283145","16911","136249","EXCAVATION LEOPOLD ST-AMOUR INC.","Fermé",2018-06-18,2020-06-17,"MARO,Z,LOCATION D'UNE MINI-EXCAVATRICE AVEC OPÉRATEUR POUR L'ARRONDISSEMENT AHUNTSIC - CARTIERVILLE POUR UNE PÉRIODE DE 2 ANS",157395
