champ,description_question,variable_reponse,description_reponse
q3b,Q3B) Laquelle des affirmations suivantes s´applique à votre situation?,3,Mes deux parents sont nés à l’extérieur du Canada
q3b,Q3B) Laquelle des affirmations suivantes s´applique à votre situation?,9,Je ne sais pas / je préfère ne pas répondre
classc,CLASSC) Classification,1,Canadien
classc,CLASSC) Classification,2,Néo-Canadien
classc,CLASSC) Classification,3,Immigrant
classc,CLASSC) Classification,4,N/D
q4,Q4) Êtes-vous actuellement : (Base : nés à l'extérieur du Canada),1,Citoyen(ne) canadien(ne)
q4,Q4) Êtes-vous actuellement : (Base : nés à l'extérieur du Canada),2,Résident(e) permanent(e)
q4,Q4) Êtes-vous actuellement : (Base : nés à l'extérieur du Canada),3,Résident(e) non permanent(e)
q4,Q4) Êtes-vous actuellement : (Base : nés à l'extérieur du Canada),99,Je préfère ne pas répondre
q4t,Q4T) Êtes-vous actuellement : (Base totale),1,Né(e) au Canada
q4t,Q4T) Êtes-vous actuellement : (Base totale),2,Immigrant(e) - Citoyen(ne) canadien(ne)
q4t,Q4T) Êtes-vous actuellement : (Base totale),3,Immigrant(e) - Résident(e) permanent(e)
q4t,Q4T) Êtes-vous actuellement : (Base totale),4,Immigrant(e) - Résident(e) non permanent(e)
q4t,Q4T) Êtes-vous actuellement : (Base totale),5,Je préfère ne pas répondre
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),1,Réfugié
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),2,Demandeur d’asile
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),3,Étudiant étranger
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),4,Travailleur temporaire
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),5,Visiteur
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),6,Sans statut
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),97,Autre
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),98,Je ne sais pas
q4a,Q4A) Êtes-vous : (Base : résidents non permanents),99,Je préfère ne pas répondre
q5,Q5) Êtes-vous arrivé au Canada : (Base : nés à l'extérieur du Canada),1,Depuis 5 ans ou moins
q5,Q5) Êtes-vous arrivé au Canada : (Base : nés à l'extérieur du Canada),2,De 8 ans à 10 ans
q5,Q5) Êtes-vous arrivé au Canada : (Base : nés à l'extérieur du Canada),3,De 6 ans à 7 ans
q5,Q5) Êtes-vous arrivé au Canada : (Base : nés à l'extérieur du Canada),4,Depuis plus de 10 ans
q5,Q5) Êtes-vous arrivé au Canada : (Base : nés à l'extérieur du Canada),99,Je préfère ne pas répondre
qquot_m1,QQUOT) Variable de calcul des Quotas,1,Personnes nées au Canada - Non-immigrants
qquot_m1,QQUOT) Variable de calcul des Quotas,2,Personnes nées hors Canada - Immigrants
qquot_m1,QQUOT) Variable de calcul des Quotas,3,Personnes nées hors Canada - Immigrants reçus & Arrivées au
qquot_m1,QQUOT) Variable de calcul des Quotas,4,- 5 ans ou moins
qquot_m1,QQUOT) Variable de calcul des Quotas,5,- 6 à 7 ans
qquot_m1,QQUOT) Variable de calcul des Quotas,6,Personnes nées hors Canada - Immigrants reçus & Arrivées au
qquot_m1,QQUOT) Variable de calcul des Quotas,7,Personnes nées hors Canada - Résidents non permanents
qquot_m1,QQUOT) Variable de calcul des Quotas,8,- Travailleurs temporaires
qquot_m1,QQUOT) Variable de calcul des Quotas,9,- Étudiants étrangers
qquot_m1,QQUOT) Variable de calcul des Quotas,10,- Autres statuts de résidents non permanents
qquot_m2,QQUOT) Variable de calcul des Quotas,1,Personnes nées au Canada - Non-immigrants
qquot_m2,QQUOT) Variable de calcul des Quotas,2,Personnes nées hors Canada - Immigrants
qquot_m2,QQUOT) Variable de calcul des Quotas,3,Personnes nées hors Canada - Immigrants reçus & Arrivées au
qquot_m2,QQUOT) Variable de calcul des Quotas,4,- 5 ans ou moins
qquot_m2,QQUOT) Variable de calcul des Quotas,5,- 6 à 7 ans
qquot_m2,QQUOT) Variable de calcul des Quotas,6,Personnes nées hors Canada - Immigrants reçus & Arrivées au
qquot_m2,QQUOT) Variable de calcul des Quotas,7,Personnes nées hors Canada - Résidents non permanents
qquot_m2,QQUOT) Variable de calcul des Quotas,8,- Travailleurs temporaires
qquot_m2,QQUOT) Variable de calcul des Quotas,9,- Étudiants étrangers
qquot_m2,QQUOT) Variable de calcul des Quotas,10,- Autres statuts de résidents non permanents
qquot_m3,QQUOT) Variable de calcul des Quotas,1,Personnes nées au Canada - Non-immigrants
qquot_m3,QQUOT) Variable de calcul des Quotas,2,Personnes nées hors Canada - Immigrants
qquot_m3,QQUOT) Variable de calcul des Quotas,3,Personnes nées hors Canada - Immigrants reçus & Arrivées au
qquot_m3,QQUOT) Variable de calcul des Quotas,4,- 5 ans ou moins
qquot_m3,QQUOT) Variable de calcul des Quotas,5,- 6 à 7 ans
qquot_m3,QQUOT) Variable de calcul des Quotas,6,Personnes nées hors Canada - Immigrants reçus & Arrivées au
qquot_m3,QQUOT) Variable de calcul des Quotas,7,Personnes nées hors Canada - Résidents non permanents
qquot_m3,QQUOT) Variable de calcul des Quotas,8,- Travailleurs temporaires
qquot_m3,QQUOT) Variable de calcul des Quotas,9,- Étudiants étrangers
qquot_m3,QQUOT) Variable de calcul des Quotas,10,- Autres statuts de résidents non permanents
q6,"Q6) En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants (mineurs ou majeurs)?",1,1 seule personne
q6,"Q6) En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants (mineurs ou majeurs)?",2,2 personnes
q6,"Q6) En vous incluant, combien de personnes habitent dans votre logement, en incluant les adultes et les enfants (mineurs ou majeurs)?",3,3 personnes
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),1,J’habite en couple sans enfant vivant à la maison
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),2,J’habite en couple avec enfant(s) vivant à la maison
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),3,J’habite seul(e) avec enfant(s) vivant à la maison
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),4,J’habite chez mes parents ou l’un de mes parents
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),5,J’habite avec d’autres personnes que mes parents (ex : coloc
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),6,"Foyer intergénérationnel (enfants, parents et grands-parents"
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),97,Autre situation
q7,Q7) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base : foyers de 2 personnes ou plus),99,Je préfère ne pas répondre
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),1,Habite seul
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),2,J’habite en couple sans enfant vivant à la maison
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),3,J’habite en couple avec enfant(s) vivant à la maison
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),4,J’habite seul(e) avec enfant(s) vivant à la maison
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),5,J’habite chez mes parents ou l’un de mes parents
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),6,J’habite avec d’autres personnes que mes parents (ex : coloc
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),7,"Foyer intergénérationnel (enfants, parents et grands-parents"
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),8,Autre situation
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),9,Je préfère ne pas répondre
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),10,FOYERS AVEC ENFANT(S)
q7t_m1,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),11,FOYERS SANS ENFANT
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),1,Habite seul
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),2,J’habite en couple sans enfant vivant à la maison
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),3,J’habite en couple avec enfant(s) vivant à la maison
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),4,J’habite seul(e) avec enfant(s) vivant à la maison
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),5,J’habite chez mes parents ou l’un de mes parents
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),6,J’habite avec d’autres personnes que mes parents (ex : coloc
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),7,"Foyer intergénérationnel (enfants, parents et grands-parents"
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),8,Autre situation
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),9,Je préfère ne pas répondre
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),10,FOYERS AVEC ENFANT(S)
q7t_m2,Q7T) Laquelle des situations suivantes s´applique à votre logement? Note : le terme « enfants » réfère à des enfants dont vous détenez la garde totale ou partagée. Les enfants peuvent être d´âge mineur ou majeur. (Base totale),11,FOYERS SANS ENFANT
q8,Q8) Combien de chambres à coucher (pièces fermées) compte votre logement?,0,Aucune (0)
q8,Q8) Combien de chambres à coucher (pièces fermées) compte votre logement?,1,1
q8,Q8) Combien de chambres à coucher (pièces fermées) compte votre logement?,2,2
q8,Q8) Combien de chambres à coucher (pièces fermées) compte votre logement?,3,3
q8,Q8) Combien de chambres à coucher (pièces fermées) compte votre logement?,4,Plus de 3
q8,Q8) Combien de chambres à coucher (pièces fermées) compte votre logement?,99,Je préfère ne pas répondre
q9,Q9) Êtes-vous (ou un membre de votre ménage) propriétaire ou locataire de votre résidence principale actuelle?,1,Propriétaire
q9,Q9) Êtes-vous (ou un membre de votre ménage) propriétaire ou locataire de votre résidence principale actuelle?,2,Locataire (même si aucun loyer en argent n’est versé)
q9,Q9) Êtes-vous (ou un membre de votre ménage) propriétaire ou locataire de votre résidence principale actuelle?,99,Je ne sais pas / Je préfère ne pas répondre
q10a,"Q10A) Des problèmes d´insalubrité dans votre logement, tels que infiltrations d'eau, odeurs de moisi, taches de moisissures présence de punaises de lit ou blattes (coquerelles)   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problè",1,Oui
q10a,"Q10A) Des problèmes d´insalubrité dans votre logement, tels que infiltrations d'eau, odeurs de moisi, taches de moisissures présence de punaises de lit ou blattes (coquerelles)   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problè",2,Non
q10a,"Q10A) Des problèmes d´insalubrité dans votre logement, tels que infiltrations d'eau, odeurs de moisi, taches de moisissures présence de punaises de lit ou blattes (coquerelles)   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problè",9,NSP/NRP
q10b,"Q10B) Une menace d´éviction de la part de votre propriétaire   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",1,Oui
q10b,"Q10B) Une menace d´éviction de la part de votre propriétaire   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",2,Non
q10b,"Q10B) Une menace d´éviction de la part de votre propriétaire   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",9,NSP/NRP
q10c,"Q10C) Une éviction par votre propriétaire   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",1,Oui
q10c,"Q10C) Une éviction par votre propriétaire   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",2,Non
q10c,"Q10C) Une éviction par votre propriétaire   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",9,NSP/NRP
q10d,"Q10D) Un conflit avec votre propriétaire (par exemple, harcèlement, menace, dispute)   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",1,Oui
q10d,"Q10D) Un conflit avec votre propriétaire (par exemple, harcèlement, menace, dispute)   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",2,Non
q10d,"Q10D) Un conflit avec votre propriétaire (par exemple, harcèlement, menace, dispute)   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",9,NSP/NRP
q10e,"Q10E) Problème de voisinage causé par des différences culturelles   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",1,Oui
q10e,"Q10E) Problème de voisinage causé par des différences culturelles   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",2,Non
q10e,"Q10E) Problème de voisinage causé par des différences culturelles   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",9,NSP/NRP
q10f,"Q10F) Un logement trop petit pour le nombre de personnes qui l´occupent   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",1,Oui
q10f,"Q10F) Un logement trop petit pour le nombre de personnes qui l´occupent   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",2,Non
q10f,"Q10F) Un logement trop petit pour le nombre de personnes qui l´occupent   (Au cours des trois dernières années, avez-vous vécu, oui ou non, les problèmes suivants ?) (Base : Locataires)",9,NSP/NRP
q11a,"Q11A) Refus direct ou indirect en raison d´une discrimination    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11a,"Q11A) Refus direct ou indirect en raison d´une discrimination    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11a,"Q11A) Refus direct ou indirect en raison d´une discrimination    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11b,"Q11B) Non-connaissance du français ou de l´anglais    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11b,"Q11B) Non-connaissance du français ou de l´anglais    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11b,"Q11B) Non-connaissance du français ou de l´anglais    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11c,"Q11C) Vous ne saviez pas comment chercher un logement    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11c,"Q11C) Vous ne saviez pas comment chercher un logement    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11c,"Q11C) Vous ne saviez pas comment chercher un logement    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11d,"Q11D) Vous n´aviez pas de famille ou d'amis pour vous aider    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11d,"Q11D) Vous n´aviez pas de famille ou d'amis pour vous aider    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11d,"Q11D) Vous n´aviez pas de famille ou d'amis pour vous aider    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11e,"Q11E) Loyer trop cher    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11e,"Q11E) Loyer trop cher    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11e,"Q11E) Loyer trop cher    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11f,"Q11F) Vous ne trouviez pas de logement qui vous convient    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11f,"Q11F) Vous ne trouviez pas de logement qui vous convient    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11f,"Q11F) Vous ne trouviez pas de logement qui vous convient    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11g,"Q11G) Il y avait peu de logements disponibles    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11g,"Q11G) Il y avait peu de logements disponibles    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11g,"Q11G) Il y avait peu de logements disponibles    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11h,"Q11H) Vous n´aviez pas de garant/de cosignataire/de cote de crédit    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11h,"Q11H) Vous n´aviez pas de garant/de cosignataire/de cote de crédit    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11h,"Q11H) Vous n´aviez pas de garant/de cosignataire/de cote de crédit    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q11i,"Q11I) Mauvaises interactions avec le propriétaire    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",1,Oui
q11i,"Q11I) Mauvaises interactions avec le propriétaire    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",2,Non
q11i,"Q11I) Mauvaises interactions avec le propriétaire    (Au cours des trois dernières années, avez-vous, oui ou non, connu les difficultés suivantes pour trouver un logement qui correspond à vos besoins?) (Base : Locataires)",9,NSP/NRP
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",1,Employé à temps plein (30 heures ou plus par semaine)
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",2,Employé à temps partiel
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",3,À votre compte / travailleur autonome / entrepreneur
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",4,"Ne travaille pas actuellement, mais en recherche d'emploi"
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",5,Ne travaille pas actuellement et ne recherche pas d’emploi /
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",6,Étudiant
