OBJECTID,ARRONDISSEMENT,NBR_PLA,X,Y,ID_STA,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,NBR_PLA_I,Note_FR,Note_EN,Longitude,Latitude
39,Rosemont - La Petite-Patrie,300,300503,5046378.01735965,39,Municipale,"4101, rue Sherbrooke Est (P2)","4581,  rue Sherbrooke (P2)",18h à 7h,6 p.m to 7 a.m,Rosemont - La Petite-Patrie,350,Des travaux sont prévus au cours de l'année 2019 dans le  stationnement de l'Insectarium qui sera fermé. Espace réservé à l'entrepreneur qui doit y installer ses roulottes et périmètre de chantier. Date de fermeture pas encore connue.,,-73.55504135,45.55730074
40,Saint-Léonard,45,297596,5049373.01650876,40,Municipale,Coin rue Jarry et boul. Lacordaire,Corner rue Jarry  and boul. Lacordaire,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,45,,,-73.59232082,45.58422667
41,Saint-Léonard,32,298270,5049948.02202207,41,Municipale,Entre la rue Jarry et le boul. Métropolitain,Between rue Jarry and boul. Metropolitain,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,32,,,-73.58369122,45.58940734
42,Le Plateau-Mont-Royal,43,296933,5043058.01683363,42,Stationnement de Montréal,Rue Saint-Dominique entre la rue Bernard et la rue Saint-Viateur,Rue Saint-Dominique between rue Bernard  and rue Saint-Viateur,21h à 7h,9 p.m to 7 a.m,Le Plateau-Mont-Royal,43,Sauf places réservées,Except reserved spaces,-73.60071559,45.52739502
43,Ville-Marie,114,297450,5040309.0214347,43,Stationnement de Montréal,Remembrance sur le Mont-Royal (Centre de la Montagne),Remembrance on Mount Royal (Centre de la Montagne),21h à 7h,9 p.m to 7 a.m,Ville-Marie,114,,,-73.59405571,45.50266406
44,Le Plateau-Mont-Royal,113,299665,5042596.02223083,44,Stationnement de Montréal,Rue Sherbrooke entre la rue Calixa-Lavallée et le Parc Lafontaine,Rue Sherbrooke between rue Calixa-Lavallée  and Parc Lafontaine,21h à 7h,9 p.m to 7 a.m,Le Plateau-Mont-Royal,113,Section horaire,Hourly spaces,-73.56573538,45.52326325
45,Ville-Marie,36,299910,5039651.01790843,45,Stationnement de Montréal,Rue Notre-Dame entre la rue De l'Inspecteur et la rue De la Cathédrale,Rue Notre-Dame between rue De l'Inspecteur and rue De la Cathédrale,21h à 7h,9 p.m to 7 a.m,Ville-Marie,36,Côté ouest seulement.  Section horaire,West side only. Hourly spaces,-73.56256973,45.49676468
46,Ville-Marie,24,299750,5039751.01756279,46,Stationnement de Montréal,Mansfield côté ouest entre Saint-Antoine et Saint-Jacques,Mansfield (West site) between Saint-Antoine and Saint-Jacques,21h à 7h,9 p.m to 7 a.m,Ville-Marie,24,,,-73.56461798,45.49766338
47,Rosemont - La Petite-Patrie,45,296053,5044554.02126383,47,Stationnement de Montréal,Rue Saint-André entre la rue Jean-Talon et la rue Bélanger,Rue Saint-André  between rue Jean-Talon  and rue Bélanger,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,45,,,-73.61200811,45.54084608
48,Outremont,10,297177,5042059.02038654,48,Municipale,"Sud du 5123, av. Durocher","South of 5123, av. Durocher",21h à 7h,9 p.m to 7 a.m,Outremont,10,,,-73.59757634,45.51840834
49,Outremont,21,297104,5041966.02140805,49,Municipale,"Sud du 142, av. Querbes","South of 142, av. Querbes",21h à 7h,9 p.m to 7 a.m,Outremont,21,,,-73.59850928,45.51757069
50,Saint-Léonard,47,299175,5049536.02224598,50,Municipale,Rue Liénart et rue Ladauversière,rue Liénart  and rue Ladauversière,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,47,,,-73.57208786,45.58570796
51,Saint-Léonard,18,297620,5047993.02327873,51,Municipale,Boul. Provencher entre Buies et Colbert,Boul. Provencher between Buies and Colbert,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,18,,,-73.59199298,45.57180927
52,Saint-Léonard,619,297150,5049466.01548725,52,Municipale,Entre les rue Des Galets et le boul. Robert,Between rue Des Galets and boul. Robert,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,619,,,-73.59803775,45.58505875
53,Saint-Léonard,12,296671,5048795.02070675,53,Municipale,Côté sud à l'est du boul. Provencher,"South side, East of boul. Provencher",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,12,,,-73.60416505,45.57901547
54,Saint-Léonard,12,297875,5050241.02030929,54,Municipale,Côté sud entre les boul. Lacordaire et Langelier,South side between boul. Lacordaire and Langelier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,12,,,-73.58875763,45.59204002
55,Villeray - Saint-Michel - Parc-Extension,134,296524,5047245.02106363,55,Stationnement de Montréal,14e Avenue entre rue Jarry et boul. Crémazie,14e Avenue between rue Jarry and boul. Crémazie,21h à 7h,9 p.m to 7 a.m,Villeray - Saint-Michel - Parc-Extension,134,,,-73.6060223,45.56506636
56,Le Sud-Ouest,23,298102,5037469.01724943,56,Stationnement de Montréal,"Place Saint-Henri, entre la rue Saint-Jacques et la rue Notre-Dame Ouest","Place Saint-Henri, between rue Saint-Jacques and rue Notre-Dame Ouest",18h à 7h,6 p.m to 7 a.m,Le Sud-Ouest,23,Section horaire,Hourly spaces,-73.58567367,45.47711506
57,Rosemont - La Petite-Patrie,17,298917,5045405.01342199,57,Stationnement de Montréal,6e Avenue entre la rue Dandurand et la rue Masson,6e Avenue between rue Dandurand and rue Masson,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,17,Côté sud seulement.  Section horaire,South side only. Hourly spaces,-73.57534449,45.54853367
58,Ahunstic-Cartierville,22,292433,5046689.30741283,58,Stationnement de Montréal,Rue Fleury près de la rue Chambord,Rue Fleury near rue Chambord,21h à 7h,9 p.m to 7 a.m,Ahunstic-Cartierville,22,Section horaire,Hourly spaces,-73.65839023,45.56000529
59,Rosemont - La Petite-Patrie,350,300255.514390465,5046869.04476539,59,Municipale,"4581, rue Sherbrooke Est (P2)","4581,  rue Sherbrooke (P2)",18h à 7h,6 p.m to 7 a.m,Rosemont - La Petite-Patrie,350,,,-73.55821431,45.56171753
60,Le Sud-Ouest,221,297239.945446361,5036536.71724148,60,Municipale,"Complexe Gadbois, accès rue Notre-Dame Ouest","Complexe Gadbois, access on rue Notre-Dame Ouest",22h à 7h,10 p.m to 7 a.m,Le Sud-Ouest,221,,,-73.59668385,45.46871699
61,Lachine,11,287917,5033177.06288712,61,Municipale,Parc Summerlea - Boul Saint-Joseph (entre 52e avenue et 54e avenue),Summerlea Park - St-Joseph Bouleveard (between 52e avenue and 54e avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,11,,,-73.71578956,45.43832215
62,Lachine,80,289663,5032556.42296808,62,Municipale,Parc Saint-Louis - Boulevard Saint-Joseph (entre 32e avenue et 34 e avenue),St-Louis Park - St-Joseph Boulevard (between 32th Avenue and 34th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,80,,,-73.69344853,45.43277731
63,Lachine,18,289827,5032702.60708127,63,Municipale,Entre la rue Notre-Dame et le boulevard Saint-Joseph,Between Notre-Dame Street and St-Joseph Boulevard,21 h à 7 h,9 p.m to 7 a.m,Lachine,18,,,-73.69135977,45.43409633
64,Lachine,65,289884,5032614.14854114,64,Municipale,La maison du brasseur,La maison du brasseur,21 h à 7 h,9 p.m to 7 a.m,Lachine,65,,,-73.69062615,45.43330155
65,Lachine,21,290046,5032684.30531435,65,Municipale,Boulevard Saint-Joseph (entre 27e avenue et 28e avenue),St-Joseph Boulevard (between 27th Avenue and 28th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,21,,,-73.68856225,45.43393631
66,Lachine,26,290244,5032688.49571891,66,Municipale,Parc des Saules,Des Saules Park,21 h à 7 h,9 p.m to 7 a.m,Lachine,26,,,-73.68602844,45.43397817
67,Lachine,32,290405,5032573.36460369,67,Municipale,Club de Canoë de Course,Club de Canoë de Course,21 h à 7 h,9 p.m to 7 a.m,Lachine,32,,,-73.68397362,45.4329454
68,Lachine,19,290655,5032648.46185388,68,Municipale,Mairie - Boulevard Saint-Joseph (entre 18e avenue et 19e avenue),City Hall - St-Joseph Boulevard (between 18th Avenue and 19th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,19,,,-73.68077474,45.4336263
69,Lachine,48,290687,5032612.01833548,69,Municipale,Boulevard Saint-Joseph (entre 17e avenue et 18e avenue),Saint-Joseph Boulevard (between 17th avenue et 18th avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,48,,,-73.6803734,45.43329903
70,Lachine,47,291173,5032428.49061698,70,Municipale,Boulevard Saint-Joseph/12e avenue,Saint-Joseph Boulevard/12th avenue,21 h à 7 h,9 p.m to 7 a.m,Lachine,47,,,-73.67415101,45.43165718
71,Lachine,142,291312,5032078.29680788,71,Municipale,Parc René-Lévesque,René-Lévesque Park,21 h à 7 h,9 p.m to 7 a.m,Lachine,142,,,-73.67237172,45.42850868
72,Lachine,25,291789,5032184.52706377,72,Municipale,Musée Lachine,Lachine Museum,21 h à 7 h,9 p.m to 7 a.m,Lachine,25,,,-73.66627008,45.42947364
73,Lachine,94,291723,5033130.33837615,73,Municipale,Rue Victoria (entre 6e avenue et 1ère avenue),Victoria Road (between 6th Avenue and 1st Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,94,,,-73.6671379,45.43798328
74,Lachine,60,291516,5032899.47608779,74,Municipale,Rue Notre-Dame (entre 6e avenue et 7e avenue),Notre-Dame Road (between 6th Avenue and 7th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,60,,,-73.6697867,45.43590198
75,Lachine,143,291393,5033051.4007552,75,Municipale,Rue Victoria/Rue William McDonald (entre 6e et 10e avenue),Victoria Road/William McDonald Road (between 6th Avenue and 10th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,143,,,-73.67136358,45.43726668
76,Lachine,110,290986,5032945.550536,77,Municipale,Rue Victoria/William-MacDonald (entre 15e avenue et 10e avenue),Victoria/William-MacDonald Road (between 15th Avenue et 10th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,110,,,-73.67655672,45.43630627
77,Lachine,85,290833,5032904.0865329,78,Municipale,Rue Victoria/William-MacDonald (entre 17e avenue et 15e avenue),Victoria/William-MacDonald Road (between 17th avenue et 15th avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,85,,,-73.67851608,45.43593015
78,Lachine,55,291403,5032711.26791743,79,Municipale,Entre Rue Saint-Louis et rue Notre-Dame (entre 9e avenue et 8e avenue),Between St-Louis Road and Notre-Dame Road (between 9th Avenue and 10th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,54,,,-73.67122625,45.43420621
79,Lachine,63,291258,5032726.70940821,80,Municipale,Entre Rue Saint-Louis et rue Notre-Dame (entre 11e avenue et 10e avenue),Between St-Louis Road and Notre-Dame Road (between 11th Avenue and 10th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,63,,,-73.67307391,45.43434236
80,Lachine,28,290967.173051897,5032733.52006574,81,Municipale,Poste de Police de quartier (entre 15e avenue et 14e avenue),Police Station (between 15th and 14th avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,28,,,-73.67679783,45.43439794
81,Lachine,52,291101,5032846.11093571,82,Municipale,Rue Notre-Dame (entre 13e avenue et 12e avenue),Notre-Dame Road (between 13th Avenue and 12th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,52,,,-73.67507847,45.43541374
82,Lachine,20,291180,5032838.18017004,83,Municipale,Rue Notre-Dame (entre 11e avenue et 12e avenue),Notre-Dame Road (between 11th Avenueand 12th Avenue),21 h à 7 h,9 p.m to 7 a.m,Lachine,20,,,-73.67407659,45.43534391
83,Lachine,51,290568,5033368.36135583,84,Municipale,Aréna Pierre Pete Morin,Pierre Pete Morin,21 h à 7 h,9 p.m to 7 a.m,Lachine,51,,,-73.68190646,45.44010255
