Numéro,Département/Collection,Collection  ,Catégorie,Objet,Artiste,Titre,Date,Lieu de production,Culture,Matériaux,Dimensions,Nombre objets,Sujet,description,Lien web vers image
1934.596,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Bataille de boules de neige. Étude pour le Canadian Illustrated News,vers 1880,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"6,6 x 36,8 cm",1,Scène de genre,"Costumes civils accessoires ceintures chaussures mitaines foulards couvre-chefs tuques casques, vêtements pantalons, de dessus manteaux; Architecture et génie détails architecturaux cheminées façades fenêtres porte toitures appentis pignons, résidentielle maisons; Transports terrestres luge; Personnages groupes humains enfants garçon; Plantes arbres feuillus; Activités et événements récréatives jeu bataille de boules de neige glissade; Géographie physique accidents géographiques buttes, phénomènes naturels neige nuages, saison : hiver; Outils et équipement outil courant balai; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.596_IN1.JPG
1934.598,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri","Course à Lepine Park, Montréal. Illustration pour le Canadian Illustrated News",1880,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"7,7 x 21,6 cm",1,Scène de genre,"Costumes civils accessoires ceintures chaussures bottes couvre-chefs chapeaux casquettes, vêtements chemises pantalons vestes; Architecture et génie aménagements extérieurs clôtures parc Lépine, architecture de loisir hippodrome; Transports terrestres à cheval; Personnages groupes humains hommes; Animaux mammifères chevaux; Activités et événements, récréatives course de chevaux; Géographie physique phénomènes naturels poussières nuages; Objets façonnés personnels accessoire canne; Outils et équipement instruments aratoires fouets selles; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.598_IN1.JPG
1934.6,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Course de chevaux,vers 1890,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"33,2 x 44,1 cm",1,Scène de genre,"Costumes civils accessoires chaussures bottes cravates couvre-chefs chapeaux casquettes, caprices corporels barbes moustaches, vêtements chemises gilets pantalons vestes; Architecture et génie aménagements extérieurs clôtures kiosque mât, détails architecturaux façades fenêtres porte entrée rampes balustrades passerelle toitures appentis auvent pignons, résidentielle maisons, de loisir hippodrome; Transports terrestres à cheval, voitures à traction animale calèches; Personnages groupes humains hommes; Animaux mammifères chevaux; Activités et événements, récréatives course de chevaux; Plantes arbres feuillus; Géographie physique accidents géographiques forêt champ, phénomènes naturels nuages; Objets façonnés de communication publicitaire enseigne, personnels accessoires cannes, de groupements sociaux emblèmes et insignes drapeaux; Outils et équipement instruments aratoires fouets attelages d'animaux, instrument optique lunette d'approche; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.600_IN1.jpg
1934.616,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Delfosse, Georges","Nef gauche de l'église Saint-Jacques, Montréal",avant 1933,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"129,7 x 81,4 cm",1,Architecture,"Costumes civils vêtements veston; Architecture et génie détails architecturaux arcades arcs en ogive bancs confessionnal maître-autel murs intérieurs nef gauche escalier rampe colonnes colonnades, religieuse église Saint-Jacques; Personnages groupes humains homme; Activités et événements, religieuses prière; Objets façonnés mobilier meubles bancs, représentations objets d'art statue vitrail, de groupements sociaux religieux croix; Localisation  Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.616_IN1.JPG
1934.666,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri","Revue de la brigade des pompiers au Champ-de-Mars, Montréal. Illustration pour le Canadian Illustrated News",1880,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"13,1 x 23,6 cm",1,Scène de genre,"Costumes civils accessoires couvre-chefs casques chapeaux hauts-de forme, caprices corporels moustaches favoris, vêtements chemises gilet pantalons robes redingotes vestons; Transports terrestres voiture spéciale voitures de pompiers; Personnages groupes humains femmes hommes, métiers et professions notables sapeurs-pompiers; Animaux mammifères chevaux; Plantes arbres feuillus; Activités et événements revue de la brigade des pompiers au Champ-de-Mars, lutte aux incendies; Géographie physique phénomènes naturels fumée; Objets façonnés personnels accessoire canne; Outils et équipement instruments aratoires fouets attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.666_IN1.JPG
1934.667,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",L'Arrivée de son Excellence à l'Exposition. Illustration pour le Canadian Illustrated News,1880,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine sur papier,"10,3 x 19,2 cm",1,Scène de genre,"Costumes civils accessoires baudriers chaussures bottes gants couvre-chefs casques chapeaux melon bicorne haut-de-forme, caprices corporels barbes moustaches favoris, vêtements chemises robes pantalons vestons; Transports terrestres à cheval voitures à traction animale carrosses; Personnages groupes humains femmes hommes, métiers et professions militaires gendarmes notables; Animaux mammifères chevaux; Activités et événements historiques parade arrivée de son Excellence à l'exposition; Objets façonnés armement à mains épées, personnels accessoire médaille et décoration; Outils et équipement instruments aratoires fouets attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.667_IN1.JPG
1934.67,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Docteur Peter Macdonald,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine sur papier,"16,1 x 13 cm",1,Portrait,"Costumes civils accessoires cravate ou noeud papillon lunettes ou lorgnons, caprices corporels barbe moustache, vêtements chemise gilet pantalon veston; Personnages groupes humains homme, portrait à mi-corps de trois quarts, métiers et professions médecin; Objets façonnés contenants encrier, mobilier meuble pupitre, de communication équipement de rédaction feuillets; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.670_IN1.JPG
1934.675,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Un boulanger,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"11,5 x 7,1 cm",1,Portrait,"Costumes civils accessoires chaussures souliers tablier couvre-chef bonnet, vêtements chemise gilet pantalon; Architecture et génie détails architecturaux fenêtre; Personnages groupes humains homme, métiers et professions boulanger, portrait en pied de dos; Objets façonnés mobilier meubles table étagères; Outils et équipement domestique rouleau à pâte; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.675_IN1.JPG
1934.676,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Un charretier,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"11,4 x 8,1 cm",1,Scène de genre,"Costumes civils accessoires couvre-chefs chapeaux, caprices corporels barbe, vêtements chemise gilet pantalons veste; Architecture et génie détails architecturaux cheminée façades fenêtres toitures corniche lucarnes, résidentielle maisons, travaux publics chemin, ville; Transports terrestres voiture à traction animale charrette; Personnages groupes humains hommes; Animaux mammifères chevaux; Activités et événements personnelles fumer la pipe, transports; Objets façonnés contenants barils, personnels accessoire pipe; Outils et équipement instruments aratoires fouet attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.676_IN1.JPG
1934.731,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri","Trottant à Lepine Park, Montréal. Illustration pour le Canadian Illustrated News",1880,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"9,7 x 10,3 cm",1,Scène de genre,"Costumes civils accessoires chaussures cravate couvre-chefs chapeaux chapeau melon haut-de-forme, caprices corporels moustache favoris, vêtements chemises pantalons redingotes vestons; Transports terrestres voitures spéciales sulky; Personnages groupes humains enfant garçon hommes; Animaux mammifères chevaux; Activités et événements récréatives course de chevaux au parc Lépine; Géographie physique phénomènes naturels poussières nuages; Outils et équipement instruments scientifiques mesure de temps chronomètre, instruments aratoires fouet attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.731_IN1.JPG
1938.15,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Dyonnet, Edmond","Charles Gill, peintre et poète",1900-1901,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur bois,"37,4 x 26 cm",1,Portrait,"Costumes civils accessoires cravate, caprices corporels barbe moustache, vêtements chemise veston; Personnages groupes humains homme, portrait en buste de trois quarts, sur fond en clair-obscur, métiers et professions artiste peintre et poète québécois Charles Gill (1871-1918), critique d'art et professeur, cofondateur (1895) et membre actif de l'École littéraire de Montréal; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1938.15_IN1.jpg
1938.18,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Suzor-Coté, Marc-Aurèle de Foy","Les Fumées, port de Montréal",1914,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"99 x 131,4 cm",1,Paysage; Scène urbaine,"Costumes civils accessoires couvre-chef casquette, vêtements manteaux de pluie; Architecture et génie détails architecturaux cheminées d'usine escalier porte toitures, commerciale et industrielle usine, résidentielle cabane, travaux publics quai port; Personnages groupes humains hommes; Géographie physique phénomènes naturels brouillard atmosphère de crépuscule fumée, phénomènes aquatiques fleuve Saint-Laurent; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1938.18_IN1.jpg
1939.68,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri","Grand Bal costumé au rond à patiner Victoria, Montréal. Illustration pour L'Opinion publique",1881,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre sur papier,"45,9 x 33,8 cm",1,Scène de genre,"Costumes civils et de scène accessoires ceintures bas-de-chausses chaussures fraise lavallière cols tabliers couvre-chefs casque chapeaux casquettes bonnets coiffe tuque tricorne bicorne shakos voiles toques, caprices corporels barbe moustache, vêtements chemises gilets pantalons collants culottes jupes robes vestes justaucorps, de dessus redingotes manteaux drapés toge; Architecture et génie aménagements extérieurs kiosque fontaines mâts, détails architecturaux murs intérieurs poutres, de loisirs patinoire; Personnages groupes humains enfants fille garçon femmes hommes, métiers et professions artistes de cirque clowns polichinelles; Activités et événements récréatives grand bal costumé cirque foire patinage musique; Géographie physique phénomènes aquatiques glace jets d'eau; Objets façonnés armement à feu fusils, à main épée glaive bouclier arc, contenants baril, mobilier appareil d'éclairage lampe, personnels accessoires cannes monocle parapluies bâtons marotte, de groupements sociaux emblèmes et insignes pavillons drapeaux cérémoniels bannières; Outils et équipement récréatifs ou sportifs patins, instrument aratoire fouet, instruments de musique tambours, instrument optique lunette d'approche, outil courant cordes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1939.68_IN1.JPG
1940.03,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Robinson, Albert Henry","Marchand de fruits, Montréal",probablement 1919,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,45 x 53 cm,1,Paysage; Scène urbaine,"Architecture et génie détails architecturaux façades fenêtres galerie toitures pignons, résidentielle maisons, travaux publics rue, ville; Transports terrestres voiture à traction animale traîneau; Animaux mammifères cheval; Activités commerciales vente par un marchand de fruits ambulant; Géographie physique phénomènes naturels neige atmosphère de crépuscule, saison : hiver; Outils et équipement instruments aratoires attelage d'animal avec couverture; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.03_IN1.JPG
1940.174,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Julien, Henri",Les « Revivalistes » gallois à Montréal,1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine et mine de plomb sur papier,"37,6 x 28,9 cm",1,Portrait,"Costumes civils accessoires cravates, caprices corporels moustache, vêtements chemises pantalons redingotes; Architecture et génie détails architecturaux balustrade; Personnages groupes humains hommes, portrait en buste à mi-corps de profil, groupes ethniques «Revivalistes» gallois; Plantes fleurs plante d'intérieur; Activités et événements gouvernementales campagne politique; Objets façonnés contenants vase, mobilier appareils d'éclairage lampes meubles pupitre, de communication documentaires livres; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.174_IN1.JPG
1940.178,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Intérieur de la Bourse de Montréal,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine et mine de plomb sur papier,"43,8 x 32,9 cm",1,Scène de genre,"Costumes civils accessoires cravates couvre-chefs casquette chapeaux, caprices corporels barbes moustaches, vêtements chemises gilets pantalon vestes; Architecture et génie détails architecturaux arc balcon fenêtre rampe murs intérieurs poutre pilastre chapiteaux de la Bourse de Montréal; Personnages groupes humains hommes, métiers et professions courtiers en valeurs; Activités commerciales bourse finances; Objets façonnés de communication équipement de rédaction plume feuilles tableaux, personnels accessoires lunettes; Outils et équipement instruments scientifiques de mesure horloge; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.178_IN1.JPG
1940.189,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",Bureau de poste de Montréal,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine et mine de plomb sur papier,"31,4 x 31,5 cm",1,Scène de genre,"Costumes civils accessoires cravate, vêtements chemise gilet pantalon; Personnages groupes humains homme, métiers et professions facteur postier, portrait à mi-corps de profil; Activités et événements gouvernementales oblitération; Objets façonnés contenants tiroirs casiers, mobilier d'un bureau de poste meubles table étagère, de communication documentaires lettres, personnels accessoires lunettes; Outils et équipement professionnels tampons marteau; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.189_IN1.JPG
1940.19,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Julien, Henri",James Naismith Greenshields,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,"Encre de Chine, mine de plomb et lavis sur papier","32,5 x 25 cm",1,Portrait,"Costumes civils caprices corporels moustache, vêtements chemise pantalon veston toge; Architecture et génie détails architecturaux pilastre; Personnages groupes humains homme, portrait à mi-corps de profil, métiers et professions homme de loi 3e avocat de la défense de Louis Riel en 1885; après cet événement très médiatisé, il s'intéresse au domaine commercial et d'entreprise; Objets façonnés personnels accessoires lunettes; Loclaisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.190_IN1.JPG
1940.193,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Julien, Henri",Andrew Carnegie au Canadian Club,1906,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre et mine de plomb sur papier,"36 x 29,2 cm",1,Portrait,"Costumes civils accessoires chaussures, caprices corporels barbes moustaches favoris, vêtements chemises pantalons vestons, de dessus toges; Architecture et génie détails architecturaux fenêtre murs intérieurs volet; Personnages groupes humains hommes, portrait en buste de profil de trois quarts, métiers et professions Andrew Carnegie (1835-1919), industriel et philanthrope britannique naturalisé américain, homme le plus riche au monde; il arrive à Montréal pour recevoir un Diplôme honorifique de l'Université McGill (1906-05-01); Activités et événements conférence au Canadian Club; Objets façonnés contenants pot verre, mobilier draperie nappe meuble table, de communication documentaires livre feuilles, personnels accessoires lunettes; Loclisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.193_IN1.JPG
1940.198,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Julien, Henri","Le Révérend A. F. W. Ingram, évêque de Londres, prêchant à Montréal",1907,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine et mine de plomb sur papier,37 x 29 cm,1,Portrait,"Costumes civils religieux accessoires col romain couvre-chefs chapeaux, caprices corporels barbe moustache, vêtements chemises robes vestons surplis, de dessus chasuble, bijoux et ornements parure de poitrine croix pectorale; Architecture et génie détails architecturaux arcs arcatures murs intérieurs pilier colonnettes chapiteaux chaire lutrin, religieuse église; Personnages religieux groupes humains femmes élégantes hommes, métiers et professions membre du clergé ecclésiastique évêque de Londres; Activités et événements religieuses messe sermon; Plantes fleurs; Objets façonnés mobilier appareils d'éclairage lampes draperie broderie, personnels accessoires mouchoir lunettes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.198_IN1.JPG
1940.206,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Julien, Henri",Le Comte et la comtesse Grey au Théâtre des Nouveautés,entre 1904 et 1908,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine et mine de plomb sur papier,"45 x 28,7 cm",1,Portrait,"Costumes civils accessoires cravates, caprices corporels moustaches, vêtements chemises robes vestons, de dessus écharpe, bijoux et ornements parures de cou colliers parures de tête fleurs diadème plumes; Architecture et génie détails architecturaux balcon, de loisirs théâtre des Nouveautés; Personnages historiques Lord et Lady Grey, groupes humains femmes hommes, portrait en buste de face de profil de trois-quarts, métiers e tprofessions comte et comtesse; Objets façonnés mobilier draperie tentures meubles bancs, personnels accessoires lunettes, représentations papier peint glands, de groupements sociaux emblèmes et insignes drapeaux cartouche, cérémoniels dais; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.206_IN1.JPG
1940.207,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Julien, Henri",Le Parquet de la Bourse à Montréal,1905,"Montréal (Québec), Canada",Canadienne; Québécoise,"Encre de Chine, mine de plomb et rehauts de blanc sur papier","35 x 46,9 cm",1,Scène de genre,"Costumes civils accessoires chaussures souliers bottines cravates couvre-chefs casquettes chapeaux melon, caprices corporels barbe moustaches, vêtements chemises gilets pantalons vestons, de dessus manteaux; Architecture et génie détails architecturaux balcon fenêtres balustrade portes murs intérieurs plafond plancher colonnes pilastres chapiteaux, gouvernementales Parquet de la Bourse, ville; Personnages groupes humains enfant garçons hommes; Objets façonnés mobilier appareils d'éclairage lampes meubles bancs tribune, de communication équipement de rédaction crayon feuilles, documentaire tableaux livres, personnels accessoire monocle; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.207_IN1.JPG
1940.213,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Julien, Henri",Le Capitaine Bernier au déjeuner du Canadian Club de Montréal,1905,"Montréal (Québec), Canada",Canadienne; Québécoise,Encre de Chine sur papier,"37,7 x 34,5 cm",1,Portrait,"Costumes civils accessoires cravates, caprices corporels barbe moustaches, vêtements chemises gilets vestons; Personnages groupes humains hommes, métiers et professions militaire marine capitaine Bernier, portrait en buste à mi-corps de profil de dos de trois quarts; Activités et événements déjeuner du Canadian Club de Montréal, personnelles fumer; Objets façonnés contenants tasses soucoupes salière poivrière verres, mobilier draperie nappe serviettes, meubles chaises table, de communication documentaires cartes, personnels accessoires lunettes cigarette bâton; Outils et équipement domestiques couteaux cuillères; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.213_IN1.JPG
1940.276,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Cullen, Maurice","Poudrerie, rue Craig, Montréal",1912,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"76,4 x 102 cm",1,Scène de genre,"Costumes civils vêtements; Architecture et génie travaux publics rue Craig; Transports terrestres voiture à traction animale carriole; Personnages groupes humains homme; Animaux mammifères chevaux; Géographie physique phénomènes naturels neige poudrerie tempête, saison : hiver; Outils et équipement instruments aratoires attelage d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1940.276_IN1.JPG
