"Prénom ","Nom","Genre","Rôles ","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Hôtel de Ville)","Téléphone (Arrondissement)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"Karine","Boivin Roy","F","Conseillère de la ville; Conseillère associée à l'habitation; Vice-présidente de la Commission sur l'examen des contrats; Membre du conseil d'arrondissement de Ville-Marie ",,"Mercier–Hochelaga-Maisonneuve","Louis-Riel","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.118","Montréal","QC","H2Y 1C6","6854, rue Sherborooke Est",,"Montréal","QC","H1N 1E1",,"514 872-7123","514 872-7125","karine.boivin.roy@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_boivin_roy_karine.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240783","07,40"
"Marie-Eve","Brunet","F","Conseillère d'arrondissement; Membre de la Commission sur le développement social et la diversité montréalaise; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Commission de la sécurité publique",,"Verdun","Champlain–L'Île-des-Soeurs (siège 2)","Équipe Denis Coderre pour Montréal",,,,,,"4555, rue de Verdun",,"Verdun","QC","H4G 1M4",,"514 765-7010",,"marie-eve.brunet@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_brunet_marie_eve.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240784","17,12"
"Éric Alan","Caldwell","M","Conseiller de la ville; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur l'inspecteur général ",,"Mercier–Hochelaga-Maisonneuve","Hochelaga","Projet Montréal - Équipe Valérie Plante",,,,,,"6854, rue Sherborooke Est",,"Montréal","QC","H1N 1E1",,"514 872-9899","514 872-7125","eric.alan.caldwell@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_eric_allan_caldwell.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240718","07,30"
"Richard","Celzi","M","Conseiller de la ville; Membre de la Commission sur l'examen des contrats; Membre de la Commission de la sécurité publique",,"Mercier–Hochelaga-Maisonneuve","Tétreaultville","Équipe Denis Coderre pour Montréal",,,,,,"6854, rue Sherborooke Est",,"Montréal","QC","H1N 1E1",,"514 872-7123","514 872-7125","richard.celzi@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_celzi_richard.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239449","07,10"
"Harout","Chitilian","M","Conseiller de la ville; Vice-président du comité exécutif; Membre du conseil d'agglomération; Membre de la Communauté métropolitaine de Montréal","Réforme administrative; Ville intelligente; Technologies de l'information","Ahuntsic-Cartierville","Bordeaux-Cartierville","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.107","Montréal","QC","H2Y 1C6","555, rue Chabanel Ouest","6e étage","Montréal","QC"," H2N 2H8","514 872-1231","514 872-0430","514 868-3324","harout.chitilian@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_chitilian_harout.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142309840","01,40"
"Marie","Cinq-Mars","F","Mairesse d'arrondissement; Membre de la Commission sur la culture, le patrimoine et les sports; Membre du Conseil de la Communauté métropolitaine de Montréal; Membre de la Commission sur l'examen des contrats",,"Outremont",,"Indépendante",,,,,,"543, chemin de la Côte-Sainte-Catherine",,"Outremont","QC","H2V 4R2",,"514 495-6220","514 495-6290","mariecinq-mars@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_cinqmars_marie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142261860","09,00"
"Catherine","Clément-Talbot","F","Conseillère de la ville; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Commission sur les finances et l'administration; Membre du Conseil de la Communauté métropolitaine de Montréal; Membre de la Commission de la présidence du conseil",,"Pierrefonds-Roxboro","Cap-Saint-Jacques","Équipe Denis Coderre pour Montréal",,,,,,"13665, boulevard de Pierrefonds",,"Pierrefonds","QC","H9A 2Z4",,"514 624-1174",,"catherineclementtalbot@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_clement_catherine.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239429","10,20"
"Jean-François","Cloutier","M","Conseiller de la ville",,"Lachine",,"Équipe Denis Coderre pour Montréal",,,,,,"1800, boulevard Saint-Joseph",,"Lachine ","QC","H8S 2N4",,"514 634-3471 poste 823","514 634-8164","jfcloutier@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_cloutier_jeanfrancois.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142265861","04,01"
"Denis","Coderre","M","Maire de la Ville de Montréal; Maire de l'arrondissement de Ville-Marie; Membre du comité exécutif; Membre du conseil d'agglomération; Président de la Communauté métropolitaine de Montréal; Président du comité exécutif de la Communauté métropolitaine de Montréal","Développement économique; Développement des relations internationales; Développement du Mont-Royal; 375e Anniversaire de Montréal",,,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.113","Montréal","QC","H2Y 1C6",,,,,,"514 872-3572","514 868-5531","514 872-8347","denis.coderre@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_coderre_denis.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=121389593","00,00"
"Maurice","Cohen","M","Conseiller d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur les transports et les travaux publics",,"Saint-Laurent","Côte-de-Liesse","Équipe Denis Coderre pour Montréal",,,,,,"777, boulevard Marcel-Laurin",,"Saint-Laurent ","QC","H4M 2M7",,"514 855-6000 poste 4044","514 855-6049","mcohen@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_cohen_maurice.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119611581","14,11"
"Russell","Copeman","M","Maire d'arrondissement; Membre du comité exécutif; Membre du conseil d'agglomération","Habitation; Urbanisme; Immeubles; Transactions et stratégies immobilières; Office de consultation publique","Côte-des-Neiges–Notre-Dame-de-Grâce",,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.114","Montréal","QC","H2Y 1C6","5160, boulevard Décarie","bureau 710, 7e étage","Montréal","QC"," H3X 2H9","514 872-1116","514 872-4863","514 868-3327","russell.copeman@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_coperman_russell.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239450","03,00"
"Stéphane","Côté","M","Conseiller d'arrondissement ",,"L'Île-Bizard–Sainte-Geneviève","Pierre-Foretier","Vrai changement pour Montréal",,,,,,"350, montée de l'Église",,"L'île-Bizard","QC","H9C 1G9",,"514 620-6448","514 620-8198","s.cote@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_cote_stephane.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=122675571","06,10"
"François William","Croteau","M","Maire d'arrondissement ",,"Rosemont–La Petite-Patrie",,"Projet Montréal - Équipe Valérie Plante",,,,,,"5650, rue D'Iberville","2e étage","Montréal","QC","H2G 2B3",,"514 872-6473","514 868-3932","francois.croteau@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_francois_croteau.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239412","13,00"
"Claude","Dauphin","M","Maire d'arrondissement; Membre du conseil d'agglomération; Membre du Conseil de la Communauté métropolitaine de Montréal; Membre du comité exécutif du Conseil de la Communauté métropolitaine de Montréal; Membre de la Commission sur le schéma d'aménagement et de développement de Montréal ",,"Lachine",,"Équipe Dauphin Lachine",,,,,,"1800, boulevard Saint-Joseph",,"Lachine ","QC","H8S 2N4",,"514 634-3471 poste 501","514-780-7700","cdauphin@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_dauphin_claude.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=125471676","04,00"
"Suzanne","Décarie","F","Conseillère de la ville; Conseillère associée au développement social et communautaire; Membre de la Commission sur les transports et les travaux publics",,"Rivière-des-Prairies–Pointe-aux-Trembles","Pointe-aux-Trembles","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.103","Montréal","QC","H2Y 1C6","12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1",,"514 868-4351","514 868-4353","suzannedecarie@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_DECARIE_SUZANNE.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342307","12,20"
"Serge","Declos","M","Conseiller d'arrondissement   ",,"LaSalle","Cecil-P.-Newman (siège 1)","Équipe Barbe Team",,,,,,"55, avenue Dupras",,"LaSalle","QC","H8R 4A8",,"514 367-6206","514 367-6600","serge.declos@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_declos_serge.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239488","05,21"
"Mary","Deros","F","Conseillère de la ville; Conseillère associée au maire; Mairesse suppléante; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission de la présidence du conseil; Membre de la Commission sur le transport et les travaux publics",,"Villeray–Saint-Michel–Parc-Extension","Parc-Extension","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.120","Montréal","QC","H2Y 1C6","405, rue Ogilvy","bureau 103","Montréal","QC","H3N 1M3",,"514 872-3103 ","514 872-2402","mderos@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_deros_mary.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239424","19,40"
"Richard","Deschamps","M","Conseiller de la ville; Président de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur l'examen des contrats",,"LaSalle"," Sault-Saint-Louis","Équipe Barbe Team",,,,,,"55, avenue Dupras",,"LaSalle","QC","H8R 4A8",,"514 367-6206","514 367-6600","richarddeschamps@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_deschamps_richard.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240761","05,10"
"Alan","DeSousa","M","Maire d'arrondissement; Porte-parole au conseil d'agglomération; Président de la Commission sur les finances et l'administration; Membre du Conseil de la Communauté métropolitaine de Montréal; Membre du comité exécutif de la Communauté métropolitaine de Montréal
",,"Saint-Laurent",,"Équipe Denis Coderre pour Montréal",,,,,,"777, boulevard Marcel-Laurin",,"Saint-Laurent ","QC","H4M 2M7",,"514 855-6000 poste 4005","514 855-6049","adesousa@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_desousa_alan.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119711593","14,00"
"Pierre","Desrochers","M","Conseiller de la ville; Président du comité exécutif; Membre du conseil d'agglomération; Membre du Conseil de la communauté métropolitaine de Montréal    ","Finances; Grands projets; Capital humain; Communications corporatives; Affaires juridiques et de l'évaluation foncière","Ahuntsic-Cartierville","Saint-Sulpice","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.105","Montréal","QC","H2Y 1C6","555, rue Chabanel Ouest","6e étage","Montréal","QC"," H2N 2H8","514 872-1191; 514 872-2246","514 872-0430","514 868-3324","p.desrochers@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_desrochers_pierre.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=122065594","01,20"
"Gilles","Déziel","M","Conseiller d'arrondissement Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Commission de la sécurité publique",,"Rivière-des-Prairies–Pointe-aux-Trembles","Pointe-aux-Trembles","Équipe Denis Coderre pour Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1",,"514 868-4352","514 868-4353","gilles.deziel@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_deziel_gilles.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342310","12,21"
"Michelle","Di Genova Zammit","F","Conseillère d'arrondissement; Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs",,"Anjou"," Centre","Équipe Denis Coderre pour Montréal",,,,,,"7701, boulevard Louis-H. Lafontaine",,"Anjou","QC","H1K 4B9",,"514 493-8085","514 493-8013","mzammit@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_zammit_michelle.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239408","02,30"
"Benoit","Dorais","M","Maire d'arrondissement; Président de la Commission sur le développement social et la diversité montréalaise; Vice-président de la Commission sur l'inspecteur général",," Sud-Ouest",,"Projet Montréal - Équipe Valérie Plante",,,,,,"815, rue Bel-Air",,"Montréal","QC","H4C 2K4",,"514 872-6814","514 872-3705","benoit.dorais@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_dorais_benoit.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142349414","16,00"
"Sterling","Downey","M","Conseiller de la ville; Membre de la Commission sur le développement social et la diversité montréalaise   ",,"Verdun","Desmarchais-Crawford","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","QC","H4G 1M4",,"514 765-7010",,"sterling.downey@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_sterling_downey.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240785","17,20"
"Érika","Duchesne","F","Conseillère de la ville; Vice-présidente de la Commission sur l'inspecteur général",,"Rosemont–La Petite-Patrie","Vieux-Rosemont","Équipe Denis Coderre pour Montréal",,,,,,"5650, rue D'Iberville","2e étage","Montréal","QC","H2G 2B3",,"514 868-3907","514 868-3932","erika.duchesne@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_duchesne_erika.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142265859","13,30"
"Éric","Dugas","M","Conseiller d'arrondissement ",,"L'Île-Bizard–Sainte-Geneviève","Sainte-Geneviève","Équipe Denis Coderre pour Montréal",,,,,,"350, montée de l'Église",,"L'île-Bizard","QC","H9C 1G9",,"514 620-6448","514 620-8198","eric.dugas@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_dugas_eric.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142093142","06,40"
"Luc","Ferrandez","M","Maire d'arrondissement;",," Plateau-Mont-Royal",,"Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6",,"514 872-8023",,"luc.ferrandez@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_luc_ferrandez.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239436","11,00"
"Céline","Forget","F","Conseillère d'arrondissement  ",,"Outremont","Joseph-Beaubien","Indépendant",,,,,,"543, chemin de la Côte-Sainte-Catherine",,"Outremont","QC","H2V 4R2",,"514 495-7430",,"celine.forget@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_forget_celine.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142261409","09,20"
"Marc-André","Gadoury","M","Conseiller de la ville; Membre de la Commission sur l'examen des contrats; Membre de la Commission sur les transports et les travaux publics",,"Rosemont–La Petite-Patrie","Étienne-Desmarteau","Équipe Denis Coderre pour Montréal",,,,,,"5650, rue D'Iberville","2e étage","Montréal","QC","H2G 2B3",,"514 872-8390","514 868-3932","marc-andre.gadoury@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_marc_andre_gadoury.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239413","13,20"
"Pierre","Gagnier","M","Maire d'arrondissement
Membre de la Société de transport de Montréal   ",,"Ahuntsic-Cartierville",,"Équipe Denis Coderre pour Montréal",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","QC"," H2N 2H8","514 872-2246","514 872-0430","514 868-3324","pierre.gagnier@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gagnier_pierre.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142309841","01,00"
"Luc","Gagnon","M","Conseiller d'arrondissement;  Membre de la Commission sur l'examen des contrats  ",,"Verdun","Desmarchais-Crawford (siège 1)","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","QC","H4G 1M4",,"514 765-7010",,"luc.l.gagnon@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gagnon_luc.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239452","17,21"
