NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANCE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE
MONTRÉAL ARTS INTERCULTURELS,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1124248005,"ACCORDER UN SOUTIEN FINANCIER ANNUEL DE 150 000 $ EN 2012, 2013 ET 2014, POUR UN TOTAL DE 450 000 $, À MONTRÉAL ARTS INTERCULTURELS (MAI) AFIN DE RÉALISER SES ACTIVITÉS DE MENTORAT AUPRÈS DES ORGANISMES ET DES ARTISTES DE LA DIVERSITÉ CULTURELLE DANS LE CADRE DE L'ENTENTE MCCCF-VILLE 2012-2015 (RECOMMANDATIONS DE CRÉDITS 12-2.5.3-020) ET APPROUVER UN PROJET DE CONVENTION À CET EFFET.",CM12 0835,2012-09-27,450000,0,0,450000
BLACK THEATER WORKSHOP,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1125373001,"APPROUVER LE PROJET DE RENOUVELLEMENT DU BAIL PAR LEQUEL LA VILLE LOUE À L’ORGANISME BLACK THEATER WORKSHOP, POUR UNE DURÉE DE 5 ANS , À COMPTER DU 1ER DÉCEMBRE 2012, DES LOCAUX AU 3680, RUE JEANNE-MANCE, À DES FINS ADMINISTRATIVES, MOYENNANT UN LOYER TOTAL DE 63 888,80 $",CM12 0928,2012-10-25,0,173055,0,173055
MAISON QUÉBÉCOISE DU THÉÂTRE POUR L'ENFANCE ET LA JEUNESSE,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1120015003,"AUTORISER LA SIGNATURE D'UNE ENTENTE TRIENNALE PERMETTANT LE VERSEMENT D'UNE SUBVENTION DE 75 000 $, SOIT UN MONTANT ANNUEL DE 25 000 $ EN 2012, 2013 ET 2014 À LA MAISON QUÉBÉCOISE DU THÉÂTRE POUR L'ENFANCE ET LA JEUNESSE POUR SOUTENIR LE PROJET DE MÉDIATION «DÉCOUVERTES THÉÂTRALES», DÉDIÉ AUX JEUNES DU PRIMAIRE DANS LES QUARTIERS SENSIBLES DE MONTRÉAL DANS LE CADRE DE L'ENTENTE MCCCF-VILLE.",CM12 0929,2012-10-26,75000,0,0,75000
SOCIÉTÉ DES CÉLÉBRATIONS DU 375E ANNIVERSAIRE DE MONTRÉAL,100% VILLE,SERVICE DES AFFAIRES INSTITUTIONNELLES,DIRECTION,1124784011,"ACCORDER UN SOUTIEN FINANCIER DE 175 000 $ POUR L'ANNÉE 2012 À LA SOCIÉTÉ DES CÉLÉBRATIONS DU 375E ANNIVERSAIRE DE MONTRÉAL, AFIN DE LUI CONFIER LA PROMOTION, LA COORDINATION ET L'ADMINISTRATION DES CÉLÉBRATIONS DU 375E ANNIVERSAIRE DE MONTRÉAL PRÉVUES EN 2017, CETTE CONTRIBUTION FINANCIÈRE SERA IMPUTÉE À MÊME LES BUDGETS DE FONCTIONNEMENT DU BUREAU DU 375E DU SERVICE DES AFFAIRES INSTITUTIONNELLES ET ADOPTER UN PROJET DE CONVENTION À CET EFFET.",CM12 0932,2012-10-25,175000,0,0,175000
SOCIÉTÉ D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1124069008,"APPROUVER LA PROLONGATION DU BAIL PAR LEQUEL LA VILLE LOUE À LA SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE POUR UNE PÉRIODE ADDITIONNELLE DE 1 AN, À COMPTER DU 1ER JANVIER 2013, DEUX IMMEUBLES SITUÉS AU 350, PLACE ROYALE ET AU 150, RUE SAINT-PAUL OUEST, D'UNE SUPERFICIE D'ENVIRON 6 995,5 M², UTILISÉS À DES FINS DE MUSÉE, MOYENNANT UN LOYER TOTAL DE 25 566,53 $. MONTANT ÉQUIVALENT À LA VALEUR LOCATIVE RÉSIDUELLE",CM12 1097,2012-12-20,0,2200000,0,2200000
LES OEUVRE DU PÈRE SABLON,100% VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1124069009,"APPROUVER LA CONVENTION DE PROLONGATION DU CONTRAT DE PRÊT DE LOCAUX PAR LEQUEL LA VILLE DE MONTRÉAL PRÊTE, À TITRE GRATUIT, À LES OEUVRES DU PÈRE SABLON, POUR UNE PÉRIODE ADDITIONNELLE DE 3 ANS, À COMPTER DU 1ER JANVIER 2013, DES LOCAUX AU SOUS-SOL ET AU ET AU 1ER ÉTAGE DE L'IMMEUBLE SITUÉ AU 1301, RUE SHERBROOKE EST, UTILISÉS À DES FINS DE GYMNASE, LE TOUT SELON LES TERMES ET CONDITIONS PRÉVUS AU CONTRAT DE PRÊT DE LOCAL. PRÊT GRATUIT. MONTANT ÉQUIVALENT À LA VALEUR LOCATIVE.",CM12 1104,2012-12-21,0,388731,0,388731
OFFICE MUNICIPAL D'HABITATION DE MONTRÉAL,100% VILLE,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'HABITATION,1120498003,"APPROBATION DE L'ENTENTE AVEC L'OFFICE MUNICIPAL D'HABITATION DE MONTRÉAL (OMHM) POUR LA POURSUITE EN 2013 DES ACTIVITÉS DU SERVICE DE RÉFÉRENCE POUR LES PERSONNES SANS LOGIS, ET ALLOCATION D'UN BUDGET DE 619 432 $ COMPRENANT 314 932 $ DE CONTRIBUTION À L'OMHM (CM)ET 304 500 $ (CE) POUR COUVRIR L'HÉBERGEMENT TEMPORAIRE ET LES AUTRES MESURES D'URGENCE.",CM12 1105,2012-12-21,314932,0,0,314932
CLUB DE TIR À L'ARC DE MONTRÉAL,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,4500,60140,0,64640
"CLIB D'ESCRIME ""FLEURET D'ARGENT""",100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,5900,47910,0,53810
LE CLUB GYMNIX INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,35900,279567,0,315467
CLUB D'HALTÉROPHILIE DE MONTRÉAL,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,15200,46803,0,62003
CLUB D'ATHLÉTISME PERFMAX-RACING DE MONTRÉAL,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,5000,111257,0,116257
CLUB D'ATHLÉTISME FLEUR DE LYS,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,5000,72662,0,77662
CLUB DE HAUTE PERFORMANCE MONTRÉAL-OLYMPIQUE INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,13800,90552,0,104352
CLUB DE LUTTE-INTER - Concordia (C.L.I.C.),100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,8200,28100,0,36300
CLUB DE JUDO MÉTROPOLITAIN INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,13800,79226,0,93026
CLUB DE TENNIS DE TABLE PRESTIGE DE MONTRÉAL,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,3500,206972,0,210472
BOXEMONTRÉAL.COM INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,1400,43715,0,45115
CLUB DE PATINAGE DE VITESSE DE MONTRÉAL-INTERNATIONAL,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,9000,73287,0,82287
SPORTS MONTRÉAL INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,104800,674587,0,779387
SPORTS MONTRÉAL INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,44300,,0,44300
CLUB AQUATIQUE CAMO MONTRÉAL (NATATION) INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,80100,253745,0,333845
CLUB AQUATIQUE CAMO MONTRÉAL (WATER-POLO) INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,54700,147672,0,202372
CLUB DE PLONGEON CAMO MONTRÉAL INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,66000,207448,0,273448
CLUB MONTRÉAL SYNCHRO INC.,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,69600,261010,0,330610
CLUB D'AVIRON DE MONTRÉAL,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,7500,0,0,7500
CLUB 50 ANS + DE CLAUDE-ROBILLARD,100% VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1122803001,"ACCORDER UN SOUTIEN FINANCIER D'UNE VALEUR DE 548 200 $ ET UN SOUTIEN EN PRÊT DE LOCAUX D'UNE VALEUR LOCATIVE ANNUELLE TOTALISANT 3 073 100 $, AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR UNE PÉRIODE D'UN AN ET POUR UN MONTANT INDIQUÉ EN REGARD DE CHACUN D'ENTRE EUX.",CM12 1106,2012-12-21,0,314377,0,314377
