NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE
ASSOCIATION RÉGIONALE DE SOCCER CONCORDIA. INC. (ARSC),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,109140,,,
TENNIS MONTRÉAL INC. (TM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,23090,,,
ASSOCIATION D'ULTIMATE DE MONTRÉAL (UGM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,1000,,,
ASSOCIATION RÉGIONALE DE KIN-BALL DE MONTRÉAL (ARKBM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,1000,,,
ASSOCIATION RÉGIONALE DE RINGUETTE DE MONTRÉAL (ARRM) - RINGUETTE,100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,15240,,,
ASSOCIATION RÉGIONALE DE PATINAGE DE VITESSE DE MONTRÉAL (ARPVM),100% VILLE,SERVICE DES GRANDS PARCS_DU MONT-ROYAL ET DES SPORTS,DIRECTION DES SPORTS,1229271001,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 503 120 $, TAXES INCLUSES, À DIFFÉRENTS ORGANISMES, DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX ASSOCIATIONS SPORTIVES RÉGIONALES / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE22 1718,2022-10-21,2500,,,
FONDATION OSMO,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DU DÉVELOPPEMENT ÉCONOMIQUE ET URBAIN,1105174001,"APPROUVER LE PROJET DE CONVENTION ENTRE LA VILLE ET LA FONDATION OSMO ÉTABLISSANT LES MODALITÉS DE VERSEMENT DE LA CONTRIBUTION DE 461 788 $, PRISE À MÊME L'ENTENTE DE 140 M$ ENTRE LA VILLE ET LE MINISTÈRE DES AFFAIRES MUNICIPALES, DES RÉGIONS ET DE L'OCC",CG12 0253,2012-08-27,461788,0,0,461788
AUTOMOBILE-CLUB DE L'ÎLE NOTRE-DAME (ACIND),100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS,1125848002,"ACCORDER UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 100 000 $ À AUTOMOBILE CLUB DE L'ÎLE NOTRE-DAME, À MÊME LE FONDS DE 140 M$ MIS À LA DISPOSITION DE LA VILLE PAR LE GOUVERNEMENT DU QUÉBEC, POUR SOUTENIR L'ORGANISATION DE LA 22E MANCHE DE LA SÉRIE NAT",CG12 0254,2012-08-27,100000,0,0,100000
INTÉGRATION JEUNESSE DU QUÉBEC INC,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1121643005,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 200 000 $ À INTÉGRATION JEUNESSE DU QUÉBEC INC., POUR LA FORMATION DE SAUVETEURS EN PISCINE ET DE FORFAITS POUR VALORISATION JEUNESSE - PLACE À LA RELÈVE, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE MESS ",CG12 0255,2012-08-27,200000,0,0,200000
FESTIVAL DE LA SANTÉ INC. POUR,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1121005004,"APPROUVER UN PROJET DE PROTOCOLE D'ENTENTE ENTRE LA VILLE DE MONTRÉAL ET LE FESTIVAL DE LA SANTÉ INC. POUR L'ANNÉE 2012, ÉTABLISSANT LES MODALITÉS ET CONDITIONS DE RÉALISATION DE L'ÉVÉNEMENT «MARATHON OASIS DE MONTRÉAL», QUI SE TIENDRA LE 23 SEPTEMBRE 201",CG12 0281,2012-08-28,0,0,425000,425000
ACCUEIL BONNEAU INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1122586002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT AUX 3 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LA PÉRIODE ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE DE DÉVELOPPEMENT SOCIAL ET DE LUTTE CONTRE LA PAUVRETÉ ET L’EXCLUSI",CG12 0284,2012-08-28,78624,0,0,78624
ASSOCIATION D'ENTRAIDE LE CHAÎNON INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1122586002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT AUX 3 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LA PÉRIODE ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE DE DÉVELOPPEMENT SOCIAL ET DE LUTTE CONTRE LA PAUVRETÉ ET L’EXCLUSI",CG12 0284,2012-08-28,50271,0,0,50271
LA RUE DES FEMMES DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1122586002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT AUX 3 ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LA PÉRIODE ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE DE DÉVELOPPEMENT SOCIAL ET DE LUTTE CONTRE LA PAUVRETÉ ET L’EXCLUSI",CG12 0284,2012-08-28,102960,0,0,102960
VÉLO-QUÉBEC ÉVÉNEMENTS,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1120679009,"ACCORDER UN SOUTIEN FINANCIER DE 45 000 $ À VÉLO-QUÉBEC ÉVÉNEMENTS POUR LA RÉALISATION DE LA FÉRIA DU VÉLO DE MONTRÉAL 2012 ET D'APPROUVER UN PROJET DE CONVENTION ENTRE LA VILLE DE MONTRÉAL ET VÉLO QUÉBEC ÉVÉNEMENT, ÉTABLISSANT LES MODALITÉS ET CONDITIONS",CG12 0293,2012-08-28,45000,0,740000,785000
SOCIÉTÉ DU HAVRE DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION,1121009006,"ACCORDER UN SOUTIEN FINANCIER DE 700 000 $ À LA SOCIÉTÉ DU HAVRE DE MONTRÉAL (SHM) POUR SES ACTIVITÉS LIÉES À LA PLANIFICATION ET AU DÉVELOPPEMENT DU HAVRE, POUR LA PÉRIODE DU 1ER JANVIER 2012 AU 31 DÉCEMBRE 2015, DANS LE CADRE DU BUDGET DE FONCTIONNEMENT",CG12 0406,2012-10-29,700000,0,0,700000
SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1123501003,"APPROUVER UN PROJET DE CONVENTION ENTRE LA VILLE ET LA SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL DE POINTE-À-CALLIÈRE, POUR LA POURSUITE DE L'ÉCOLE DE FOUILLES ARCHÉOLOGIQUES D'UNE PARTIE DU LIEU DE FONDATION DE MONTRÉAL - 214 PLACE D'YOUVI",CG12 0433,2012-11-26,100000,0,0,100000
ASSOCIATION DES TRANSPORTS DU CANADA,100 % AGGLOMÉRATION,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES TRANSPORTS,1121637001,"APPROUVER UN PROJET D'ENTENTE CADRE D'UNE DURÉE INITIALE DE 3 ANS ENTRE LA VILLE DE MONTRÉAL ET L'ASSOCIATION DES TRANSPORTS DU CANADA (ATC), ORGANISME SANS BUT LUCRATIF, POUR L'ÉLABORATION DE DIFFÉRENTS OUVRAGES RELIÉS À LA PRÉPARATION DE GUIDES ET DE NO",CG12 0476,2013-01-09,240000,0,0,240000
CORPORATION DE L'ÉCOLE POLYTECHNIQUE,100 % AGGLOMÉRATION,SERVICE DE SÉCURITÉ INCENDIE DE MONTRÉAL,CENTRE DE LA SÉCURITÉ CIVILE,1121887003,"AUTORISER UN SOUTIEN FINANCIER SUPPLÉMENTAIRE DE 15 000 $, TAXES INCLUSES, POUR UNE DURÉE D'UN AN À LA CORPORATION DE L'ÉCOLE POLYTECHNIQUE POUR LA PARTICIPATION DE LA VILLE DE MONTRÉAL AU PROJET «ÉVALUATION ET MODÉLISATION DES INTERDÉPENDANCES ET DES EFF",CG12 0488,2013-01-11,15000,0,0,15000
JEUX MONDIAUX DES POLICIERS ET POMPIERS - MONTRÉAL 2017,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS,1125848005,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 650 000 $ ET UN SOUTIEN EN BIENS ET SERVICES D'UNE VALEUR DE 510 000 $ POUR L'ANNÉE 2013 À L'ORGANISME JEUX MONDIAUX DES POLICIERS ET POMPIERS - MONTRÉAL 2017 DANS LE CADRE DE L'ORGANISATION DE CET ÉVÉNEMENT ,CG13 0010,2013-02-01,650000,0,510000,1160000
MONTRÉAL INTERNATIONAL,100 % AGGLOMÉRATION,SERVICE DES AFFAIRES INSTITUTIONNELLES,DIRECTION DES AFFAIRES INSTITUTIONNELLES,1134834002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 500 000 $ À MONTRÉAL INTERNATIONAL, POUR LES FINS DU FONDS DE DÉVELOPPEMENT INTERNATIONAL DE MONTRÉAL (FODIM, POUR L'ANNÉE 2013. APPROUVER UN PROJET DE CONVENTION À CET EFFET",CG13 0043,2013-03-01,500000,0,0,500000
SAINTE-ANNE-DE-BELLEVUE,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1120522001,"ACCORDER UN SOUTIEN FINANCIER SPÉCIAL NON RÉCURRENT DE 350 000,00 $ (INCLUANT LES TAXES) À LA VILLE DE SAINTE-ANNE-DE BELLEVUE - APPROUVER UN PROJET DE CONVENTION À CET EFFET - RESTAURATION DE LA L'HÔTEL DE VILLE DE LA VILLE DE SAINTE-ANNE-DE-BELLEVUE - 1",CG13 0071,2013-03-22,350000,0,0,350000
FONDATION DE LA VISITE,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1133220001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 62 000 $, POUR L'ANNÉE 2013, À FONDATION DE LA VISITE, POUR LA RÉALISATION DU PROJET « LA FIERTÉ DES FAMILLES DANS LEUR QUARTIER ET UN QUARTIER FIER DE SES FAMILLES - LX », DANS LE CADRE DE L'ENTENTE ADMINIST",CG13 0072,2013-03-22,62000,0,0,62000
LES YMCA DU QUÉBEC (PROGRAMME DIALOGUE),100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1133381001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LA PÉRIODE ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE",CG13 0077,2013-03-22,43125,0,0,43125
LES YMCA DU QUÉBEC (PROGRAMME PEMIER ARRÊT),100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1133381001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LA PÉRIODE ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE",CG13 0077,2013-03-22,35825,0,0,35825
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1134251001,"ACCORDER UN SOUTIEN FINANCIER POUR DEUX ANS NON RÉCURRENT ET TOTALISANT LA SOMME DE 980 000 $ AUX ORGANISMES INTÉGRATION JEUNESSE DU QUÉBEC INC., SERVICES HORTICOLES, LES POUSSES URBAINES ET RUE ACTION PRÉVENTION JEUNESSE POUR LA PÉRIODE DU 1ER JANVIER 20",CG13 0110,2013-04-30,800000,0,0,800000
LES POUSSES URBAINES,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1134251001,"ACCORDER UN SOUTIEN FINANCIER POUR DEUX ANS NON RÉCURRENT ET TOTALISANT LA SOMME DE 980 000 $ AUX ORGANISMES INTÉGRATION JEUNESSE DU QUÉBEC INC., SERVICES HORTICOLES, LES POUSSES URBAINES ET RUE ACTION PRÉVENTION JEUNESSE POUR LA PÉRIODE DU 1ER JANVIER 20",CG13 0110,2013-05-01,80000,0,0,80000
RAP JEUNESSE,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1134251001,"ACCORDER UN SOUTIEN FINANCIER POUR DEUX ANS NON RÉCURRENT ET TOTALISANT LA SOMME DE 980 000 $ AUX ORGANISMES INTÉGRATION JEUNESSE DU QUÉBEC INC., SERVICES HORTICOLES, LES POUSSES URBAINES ET RUE ACTION PRÉVENTION JEUNESSE POUR LA PÉRIODE DU 1ER JANVIER 20",CG13 0110,2013-05-02,100000,0,0,100000
SOCIÉTÉ DU PARC JEAN-DRAPEAU,100 % AGGLOMÉRATION,SERVICE DES FINANCES,BUREAU DU DIRECTEUR PRINCIPAL,1130474003,"ACCORDER UN SOUTIEN FINANCIER À LA SOCIÉTÉ DU PARC JEAN-DRAPEAU AU MONTANT DE 1 M$ ANNUELLEMENT POUR LES ANNÉES 2013 ET 2014, TEL QUE PRÉVU À L'ENTENTE CG09 0474, AUX FINS DE L'ACHAT DES DROITS POUR LA TENUE DU GRAND PRIX DU CANADA DANS LE CADRE DU PROTOC",CG13 0112,2013-05-02,2000000,0,0,2000000
REGROUPEMENT DES ÉCO-QUARTIERS,100 % AGGLOMÉRATION,SERVICE DE L’EAU,DIRECTION,1134217001,APPROUVER LA CONVENTION DE PARTENARIAT ENTRE LE REGROUPEMENT DES ÉCO-QUARTIERS ET LA VILLE DE MONTRÉAL POUR COORDONNER ET METTRE EN PLACE LA QUATRIÈME ÉDITION DE LA PATROUILLE BLEUE DESTINÉE À LA SENSIBILISATION AUX ENJEUX DE L'EAU / AUTORISER UNE CONTRIB,CG13 0113,2013-04-30,70000,0,3000,73000
SPORT ET LOISIR DE L'ÎLE DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1131643002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 50 000 $ À SPORT ET LOISIR DE L'ÎLE DE MONTRÉAL, POUR LE PROGRAMME MONTRÉALAIS DE SOUTIEN À L'ACCOMPAGNEMENT EN LOISIR (ACCESSIBILITÉ UNIVERSELLE), DANS LE CADRE DE L’ENTENTE ADMINISTRATIV",CG13 0114,2013-04-30,50000,0,0,50000
JEUNESSE AU SOLEIL,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1130302001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT , À 4 ORGANISMES, POUR L'ANNÉE 2013, POUR LES MONTANTS INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALL",CG13 0125,2013-04-30,90000,0,0,90000
MOISSON MONTRÉAL INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1130302001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT , À 4 ORGANISMES, POUR L'ANNÉE 2013, POUR LES MONTANTS INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALL",CG13 0125,2013-04-30,168000,0,0,168000
REGROUPEMENT DES MAGASINS-PARTAGE DE L'ÎLE DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1130302001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT , À 4 ORGANISMES, POUR L'ANNÉE 2013, POUR LES MONTANTS INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALL",CG13 0125,2013-04-30,75000,0,0,75000
"RÉPIT PROVIDENCE, MAISON HOCHELAGA-MAISONNEUVE",100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1130302001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT , À 4 ORGANISMES, POUR L'ANNÉE 2013, POUR LES MONTANTS INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALL",CG13 0125,2013-04-30,65000,0,0,65000
C2MTL,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'URBANISME ET DU DÉVELOPPEMENT ÉCONOMIQUE,1120881001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 200 000 $ À C2-MTL, DANS LE CADRE DE L'ENVELOPPE DE 175 M$ DU GOUVERNEMENT DU QUÉBEC, POUR L'ORGANISATION DE LA DEUXIÈME ÉDITION D'UNE CONFÉRENCE INTERNATIONALE PORTANT SUR LA CRÉATIVITÉ ET LE COMMERCE QUI SE",CG13 0126,2013-04-30,200000,0,0,200000
