,"Employeur (maison)",,,,3,3,1,2,,,,,6,1,2,,,4,4,12,,38,"26,7605633802817%",
,"Fournisseurs externes",,,20,2,,,,,1,,,,2,1,,,1,,,,27,"19,0140845070423%",
,"Les deux (interne et externe)",,6,1,2,2,1,8,3,1,6,1,,,,10,3,1,2,5,,52,"36,6197183098592%",
,"Formateur DAFA",11,,,1,1,3,,,1,,,,1,7,,,1,,1,,27,"19,0140845070423%",
,,,,,,,,,,,,,,,,,,,,,,144,,
,"Formation: durée de la théorie",,,,,,,,,,,,,,,,,,,,,,,
,"Nb répondants",11,6,21,5,6,5,10,3,3,6,1,6,4,7,11,2,7,6,18,,138,,
,"total des durées de tous les camps",385,198,294,128,106,148,89,105,52,168,20,120,80,371,520,32,179,148,446,,3589,"26,0072463768116","Moyenne par camp"
,"durée minimale",35,33,14,4,5,20,2,35,8,28,20,20,20,48,52,16,4,8,4,,2,,
,"durée maximale",35,33,14,40,40,35,25,35,32,28,20,20,20,50,52,16,70,40,40,,70,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Formation: durée de la pratique:",,,,,,,,,,,,,,,,,,,,,,,
,"Nb répondants",11,6,0,1,5,4,10,3,2,,,6,0,7,0,3,5,6,4,,73,,
,"total des durées de tous les camps",385,108,,15,66,120,89,105,51,,,120,,250,,0,141,176,70,,1696,"23,2328767123288","Moyenne par camp"
,"durée minimale",35,18,,15,2,,2,35,16,,,20,,35,,,4,16,4,,2,,
,"durée maximale",35,18,,15,24,35,25,35,35,,,20,,40,,,80,60,35,,40,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Est-ce que le secourisme est inclus dans la formation",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,0,3,6,1,10,3,1,6,1,6,0,0,10,2,6,7,12,,91,,
,"oui",0,6,,3,3,0,6,,1,,,,,,10,2,5,4,0,,40,"43,956043956044%",
,"non",11,,,,3,1,4,3,,6,1,6,,,,,1,3,12,,51,"56,043956043956%",
,"Si le secourisme est inclus  dans la formation  combien d'heures",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",0,6,0,3,3,1,1,0,1,0,,,0,0,10,2,6,3,0,,36,,
,"total des durées de tous les camps",,96,,40,16,16,10,,16,,,,,,300,50,85,24,,,653,"18,1388888888889","Moyenne par camp dont le secourisme est inclus"
,"durée minimale",,16,,8,4,16,10,,16,,,,,,30,25,3,8,,,3,,
,"durée maximale",,16,,16,8,16,10,,16,,,,,,30,25,40,8,,,40,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Formation en milieu aquatique",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,21,5,6,5,10,3,5,6,1,1,1,8,10,3,5,7,19,,133,,
,"oui",11,6,21,4,3,2,6,3,1,,,,1,6,10,3,2,6,13,,98,"73,6842105263158%",
,"non",,,,1,3,3,4,,4,6,1,1,,2,,,3,1,6,,35,"26,3157894736842%",
,,,,,,,,,,,,,,,,,,,,,,,,
,"Si oui  type de formation",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,21,4,0,2,6,3,0,0,,,0,6,10,3,2,6,13,,93,,
,"Formation croix-rouge",1,,,3,,,0,,,,,,,,,,,,3,,7,"7,52688172043011%",
,"Rencontre personnel aquatique",10,6,21,4,,2,6,3,,,,,,6,10,3,1,5,4,,81,"87,0967741935484%",
,"Gestion Paramédical",,,,1,,,0,,,,,,,,,,,,,,1,"1,0752688172043%",
,,,,,,,,,,,,,,,,,,"Secourisme Simard à Verdun: 1","formation reconnu CSST: 1","formation aquatique offerte par l'arrondissement: 8   Mademoiselles survie: 1 ",,,,
,"Salaires moniteurs",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",10,6,21,7,6,5,10,0,4,6,1,6,6,8,10,3,7,7,11,,134,,
,"Min","11 15","11 15","10 15","10 15","10 15","10 15","10 15",,"10 15","12 12","10 9","10 15","10 15","10 15",10,"10 15","10 15","10 15","10 15",,"10 15",,
,"Max","13 16",,18,14,12,13,13,,11,"12 12","13 15",,15,14,"16 79",15,11,"15 52",24,,24,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Salaires coordonnateurs",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",10,6,13,5,5,5,9,3,5,3,1,6,6,8,9,1,7,7,3,,112,,
,"Min","14 65","15 77",13,"10 5",12,12,"10 15","17 5","12 65","15 17","12 14","12 5","12 5",13,"15 77","20 5",13,"15 5","13 8",,"10 5",,
" ","Max",,,"16 4",17,18,20,"18 25",22,17,"15 17","14 87","13 5",17,16,"19 66","20 5",25,"18 31",19,,"20 5",,
