NUMEROTATION,TYPE_DE_SOINS,REGION,URGENT,POURC_URGENT,S_URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,AUTRES,POURC_N-NES,OBSTETRIQUE,POURC_OBSTETRIQUE,POURC_AUTRES,N-NES,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
11,Soins physiques et psychiatriques de courte durée,11 Gaspésie-Îles-de-la-Madeleine,7054,68.29,298,2.88,1678,16.24,55,5.7,656,6.35,0.53,589,10330,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
12,Soins physiques et psychiatriques de courte durée,12 Chaudière-Appalaches,20280,60.69,942,2.82,5178,15.5,133,10.09,3510,10.5,0.4,3371,33414,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
13,Soins physiques et psychiatriques de courte durée,13 Laval,17850,58.39,1637,5.35,3182,10.41,0,12,4234,13.85,0,3669,30572,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
14,Soins physiques et psychiatriques de courte durée,14 Lanaudière,25026,62.16,960,2.38,5170,12.84,0,11.12,4627,11.49,0,4477,40260,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
15,Soins physiques et psychiatriques de courte durée,15 Laurentides,29750,63.58,1725,3.69,6546,13.99,111,8.83,4525,9.67,0.24,4131,46788,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
16,Soins physiques et psychiatriques de courte durée,16 Montérégie,70129,66.65,3011,2.86,9805,9.32,273,10.1,11367,10.8,0.26,10628,105213,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
17,Soins physiques et psychiatriques de courte durée,TOTAL,506378,60.77,31117,3.73,123107,14.77,5380,9.58,87438,10.49,0.65,79838,833258,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
18,Soins en chirurgie d'un jour,01 Bas-Saint-Laurent,5,0.05,30,0.28,10648,99.51,0,0,17,0.16,0,0,10700,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
19,Soins en chirurgie d'un jour,02 Saguenay-Lac-Saint-Jean,435,2.73,103,0.65,15339,96.42,2,0,29,0.18,0.01,0,15908,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
20,Soins en chirurgie d'un jour,03 Capitale-Nationale,1127,2.91,36,0.09,37472,96.62,71,0,77,0.2,0.18,0,38783,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
21,Soins en chirurgie d'un jour,04 Mauricie et Centre-du-Québec,655,2.59,6,0.02,24622,97.37,0,0,3,0.01,0,0,25286,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
22,Soins en chirurgie d'un jour,05 Estrie,1608,6.45,792,3.18,22512,90.3,6,0,12,0.05,0.02,0,24930,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
23,Soins en chirurgie d'un jour,06 Montréal,1521,1.34,3920,3.46,107837,95.14,2,0,61,0.05,0,0,113341,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
24,Soins en chirurgie d'un jour,07 Outaouais,387,2.51,457,2.97,14545,94.47,1,0,6,0.04,0.01,0,15396,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
25,Soins en chirurgie d'un jour,08 Abitibi-Témiscamingue,458,5.51,67,0.81,7759,93.35,0,0,28,0.34,0,0,8312,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
26,Soins en chirurgie d'un jour,09 Côte-Nord,6,0.14,16,0.37,4323,99.33,1,0,6,0.14,0.02,0,4352,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
27,Soins en chirurgie d'un jour,10-17 ET 18,5,0.74,0,0,670,98.53,0,0,5,0.74,0,0,680,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
28,Soins en chirurgie d'un jour,11 Gaspésie-Îles-de-la-Madeleine,20,0.44,1,0.02,4488,99.36,0,0,8,0.18,0,0,4517,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
29,Soins en chirurgie d'un jour,12 Chaudière-Appalaches,158,0.91,511,2.95,16597,95.95,0,0,32,0.18,0,0,17298,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
30,Soins en chirurgie d'un jour,13 Laval,40,0.39,2028,19.93,8085,79.46,0,0,22,0.22,0,0,10175,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
31,Soins en chirurgie d'un jour,14 Lanaudière,141,0.87,132,0.82,15868,98.2,2,0,16,0.1,0.01,0,16159,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
32,Soins en chirurgie d'un jour,15 Laurentides,325,1.64,4381,22.16,15011,75.91,2,0,55,0.28,0.01,0,19774,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
33,Soins en chirurgie d'un jour,16 Montérégie,5931,12.34,4264,8.87,37850,78.73,0,0,28,0.06,0,0,48073,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
34,Soins en chirurgie d'un jour,TOTAL,12822,3.43,16744,4.48,343626,91.96,87,0,405,0.11,0.02,0,373684,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
35,Soins post-mortem,02 Saguenay-Lac-Saint-Jean,10,100,0,0,0,0,0,0,0,0,0,0,10,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
36,Soins post-mortem,03 Capitale-Nationale,18,94.74,0,0,1,5.26,0,0,0,0,0,0,19,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
37,Soins post-mortem,06 Montréal,66,90.41,6,8.22,1,1.37,0,0,0,0,0,0,73,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
38,Soins post-mortem,TOTAL,94,92.16,6,5.88,2,1.96,0,0,0,0,0,0,102,Titre du rapport « S10 – Répartition des départs selon le type d'admission par région et traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Le type d'admission « Autres » comprend l'admission pour protection  l'admission pour évaluation et l'admission judiciaire.
