NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE,POURC_OBSTETRIQUE,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
22,Soins en chirurgie d'un jour ,05       Estrie,480,3.12,68,0.44,14821,96.43,15369,99.99,0,0.00,1,0.01,15370,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
23,Soins en chirurgie d'un jour ,06       Montréal,1631,1.41,6057,5.22,108351,93.37,116039,99.99,0,0.00,10,0.01,116049,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
24,Soins en chirurgie d'un jour ,07       Outaouais,815,4.30,378,2.00,17754,93.70,18947,100.00,0,0.00,0,0.00,18947,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
25,Soins en chirurgie d'un jour ,08       Abitibi-Témiscamingue,449,5.27,2,0.02,8073,94.71,8524,99.98,0,0.00,2,0.02,8526,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
26,Soins en chirurgie d'un jour ,09       Côte-Nord,18,0.39,0,0.00,4555,99.61,4573,99.59,0,0.00,19,0.41,4592,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
27,Soins en chirurgie d'un jour ,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,7,0.83,0,0.00,832,99.17,839,100.00,0,0.00,0,0.00,839,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
28,Soins en chirurgie d'un jour ,11        Gaspésie - Îles-de-la- Madeleine,6,0.17,1,0.03,3596,99.81,3603,100.00,0,0.00,0,0.00,3603,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
29,Soins en chirurgie d'un jour ,12        Chaudière-Appalaches,283,1.39,425,2.09,19653,96.52,20361,100.00,0,0.00,0,0.00,20361,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
30,Soins en chirurgie d'un jour ,13        Laval,923,8.10,2649,23.23,7829,68.67,11401,99.96,0,0.00,5,0.04,11406,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
31,Soins en chirurgie d'un jour ,14        Lanaudière,109,0.76,4,0.03,14155,99.21,14268,99.99,0,0.00,1,0.01,14269,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
32,Soins en chirurgie d'un jour ,15        Laurentides,259,1.15,3756,16.64,18552,82.21,22567,99.99,0,0.00,3,0.01,22570,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
33,Soins en chirurgie d'un jour ,16        Montérégie,3514,6.67,4967,9.43,44198,83.90,52679,100.00,0,0.00,1,0.00,52680,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
34,Soins en chirurgie d'un jour ,TOTAL : Soins en chirurgie d'un jour,11579,2.98,19100,4.92,357257,92.09,387936,99.96,0,0.00,172,0.04,388108,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
35,Soins post-mortem,03       Capitale-Nationale,29,96.67,1,3.33,0,0.00,30,100.00,0,0.00,0,0.00,30,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
36,Soins post-mortem,06       Montréal,41,56.16,6,8.22,26,35.62,73,100.00,0,0.00,0,0.00,73,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
37,Soins post-mortem,TOTAL : Soins post-mortem,70,67.96,7,6.80,26,25.24,103,100.00,0,0.00,0,0.00,103,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
