NUMEROTATION,TYPE_SOINS,REGION,URGENT,POURC_URGENT,S-URGENT,POURC_S-URGENT,N-URGENT,POURC_N-URGENT,T-PARTIEL,POURC_T-PARTIEL,N-NES,POURC_N-NES,OBSTETRIQUE, POURC_OBSTETRIQUE ,G-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
12,Soins physiques et psychiatriques de courte durée,12        Chaudière-Appalaches,20018,79.07,1056,4.17,4242,16.76,25316,79.70,3152,9.92,3295,10.37,31763,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
13,Soins physiques et psychiatriques de courte durée,13        Laval,17318,80.35,1427,6.62,2808,13.03,21553,71.16,4120,13.60,4613,15.23,30286,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
14,Soins physiques et psychiatriques de courte durée,14        Lanaudière,20164,77.45,645,2.48,5227,20.08,26036,74.99,4258,12.26,4426,12.75,34720,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
15,Soins physiques et psychiatriques de courte durée,15        Laurentides,28131,79.57,2272,6.43,4951,14.00,35354,80.28,4175,9.48,4507,10.23,44036,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
16,Soins physiques et psychiatriques de courte durée,16        Montérégie,71447,83.10,3657,4.25,10873,12.65,85977,76.98,12418,11.12,13298,11.91,111693,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
17,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,468603,75.44,31619,5.09,120965,19.47,621187,78.14,82884,10.43,90901,11.43,794972,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
18,Soins en chirurgie d'un jour,01       Bas-Saint-Laurent,0,0.00,0,0.00,10596,100.00,10596,100.00,0,0.00,0,0.00,10596,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
19,Soins en chirurgie d'un jour,02       Saguenay - Lac-Saint-Jean,603,3.64,127,0.77,15826,95.59,16556,99.99,0,0.00,2,0.01,16558,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
20,Soins en chirurgie d'un jour,03       Capitale-Nationale,1857,4.83,138,0.36,36476,94.81,38471,99.79,0,0.00,81,0.21,38552,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
21,Soins en chirurgie d'un jour,04       Mauricie et Centre-du- Québec,634,2.35,2,0.01,26300,97.64,26936,100.00,0,0.00,0,0.00,26936,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
22,Soins en chirurgie d'un jour,05       Estrie,107,0.68,39,0.25,15476,99.07,15622,100.00,0,0.00,0,0.00,15622,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
23,Soins en chirurgie d'un jour,06       Montréal,1486,1.39,5530,5.19,99604,93.42,106620,99.98,0,0.00,17,0.02,106637,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
24,Soins en chirurgie d'un jour,07       Outaouais,598,3.25,438,2.38,17358,94.37,18394,99.99,0,0.00,1,0.01,18395,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
25,Soins en chirurgie d'un jour,08       Abitibi-Témiscamingue,509,6.07,86,1.03,7787,92.90,8382,99.88,0,0.00,10,0.12,8392,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
26,Soins en chirurgie d'un jour,09       Côte-Nord,40,0.89,73,1.62,4394,97.49,4507,99.80,0,0.00,9,0.20,4516,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
27,Soins en chirurgie d'un jour,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,6,0.67,0,0.00,894,99.33,900,99.89,0,0.00,1,0.11,901,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
28,Soins en chirurgie d'un jour,11        Gaspésie - Îles-de-la- Madeleine,5,0.13,6,0.15,3952,99.72,3963,100.00,0,0.00,0,0.00,3963,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
29,Soins en chirurgie d'un jour,12        Chaudière-Appalaches,287,1.53,435,2.31,18087,96.16,18809,100.00,0,0.00,0,0.00,18809,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
30,Soins en chirurgie d'un jour,13        Laval,184,2.02,1883,20.71,7026,77.27,9093,99.99,0,0.00,1,0.01,9094,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
31,Soins en chirurgie d'un jour,14        Lanaudière,24,0.16,0,0.00,14974,99.84,14998,99.79,0,0.00,32,0.21,15030,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
32,Soins en chirurgie d'un jour,15        Laurentides,304,1.68,3395,18.76,14402,79.56,18101,99.99,0,0.00,1,0.01,18102,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
33,Soins en chirurgie d'un jour,16        Montérégie,7298,13.04,5553,9.93,43096,77.03,55947,99.98,0,0.00,10,0.02,55957,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
34,Soins en chirurgie d'un jour,TOTAL : Soins en chirurgie d'un jour,13942,3.79,17705,4.81,336248,91.40,367895,99.96,0,0.00,165,0.04,368060,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
35,Soins post-mortem,02       Saguenay - Lac-Saint-Jean,9,100.00,0,0.00,0,0.00,9,100.00,0,0.00,0,0.00,9,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
36,Soins post-mortem,03       Capitale-Nationale,39,97.50,0,0.00,1,2.50,40,100.00,0,0.00,0,0.00,40,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
37,Soins post-mortem,06       Montréal,75,72.12,10,9.62,19,18.27,104,100.00,0,0.00,0,0.00,104,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
38,Soins post-mortem,TOTAL : Soins post-mortem,123,80.39,10,6.54,20,13.07,153,100.00,0,0.00,0,0.00,153,S10 – Répartition des départs selon le type d’admission par région de traitement,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
